ParlaMint-NL_2016-02-04-tweedekamer-8.u1	I would like to welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-02-04-tweedekamer-8.u12	I didn't hear any further questions. Of course, I'd like to respond, because I don't want to be childish. I told you it was a different time. You can say the PVV is right. From the VVD we hear: the PVV is very left. That's how we're elusive to everyone, except for the people who it's about. They want to vote massively for the PVV. That's why we're 42 seats in the polls. Those people will see what we do right. That's the jump the SP can't make. He's gonna do something wrong. I don't just want to go to the polls, but it's about whether you have a normal package. That's what the PVV has. We're sticking up for those people. And yes, we participated in the start of austerity, but when it got crazy, we pulled the plug. Do not say that we supported all these cuts later, because that is, of course, I must say that it is not a fair story.
ParlaMint-NL_2016-02-04-tweedekamer-8.u13	I took a look, but Mr. De Graaf last year...
ParlaMint-NL_2016-02-04-tweedekamer-8.u14	Mrs Karabulut, would you like to ask another question? You just didn't ask a question. Actually, that wasn't an interruption. I'm gonna give you one more chance. Next time, we're gonna do it in half.
ParlaMint-NL_2016-02-04-tweedekamer-8.u15	Last September, Mr De Graaf voted against a proposal from us not to sell out social housing. As a result, there is an even greater shortage of affordable homes for ordinary Dutch people. Is that true or not?
ParlaMint-NL_2016-02-04-tweedekamer-8.u16	The deficit, and that is why we voted against that proposal...
ParlaMint-NL_2016-02-04-tweedekamer-8.u17	I just want a yes or a no!
ParlaMint-NL_2016-02-04-tweedekamer-8.u18	May I speak, please?
ParlaMint-NL_2016-02-04-tweedekamer-8.u19	Mrs Karabulut, we are meeting here in an orderly manner. I call Mr De Graaf.
ParlaMint-NL_2016-02-04-tweedekamer-8.u20	The shortage in that housing market, in that rental market, is caused by the huge influx. I know the stories here from The Hague, because I'm from here. I know how many Syrians, Afghans, up to Bengal, are placed here with priority over people who have been waiting for those houses for years. Yes, we then cooperated in the sale of part because we believe in people's right to self-determination. The SP has less to do with that. We think that property is good, that people get responsibility. The SP wants to keep the responsibility entirely with the government. We believe in people's own power. Indeed, a number of houses have been sold to allow the housing stock to reach the people, to give the people the advantage that they can own the place where they live. That's fantastic, isn't it? Mrs. Karabulut doesn't want that. They want everyone in a rental house, they want everyone on a basic paycheck. That's not gonna work, because that's gonna have to be paid.
ParlaMint-NL_2016-02-04-tweedekamer-8.u21	Self-destruct ammehula. All these Dutch people are now simply on the waiting list because you participated in the sale of affordable social housing. That's the truth and nothing but that.
ParlaMint-NL_2016-02-04-tweedekamer-8.u22	This hard-ass lie gets out of SP all the time. I am sure that will happen again in the House debate. It's the influx. The SP wants to open the borders even more, wants to bring in more people and wants to chase all those Dutch out of their rental house. That's where the problem is.
ParlaMint-NL_2016-02-04-tweedekamer-8.u23	The PVV rightly points out that people are faced with very high burdens. It makes life expensive and allows people to get into debt. However, the PVV is itself in favour of 42% to 52% income tax. Why is that?
ParlaMint-NL_2016-02-04-tweedekamer-8.u24	I know that Mr Van Klaveren of the Bontes/Van Klaveren Group is indeed in favour of a flat tax or something. Then you turn one button somewhere and then everything really tumbles together. Then you won't have any organization as a country at all. Then it's financially completely unworkable. We're in favour of relief. I have already made the point for Mr Van Klaveren; I am so kind today. We are in favour of tax relief, lower excise duties, lower VAT. We have always put forward proposals for this. I do not remember Mr Van Klaveren voting in favour of it. Charge relief, load relief, load relief.
ParlaMint-NL_2016-02-04-tweedekamer-8.u25	Of course, it is not a burden relief if you take 42% to 52% of people's income. We are always in favour of relief. We have supported all motions from all parties leading to relief of burdens, including the motions of the PVV. We will continue to do so, but the question remains why the PVV is in favour of 42% to 52% income tax. In doing so, she takes ownership from the middle class. That makes people poor.
ParlaMint-NL_2016-02-04-tweedekamer-8.u26	I think I've already explained that. If you want to relieve the burden, you can do it in different ways. It is very nice that Mr Van Klaveren has voted in favour, but if you continue in his own way, people will no longer be concerned, you will no longer be able to take care of the elderly, even more so, you will no longer be able to close the borders, then the influx of asylum seekers will get even bigger, because you will not have a penny left to start guarding that border at some point. Then you're throwing away the baby with the bathwater. As a new party, you may want a lot, but you can't live up to it. The PVV can do that. Our previous election programme, which also includes Mr Van Klaveren's signature, was calculated by the CPB and came out as the very best election programme. I think it's a little late to start criticizing that now.
ParlaMint-NL_2016-02-04-tweedekamer-8.u27	The plans of our group, of VNL, have all been properly calculated by the Central Planning Office. You should have known that if you had read the documents; that would not be wrong in this case. The point remains, of course, that the PVV is in favour of between 42% and 52% income tax. That's a huge expense to people. That is annoying because you are taking ownership away, but you are also, of course, somewhat contradicting yourself by saying that there will be more asylum seekers if people are no longer able to use the welfare state. Your story was always: there is a welfare state and that is why asylum seekers are coming to the Netherlands.
ParlaMint-NL_2016-02-04-tweedekamer-8.u28	What is your question, Mr Van Klaveren?
ParlaMint-NL_2016-02-04-tweedekamer-8.u29	My question has actually already been answered by Mr De Graaf: they are for heavy burdens.
ParlaMint-NL_2016-02-04-tweedekamer-8.u30	You are above all trying to convince each other of the right of your electoral programmes, but I think it would be better to allow interruptions to be interruptions and just to ask questions. I call Mr Kuzu.
ParlaMint-NL_2016-02-04-tweedekamer-8.u31	Mr De Graaf pointed out that the PVV had 42 seats in the polls and pointed out that he wanted to take government responsibility. I listened carefully to his speech and I heard that he placed all the responsibility for the misery that people have because of their debts in the Cabinet. What specific proposals would Mr De Graaf make on behalf of the PVV to help people in debt?
ParlaMint-NL_2016-02-04-tweedekamer-8.u32	Mr Kuzu says that we put everything on the cabinet. The cabinet is a very big cause, but I certainly do not forget people's own responsibility. There are people who have fallen into debt because of their own actions, for example because they cannot keep an overview or have taken too many loans. I do insist that the government is playing an increasingly important role in the emergence of debt. The bills continue to come and if you raise the municipal burden, for example by decentralising policy and throwing the municipalities over the fence, it will of course be very difficult for people. We have, moreover, been making a very concrete proposal for years, namely that people should be able to make greater use of debt relief.
ParlaMint-NL_2016-02-04-tweedekamer-8.u33	Mr De Graaf gives one example, but as far as I am concerned, the debt problem is a multifaceted monster. With this proposal alone, he really does not solve the problem. That's a heartfelt advice from me to the PVV. I would really ask Mr De Graaf to come up with concrete proposals to help these people. Of course, this does not affect people's own responsibility. I now hear only political creeds that have been used in The Hague for years. If you're serious when you say you want to take government responsibility in the future, come up with concrete proposals to help people in debt. Do these proposals, if any, apply to all Dutch people, regardless of their origin and religion?
ParlaMint-NL_2016-02-04-tweedekamer-8.u34	Mr President, I do not understand the question. What is this quatsch?
ParlaMint-NL_2016-02-04-tweedekamer-8.u35	I don't speak Chinese. Mr De Graaf should understand this. It's a specific question.
ParlaMint-NL_2016-02-04-tweedekamer-8.u36	Mr Kuzu, your question was clear. It is up to Mr De Graaf to answer that.
ParlaMint-NL_2016-02-04-tweedekamer-8.u37	I repeat the word "quatsch" because why should that not apply to other people? I've never heard such bullshit before. Mr Kuzu's question remains a bit of a matter for me. The Dutch are Dutch and if they have a different origin, so be it. If people come from Suriname but are Dutch, why shouldn't they be allowed to use a rule in the Netherlands? It's as simple as that. If you go for a representative position and have a double passport, you will have a problem with the PVV. But that's a different story, because you're talking about representative functions.
ParlaMint-NL_2016-02-04-tweedekamer-8.u38	No, Mr. Kuzu. Mr De Graaf has given a clear answer. You asked a clear question and you received a clear answer. Mr De Graaf, are you done or are you almost done with your speech?
ParlaMint-NL_2016-02-04-tweedekamer-8.u39	I'm almost halfway there.
ParlaMint-NL_2016-02-04-tweedekamer-8.u40	Then you'll have to keep working.
ParlaMint-NL_2016-02-04-tweedekamer-8.u41	I see on the bell that I still have 1.41 minutes. It's going really fast, isn't it? Mr. Chairman. I'd like to talk about the hypocrisy of throwing things over the fence in the municipalities. These municipalities must therefore increase the burden and, of course, people will remain in trouble. I told you this year, 100,000 asylum seekers will receive free accommodation, free care, free transport, free food, free language lessons and free living money, while there would be no money for many other things at a time when older people are dying and there are less than 5 million permanent contracts. This has to do with lousy legislation by, among other things, the PvdA, a party that participates in the cabinet. The few asylum seekers who have a diploma may then replace tens of thousands of redundant healthcare workers. We saw the example in Katwijk last week. And in return for your welfare allowance, you can go to Budel for example to soak up toilets for people who refuse to do so themselves. And they must be helped by the Minister, not the Secretary of State, to volunteer in an old people's home, where they are not understood. What do you mean, integration? It's a big mess gang. We've already talked about home care. I have half a minute left on the last subject; the President is already laughing at me, but I am almost finished, because much has already been discussed. We've been robbed of a lot. The common man has also been deprived of much: of his income position, of his pension and, therefore, of his dignity. When you look at the open borders and the mass immigration, you think: this would not have been necessary. Every Dutchman could have had two cars and a boat to go on holiday six times a year. You could have; you shouldn't have. It's a trade-off for everyone, but it could have been done.
ParlaMint-NL_2016-02-04-tweedekamer-8.u42	I had another question about the debt relief. About 150,000 to 200,000 people reporting are not well helped by debt relief. What solutions does the PVV have for this?
ParlaMint-NL_2016-02-04-tweedekamer-8.u43	What solutions do we have? People should be able to use it anyway, but this is indeed a problem. How do these problems arise? Because of the huge influx of heavy loads. So the government creates its own problem. If you throw the place over the fence at the municipalities again, you have a problem. In any case, part of the municipal budget will have to be used for this. I can't just shove a budget out of my sleeve to put so many extra officials there. You're just gonna increase the government by that. Perhaps more effective and efficient work could be done in the area of debt relief in the municipalities.
ParlaMint-NL_2016-02-04-tweedekamer-8.u44	If I understand correctly, you say it is a budgetary problem, but the PVV does not want the government to invest more money in the quality and quantity of debt relief. Those 150,000 to 200,000 people still haven't been helped. That's all you know, I understand?
ParlaMint-NL_2016-02-04-tweedekamer-8.u45	As I said, this problem was partly caused by the government. This is not just a budgetary problem. With free money, you can't solve everything. That's the SP line. The SP wants to solve everything with free money; others have to pay it again. If Mrs Karabulut knows a way to solve the debt problem for a lot of people within a day, a few days or a week, let us remain realistic, be my guest! But there's no such thing. There is no panacea for debt relief and this kind of problem. The government has caused this problem to a large extent. Then much will also have to be solved within the government, especially by working more efficiently. We are also, of course, talking about the reduction of charges I have already mentioned.
ParlaMint-NL_2016-02-04-tweedekamer-8.u46	Mr. Chairman. Despite the fact that the government is spending 100 million a year in structural terms to tackle poverty and debt problems, the problems are still very large. Compared to 2009 and 2012, more people now have a risk of problematic debt. Attracting the business cycle does not translate into a reduction in the number of debtors and, in the case of formal debt relief, almost 1.2 million debtors are not even in sight. New is the fact that the risk of long-term poverty is highest among 55- to 65-year-olds. Half the people in welfare are 45-plus. In single parent families and non-western households, poverty and debt problems are high and their chances are high. This cabinet claims to want to ensure that "no people sink through the ice." This is completely inadequate for these groups. 50PLUS thinks it is excellent that the government pays extra attention to children in poverty, because this is very much needed, but it believes that a more targeted approach should also be taken for the elderly, single parent families and non-Western households. How's the government gonna do that? The risk of poverty and social exclusion of older people is closely linked to their labour market opportunities. They've been sad for 55- to 65-year-olds for some time. The approach to older people's unemployment needs to be strengthened with great urgency. When is the ambassador for the elderly's unemployment coming? What is the status of the new action plan and its consultation with the social partners? 50PLUS calls on the government to step up its efforts to provide good and timely information on debt relief opportunities and, above all, on alert and prevention. Timely detection and budget management can help to prevent major debt problems. Can the Secretary of State comment on this? My group also asks the Secretary of State to address the advantages and disadvantages of debt cancellation and an approach whereby debts are taken over by the government and the debtor pays a low interest rate. I would like to make this very clear, because repeated crime is often persistent. Otherwise dealing with debt cancellation can help. Entrepreneur Annemarie van Gaal has already made several suggestions for this. Is the Secretary of State prepared to see if there are more possibilities in this area? Can it indicate how many municipalities have a form of debt relief available to small, often older, self-employed and former self-employed people? We think it is very important that there is one. Can something be done to bring local authorities' practices more into line? In the letter we received yesterday from the Secretary of State on various poverty reports, there is a passage about the positive purchasing power effects for most households in 2016. 50PLUS calls again for attention for early retirementers with a small supplementary pension and often high care costs. They see a minus in their purchasing power this year. This group is on the verge of water. I'm asking the Secretary of State what she's doing for this group.
ParlaMint-NL_2016-02-04-tweedekamer-8.u47	Mr. Chairman. This debate was requested last spring by Mr Karabulut in response to the NVVK's annual figures on the increase in the number of households with problematic debts. It is a 30-member debate because it was supported at that time by almost the entire opposition, but not by the coalition. It's been a lot of months. Just before the budget debate, we received letters from the Secretary of State on matters which were not given much attention in the budget. It is therefore good to be able to talk about this in this debate, which is unfortunately a thirty-member debate. Problematic debts have many different causes. As Mrs Schouten has just said, first of all, people have their own responsibility for the debts they make and their payment. It is important, however, that we have talked about this in various general discussions, so as to avoid the unnecessary growth of those debts through all kinds of fines that are imposed, whereas it has long been established that it is not possible to pay because the foot is not respected. That applies especially if it's the government that doesn't. We, too, are getting too many signals that this is happening at the CJIB and the Tax Office. Recently, the childcare allowance passed again, so that problems arise because the government does not properly enforce its own rules. Due to all the preferential arrangements, the NVVK already wrote it in the Paritas Passé report, a kind of run on debts arises. All kinds of preferential parties try to pull something in as soon as possible. We have already discussed this in a great deal of general terms. I would like to say to Mrs Schouten that just now, Mrs Schouten, that the Secretary of State has made it clear how that works and what can happen to prevent that run, which the NVVK has been warning about for some time now. Another question is how a party such as the CJIB, also in anticipation of the adjustment of the attachment-free foot by the bill that the State Secretary is working on, can already better respect. We should not wait until the bill on the batter-free foot is passed. When we discussed the budget, we adopted a motion on the protection regime and the problems caused by the massive seizure of the special assistance that this entails. We have asked whether alternatives can be sought. I assume the Secretary of State is talking to municipalities about this. I wonder if she can tell us what the situation is and when we will hear more about it. I am also curious to see how the Secretary of State looks at the speech of the Association Eigen Huis in connection with the BKR registration of student debts. After all, you can call it a study advance, saying that it is not a loan and it does not need to be registered with the BKR, but if Association Eigen Huis says that this is going to cause major problems, then this Secretary of State has a responsibility in her responsibility for poverty debts to say to her colleague in Education: yes, I think the Association Eigen Huis has a point and that this has to be registered. I have often talked about the Dutch Association of Banks and the blocking of living accounts. The letter from the end of November states that this would only occur to a very small extent. However, I have received too many signals in the past period, around Christmas and at the beginning of the year, that life bills are being blocked. What is the state of play in consultation with banks? And does the Secretary of State intend to bang the fist on the table? The blocking of living accounts as a means of blackmailing debts cannot be tolerated.
ParlaMint-NL_2016-02-04-tweedekamer-8.u48	Mr Heerma is quite right, of course, that the debt system contributes to the further accumulation of debt among a certain part of the population. Similarly, the withholding tax on health insurance is government policy, which makes the debt grow. Does Mr Heerma share the view that, in addition to the student debt system, we should also look at what are the main causes in other areas of substance, so that we can also work on the causes rather than just managing the consequences? This is also a question for the Secretary of State.
ParlaMint-NL_2016-02-04-tweedekamer-8.u49	We have two things to separate from each other. The criticism of Association Eigen Huis is specifically about the loan system and the fact that the debts arising from these loans must be included in the BKR system. Discussions on the causes of debt are held in all general discussions on poverty and debt. We always pay attention to that. I understand that Mrs Karabulut is going to make a proposal to make that even clearer. I would like to assess that proposal on its merits, but I do agree with Mrs Schouten's answer to a similar question: we already do that with every proposal. I am going to look at the proposal openly and honestly, as I do with all the proposals on poverty and debt of the SP, but I still have doubts as to whether this adds anything extra.
ParlaMint-NL_2016-02-04-tweedekamer-8.u50	We can only talk about the technique, and I'm not saying that's unimportant. On the contrary, we have put forward a lot of proposals together over the last few years, of which we are now saying together: Secretary of State, make haste with that! Only, if we continue to look away from the culprits of debt but talk about resolving and preventing debt, we are not honest with ourselves, but certainly not with all those people in the country who write to us because of their problems with high rent, their care costs or their student debt. All I ask is for the causes to be identified fairly, and then for each AO to be discussed again on every subject in substance. This is about preventing and resolving poverty and debt. We owe it to ourselves and to the people.
ParlaMint-NL_2016-02-04-tweedekamer-8.u51	I repeat that I am going to look at Mrs Karabulut's proposal. At the source, however, there is always the issue of austerity. We have these discussions very often in budgetary discussions and the examination of individual legislative proposals, which the CDA Group, despite being an opposition party, has supported and not the SP. With these cuts, which aren't always easy, the question is what happens if you don't. However, you cannot include that in such an investigation. We are indeed a party that is very committed to the fact that the government does not spend money that it does not have. That's always part of this. I see Mrs Karabulut laughing, but that is part of this discussion.
ParlaMint-NL_2016-02-04-tweedekamer-8.u52	Mrs. Karabulut, I see you want to interrupt again. However, you have already had a first deadline, and that seems sufficient to me. I call Mrs Koşer Kaya on behalf of the D66 Group.
ParlaMint-NL_2016-02-04-tweedekamer-8.u53	Mr. Chairman. Prevention is better than cure. Today, therefore, I am particularly concerned about the preventive side. There's a world to win. Let me start with the fact that most of the people in weaker socio-economic positions have no network or too limited network to be helped in the front. It would be worth a sweet thing to me if we could make sure that some sort of buddy system could be created to shape a network. Because if you do that in front, you take a big step and prevent people from getting into debt at all. Earlier, I tabled a motion with Mrs Yücel on a financial window that is very easy to reach. Then people do not have to go to the municipal counter with their entire private life if the problem is already far too big. It would be great if, before a problem arises, people could go to such a financial window if they have financial questions or need help. I know a lot of work has been done in Amersfoort. At the time, the Secretary of State promised to see if such a problem would occur and remedy and, if so, whether it could be rolled out nationwide. I do not know whether there have been any discussions on this matter and what the situation is. What did the Secretary of State do? The SEO study shows that 16% of debtors are late again after four years on a closed credit or care premium. We must also prevent these people from falling back. I think it would be a good idea to see if they need a little extra support. Can we ensure that they get help with the digital system of social security and supplements, which is very complicated, so that relapse is not the issue? How can the Secretary of State prevent this complicated digital system from being an obstacle for these people? Can they be helped individually, or can the system be simplified so that they can operate it themselves? Again, this is one of the biggest problems in relapse. I would like to hear an answer to this.
ParlaMint-NL_2016-02-04-tweedekamer-8.u54	I do not need to explain to Mrs Koşer Kaya that poverty and debt problems are also a problem of division. I want to tell her a fact. In 2010, the income under 10% of the population had debts of around 40 billion. They grew to 58 billion in 2014. The richest 10% had 703 billion in wealth. That has grown to 754 billion. So in the years of crisis, the richest 10% has become 50 billion richer and the poorest 10% has only gained debts. Does Mrs Koşer Kaya share the opinion of the SP Group that we should ask the richest 1% additional capital tax to then redistribute it to those who are under-income?
ParlaMint-NL_2016-02-04-tweedekamer-8.u55	I think we all see the problem and the differences and we share that this is a development that is not pleasant for many people. However, I wonder if you can do all this through the tax. I think you need to focus much more on prevention and prevent people from getting into trouble. If they do get into trouble, they must be given the right help and solutions. However, your question is justified. I assume you also asked the Secretary of State. I was in a little later, so I didn't hear your input. I wonder what the Secretary of State has to say about this.
ParlaMint-NL_2016-02-04-tweedekamer-8.u56	Of course we must prevent that. I have also given a number of examples. Mrs Koşer Kaya will undoubtedly receive e-mails herself. I know that she often comes into the Painters' District and other neighborhoods and hears the stories of people who really take their own responsibility, from here to Tokyo. However, if there is no money and you earn too little or if the benefits are reduced again because we have to cut 50 billion, then the rack is out at some point. With 1% extra tax............................................................................................................................................................................................................................................................. I ask Mrs Koşer Kaya to think about this openly and to support our proposals in this area. I did not ask that question in my first term, but I will certainly ask it to the Secretary of State.
ParlaMint-NL_2016-02-04-tweedekamer-8.u57	Did I bring you to this thought? In this connection, I put this question to the Secretary of State through you. It is a complicated problem, but of course our thinking does not stand still. It is important that we look at what is effective in this matter. On that point, Mrs Karabulut finds me by her side. But to discuss a tax system as a whole with her, I do not see the consequences. So I'm waiting for the Minister's answers and I'm sure we'll come back to them at a later date.
ParlaMint-NL_2016-02-04-tweedekamer-8.u58	Mr. Chairman. The crisis leaves deep tracks. Families are touched and children are not spared. Recent figures show that almost one in five households have to do with risky or problematic debt. We take these figures seriously. At the PvdA's insistence, an additional 100 million has been made structurally available to support municipalities in the fight against poverty. In addition, we have asked for specific attention to be paid to children in these households. I have done so by means of a motion to ensure that municipalities are encouraged to provide child packages to families with minimum levels. We have also reserved extra money for sports. These are a number of examples of things that we have tried to do in this coalition. However, we are far from there. We've been waiting a long time for the government's debt collection vision. Other spokesmen have also pointed this out. They also referred to a moratorium law. This vision is very important for all those households that have fallen into trouble. Due to customization and personal contact at an early stage, towering debts can be avoided at a later stage. That starts with our own government as one of the biggest creditors. The urgency and the need for this vision are repeatedly confirmed by numerous reports. So my question is: when is this vision coming to the Chamber? Can we assume that this will be directly linked to measures aimed at making the public authorities more tailor-made and more quickly contacting them personally?
ParlaMint-NL_2016-02-04-tweedekamer-8.u59	This is a story of analyses, of reflections and of all kinds of things that should be done, but it has been three years since the PvdA took government responsibility and people have just been counting on the PvdA to make itself tough for the people who are in debt. I ask the PvdA spokesperson very specifically: what has changed compared to 2012, thanks to the PvdA's commitment?
