ParlaMint-NL_2016-02-10-tweedekamer-3.u1	I would like to welcome the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2016-02-10-tweedekamer-3.u12	The situation is quite unique, because the House of Representatives has shown itself to be very critical in the discussions. The Minister is also very critical about this and says that he is prepared to say in public here that things have to be different and that he would want it to be different. Is the Minister prepared to contact the shareholders, for example the city of Amsterdam, and I also believe the provinces, and to express those feelings to them? Does he wish to inform them, for example by means of a letter, that these are the feelings that live in the Chamber and with the Minister?
ParlaMint-NL_2016-02-10-tweedekamer-3.u13	The Top Income Standards Act has as its consideration not to bring participations under the scope of the law. In such cases, it is the governments themselves that determine income policies through the Supervisory Board. That is the legal framework. Indeed, I think that the municipality of Amsterdam, the province of Gelderland and other shareholders of this company Alliander should seriously ask themselves whether it is not reasonable to bring salaries to a level corresponding to the level of the WNT. I say that here and I think that this message will reach those involved, but I think that ends what I can do. I would be happy to send another copy of the stenography report, but that seems to me to be superfluous. I therefore agree with Mr Van Raak's views, but do not allow me to go into consultation, because then I will be just outside my framework.
ParlaMint-NL_2016-02-10-tweedekamer-3.u14	Doesn't this example correctly show that Alliander should have been covered by that law? If we set a public standard for organisations with public tasks that are publicly funded, which Alliander mostly does, should we also consider whether this type of organisation should simply be covered by that standard and by that law?
ParlaMint-NL_2016-02-10-tweedekamer-3.u15	That brings me to the motion in part No. President. - I call the Group of the European People's Party (Christian-Democratic Group). Mr Amhaouch called for an extension of the scope of the WNT. These two motions, in my view, actually have the same effect, as I do the motion for a resolution on item No. Let 95 get through to me.
ParlaMint-NL_2016-02-10-tweedekamer-3.u16	As regards the motion in part No. 93) on which I have heard the arguments but not yet a final judgment.
ParlaMint-NL_2016-02-10-tweedekamer-3.u17	This means that, with all sympathy for the intentions, I must discourage the request for consultation with the authorities. I have made my views very clear here, and I have once again been challenged by Mr Van Raak. The motion in part No. 94 calls on the government to identify bogus structures and to ensure that they are avoided as far as possible by means of further legislation. That seems to me to be the purpose of the law, so I leave it to the Chamber to decide. In the motion, it says "such false constructions." There is, of course, a whole political debate behind that word'such', because what is a false construction and what is not? There will always be borders. This will be addressed in the legislative process. I'd like to leave the verdict on that motion to the Chamber. I believe that the motion in part No. That is why it is important for the European Parliament to be able to give its opinion on this matter. I repeat what I just said. When a limit is set to something, you always keep saying that there is strategic behavior around such a border, which will soon be perceived as false constructions again. I do not know if this will solve all the cases, but we are constantly working to ensure that the things that we really regard as undesirable do not occur. I therefore leave the judgment to the Chamber on these two motions.
ParlaMint-NL_2016-02-10-tweedekamer-3.u18	I have the same question to the Minister as to Mr Kerstens just now: about the example of the appointment to the national police. In that case, there was action within the law, so it was allowed by law, but it was a strange construction. So it's not a fake construction, it's a construction. The motion states that such a thing should no longer be possible; Mr Kerstens has just confirmed that. Does the Minister agree?
ParlaMint-NL_2016-02-10-tweedekamer-3.u19	No. I believe that the motions call for the identification of bogus structures, for example, as a result of marginalities in participations and, in my opinion, especially in regional holdings. In this case, the ARAR has simply acted. A person may receive a dismissal allowance and the ARAR lists precisely the conditions for such compensation. There's been an act in there. The only thing the Top Income Standards Act says about this is that the severance allowance should not exceed €75,000. This falls in there. We have no intention of changing that.
ParlaMint-NL_2016-02-10-tweedekamer-3.u20	That's not how I interpret this motion. It says literally: "Does the government ask for such (false) structures (...)." I just asked Mr Kerstens if this includes the national police. His answer was yes. Furthermore: "(... if necessary, to cut off the pass by making it unlawful if and if necessary by amending the law." In other words, the government is being asked to declare such a structure as the national police to be illegal and to make it impossible to do so. If such an example does not fall within the scope of this motion, this is simply an empty motion; then we do nothing here.
ParlaMint-NL_2016-02-10-tweedekamer-3.u21	That's the last thing I'd like to contradict. I believe that the debate, from the earlier AO and also from the examples that the authors have just given, has shown that it concerns, for example, regional holdings and their boundaries, and other constructions. That seems real to me. I have already said that I intend to do something about this. That's what I'm being called up for now.
ParlaMint-NL_2016-02-10-tweedekamer-3.u22	I explicitly asked Mr Kerstens whether this included the example of the national police. The answer to that was yes. The Minister is now giving a different explanation. I think that is relevant to the assessment of this motion.
ParlaMint-NL_2016-02-10-tweedekamer-3.u23	I would add that I find it a bit annoying to talk about an individual case here. That's what I said in the AO. You're talking about a person and a situation. The operative part of this motion makes it quite wide possible to visualize all kinds of dummy structures. I have already said that there is still a discussion behind the word'such', namely: what situations do you really want and can you really cut off through the law and which do you not? This debate is, of course, fully reflected in the legislative process.
ParlaMint-NL_2016-02-10-tweedekamer-3.u24	We will vote on the motions tabled next Tuesday.
