ParlaMint-NL_2016-06-08-tweedekamer-6.u1	I would like to welcome the Secretary of State.
ParlaMint-NL_2016-06-08-tweedekamer-6.u14	Madam President. I would like to thank the Chamber for the speedy treatment and Mr Heerema for his kind remark. The department has indeed tried to answer all questions about the decision of the Nature Protection Act as soon as possible. By completing this procedure, we can also ensure that legislation and the underlying regulation can enter into force in good time. Thank you again for this early debate. I shall go straight to the motions and to the single question that has been asked. In the Thieme motion in part No. 178 the government is asked to remove the fox from the exemption list. I said earlier that the fox was put on it at the request of the Chamber. If the Chamber decides otherwise with a new request, then we will. I'll leave the verdict on this motion to the Chamber. The Thieme motion in part No. 179, which is about banning hunting competitions, I must advise against it because there is no legal basis for such a ban in the Nature Protection Act. I would add that this is not necessary either, because the law already requires the hunter to comply with the so-called benevolence rules: the meadowness rules. Such large-scale events do not fit in there.
ParlaMint-NL_2016-06-08-tweedekamer-6.u15	There are regular games throughout the country to shoot crows. I ask the Secretary of State to see to it that the government responds that this kind of competition is not desirable.
ParlaMint-NL_2016-06-08-tweedekamer-6.u16	If these competitions are not in line with the legal provisions, then enforcement action can be taken against them. For example, where damage control and population management are concerned, it is also up to the province to lay down detailed rules in the fauna management plans. If this type of event is contrary to the rules of the law, then enforcement must take place. The Thieme motion in part No. 180 is about breaking the neck in birds. I will explain it again in general. All the possibilities of the existing law have been taken over in this decision. Then we asked the provinces if they needed resources to carry out population management and damage control that are not in it right now. After all, all the means must be identified by this system. We then submitted all the resources put forward by the provinces for advice to the Animal Affairs Council (RDA). I have taken that advice one-on-one, even in this case. The RDA does not say that it can never be done, but says that the means of neckbreaking in emergencies may be applied under specific conditions. In order to ensure the best possible animal welfare, this should be done under those specific conditions and conditions. I therefore advise against this motion.
ParlaMint-NL_2016-06-08-tweedekamer-6.u17	To make it clear to the provinces what the Secretary of State means, I have the following question. It cannot therefore be said that the Animal Council is also using neckbreaking in, for example, ducks or smaller birds as a form of damage control. This can only be done in emergency situations. The problem is, however, that the Secretary of State does not say very specifically what situations he is talking about. Can the Secretary of State explain that? Otherwise, we're gonna get a hell of a lot of uncertainty in the county.
ParlaMint-NL_2016-06-08-tweedekamer-6.u18	These situations have been included in the decision we are now discussing, in which we have followed the opinion of the Animal Affairs Council. In emergency situations, when an animal has to be put out of its misery, this may be done, provided that the person applying it is able to do so. I'd almost say, if he's learned to do it. In any case, they must know how to apply it in a way that ensures that animal welfare is as secure as possible. In this context, the means to put the animal out of its misery is permitted, in accordance with the opinion of the Animal Affairs Council. In the Thieme motion in part No. 181 the government is requested not to allow hunting in Natura 2000 sites. This motion I must advise against. The assessment of whether or not to allow hunting in Natura 2000 site is part of the management plan. This should be taken into account. It can also be different by area. I therefore advise against this motion. The motion in part No. 182 concerns a ban on the keeping of birds which are also found in Dutch nature. The draft regulation already lays down conditions under which bred birds may be kept. It is important that these birds can be well distinguished from birds that are illegally taken from nature. That is why this draft regulation also provides for rules that allow proper control, such as the ringing of birds and the keeping of good records. Therefore, there is no need for a restraining order on such birds. So I'm gonna dissuade that motion. In the motion in part No. Mr Dijkgraaf and Mr Geurts asked the government to regulate the use of devices through the third paragraph of the decision and not through the second paragraph. I advise against this motion, because it is not necessary: resources do not need to be regulated. Only resources mentioned in the Directives should be regulated. That is what happens in paragraphs 1 or 2, even if they are tools. There's no need to move on. That's why I don't recommend that motion. The motion in part No. 184 is about grazing and fertilising for all Natura 2000 sites. As is well known, the provinces are the first to be responsible for managing Natura 2000 sites. It is therefore also up to the provinces to make that assessment. I would not go into that division of powers. Moreover, it is expected that provinces will actually grant the exemption.
ParlaMint-NL_2016-06-08-tweedekamer-6.u19	This is the last motion I'd like to make. I'm going to chew on that to see how I weigh the words of the Secretary of State. As far as the preceding motion is concerned, there are now things that are forbidden and there are things that are exempt. So there is a positive list and there is a negative list, but what happens to things in between? I therefore find it clearer to do it through paragraph 3, because then you have one list. At least you know what you're up to: you can use things unless they're forbidden.
ParlaMint-NL_2016-06-08-tweedekamer-6.u20	Once again, it is necessary to regulate the resources mentioned in the directives. Devices do not need to be regulated if they are not mentioned in the Directives. So there is no need to regulate tools. That was also my comment on the motion by Mr Dijkgraaf and Mr Geurts. There is therefore no need to do what is requested in the motion.
ParlaMint-NL_2016-06-08-tweedekamer-6.u21	Paragraph 2 refers to devices, e.g. decoy whistles and the like. So things are being arranged.
ParlaMint-NL_2016-06-08-tweedekamer-6.u22	They are included in the directives.
ParlaMint-NL_2016-06-08-tweedekamer-6.u23	My proposal would be to do so simply through paragraph 3. Then you clearly know what's allowed and what's not allowed. Then you don't have a discussion about what goes between a positive list and a negative list and what goes on about that kind of thing.
ParlaMint-NL_2016-06-08-tweedekamer-6.u24	Devices not listed in the Directives do not need to be regulated. This means that these tools can be used. That's why I'm judging that motion.
ParlaMint-NL_2016-06-08-tweedekamer-6.u25	At the request of Mr Dijkgraaf, I propose his motion (33348, No. President. - I call the Group of the European People's Party (Christian-Democratic Group). That is what is decided.
ParlaMint-NL_2016-06-08-tweedekamer-6.u26	In the motion in part No. 185 is requested by the Government to enter into consultation with the provinces in order to allow permit applications submitted before 1 July 2015 to be treated reasonably according to transitional law under the current law. I see that as support for policy. Of course, we are in consultation with the provinces. Since the motion supports the policy, I'll leave the verdict to the Chamber, but we'll do it anyway. In the motion in part No. 186 is requested to put the grey goose on the national exemption list. I don't recommend that motion. We have not made any changes to the national exemption list. I do not see any reason for this either, because grey geese do not cause any major damage in the country. Provinces can themselves, as the situation in the province so requires, arrange such an exemption, for example through a provincial exemption, which can also take into account interests other than agricultural interests, such as road safety. Like I said, I'm deceiving that motion. In the motion in part No. 187 is requested to designate, in consultation with provinces on the basis of the Nature Protection Act, invasive alien and feral species. This motion supports policy, because we will have to do so as part of the implementation of the European Exotic Regulation. I leave it to the Chamber or whoever wants to speak in support of policy.
ParlaMint-NL_2016-06-08-tweedekamer-6.u27	I'll make the motion in part no. President. - I call the Group of the European People's Party (Christian-Democratic Group). The motions in part No. 185 and No. 187 are seen by the Secretary of State as supporting policy. We now have a new rule for the adoption of motions. Perhaps I could ask the Secretary of State to take over those motions. Then we do not have to vote on it, and that will save us in no time.
ParlaMint-NL_2016-06-08-tweedekamer-6.u28	I would take over if there was a request to do something that we have not yet done. Then I can say: that's a good idea, I'll take over and I'll do it. But if there is a motion that actually supports policy, I will leave it to the Chamber or she who wishes to express support. This means that we are already doing it or are already planning to do it.
ParlaMint-NL_2016-06-08-tweedekamer-6.u29	This is obvious. I'll put the motions to the vote and see how they land.
ParlaMint-NL_2016-06-08-tweedekamer-6.u30	At the request of Mr Geurts, I propose his motion (33348, No. President. - I call the Group of the European People's Party (Christian-Democratic Group). That is what is decided.
ParlaMint-NL_2016-06-08-tweedekamer-6.u31	I'm getting to the motion on part No. 188 by Mr Van Gerven in which the government is asked to give provinces the opportunity to remove an animal from the exemption list at provincial level. The law doesn't provide any basis for that. There is, of course, consultation with the provinces, but the exemption list is a competence of the Empire. I advise against this motion. In the motion in part No. 189 the government is invited to discuss with the provinces what steps can be taken to promote animal-friendly alternatives. Under the law, of course, it is already necessary to use as animal-friendly substances as possible. So if, for example, it can be chased away, then it is the killing of animals that cause nuisance or damage. Of course, it is always possible to discuss with provinces whether further steps can be taken to promote animal-friendly alternatives. I'd like to be willing to do this. I shall therefore leave the vote on this motion to the Chamber as well. Mr Heerema asked a question about the Oostvaardersplassen. This issue is currently in the province of Flevoland. I hope that in the not too long term she will make a final decision. It will then be possible to sign definitively in the short term, at least before the end of the summer, but preferably even faster.
ParlaMint-NL_2016-06-08-tweedekamer-6.u32	Maybe the Secretary of State wants the motion in part no. 188, are you sure you're gonna take over?
ParlaMint-NL_2016-06-08-tweedekamer-6.u33	That's a good question.
ParlaMint-NL_2016-06-08-tweedekamer-6.u34	I think it is very nice that the Chamber has introduced this instrument. I have been on that side too, and I always think it is right for the Chamber to state what it expects from the cabinet. It'll meet that. In this case, too, I would like to be prepared to do so. We already talk to provinces when there are animal-friendly alternatives. So here too, I'd like to leave the verdict to the Chamber.
ParlaMint-NL_2016-06-08-tweedekamer-6.u35	We have indeed introduced this instrument and the cabinet has been informed of it.
ParlaMint-NL_2016-06-08-tweedekamer-6.u36	The cabinet is free to use it, Mr. President.
ParlaMint-NL_2016-06-08-tweedekamer-6.u37	This doesn't sound very cooperative, let me put it this way.
ParlaMint-NL_2016-06-08-tweedekamer-6.u38	The Secretary of State says I'll take over, I'll do it. Then I would say: take over the motion. This works the fastest for both parties and is most effective.
ParlaMint-NL_2016-06-08-tweedekamer-6.u39	I shall first see if other Members oppose a possible takeover of the motion.
ParlaMint-NL_2016-06-08-tweedekamer-6.u40	Mr Van der Staaij has defended this here in order to prevent a flood of motions. If the Secretary of State sees anything coming, it is a flood of motions on agriculture. I would like a member of the Cabinet to follow what is customary here in the Chamber.
ParlaMint-NL_2016-06-08-tweedekamer-6.u41	I fully agree with that, Mr Dijkgraaf. But if the Secretary of State doesn't want to do that, we'll just vote on the motions.
ParlaMint-NL_2016-06-08-tweedekamer-6.u42	I have already said that if the Chamber comes up with something new that I have to say: I had not thought of before, I would be happy to take over. At the moment when the Chamber makes motions asking for things that we would do anyway, it is up to the Chamber to pronounce them. I'm saying we're gonna have that conversation anyway. I shall leave it to the Chamber to decide whether or not it wishes to take any motions on this matter.
ParlaMint-NL_2016-06-08-tweedekamer-6.u43	Mr Van Gerven, I see that you have something to say again, but we are not going to have this discussion. I would remind the Secretary of State of the debate that has taken place on this subject and that this has been going on for a few months. Maybe it's good to go over the Acts sometime. Before I give the floor to Mrs Thieme, I give the floor to Mr Graus.
ParlaMint-NL_2016-06-08-tweedekamer-6.u44	The Oostvaardersplassen have just been cited. I have been through a lot of rulers over the past ten years, but I really hope that this Secretary of State will put an end to the starvation of the animals there. Every year thousands of animals die there, possibly tens of thousands over the last ten years, starving. Please, Secretary of State, I ask through you, Madam President, why don't you do something about that? Hunger death is the worst form of animal cruelty that exists; it is just terrible. I really hope the Secretary of State is gonna show some balls.
ParlaMint-NL_2016-06-08-tweedekamer-6.u45	Oh, Mr. Graus.
ParlaMint-NL_2016-06-08-tweedekamer-6.u46	Madam President, that is simply speaking language. I can use that word, can't I? I'm just a simple guy from the eastern mining area, you know.
ParlaMint-NL_2016-06-08-tweedekamer-6.u47	That's no reason to use that kind of language, not even as a simple boy.
ParlaMint-NL_2016-06-08-tweedekamer-6.u48	Mr Van Gerven's motion also asks the government to report by spring 2017. Well, that's new, because that's probably not what the Secretary of State was planning. I want to know if that will be taken over as well.
ParlaMint-NL_2016-06-08-tweedekamer-6.u49	If the Chamber asks me to enter into talks with the provinces and report on them, I will do so.
ParlaMint-NL_2016-06-08-tweedekamer-6.u50	You may still respond to Mr Graus' appeal.
ParlaMint-NL_2016-06-08-tweedekamer-6.u51	The management of the Oostvaardersplassen has been adapted precisely as a result of the discussion in recent years. Mr Graus knows that too. That is precisely what has been done to prevent animals from starving in winter. It is planned that this management will now be transferred one-on-one to the province of Flevoland. In doing so, it also assumes responsibility for that management.
ParlaMint-NL_2016-06-08-tweedekamer-6.u52	For the Acts: Mr Graus meant muscles.
ParlaMint-NL_2016-06-08-tweedekamer-6.u53	Yes, Madam President, that says a lot more about you than about me, because I meant muscle. I don't know which balls you meant, but I meant muscles.
ParlaMint-NL_2016-06-08-tweedekamer-6.u54	Thank you. This brings us to the end of this VSO.
ParlaMint-NL_2016-06-08-tweedekamer-6.u55	We shall vote on the motions in ten minutes.
