ParlaMint-NL_2016-03-16-tweedekamer-4.u1	I would like to welcome the Foreign Minister.
ParlaMint-NL_2016-03-16-tweedekamer-4.u12	That common foreign policy is far beyond the horizon. There is no common foreign policy, only on small parts such as the application of sanctions. But even in that area, it's already wringing. The PVV does not at all believe that the European Union really contributes well to the interests of the Netherlands, even when it comes to foreign policy. Of course, we are happy to be able to work together with other European countries in foreign policy areas. However, this will have to be discussed and assessed on a case-by-case basis. The PVV plays its part in this in our domestic politics, here in the Chamber, just like any other group does. Everyone here can express their views. After that, a decision is made and we have to agree to that. That's the only way it's gonna be.
ParlaMint-NL_2016-03-16-tweedekamer-4.u13	Mr. Chairman. We're talking today about the National Penalty Act. That law stipulates that Aruba, Curaçao and Saint Martin apply EU sanctions in order to promote international peace and security. That is a guarantee for the unity of the Kingdom's foreign policy. That, I believe, is the core of the subject we are discussing today. We talk very often about sanctions in the Chamber, for example in our discussions about Russia and Ukraine, about Iran, about Syria, about North Korea and about tackling terrorism. The essence of these discussions is that we are at least trying to influence other parties' policies and behaviour, or to contain a concrete security threat. Sanctions can be an effective instrument of foreign policy, but certainly not always. The Netherlands has a reputation to lose in this area. We are an active player both in the context of the United Nations and in that of the EU, and we are strictly enforcing those sanctions, as laid down in the 1977 Sanction Act. Here too, the Netherlands has the necessary experience, with our financial sector, the port of Rotterdam and huge flows of goods. It is precisely because of the importance of these sanctions, the effectiveness of our foreign policy and also the reputation in this area of the Kingdom as a whole that the government considers it important that these sanctions be implemented throughout the Kingdom. I am therefore here as Foreign Minister of the Netherlands, but also as Minister for Foreign Affairs of the Kingdom. For UN sanctions, the obligation to implement them throughout the Kingdom was already valid for the Netherlands, Aruba, Curaçao and Sint-Maarten on the basis of international law. It is now stipulated that sanctions adopted by the European Union will also be implemented throughout the Kingdom. These could include sanctions that the EU adopts in addition to UN sanctions or self-employed, for example if no agreement can be reached in the UN Security Council. It is important that these sanctions are implemented throughout the Kingdom. This is also laid down in Article 3 of the Statute for the Kingdom of the Netherlands, on the unity of foreign policy. This also means that external relations are primarily a matter for the Kingdom and that the Minister of Foreign Affairs is responsible for this on behalf of the Kingdom. It is good to mention that briefly, because that is what this is all about today. Both the fight against international terrorism and the promotion of the international legal order are, in my view, a matter which concerns the Kingdom as a whole, and which is therefore also essential for uniform application throughout the Kingdom. Let me give you some examples. It can't be that a Russian citizen can't get his money that's in a bank account in the Netherlands, but that's with money that's in a bank account in Curaçao, Aruba or Sint-Maarten. It cannot be that Iranian oil could be processed in the refinery on Curaçao while that same oil could not enter Rotterdam. That is why we think this is important. In the area of sanctions, we have worked well on an ad hoc basis within the Kingdom, if there were suspicions of possible violations of EU sanctions. But that ad hoc approach is vulnerable, especially at a time when we are dealing with new threats and when people can move very quickly. Therefore, given the importance of the sanction instrument, we do not consider it desirable that it should be limited to some kind of ad hoc approach. That is why the National Council of Ministers has decided that EU sanctions should be structurally regulated throughout the Kingdom. I refer to Article 3 of the Statute and to the decision-making of the National Council of Ministers. That's why we started a parallel trajectory. The countries of Aruba, Curaçao and Sint-Maarten have, on the one hand, taken steps to incorporate into their own national legislation the necessary provisions for automatic readmission, as is already the case with regard to UN sanctions. On the other hand, from 2013 onwards, the development of a National Sanctions Act started, in close cooperation with the countries of the Kingdom. This is described in the note on the basis of the report. My predecessor and I have indicated that a national sanctions law would not be necessary if all the autonomous countries had adequately amended their own sanctions country regulations, i.e. with automatic readmission of EU sanctions, alongside UN sanctions. On Aruba and Sint-Maarten the national routes have been completed. Under their own sanction country regulation, they are therefore legally obliged to implement EU sanctions. In Curaçao, the States rejected a draft legislative proposal to this effect. That is why the law on sanctions at the state level is the only guarantee we need that Curaçao will take over EU sanctions and ensure the unity of the Kingdom's foreign policy. The Rijkssanctionwet takes this into account and allows for a tailor-made approach. For each country it is possible to determine which parts of the law are to come into force, depending on the extent to which they have not already regulated it themselves. This will be different for Aruba and Saint Martin than for Curaçao, because they have already put their own legislation in order. For the countries themselves, there is no difference between implementing EU sanctions, which one should do now, and UN sanctions. There is therefore no question of imposing obligations which are foreign to the countries. These are the same types of sanctions: listings, freezing of funds and the like. I understand that this is being discussed in the countries. After all, it creates an additional workload now that all current EU sanctions have to be taken over. These are 30 different sanction regimes. I understand, therefore, that this cannot happen at once. I also think it is important to stay in this conversation. It has been agreed with the countries that they will give priority to the implementation of the sanctions regime against Iran, Libya, North Korea, Ukraine, Russia, Syria, South Sudan, terrorism and Al-Qaida. I must point out that the implementation of sanctions is the responsibility of the countries themselves. This also applies to the implementation of UN sanctions. It is now important for the countries to get to work on this. The Netherlands is willing, because of our knowledge and because of the fact that they are very small islands, which have a huge additional responsibility, to provide technical assistance. We'll look at that on a case-by-case basis. Other actors, such as customs, are also included. For example, we are now working on the Ministry of Finance of Saint Martin to see how customs can be supported in controlling imports and exports. If Aruba, Curaçao and Sint-Maarten run into something in the execution, I'm sure they'll find us and our advisor Kingdom Affairs. Then we share best practices with them as soon as possible. The Legal Affairs Directorate of my department is already assisting in the legal implementation. If countries are to be subject to this EU sanctions legislation, that is the case if this law is adopted, even in the case of Curaçao, then of course you want those countries to be involved. They themselves have a judgment on matters. That's what was asked. Since the implementation of European sanctions can also directly affect the interests of those countries, Article 3 of the National Sanctions Act states that they are involved in the Dutch position determination in the preparation of possible sanctions decisions. Mr Van Laar has asked me whether the protocol that exists is being worked out and whether this is being done in consultation with the islands. The answer to that is yes. We are already working on this by consensus. The regional, economic and political interests of the countries can be taken into account at an early stage in the Dutch position on European decision-making. Wherever you have duties, you have rights. I don't want to be frivolous about this. That really needs to be taken seriously, because the economic consequences can be great. I want to take this seriously in the discussions at the Foreign Affairs Council in Brussels. That is why we have made concrete written agreements on the early involvement of the countries. We are already implementing this, in anticipation of the entry into force of this Act. It's about the following things. The countries must be informed about the Agenda in Brussels. Are sanctions coming up? Sometimes it has to be very fast and sometimes it takes a little longer. Then the countries will have the opportunity to express geopolitical and economic interests to us so that they can be taken into account. That is, of course, a weighting that the Minister for Foreign Affairs and the Minister for Kingdom Relations must make. The Netherlands shall also inform the countries of the official publication and entry into force of the sanctions and of any changes to these sanctions regimes. The countries also participate in the quarterly sanction consultation, which discusses the implementation of the sanctions with various relevant authorities. You could say that this obligation of alignment has been worked out in that sense. That's what we call beautiful nowadays: engaging in the front. I think it's very important that we do that right. We really need to work together to ensure that these things are not only effectively prepared, but also implemented. The pace of EU decision-making is often high and the information is often confidential. That means, because these countries do not formally belong to the European Union, we are politically obliged to raise this early. As you know, sanctions are accepted unanimously in Brussels. It is therefore possible, in principle, that the Dutch adoption of a sanction regime is blocked on the basis of a serious argument from the countries.
ParlaMint-NL_2016-03-16-tweedekamer-4.u14	That is no different from the fact that the Netherlands also looks at its own interests when it agrees to a sanction regulation. Does the National Council of Ministers, when it meets, offer sufficient guarantees in the eyes of the Minister to involve the countries, or can they also be expected, if a European regulation is adopted, to defend that regulation within its own parliaments?
ParlaMint-NL_2016-03-16-tweedekamer-4.u15	I am not, of course, talking about the way in which representatives of the national governments discuss things with their parliaments. I would like to point out that parliaments - and I say this in the direction of the PVV Group - have every right to represent their interests as they see them. I'm not going to do a round of Curaçao bashing here, which I thought I'd hear from again this afternoon. None of that seems important to me at all. If you want to do something effective together, you also take seriously what is being discussed in other parliaments. Nevertheless, because we have a joint responsibility, we will be very active in promoting and controlling it. However, implementation is a national responsibility.
ParlaMint-NL_2016-03-16-tweedekamer-4.u16	Moreover, there is every reason to be critical of Curaçao, but perhaps we will come back to that in the second term. My question is actually quite simple: does the Council of Ministers, which meets several times, offer sufficient guarantees to cover decision-making in the European Union towards the countries of the Kingdom?
ParlaMint-NL_2016-03-16-tweedekamer-4.u17	I think so, yes.
ParlaMint-NL_2016-03-16-tweedekamer-4.u18	Please continue.
ParlaMint-NL_2016-03-16-tweedekamer-4.u19	We therefore have a kind of priority. I said something about the preliminaries. Perhaps it is good to point out the questions raised by the Labour Party about the so-called dispute settlement. What if you can't agree? How do you deal with that? That may be the case. Indeed, the Minister for the Interior, in consultation with the countries, is considering how a dispute settlement procedure should take shape. We are now in an interim phase, as it is called. At present, it is not possible to determine when such a procedure has actually been established under Article 12a of the Staff Regulations. I would advise against using the dispute resolution procedure in the area of EU sanctions. This would create a very uncertain and suspensive element throughout the implementation of sanctions. It has a suspensive effect. It is both in the interests of the image of the Kingdom as a whole and of the autonomous countries and in the interests of the unity of the Kingdom's foreign policy that sanctions be implemented without delay and by all autonomous countries. This has to do with the security policy elements that play a role in this. In addition, as outlined above, the consultation and information mechanism works well. So it works in practice, I say to all Members present this afternoon. That preliminaries is essential. Nevertheless, I am prepared to examine, together with Mr Plasterk, whether and, if so, how the National Sanctions Act falls within the dispute mechanism to be established, without prejudice to the purpose of the National Sanctions Act. I will take this point with my colleague. This brings me to the end of the answer to the questions put by the Chamber.
ParlaMint-NL_2016-03-16-tweedekamer-4.u20	Thank you. I'll take a look around to see if there's a need for a second term. That's the case. I just want to know if there are any motions. There are not enough Members of Parliament in the Chamber to support the tabling of motions. There are no motions, I understand. I give the floor to Mr Van Laar.
ParlaMint-NL_2016-03-16-tweedekamer-4.u21	Mr. Chairman. Too many motions are never a good idea, as we heard in the previous debate. Thanks to the Minister for the first-term reply and also thanks for the commitment that it will be considered whether and, if so, how the Rijkssanctionwet can get a place within the dispute settlement system. Maybe there'll be a stand-alone position. I have one remaining question. The Minister said in the first term that this law is different for the different countries within the Kingdom. I was under the impression that this law would have no effect on Saint Martin and Aruba. Perhaps the Minister could indicate whether this is correct and, if not, what effect this law will have. I thought the countries already had the national regulations in order.
ParlaMint-NL_2016-03-16-tweedekamer-4.u22	Mr. Chairman. Thank you to the government for the first-term response. I believe that there are sufficient safeguards for the countries to at least consider whether their interests are proportionate to the effects of a possible sanction regulation and whether this consideration has been properly made. I think that's very careful. We can look again at the dispute settlement, but this should not lead to separate positions being created. I must not forget that Curaçao or any other country within the Kingdom is making a loophole, a sort of U-turn construction in respect of, for example, individuals or funds on penalty lists. This basically undermines one of the few concrete instruments of our foreign policy. Sanction regulations are generally blunt and not easy to set up. These are often villainous states or states which clearly do not comply with the international rules of law we have agreed on, which harm the interests of the international legal order and thereby the interests of the Kingdom of the Netherlands. It is very difficult to do something about that in international relations. Iran would never have sat at the table if there had been no sanctions. It took Europe a long time before it could agree to that sanction regulation, because the Greeks had extremely important interests in oil imports from Iran. It was that moment that caused the combined sanctions of US, UN and Europe to lead to a movement on the Iranian side. You can think very differently about the agreement that was then concluded and whether it has made it safer for us in 15 years' time or not, but at least it has led to an effect. This effect could only be achieved through uniform action by the European Union, to which the Netherlands has ultimately contributed. The same applies to Russia and other countries against which sanctions have been imposed. That's what we need to keep going here. It is therefore of the utmost importance not to allow loopholes and no exceptions.
ParlaMint-NL_2016-03-16-tweedekamer-4.u23	I think Mr Ten Broeke and I agree. Our proposals and questions were by no means aimed at creating exceptions. A dispute settlement or dispute settlement could only lead to the conclusion that the procedures are being properly followed and that this should be done in the future. If a country is hit particularly hard, it can be seen how that is solved. However, this is not an exception; I agree with Mr Ten Broeke. Hopefully he agrees with me that the rules that will soon be laid down in the protocol should be followed.
ParlaMint-NL_2016-03-16-tweedekamer-4.u24	Then let us agree and let the message to Curaçao be very clear that there will be no exception when it comes to the Chamber and the coalition. There may be a dispute procedure which only looks at the rules that have been agreed. Make those rules as clear and concise as possible, so that there can be no misunderstanding. This means that, in the run-up to such decisions, there must be a form of confrontation. That seems normal to me, and that is what is happening now. More than that is not necessary. We must avoid running holes at all times. If Mr Van Laar means by his last remark that compensation should be provided for those countries which are creeping a bit into his question, then I say that we are far from being able to do so.
ParlaMint-NL_2016-03-16-tweedekamer-4.u25	Mr. Chairman. I thank the Minister for answering the questions and responding to the comments. From what I have been told, I only think that the Netherlands is better off without the Antillean islands. The regular financial problems, corruption and maladministration in the Antilles have always been a reason for the Party for Freedom to completely break the kingdom ties with those islands. What I heard today underlines that once again. I heard the Minister say that the bill of the National Sanctions Act we are discussing today is a legal network. Basically, it's a legal net to get Curaçao to swim in the right channel. I also heard the Minister say that implementation is and remains a matter of country. In other words, once it comes to the execution, Curaçao is completely autonomous to see how it is going to do that. It can train that hugely, it can use all kinds of loopholes in it and it can swim all the way around that net, so to speak. So this whole national sanction law is just a pacifier. At least that leads to the idea that we do not want to be forced by Curaçao to introduce a national sanctions law now. As far as PVV is concerned, it is also... I see that Mr Ten Broeke wants to ask a question. Let him do that first.
ParlaMint-NL_2016-03-16-tweedekamer-4.u26	Are you done with your input?
ParlaMint-NL_2016-03-16-tweedekamer-4.u27	Almost.
ParlaMint-NL_2016-03-16-tweedekamer-4.u28	Then wrap it up first. After that, Mr Ten Broeke will have the opportunity to ask his question.
ParlaMint-NL_2016-03-16-tweedekamer-4.u29	Mr. Chairman. The PVV believes that the Netherlands should get rid of the duty of care towards Curaçao and the worries that Curaçao gives us.
ParlaMint-NL_2016-03-16-tweedekamer-4.u30	We can think differently about Curaçao, the Statute, the Kingdom and the question of who should or should not have been in it, and whether this will lead to a troubled relationship or not. However, it is difficult for Mr De Roon to maintain here that this state law is not in line with his objections and, moreover, with my own and my group, namely that a country such as Curaçao can just walk away from its responsibilities at the moment. On the contrary, we would like to close the loop. In that respect, I think the PVV Group can simply agree to this state law.
ParlaMint-NL_2016-03-16-tweedekamer-4.u31	I see it so that the PVV has been placed under this National Sanctions Act for a choice between two evils: a great evil and an even greater evil. In our view, even greater evil is the European Union's involvement in foreign policy. We don't want that interference at all. So we're not gonna swim in that trap. The other evil, namely that Curaçao can pursue a foreign policy on sanctions that is contrary to the interests of the Netherlands, is indeed also an evil, but we are taking that on sale. This underlines once again our desire to get rid of these islands. Let these islands carry out their own foreign policy, but without us still being responsible for it and without having to contribute money to it.
ParlaMint-NL_2016-03-16-tweedekamer-4.u32	This is how we know the PVV again; hence also my interruption in the first term. In the context of 'evil, evil, evil', I would really like to conclude that the PVV Group wants to make it possible, knowingly and knowingly, to circumvent sanctions in relation to rogue regimes, countries that threaten international order but also Israel, for example Iran. That is the greatest evil, and the PVV does not want to fight it here. Look, Mr De Roon, we can't do foreign policy here if you just want to keep your hands clean. Today we have a national sanctions bill ahead of us. This will prevent countries in the Kingdom from having their own foreign policy, with all the consequences. That is what you are running away from; that is my conclusion after my debate.
ParlaMint-NL_2016-03-16-tweedekamer-4.u33	That's not the right conclusion. The point is that the Netherlands must be able to determine its own sanctions and not be hindered by islands within the Kingdom. I have argued in the second term that in this context I would like to remind you that the islands, including Curaçao, can still do what they want to do when it comes to implementation. If this bill is adopted, then there will soon be a legal network, but they will still do what they want. That's what it's gonna come down to. The story of Mr Ten Broeke that the PVV is now cooperating in the avoidance of sanctions is, of course, wrong. Those sanctions are already being evaded and they will be evaded. That doesn't work for a second. That's why we shouldn't let ourselves be forced into this federal sanction law. On the contrary, the opposite must be done: away with those islands from our Kingdom. Then we're done with the whole thing. If countries such as Curaçao are to pursue a policy that runs counter to Dutch interests, perhaps we should consider sanctions against an island such as Curaçao.
ParlaMint-NL_2016-03-16-tweedekamer-4.u34	Finally, Mr Ten Broeke.
ParlaMint-NL_2016-03-16-tweedekamer-4.u35	We're just having a debate here; come on. The PVV Group wants the islands gone. You can wish for reality. You can hold on to all kinds of great ambitions that make the world look different, but today there's a National Sanctions Act for this. In doing so, we are making it possible to achieve unity in sanctions policy, for example with regard to Iran, Syria and Tunisia. I believe that you are now suddenly in favour of Russia. I would like to remind you, however, that by not adopting this national sanctions law, you are actually making the regimes in Damascus, Moscow and Tehran laugh. That's some sort of "dimmy attitude" from the PVV. I don't understand.
ParlaMint-NL_2016-03-16-tweedekamer-4.u36	Finally, Mr De Roon, because I see that there is a repetition of moves.
ParlaMint-NL_2016-03-16-tweedekamer-4.u37	Well, not quite; it's still interesting. When they laugh in the capitals just mentioned by Mr Ten Broeke, they are mainly laughing at the powerless action of the European Union. After all, I have just stated in detail that islands like Curaçao will still be able to escape because they are ultimately responsible for their implementation. That is their business, and we have nothing to say about it at the end of the day. If they can frustrate the place, they can. They certainly will. So we have to get rid of it. We need to get rid of these countries and that European Union.
ParlaMint-NL_2016-03-16-tweedekamer-4.u38	The National Council of Ministers is, of course, watching how long we do so. The Statute lays down a guarantee function to which the countries are bound. The National Council of Ministers can intervene if national laws are not sufficiently implemented. However, the PVV now allows Assad to open a bank account in Curaçao. That is what Mr De Roon does when he votes against this law, and that is wrong.
ParlaMint-NL_2016-03-16-tweedekamer-4.u39	He can do that now, and he can do that later, is it not on Curaçao or on one of those other rogue islands or in one of those other rogue states? Let us not be fooled: this is just a pacifier. The coalition parties like to suck on that pacifier, but it won't work.
