ParlaMint-NL_2016-06-14-eerstekamer-5.u1	I have already welcomed the Minister for Economic Affairs.
ParlaMint-NL_2016-06-14-eerstekamer-5.u12	I would like to continue with some of Mr Dercksen's questions, because I hear a number of assumptions in the Minister's reply. The Minister says that it is to be welcomed that the parliament can now also exercise more democratic control over the CBS through the Minister. This was not the case in the past, but it was not necessary either, because the two institutions were so close to each other in a scientific way that it has never happened before that the representatives of the people had the need to call the minister to account. That will be possible now, so the Minister says in fact that he thinks it is necessary for the apparatus to become more political and that it should also come under political control. It's always nice when things are clarified, but that has to happen if there's a problem, if something goes wrong. I ask the Minister what went so terribly wrong that he has decided to come up with this bill.
ParlaMint-NL_2016-06-14-eerstekamer-5.u13	There is no need to go terribly wrong to write in the coalition agreement that it is wise to look at the independent administrative bodies as a whole and see if we still have the optimal construction for this in all cases. It is also not wrong, if you get an opinion on this, to look at what would be optimal on a case-by-case basis. We have done the same in this case. We have looked at how it is now organised and how we think it could be optimally organised. At present we have a structure on the basis of which an independent administrative body does something and controls and directs another independent administrative body, while we also have the Minister. Despite my long experience in all government agencies in this country, I do not think that is understandable. I can imagine that people with less experience find that even less insightful. That is why we have looked at how we can make this clear. You can choose between an independent administrative body that carries out something on the one hand and another independent administrative body that directs and controls it on the other. You can also choose in our democracy to allow the government to play a role, as an independent administrative body, to play its own role, to protect it legally, and then to give Parliament the opportunity to address the minister. What can the Minister be called upon to do? I can be consulted on the work programme, on the multiannual programme, on the budget and on the annual accounts. So I have to make sure that there are no wrong things in there. What's wrong? What would be wrong would be contrary to policy rules that have been adopted or policies that have been adopted. As long as that is not the case, I cannot intervene in the programmes of the CBS. The CBS can therefore do independently, within the margins and the frameworks it has, what it itself thinks is necessary.
ParlaMint-NL_2016-06-14-eerstekamer-5.u14	I'm gonna try one more time. We have a structure with the CBS and the CCS. It's been functioning well for a few hundred years. So much so, that it's widely celebrated worldwide. Nevertheless, the Minister thinks it is right to make a legislative proposal precisely in terms of the structure, which has been going well for years and which no one has ever complained about. In my view, that looks like unnecessary legislation. The Minister still can't say what was so pressing to come up with this bill, other than that he thought it was rather inconvenient.
ParlaMint-NL_2016-06-14-eerstekamer-5.u15	This is a weird way of arguing. I am asked a question, to which I think I give a clear answer. Then it is said that I am not answering. I have said that we must take a critical look at the construction of the independent administrative body. It is a separate construction, which has certain disadvantages. We have had it examined for all independent administrative bodies. On the basis of this survey, we have examined on a case-by-case basis what the current construction is and what the desired construction would be in our opinion. In this case, we have found that the results have been good over the years, but that the chosen structure is an independent administrative body, controlled by another administrative body, and a role for the Minister is not clear and transparent. In addition, this construction limits the actual possibilities for Parliament to address the Minister. We have now maintained the construction of a single independent administrative body, clarified the role of the minister and strengthened the position of Parliament. I'd be fine with that.
ParlaMint-NL_2016-06-14-eerstekamer-5.u16	Let me conclude with one final question. How insightful and clear does the Minister consider that construction at the Financial Markets Authority (AFM)? It has a supervisory board constructed in exactly the same way as the CCS of the CBS.
ParlaMint-NL_2016-06-14-eerstekamer-5.u17	There is no proposal to change everything at the same time in all independent administrative bodies. There is only a proposal for the Central Statistical Office. As I have just pointed out, other self-employed administrative bodies are examined on a case-by-case basis how it is regulated and what is optimal in that situation. A conclusion is then drawn from this. You have to look at this on a case-by-case basis. So there is no point in comparing all these things and saying that what we are doing here is not good because we may be doing it in another way somewhere else.
ParlaMint-NL_2016-06-14-eerstekamer-5.u18	The Minister himself comes up with the fact that he takes a case-by-case view of where things are going well and where they are not. The CCS case was obviously not clear. I still do not understand why that is so, but at the AFM, the Minister or this cabinet does allow that same structure to exist. Why is the same construction at organization A not clear or clear, but at organisation B? That's not consistent.
ParlaMint-NL_2016-06-14-eerstekamer-5.u19	We do not decide on all independent administrative bodies at the same time, we introduce the same structure for all ZBOs, but look at the ZBOs on the basis of a general analysis on a case-by-case basis. It is therefore up to the States-General to assess us on a case-by-case basis. What we do or do not do with regard to the AFM will also be communicated with this Chamber in one way or another. It can therefore have an opinion on this. I can't tell you exactly what's going on with the AFM. I would not even know if we have already reached final conclusions on the AFM at this time. To the extent that this is the case, they will be able to be defended on the basis of the specific situation that exists there. Not all self-employed administrative bodies are one-on-one comparable.
ParlaMint-NL_2016-06-14-eerstekamer-5.u20	Finally, Mr Dercksen.
ParlaMint-NL_2016-06-14-eerstekamer-5.u21	This is extremely disappointing. I ask for two organisations that are both a ZBO and have a kind of supervisory board that is also a ZBO. I ask what consideration will lead to this change not being made at the AFM and at the CBS, but the Minister is full of teeth. That is disappointing, especially since two parties here are asking about the real reasons for deleting the CCS.
ParlaMint-NL_2016-06-14-eerstekamer-5.u22	This is a wonderful way of discussing it: asking me a question and when I answer it, saying that I am full of teeth. What the hell is that supposed to mean? Is that the way you argue here in the First Chamber? I have already given a very clear answer to this question on a number of occasions. I can repeat that a number of times, but that really doesn't make it any clearer. The Director-General of the CBS is thus guaranteed his independence in the manner I have just indicated. This is not just a matter of laying down a separate law for the Central Statistical Office and a separate law for the independent administrative bodies. It is also the culture between the cabinet and the Central Bureau of Statistics. How do you act as a minister in front of the CBS? This is a different culture from the culture that I believe Mrs Gerkens outlined with her question. She suggested that the minister would like to send politics on the CBS because he would like to make the CBS say things that would make cabinet policy look good. I hope that it is now clear that such an influence on the Central Statistical Office has never been present, as far as I can see. In any case, that is true for the period of my responsibility here, for more than ten years now.
ParlaMint-NL_2016-06-14-eerstekamer-5.u23	The minister just said something about the way in which we discussed things in the First Chamber. Then perhaps I could address him at the twisting of my words? I have not suggested at any time that this is why the Minister is abolishing CCS. However, I say that, and I repeat here that statistical research must be above all suspicion. In this way, the image of independence is compromised. We should all blame ourselves, including this minister.
ParlaMint-NL_2016-06-14-eerstekamer-5.u24	Mrs Gerkens cannot seriously believe that the independence and quality of the statistical data depend on the fact that we have two independent administrative bodies in one organisation, and also a minister with responsibility. It does not believe that the quality and credibility of the statistics in the Netherlands is guaranteed by this structure alone. Of course, there is absolutely no question of that. These matters are primarily guaranteed by careful legal provisions. They were already there and they remain there; they are even being improved at the moment. Secondly, these matters are ensured by the culture of dealing with the CBS. This culture is that we very much want the right figures to be given independently, so that we can base government policy on hard data and have no ambiguity about the basic principles of our policy. That is the way we work here in the Netherlands. It would be very strange if only because we now have two Zbo's on that one organization. The Director-General of the CBS shall have the possibility to set up advisory councils. That's gotta be some real advisory advice. Mrs Gerkens says that you should have such an advisory council set up the work programme, but that would confuse things. A board of advice is there to give advice. The Director-General of the CBS already has and does the opportunity to set up advisory councils. One more Central Advisory Council could be added. The CCS budget remains available and could also be used for this purpose. It is up to the Director-General of the CBS to do so. We have not imposed any restrictions on this, except that we have clearly laid down the duties of the Minister, including the approval of the work programme, in the law and that the Minister should be called upon to do so by Parliament. This may ask why the Minister has approved a work programme. The Minister can then justify this to Parliament. That seems to me to be an excellent way of working. Mr Dercksen pointed out that the Director-General of the CBS was entitled to recommend a new Director-General. He felt that the advice board should be able to do more. The council of opinion has been firmly anchored in the way that the House of Representatives has discussed with me. The advisory board can do meaningful business. This is a good addition to what I have just said about the relationship between DG CBS and the Minister. The way in which we now wish to deal with the advice board, including the way in which the Director-General of the CBS wishes to deal with it, is the best way of working. In my opinion, this will also be recommended by Eurostat as an 'even better practice'.
ParlaMint-NL_2016-06-14-eerstekamer-5.u25	For the sake of clarity, I would like to explain where the PVV stands. We would be happy if the CCS would continue to exist. Whether it falls under the heading of "zbo," "consultative board" or "supervisory board," it will be our business. That is how we are in this structure. We are not against the deletion of Zbo because we are by definition in favour or opposed to Zbos, but the amendment on a supervisory board has been rejected in the Lower House. If this amendment had been adopted, the whole of the Zbo CCS would have become a kind of advice board, with all the tasks they had. As far as we are concerned, that would have been a good solution.
ParlaMint-NL_2016-06-14-eerstekamer-5.u26	You would have kept the same unclear situation, but with a different stamp on it. That's exactly what the cabinet didn't want. I have already said that I think Mr Dercksen is taking a completely wrong approach. He says the CBS is going to try to satisfy the minister. I can assure him that this is not a consideration for the CBS and the Director-General for a second. He says the Netherlands adapts to southern Europe. Maybe he likes to say that, but of course it's completely unrelated to reality. Mrs Gerkens, with the cabinet, believes that an independent statistical institute is of great importance to our country. I fully agree with that. I think that the fact that there is now no CCS that can direct research to DG CBS only makes the matter clearer. The independent position of the Director-General of the CBS shall be ensured in all possible ways. With his organisation, he can do what is necessary from his own expertise. He's responsible for that, too. For this, documents are drawn up which the Minister can influence in a manner as laid down in the law. I think that's the best way to maintain that independence. Mrs Gerkens says that all power now lies with the Minister and that the advice board can only give tips. The advice board is there to give advice. The power lies with the Minister in so far as he can or cannot approve the annual budget, the annual accounts, the work programme and the multiannual programme. It's a logical, limited power, controlled by parliament. Within that power, there is the power of the director-general of the CBS to ensure with his organisation that the quality of statistics remains at the level that has been the case in recent times. I have one final comment to make. Mrs Gerkens mentioned a few examples, and one of them was that the CBS would wrongly have given the impression that income differences in the Netherlands are small. I say to her that the income disparities in the Netherlands are relatively small. That's just a fact. That says not only the CBS, but that is evident from every investigation. If you compare the countries in the world, in the OECD or in Europe, the Netherlands is one of the two or three countries with the smallest income differences. That's the way it is. She says there are greater power differences. That's true, too. However, if you look at the differences in income in the world, that is what is at the basis of capital in most cases, you can see that these are small in the Netherlands compared to other countries. I hope that I have dealt with the various points raised by the spokesmen in this way.
ParlaMint-NL_2016-06-14-eerstekamer-5.u27	Thank you, Minister. Then we have now reached the second term of office.
ParlaMint-NL_2016-06-14-eerstekamer-5.u28	Mr. Chairman. The Minister and the PVV aren't getting any closer. That happens all the time in this house, I have the idea. As far as we are concerned, it has not become much clearer why there is a relationship that was not insightful. I have, of course, looked at the debate on the other side, in the House of Representatives, and also read the documents. We have had written consultations on this. It is completely unclear to us. After the legislative proposal has been submitted, a report has been submitted by Eurostat. If that warns of less reliable and less independent statistics, that should really give thought. At least that is the case with my group.
ParlaMint-NL_2016-06-14-eerstekamer-5.u29	Thank you very much, Mr Dercksen. The Minister states that he has the opportunity to reply immediately.
ParlaMint-NL_2016-06-14-eerstekamer-5.u30	Mr. Chairman. I am glad that I was able to see this afternoon that the word 'euro' falls and that there is a positive attitude on the part of the PVV. Normally, the word 'euro' is enough in any way to come up with negative criticism, but here I am told something that comes up from Europe and is said to be something to set you up. I would very much like to focus on the desire for independence of the Central Statistical Office. I am convinced that we have done this in the best way possible with this bill.
ParlaMint-NL_2016-06-14-eerstekamer-5.u31	We think that we could organise our own statistics in the Netherlands. It was my hope, however, that, by mentioning Eurostat, I could get both this Chamber and the Minister moving.
ParlaMint-NL_2016-06-14-eerstekamer-5.u32	Anyway, at least the beginning is there. There is a European opinion and there is a positive response from the PVV. That offers hope for the future.
ParlaMint-NL_2016-06-14-eerstekamer-5.u33	I'm here to deal with the bill. Does one of the Members wish to vote on the bill? That's the case. Then I suggest we vote on this bill next Tuesday.
