ParlaMint-NL_2016-12-14-tweedekamer-4.u1	I would like to welcome the Prime Minister. Good day, Mr. Omtzigt.
ParlaMint-NL_2016-12-14-tweedekamer-4.u47	I asked the Prime Minister about this. What Mr Van Dijk is saying, I do not think, is what the legal situation is. I am very curious about that, because that is an important part. Then the first. The SP has been going so far over the last nine months that it is almost impossible to follow. First of all to all kinds of people claiming that things are going to happen as a result of the association agreement that is not in the agreement. So just say that things are gonna happen that aren't gonna happen. Then say: no is no, without listening to what concerns the no-voters. After that, those who want to meet the 'no' vote will seek solutions that must be legally binding, so that it becomes clear that Ukraine will not become a member, that there will be no money for Ukraine and that there will be no far-reaching military cooperation. Then Mr Van Dijk tells me that the weather is not good. The point is that in a legally binding way, the substance of the 'no' vote is respected. It has raised a number of concerns that need to be addressed. When that happens, you have listened to the concerns of the people about this agreement. That's what D66 is about.
ParlaMint-NL_2016-12-14-tweedekamer-4.u48	The SP has been crystal clear from day one: a no is a no, the treaty has been rejected. That's not gonna happen. The Prime Minister wants a statement. That statement is purely cosmetic and a wash nose, because one of the two treaty partners does not even sign with it. If Mr Verhoeven is a guy, he says here to the Prime Minister: D66 cannot accept such a statement, because it is literally worthless until Ukraine signs. Do you agree with me?
ParlaMint-NL_2016-12-14-tweedekamer-4.u49	If Mr Van Dijk were a guy, he would tell all the no-voters that he lied about Ukraine becoming a member of the European Union as a result of this association agreement.
ParlaMint-NL_2016-12-14-tweedekamer-4.u50	Lie?
ParlaMint-NL_2016-12-14-tweedekamer-4.u51	Please continue.
ParlaMint-NL_2016-12-14-tweedekamer-4.u52	Yeah, but... lie?
ParlaMint-NL_2016-12-14-tweedekamer-4.u53	No, please continue. This is a personal fact, not a further question.
ParlaMint-NL_2016-12-14-tweedekamer-4.u54	Didn't he say so?
ParlaMint-NL_2016-12-14-tweedekamer-4.u55	No, Mr Verhoeven has the floor.
ParlaMint-NL_2016-12-14-tweedekamer-4.u56	Mr. Chairman.
ParlaMint-NL_2016-12-14-tweedekamer-4.u57	Mr Van Dijk, what are you saying?
ParlaMint-NL_2016-12-14-tweedekamer-4.u58	Mr Verhoeven implies that we have said that this treaty is a step towards membership of Ukraine. That is what we have always said, and it is. Don't talk about lies, you don't fit.
ParlaMint-NL_2016-12-14-tweedekamer-4.u59	Proceed, Mr Verhoeven.
ParlaMint-NL_2016-12-14-tweedekamer-4.u60	Mr Van Dijk knows that it is different. The SP has said daily in the halls that Ukraine would become a member of the European Union through this treaty, and the SP has responded to the fears of the electorate. This fear must be overcome by a legally binding declaration that Ukraine will not become a member of the European Union. It can be as simple and as clear as that. The VVD has also said that I should like to go back to the Prime Minister's statement that asylum seekers should return to Africa. I have not heard that position before. If this has now become a cabinet policy, I ask the Prime Minister. If that is the case, I would like to hear how this is compatible with the international conventions which the Netherlands is bound by in Europe. The VVD seems to like to pretend that they are only economic migrants, but knows as well as I do that it is certainly also about people fleeing because they are threatened because of their orientation or belief. Then to the Turkey deal and the situation in Turkey. The cabinet continues to hold on to the Turkey deal, but the fact that Erdogan is threatening to blow up this deal doesn't seem to hurt anyone. I ask the Prime Minister: what is his alternative? What does he do if Erdogan really opens the borders tomorrow, what is plan B of this cabinet? The Greek hotspots are already overcrowded. More than 16,000 people are already trapped on the islands alone and with the Greek mainland they are 62,000 people in total. That's as many people as Nieuwegein live, and that's with an influx of zero. What's gonna happen if the influx pulls back on? Is the Prime Minister prepared to argue at the European summit for getting the Greek hotspots in order as soon as possible? What is the Prime Minister doing to persuade the Eastern European countries to participate in a fair distribution and how does he ensure that Europe can cope with the blows of the Turkey deal? How does he assess the Commission's opinion on the resumption of Dublin transfers to Greece? Does he think the European Court of Justice will accept this? Two weeks ago, we had a special debate with the Foreign Minister. During the debate on EU enlargement, he said he would make a plea for the temporary suspension of the accession negotiations with Turkey. I read in the report of the General Affairs Council that he has only advocated the establishment of the fact that no new chapters have been opened since June. We have not tabled a motion as a Chamber because we had confidence in the manner in which the Foreign Minister would honour this commitment. The way in which he has done so now is not the desired clear signal to Turkey that the Chamber needed. I urge the Prime Minister to implement this commitment at the European summit. Then the visa liberalisation. In a previous debate on the European Summit, the Prime Minister undertook to urge the Commission to critically review the criteria already identified. Research carried out by D66 has shown that some criteria have been checked out very smoothly or prematurely. However, the progress report does not reveal any of this critical re-evaluation. Can the Prime Minister explain that? My final point is about the Brexit. From the annotated agenda, I understand that there will be a separate EU-27 session with the 27 Member States without the United Kingdom, to discuss the organisation of the process of future Brexit negotiations. All I miss is the cabinet's commitment. What will the Prime Minister advocate at this EU-27 summit? How does he prefer to organise the trial? I'd like to hear a response.
ParlaMint-NL_2016-12-14-tweedekamer-4.u61	Mr. Chairman. If you love Europe, stop dreaming of more Europe. It could be just a sentence from the Christian Union election programme, but it was the Prime Minister who spoke these words. I wholeheartedly agree with him. The Christian Union has always advocated European cooperation. This cooperation has been a blessing for our continent in many respects. She has brought us peace, security and prosperity. But the Christian Union has always advocated a Europe that knows its borders. Europe is failing to tackle major problems, which require a European approach. Let me give you an example of the refugee crisis. There are other areas where there is no need for cooperation. So Europe is big in small business and too small in big business. After the Brexit, the gas pedal of European cooperation seems to be stepped up, hoping to save the European project. There are plans for a European intelligence service and for European defence. Commissioner Moscovici is acting as Minister for Finance of the euro area. There's no end to it. That's playing with fire. This puts cooperation at risk and we lose the support of the people. I would ask the Prime Minister to explain this development along his own measuring bar, which he laid down in his speech in Warsaw. I'm coming to the Ukraine referendum. The Dutch people's 'no' vote in that referendum is also part of this growing discomfort about the European Union. Does the Prime Minister, like the Christian Union, see the risk that the inconvenience will be fuelled by the choices of the cabinet following the outcome of the referendum? Do you think he could go into that? For my group, first of all, the cabinet must do justice to the no vote that sounded in April. The cabinet is still looking for a way out to ratify. We have said before that the Christian Union does not yet see this way out. But we will see what the cabinet comes back with from Brussels and we will judge it next week. My next point concerns the Turkey deal. By now, 16,000 people are stuck on Greek islands in degrading conditions. They're in the cold, the rain. There are children and elderly. That's actually a damage. It is a disgrace to Europe. This represents a failure of Europe's asylum policy. There are also 60,000 people trapped on the Greek mainland. The redistribution of refugees has hardly begun. Some Eastern European countries refuse to implement the agreements. But the Netherlands is also lagging behind in accepting the promised refugees. Will the Prime Minister appeal to other countries to comply with the agreements? What will be the Prime Minister's commitment to solving the need in Greece? Turkey still does not fulfil the conditions for visa liberalisation. When are we gonna stop fooling ourselves? As far as the Christian Union is concerned, the Prime Minister must work to end these accession negotiations between Turkey and the European Union. Is he willing to do that? Austria has now confessed to colour and said that we must put an end to it. What else have the words of Minister Koenders been worth? Mr Verhoeven has already asked for this. Minister Koenders said that we are going to work to freeze these negotiations. Is that the Dutch government's commitment? In the context of the Brexit, the Christian Union Group has serious concerns about the position of the Dutch fishing industry. The Brexit can lead to enormous economic damage for many entrepreneurs and for our economy. It is therefore a good thing that a motion from the Christian Union was adopted last week which states that fishermen should be spared by suspending landing duty during the Brexit process. But now the Secretary of State for Economic Affairs has given a far too narrow explanation to that motion. That motion states that the government must do everything in its power to suspend this landing obligation. However, the Secretary of State says: well, if it comes up at some point, I'd like to talk about that for a while. That's way too skinny. Is the Prime Minister prepared to stand up for our Dutch fishermen in Brussels and act in accordance with the motion on suspending landing duty?
ParlaMint-NL_2016-12-14-tweedekamer-4.u62	Mr. Chairman. Today is 245 days after the "no" of the Ukraine referendum. All this time, the voice of more than 2.5 million Dutch people is completely ignored. At the end of the week, this democracy-hating Prime Minister will even try to close his Ukraine deal over the back of all those voters. It is a low point in recent political history. And while news agency Reuters already saw the secret documents, the parliament can't know anything at all. VNL no longer has any confidence in this unreliable VVD Prime Minister. The main reason the voter voted against on 6 April was the huge corruption in Ukraine. The European Court of Auditors recently stated that, despite EU billions of aid, Ukraine is still the most corrupt country in Europe. So the no-thumb was right. The ratification of the Treaty will only increase their distrust of politics. And that is not only true of the Ukraine Treaty. Of course, the migration deal with Erdogan should never have been closed. It makes the EU vulnerable to Turkish blackmail. It is naive and dangerous policy. The agreement doesn't work at all. So far, only 748 migrants have been returned. But almost EUR 700 million has already been transferred to Turkey. Nearly EUR 1 million per asylum seeker. It's really absurd. We therefore say: stop it, no visa-free travel for almost 80 million Turks and never Turkish accession to the EU. In recent years, my group has tabled several motions to drag migrant boats off the European coast back to Africa. These motions were always dissuaded by the Prime Minister and the VVD always voted against. But at a conference in Poland two weeks ago, the Prime Minister suddenly talked about the need to pick up and drag back migrant boats. With the election in sight, he struck out just as tough, right-wing language. He didn't mean it, and the voter doesn't buy it anymore. On 15 March 2017, he will deal with this hypocritical and unreliable cabinet.
ParlaMint-NL_2016-12-14-tweedekamer-4.u63	Mr. Chairman. The Prime Minister plays a high game on the Ukraine referendum. He's playing a big game in Europe, because there's a lot to ask for. It calls for a very firm statement to be signed with five points that are quite sensitive. So the question remains whether the Prime Minister is going to come back with the full 100% of his commitment. Can the Prime Minister give an estimate of the probability of that? And although the Prime Minister will return with 100% of his commitment, it is only the question whether this 100% of his commitment will be experienced here in the Netherlands will be felt as a real justice to the "no" in the referendum. My group has serious doubts about this. You can reason with anything. You can say from the ratio: here a number of substantive objections have been addressed. The Group of the Greens/European Free Alliance has been, and continues to be, a strong supporter of the Ukraine Treaty, but we saw that in the debate a number of improper elements were demolished which received enormous emphasis. But no matter how you turn or turn it, the referendum is and remains an instrument that ultimately produces a "yes" or a "no." It is therefore at the very least a question of whether, with all these efforts and the high game of the Prime Minister, something that will actually be seen and felt in the Netherlands as doing justice to the referendum will come true. Until now, my group certainly has great doubts about this. For this reason, we have already indicated in the previous debates that there is a very low chance that GroenLinks will ultimately be in agreement with ratification of the Treaty with this commitment. No matter how rational you look at it, it will be extremely difficult to get this explained in the Netherlands in such a way that the Dutch feel that justice has been done to them.
ParlaMint-NL_2016-12-14-tweedekamer-4.u64	Can Mr Grashoff tell me what the commitment of GroenLinks is on this subject? Does he agree with me that the outcome of the referendum was clear, that no was voted and that the Prime Minister should therefore proceed with the repeal law and not continue with his attempt to secure a legal declaration to the Treaty?
ParlaMint-NL_2016-12-14-tweedekamer-4.u65	No, I do not agree with Mr Van Dijk. We have certainly given the government the opportunity to get to work in this way. This means that we are also waiting for that result, but I think I have been clear about the management of expectations.
ParlaMint-NL_2016-12-14-tweedekamer-4.u66	Should I be disappointed to note that GroenLinks could also agree to a legal statement that is purely cosmetic? Ukraine is not even going to sign that declaration, so it is not legal. Why does Mr Grashoff not agree with the view that it was a no and that the treaty should therefore be withdrawn?
