ParlaMint-NL_2016-11-30-tweedekamer-4.u1	I would like to welcome the Minister in our midst.
ParlaMint-NL_2016-11-30-tweedekamer-4.u12	I didn't hear a question right away. That is why I give Mrs Oosenbrug an opportunity to ask a question.
ParlaMint-NL_2016-11-30-tweedekamer-4.u13	I had to let it work on me for a while. I heard about a small unit with smart thinkers. Of course, I'm always in favour of that. I'm just wondering what's going on here. We also tried this at the ICT Testing Office (BIT). We said, "Come on, put people out there; put creative thinkers in those who know things." In this case, Minister Blok is responsible for this and officials are placed there. I won't say anything to the detriment of officials. I know a lot of enthusiastically thought-provoking, good officials.
ParlaMint-NL_2016-11-30-tweedekamer-4.u14	What's your question?
ParlaMint-NL_2016-11-30-tweedekamer-4.u15	Those officials have united in Pleio as well. Aren't we gonna recreate something that's long gone? Is a "digidendktank" I just throw this concept into... isn't it very interesting when there are people from outside? You shouldn't want to hire them inside the government, should you?
ParlaMint-NL_2016-11-30-tweedekamer-4.u16	I actually hear two questions here. The first question is about the BIT we rigged. In the beginning, there were mostly civil servants. That is also what the Minister for Housing and National Service has indicated. After that, he supplemented it with people from outside. That's what I had to do. It had to be a interaction between people inside and people outside. The BIT is there to look at projects before they start. So this has a different role to the role of the group I am proposing. This is about the whizzkids. Mr Elias, the Chairman of the Temporary Committee on ICT, called them "the boys with the hats backwards on their heads." It's about people who think about what you could do with the digital government and what projects it could deliver. In England, this has led to 20 concrete proposals. This is more about substantive proposals than about what BIT does, namely checking that projects are okay.
ParlaMint-NL_2016-11-30-tweedekamer-4.u17	The BIT is indeed an example: all good intentions, but in the end it doesn't come out completely. Mrs. De Caluwe always mentions, like so many people, the smart guys, but I'm gonna lance for the smart women. In that respect, I would point out the Dutch Women in cyber security. Although these women do not wear caps backwards on their heads, they have discovered, for example, that there are incredibly many leaks in hospitals and apps. They're creative thinkers. You shouldn't want to hire the government and put it behind a desk, because then creativity will be lost. I'm trying to make that clear. You can fly these people in any time. They're always willing to come out here and take the Bits of Freedom, the Women in cyber security, but don't take them. That's my plea. I support the warm feeling of the VVD, but don't hire these people. Fly them in once in a while. Ask them and take a look. That doesn't have to cost anything. I know that community. On the contrary, these people want to ensure that we all create a safer and cheaper world when it comes to ICT. So I don't have a question. It's more of a warm plea.
ParlaMint-NL_2016-11-30-tweedekamer-4.u18	I'd still like to comment. Mrs Oostenburg's first point is entirely justified. It's also about pretty girls, handsome in their heads that you can put on them. Then something about hiring. I'm sure there's talk to me about whether or not you should hire those people. I advocate attracting people from outside. Do you have to hire them? Maybe not. If you go for a changing composition because you have a different need each time, for which you need different expertise, then you have to hire other ladies and gentlemen. I'm sure there's talk to me about not hiring those people. I will continue my speech. Currently, municipalities are working on joining the digital infrastructure. However, not all municipalities do this yet. They're hooked up, but they're not all working with it yet. The central government cannot impose this. However, there is a need to agree on one format. The Dutchman suffers if not all governments can exchange information, because that is precisely the intention of the BRP. This will also enable the information to be made available. According to the Veldman/Oosenbrug motion adopted unanimously, the government must establish a common framework of standards applied by all public institutions. A number of principles have been formulated, but they leave room for differentiation. How is the Minister going to reach these necessary agreements? Part of the Digital Government is the open government. In the framework of open government, Mr Veldman, among others, has tabled a number of motions which were able to count on a firm majority. However, the Minister is not always clear in his letter following the motions. I have some questions about that. The Minister, together with other public authorities, must organize the information system and draw up an action plan for this purpose. What's the status of this? The Minister has promised to produce further results in 2016 on efforts to pool financial resources for the digital infrastructure. How's that going? The Minister has entered into consultation with the VNG to improve the application of open standards by municipalities. For this purpose, the Minister would lay down a legal basis in the General Digital Infrastructure Act. This law will come to the Chamber in December, but is it now in the Chamber? All these things are needed to keep pace with the rapid developments in ICT. I look forward to the answers with interest. Another thing about the subcluster Housing, Spatial Planning and Urban Renewal of the Municipal Fund. The Minister decided to redistribute a second 33% tranche and not to carry out a third 33% tranche. The VVD understands that from the point of view of avoiding excessive annual fluctuations. A lot of municipalities are asking for that, too. The VVD would like the last 33% to be included in the review which is currently being worked on, on the basis of last year's Veldman motion, in which a review of the Gemeentefonds was requested. Can the Minister give an opinion on the inclusion of redistribution in that complete review?
ParlaMint-NL_2016-11-30-tweedekamer-4.u19	Mr. Chairman. In 2012, this parliament had big plans with the public administration: the wild provinces merge, as well as parts of the country. It wanted to blow up municipalities with more than 100,000 inhabitants. There would be new ballots, which is rumbling in the margins. The highest administrative ruling would be reorganised, while the Netherlands scored well on the European barometer. The highest administrative court has become the playball of the coalition. There would be a quarter fewer city council members and a quarter fewer provincial statesmen. How can you see the people's representatives at a time when the citizens are crying out louder than ever before? We are now four years ahead and it is time to take stock of the situation: there have been no super-provincies and municipalities and no new ballots have been issued. The highest rule of law still functions as usual and the number of representatives of the people has been maintained. That is what the CDA Group has been committed to. What is good must be preserved and innovation must make a substantial contribution to the inhabitants or society as a whole. How do you come up with the idea of recklessly cutting back on the AIVD, an important knowledge-intensive organisation, at a time of social unrest and national security risks? If we had not immediately called the bell, the cuts in this cabinet would have continued with all the consequences for the security of all our inhabitants. Now the Foreign Minister wants to seriously consider a European CIA. What is the view of the Minister of the Interior as responsible for the AIVD? And then there's the referendum the CDA has always been against. This cabinet also signed the consultative referendum. One day after the Ukraine referendum, exactly on April 7th, the minister for the NOS camera said that we need to look again at the Referendum law. He said the rules are confusing for some. They should therefore be reviewed for future referenda. We have not yet seen any proposals from the cabinet. I would like a response from the Minister. What is the Minister himself proud of when he looks back on this cabinet period? What has the Minister achieved in concrete terms for our citizens over the past four years? Looking back, this cabinet has little regard for rural regions. These regions still have 80% of the inhabitants of the Netherlands and 20% live in the ten largest cities. As an example, I mention the situation in the South of the Netherlands, which was affected earlier this year by hail and water damage. The impact on the affected families is enormous. There are people who are hard-working entrepreneurs and there are people who earn their living from or from these entrepreneurs. These people feel abandoned by the Empire. Only Secretary of State Van Dam came to take a look. He immediately said he couldn't do anything for these people. Unfortunately, we have not seen or heard the Minister of State responsible for the entry into force of the emergency law. The Secretary of State for EZ said I'm not here for the farmers. Does the Secretary of State say I'm not here for the citizens? Then there's the precario charge. The Minister recently sent a bill to the Chamber to abolish municipal taxes on cables, pipes, gas, water and light. That is a good thing, but in the meantime an average household will pay as much as €50 more for gas and light. Because the minister has hesitated for so long, even more municipalities will raise precario, or they will even increase the rates. Many municipalities started raising precario this year. It's still going on. The submission of the bill does not seem to act as a brake, but rather as an incentive to introduce the precario charge quickly or to increase the precario rate. With a transitional period of no less than ten years, this continues to pay for the neighbouring municipalities. Is this what the Minister calls solidarity? Does this policy not undermine the distribution system of the Municipal Fund? I would like a response from the Minister. Then the regions. The regions are not the backyard of the Randstad. The CDA believes that urban and rural areas should not be sidelined, but that one should strengthen the other. There are enormous economic growth opportunities in the regions. The Van Zwol report that we once looked at and discussed clearly shows this. Municipalities, provinces and the Empire have to move together. And the foundation of this cooperation is trust. This confidence is undermined if municipalities in the region feel that financial resources are not being distributed fairly. An example is the distribution within the Cluster Housing, Spatial Planning and Urban Renewal of the Municipal Fund. No less than three research reports show that the distribution has to be different. The VNG, the representative of the municipalities, believes that the distribution should be different. And what does the Minister say? He thinks it's only two-thirds different. Does the Minister understand why people think: in The Hague they do what they want? This way you don't buy trust in each other. Municipalities with a large outdoor area should also be able to maintain their own infrastructure, greening and waterworks in tight times. The impact of non-transmitting the new distribution is considerable. A medium-sized town like the Limburg Venray runs a total of 0.5 million per year. The CDA Group therefore asks this minister to implement fully the proposed new distribution of the municipal fund. Then the digital government. We are on the eve of 2017, on the eve of Digital 2017. Citizens should be able to do all their business with the government digitally from 2017. The CDA Group supports this ambition, but in our opinion the impact is far too slow.
ParlaMint-NL_2016-11-30-tweedekamer-4.u20	I have another question on the previous point, the redistribution of the Community fund. Mr Amhaouch says that Venray, for example, misses a lot of money. If you redistribute now, you'll have to change your fluctuations again. Maybe Venray's gonna get something, but a neighborhood's gonna get something off. Will Mr Amhaouch also take care of this in the short term?
ParlaMint-NL_2016-11-30-tweedekamer-4.u21	Of course we want to do that, or the Minister must have another solution. There are three reports. The Minister himself asked for an investigation. If you ask for advice from three bodies, the Financial Relations Council and a number of other organisations, then you cannot say: I am only going to do so in part. About 10% of the municipalities will decline, but 90% of the municipalities will improve. That is a piece of solidarity and the studies have shown that the distribution is not fair today. When you say "A," say "B."
ParlaMint-NL_2016-11-30-tweedekamer-4.u22	Finishing Mrs. De Caluwe.
ParlaMint-NL_2016-11-30-tweedekamer-4.u23	What does Mr Amhaouch think of the call from the more than 200 aldermen who have stood here and who have said: please do not work with fluctuations again, because we are dealing with this uncertainty?
ParlaMint-NL_2016-11-30-tweedekamer-4.u24	The mailbox has been filled with messages from aldermen and mayors of all kinds of parties since the beginning of this year, who simply want a fair distribution. I'm getting totally different signals. The representative of the interests of VNG says on behalf of the municipalities: "Dear Minister, the municipalities have adopted this motion, carry out this redistribution and ensure trust in the municipalities."
ParlaMint-NL_2016-11-30-tweedekamer-4.u25	For the sake of care of the debate: didn't the administrative part of the UNG just say that you shouldn't do that now? Has there not been a 51% vote against 49% at the UN Council of Members? So should we not also note that the municipalities are also very divided? Aren't those the facts? I'd like to look it up, but I think that's the facts.
ParlaMint-NL_2016-11-30-tweedekamer-4.u26	The fact is that the VNG has adopted a motion. Let us not end up here in games in The Hague and ask whether a motion has been adopted with a little more or a little less. If we adopt a motion in this Chamber, we shall take a motion. So I find it very strange that the PvdA should now divide between municipalities and within the VNG about that motion. The motion has been passed. Mrs. Fokke acknowledges that, doesn't she?
ParlaMint-NL_2016-11-30-tweedekamer-4.u27	The funny thing is, I don't play The Hague games at all. I am observing what is happening in the county, and I say that this motion was adopted by 51%. I don't think you've heard me say anything but that. I also say that 49% apparently did not agree. We have to note that, and this is not a game of the Hague, the municipalities are apparently also divided over the Gemeentefonds. Isn't it wise to face the fact that there's a lot of discussion about that portion? Last year, the Chamber adopted the Wolbert/Veldman motion. Let's take a look at it. The recalibrate is coming, let us take the last portion and let us make it clear once and for all.
ParlaMint-NL_2016-11-30-tweedekamer-4.u28	The municipalities are not divided. That is absolutely not the case. More than 60% or 70% of the municipalities are in favour of this redistribution, apart from percentages. Of course there are a number of big cities against; I understand that. And they count heavily in the mood. But the Minister of the Interior is all about almost 400 municipalities. He has to make that decision. That's important! We await the Minister's response in his term. I will continue with the subject of "digital government." What digital products has the Minister delivered so far? The Dutch business community is taking major steps forward in the area of digitalisation, but the government is lagging behind. How does the Minister see that? The government has to be there for everyone. But when digitalising, we have to use the brains. Last year it appeared that the Tax Administration had not thought about all the consequences of abolishing the blue envelope. What does the Minister do for the more than 1.2 million people in the Netherlands without the internet? The CDA group also lacks momentum and direction in the cabinet when it comes to voting with electronic tools. The equipment the minister is looking for with his market demand has long been on the market. Recently, the Minister announced that the follow-up will be launched this year. Can he promise to finish his job in this area? Also eID, the intended successor of DigiD, comes but not from the ground. The minister is overtaken by the banks with iDIN. If this goes on for a long time, we'll only be able to log in to the government with a bank card. As long as eID doesn't work, we need to use DigiD. How much longer can that be? Is DigiD's safety still secure at the necessary level? In addition, I would like to say the following. In October, the Prime Minister received the report "The Netherlands digital dry feet" from the Cyber Security Council. What measures does the Minister of the Interior take to ensure digital security in the public domain? Finally, I would like to comment on the state committee on the parliamentary system. We would have liked to have discussed this with colleagues before the cabinet started to work on it. The coalition obviously didn't feel like it. That is why I am asking today: where are the good intentions of the cabinet on this issue?
ParlaMint-NL_2016-11-30-tweedekamer-4.u29	Mr President, I have a question on the last point that Mr Amhaouch raised.
ParlaMint-NL_2016-11-30-tweedekamer-4.u30	But Mrs Oosenbrug was already at the microphone. I assume she wants to ask a question about an earlier point. That is why she has the floor first, Mr Bosma.
ParlaMint-NL_2016-11-30-tweedekamer-4.u31	That's good.
ParlaMint-NL_2016-11-30-tweedekamer-4.u32	Yesterday we also had a nice debate on eID, but for Europe. There I have already asked a CDA colleague from Mr Amhaouch questions. I also hear the CDA saying again: a safe digital world begins with a well-encrypted digital world. The CDA is in favour of abolishing encryption. The CDA wants no more use of encryption. How can the CDA, on the one hand, ask for the building of a safer digital world for citizens, and, on the other hand, call for the further undressing of precisely that security of the digital world?
ParlaMint-NL_2016-11-30-tweedekamer-4.u33	Of course, Mrs Oosenbrug comes back to that encryption every time.
ParlaMint-NL_2016-11-30-tweedekamer-4.u34	Yes, of course.
ParlaMint-NL_2016-11-30-tweedekamer-4.u35	If encryption is needed to ensure national security or to ensure economic security for business, then we need to take action on that point. The CDA expects the cabinet and the minister to come up with concrete, good plans for the public domain. It is important for the Minister to speed up this process, because we are being overtaken by business. The report presented by the Cyber Security Council also states that both business and government need to invest substantially to make it safe.
ParlaMint-NL_2016-11-30-tweedekamer-4.u36	On the one hand, there is the political choice of money. I get that now, after four years of The Hague. On the other hand, safety also has to do with good legislation. Good safety legislation is certainly very important, but do not break it on the other side by saying: we want to abolish encryption. Encryption is precisely one of the technologies that is proven to be useful. Encryption just works. Encryption was conceived by business and the community itself. Then don't break that! I'll make a warm plea for that. I don't have any further questions. But let Mr Amhaouch think about this kind of legislation for once.
ParlaMint-NL_2016-11-30-tweedekamer-4.u37	That was a call, so...
ParlaMint-NL_2016-11-30-tweedekamer-4.u38	Well, Mr. Chairman, I'd like to respond to this. Mrs Oosenbrug now blames the CDA for everything. I've been in the Chamber for nine months. Mrs Oosenbrug's party has been in the coalition for four years. It could also have made a good deal of progress in this area and ensured that the minister would deliver.
ParlaMint-NL_2016-11-30-tweedekamer-4.u39	I would like to draw the attention of the CDA to the many, many, many questions that I have asked over the last four years, to all the motions I have tabled and to everything that the government has taken up in response to my questions and my comments. I'm picking up this glove. I did, and I keep doing it. I continue to steer where I can, and I make very nice motions about it, which unfortunately are not always supported by the CDA. So I did my best, even as a coalition partner.
ParlaMint-NL_2016-11-30-tweedekamer-4.u40	Mr Bosma may now make his interruption.
ParlaMint-NL_2016-11-30-tweedekamer-4.u41	Just a moment of peace and quiet, after this neighborly fight. Mr Amhaouch said something about the state committee. That is a very good point to make, because that state committee is going to look at the whole establishment of the public administration and the First Chamber. This is mainly from the First Chamber itself, because the VVD is actually against the Upper Chamber, but does not dare to say that out loud. The solution is then a state committee. What's the CDA gonna do with that state committee? I think it's a bit of a waste of time. We'll see what kind of compromise comes out of this. It's always gonna be a dromedary, while a horse was ordered. Will the CDA be actively involved in this?
ParlaMint-NL_2016-11-30-tweedekamer-4.u42	We took the initiative in this Chamber a few weeks ago to hold a debate on this with our colleagues in the Chamber. Unfortunately, that request was swept off the table by the coalition. It is also incomprehensible to us that, as a Chamber, we cannot debate the letter sent by the First Chamber, which deals with parliamentary democracy and the institution in the future. That is why I ask the Minister how he sees this further and what follow-up steps he intends to take. We will then consider that as a CDA.
ParlaMint-NL_2016-11-30-tweedekamer-4.u43	That is an excellent question and I am also waiting for the answer with sorrow. It's been really weird. In a procedural meeting, not yet in the round question, it was asked: who else has anything? A state committee. Okay. That's what I think happened. That's crazy. My question is again what the CDA will do next. That committee is probably going to be there, and all the state lawyers are going to be interesting in that. Most of those people are always members of D66, so you know. Is the CDA going to join this state committee?
ParlaMint-NL_2016-11-30-tweedekamer-4.u44	We shall first await the Minister's response in this area. We have tried a number of times to have this debate. Mr Bosma asks what we are going to do. Of course, we consider it important to participate in such a state committee, especially when it comes to the parliamentary system. However, we regret that the coalition parties wiped out the other parties' proposal, which I believe were all for a debate. That's incomprehensible. I agree. I think even Mr Van Raak agreed with that.
ParlaMint-NL_2016-11-30-tweedekamer-4.u45	Well, well, well. Mr Van Raak also reports to the interrupting microphone.
ParlaMint-NL_2016-11-30-tweedekamer-4.u46	Yeah, 'cause it stays quiet. We could say: this is a proposal that is now being made. We'll ask everyone to respond to that.
ParlaMint-NL_2016-11-30-tweedekamer-4.u47	It's not a point of order. You are at the microphone to ask Mr Amhaouch a question.
ParlaMint-NL_2016-11-30-tweedekamer-4.u48	If Mr Van Raak asks me if we should table a motion together again in order to be able to hold the debate, then we should see if we can do so in the afternoon.
ParlaMint-NL_2016-11-30-tweedekamer-4.u49	I'm gonna turn it around. I can answer that in the affirmative.
ParlaMint-NL_2016-11-30-tweedekamer-4.u50	Will you conclude your speech now, Mr Amhaouch?
ParlaMint-NL_2016-11-30-tweedekamer-4.u51	I do come to my conclusion, Mr President. This Minister of the Interior has not implemented many bad plans from the coalition agreement, but many good plans have also remained. The coalition agreement was called "Bruggen slamming." The CDA Group would like to appeal to the Minister: come forward today.
