ParlaMint-NL_2016-12-20-tweedekamer-2.u1	I would like to welcome the Minister.
ParlaMint-NL_2016-12-20-tweedekamer-2.u12	People need to be free to make their own choices. So people who are being put under pressure to join these kinds of groups, you hear it in Amsterdam too, you have to experience the protection of the rule of law. We have tightened the rules in recent years. Think of the supervision of the youth residences, where children were in danger of being raised separately from the Dutch rule of law. That has changed and there is now supervision. I don't think that's the last word. It is necessary to gain more control over this type of informal education. AlFirah plays a particularly bad role in this whole. It's not the first time we've talked about that. There is not for nothing research going on, both into the educational environment and about possible financial malpractices by alFirah. The rule of law will not allow this to happen. That's an important message. Every child who grows up here deserves a good future, deserves not to be poisoned by people with sick ideas and deserves not to be told about crime. If you see crime, you're gonna have to report it to protect all of us. Yes, the cabinet has taken steps in this. Those are very strong steps, but they are necessary to protect us all.
ParlaMint-NL_2016-12-20-tweedekamer-2.u13	Your second supplementary question.
ParlaMint-NL_2016-12-20-tweedekamer-2.u14	No, my questions haven't been answered. I would still like an answer to my question. It is not a second supplementary question. I asked if the Minister would be willing to involve the whistleblowers in the investigation and protect the victims.
ParlaMint-NL_2016-12-20-tweedekamer-2.u15	Yes, the victims should be protected, but the criminal investigation is in the portfolio of my colleague from Security and Justice. This is about whether or not to report criminal offences and the protection of witnesses. That is the responsibility of Minister Van der Steur.
ParlaMint-NL_2016-12-20-tweedekamer-2.u16	Why does the Salafist organization ask AlFirah to ask children not to report crime? The reason is that Salafist organisations reject our democracy and the rule of law. They are organized in one of the poorest districts of Utrecht, Overvecht, a multicultural district. There are several districts in the Netherlands where these Salafist organizations are organized. How dangerous does the Minister consider the influence of such organizations in such a neighbourhood?
ParlaMint-NL_2016-12-20-tweedekamer-2.u17	I think it's a very negative influence. I think it is a very negative message that will not help these children at all. Children benefit from full benefit from the freedoms in the Netherlands and the rule of law. Children should be brought up to know that you have to abide by the law and that if you run into people who don't comply with it, you report it to the police. That's the message children deserve. That means the influence of alFirah here is negative. That is why I say to parents: take your children away immediately, it is not good for their future in the Netherlands if they receive education there.
ParlaMint-NL_2016-12-20-tweedekamer-2.u18	Your second supplementary question, but then you get into a fight with your group.
ParlaMint-NL_2016-12-20-tweedekamer-2.u19	I don't want that today.
ParlaMint-NL_2016-12-20-tweedekamer-2.u20	That's it!
ParlaMint-NL_2016-12-20-tweedekamer-2.u21	How far should it go, for example, to apply 2:20 BW, to which the Minister himself refers? Children are raised with intolerance. For example, as the research of the Verwey-Jonker Institute shows, children are told that Christian holidays are haram. How far must it go not to lose these children to these organizations, to the Salafism, which does not relate to our Dutch society?
ParlaMint-NL_2016-12-20-tweedekamer-2.u22	It is up to the Public Prosecutor to assess when it has sufficient facts in its hands to make use of the legal possibility to prohibit an organisation. That article in our code allows the Public Prosecutor to ask the judge for a ban. This has been applied to the Association Martijn and it is being considered in connection with the motorcycle gangs. The Public Prosecutor's Office has indicated that that article can be used in itself, even if it wants to tackle other organisations that undermine the rule of law. Of course, there is a need for evidence and facts that point to this.
