ParlaMint-NL_2016-12-19-eerstekamer-7.u1	I give the floor to the Minister for Foreign Trade and Development Cooperation.
ParlaMint-NL_2016-12-19-eerstekamer-7.u12	Mr. Chairman. Thank you to the Minister for explaining some of the questions that have been asked. If I look at the cabinet's argument palette and what the Minister adds, there remains, frankly, an uncomfortable feeling that it is somewhat arbitrary how the scores work out. I imagine you're saying we're gonna work with scorecards, because then we're gonna give an objective measure of how we can test organizations. If you do that, it'll make a few demands. In any case, you would like these scorecards to be achieved in transparency, including for those who are assessed. It is therefore useful to know whether you need to get a 7 or an 8 to have a sufficient one. In the Minister's explanatory statement, I hear that the WHO and UNESCO had only a 7.5 or a 7' like UNIDO, "but we're gonna let them succeed because they might have been a little better in the oral exam, or because they might be too big to fail or because they just have that one specific point that makes them distinctive." It does not increase the transparency of the trade-off. It then seems somewhat random why one organization with a 7.5 can go on to the next round, while the other cannot. That feeling of discomfort isn't entirely away from us. I would also like to hear a little more reflection from the Minister on another point. We hear from UNIDO: in fact there has been very little contact, and also in the briefings and in the further bilateral contacts that have been there, we have not really felt that we could tell our story. Let me just put it in my words. The Minister says: 'we have the impression' and 'we have not shown that'. It'll keep running along each other, and we're sorry about that. I am pleased that the Minister is doing the hand-in-hand to continue to support EU membership at EU level. On the question of how the Netherlands' position vis-à-vis other EU countries, I mentioned Germany, Sweden, Italy, relates to UNIDO, I have not really heard the Minister. Our firm impression is that the scorecards there may be measured in a different way and are in any case valued in a different way.
ParlaMint-NL_2016-12-19-eerstekamer-7.u13	Mr. Chairman. Let me begin by thanking my colleagues and in particular the President for his kind words. That's done me a hell of a job. I would also like to thank the Minister for the answers. Like the previous speaker, however, I am not entirely convinced on all points. I would therefore like to raise a few points, and I would also like a reply from the Minister on a few points which I explicitly asked for, but which I probably missed because I wasn't paying attention to. However, I would like me to receive those answers in the second term. Let me briefly mention those specific points. I asked the Minister to mention UN-Habitat as a precedent for this step, in response to the written questions. I also specifically asked the Minister how a score of 2.75 out of a maximum of 4 could lead to the "insufficient" judgment, and finally I asked the Minister about the specific assessment of UNIDO by MOPAN, to which reference is made in the UNIDO scorecard. Unfortunately, I have missed the answers to those questions. The cabinet has asked this Chamber to debate this matter as a matter of urgency. The fact that this was indeed an urgent matter is demonstrated by the fact that the Minister took five months to answer the House of Representatives while the First Chamber received written answers within one day. So hurry is indeed in play here, while it is still unclear what this need for haste comes from. In any case, my group has not been convinced of the need for urgency, nor of the need for this step in itself. The Netherlands has always been a reliable partner in the integrated UN system and the SP must remain so. A "snackbar-model" in which you open or close hatches at will does not fit. This does not mean that we believe that the question of the functioning of the organisations should be a taboo. Of course not. But it is true that there must be compelling reasons, which are clear to everyone, to take this far-reaching step, the Council of State also called this a far-reaching step. Only in the event of proven malpractice and apparent unwillingness to work with the Dutch Government on improvement will we see termination. Of course, responsibility on the part of UNIDO is also needed. We fully support that. There are also certainly improvement points to indicate. In our group's view, too, it can do even better, but once again, UNIDO does not score an inadequate scorecard in the Minister's own scorecard system. I do not therefore get a clue as to what the real justification for this urgent step submitted to Parliament is, all the more so because UNIDO, also in the view of the Minister himself, as I repeat, has made improvements and has also implemented the Medium-Term Planning Framework which the organisation set in motion last year. So why the cancellation? I would just like to touch briefly on the point that the Minister has repeatedly mentioned, and what was also mentioned earlier in the answer to the written questions: we can use our resources better and more effectively and more effectively if we channel them to other organisations. I was new to this dossier; I had to look into it and I noticed that UNIDO is working very closely with many of the organisations mentioned by the Minister. In many cases UNIDO acts in a kind of working partnership with other UN organisations and UN programmes. We are now on the verge of pulling one thread out of the Netherlands, as it were, and that does not seem to me to be conducive to the coherence of the system. These other organisations also see the importance of UNIDO's input. Like the World Health Organisation and UNEP, UNIDO has its own specific input into this cooperation. The Minister can indeed say, on the basis of his own policy considerations, that this unique input for the cabinet is less appealing. I recognize that, although I disagree. But that is different from what the Minister said, namely that UNIDO has no specific, peculiar input into cooperation. I would also like to stress once again, on the point that the funds can be better spent, that they are half a promille of the Minister's budget. That's not nothing, but it's not something that's gonna keep us awake for a very long time. Then I would like to say a few words about the scorecard system itself. I've still got time, I see. That's not so bad. Let me begin by saying that it was not my intention to say anything about the officials of the ministry in any way. If I've given that impression, I'd like to take it away. I appeal to the Minister about the soundness of the scorecard system, and I am not convinced by the Minister's explanation. I would like to mention a number of points on which I think there is a need for improvement, but on behalf of my group I also accept the Minister's offer to attend a technical briefing at the beginning of the new year, so that she has more opportunity to convince us of the thoroughness of this system. Then what are the problems I'm still seeing? The aim of the system is to assess all these UN organisations and programmes and other multilateral clubs in a comparative way. If you're going to do a similar study, you're going to need one measuring bar through which all these different organizations are laid, and I don't see that one measuring bar. If you go to the different scorecards, this is quite a task in itself, because they are very difficult to find on the government's website.You can see that the documentation base of those different scorecards is quite diverse. Nowhere is it explained how, on the basis of this diversity, you can arrive at a thorough comparative assessment of these organisations.
ParlaMint-NL_2016-12-19-eerstekamer-7.u14	May I remind you of your time?
ParlaMint-NL_2016-12-19-eerstekamer-7.u15	Certainly, Mr. Chairman, thank you. I come to my final point and then I come to my conclusion. I am surprised at the Minister's statement that it would not be wise to submit the draft score cards to the organisations concerned for comment. Elsewhere in society this is a perfectly normal way of doing things. I am not saying that the organisations should have input on the scorecard, but they should be able to comment on it. I'm rounding up. The SP Group asks the Minister with some emphasis to take back the bill. On the basis of the information currently available, we cannot support the draft law.
ParlaMint-NL_2016-12-19-eerstekamer-7.u16	Thank you very much, Mr Overbeek. Will you look after the time from now on? It was 1 minute and 15 seconds more than the 7.5 minutes you gave as speaking time. I'm just saying.
ParlaMint-NL_2016-12-19-eerstekamer-7.u17	Did you subtract that one minute that was given to me?
ParlaMint-NL_2016-12-19-eerstekamer-7.u18	That doesn't count.
ParlaMint-NL_2016-12-19-eerstekamer-7.u19	Mr. Chairman. The political groups of the PvdA and the OSF are very grateful to the Minister for the detailed answer. As far as the score cards are concerned, we do not feel so addressed by the Minister, because we do not question their value. However, we have raised the more fundamental issue: is it right to release such a scorecard drawn up by the Netherlands on the basis of the current Dutch priorities on an international organisation with 170 Member States? I have not actually received an answer to that, but no doubt the Minister has. I invite her to give me that answer. We fully agree with the Minister that multilateral organisations must, of course, also account for the way in which they spend their money and, in general, for the way in which they operate. We see that different Member States come to different conclusions and that, for example, the European Union is apparently considerably more positive about UNIDO than the Minister. On behalf of the two groups, I do not wish to call into question the Minister's freedom of choice to work with UNEP, the World Bank or other organisations, but today we are discussing whether we are also withdrawing the compulsory contribution altogether, whether we are withdrawing membership and whether we are pulling the plug. The Minister may say that there are 100 organisations within the UN system, but most of them are bodies, programmes and funds. We are now talking about one of the 17 specialised organisations. I was very pleased with the opening given by the Minister: the cabinet is actually committed to membership of the European Union, as the European Union is also a member of the Food and Agriculture Organisation and of the World Trade Organisation. I would remind you that our group, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, raised this point strongly three years ago. I would like to invite the Minister to indicate what work has been done in this area in recent years. I think this is a very interesting perspective, but I would also like to refer to the question of whether it would not be more correct and tidy to await the outcome of this before withdrawing its own membership. We have also talked about reform proposals. It is true that UNIDO is not unique, but UNIDO is with funds from GEF, the Global Environment Fund, which is implementing UNDP, the World Bank and UNEP. I would be the first to advocate reform. I can well imagine that UNDP, regional economic committees and UNIDO will be merged into one new organisation, as advocated in the report by Carlsson and Ramphal in the 1990s. I haven't heard from the Netherlands for years about this type of reform proposal. I'd find that interesting. Then the Minister comes up with a much more motivated proposal to withdraw this membership. But once again, the OSF and PvdA groups will listen with interest to the further answers. Then we'll come to a decision tomorrow.
ParlaMint-NL_2016-12-19-eerstekamer-7.u20	Madam President. On behalf of my group, I would like to thank the Minister for her answers. I have the feeling on a number of points that we have not yet received an answer to our questions. This concerns specifically what has happened in the world since June 2015 and the position of UNIDO in it. I would remind you once again that this SDG summit was held and that UNIDO is the only organisation specifically dedicated to SDG 9. Of course, we also had the Paris Climate Conference. In view of UNIDO's activities, it is also committed to the very broad area of climate. Thank you, Madam Secretary, for the metaphor of brothers jumping into the Meuse. I happen to have a brother like that. My mother always said to me, "If he wants to jump into the Meuse, and if there is a whirlpool or a dredging ship, stop him, for then it is not wise to jump." That is also what my group feels: I feel that we are jumping at a time when that is not yet a good time. I support Mr Schrijver's argument: should we not consider whether this can be done in a smarter and more sensible way, without that haste? My group has given the Minister the opening to consider whether a review is possible. In doing so, we would like to see whether UNIDO's role in the implementation story of the SDGs and the climate summit will be taken into account in the system of the scorecard in 2017.
ParlaMint-NL_2016-12-19-eerstekamer-7.u21	The Minister needs a suspension.
ParlaMint-NL_2016-12-19-eerstekamer-7.u22	I call the Minister for Foreign Trade and Development for her second term.
ParlaMint-NL_2016-12-19-eerstekamer-7.u23	Mr. Chairman. I would like to thank Members for their second-term questions and comments. When I went back to Members' considerations, it led me not only to the conclusion that I should answer their questions in a moment, but also to the next proposal. I hope this procedure fits into the Rules of the First Chamber. We talked about the score cards: how they are built, how we need to see them, how they are put together. I offered a technical briefing. If I may interpret it that way, it has been accepted in thanks. I also see that the House of Representatives has done about three months about the treatment and that it had to be faster in this Chamber. The urgency arises from the fact that the termination of a treaty always starts on the first day of the new year, i.e. from 1 January 2017, 2018 or 2019. All these arguments lead me to suggest to the Court that this bill should be retained. In this way we can give a technical briefing first. We can do this quite quickly in the new year, in January. Perhaps this will contribute to the way in which the senators are looking for score cards.
ParlaMint-NL_2016-12-19-eerstekamer-7.u24	In that case, I have a question for you, and you say that a treaty is cancelled on the first day of a new year. I understand that you are proposing that this bill be retained now, that a technical briefing be organised and that this Chamber be given final judgment. This would mean that the Convention could not be terminated until 1 January 2018.
ParlaMint-NL_2016-12-19-eerstekamer-7.u25	That's right, yes.
ParlaMint-NL_2016-12-19-eerstekamer-7.u26	If the Chamber were to vote now and say yes in a majority, it could be on 1 January 2017. However, you are asking us to keep this bill because of the opportunity to organise a technical briefing. If the House then votes in a majority in favour of the legislative proposal, please note that the Convention can only be denounced by 1 January 2018.
ParlaMint-NL_2016-12-19-eerstekamer-7.u27	That's right.
ParlaMint-NL_2016-12-19-eerstekamer-7.u28	Can the Chamber agree to that?
ParlaMint-NL_2016-12-19-eerstekamer-7.u29	I thank the Minister for the proposal. We are in principle in favour of this, although it does lead me to ask for information. If I understand correctly, there is a new round for completing score cards in 2017. All this will not be ready at the technical briefing in January. Could we organise this in such a way that we can assess the new scorecards, or could we have them at our disposal in such a way that we can reach a balanced assessment somewhere in the course of 2017?
ParlaMint-NL_2016-12-19-eerstekamer-7.u30	There will indeed be new score cards in the summer of 2017. That means that, just like now, the cooperation of the Chamber will be asked to deal with this in the second half of 2017, so that we will at least be in time to cancel the treaty or not.
ParlaMint-NL_2016-12-19-eerstekamer-7.u31	I'll come back to you, Minister. Mr Lintmeijer would therefore like to wait for the new scorecards. You also give a positive answer to this?
ParlaMint-NL_2016-12-19-eerstekamer-7.u32	Yes.
ParlaMint-NL_2016-12-19-eerstekamer-7.u33	Does this mean that the Court of Justice will not be able to deliver its judgment on the reopening of the debate on this bill in the autumn of 2017?
ParlaMint-NL_2016-12-19-eerstekamer-7.u34	Yes.
ParlaMint-NL_2016-12-19-eerstekamer-7.u35	The Minister asked us if we could do that. There is a positive signal from my group, because I believe that this leads to better judgment. All I ask is that we do not have to prepare this debate again on 15 December, but at an appropriate time somewhere in the early autumn, so that we can get to work on it and have plenty of time for it.
ParlaMint-NL_2016-12-19-eerstekamer-7.u36	In that case, I think it would be useful to organise the technical briefing a bit more near the summer.
ParlaMint-NL_2016-12-19-eerstekamer-7.u37	I suspect that my colleague Mr Overbeek will ask a question about the technical briefing and timing.
ParlaMint-NL_2016-12-19-eerstekamer-7.u38	Go ahead, Mrs. Stienen.
ParlaMint-NL_2016-12-19-eerstekamer-7.u39	Now, indeed, my own question: will we get a technical briefing plus an assessment of the scorecard and then have another discussion with this minister, who is probably a outgoing or with her successor? It's gonna be some kind of two-stage missile. I'm just trying to understand this right now.
ParlaMint-NL_2016-12-19-eerstekamer-7.u40	The process is now crystallizing. It could look like this. First there will be a technical briefing on how the score card is built. It is therefore not about the assessment that results, but about the technique of the score cards. We will then present the new version of the opinion in the summer of 2017, based on the score cards. If the Court wishes to take that view into account, it is true that we would be able to discuss this with each other shortly after the summer.
ParlaMint-NL_2016-12-19-eerstekamer-7.u41	That will then be a third-term debate.
ParlaMint-NL_2016-12-19-eerstekamer-7.u42	Yes.
ParlaMint-NL_2016-12-19-eerstekamer-7.u43	Okay. I would like to ask one more question, but perhaps the Minister will answer the questions about the SDGs and the role of UNIDO in climate change. That's why I'm waiting for it.
ParlaMint-NL_2016-12-19-eerstekamer-7.u44	Let me be clear: do I understand that our discussion on the system of score cards that we will have at the time of the technical briefing can also have an impact on the exercise on the score cards announced by the Minister around the summer of 2017? If not, that would be a discussion for the many.
ParlaMint-NL_2016-12-19-eerstekamer-7.u45	I noticed at the Chamber a need for more information on how the score cards were built up. It will be a technical briefing; not a political debate, but an official matter. The Court may then, on the basis of that technical briefing, make an assessment of the system of the score cards if it so wishes. That seems to me to be a different debate, but that is obviously up to the Chamber. Then we come on the basis of those score cards with a judgment on UNIDO. I am, of course, willing to talk about the system of score cards, but I think that we should take a look together with the President to see if all this fits in with the constitutional relationships that determine who is going to talk about what.
ParlaMint-NL_2016-12-19-eerstekamer-7.u46	This seems to be a passable path for my group. We are going to do so with good courage.
ParlaMint-NL_2016-12-19-eerstekamer-7.u47	The political groups I am speaking on behalf of also welcome the opening that the Minister now offers in order to arrive at a more informed decision-making process. I assume that we will be able to discuss this with this Minister in the autumn, because she has done so well in this ministerial office that I cannot imagine that the voters will let her go, especially now that she is running. But before she thinks that three times is a charm, I would like to remind her that a number of other points have also been raised. Is it right, for example, to step out of a specialised organisation, out of one of the seventeen? If one of the ministries works a little less, we would not want to put that aside so quickly. We have also discussed the possibility of EU membership. I assume that we will still be able to consider all these matters.
ParlaMint-NL_2016-12-19-eerstekamer-7.u48	I am thinking of the third deadline.
ParlaMint-NL_2016-12-19-eerstekamer-7.u49	I think a third term is inevitable.
ParlaMint-NL_2016-12-19-eerstekamer-7.u50	I'm getting a little confused about this. First, the Minister stands up for her officials and says that they work very carefully. I thought it was very good that she did and that she said that the score card was carefully built up. However, in my view, the construction of the score card is in fact being abused in order to postpone it, so that we remain a member of this club for a year longer. So it's being abused. I don't understand why the Secretary of State is in charge of that. She is the first to speak for her officials, but now she wants to give a technical briefing on it. Why didn't colleagues request a technical briefing earlier on the construction of the scorecard? In our view, this simply means postponement. I would also like to respond to Mr Schrijver, if the President will allow me. I understand that he praises his minister, but first let's wait for the election. If we keep it in line, we're just gonna pull the plug here.
ParlaMint-NL_2016-12-19-eerstekamer-7.u51	I'm just as straight in front of the microphone as I am in the other deadlines. I don't think my position has changed. I offered a technical briefing. In that technical briefing, officials can explain how these scorecards have been built. We have agreed that the outcome of this exercise for UNIDO will be included in the third term, but not the scorecards in themselves. I think it is legitimate if the States General wants more technical information. I have every confidence, therefore, that my officials can do that right.
ParlaMint-NL_2016-12-19-eerstekamer-7.u52	For the record, according to my group, the Minister recognizes the importance of some rest and consideration in this debate. Had we had a little more time, my group would probably have requested a technical briefing together with colleagues, but because of the rush there was no room for that. It has now been created and we thank the Minister for that.
ParlaMint-NL_2016-12-19-eerstekamer-7.u53	I'll look around the room again. I understand that there is a majority in favour of the Minister's proposal to retain the bill and organise a technical briefing for Members of Parliament. Then we wait for the new scorecards of the summer. After that, we may be able to hold a third deadline, but that is what we need to determine at that time. The score cards can also be so beneficial to UNIDO that you might withdraw the bill? Or haven't you considered that?
ParlaMint-NL_2016-12-19-eerstekamer-7.u54	All options are open.
ParlaMint-NL_2016-12-19-eerstekamer-7.u55	All options are open.
ParlaMint-NL_2016-12-19-eerstekamer-7.u56	Of course.
ParlaMint-NL_2016-12-19-eerstekamer-7.u57	It's the clarity that matters to me. Then we'll know.
ParlaMint-NL_2016-12-19-eerstekamer-7.u58	Then the conclusion is that we are keeping this legislative proposal 34473 (R2069). I'm suspending the meeting because we're moving on in the morning. So I'm suspending the sitting for a break until 9:45 a.m. tomorrow morning.
