ParlaMint-NL_2016-11-02-tweedekamer-7.u1	We'll continue with the first term of the Chamber. I call Mr Rog of the CDA.
ParlaMint-NL_2016-11-02-tweedekamer-7.u12	We had a very fervent debate on accessibility not so long ago. Any motivated MBO who wants to study can study with this system. It will have to show how the final figures work out. I shall leave the figures which Mr Rog is distributing for his own account. I note from all the words that the investments proposed by the four parties that took responsibility are not in safe hands with the CDA. They're moaning at the O.V. card. I'm sorry about that.
ParlaMint-NL_2016-11-02-tweedekamer-7.u13	That wasn't a question.
ParlaMint-NL_2016-11-02-tweedekamer-7.u14	I would like to have the opportunity to respond to that. Mr Mohandis would have been delighted if he had told us in what way the PvdA would have completed the 200 million reduction in civil law.
ParlaMint-NL_2016-11-02-tweedekamer-7.u15	You can ask him when it's his turn.
ParlaMint-NL_2016-11-02-tweedekamer-7.u16	At the CDA, that's obvious.
ParlaMint-NL_2016-11-02-tweedekamer-7.u17	I can help Mr. Rog. This is because the plan is not at all designed to remove it. The plan is to make better use of it, and that's money. That plan is still under investigation. Mr Rog is therefore served at his beck and call. However, my question is not about that. Mr Rog says that he wants to re-introduce the basic grant for the Bachelor's phase and that this is paid out of the austerity of the State. We're going from an O.V. year card to a path map. Mr Mohandis has already said that this is not working at all. That's what we've been investigating. It is just as expensive in terms of administrative burden, so it yields zero euros. The cover for the necessary investments in higher education must therefore come from somewhere else. In the current system there is a substantial increase in the supplementary grant. Is that also a cover the CDA has in mind? Is the increased supplementary scholarship going down again?
ParlaMint-NL_2016-11-02-tweedekamer-7.u18	Just as Mr Van Meenen cannot at the moment give an exact explanation of how he is going to cut the 200 million on civil law, I cannot give all the ins and outs, because we are also calculating. The basis is that we're gonna fix the basic grant and we're gonna get rid of the O.V. card. As in D66's plans, we will free money with that.
ParlaMint-NL_2016-11-02-tweedekamer-7.u19	The free play is an illusion. That's a real illusion policy. This will of course be borne in mind by the long-standing transfers of funds. My question is very specific: is it to bring down the increased supplementary grant as it applies in the new system, part of the CDA's plan, yes or no?
ParlaMint-NL_2016-11-02-tweedekamer-7.u20	I cannot say at this point how everything is going to go, because we are indeed in the process of passing on the accounts. What I point out is that we are restoring the basic grant, because we see that a simple system in which everyone, whether living at home or living at home, gets a certain amount, was more attractive and generated less borrowing fear than the very complex system with a huge administrative burden and a huge levelling effect, in which hundreds of millions did not end up in higher education. We'll fix it.
ParlaMint-NL_2016-11-02-tweedekamer-7.u21	Exactly, that leveling! Mr. Rog is full of opportunities. This new system is leveling in the sense that the money goes from the basic grant to the people who really need it. We're still spending $2 billion on study funding. And what the CDA does is give it back to the people who don't need it at all. The CDA is taking it away from the people who do. I know enough when I hear Mr Rog's answer: that supplementary grant is going down again.
ParlaMint-NL_2016-11-02-tweedekamer-7.u22	I would also like to continue on this point. Mr Rog has a bit of a wrap around it when it comes to cover and the like. If I try to follow his reasoning, he's gonna say, "I'm gonna get that from the O.V. card." It now applies to all students and I'm going to return it to a basic grant that applies to all students. Isn't it a cigar out of your own box?
ParlaMint-NL_2016-11-02-tweedekamer-7.u23	No, it's not. It will be clear that the public transport card will not cover the whole amount. So there will also have to be a different way of getting money. It's as simple as that. That's a choice the CDA makes. I am very pleased that Mr Grashoff's party has also been in the process of massive resistance to the effects of this loan system. Indeed, I can only imagine that GroenLinks and the CDA are going to look for a good alternative that will make higher education more accessible. 20% fewer disabled people, 15% fewer MBOs passing through, almost 15% fewer first-generation students. Mr Grashoff, you should be concerned about that. That's bad, and we have to try to fix it. That's what the CDA wants with his program.
ParlaMint-NL_2016-11-02-tweedekamer-7.u24	I don't notice any massive resistance in my party at that point. Moreover, I do not yet notice that the student organisations are now all in favour of reintroducing the basic grant. Because they don't. I don't know which supporters the CDA wants to serve here. What I do know is that it's extremely dangerous. With the words that Mr Rog is now saying, I must agree with Mr Van Meenen. I can feel it coming: it's going to be on that supplementary scholarship.
ParlaMint-NL_2016-11-02-tweedekamer-7.u25	I conclude that it is more important for GroenLinks and D66 to level at the expense of students than that accessibility is at the heart of these parties. They accept a reduction in the number of students, particularly in higher vocational education. If only they could push through that leveling! The CDA does indeed make a different choice.
ParlaMint-NL_2016-11-02-tweedekamer-7.u26	Mr. Chairman. Before I start, I would like to say that I am doing this budgetary treatment together with my colleague Mohandis. He will focus in particular on secondary vocational education and higher education, while I focus on primary and secondary education. Children and young people learn to know the world around them step by step, through family, friends, important role models and above all education. Every child grows up in different circumstances, gets other opportunities from home and has other talents. This makes every child unique, and that is precisely why it is so important for our education to be able to adapt to the needs of students and students. We have world-class education in the Netherlands and one of the best knowledge-based economies in the world, but there are doubts as to whether our education is still able to raise people up. Too often the origin of a child determines the chances that that child gets in life, and that is unacceptable. Children of highly educated parents often follow homework guidance, there is often more money for cultural excursions and parents make faster calls when school advice is too low. I believe that all children deserve that much in the back, even if the parents have no money for exam training or if the children have a language or learning retardation. Do children of different origins and backgrounds still meet at school? Or is education going to contribute to the division in society? That is a constant struggle that we must continue to fight. We must not look away, but we must continue to work together. This task calls for our very best education, in which we offer teachers room and do not force children to choose too early. This calls for a balance to be struck between the school advice and the Cito score. It is necessary to allow the flow to a higher level for anyone who wants and can. The Labour Party continuously fights for equal educational opportunities for each child. This led us to come forward with the equal opportunities initiative paper last June and to make concrete proposals. Within the budget, the Minister, at our request and on the basis of our proposals, is allocating financial resources to promote equal opportunities in education. Last Monday it presented an action plan to promote equal opportunities in education. In this we see many proposals from the Labour Party coming back, such as the implementation of the Ypma/Van Meenen motion. The cabinet draws on this motion...
ParlaMint-NL_2016-11-02-tweedekamer-7.u27	Do you finish your sentence first?
ParlaMint-NL_2016-11-02-tweedekamer-7.u28	I just started a new part.
ParlaMint-NL_2016-11-02-tweedekamer-7.u29	Okay, Mrs. Siderius?
ParlaMint-NL_2016-11-02-tweedekamer-7.u30	That's exactly why I want to interrupt now. I'm talking about the 25 million. I think Mrs Vermue was just about to say that the cabinet will pay 25 million for this in 2017. I have read the initiative paper of the Labour Party with interest. When we talk about financial soundness, Mr Mohandis: the plans in the own-initiative paper are 3 billion, added together. How then is it that in 2017 this cabinet will only pay 25 billion to take over those equal educational opportunities and all those initiatives of the Labour Party?
ParlaMint-NL_2016-11-02-tweedekamer-7.u31	We are allocating EUR 10 billion in the coming years for equal educational opportunities and good investment in education. This 25 million is a start. 87 million over three years, and then structurally 25 million. If we continue to work together with the SP to promote equal educational opportunities, this amount will only increase in the coming years.
ParlaMint-NL_2016-11-02-tweedekamer-7.u32	I wonder if the PvdA passed the math test. When Mrs Vermue looks at her own financial justification, she sees quite a few assumptions in her financial paragraph. That's what she's confirming herself. If you just add that up, you're going to be 3 billion. Then I wonder what part of the PvdA plan her minister will be able to implement next year, for the 25 million.
ParlaMint-NL_2016-11-02-tweedekamer-7.u33	You are talking about an investment in education, but as Mr Duisenberg said in his speech, this cabinet has already invested heavily in our education over the past four years. We have earmarked billions that are now going to education, to the children, to the classroom. Unfortunately, therefore, I cannot follow Mrs Siderius' comparison.
ParlaMint-NL_2016-11-02-tweedekamer-7.u34	Finally, Mrs Siderius.
ParlaMint-NL_2016-11-02-tweedekamer-7.u35	If we want to implement all the plans that you have written down in your own initiative paper next year, it will cost 3 billion. But there's only 25 million available next year. Then what plan in your note do you want to implement? Then what do you choose? Or do you say: it doesn't matter so much, it's nice for the stage and we'll see. That 10 billion will be spread over 15 years. My colleague mentioned it this morning, and that is also in your plan. That's not even 1 billion a year. Then what do you choose? What are you going to bet the government's 25 million dollars for?
ParlaMint-NL_2016-11-02-tweedekamer-7.u36	I really wonder whether Mrs Siderius has read the letter on equal opportunities correctly. It looks at broad bridge classes and links. Many proposals are being made, which result in great success from our own initiative paper.
ParlaMint-NL_2016-11-02-tweedekamer-7.u37	Please continue.
ParlaMint-NL_2016-11-02-tweedekamer-7.u38	I had stayed with the Ypma/Van Meenen motion. On the occasion of this motion, the cabinet will spend 3 million and will also carry out an experiment in which teachers will be in the classroom for up to twenty hours in a number of schools in the Netherlands. They are given space to prepare their lessons together and to give each other feedback. This is important, because teachers in the Netherlands are only in front of the classroom. They're just planning their classes and they're just learning. We ask teachers to pay attention to the different needs of their students in the classroom. We ask teachers to pay attention to the fact that every student has an equal opportunity for good education. This requires a good preparation of lessons, for which we want to give space. Teachers have an indispensable role to play in providing opportunities for all pupils. They can really make a difference. But many teachers have a much too high workload, which means that the children who need some extra attention are the victims. The teacher for the class deserves support to fulfil this role and he deserves confidence in his expertise. I ask the Secretary of State to monitor the implementation and implementation of the experiment, so that teachers actually experience more space to learn together. The Secretary of State sent the Chamber a letter on this matter yesterday, in which he commented on the scenarios, but I would also like the added value of the experiment to be looked at carefully. How is the Secretary of State going to oversee this? And how will the Chamber be involved in the progress? We want the added value of participating schools and teachers to lead to added value for all teachers. During an education meeting in September, a young man of 14 from Amsterdam, Santana, asked why he is being tested at the end of primary school, while his brain is not ready for that. The advice of the teacher or master is currently leading the school advice in group eight. The level of education or income of your parents should not lead to too low an assessment of the teacher. The Cito test in group eight is a snapshot and, together with the teacher's advice, leads to careful advice. If the Cito score deviates in a positive sense, schools are legally obliged to critically review the teacher's or master's school advice. Are these schools only obliged to look at this critically, as stated in the letter on equal opportunities? Or are they, as the Labour Party wants, also obliged to adjust the school advice upwards? In any case, we are coming up with a proposal on this in the light of the debate we have just had and the input of the VVD.
ParlaMint-NL_2016-11-02-tweedekamer-7.u39	The Labour Party seems to have a kind of constipated distrust in the professionalism and advice of the teacher. How does Mrs Vermue propose that the advice of primary school teachers be drawn up on further education?
ParlaMint-NL_2016-11-02-tweedekamer-7.u40	Teachers follow a student for eight years in primary school. We therefore attach great importance to their expertise. That is why it is so important that they are the first to be able to give their opinion. But if the Cito score deviates in a positive sense, we believe that students have the right to be admitted to a higher level of education in secondary school.
ParlaMint-NL_2016-11-02-tweedekamer-7.u41	I will help Mrs Vermue, because not only does the teacher's observation provide input, it is terrible that even I am already going to use English words for sound advice, but also the Cito tracking system, or any other apprenticeship follow-up system at primary school, is contributing to that. Mrs Vermue is actually saying that she considers one snapshot of equal value to the advice of an entire teacher team based on the entire school career, all the tests and the apprenticeship follow-up system. What is the danger in Mrs Vermue, which makes her so much on that Cito test or those other final tests?
ParlaMint-NL_2016-11-02-tweedekamer-7.u42	I thought that Mr Rog, in his contribution, distanced himself from efficiency thinking and the test culture, but that aside. We value the teacher's input very much, but unfortunately it still matters too often what your background and origin is. This often determines too much the teacher's school advice. We think it is important that these students should be admitted at the highest level resulting from the opinion.
ParlaMint-NL_2016-11-02-tweedekamer-7.u43	Finally, Mr Rog.
ParlaMint-NL_2016-11-02-tweedekamer-7.u44	Finally. There's some real distrust of the teacher here, isn't there? How can Mrs Vermue think that this is because a student comes from another environment? Could it perhaps be that something like the absence of a stimulating home situation is the reason that one pupil receives higher advice than the other? It is a pity for the Labour Party, but we are not all equal in the Netherlands. The chances of successfully completing further education are also not the same for everyone with the same Cito score.
ParlaMint-NL_2016-11-02-tweedekamer-7.u45	We have a great deal of confidence in the teacher, who looks carefully with parents and students on the basis of eight years what is appropriate. That is why we trust that school advice will be much closer to the Cito scores, but yesterday was also in the news that, unfortunately, too few schools are reviewing on the basis of the Cito score. So it does not seem to be sufficient at the moment.
ParlaMint-NL_2016-11-02-tweedekamer-7.u46	I'd like to hold on to Mr. Rog's line. The PvdA should at least defend itself against the idea that it has no confidence in the advice of such a teacher, if a single snapshot can be more decisive than an observation of a number of years. Has the PvdA also considered, instead of this somewhat unclear and risky idea, whether there are other possibilities to offer students more opportunities, for example a double advice or flexibility in flow without having direct consequences for school assessment? If the PvdA has considered such options, why aren't they put forward prominently?
ParlaMint-NL_2016-11-02-tweedekamer-7.u47	All those other prominent ideas, I'll be right back. We are very much in favour of broad bridge classes, multiple school advice, etc., but they are not sufficient. That is why it is important that we give children a chance if their Cito score shows that they may have a lot more to offer.
ParlaMint-NL_2016-11-02-tweedekamer-7.u48	A child is a human being in development. It would be risky to allow a snapshot to determine the level of inflow. It is precisely the continuous development, with the possibility of further development and the level at which a child is studying, that would require much more attention. I would like to await further explanations from the PvdA. I would urge that, thinking from the child's point of view, we offer real opportunities. I hope that's the sound of the PvdA.
ParlaMint-NL_2016-11-02-tweedekamer-7.u49	It is important that children do not end up on a regular route through our education and that they are given equal opportunities throughout their entire school career. That also starts in eighth grade.
ParlaMint-NL_2016-11-02-tweedekamer-7.u50	I hear the PvdA saying that the Cito test should actually get more weight. The Cito test is also very decisive for the way the inspection looks at a school. If you score several years below average, you're just called a weak school. However, Mr Rog has already said that we are not all the same: a school has a lot of children who are capable of striking a nail straight into a piece of wood, but that is not tested in the Cito test. How would the PvdA feel if we were to consider other skills more when assessing how well a school is doing?
ParlaMint-NL_2016-11-02-tweedekamer-7.u51	I think I recall that Mr Bruins has already made a proposal to this effect. We wholeheartedly support that. We think it is important for schools to be judged on equal opportunities and not paid for success rates, which forces them to give pupils less opportunities.
ParlaMint-NL_2016-11-02-tweedekamer-7.u52	I will come up with a concrete proposal on how to broaden this and then I hope to find the PvdA at my side.
ParlaMint-NL_2016-11-02-tweedekamer-7.u53	I await Mr Bruins' proposal with interest. I will continue my speech. It is important that children follow education that challenges them and that fits them sufficiently with their abilities. We do not want children at the age of 12 to find their way through education, but rather to offer their perspective. In response to Santana's question, we can then let him know that the test helps to see where he is in grade eight, but that he is given time in his secondary school to see which level of education fits and where his talents lie. Unfortunately, there are still schools that let their students drain quickly in order to keep the average final figures as high as possible. In the published lists of average final figures, these are fantastic schools, but they are not, as far as we are concerned, schools that give children the best opportunities. A school that knows how to deal with differences in learning pace and style is a school that can be recognised for this purpose. This school offers students the opportunity to learn in a way that suits their needs. Customisation is more than the right to excellence. As regards the Labour Party, the mandatory adjustment of school advice upwards in the case of a positive Cito score, multiple school advice, broad bridge classes and broad school communities offering at least two levels of education in the first years will become the norm. On average, students and students with lower-educated parents are, on average, still advised with greater caution with every transition in our education. This means that not every student reaches the right place from the first day. It is important that pupils should be able to follow education without additional thresholds at the level appropriate to what they are up to.
ParlaMint-NL_2016-11-02-tweedekamer-7.u54	What Mrs Vermue says about the broad classes of bridges has been taken from my heart. I also note that the Labour Party writes in its own plan that broad bridge classes with multiple levels of education should be promoted financially and in regulation. That is where the discussion with the cabinet focuses. On the broad bridge classes we have adopted a motion in my name. There would then be a plan of action, but that really did not happen at all. There's just a vague letter with some intentions. At least there's one thing the cabinet doesn't want, and that's financial incentive.
ParlaMint-NL_2016-11-02-tweedekamer-7.u55	What's your question?
ParlaMint-NL_2016-11-02-tweedekamer-7.u56	My question is whether Mrs Vermue agrees with me that we should do so and whether we could work together in this debate.
ParlaMint-NL_2016-11-02-tweedekamer-7.u57	In my opinion, the cabinet writes in the letter that it is not plausible to stimulate financially. So I see an opening in which we can undoubtedly agree. I ask the Cabinet to explain this.
ParlaMint-NL_2016-11-02-tweedekamer-7.u58	Fine, I'll put a concept motion on the PvdA benches. We are also in line with the flow-right: that must really be a right. In the plan of the cabinet there are plans for a right of transit from VMBO to HAVO, but only for students with the potential to succeed. That seems to me to have the required degree. Does Mrs Vermue agree with me that additional requirements are not at issue and that the right of transit should be guaranteed as a right?
ParlaMint-NL_2016-11-02-tweedekamer-7.u59	Absolutely. But I'll get to that.
ParlaMint-NL_2016-11-02-tweedekamer-7.u60	On page 11 of your own initiative note, about the funding of the broad bridge classes, the Labour Party is in favour of a substantial bonus on broad school communities. That is very positive; we were quite enthusiastic about that...
ParlaMint-NL_2016-11-02-tweedekamer-7.u61	But...
ParlaMint-NL_2016-11-02-tweedekamer-7.u62	But now we read in the financial leaflet: broad schools and broad bridge classes can cost a lot. However, this depends entirely on the design of the financial incentive. With a shift of funding from schools that do not organise themselves as a broad school, this can be budget neutral. Does this mean in English that the Labour Party is going to financially punish the schools that are not broad schools, in favour of schools that are broad?
ParlaMint-NL_2016-11-02-tweedekamer-7.u63	We think it is important for pupils to have equal opportunities. Broad school communities are an important condition for this. We want to explore how a positive incentive can be assumed in the funding. Because those schools give students more equal opportunities.
ParlaMint-NL_2016-11-02-tweedekamer-7.u64	That wasn't exactly an answer to my question. Can Mrs Vermue then explain what she means by the sentence: however, this depends entirely on the design of the financial incentive; in the case of a shift of funding from schools that do not organise themselves as a broad school, this can be budget neutral. What does Mrs Vermue mean by that?
ParlaMint-NL_2016-11-02-tweedekamer-7.u65	We want at least to go to schools that offer multiple levels of education in the first years of school. In terms of funding, we want to consider how what is going to shape that.
ParlaMint-NL_2016-11-02-tweedekamer-7.u66	Finally.
ParlaMint-NL_2016-11-02-tweedekamer-7.u67	Let's go to plain Dutch: does this mean that Mrs Vermue will punish non-wide schools, after which the money that is collected will be invested in broad schools? Yes or no, please.
ParlaMint-NL_2016-11-02-tweedekamer-7.u68	We are in favour of wider school communities, not punishment. But we do want students to have every opportunity. Wide-ranging school communities respond to this.
ParlaMint-NL_2016-11-02-tweedekamer-7.u69	My question refers to that. Mrs Vermue says that broad bridge classes become the norm. That sounds to me like category schools can't exist anymore. Is that right?
ParlaMint-NL_2016-11-02-tweedekamer-7.u70	No, we think it is important that there are good cooperation arrangements in broad school communities. This may also mean that two schools work together in order to promote the flow of secondary education in the early years, so that a student who is potentially able to cope with a higher level of education will also have the opportunity to do so.
ParlaMint-NL_2016-11-02-tweedekamer-7.u71	Shouldn't it be the goal of such cooperation instead of saying that you're going to punish one school for the benefit of the other schools?
ParlaMint-NL_2016-11-02-tweedekamer-7.u72	Mrs Siderius used the word "punishment." Cooperation is a good first step, but we are not there yet.
ParlaMint-NL_2016-11-02-tweedekamer-7.u73	Finally.
ParlaMint-NL_2016-11-02-tweedekamer-7.u74	Well, if someone's gonna put money away from me in favor of someone else, it's gonna feel like punishment, to be honest. Anyway, apparently the Labour Party doesn't think so.
ParlaMint-NL_2016-11-02-tweedekamer-7.u75	Please continue.
