ParlaMint-NL_2016-11-15-eerstekamer-4.u1	I would like to welcome the Minister of Security and Justice to the First Chamber.
ParlaMint-NL_2016-11-15-eerstekamer-4.u12	No, at least I'm not worried about that. Of course, the overall policy balance is always that there must be legal aid for those who need it. In many cases, of course, the way in which criminal offences or offences are dealt with will not lead at all to a discussion of a lawyer. Let's be real. In many cases, the vast majority, there is no need for such counsel. Then there is simply tailor-made work and, whether through parents or through a Halt procedure, a proper solution is found for the offence that has taken place. Then, if it is a very serious crime, legal aid is properly available, because we believe that this is also necessary in these cases.
ParlaMint-NL_2016-11-15-eerstekamer-4.u13	The next item is community service of 32 hours and less. That actually applies to all matters. Halt's the lead. There's no lawyer involved in that either. But now the Minister is not giving legal aid for more than 20 hours of community service. What is the government's idea behind this? The Minister is calling Halt, but that is not at all the issue. This is a serious criminal offence, which is 32 hours' service.
ParlaMint-NL_2016-11-15-eerstekamer-4.u14	It's just like I said. It is precisely in this context that we have been looking at: for what facts is a community service of 32 hours imposed, for example, and is there such a serious situation that it is appropriate for the government to finance a counsellor? I'm just gonna take a look at the threshold there was. In case of a fine, the addition of a lawyer was possible with a fine above €115. This will be €200 in the new system. That's $85 difference. I think we all agree that if a fine is a substantial amount of €200 or more, it is appropriate to have a lawyer added. That same discussion also took place in community service. It has now been established that it will be 32 o'clock. This means that of the lesser offences that are dealt with, i.e. underneath, the assessment is that there is no need for an add-on counselor. For the heavier crimes, over 32 hours, that's the case. That fits exactly into the policy we have: there is no need for a lawyer to be added to minor matters and for heavier ones to be sure. That is the starting point, also in the interests of young people.
ParlaMint-NL_2016-11-15-eerstekamer-4.u15	Finally, Mrs Wezel, on this point.
ParlaMint-NL_2016-11-15-eerstekamer-4.u16	This is my last question. The D.A. has clearly ruled against this, just like the lawyers. The Minister says it's a minor crime, but it's really all about crimes. It concerns virtually all the issues that young people are involved in. On what does the Minister base that this is in the best interest of the minor?
ParlaMint-NL_2016-11-15-eerstekamer-4.u17	I don't think Mrs. Wezel and I are gonna agree. Mrs Wezel actually says that under all circumstances you should have an additional counselor for all minors.
ParlaMint-NL_2016-11-15-eerstekamer-4.u18	I'm not saying that. It's between 20 and 32 hours. Why this austerity measure?
ParlaMint-NL_2016-11-15-eerstekamer-4.u19	Because we've looked at the starting point. When is a crime so serious that it is necessary for an additional lawyer to be present? That is the starting point. Mrs Wezel thinks it should be a little lower, but you can say with the same ease that it should be a little higher. There's always a line. I understand very well that Mrs Wezel says that you can discuss that border. That's what we're doing here. I think the way it's designed now is pretty good. And pay attention: minors always have the right to be assisted by their parents or their legal representative. So they're not alone. We need to take away the image that they're standing there on their own. Of course, that is not the case. They can always be properly assisted in their defence by their parents or their legal representative. I come to Mrs Strik's questions. I congratulate Mrs Strik on the amount of questions she has asked, but also on the depth of them, which gives me the feeling that I have been invited to an examination of European law. Mrs. Strik does that a lot. I hope, therefore, that I will give an adequate answer to all these questions, some of which have not been discussed before. At least I'm gonna do my best. Ms Strik spoke about the discussion that is taking place with the Dutch order of lawyers about the investigation of Significant. Significant, I say for the Acts, is the investigating agency which has examined whether the points I have given to the interview assistance are adequate. That's what we agreed on two things. First of all, we agreed that we know that we did the quickscan and the investigation of Significant while there was only very limited evidence, limited evidence. That also means that I have said that I want it to continue. That is a point I think is right, and I think that the order has greatly appreciated that I did not say: we now have the impression that it is okay, so it is okay. Instead, we said: no, this really requires careful monitoring, so it will take place. Then there was a discussion from the Dutch order of lawyers, who felt that Significant's investigation was not proper. Then I asked the WODC to report on that. The WODC has also involved the counteranalysis made by the Order. It then said that the conclusions drawn by Significant were sufficiently substantiated and scientifically justified. The monitor has started and the lawyer is represented. Of course, the WODC also says that it is wise to have more material. That means the WODC also supports that we're going to do the monitor. That monitor has started and the lawyer is represented on the advisory committee of the research set up by the WODC. I would also like to say here that I very much appreciate that the Dutch order of lawyers, despite its opposition to the initial investigation, is prepared to watch with the monitor.
ParlaMint-NL_2016-11-15-eerstekamer-4.u20	I wonder how you can investigate how many hours the counsellor has to take part in interviews in order to assess whether the funding is sufficient, if the counsellors are currently limited in their participation because they are underpaid. Do you understand? I can also imagine that you would decide to reimburse the actual costs incurred during the monitor, so that lawyers are not prevented from actually participating if necessary. On this basis, the standard fee can be considered. How do you take out the polluting element of the currently perhaps too high threshold to participate?
ParlaMint-NL_2016-11-15-eerstekamer-4.u21	It is perhaps a good thing that, in this context, I should also mention that, because of the fragility of the discussion, in the first few weeks after 1 March of this year I was informed whether everything was going as it should. In particular, it was a question of whether lawyers were walking out halfway through the interviews. That is also Mrs Strik's concern. That didn't turn out to be true. However, it has been found that it is difficult to get lawyers and sometimes they come late and wait a long time, leaving some clients unnecessarily in insurance. That's annoying. Therefore, videoconferencing is also used in the context of consultation assistance, in order to minimise that risk. That is precisely where this can have an adverse effect on the interest of the client himself. The investigation shows the following. We have a flat-rate system. There is no other system. We don't have an hour billing system. We have always had a flat-rate system and we keep it as far as I am concerned. The Wolfsen Committee has also concluded that this is the best system available, and I agree with that. That flat-rate system means that sometimes you get too little for an interrogation and sometimes too much. This has been examined by Significant, which has concluded that there are indeed on average decent fees. So sometimes it's a little too much and sometimes it's a little too little. So we don't expect lawyers to sit around any longer to get their entire fee paid. That's their advantage. At the same time, we do expect lawyers to stay in an interrogation that takes longer than they get paid for. That is what is happening in practice. So it's no concern.
ParlaMint-NL_2016-11-15-eerstekamer-4.u22	How can you be so sure that in the selection that lawyers are supposed to make right now, what interrogation am I going to sit down with? The finance doesn't play a role? Perhaps they will be less involved in interrogation than if there were no financial threshold. For example, there are very long or days of interrogation, or interrogation of vulnerable suspects where you really need to be present and where lawyers are really going to turn in if they really want to provide that full assistance and this is not compensated by sufficient other interrogations. You might get a distorted image if you don't see now that they're not participating enough and that it would be necessary for them to be there.
ParlaMint-NL_2016-11-15-eerstekamer-4.u23	But that is not the experience at all. The experience of both the state's attorney's office and the police is that they're just there. The work is just done. Significant's been looking into that. The WODC has examined whether the analysis is correct and whether it is scientifically sufficiently substantiated. The answer to these questions is yes, even if there is limited information. I'll keep monitoring. Mrs Strik and I are convinced together that if the order of lawyers could actually argue that something is going wrong here, he is not doing so now, by the way. But there's just no problem. We should be very happy about that, too. It has led to the proper assistance of suspects since 1 March.
ParlaMint-NL_2016-11-15-eerstekamer-4.u24	Does this bring in the Minister's lawyers to write for hours?
ParlaMint-NL_2016-11-15-eerstekamer-4.u25	I have been a lawyer myself for a long time and I have discovered that lawyers do not need any appeal from the Minister of Security and Justice to write hours. It's just in the blood. Do you know the joke of the lawyer at the heavenly gate, chairman? Peter says to the lawyer, "You are 65 years old and you died for that reason." The lawyer says, "I'm not 65 at all, I'm 35." "Oh," says Peter, "then we've probably added your hours together." I don't know if this is the first attorney's joke in the Acts of the First Chamber, but it looks good in it now!
ParlaMint-NL_2016-11-15-eerstekamer-4.u26	If the lawyers come in with the hours, you're gonna take a look at that? Are you going to do something with that and include it in the evaluation?
ParlaMint-NL_2016-11-15-eerstekamer-4.u27	I think the Scientific Research and Documentation Centre needs a little more evidence than just the lawyers' written hours. The monitoring we are doing, with the Dutch order of lawyers in the advisory committee, as I said earlier, will take place on a scientifically sound basis. It is indeed being examined and tested whether the experiences, such as those so far, are in order and whether they remain.
ParlaMint-NL_2016-11-15-eerstekamer-4.u28	On what time do you expect that monitor?
ParlaMint-NL_2016-11-15-eerstekamer-4.u29	It's a permanent monitor. It is therefore carried out in a series of times. At the end of next year we expect the first results, but in the meantime, of course, we will certainly hear some of them. My contacts with the order of lawyers are very close, also on this point. Mrs Strik had asked a question about the proceeds. I have already answered this in response to Mrs Wezel. Mrs Strik was concerned about whether the possibility of a cost story limits the possibility that the defendant would waive assistance from a designated counsel. In the current situation, sufficient strong suspects who have not been taken into custody and who have been assisted by a counsellor should pay for themselves. These suspects therefore stand for a similar consideration in the current system. It must, of course, be clear to the defendant if he is to be regarded as insufficiently decisive in the event of an irrevocable conviction. If he is in doubt, he may apply for an income statement through the Legal Assistance Board. So that's also secured. In response to Mrs Strik, I would also like to point out that the assistance of the picket lawyer remains outside this measure. The costs shall not be recovered from the defendant. Mrs Strik also asked about the non-regression clause. I agree with her that the non-regression clause makes it clear that Member States which comply with the Directive should not fall below the standards laid down by the ECHR. If the ECHR were to impose more requirements, we would, of course, comply with them. However, that is not the case. The directive lays down more requirements than the ECHR, and that is why we comply with it. We've already dealt with community service for minors. Mrs Strik asked whether the Court of the European Union has the last word and, if so, whether I agree. What am I gonna say? Shall I say no to see what Mrs. Strik will do to me? I'm not gonna do that. The answer is simply yes. The Court in Luxembourg has the final say. Her second question was whether the interpretation of interrogation assistance takes place in general rules. Yes, that was also discussed with the House of Representatives in concept. That is now ahead of the Council of State. That's the so-called Decision establishment and order police interrogation. The rules become clear and understandable to everyone. They can also be adjusted if necessary. Mrs Strik asked me whether I share the view that the Supreme Court did not review the policy letter of the Public Prosecutor's Office in the light of the directive. The Supreme Court has examined the standards developed by case law. Those are the statements of the ECHR and the Supreme Court in 2015; we talked about that judgment. The Decision establishment and order of police interrogation regulates this and is therefore now with the Council of State. The policy letter is in line with the draft decision. Materially, therefore, the Supreme Court reviewed and found this decision and the OM policy letter to be in order. So I'm not worried about that. If Mrs. Strik does, I'd like to hear it.
ParlaMint-NL_2016-11-15-eerstekamer-4.u30	Thanks for the selection of the questions and the answers to them, but I'm missing a bit of the point I was trying to make; apparently I didn't do that right. My point is that the directive goes beyond the ECHR and the ECHR case-law. The Minister has just admitted that the directive goes beyond the ECHR. I'm happy about that in itself. He then says that the Supreme Court has already found the draft decision, the OM policy rules, to be in order. Indeed, but this was assessed in the light of the ECHR case law and thus not in the light of the directive. And that's what my question was about. Now it seems that the Supreme Court has found it okay, that the question referred for a preliminary ruling has been answered in a positive way and that we are therefore already ready when we implement it. My question remains: is this draft decision consistent with case law and is it consistent with the directive? The Minister is right to point out that the directive goes further. The directive actually imposes an obligation on the counsellor to take an active part in the interrogation. The preamble gives examples of what that should mean. I'd like an answer to that. The Supreme Court did not review the directive. That is why that point remains above the market. That was actually the essence of my input.
ParlaMint-NL_2016-11-15-eerstekamer-4.u31	Mrs Strik also said that we would probably not agree on this. [[Sentence could not be parsed: Ik kan niet anders dan zeggen dat ik de overtuiging heb dat beide wetsvoorstellen voldoen aan de implementatie van de richtlijn.]] The standards are indeed higher than in the ECHR, as I said earlier. This means that we are convinced that we are complying with the standards of the directive, otherwise I cannot implement the directive and I take the risk that I will eventually have a discussion about it, whether through the Commission or the European Court of Justice. I don't want to. For these reasons, we are, to our best knowledge, complying with the standards laid down. The Supreme Court cannot formally review a directive that is not yet in place and has not yet been implemented, but I cannot escape the impression that the Supreme Court will have looked at it materially.
