ParlaMint-NL_2016-02-18-tweedekamer-12.u1	I would like to welcome the Secretary of Defense. I give the floor to Mr Jasper van Dijk.
ParlaMint-NL_2016-02-18-tweedekamer-12.u17	I would like to draw attention to the numerous researchers who have shown that there are major problems with PX-10. The actually used PX-10 was never investigated by the RIVM. That should be a reason to look very closely at what really happened in the defence field, because the people concerned have never been well helped.
ParlaMint-NL_2016-02-18-tweedekamer-12.u18	Mr. Chairman. Dozens of diseases and diseases are on the front of last week's research report PX-10 issued by ClaimZorg. Some of these conditions are unknown to me, but the name alone suggests the worst. Given the wide picture of disease and the large number of stakeholders, it is therefore very important that there be rapid clarification. As a good employer, Defense has to take care of that, the PVV finds. We have a number of specific questions for the Minister. Has this medicine also been used by foreign armed forces? If this is the case, is there any knowledge of health consequences among the personnel of these foreign armed forces? Following the publication of the RIVM report, did any additional evidence come up regarding the exact composition of PX-10? Or do experts, legal experts and we politicians continue to conjecture? I read in the papers and reports that the percentage of benzene used in the RIVM study is estimated. The exact composition is remarkably still surrounded by mystery. Then there is the much discussed RIVM report itself, in which there is no connection between PX-10 and additional health complaints. My group has a number of questions about this. Expert and critic Professor Tytgat wants an independent study in which independent experts will review that RIVM research again. RIVM says that report has already been reviewed by two independent foreign experts. However, there is nothing in the report on their findings. What was the question posed by those two foreign experts in that assessment? And how did they react to that? Is that in writing? Can the Minister send those responses to the Chamber? Is there a need for a new investigation? The Minister doesn't think so. She's okay with RIVM's investigation. However, this research is questioned by other experts. Well, I don't know what other MPs think about this, but I find it difficult to make a choice in this. It is a question of expert opinions in relation to expert opinions. Then the question is whether we should go over this again with a whole new investigation, with a good question and with a fresh look. The military trade union AFMP wants to, but at ClaimZorg Injury damage they say again that that is not necessary. They don't want this there. In any case, I wonder whether new research will produce a clear and convincing result for everyone. However, it is clear that a new investigation will take a lot of time again. Are we supposed to do that to all those sick people? You can also approach this in a different way, a way that I would like to consider to the Minister. It is certain that at some point, the DOD acknowledged that working with PX-10 was indeed necessary to take precautions in the interests of the health of the employees. So before then, those precautions weren't there and the DOD failed. But even after the Defence Department realized that precautions were needed, it failed, because the monitoring of these precautions remained inadequate for a long time. I am therefore now saying to the Minister: acknowledge that Defence has failed, show good employership by defending the interests of your employees and ex-workers. This is not about a package of butter, it is about essential health problems. I say to the Minister, accept the responsibility of the Defense Department. Accept reversal of the burden of proof and, as with the issue of chromium paint, assume that you will have to compare compensation with the individual complainants. I say to the Minister: go to trial only in obvious nonsensical claims.
ParlaMint-NL_2016-02-18-tweedekamer-12.u19	Mr. Chairman. "Every Friday, dozens of guns went through my hands. From 1973 to 1986, I worked with that good. That happened in the armory, an unventilated room, and no one ever warned me it was toxic." According to Jan Carbo in an interview in the Algemeen Dagblad of 5 September 2015. For years, he inspected weapons that were soaked with the cleansing agent PX-10. He did that with his bare hands. "Nobody told me after 1981 that I could wear gloves or a mask." Mr Carbo became seriously ill, held his former employer responsible and tried to sue Defense a year and a half ago, but lost the case. That's a big deal for the people who've gotten sick. There are many more former soldiers who have worked with PX-10 and are now suffering from health problems. There's a lot of unrest and a lot of uncertainty. This proved to be the case at the meeting on 28 January. I think everyone in the Chamber shares these concerns, as Mr De Roon said just now. Everyone will want to see what exactly was in that item and what the causal relationship is or isn't. In the case of chromium-6, the Minister took the investigation very well after all the tumult. Defence now seems to be sufficiently keen to ensure a safe working environment for the personnel. Where necessary, measures shall be taken and risks mitigated. How different it has been in the past with PX-10. There were no protective equipment available. The staff worked in unventilated or poorly ventilated areas and was not informed about the dangers of working with PX-10. Early this week, a report from ClaimZorg appeared. Let me not turn my heart into a murder pit; I am not a fan of all these claims, because there is always an interest in it that may not be pure. Let me just put it this way. I don't make myself popular with this, but I'll tell you. This should be about individual matters. So I'm not a fan of all kinds of claims. Yet, in that report of ClaimZorg there are some things that require clarification. The documents that have become public through the WOB show that several senior military personnel have sounded the alarm clock since 1980 about the use of PX-10, for example the inspector of the medical service of the Navy, a colonel of the Marines and a defense consultant/chemist. The Chief of Navy Staff would have stated that PX-10 is being used in armory rooms under unacceptable conditions. I quote: 'I find this all the more unacceptable because it contains elements such as benzene, toluene and xylene, which are very harmful and can even be irreparable to the health of personnel who have to work with this substance.' Those are solid lyrics. The RIVM has apparently also indicated that it is shocked by all reports of the carcinogenic nature of PX-10, but unfortunately no measurements have been found to support this, either in the air or in the PX-10 itself. This has led to a limitation in the 2011 RIVM investigation; this is also indicated by the RIVM itself. The exact composition of PX-10 is unknown. It is based on assumptions based on information provided by the Defense Department. In the case of the CDA, independence is not at issue, I would like to say that RIVM has no expertise. We are not experts and experts are opposed to experts, as Mr De Roon said. That makes it extremely difficult. The benzene content may have been higher than that assumed by RIVM. Toxicologist Professor Tytgat also reports this. I'd like a response from the Minister to this. The minister says she's open to facts, but the question is of course what Defense knew about the harmfulness of PX-10 in the 1980s. What can the Minister find out about this and is the Minister prepared to look into the archives to see if all relevant documents can come up, as with chromium-6? One of the scenarios of the RIVM study was a high exposure scenario, which would include several thousands of people. At the meeting of 28 January, a former marine employee outlined a scenario of very high concentration, very poor ventilation and peak load. Can these scenarios with even higher exposure be investigated? Why has no investigation been carried out into what were the decisive factors in soldiers who have become ill, soldiers who are exposed to these high concentrations day in, day out, year in, year out in, for example, the weapons workshops? Is the Minister still prepared to carry out such an additional investigation, looking at the group that actually reports health complaints? A comparison can then be made with the circumstances in which they have worked.
ParlaMint-NL_2016-02-18-tweedekamer-12.u20	You really need to wrap up now.
ParlaMint-NL_2016-02-18-tweedekamer-12.u21	I think I have to turn in something else in a moment. I can do it through an interruption. On the basis of the RIVM study, the Minister said that there is no causal link, but Professor Tytgat indicated that individual research shows that there is a causal link between PX-10 and disease. I would like a response from the Minister on this point. How's the Minister handling this?
ParlaMint-NL_2016-02-18-tweedekamer-12.u22	Mr. Chairman. There are concerns among a number of former employees of the Defense Department. These concerns must be taken seriously by the Chamber, and so do we all. This is without prejudice to the fact that the VVD Group has so far been satisfied with the policy pursued by this minister on the PX-10 dossier and the way in which the Defence Organisation deals with employees who may have been exposed to PX-10. This satisfaction with the way in which ex-workers are dealt with is reflected in a number of military personnel unions, but there are, of course, questions that our group also has. Yesterday, the Chamber received the answers to questions put by Mr Van Dijk of the SP. With the Minister, the VVD Group believes that much information could be provided by the information meeting in Utrecht. It also makes sense, given the long history of this dossier, that this response is not understood by everyone. Our group welcomes the mistress's commitment that if other inspection reports on PX-10 are to be found, they will still be revealed. Indeed, RIVM's group research appears to be the best method and any employee is free to file a claim, after which an individual-oriented approach is chosen if appropriate. This has already happened in a number of cases. There have been well over 100 claims, some of which have been withdrawn and some of which are now under 100. The VVD Group has taken good note of the fact that there is no better scientific method of research at this independent research institute than group assessment, which could give a better estimate of the leukaemia risk. RIVM is clear about this: new research would not lead to other results. At the information meeting Professor Lebret provided information on the research of RIVM. In this context, I would ask the Minister whether there is a possibility of other speakers also talking about the fact that in the revision workshop of the Navy employees have been exposed to dust or vapour from PX-10 in a very intensive manner that is outside the ranges used in the research of the RIVM. Does this very specific point give rise to further research by the RIVM? Could this still affect the conclusion of the RIVM? Furthermore, the VVD Group asks the Minister whether its organisation can continue to be open to discussions and meetings with former employees, regardless of the legal situation, in which it identifies and informs. Of course, there is always the way of an individual claim. A number of employees and former employees have also opted for this. However, this requires a very different assessment, as a causal link must be established between the effects of PX-10 and the illness or complaints of the employee, in which other facts and circumstances may also play a role, regardless of the employee's business relationship with the Defense. Bringing all this out in the context of an individual claim is a burden on the employees. I'd like to hear a response from the Minister.
ParlaMint-NL_2016-02-18-tweedekamer-12.u23	It is interesting that Mr Teeven is asking for a revision on that one point, if I understand him correctly. Maybe he'd like to explain that. So it's about the place where a higher exposure would have been. However, my question is as follows. If two scientists have different views on the consequences of this drug, isn't politics obliged to look very closely at the exact situation?
ParlaMint-NL_2016-02-18-tweedekamer-12.u24	That discussion is justified but not new. Questions were raised in 2011. Even then RIVM looked at it again. The VVD Group assesses the situation on the basis of the response of an independent institute, the National Institute for Public Health and the Environment. We must take this seriously. Defense has chosen an open question, not a closed one. Then we must assume that which the RIVM reports, especially if foreign institutions are still involved. As Mr De Roon said, I cannot judge it either, I am not an expert. I have to assume that what an independent state institute says about it is the truth. I have no reason to even think that there is any influence on the part of the government on the conclusions of the institute.
ParlaMint-NL_2016-02-18-tweedekamer-12.u25	I broadly agree with Mr Teeven. The judgment of the RIVM is clear, but there are other judgments of other scientists. I think you've got politics to deal with. Next, Mr. Teeven says in his first sentences that he sympathizes with the people in the Defense Department, that he understands complaints, that he also finds it annoying. What message does he have for these people? I'm sorry, I'm staying with RIVM? Or at least gives him the chance to look at the RIVM research through a so-called counterexpertise and then see what's needed?
ParlaMint-NL_2016-02-18-tweedekamer-12.u26	I don't have that message for people. I've already spoken out the message the VVD has. Then people have to file an individual claim. A large number of people have done the same. A number of claims have been withdrawn at some point; see the documents. That leaves about 85 claims. That was also exchanged at the meeting where you were present. At that time you need to establish a causal link between the disease, the complaints of former employees and the substance PX-10. The group investigation has been of a very different order. At the moment, I have no reason to believe that the RIVM's group research has not been good. Nor do I see what a counter-expertise could add to that, with the exception of the one point on which I have put a specific question. The RIVM works in that group study with certain bandwidths; "these are the extremes within which our research has taken place." It seems sensible to ask the Minister to check with the RIVM whether the one case in which more employees may have worked in the Navy workshop is outside the ranges. I don't even know. I'm not an expert either. It's possible it's within the bandwidth range.
ParlaMint-NL_2016-02-18-tweedekamer-12.u27	I was charmed that Mr Teeven said he read all the reports and that he is aware of the uncertainty that exists among all employees. If the VVD believes that safety is important and that people in an organisation should be able to work safely, what exactly is the problem if you simply want to give these people who have taken care of our safety the safe feeling that proper research has been carried out?
ParlaMint-NL_2016-02-18-tweedekamer-12.u28	These people have nothing to do with the sense of security that proper research has been carried out. Those people are basically the same as us. We have to assume an institution that we think is very independent. With regard to environmental reports, the D66 Group has repeatedly said that RIVM is doing a good job and that should be the case for the cabinet. The VVD also takes that view on this dossier. It's about the group investigation. I see no reason to do that again, to come to a revision. If employees in concrete situations consider that they should file a claim, they should file an individual claim. Some have done so, but some have not. The number mentioned by Mr Van Dijk, namely 480, is considerably higher than the number of claims currently being dealt with by the Defence Organisation. If they have submitted that claim, it will be examined whether the complaints they have can only be directly traced back to a quantity of benzene in a substance or whether there may be other causes. Smoking also involves benzene. But then you have to look at this whole individual picture and we do not have it in the Chamber today. I realize very well that that's incriminating for people. But it's very complicated to let Defense take on group liability, while in this situation it's about individual liability.
ParlaMint-NL_2016-02-18-tweedekamer-12.u29	I conclude that Mr Teeven needs a lot of words to say that his party also stands up for Defence personnel when it needs clarity, which cannot be given. Apart from the discussions that have taken place before, do I ask Mr Teeven whether he agrees with D66 that there is a difference between an investigation asking whether it is possible that something might be at issue and an investigation into how many people are ill and whether there is a causal link?
ParlaMint-NL_2016-02-18-tweedekamer-12.u30	That is precisely what is at stake. That's why the VVD supports those employees. When people file an individual claim, we believe that it should be investigated by the Defence Organization. Thus, if a causal link is established in a particular claim situation, then so be it. That seems pretty clear to me. But with the method chosen now, we cannot accept individual liability or even group liability.
ParlaMint-NL_2016-02-18-tweedekamer-12.u31	This will be your second and final interruption, Mrs. Belhaj.
ParlaMint-NL_2016-02-18-tweedekamer-12.u32	I hear what Mr Teeven is saying, but I insist that it is amazing how often you hear the VVD say how important defence personnel are, but that it does not keep something so simple to itself by saying: we are going to actively investigate it and we are not going to leave it to the random or people to complain and to what extent that complaint is passed on.
ParlaMint-NL_2016-02-18-tweedekamer-12.u33	I note that the D66 Group often describes the National Institute for Public Health and the Environment as a renowned institute which it accepts the conclusions, but now it feels differently about this now that it is not convenient.
ParlaMint-NL_2016-02-18-tweedekamer-12.u34	Mr. Chairman. For the Labour Party, Defence personnel are the most critical success factor of the armed forces. If it turns out that Defence bears responsibility for complaints and disease of active and former personnel, Defence will have to recognise and act on liability. A very important point for us is that a relationship between complaints and work must be demonstrated by an independent investigation. It's not the first time we've talked about PX-10 in the Chamber; we've done that before. It has been mentioned many times: an independent study was carried out in 2011 by a very renowned institute, the National Institute for Public Health and the Environment. Because there were still too many questions and doubts among the employees about the investigation, the Minister, at the request of the House of Representatives, organised an information meeting on 28 January last for the employees and former employees of Defence, for which we appreciated the Minister. In that meeting, people are given space to do their story and ask their questions. I also understand that there were a lot of questions and concerns. We have received the report from the Minister's meeting. I was surprised to hear Mr Teeven also refer to this in an interruption to read that at this meeting for employees there were also Dutch MPs present. In this case, it was one of our colleagues. I'm asking the Minister what the code was for this meeting. Was it a closed meeting to mainly speak and inform the employees or was it a public meeting to which MPs were also invited? In that case, I missed something.
ParlaMint-NL_2016-02-18-tweedekamer-12.u35	Mrs. Belhaj, I owe you one more question.
ParlaMint-NL_2016-02-18-tweedekamer-12.u36	I heard Mr Teven say the same. I find this rather special. After all, I wanted to ask why all of us were not invited. There can't be anything discussed that we don't know? Is Mrs Günal-Gezer really calling for people's representatives to be excluded from meetings where there is nothing more to say than what we should already know?
ParlaMint-NL_2016-02-18-tweedekamer-12.u37	Members of parliament are free to have conversations with everyone at any time, to inform themselves and to collect information. But as a Member of Parliament, we have a lot of opportunities and moments, like today, to talk to the Minister about asking questions and trying to get clarity and answers. When you organise a meeting for the employees and former employees to especially give them the opportunity and opportunity to ask questions and tell their stories, we as MPs should be reluctant to do so, not take that space and not actively participate in such a meeting by asking questions ourselves. That's what I think.
ParlaMint-NL_2016-02-18-tweedekamer-12.u38	There is now a very clear demand for closure rather than for the PvdA to say: we would like people's representatives to be present at such meetings so that they can take a good look at what it means for employees.
ParlaMint-NL_2016-02-18-tweedekamer-12.u39	Mrs Belhaj draws a conclusion, but I did not say that at all. I have made it very clear that MPs have every freedom to be present everywhere, but I do expect some restraint when you yourself ask for a meeting where employees should be able to put their concerns, questions and comments to the Defense Department. I think you shouldn't be there and you shouldn't be actively asking questions there. That's at the expense of the space you want to offer the employees. There are concerns about what happened to the employees by working with PX-10. I understand, read that at Defense there is an opportunity for individual people to report with a claim. There have been several people who have done so. Can the Minister briefly explain how people can come forward? Is there a quick, simple way and is there a clear hotline where people can call in? Could the Minister perhaps take us into account what picture emerges from all individual claims? I think it is very important that people get access to the DOD quickly and easily. I have a question about the unions. The AFMP has been very critical and has filed a complaint with the Defense because it does not agree with the progress of the investigation, including with regard to the investigation. How are the other unions in this? Do they share the criticism of the AFMP? Or are they in it?
ParlaMint-NL_2016-02-18-tweedekamer-12.u40	Let's talk about this information meeting first. Mrs Günal-Gezer, I think you should be ashamed of the way in which you address this, just like Mr Bitch. Are I being accused of having been to an information meeting about PX-10, when I was there myself when the minister invented to keep it, and that I was interested in it? People really appreciated me being there. They said: "How nice that there is a Member of Parliament who listens to us; too bad that you are the only one." Then you're gonna talk a little bit about me taking up space there and stuff like that. I'm sorry, but I can't do anything with that. Now I'll ask my question. Last year at EenVandaag there were revelations about the research into PX-10. Then your colleague Mrs Eijsink said: okay, if there are many questions, then a new assessment of that study would be appropriate. That counter-expertise never came.
ParlaMint-NL_2016-02-18-tweedekamer-12.u41	For starters, I want to...
ParlaMint-NL_2016-02-18-tweedekamer-12.u42	Were you ready, Mr Van Dijk?
ParlaMint-NL_2016-02-18-tweedekamer-12.u43	I assume that the Labour Party is not happy with this and that you agree with me that there should be a counter-expertise on RIVM research.
ParlaMint-NL_2016-02-18-tweedekamer-12.u44	First of all, I should like to distance myself from Mr Van Dijk's words that I should be ashamed of myself. I didn't blame anyone. I asked the Minister very openly what code that meeting had. Was it a private meeting, just for the employees? Or was it a public meeting, where all Members of Parliament might have been welcome? I didn't know that. I wasn't invited. Apparently, Mr Van Dijk was invited. I'm very curious if that invitation was true for all of us. I am and will remain of the opinion: if you want to give the employees room to tell their stories and ask questions in all openness, sincerity and honesty, then I think that there should be time and space for those employees. As politicians, we should not take up space and time at the expense of the staff. That's my opinion. Mr Van Dijk does not have to agree. Fortunately, I have also often, in many places, contacted the employees, to collect my information and knowledge. Well, let's talk about the counter-expertise. We have also looked very closely at the research carried out and talked about it with a lot of people. RIVM is a very renowned institute, which has carried out a very thorough research. On the basis of a research question, it has chosen a particular research method and there comes a result. That research was then submitted to two international institutes for counterexpertise. For my group, that is enough and does not need to be subjected to counter-expertise again. We don't think there's any need for extra counterexpertise. I would ask Mr Van Dijk to be real for once. He keeps telling people all the time: new research, new research. I believe that people do not need a new investigation, but that they want to be heard, that they want to be helped and that they want to be taken seriously. As far as our group is concerned, they must go to the Defense Department on an individual basis as soon as possible in order to make an individual claim there. It's up to the Department of Defense to make room for that.
ParlaMint-NL_2016-02-18-tweedekamer-12.u45	The answers must be really short. The same applies to the questions.
ParlaMint-NL_2016-02-18-tweedekamer-12.u46	I wasn't invited to that meeting, but I called and asked if I could be there. I'm registered there and I was welcome. Mrs Güntal could have done the same, but she did not. Then about the counterexpertise. Mrs Güntal holds a story about international researchers who have looked at it, but a counterexpertise has never been done. Her colleague Mrs Eijsink asked for a counter-expertise on television, but I do not hear any more about it in the Chamber. She wants to take these people seriously, but those people do not feel taken seriously at all by an investigation by the RIVM that is ragged and flawed. They request an independent assessment of the investigation. If Mrs Güntal loves that research so much, what does she have to say: fine, let it be assessed independently, then we have clarity?
ParlaMint-NL_2016-02-18-tweedekamer-12.u47	I have repeatedly stressed that we take people extremely seriously. For us, that is the most important point. We would very much like people to be heard as soon as possible, to be able to tell their stories and to be referred very quickly to a process in which further research is carried out into the overall picture of the situation. It looks not only at the working conditions that have been present, but also at other factors that may be related to their current complaints. I distance myself from the qualifications given by Mr Van Dijk to the research of RIVM. We believe that this is an investigation by a very renowned institute. We remain of the opinion that its independence is sufficient and that there has been a counter-expertise. This is a thorough investigation. We do not think it is necessary to allow another counter-expertise to go over this.
ParlaMint-NL_2016-02-18-tweedekamer-12.u48	Mr. Chairman. If there is new facts or information, RIVM is prepared to carry out further research: that is what the Minister said almost six months ago about the PX-10 file. Five years ago, RIVM did research into working with PX-10 in Defense. Indeed, new facts have emerged since then. Firstly, several scientists show that other research is possible. Secondly, there are hundreds of former DOD employees who worked with PX-10 and are now seriously ill. Thirdly, it remains to be seen whether the appropriate precautions have been taken from a good employership. D66, like the SP, wants a new investigation into working with PX-10 at Defense. I'll explain why. The research of the RIVM was not done wrong in some sense, but perhaps the wrong one was investigated. As a reply to the question whether RIVM is still a solid institution, I say: yes, RIVM is a solid institution. It's not really about that either. It's about the question that's been asked. Actually, it's not a higher math; it's just on the front. It is about the potential: what are the chances that people could have gotten sick? That is a very different question from the one the Minister could have asked, namely: do you want to investigate to what extent people have actually become ill? So it's not about the potential. Of course, that takes a lot of time, but that's a different kind of question. The whole discussion that says you're done when you say it's RIVM right or wrong, I find it too simple. I hope I have also answered the accusation that, if you are not in favour of this, you are against RIVM. The role of RIVM is also quite different from the possible conduct of individual investigations. Thousands of people in Defense worked with PX-10, but the RIVM only interviewed 23 people in the Royal Navy. So there are very few of them. It is clearly noted that, apparently in all units, a broad call has been made to participate in that investigation. I found it striking that of all those people who were apparently approached, only 23 were willing to cooperate. I wonder what kind of letter was sent. Maybe people didn't know, or they didn't understand. At least that's different now. Now it is clear that there are more people who would very much like to participate in the investigation. As stated earlier, nearly 500 employees have reported working with PX-10. My question is simple. In the light of these new facts and developments, is the Minister prepared to carry out a new investigation? Given the time, I'm afraid I'm gonna have to skip a few things. I shall therefore continue my speech with a comment on safety. How is it that an organisation whose purpose is to bring safety does not have the safety for its own employees in order? Can the Minister reflect on that? Is the Minister prepared to look into the report of ClaimZorg and give an official response to it? Finally. Again, new facts simply justify a new investigation. The people who take care of our safety have a right to it.
ParlaMint-NL_2016-02-18-tweedekamer-12.u49	This brings us to the end of the first term of office.
ParlaMint-NL_2016-02-18-tweedekamer-12.u50	Mr. Chairman. Thank you for the opportunity to speak to the Chamber again about PX-10; in particular about the research carried out by RIVM on the composition and use of PX-10 and its health effects on staff. Whatever is said tonight, let it be clear that the DOD is taking care of its employees and former employees seriously. As an employer, Defence has a special responsibility for the staff. That is precisely why RIVM was asked at the time to investigate whether the work with PX-10 could have led to diseases in employees, in particular leukaemia. In that case, we are talking about the so-called 'causality'. I always heard that in the various contributions when it comes to individual research versus group research, for example in Mrs Belhaj's contribution. That is actually the question that Mrs Belhaj has just raised. I understand that in itself, but for me it is important what other authoritative scientific institutes normally use and then this is really not a strange approach. In fact, it is done in this way by the WHO, for example. The individual level of research is about whether an individual's illness may have been caused by the conditions at work. So it is based on the disease of the individual. In order to determine this, it is necessary to establish whether exposure to hazardous substances has occurred at work, but also in private, and whether these substances are related to the condition in question. It was rightly pointed out by others that other factors which have allowed a disease to occur such as dietary habits, exposure to radiation, smoking, infectious diseases, hereditary predisposition and susceptibility to certain substances should also be considered. As I said, the research at individual level takes the starting point of being sick of the employee. I try to make the distinction clear in the debate. However, the individual study does not answer the question that is important for the employer, the so-called "causality question," namely: what health effects can be expected on people who have worked with PX-10? That really calls for statements at group level and for group research. That is also what RIVM has done: research at group level. An individual examination could be on its own, but that means that all people who have come into contact with PX-10 in the past must undergo an individual examination. That also means that there will be an investigation into life as a whole. Such an individual examination may reveal whether someone is healthy or may have another disease. With this approach, the Defense Department should investigate thousands of people individually. Moreover, in that individual examination, you must also take into account other individual factors, as I have just indicated. If people do not agree with the results of the group study, an individual can of course file a claim. That has already been said by a number of Members. I'm going to go further on group versus individual. Professor Tytgat was recited. I get that, because he's right to say that you can never rule out the possibility that a particular individual can experience an effect of working with PX-10. In itself, that is correct, but that is different from the so-called 'causality'. RIVM certainly doesn't deny that either. The argument is also correct that an employee with different personal characteristics from the group could be at higher risk and could therefore be affected. That's what RIVM says. But again, for the employer, the question is whether that causality can be accepted and what that could mean for a generic regulation and so on.
ParlaMint-NL_2016-02-18-tweedekamer-12.u51	Was this the general introduction, Minister?
ParlaMint-NL_2016-02-18-tweedekamer-12.u52	No, I'm already busy.
ParlaMint-NL_2016-02-18-tweedekamer-12.u53	I understand what the Minister is trying to make clear, but I think that is precisely what the disagreement is about. In my opinion, the Minister continues to hide behind the fact that this causality has not been demonstrated and that no further investigation should therefore be carried out. But the Minister doesn't have to question all the Defence personnel on this, she can just take a representative group. For example, you can take 2,000 people, 500 of whom have smoked. With a different form of research, you can at least say more than on the basis of the limited group of people who have now worked with. That's what that counter-expertise is all about. If that is the Minister's fear, then I tell her that not everyone necessarily needs to be questioned. Does the Minister not agree with me that such an intermediate step is also a possibility?
