ParlaMint-NL_2016-09-07-tweedekamer-8.u1	I welcome the Minister for Education, Culture and Science. We need to get back to work.
ParlaMint-NL_2016-09-07-tweedekamer-8.u25	One of the elements in my second-term speech is that I would like to see the whole process of rights, duties, flow and selection moments at the gate more coherently. I call on the Minister to do so and I have therefore tabled an amendment to remove that right of admission from this law.
ParlaMint-NL_2016-09-07-tweedekamer-8.u26	With your permission, Mr Van Meenen, we are now going to Mr Grashoff van GroenLinks.
ParlaMint-NL_2016-09-07-tweedekamer-8.u27	I am a little surprised by Mr Rog's contribution, because I believe that we have a system of education in the Netherlands in which we have a stacking and proper pre-training gives us access to further training. It's not for nothing that the vmbo is called "preparing" mbo. It would therefore be logical for there to be a right to enter the MBO. It has always been so in the core of the Dutch education system. The second thing that surprises me, especially at this level, is the following. When you do not recognise that right of transition from VMBO to MBO, the situation arises in which people are forced by an educational institution not to obtain initial qualification in the labour market. After all, that right has been deprived of. I wonder if Mr Rog will take care of that later. The start-up qualification can then be hampered by the fact that a training says: you are simply not suitable; another training says so too. Eventually, a human being with his own opportunities for development has to look into it. Is Mr. Rog gonna take that for his hood?
ParlaMint-NL_2016-09-07-tweedekamer-8.u28	I have to correct Mr Grashoff, because there are certain requirements for admission, for example between VMBO and HAVO. There an admission code is not laid down in laws but in the sector. Moreover, we, like GroenLinks, want to have an evaluation of this in order to look at it in a coherent way and see whether we are doing it in the right way. There are also numerous selection options at the gate in higher education. So we are creating something new: a right of admission for just one education sector, whereas we have not organised it in other sectors. We have a responsibility to look at the system as a whole. I'm committed to noticing this, because I know this conversation is part of the legal process. It would be good if colleagues across the street could weigh that too.
ParlaMint-NL_2016-09-07-tweedekamer-8.u29	I feel that Mr Rog is sending a double message here. In my view, there is also a right of admission between MBO and HBO and between VWO and wo. Those are normal, common rights. The fact that other transitions in the education system are being affected seems to me to be the worst argument for allowing this to happen. Does it not mean that, on the whole, we have to follow the example of the HAVO, because that too is where admission requirements are being imposed that we are increasingly moving towards a system which does not take precedence over the development opportunities and the choice of the student or student? Are we not going to end up with an Anglo-Saxon model, where the training courses simply choose who they like best and find the most talented and the rest is simply written off? Is Mr. Rog signing for that?
ParlaMint-NL_2016-09-07-tweedekamer-8.u30	I find Mr Grashoff's image of the MBO sector more than shocking. He pretends that a bunch of teachers work there that does nothing but want to bully the student and not let the student in, and only looks at returns. I'm throwing that far from me. That's not how I know the sector. In the run-up to this second term, I have spoken to many people: administrators, school leaders, students and works councils. On the contrary, I hear only positive stories, also from the JOB, which is in consultation with the MBO Council in order to organise this better. All I hear from everyone is that the intake, the procedure towards admission, is very high quality and well used. I appreciate that. I think that's a good thing. I'd say give it a chance. I would say to Mr Grashoff that I am quite prepared to look at the system as a whole. How can we consider and, if necessary, adapt the transit and admission requirements? However, we do not want to do this through just a quickie for one sector, for 120 students who are probably not admitted on false grounds.
ParlaMint-NL_2016-09-07-tweedekamer-8.u31	Now I really must distance myself from Mr Rog's words. I didn't put away an entire sector. I have spoken about a right and the consequences that it has. Any student or student who is unjustly rejected and restricted in his abilities is one too many. Nor have we laid down freedom of expression as a right because it is, in most cases, self-evidently recognised. We did that to set the standard. Mr Rog does not want to do that.
ParlaMint-NL_2016-09-07-tweedekamer-8.u32	I share Mr Grashoff's view that it is terrible for any student who will not be admitted on unjustified grounds. I think that's the same thing. The only question is whether this is the right means to set up ad hoc work.
ParlaMint-NL_2016-09-07-tweedekamer-8.u33	I have heard Mr Rog speak positively about the binding study opinion. He also said in an interruption that he would support the proposal on the additional obligations to follow study-choice activities. I have a question about the amendment tabled by Mr Rog today on the abolition of the right of admission. This debate is about the law of admission. So what is Mr Rog's intention when it comes to the elements contained in this law?
ParlaMint-NL_2016-09-07-tweedekamer-8.u34	I think I said that in my introduction. This bill regulates a number of matters. One of the main elements is the right of admission. That is what my amendment is based on. My group supports the other points, the study choice advice, the date of registration and also the way in which the BSA is organised.
ParlaMint-NL_2016-09-07-tweedekamer-8.u35	A point of order, however. Since this is a key issue of the law, and I think it was the Minister's intention to make the right of admission a key issue, I wonder whether Mr Rog's amendment is in order. I ask Mr Rog or the President himself through the chairman. Is it allowed under the Rules of Procedure to table an amendment which is in fact contrary to the spirit of the law? Does it even make sense to vote on something like that?
ParlaMint-NL_2016-09-07-tweedekamer-8.u36	In short, is your question really whether this amendment is a destructive amendment, as defined in Rule 97 (2) of the Rules of Procedure?
ParlaMint-NL_2016-09-07-tweedekamer-8.u37	You can quote that better than I do, but it's true.
ParlaMint-NL_2016-09-07-tweedekamer-8.u38	Of course. First of all, Mr Rog.
ParlaMint-NL_2016-09-07-tweedekamer-8.u39	Here's what I'd like to consider. I have tabled an amendment, but I have a somewhat more extensive second-term contribution than you might expect from me. The reason for this is that I insist on rubbing the Minister's nose that removing this element from the law would be important in order to look in conjunction with the sectors at how we can do better. So we can call it a destructive amendment on formal grounds, but I am concerned about the following. The Minister has done an excellent job on a number of elements. I'm asking her for arguments. I am quite prepared to hear it, and if the Minister advises not to agree to it, we will hear it, but I will have a comment on it later. I'd say just leave this to the Minister. I would be sorry if a colleague of mine was now trying to get my amendment off the table on formal grounds.
ParlaMint-NL_2016-09-07-tweedekamer-8.u40	Now it's getting a little complicated, so I'll make you a concrete proposal. The Rules of Procedure provide that an amendment shall be deemed admissible until the Court has declared it inadmissible. A proposal to that effect may be made, if necessary, with interruption of order, either by the President or by one of the Members. In particular, I hear Mr Duisenberg raise the question of whether that does not apply to this amendment, which Mr Rog has explained. I hear Mr Rog say at the heart of the matter that he wants to hear the Minister's opinion first, and that after that the Chamber deals with it.
ParlaMint-NL_2016-09-07-tweedekamer-8.u41	Yes.
ParlaMint-NL_2016-09-07-tweedekamer-8.u42	I propose that we follow the latter, at least for the time being. In other words, we await the Minister's opinion first, so her opinion on the amendment, and then discuss further how the Chamber looks at whether or not it is a destructive amendment. That would be my proposal.
ParlaMint-NL_2016-09-07-tweedekamer-8.u43	To colour that a little bit, I have one more question for Mr Rog. If his amendment is not adopted, what will he do with the law?
ParlaMint-NL_2016-09-07-tweedekamer-8.u44	That's all of later concern.
ParlaMint-NL_2016-09-07-tweedekamer-8.u45	I can also tell Mr Van Meenen that I will finish my contribution.
ParlaMint-NL_2016-09-07-tweedekamer-8.u46	As I said, that's from later on. That's coming up.
ParlaMint-NL_2016-09-07-tweedekamer-8.u47	One more question to the Minister. What effects will the adoption of this law have on efficiency? If the flow within the MBO is the minister's concern, why doesn't she adjust the cascade cost? Wouldn't that be a more effective method? The CDA is concerned that the number of early school leavers will increase again after a continuing trend of 15 years, with the adoption of this bill. This is not in the interests of society, not in the interests of the MBO schools, but above all not in the interests of the student concerned. I therefore call on the Minister to look carefully and coherently at the right to education, the flow between sectors and admission procedures. The CDA has therefore tabled an amendment to delete the right of admission from the law. If this amendment cannot be expected to count on a majority in the House of Representatives, I will ask for an article-by-article vote in the vote on this bill.
ParlaMint-NL_2016-09-07-tweedekamer-8.u48	Mr. Chairman. Where fanatic football can lead... hence I almost stumbled into the microphone. The first term of this debate has been done by my colleague Jadnansing. She was passionate about all those mbos who deserve a fair chance. It will have to do this in practice from now on in education. We will undoubtedly visit her once on one of the many work visits we make. Much has already been said about this bill, about why you can be for or against. When I saw this bill coming along, I thought as an old mbo: hey, why isn't this settled yet? It should be obvious that, if you meet the right pre-school education, the right to be admitted to the education you wish for, about which parents are thinking along and about which you do not just make a decision, is properly secured. We can say here that very few students are involved, but at least one is too many. So let's just settle this in a proper way. That is why my group is very content with this bill, at least with the substance of this bill: the right of admission. Last time Mr Jadnansing asked questions about the implementation of the binding study opinion. We have received a detailed letter from the cabinet on this subject, also explaining how the binding study advice could work in the MBO. We did not think that this was entirely sufficient in terms of the position of the student and the obligations of the institutions. I will not read the amendment completely, which seems to me to be unusual, and also in view of the time, but there is an amendment tabled by Mr Grashoff and myself to ensure that binding study advice is properly carried out, so that the students know better what they are generic about. To anyone who now calls for binding study advice to be wrong, I say that current practice is not always right either. The arbitrariness of institutions on this point is enormous. It seems to me to be a good idea to guarantee rights and obligations in a more generic way.
ParlaMint-NL_2016-09-07-tweedekamer-8.u49	For ease of reference, you spoke of the amendment to item No. 19.
ParlaMint-NL_2016-09-07-tweedekamer-8.u50	Excuse me, Mr President, I do not have the number of the amendment ready.
ParlaMint-NL_2016-09-07-tweedekamer-8.u51	No, that's why I'm giving it a minute. It is the amendment in part No. 19.
ParlaMint-NL_2016-09-07-tweedekamer-8.u52	Thanks for the clarity. It is the Grashoff/Mohandis amendment. There is also a lot of talk about the sector. The sector is more than the MBO Council as far as we are concerned. Those are all the professional associations. But above all, it is important to stress that parts of the sector welcome this proposal. Take, for example, an educational union like AOb, but also JOB, the youth representatives in the MBO. So the picture has been very one-sided over the last few weeks, and I do not think that this bill is correct. I explained the amendment on the binding study opinion. I ask the Minister how she will ensure that, if that law is passed, all the parties in the field will be able to make every effort to work towards the actual new situation. This also requires a cultural change in terms of intake and registration dates. In any case, I am content with the way things are going in higher education. We see that such a registration date, whenever you place it, also does something with the timely registration of students. So it seems to me to be an improvement for the MBO, precisely to prevent young people from making their choice too late and to ensure that they also reflect on that next step in time with the institutions and with their parents. In this context, study-choice activities and everything that goes with them are essential. The fact that we can agree to the legislative proposal seems to me to be self-evident, provided that certain amendments are not adopted. The final weighting of my group will therefore also depend on what I shall use in other words than Mr Duisenberg's overall picture of what is and what is not adopted. I would ask the Minister if she can comment on a letter from VNO-NCW on the bbl-route. There is a lot of confusion about this, when I really wonder where the problems are when I read the bill. So I would like an explanation on the bbl route and the group that would be in trouble if the date of 1 April were to be used.
ParlaMint-NL_2016-09-07-tweedekamer-8.u53	"Bbl" stands for professional...
ParlaMint-NL_2016-09-07-tweedekamer-8.u54	The vocational guidance learning path. There are several learning paths in the MBO.
ParlaMint-NL_2016-09-07-tweedekamer-8.u55	That's right. The public gallery is not very full, but we always take it into account.
ParlaMint-NL_2016-09-07-tweedekamer-8.u56	Thank you, Mr. Chairman. I'm gonna leave it at that.
ParlaMint-NL_2016-09-07-tweedekamer-8.u57	Mr. Chairman. Before the recess, we stopped the discussion of this bill for a moment to come back to it after the recess. Perhaps it was also wise to blow out and see what a solution might be, because it started to become quite stalemate. There is a good legislative proposal at the heart of the matter which regulates the right of admission. You could almost say that this bill should have been superfluous. However, because too often in practice there is improper refusal of students, we are obliged to lay it down strictly in a law, to regulate what should have been normal, even for the MBO, but tight and strict. The bill contains a strange bitter pill: the binding study advice. My group is not in favour of this. We weren't when it was proposed for higher education. We have made several attempts, and will continue to do so, to get it out of there. We have to note that there is a dilemma for my group too, because we very much want to have the right of admission properly regulated. Let us also note that I am very concerned about the commitment of the MBO Council, the dome of government, and I am very keen on the idea that it is very wise to introduce this law as soon as possible. If I may say it unparliamentaryly, I have been able to listen with curly toes to the efforts of the MBO Council. I think the problem is being trivialized. I think this dome should have said: "Of course there is a right of admission. We're gonna take care of that properly and neatly. If that is to be legally anchored, then we are in favour of it, because then we also have more control over our members." That's not what happened.
ParlaMint-NL_2016-09-07-tweedekamer-8.u58	We were just having a conversation about it. I ask Mr Grashoff whether he has also spoken to teachers, school leaders and administrators, and not just to the Ton Heerts of the MBO Council. Did he talk to these people and just listen to what they think about refusing students? Does he think this is just to bother those students?
ParlaMint-NL_2016-09-07-tweedekamer-8.u59	The main thing is that this cannot be done. I also disagree with Mr Rog's approach that a student should be protected from himself at that time. It is a choice of its own, in the case of minors, a choice made together with the parents. It's a choice. It is an important mistake in our society to assume that, thinking from institutions, we believe that we should protect someone from themselves in such a way, so that the person concerned will spend his life walking around with the idea: I wanted to, but it has made it impossible for me. We shouldn't want that. I'm not saying that every student who's refused will by definition make it to the finish line. The opposite is not true either. Nor can Mr Rog justify this in any way. However, it is important that your starting point is that you offer people opportunities and that you also offer people opportunities to make a wrong choice. Yeah, I'd like to do that for them.
ParlaMint-NL_2016-09-07-tweedekamer-8.u60	It is good that this ideological debate is taking place, but I am a little concerned about the broad coalition that apparently supports this reasoning. I believe that society does have an obligation, and I know that these teachers in the MBO sector do feel the responsibility to give careful advice in all conscience and indeed sometimes to protect young people from themselves. They do so either because these young people will not get a job or because it is predictable that they will not finish their studies. To be honest, I find it irresponsible what Mr Grashoff wants. He wants children to just have to take the helm and do everything they can and cannot be protected from themselves.
ParlaMint-NL_2016-09-07-tweedekamer-8.u61	Mr Rog's reasoning is not correct. We have an educational system in which we train students in the preparatory MBO. If they obtain that diploma, they are the principal fit to pass into the MBO. Otherwise, they wouldn't be able to pass the diploma. The assumption that you can decide on a micro level from the outside for a moment who does have a chance and who does not do injustice to the diversity of people and injustice to the fundamental right to education. We are talking here to a large extent about students who are still subject to qualification. It wrongs the fact that people make choices about how they want to live their lives and what opportunities they want to take. I would really like to appeal to Mr Rog to think again. I have the feeling that Mr Rog is getting himself into the crossroads of an old-fashioned paternalist view which is apparently present in a majority of the school boards at the moment.
ParlaMint-NL_2016-09-07-tweedekamer-8.u62	We're diving into ideology.
ParlaMint-NL_2016-09-07-tweedekamer-8.u63	I hear a very high tone with Mr Grashoff. I have organized intakes for 34 years, Mr Van Meenen knows all about it. He's only done that for 33 years. Now Mr Grashoff tells me that I have been there as a representative of an anonymous institution which is sent by bureaucrats and which must keep students out of the door, is paternalistic and so on. If I tell Mr Grashoff that I and all my colleagues have done this on extremely honest grounds, in good conversations with students, where does he get the idea that there are all sorts of anonymous bureaucrats in the service of drivers who are constantly refusing to accept these students? Where did that sound come from? What exactly is his worldview of teachers and teachers?
ParlaMint-NL_2016-09-07-tweedekamer-8.u64	I believe that Mr Beertema and many others have had, have had, have had, have had, and have given, opinions. At the heart of the matter, however, it is not a question of preventing Mr Beertema or, even more importantly, of opposing an opinion. The point is that a binding, hard conclusion is drawn that deprives someone of an opportunity. That's the difference. I am in favour of students and upcoming students being properly informed and of providing good and convincing advice. The strength of an opinion must lie in the power of persuasion and not in the fact that there is such a stick behind the door. A recommendation does not even need to be taken, because the student is already sent away. That's the difference, Mr. Beertema.
ParlaMint-NL_2016-09-07-tweedekamer-8.u65	I would like to come back to that paternalism. Have you, Mr Grashoff, ever participated in intake interviews? Then you could have run into them, all those students with these completely wrong assumptions, with very romantic images of their profession and their own abilities. That's a lot of resentment. That's really annoying. Have you ever seen that before? Those are the vulnerable students who need to be protected from themselves. Otherwise, they will lose three or four years of their lives to an education that offers no comfort.
ParlaMint-NL_2016-09-07-tweedekamer-8.u66	Mr Beertema, it is a question of giving these pupils, these young people, opportunities. They might do that on the wrong grounds. It may as well be that they are rejected on the wrong grounds and they would be successful if they were allowed. You can't predict that in advance. It also makes no sense to find some sort of ultimate truth about it. The ultimate advice and the ultimate assessment do not exist. That means you're falling back on a basic principle. The basic principle is that it is ultimately your own responsibility to choose that course, even if you get advice. Once again, if they are minors, it is to a large extent also the responsibility of the parents. That's a basic principle. If that's what you're gonna do, you're gonna be on the soap ramp.
ParlaMint-NL_2016-09-07-tweedekamer-8.u67	I just get the impression that it's also very complicated to find the truth between you two, so we're just gonna leave it at that.
ParlaMint-NL_2016-09-07-tweedekamer-8.u68	The binding study advice is a bitter pill for us, and unacceptable as it was in the law. Why is it unacceptable? It meant de facto that where admission rights are regulated at the front door, after three months there is suddenly a back door allowing students to be removed from the training. This means that there could be a cure that is worse than the disease than it actually solves something. I'm really sorry about that. It would mean that, despite our extraordinary desire to regulate the right of admission properly, we would have to vote against this law. That is why I sought a compromise. This is an explicit compromise, because I am against the BSA (binding study opinion). I will also support Mr Van Meenen's amendment on this point. The compromise is aimed at looking at whether there is a way not to throw the child away with the bath water. That was my bet. That may be a rather atypical role from GroenLinks, but I have done it and I fully support it. I think that the amendment that is now before us is to a large extent transforming the BSA into a means of hot transfer from one training to another and not causing a breakdown.
ParlaMint-NL_2016-09-07-tweedekamer-8.u69	If GroenLinks is so fatally opposed to the binding study advice, why doesn't GroenLinks just vote against this part of the law and vote against the other good things that are in the law? Of course, this is a little skinny.
ParlaMint-NL_2016-09-07-tweedekamer-8.u70	I think that's a very clean policy. It means that the SP chooses to vote against one part, and then to support the whole law in which that terrible BSA is involved. It has a worse result in the end, but politically it keeps very clean hands. My style isn't, to be perfectly honest.
ParlaMint-NL_2016-09-07-tweedekamer-8.u71	This is a very normal procedure in this house of democracy. We have indeed said that there are beautiful things in this law. We are very much in favour of the right of admission, because we think that if you have a VMBO degree, you should simply be admitted to the MBO, despite your home situation, your age or your limitation. We are now trying, together with D66 and the amendment, to remove the binding study opinion. If that does not work, a group will be free to vote against this section. Mr Grashoff is now simply going to agree to a compromise. It's like GroenLinks has a penchant for power.
