ParlaMint-NL_2016-09-29-tweedekamer-5.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-09-29-tweedekamer-5.u52	Well, I find it very special that we have a situation that is many times worse than the Weekers situation and where there are still people in payment problems every month, but D66 doesn't take the bait! Hopefully, the SP does, but hardly anyone does that around here anymore. And then I wonder why. Why is the Secretary of State, who insists on waiting until 2020, not being sent home? And then D66 says nothing more than "telling"! What is that thing?
ParlaMint-NL_2016-09-29-tweedekamer-5.u53	Let me satisfy Mrs Agema. I also wanted to pay attention to this in my contribution. You have the new system that needs to be built. I really think that this should be done carefully. We shouldn't, like last time, get a system that hasn't been tested. There is absolutely no use for the budget holders. I also fully agree with Mrs Agema that we need to improve the current system. I would also like to devote a great deal of my input to this. So I do have an eye for the care. The value of today's debate should be to improve the current system, because many budget holders still have to work with a very user-friendly system. I really do. I therefore hope that Mrs Agema will be patient so that I can tell the rest of my contribution. Hopefully I'll reassure her.
ParlaMint-NL_2016-09-29-tweedekamer-5.u54	Yeah, yeah... No, actually not, because D66 accepts the status quo.
ParlaMint-NL_2016-09-29-tweedekamer-5.u55	No, um...
ParlaMint-NL_2016-09-29-tweedekamer-5.u56	I hear that improvements need to be made and we need to learn lessons. But D66 leaves the Secretary of State who has pressed this through alone, independently and without informing us. When will it be enough for the D66 Group? Because we now hear that if the SVB is not in the lead, there will be another legislative change, which will last another year and a half. Then we will have a period of five years in which every month there will be people with rental problems, who will be sent to their necks by the government collection agencies. So when does D66 say that the Secretary of State who caused this must leave?
ParlaMint-NL_2016-09-29-tweedekamer-5.u57	The PVV still lives in the past. We have had several debates on this subject. I'd really like to look into the future now. How can the problems for budget holders be resolved in the short term and how can we get a new, careful system? I think that the budget holders are much more well served by this than by what the PVV is now proposing.
ParlaMint-NL_2016-09-29-tweedekamer-5.u58	I would like to continue with this so-called care. We can see that it was not applied when the right of draw was introduced and that, more than a year and a half later, we do not yet have an alternative. What does the D66 Group think about that? Carefulness is actually being misused to put an alternative and a short-term perspective on the long run. What does Mrs Bergkamp think of the Secretary of State doing?
ParlaMint-NL_2016-09-29-tweedekamer-5.u59	I think Mrs Leijten certainly has a point there. I have also just indicated that I find it very annoying to read in the newspaper and in letters from Per Recht what is happening behind the scenes. That is also my question to the Secretary of State: where is he in all this? I must say, however, that the Secretary of State indicated that there would be a plan in October, but that we are already discussing it today at the request of the VVD. In terms of regularity, something is wrong, because of one of the coalition parties, but I think that the Secretary of State should clarify today. What happens now and what information will we receive in November? Be careful not to abuse, but looking at where we are now, you can see that the whole process of course has not gone very carefully. I want a system that the budget holders are happy with. We have also come up with a proposal together with Per Recht in which they formulate the requirements together. I also want a system that is sufficiently tested.
ParlaMint-NL_2016-09-29-tweedekamer-5.u60	Carefulness is incredibly abused. We could have said before the summer: build that portal and make sure that's right. We didn't, because the VVD had to go back into the loft. Even today we can say that, but the VVD is not going to do that, because she's back in the loft. So we get a debate on 1 November, when the deadlines have passed to do it carefully with a BIT advice and a good tender, and the budget holders are sitting with the SVB's wood-rope system until 2020. How does D66 look back on that? It is partly responsible for this because it does not force the Secretary of State to come up with an alternative soon. We're gonna have an SVB system with no perspective until 2020. How does D66 look at that?
ParlaMint-NL_2016-09-29-tweedekamer-5.u61	Carefulness is important, but that also applies of course to speed. It's gotta be possible. I think, frankly, the SP should focus its anger more on the coalition and the Secretary of State. After all, in the debates we have had on this subject, I have always said that it is important to find a quick solution, including to the current problems of the budget holders in the system. At the end of August, it was front page news: half of the pgb declarations were wrong. Is it true that the SVB gave that message to the journalists independently? How'd that go? Is it true that a very large group is now also classified as "no good" because the system itself is inadequate? I get signals from people who have already been called four times by the SVB about the same fact, but are given a different interpretation and solution. On 1 November, the so-called "button" will be turned on and fraud will be tested. That is, of course, fine, but I do not think that it is necessary for people who make an administrative mistake to be harmed. They must continue to be able to pay for their care and caregivers. I would like to clarify what is going to happen in that process, particularly towards November. Last week, Claudia Kruidbos showed the letter she wrote to the care office for the renewed application of the pgb for her multi-disabled son. She had to deliver 65 A4s. She filled out his name fifteen times, ten times his SVB customer number and twenty times his account number. In addition, she had to fill out her own bsn 21 times. She's not the only one. Per Balance, 1,200 similar reports were received. That's embarrassing and actually crying. What rules is the Secretary of State going to delete? And how do we adapt this system so that it remembers when someone needs care? Why should someone who wants more care, who has to apply every year? When will the standard models for an application become the standard? This debate would be beneficial if the Secretary of State promised the D66 Group that there would be a short-term improvement plan for the current system, with a priority list aligned with the users, understanding how the current system is being adapted, what rules will disappear and how we can deal with the terrible administrative bureaucracy. I would like to mention a few small issues, which, however, have a great impact. Budget holders who first fell under the Wmo due to a mistake and now again under the Wlz, are heavily affected. They are now subject to a lower informal rate. We believe that this is unfair and we would like a response to that. Some health insurance companies have lead times of about eight months. Is that really true? And is it like that everywhere? We would like an overview of the lead times per insurer. Especially now that Zorgverzekerings Nederland is interested in contributing to the drawing rights system, I am very curious how they actually deal with the pgb in practice. What is the status of the new renewal agenda for the pgb? And what is the status of the General Measure of Governance with the determination? There would be an administrative consultation, again with the health insurance companies. I assume that will go smoothly, but I would also like to receive an update.
ParlaMint-NL_2016-09-29-tweedekamer-5.u62	Mr. Chairman. "Then there is a care plan that you require me to describe exactly (but I would like to be within the lines) why someone comes and what they do, and on option 2 what happens if my son doesn't get this help. I can briefly summarize the latter, which is he's dying! Unfortunately that is not allowed and I have to write down five times, in detail, what serious limitations my son has, what defects, disabilities, his abnormalities and the diagnoses." This quote is in a letter recently received by the Chamber about applying for a pgb. It could have belonged to any father or mother. Asking quantities must be filled in and papers must be copied and sent. The Secretary of State then sent a letter with warm words and wrote that he was going to solve it for this mother. But the CDA wants the system modified. The Secretary of State writes to the Chamber that everyone agrees to initiate the checks on 1 November. That's good for the Secretary of State, but I'm looking at that differently. What checks are being set up? In his letter, the chain director goes into that. In response to the mother's letter, I would have liked to have heard in concrete terms what controls will be abolished. I do not find the letter of 23 September from the Secretary of State very inspiring. That is not enough if you read the analysis of the chain director about the amount of controls that lead to failure in the system and therefore not paying. Let's face it, these controls aren't gonna save the care. On the contrary, in my opinion, they destroy the concern. They frustrate people unnecessarily. What is the Secretary of State going to do to make the system better? Is he going to check the front qualitatively who wants a pgb? Is he going to make sure that shady desks are cut off so that we can prevent real fraud? What rules is he actually going to delete to make sure that people can do what they have ever worked for, namely to provide care? The unnecessarily frustrating of parents and families of caring people must really be put to an end. I come to the investigation of the extrajudicial grounds for refusal by municipalities and health offices, following the Dik-Faber motion. An investigation into ten municipalities, eight of which do not know what is going on, is in no way representative. I'd like to get a response from the Secretary of State. Then the future. In the last few days, Per Recht bought us almost a live blog of the conversations with VWS. The progress of this is disappointing! There is a proposal that is now supported by the healthcare offices, in the capacity of health insurance companies Netherlands. How bad does the misery behind the scenes still have to be at the SVB? But no, VWS thinks of two reasons why the solution sought there cannot be. The law must be amended and tendered. Well, the law can be changed. It is no problem for me to soon organise an amendment to some VWS law. Does the Secretary of State want to go along with that? Then there is the obligation to tender: a healthcare office is not a contracting authority, so it does not have to tender. Should VWS be contracting? No, there are a lot of subsidy relationships where that doesn't happen either. I would like the Secretary of State not only to say that he is not married to the SVB, but that he also acts accordingly. Finally. Can the CDA assume that the new payment system is open source in accordance with the motion already adopted in 2002 by the Member of Parliament, Mr Vendrik............................................................................................................................................................................................................................................... Or does the government remain dependent on tax-enriching ICT companies?
ParlaMint-NL_2016-09-29-tweedekamer-5.u63	The arguments of VWS why the plan of Zorgverzekerings Nederland could not convince me directly. However, we are not always happy with the combination of pgb and health insurance companies. So I do wonder whether the health insurance companies are by definition the right party to take on this task.
ParlaMint-NL_2016-09-29-tweedekamer-5.u64	In Mrs Voortman's words, I am listening to a reference to the way in which health insurers are currently dealing with the refusal of personal budgets. I totally agree with her. That is incomprehensible to me too. That is why the CDA raised this issue several times when this discussion took place. I believe that we have worked hard together with the SGP Group to undo these grounds of refusal as much as possible. However, that is different from the question of whether in this case care offices are going to be able to play a good role here. I would remind you of the period before 2015. Have we ever heard of payment problems with personal budgets? No, never or rarely. And who paid those pgbs for January 1, 2015? Those were the municipalities and health offices, and occasionally, in some complex cases, the Social Insurance Bank did. One thing's for sure: now it's a big gang. The Social Insurance Bank plays a decisive role in this. It seems covered by the Secretary of State and I want to move towards a better future.
ParlaMint-NL_2016-09-29-tweedekamer-5.u65	We all want that better future. I agree with Mrs Keijzer that it is a gang and that the Social Insurance Bank is not doing well in this way. I can imagine that the confidence in that respect is gone. But whether this means that we have to expect the walhalla immediately from the health insurance companies, I have not yet figured that out. The point is that health insurers remain private parties. I would not like to be too critiqued or say something too easy: we let the health insurers do it. A little more restraint might also be wise in this regard.
ParlaMint-NL_2016-09-29-tweedekamer-5.u66	Mrs Voortman speaks against a CDA and whether words like 'walhalla' are appropriate is, of course, the question; at least we call that different. I am not saying here that health insurance companies in the Netherlands should do that either. I don't have enough expertise to do that. However, I say that the search for arguments to keep the SVB in this system is up to me. I can almost get angry about it, but when I hear it, I put anger next to me, I look at the arguments and I think: wanted. We can do this differently, and we have to do this differently. I want a specific answer from the Secretary of State today to my two specific questions, because this has to be different and this can be different!
