ParlaMint-NL_2016-03-15-tweedekamer-29.u1	At the request of a number of Members, I propose that the following motions be repeated: 34300-XVI-37; 34000-XIII-118; 33043-17; 32849-67; 31239-159; 31239-158; 34000-XVII-32; 34000-XVII-31; 34000-VIII-51; 32735-134; 26485-205; 33495-89; 34300-XIII-50. I propose to add to the agenda: the VAO Animal Diseases and Use of Antibiotics, with Mr Wassenberg as the first speaker on behalf of the Party for Animals; the European Union's proposals for implementation of the BEPS agreements, with the first speaker being Mr Merkies on behalf of the SP.
ParlaMint-NL_2016-03-15-tweedekamer-29.u18	So I do not support Mr Bashir sec's proposal, but only if he is prepared to broaden it, as Mr Nijboer has just proposed.
ParlaMint-NL_2016-03-15-tweedekamer-29.u19	For the sake of clarity, I would like to join the PvdA and the VVD colleagues.
ParlaMint-NL_2016-03-15-tweedekamer-29.u20	I don't mind. We can talk about it, but I would also like to take part in the debate. Then I will spend most of my time talking about the capital efficiency levy. If others want to talk about something else, that is their right, but then we should also invite more rulers, namely the Minister of Finance, the Secretary of State for Finance and the Minister for Social Affairs and Employment.
ParlaMint-NL_2016-03-15-tweedekamer-29.u21	You have no support for your request to do it separately, if I may judge it so far. Mr Van der Staaij, make a brilliant proposal.
ParlaMint-NL_2016-03-15-tweedekamer-29.u22	My brilliant proposal has actually already been made, namely that Mr Bashir should be given the honour of making a large number of other requests unnecessary by broadening his request and thus getting the debate. I say support, if he's willing to broaden it. If he continues to limit it, I will have to try to broaden it in another debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u23	Then I'm gonna finish the list.
ParlaMint-NL_2016-03-15-tweedekamer-29.u24	Support for Mr Bashir's request, but if the rest of us want to broaden it, we also want to support it.
ParlaMint-NL_2016-03-15-tweedekamer-29.u25	Also support, but also much more preference for merging.
ParlaMint-NL_2016-03-15-tweedekamer-29.u26	Support for broadening. We need to take a good look at who's there. As far as we are concerned, that would be the Secretary of State for Finance and the Secretary of State for Social Affairs.
ParlaMint-NL_2016-03-15-tweedekamer-29.u27	Support for the request. I would like to give Mr Bashir the opportunity not to broaden it, but simply to leave his request for a 30-member debate on the capital efficiency levy. As far as I am concerned, this subject deserves separate attention. We can also always have a broader debate on the ECB's kamikaze policy.
ParlaMint-NL_2016-03-15-tweedekamer-29.u28	I support Mr Bashir's request. If a broadening of it means that we have a wider debate quickly, it is next best for us and deserves support as next best.
ParlaMint-NL_2016-03-15-tweedekamer-29.u29	Mr Bashir, you have no majority unless you broaden your request. You'll have a majority.
ParlaMint-NL_2016-03-15-tweedekamer-29.u30	Then I listen very carefully to those colleagues who are asking to broaden it. I agree with that, but I am going to talk mostly about the capital efficiency levy.
ParlaMint-NL_2016-03-15-tweedekamer-29.u31	You're in charge of your own input.
ParlaMint-NL_2016-03-15-tweedekamer-29.u32	Thank you to Mr Bashir for broadening it. We appreciate that very much. We would then like to be able to put a number of questions to the government in advance. Mrs. Klijnsma didn't know how to answer it. According to the CDA Group, at least the Minister of Finance and the Secretary of State for Social Affairs should be present. The request for debate is with the Secretary of State for Finance, so that brings us to three heads of government.
ParlaMint-NL_2016-03-15-tweedekamer-29.u33	Three? Let's see.
ParlaMint-NL_2016-03-15-tweedekamer-29.u34	Two from Finance and the SZW Secretary of State. I also proposed in the Finance Committee that a hearing on the ECB's interest rate policy be held within a week or three to invite the President of the Netherlands Bank and a number of professors. It would be nice if this would be done in time for this debate. That can be scheduled a week later.
ParlaMint-NL_2016-03-15-tweedekamer-29.u35	You make two calls, Mr Omtzigt. The written questions really have to go through the committee. The same goes for the hearing. Both cases have to go through the committee.
ParlaMint-NL_2016-03-15-tweedekamer-29.u36	Well, I'm asking the written questions for this debate. Then it's part of this debate, so we'll make the request here too. I will make the proposal on the hearing in committee, but I am now making a request for planning so that you can take into account that this is coming after it.
ParlaMint-NL_2016-03-15-tweedekamer-29.u37	Yeah, I'll take that into account.
ParlaMint-NL_2016-03-15-tweedekamer-29.u38	For the rest, it was indeed about the rulers.
ParlaMint-NL_2016-03-15-tweedekamer-29.u39	Yes, thank you. I see a lot of members at the interrupting microphone. What's the point? You've all had your turn. You want to make it easy for me, Mr. Krol?
ParlaMint-NL_2016-03-15-tweedekamer-29.u40	Now that the debate is being widened, Mr President, I will make it easy for you and withdraw my request.
ParlaMint-NL_2016-03-15-tweedekamer-29.u41	That's very nice. That is indeed a gain for the scheme.
ParlaMint-NL_2016-03-15-tweedekamer-29.u42	Now that pensions have also been added, I would like to receive a letter from the Secretary of State on the outcome of her discussion with the Netherlands Bank and any measures it may intend to take. Then we can involve this in the debate, otherwise we will talk without knowing what the cabinet is planning.
ParlaMint-NL_2016-03-15-tweedekamer-29.u43	Mr Omtzig's request for a hearing has yet to be dealt with at the procedural meeting. So that hasn't been done yet. I'm just gonna say that for the record. Once again, I continue to support Mr Bashir. If it's all merged, I'm fine with it, but with three rulers.
ParlaMint-NL_2016-03-15-tweedekamer-29.u44	Okay.
ParlaMint-NL_2016-03-15-tweedekamer-29.u45	It's gotten pretty broad now. I therefore propose that speaking time should also be extended to six minutes. Then we can discuss it extensively with the rulers.
ParlaMint-NL_2016-03-15-tweedekamer-29.u46	I'll take a look around. There is a yes nodding, so you have a majority in favour of this request. I'm directing the stenogram of this part of the meeting to the cabinet. I would add that the more directors are invited to a debate, the more complicated it becomes to find a time when everyone can; just to pay attention. I see that Mr Ulenbelt is already ready.
ParlaMint-NL_2016-03-15-tweedekamer-29.u47	Mr. Chairman. My proposal has, of course, been totally overruled by what has happened before.
ParlaMint-NL_2016-03-15-tweedekamer-29.u48	That's what I suspected.
ParlaMint-NL_2016-03-15-tweedekamer-29.u49	I don't mind at all, so I just came to the chair to say that I withdraw this request.
ParlaMint-NL_2016-03-15-tweedekamer-29.u50	You support Mr Bashir. Thank you. Does that also apply to Mr Omtzigt? Yes. This is going very well! I now give the floor to Mr Koolmees on behalf of D66.
ParlaMint-NL_2016-03-15-tweedekamer-29.u51	Madam President. Last Saturday there was an article on the front page of Het Financieele Dagblad with the headline: Balance between young and old is lost. The essence of this story is that the distribution of income over a person's life cycle in the Netherlands is very uneven. Last week, the Central Planning Bureau published an analysis on this subject with various options to better spread income across life. My request is as follows: firstly, a letter from the cabinet responding to the analysis and policy options of the Central Planning Office and then a debate with the Minister for Finance and the Minister for Social Affairs and Employment.
ParlaMint-NL_2016-03-15-tweedekamer-29.u52	Who's talking about this? Mr. Nijboer.
ParlaMint-NL_2016-03-15-tweedekamer-29.u53	I'm very much in favour of a letter. I would like to see whether what is in it lends itself to involving itself in the Spring paper or whether a separate debate is needed. At the moment, I do not support a debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u54	I agree with that. I agree with a letter. Indeed, it seems to me a very good suggestion to include such a letter in another financial and economic debate in due course, such as the Spring paper.
ParlaMint-NL_2016-03-15-tweedekamer-29.u55	I agree with that.
ParlaMint-NL_2016-03-15-tweedekamer-29.u56	Me too.
ParlaMint-NL_2016-03-15-tweedekamer-29.u57	I support the request.
ParlaMint-NL_2016-03-15-tweedekamer-29.u58	Support for the request.
ParlaMint-NL_2016-03-15-tweedekamer-29.u59	A letter is very welcome.
ParlaMint-NL_2016-03-15-tweedekamer-29.u60	I heard right, Mr. Chairman. We are asking for a letter, but it will have to be in in April, so that we can involve him in the debate on the Spring Note.
ParlaMint-NL_2016-03-15-tweedekamer-29.u61	Then I suggest that the stenogram of this part of the meeting be transferred to the cabinet. I call Mrs Leijten.
ParlaMint-NL_2016-03-15-tweedekamer-29.u62	Mr. Chairman. We had to find out from the NOS that TSN Home Care is going to go bankrupt this week anyway. I would like to have a debate with the Secretary of State on this. A third of the people have been taken over. Then I'm talking about care as well as the employees. Tens of thousands of people are still in uncertainty as to whether their care is continuing. Certainly more than 8,000 people are wondering if they still have a job. I would like to have a debate with the Secretary of State on this.
ParlaMint-NL_2016-03-15-tweedekamer-29.u63	I don't often ask for a letter, but I ask for it in this case. I would like to ask the Secretary of State if he can put this message in the context of his many hundreds of millions of cuts. For the rest, I would like to support the debate. I would like that to happen soon, because this is a kind of domino: the first falls and the rest as well. That is why I would like to receive a letter from the Secretary of State tomorrow or the day after tomorrow.
ParlaMint-NL_2016-03-15-tweedekamer-29.u64	GroenLinks is also concerned about what this means for the household care of many people and for the work of the people who provide this household care. GroenLinks therefore also supports the SP's request.
ParlaMint-NL_2016-03-15-tweedekamer-29.u65	The Labour Party is also concerned. That is why we support the debate, but it seems sensible to me that we should get a letter first. This will enable us to assess when the debate can best be planned. We want this letter to look at the current state of affairs and what steps may be taken.
ParlaMint-NL_2016-03-15-tweedekamer-29.u66	I still see the PvdA Congress in which Mr Van Rijn was seen...
ParlaMint-NL_2016-03-15-tweedekamer-29.u67	No, Mrs Keijzer, I would ask you to indicate whether or not you support the request.
ParlaMint-NL_2016-03-15-tweedekamer-29.u68	I just want to say it anyway. I still see the PvdA Congress in which Mr Samsom Mr Van Rijn as the savior of home care...
ParlaMint-NL_2016-03-15-tweedekamer-29.u69	No, Mrs Keijzer, you can say what you think in the debate. I would ask you not to take an advance on the debate. This really is the arrangement of work. I will see to it that we do not enter into any debate during the settlement.
ParlaMint-NL_2016-03-15-tweedekamer-29.u70	You are more likely to give a broader explanation of why support is being given. I find it remarkable that you do not allow it now, but so be it.
ParlaMint-NL_2016-03-15-tweedekamer-29.u71	For everyone, I won't allow this.
ParlaMint-NL_2016-03-15-tweedekamer-29.u72	In any case, I see the opposite happening; I do not see Van Rijn as the savior of home care. I would like to debate this, because if nothing changes and prices remain too low, the next one will fall over. That is why I wholeheartedly support the request.
ParlaMint-NL_2016-03-15-tweedekamer-29.u73	The Christian Union supports the request for a debate. It is indeed good to receive a letter in the run-up to that debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u74	D66 also supports the request for a letter and the request for a debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u75	Mrs Leijten, you have the support of the vast majority, in fact, of everyone. There is also support for the request for a letter prior to the debate. I will pass on the stenogram of this part of the meeting to the cabinet.
ParlaMint-NL_2016-03-15-tweedekamer-29.u76	I think it would be a good idea if we could receive that letter this week. Mr President, I have another request.
ParlaMint-NL_2016-03-15-tweedekamer-29.u77	Go ahead, Mrs. Leijten.
ParlaMint-NL_2016-03-15-tweedekamer-29.u78	Mr. Chairman. People on low incomes tend to avoid the dentist. I think it is right that we should have a response from the Minister on this point and that we should have a debate on this.
ParlaMint-NL_2016-03-15-tweedekamer-29.u79	I do not support the request. We have a general discussion this week on primary care. This is an excellent way of discussing these issues.
ParlaMint-NL_2016-03-15-tweedekamer-29.u80	That's what I'm thinking.
ParlaMint-NL_2016-03-15-tweedekamer-29.u81	I support the request for a letter. My suggestion to Mrs Leijten is to propose once again a general discussion on oral care.
ParlaMint-NL_2016-03-15-tweedekamer-29.u82	You can do that through the committee. Do you support the current request?
ParlaMint-NL_2016-03-15-tweedekamer-29.u83	No.
ParlaMint-NL_2016-03-15-tweedekamer-29.u84	So there's no support.
ParlaMint-NL_2016-03-15-tweedekamer-29.u85	As far as D66 is concerned, there is also an opportunity to talk about this very quickly, namely at the AO First Line Care.
ParlaMint-NL_2016-03-15-tweedekamer-29.u86	I, too, have seen the AO First Line care on the agenda. I think it would be a good idea to include this issue.
ParlaMint-NL_2016-03-15-tweedekamer-29.u87	We think that's a good idea. A debate on oral care could also be a good option.
ParlaMint-NL_2016-03-15-tweedekamer-29.u88	We're gonna involve it in AO First-line care.
ParlaMint-NL_2016-03-15-tweedekamer-29.u89	Thank you. Then I give the floor to Mrs Agnes Mulder.
ParlaMint-NL_2016-03-15-tweedekamer-29.u90	Mr. Chairman. We have just had oral questions about RTV Noord's report that homes in Groningen are worth a billion less because of the earthquakes. The Minister has made a number of commitments. I think it is important that we discuss these commitments in the House of Representatives. I therefore call for a debate here at the time when the documents have been sent to the House of Representatives. My group attaches great importance to this. I therefore expect a letter from the Minister on this point first. I think it is right that we should also discuss the concerns that live very widely in Groningen in the House of Representatives.
ParlaMint-NL_2016-03-15-tweedekamer-29.u91	Support from the Labour Party.
ParlaMint-NL_2016-03-15-tweedekamer-29.u92	Support. It would be good if we could also understand in that letter why there are such great differences between the previous estimates and the estimates we are now getting. Thank you very much for your support for this debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u93	At least support for the letter, because then it becomes clear. We will see what is in the letter and then assess whether it is still necessary to have a debate. Support for the letter, though, not for the debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u94	On behalf of the Party for Animals, support twice: for the letter and for the debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u95	GroenLinks supports both requests.
ParlaMint-NL_2016-03-15-tweedekamer-29.u96	Support for the letter and support for the debate. I would be pleased if the letter could deal with the buying-in scheme in greater detail.
ParlaMint-NL_2016-03-15-tweedekamer-29.u97	There's just no majority, Mrs. Mulder.
ParlaMint-NL_2016-03-15-tweedekamer-29.u98	I'm gonna take a look at the co-worker from the SP. Could it support this request concerning Groningen? The SP generally likes to do that.
ParlaMint-NL_2016-03-15-tweedekamer-29.u99	There is nothing like Groningen and in this case: support for the debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u100	Thank you for this support.
ParlaMint-NL_2016-03-15-tweedekamer-29.u101	There is therefore a majority in favour of holding a debate. I will pass on the stenogram of this part of the meeting to the cabinet. I shall then give the floor to Mrs Bruins Slot of the CDA.
ParlaMint-NL_2016-03-15-tweedekamer-29.u102	Mr. Chairman. There is a majority debate on the agenda on the Slotervaart hospital and heroin production. Today we were informed, after a better examination of the answers to the written questions, that the Minister quotes from secret annual reports. I therefore have a two-fold request. First of all, I would like to receive a letter from the Minister to answer the question as to why she quotes from secret annual reports and whether they can be sent to the House of Representatives, also under Article 68 of the Constitution. In view of the sloppy answer to the questions on this point, I would ask for this debate to be scheduled in two to three weeks' time.
ParlaMint-NL_2016-03-15-tweedekamer-29.u103	I think it's a good idea for the Minister to send a letter. I do not agree with the view that this is sloppy. I do, however, support the request for a letter and the request for early planning of the debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u104	The Minister actually tells the Chamber that she should have done her homework better and that it could have been read in the annual reports. That's not very neat. It seems very sensible to me that the Minister should let us know how it is possible for her to respond as she did. The sooner the debate is held, the better it is.
ParlaMint-NL_2016-03-15-tweedekamer-29.u105	We'd like a letter. I do not know whether we want to support a debate, because we have an AO Governance this week.
ParlaMint-NL_2016-03-15-tweedekamer-29.u106	The debate has already been supported. It is now about the rapid planning of the debate that is already on the list.
ParlaMint-NL_2016-03-15-tweedekamer-29.u107	I'm gonna say it again. There is a governance debate this week, so I would ask Mrs Bruins Slot if she would consider including this debate in it, because that is really fast.
ParlaMint-NL_2016-03-15-tweedekamer-29.u108	That's not support for quick planning.
ParlaMint-NL_2016-03-15-tweedekamer-29.u109	I've asked a question. If we really want it fast, we could do it Thursday.
ParlaMint-NL_2016-03-15-tweedekamer-29.u110	It is much more than just governance. In a broad sense, this is about dividend payments and profit distributions. I was very pleased at the time that the PvdA supported this debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u111	Then I support the debate. I just wanted to ask this in-between question.
ParlaMint-NL_2016-03-15-tweedekamer-29.u112	So support the rapid planning of the debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u113	Support for the earlier planning of the debate. I think it's a good thing we get a letter from the Minister before then.
ParlaMint-NL_2016-03-15-tweedekamer-29.u114	Support for the letter and support for the rapid planning of the debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u115	Support for the letter.
ParlaMint-NL_2016-03-15-tweedekamer-29.u116	I will pass on the stenogram of this part of the meeting to the cabinet. In planning we will take into account a period of two to three weeks. I call Mr Van Weyenberg.
ParlaMint-NL_2016-03-15-tweedekamer-29.u117	Mr. Chairman. This morning we read in Het Financieele Dagblad that the Brabants-Zeeuwsvereniging throws a stone in the pond for the debate on the future of the labour market. It makes suggestions to break down the division between people with a permanent job and the 2 million workers with a flex contract who want that permanent job, but for whom it becomes less accessible, and to invest much more in training. In addition to all the debates on the WWS, I find it interesting to have a fundamental discussion about this division and the future of the labour market. That is why I would like to have a debate with the Minister for Social Affairs and Employment, preceded by a letter from the Cabinet, in which it responds extensively to this plan and indicates how it sees the future itself.
ParlaMint-NL_2016-03-15-tweedekamer-29.u118	I notice that D66 merely asks questions about the front page of the FD, but that aside.
ParlaMint-NL_2016-03-15-tweedekamer-29.u119	Whether or not there's support? I just had that discussion with Mrs Keijzer.
ParlaMint-NL_2016-03-15-tweedekamer-29.u120	Support for a letter, not a debate. Let me be brief.
ParlaMint-NL_2016-03-15-tweedekamer-29.u121	Support for a letter and also for a debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u122	The OECD also proposed a single contract some time ago. I propose that the cabinet be asked to respond in this letter. I can then wholeheartedly support the request for the debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u123	Support for a letter and also for a debate on it. That could be interesting. I think we should look in due course at what other debates we have, for example on the Wwz, but I see Mr Van Weyenberg nodding in agreement. It is good to talk about this in itself.
ParlaMint-NL_2016-03-15-tweedekamer-29.u124	No support for the debate. In fact, it is also a shame to ask the government to dedicate a letter to this...
ParlaMint-NL_2016-03-15-tweedekamer-29.u125	No, you can't, Mr. Ulenbelt.
ParlaMint-NL_2016-03-15-tweedekamer-29.u126	Support for a letter, not a debate. If it ever comes to a debate, it can be merged with the request that Mr Koolmees has just made, because it overlaps quite a bit.
ParlaMint-NL_2016-03-15-tweedekamer-29.u127	Definitely support for a letter. I think it would be very good for the cabinet to take this up. As far as I am concerned, after the letter has been received, we can see where we can best hold that debate.
ParlaMint-NL_2016-03-15-tweedekamer-29.u128	Support for the letter. Then we will look at whether we should hold the debate on this or whether we can merge it with all the other debates that can be discussed.
ParlaMint-NL_2016-03-15-tweedekamer-29.u129	Mr Van Weyenberg, you have no majority.
ParlaMint-NL_2016-03-15-tweedekamer-29.u130	Then I would like to put a 30-member debate on the list. I support Mrs Voortman's proposal to broaden the letter to the OECD proposal. In that sense, it is really a different request from that of Mr Koolmees. It's about spending patterns and the life stage. This is about the division of the labour market. D66 would like to discuss this very quickly, but unfortunately a number of other parties are not yet ready.
ParlaMint-NL_2016-03-15-tweedekamer-29.u131	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I read the name of Mrs Gesthuizen here, but I see Mrs Siderius.
ParlaMint-NL_2016-03-15-tweedekamer-29.u132	Mr. Chairman. On behalf of Mrs Gesthuizen, I would like to ask whether her written questions on PostNL's involvement in the negotiations on the PostNL and Saturday bestellers-cao can be answered this evening. Tomorrow morning there will be an AO Post.
ParlaMint-NL_2016-03-15-tweedekamer-29.u133	The questions were submitted on 3 March. I propose that the stenogram of this part of the meeting be transferred to the cabinet. This brings us to the end of the order of business.
