ParlaMint-NL_2016-06-09-tweedekamer-7.u1	I give the floor to Mr Kuzu as the first speaker.
ParlaMint-NL_2016-06-09-tweedekamer-7.u13	After our AO and these motions, I have one more question. It is not explicitly stated, but I do belong to my colleague in a certain undertone. In fact, he says that as long as the consumer directive is not applied consistently, this should not happen for the occupied territories of the West Bank either. Did I misunderstand, or is that Mr Ten Broeke's actual commitment? His motions were rather long and I found it difficult to listen to them. But now I would like to go to the Pudels Kern: is that the essence of what Mr Ten Broeke wanted to say here?
ParlaMint-NL_2016-06-09-tweedekamer-7.u14	This has been difficult. We have hardly had a second period in which we have been able to introduce this. That forced me to do it this way. The problem is as follows. Through the Ten Broeke motion and the probe conducted by the Minister, we have found that there is only one country with an interpretative communication. This actually creates a category of one element. The designation of origin should therefore be maintained for only one country at the moment. I believe that this is at odds with the demands of consumer legislation, namely that it is transparent and applied in Europe-wide and generically. We can't determine that for this. Then you can do two things. You can then strive for a generic application, which is in my second motion. You could say that's a first step. However, you can also say that enforcement is not at issue at the moment. We will only maintain it for that one country. This is not consistent and not in line with our consumer policy.
ParlaMint-NL_2016-06-09-tweedekamer-7.u15	I find this interesting. I have just read an interesting piece on foreign policy, which I would like to quote a little bit: "It is always about finding solutions that are best suited to our interests and to the margins of the possible. We must not allow ourselves to be held hostage by the categorical imperative that we cannot act everywhere in similar cases, because then we cannot do so anywhere."
ParlaMint-NL_2016-06-09-tweedekamer-7.u16	And your question is?
ParlaMint-NL_2016-06-09-tweedekamer-7.u17	The question is whether Mr Ten Broeke agrees with this text, which I believe is his own. Does he agree with me that if we do not succeed somewhere else now, this cannot mean that we do not do it for the occupied territories of the West Bank? Then he actually acts contrary to his own philosophy, and that cannot be the intention.
ParlaMint-NL_2016-06-09-tweedekamer-7.u18	A brief reaction.
ParlaMint-NL_2016-06-09-tweedekamer-7.u19	Not at all, and that is where Mr Servaes goes. It is not for nothing that foreign policy, other than consumer policy in the EU, is not a unique responsibility of the Commission. An interpretative communication is requested from the Commission on the basis of importers' wish to clarify the origin of products. Then you'd say you'd have to let politics out. That's what this minister tried to do. My previous motion aimed to do so. Consumer legislation also calls for this. It's something quite different from foreign policy. I wish you could be consistent. If only the whole world could be formed exactly according to our self-image. The great reproach that I make a number of parties in this Chamber is that they think it is. This is not possible in foreign policy, however. In consumer policy, we agreed to this. That is precisely why this is an exclusive competence of the European Commission, which is now being abused for political purposes abroad, Mr Servaes.
ParlaMint-NL_2016-06-09-tweedekamer-7.u20	Mr Ten Broeke, this is a VAO, and I would also like to say to those who think that this is an extensive debate. Speaking time shall be two minutes. It is also intended to respond briefly to questions and not to make speeches.
ParlaMint-NL_2016-06-09-tweedekamer-7.u21	I have a brief question on how we should interpret this motion. If the labelling of Western Sahara products is not available now, do you think that there should be no labelling in accordance with Article 2.1 of the WTO Convention on Israel? Did I get that right?
ParlaMint-NL_2016-06-09-tweedekamer-7.u22	If you cannot implement consumer policy consistently, it is about consumer policy and not about foreign policy, then I would prefer not to do so. When it comes to foreign policy, we have a very different discussion. But then we must also be honest and say: it is not about consumer information, but about ethical labelling and political labelling. That is what I think is going on here.
ParlaMint-NL_2016-06-09-tweedekamer-7.u23	Mr. Chairman. You almost wish that a debate on consumer law would just be held again in the Committee on Economic Affairs, then we do not have to deal with it. We had a general discussion on labelling. At least, it was used by some parties to talk mainly about labelling. Not about the need for a peace process and not about the concerns about the two-state solution. If something underlines that peace is more than necessary, it is the terrible attack in Tel Aviv yesterday. Approaches are necessary, and not the ghost play we are now seeing about the French peace initiative. This means that parties have to move there. It also means, of course, that parties must move here. Some parties do, and I see one party in particular do. I'm complimenting you for that. Other parties, such as the Christian Union, unfortunately persist in their positions and remain with the PVV. I see that Mr Van der Staaij is also persevering in his position. I would not have expected otherwise, but I would have expected more dynamism from other parties than from Mr Van der Staaij's party on this subject. That is why Mr Knops and Mr Servaes and I are tabling three motions. One on the peace process, one on the destruction of Israel... the Minister is now scraping his throat; I hope he will allow that motion on the peace process. I hope it's out, I'll tell the minister. Another motion is about Israel's destruction. I myself have a motion on support for...
ParlaMint-NL_2016-06-09-tweedekamer-7.u24	You have 38 seconds left.
ParlaMint-NL_2016-06-09-tweedekamer-7.u25	I have just counted; I think I have two and a half minutes left if I wanted to outdo Mr Ten Broeke. I now move on to my motion, which concerns support for human rights defenders and human rights organisations in Israel. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that human rights defenders in Israel are becoming increasingly close by intimidations, threats and restrictive legislative initiatives;]] [[noting that the protection of human rights and of human rights defenders is a priority for the Netherlands and the European Union and is also an essential element in bilateral relations between the European Union and Israel;]] [[calls on the Government to continue and extend its support to Israeli human rights organisations such as Breaking the Silence and B'Tselem when the continuity of their work would be at stake;]] [[calls on the Government to support, at EU level, effective pressure on the Israeli authorities to refrain from legislation and other acts restricting the freedom of movement of human rights organisations and undermining the democratic freedoms and security of human rights defenders,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Sjoerdsma, Mr Servaes and Mr Knops. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-425]]
ParlaMint-NL_2016-06-09-tweedekamer-7.u26	Mr. Chairman. A bad example doesn't follow. We are now holding a plenary debate following the general discussion on labelling, but it was actually about relations in the Middle East. Maybe that's inevitable, too. When we talk about settlements, labels and products that support settlements, we cannot ignore the expansion that has taken place since 2009. Over 30,000 new homes in occupied area have been approved. That is a conservative estimate, by the way. The previous Foreign Minister said that the settlements are the biggest obstacle to peace. It is my party's view that as long as Israel continues to expand these settlements, any hope of peace, the two-state solution, it will be overturned. In fact, this hope disappeared even further last week when, in Israel, the ultranationalist, the colonist Lieberman, was appointed Minister of Defence. I have a motion on the settlements and on the support granted indirectly to those settlements through the Netherlands. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Israel has plans for the far-reaching expansion of illegal settlements in occupied Palestinian territory;]] [[Notes that, among other things, Dutch pension funds invest in Israeli banks that provide mortgages to settlers in illegal Israeli settlements in occupied Palestinian territory;]] [[considers that it is undesirable for Dutch asset managers to cooperate directly or indirectly in the expansion of settlements;]] [[calls on the government to engage with Dutch investors with investments in Israeli banks to ask for clarification on investments that can contribute to the further expansion of settlements,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Bommel. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-426]]
ParlaMint-NL_2016-06-09-tweedekamer-7.u27	This motion is therefore not binding in the sense of a prohibition, but in the sense of informing the Dutch Government and the Chamber that it is not necessary to cooperate in the expansion of settlements. That is the essence of this motion.
ParlaMint-NL_2016-06-09-tweedekamer-7.u28	And yet neatly within two minutes, Mr Van Bommel! I call Mrs Voortman on behalf of GroenLinks.
ParlaMint-NL_2016-06-09-tweedekamer-7.u29	Mr. Chairman. Our peace policy lacks muscle. I am convinced that peace would benefit all the people of Israel and Palestine. However, the French peace initiative has yielded nothing. Or is the minister more optimistic? He said punishment or reward doesn't work. Maybe not, but without punishment and reward, there's no movement in the case either. How long are we going to hold on to this course of stagnation? I would like to return to the issue of compliance with the interpretative communication. The minister said last week that the NVWA is monitoring it, as far as he knows. I think that is far too unclear, because the Minister is responsible for government policy. Can he say if the NVWA has checked this so far? If he is not sure, can he, together with the Secretary of State for Economic Affairs or not, write a letter about this? I also asked a question about doing business with illegal settlements. The ASN Bank is punished by a refusal by the State of Illinois. How is the company supposed to handle this? [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the EU-Israel dialogue on the situation in "Area C' in the West Bank did not prevent Israel from doubling the pace of destruction;]] [[having noted that the High Representative stated that the organisation of an EU-Israel Association Council has linked to progress in this dialogue;]] [[calls on the Government to urge the High Representative to make concrete progress in the West Bank dialogue before an Association Council is organised,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government discourages companies from entering into economic relations with illegal settlements in occupied territories;]] [[noting that in some friendly countries companies suffer from the refusal to do business with illegal settlements;]] [[calls on the Government to examine the extent to which Dutch companies are harmed and whether it is possible to prevent or compensate for this,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-427]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-428]]
ParlaMint-NL_2016-06-09-tweedekamer-7.u30	Finally. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Israeli and Palestinian human rights defenders are affected by the deterioration of legislation, intimidation and threats;]] [[calls on the Government to exert pressure on the Israeli and Palestinian authorities to allow human rights defenders to do their work and to provide them with the necessary protection,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-429]]
ParlaMint-NL_2016-06-09-tweedekamer-7.u31	Madam President. Yesterday, another horrible attack took place in Tel Aviv, killing four innocent people. An organization like Hamas applauds that. A lot of people have gone out on the street cheering again. That, unfortunately, is the reality that we are also dealing with. This underlines the importance of a good security for Israel, which is truly existentially threatened. The UN has severely condemned the attacks, as has other organisations. Has the EU been heard from? I'm filing two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Cabinet has declared itself against a boycott of or sanctions against the State of Israel;]] [[having noted that the Netherlands, Denmark, Sweden and Switzerland, for example through the contribution to the Human Rights and International Humanitarian Law Secretary, are funding organisations that openly play a leading role in the "Boycott, Divestment and Sanctions" movement;]] [[whereas direct or indirect financing of such organisations is not only undesirable, but also contrary to the cabinet position with regard to a boycott of or sanctions against Israel;]] [[invites the Government, as soon as possible, to terminate the direct or indirect financing of organisations which, on the basis of their objectives or through their activities, pursue or promote a boycott of or sanctions against Israel,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the European Communication on labelling also leads to citizens' initiatives in the Netherlands to ban Israeli products from the West Bank from Dutch shops;]] [[Whereas BDS movements are also becoming more active and visible in the Netherlands;]] [[Whereas courts in France and Spain have prohibited activities of such movements against the background of anti-Semitism, for example as discriminatory on grounds of nationality;]] [[calls on the Government to identify the legal limits to the activities of BDS movements and to examine the extent to which such activities also cross legal boundaries in the Netherlands,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Staaij, Mr Ten Broeke and Mr Voordewind. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-430]] [[This motion was tabled by Mr Van der Staaij and Mr Voordewind. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-431]]
ParlaMint-NL_2016-06-09-tweedekamer-7.u32	I would like to ask a question about this. We discussed this in the debate. At that time, I believe that the Minister was right to take the view that one could disagree politically, but that there is freedom of expression. I now hear that Mr Van der Staaij wants to legally restrict the BDS movement in that freedom of expression. He asks the cabinet to investigate that legally, but since I know his party as a constitutional party, I would like to ask him what article of law he sees as a possible basis for restricting freedom of expression on a political subject. I think he is taking a far-reaching position on this.
ParlaMint-NL_2016-06-09-tweedekamer-7.u33	In countries such as Spain and France, including countries within the European Union, with similar legal provisions on freedom of expression on the one hand and borders on the other, we see that the courts have sometimes drawn a line on the basis of rules of discrimination, so to speak, ethnicity: do not buy certain goods coming from a particular country and have said: this cannot and cannot be done. I mentioned France. The same applies in Spain. I'm not asking for new provisions. My question is to clarify what the legal limits are, from our Dutch penal code, to say: that also means crossing a border. These may be discrimination provisions, but they may also include provisions on hatred or intimidation and so on.
ParlaMint-NL_2016-06-09-tweedekamer-7.u34	We are all here against anti-Semitism. In the debate on the situation in Israel and Palestine, I think it is very important that we make a clear distinction between ethnicity and religion on the one hand and political policy on the other. That helps the debate. In this way, it remains substantive. As long as a BDS movement focuses on a country's policy, it has nothing to do with religion or ethnicity. Does Mr Van der Staaij agree with me that we should guard that border? We should not talk about ethnicity or religion if those points are not raised. Does Mr Van der Staaij agree with me that the debate really needs us both to continue to make this distinction very sharply?
ParlaMint-NL_2016-06-09-tweedekamer-7.u35	I understand the distinction. Nor do I think that all criticism of Israel is automatic anti-Semitism. However, I must also note that a great deal of criticism of Israel sometimes goes seamlessly into anti-Semitism. Then it's up to you to keep guarding that line.
ParlaMint-NL_2016-06-09-tweedekamer-7.u36	Are you going to continue or have you finished your speech?
ParlaMint-NL_2016-06-09-tweedekamer-7.u37	I've run out of time. I can use my last seven seconds to announce that I have co-signed Mr Voordewind's motion on labelling.
ParlaMint-NL_2016-06-09-tweedekamer-7.u38	Mr. Chairman. Mr Van der Staaij already referred to yesterday evening's horrific terrorist attack, which claimed four innocent victims. It is then remarkable to read that the organization Fatah speaks here of an act that Isael owes to himself. Even the Palestinian Authority does not clearly distance itself from this terrorist attack. Since we know that this can in turn lead to the financing of the family or the families of those who committed the terrorist attack, I shall move on to the next motion. Hopefully, at some point, we will be able to put an end to this at EU level. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that since 2011, the Palestinian Authority has been transferring money to convicted Palestinians, including terrorists in Israeli prisons where, among other things, convicted terrorists can claim monthly payments worth $2,500 a month;]] [[whereas the 2014 Voordewind/Van der Staaij motion calls on the Government to work within the EU to end this Palestinian policy, but that the Palestinian Authority has only transferred responsibility for these payments to the PLO and continues to finance this policy;]] [[calls on the Government, within the EU framework, if necessary with a leading group of like-minded countries, to make efforts to ensure that financial consequences follow if the Palestinian Authority continues to finance the implementation of these payments to the PLO,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Voordewind, Mr De Roon, Mr Van der Staaij and Mr Knops. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-432]]
ParlaMint-NL_2016-06-09-tweedekamer-7.u39	Is labelling permitted according to the World Trade Organisation if it is directed at one country, Article 2.1? I'd like a response from the Minister. Then my final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Minister in implementation of the Ten Broeke c.s. motion for a resolution (34300-V, No. 22) indicated that there was no support within the EU for the establishment of guidelines for all products from all occupied or disputed territories;]] [[also considering that a majority of EU Member States and institutions do wish to apply the guidelines to Israel because the situation there is seen as "a matter of their own";]] [[noting that this is an explicit suggestion that double standards should be applied;]] [[calls on the Government not to support the (one-sided) application of interpretative communications,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Voordewind, Mr Van der Staaij and Mr De Roon. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-433]]
ParlaMint-NL_2016-06-09-tweedekamer-7.u40	Mr. Chairman. I will certainly get Mr De Roon's two minutes' speaking time, because he was on the list of speakers for me.
ParlaMint-NL_2016-06-09-tweedekamer-7.u41	No.
ParlaMint-NL_2016-06-09-tweedekamer-7.u42	Okay. I can only begin today to express my horror at what happened yesterday in the centre of Tel Aviv. Four people who went out there and what were eating were shot to death and others were wounded. It is appalling and shows why we remain extremely concerned about the situation on the ground. Looking back at the AO and the extensive written rounds we have had, I can only congratulate the Minister. He has chosen a clear, clear line and has explained, where necessary, all the nuances in international law in various disputed areas, various categories. I fully support him in that. I would also like to congratulate Spokesman Knops, who steers his party in the right direction and has taken a good position. We raised together in the motions. I myself would like to table a motion on the peace talks which were kicked off in Paris last Friday. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Court called on the Government to work towards an EU strategy for the Middle East Peace Process, which should lead the principle "that the development of relations with both parties depends on their commitment to a peace agreement based on the two-state solution and is developed in concrete measures";]] [[whereas the EU is considering "further action" "to protect the viability of the two-state solution, which is constantly undermined by new events on the ground";]] [[noting that France has announced a new Middle East peace initiative and that the EU supports it;]] [[calls on the Government to fully support the French peace initiative and to actively contribute to forthcoming meetings;]] [[calls on the Government to take concrete action, for example by suspending bilateral or European cooperation agreements, when parties continue to refrain from constructive participation in peace talks and undermining policies,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Servaes, Mr Knops and Mr Sjoerdsma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-434]]
ParlaMint-NL_2016-06-09-tweedekamer-7.u43	Mr. Chairman. It has already been said by a number of colleagues: if you allow yesterday's attacks to take place, you will see how sad the progress of the Middle East peace process has been. We're still holding on to that name. It would make you almost despondent, but in my opinion the task is here and also in other places to use the bright spots that exist to take steps forward and call on both sides to take their responsibilities in it. I also have a motion for a resolution on the demolition of projects financed by Dutch and European funds. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Israeli authorities have since the beginning of this year demolished an unprecedented number of Palestinian houses and buildings in the West Bank;]] [[noting that projects financed by Dutch or European taxpayers' money are regularly targeted by these scrapping practices;]] [[Whereas the structured dialogue between the EU and Israel to stop the destruction has not produced the desired result;]] [[calls on the government to make public all the damage done to Dutch and European projects and to systematically and politically demand compensation from Israel, as already determined by the EU in December 2014,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Knops, Mr Sjoerdsma and Mr Servaes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-435]]
ParlaMint-NL_2016-06-09-tweedekamer-7.u44	Mr. Chairman. I don't have all the motions yet, but I'm sure I'll get them during the debate. Let me make a few preliminary remarks very briefly and then give an opinion on the motions. First of all, I would like to thank you for the very extensive debate we have had here on the Middle East Peace Process and, above all, its lack. I also noticed that there are huge differences of opinion in the House of Representatives on this subject and that is not new. I will discourage many motions because I am in a situation where I have to reach consensus on 15 motions for effectiveness in the relationship with our partners. If I have sympathy for a particular motion, it will be very difficult to see it in the light of motions which have some influence in Europe, especially in the Middle East. I say two things for an introduction. The expectation of the MOVP ministerial meeting last Friday in Paris was modest. We have partly lied to them as an international community and have come to a balanced outcome. It was incredibly important that all the countries around the table should have exactly the same concerns as the Chamber. I strongly condemn the Dutch Government for the attacks yesterday in Tel Aviv. I have conveyed my condolences to Prime Minister Netanyahu and expressed the hope for a successful recovery of the wounded. It was a terrible attack. The only thing we can do, I believe, is to achieve progress in that process. On that basis, I will assess the motions. I don't think we can solve this problem with all kinds of micromanagement. The fact that we are here is only a very small start. The attack is an escalation in an already ongoing cycle of violence, which seemed to decrease somewhat in recent weeks. I am extremely concerned about that. It is of the utmost importance that everyone stays cool. The leaders on both sides have a particular responsibility in this. I urge parties to refrain from counterproductive steps, provocations and rhetoric to prevent further escalation. That Hamas welcomed the attack, I strongly condemn it. The status quo is untenable, that is clear. In the peace process between Israel and the Palestinians, steps are urgently needed with the ultimate aim of living side by side in peace and security between these two states. That's the basis from which I'll look at the motions. That is where we must now try to move forward. All the countries of the international community that mattered were there and took clear positions on this issue. You've been able to read it, too. They all assume that if there is no immediate progress, we will not immediately punish a party. I'm going to discourage the motions that go in that direction. On the rest of the motions, I'll pass judgment. Firstly, the Kuzu motion in part No. 421. I do not recommend this motion, because the Netherlands is against a boycott of Israel. The motion in part No. 422, I don't recommend. The purpose of the investigation is unclear to me. People get to live wherever they want. The Ten Broeke motion in part No. 423 I do not recommend, because it goes against the cabinet position in order not to maintain it, just now that this has been made possible by the interpretative communication. Failure to enforce EU rules could lead to infringement proceedings involving damage to the Netherlands. I'm deceiving the motion in part No. 424. The Netherlands and the European Union share the view that Western Sahara is a non-self-governing territory. The business community on the RVO website has been informed. It follows that products from Western Sahara must bear the fact that their origin is Western Sahara and that interpretative communications are only made in the event of uncertainty, at the request of industry. The Sjoerdsma c.s. motion in piece No. 425 is about protecting human rights defenders. I reject this motion because it concerns the protection of human rights defenders on both sides. There are problems in this area both on the Israeli side and on the Palestinian side. At the same time, the Chamber knows that the Dutch Government is committed to this. I don't need another motion on this. The motion in part No. 426 is unnecessary. There has been a policy of discouragement for many years, and I advise against this motion. I now come to motion for a resolution by Mr Voortman on part No. 427. This is about the EU Association Council and the Government is invited to urge the High Representative to make concrete progress before it is taken together. I reject this motion because the High Representative himself wants that Association Council to be held to discuss it. In the motion in part No. 428 the government is asked to examine the extent to which Dutch companies are harmed and whether it is possible to prevent or compensate for this. I do not think that the Dutch Government should interfere with what actions are being taken in some friendly countries against which industry. The motion in part No. 429 is unnecessary, because we are already doing it. The motion in part No. 430, I'd like to dissuade you. I have said before that I am in favour of freedom of speech and against a boycott. This motion does not seem to me to support these basic elements. The same applies to the motion in part No. 431, which I also advise against. The motion in part No. 432 also wants to dissuade. It is known what my position is at this point. The funding does not come from the Palestinian Authority. We are trying to counter this. In that direction, I would advise against this motion. Then I come to the motion on part No. 433. I'm sorry, I can't do much more about it. This motion calls on the Government not to support the unilateral application of interpretative communications. We don't. There is an interpretative communication with a request from industry and consumers for clarification. That's not a political matter. I explained this case in the letters. I therefore advise against this motion. Then I come to the motion on part No. 434 I don't think this has ever happened to me before, and I also advise against it. What was adopted last Friday is exactly the opposite of this. In fact, we have decided not to leave sanctions or penalties hanging over the market at a time when we are starting with important international agreements. There's a follow-up meeting. The French Minister for Foreign Affairs also said that it should not be the case to take concrete measures now, before this is necessary, if there is no constructive participation. It may well be discussed, but according to what I signed, it is not wise. So I advise against this motion. The motion in part No. 435 calls on the Government to make public all damage to Dutch and European projects and to systematically and politically claim compensation from Israel, as already determined by the EU in December 2014. I want to discourage them in terms of consistency, given my own position here this afternoon, because we already do. So I have no need for this motion. As we know, we have also raised this in the PNC. We are working with Israel to ensure that the legal procedures are in place. We are opposed to this happening, particularly in Area C, and we are already systematically demanding compensation from Israel at political level. In that sense, I do not need this motion and I would advise against it in that light.
ParlaMint-NL_2016-06-09-tweedekamer-7.u45	Consistent on all sides, indeed. A brief question, Mr Voordewind.
ParlaMint-NL_2016-06-09-tweedekamer-7.u46	I had asked another question about the WTO Convention and Article 2.1, which would require a uniform policy for all countries.
ParlaMint-NL_2016-06-09-tweedekamer-7.u47	This interpretative statement has, of course, been very well looked at by the lawyers of the European Union. It is WTO compatible.
ParlaMint-NL_2016-06-09-tweedekamer-7.u48	Then I have one more question. Apparently, there is a fisheries agreement with Morocco in which the EU and Morocco have agreed that Western Sahara fish products may be sold in Europe under the Morocco label. Then I don't understand.
ParlaMint-NL_2016-06-09-tweedekamer-7.u49	That's too bad. I can only say that the declaration is WTO-compatible.
ParlaMint-NL_2016-06-09-tweedekamer-7.u50	This brings us to the end of this VAO.
ParlaMint-NL_2016-06-09-tweedekamer-7.u51	We will vote on the motions tabled next Tuesday.
