ParlaMint-NL_2016-02-09-tweedekamer-24.u1	I would like to welcome both directors, as well as the spokesmen.
ParlaMint-NL_2016-02-09-tweedekamer-24.u12	In this motion, the government is asked to examine whether the application procedure for obtaining a BRIN number can be simplified. It seems to me that it is always a good idea to consider whether procedures can be further simplified, especially if there are signs that it is really very difficult to get such a BRIN number. That is, among other things, the problem at De Vries Makkum, where the minister and I have been. That is actually already a school; there is good education; it is the learning company of the year. And yet applying for a BRIN number is a kind of insurmountable bump that stands in the way of De Vries Makkum becoming a real school. It seems very strange to me that the Minister should advise against this motion, when we are being asked to examine whether it can be simplified.
ParlaMint-NL_2016-02-09-tweedekamer-24.u13	It is not just a question of examining simplification. It also calls for the promotion of new initiatives in the MBO. And that is touches on a very fundamental discussion in which Mrs Lucas and I disagree. The question is whether you should have a closed system in which new institutions are eligible for funding only by law, or an open order, in which everyone can start a school and then say to the government: now I would like an administrative number and money from you. I believe that this is not desirable in the MBO and that we should deal with it very carefully. From De Vries Makkum I know that there is a problem, not only with a BRIN number, but also with the costs that are being incurred. I have already promised yesterday that we will look into how we can support the company in order to make it easier for it to carry out this task of education. But I don't see the solution in a BRIN number. Again, it is an administrative procedure and not an end in itself.
ParlaMint-NL_2016-02-09-tweedekamer-24.u14	For the sake of clarity, it is not about including in the funded system, it is about being able to issue recognised diplomas. If that's the problem, I'll change the motion accordingly.
ParlaMint-NL_2016-02-09-tweedekamer-24.u15	I will look at that amended motion, but then too I am inclined to say that I am taking it with me in the pilot at De Vries Makkum. I do not yet see that, in general terms, it is desirable for companies which have a business school to apply for BRIN in all respects. If this part is taken out, Mrs Lucas' motion will be closer to a positive verdict. I note, moreover, that one of the considerations of the motion compares the start of a new school in basic education. I don't think that comparison makes any sense. Let us take a look at secondary education. There we have six types of training. There's a BRIN number for that school. The MBO consists of 600 training courses. That brings us to the question of how many schools we want and when this is still effective. Public resources should not be squandered unintentionally. I would also like to give this to Mrs Lucas as part of my final judgment, but I look forward to the amended motion. If necessary, I will respond to it. I'll come to the motion in part No. 59 by Mr Lucas and Mr Klein.
ParlaMint-NL_2016-02-09-tweedekamer-24.u16	The motion in part No. 58.
ParlaMint-NL_2016-02-09-tweedekamer-24.u17	No, Mr. Asscher will deal with it. Also the motion in part No. 59 I must advise against, although I fully agree with the proposers that it is desirable that we should also get an experiment on demand financing quickly. In the operative part, I am asked to inform the Chamber of the way in which the experiment gets off the ground by Prinsjesdag 2016. I have already said that I would be happy to inform the House of Princess Day of the state of play. In that sense, I believe that the motion is superfluous. If I have to understand the motion in such a way that I have to inform her on Prinsjesdag exactly what the experiments on demand financing in the health and well-being sectors are going to be like, then I must advise her not to, because I do not think that is possible. We are now going to appoint a director, who will be the connecting link between colleges, industry organisations and local employers. They will then have to pull the experiments together so that they can start in 2017. I can inform the Chamber in February 2017.
ParlaMint-NL_2016-02-09-tweedekamer-24.u18	Mrs Lucas, if you table five motions, you cannot ask two questions about each motion. You understand?
ParlaMint-NL_2016-02-09-tweedekamer-24.u19	Yes, I'll briefly point out the motion. We've been looking at the commitments. They are not entirely clear on this point. That's why I filed this motion. The Minister may read her in such a way that she informs us of the progress of the experiment before Princess Day.
ParlaMint-NL_2016-02-09-tweedekamer-24.u20	I thought I promised. If I didn't do that, then the verdict on this motion is to the Chamber. On the Lucas motion in part No. 60, I'll leave the verdict to the Chamber. It calls on the government to ask the OECD about the impact of Dutch wage flexibility on lifelong learning and to include the skill strategy. We are indeed developing a national skill strategy, together with the ESC and under the guidance of the OECD. Several meetings are organised for this purpose. I trust that, in this open and joint process of this skill strategy, we will come to a shared understanding and understanding of where the main challenges for the Netherlands will lie. In doing so, it may well be that wage flexibility is reflected in this open dialogue. I am prepared to pass on the request to those concerned. The Krol motion in part No. 61, in which the government is asked to come up with a vision of adult education, I advise against.
ParlaMint-NL_2016-02-09-tweedekamer-24.u21	For the sake of clarity, the judgment on the Lucas motion in part No. 60 leaves the Minister to the Chamber. That's what she said in the first sentences.
ParlaMint-NL_2016-02-09-tweedekamer-24.u22	That's right. The Krol motion in part No. 61, I advise. With the letter about Life Long Learning, we already have a vision of Life Long Learning. There is also a need for adult education in the budget of OCW, with the exception of resources. They're decentralized. During the general consultations we also discussed this with Mr Krol. I would not want to bring these resources back to the national level. We have many support measures, such as lifelong learning credit and other measures. A new vision, besides everything we already have, seems undesirable. So I'm deceiving the motion. The Krol motion in part No. 62 on the deletion of the tax deduction for the cost of an EVC transition, I recommend. We are in the process of moving towards a new system of validation. This indeed reduces the policy rule of the EVC. This will remove the legal basis for EVC's tax deductibility, but that does not necessarily mean that tax deductibility is permanent, because we are in a process of rethinking. The continuation of EVC's tax deductibility on the basis of this new basis depends on the results of the exploration of the training deduction carried out this year. I find this motion premature and therefore dissuade it.
ParlaMint-NL_2016-02-09-tweedekamer-24.u23	I see Mr Krol is considering holding the motion.
ParlaMint-NL_2016-02-09-tweedekamer-24.u24	I don't get it. I understand now that the Minister is actually saying that she is going to reconsider the new course of events. Then there's nothing against leaving the verdict on this motion to the Chamber, is there?
ParlaMint-NL_2016-02-09-tweedekamer-24.u25	It only says here "to rethink the cost of an EVC journey." I do not think that the means should be at the forefront, but the content and purpose. So I don't want it for purpose. I would particularly like to look at how we can shape a new rule to stimulate lifelong learning, and then the question is what policy instruments are included. We have now noted that this policy rule is being reduced. So there are also many reasons to do away with it. I would create false expectations if I left the judgment to the Chamber. Then we would send out the signal that we would not reduce him and perhaps not consider alternatives properly. Then I come to Mr Klein's motion on item No. 65 on lifelong learning credit. I can be brief about that. I advise against this motion. We talked about this extensively at the Study Advance Act, we discussed it last year during the budget treatment and at last year's VAO Life Long Learning. It is always about the same thing, namely to make lifelong learning credit available to people over 55. I have already indicated at that time that we can follow the advice of the Rinnoy Committee, in order to set an age limit. I do not exclude that age limit from ever changing, but that also has budgetary consequences. I advise this motion, for the same reasons as previously indicated.
ParlaMint-NL_2016-02-09-tweedekamer-24.u26	Of course, the arguments have been exchanged before. In the AA we also discussed it. The last sentence of the Minister is therefore right: it also has budgetary implications. That is why the motion explicitly includes the request for renewal. It is, of course, up to the government. It is being asked to do this budget neutrally. It's mostly about the principle. In principle, it cannot be that someone over 56 can no longer get lifelong learning credit to develop and develop. That is the starting point. I understand the Minister's financial argument, but that is why the motion explicitly states that we are going to implement it budget neutrally.
ParlaMint-NL_2016-02-09-tweedekamer-24.u27	Yeah, but I can't. We've talked about that a lot. I can assure the Chamber one thing: this costs money. I would like the Chamber to give me motions in which it asks me to implement them in a budget-neutral manner and that is why they are budget-neutral. That would help me a lot, but I haven't found that wand yet.
ParlaMint-NL_2016-02-09-tweedekamer-24.u28	If the Chamber asks the Minister to do so, isn't the Minister coming up with a proper response? Then she says: these are the financial consequences of the Court's desire to achieve a lifelong learning credit that is budgetaryly neutral and age-independent? Then the Chamber can give an opinion on that at that time.
ParlaMint-NL_2016-02-09-tweedekamer-24.u29	We have discussed these consequences with each other before. We've already discussed the costs, just in the first installment. There is a structural need for 5 million for an increase to 60 years, and on top of that there is an increase in public debt. That all adds up, and I now find that irresponsible. If that is what Mr Klein wants, then he should tell me where to get those resources. That still seems like a good use to me. The judgment on the Jadnansing and Lucas motion in part No. 66 I leave to the Chamber. In that motion, I am asked to ask the inspection, EVC providers and the examination committees of educational institutions to ensure that recognised EVCs actually lead to exemptions. At the beginning of January this year, the new validation system entered into force. This system has two routes: the labour market route and the educational route. This could include exemptions. That is a task for the examination committees, and we are already working on it in our own right. I do understand the motion, and that is a new one, that we would like to stress once again the plea for agreements on coordination between examination committees, EVC providers and also the inspection to ensure that the EVCs are properly secured on these routes, so that the award of one may not lead to the rejection of another. In the MBO, this can be supported by OCW, NVAO and the inspection with the Servicepoint examination mbo and in higher education from the pilots flexibilisation. So the motion in part No. 66: Judgement Room. Mr. Chairman. Those were the motions I was going to deal with.
ParlaMint-NL_2016-02-09-tweedekamer-24.u30	Thank you very much. Then there are the motions on the items Nos. 58 63 and 64 open for examination by Minister Asscher for Social Affairs and Employment.
ParlaMint-NL_2016-02-09-tweedekamer-24.u31	Mr. Chairman. For the motion in part No. 58 I have said that we are examining a series of subjects, including the Van Weyenberg motion, on the same subject: bridge-WW, training premium, in short, everything about means of learning everyone, which is also the purpose of this motion. If I may explain the motion in such a way that the Chamber does not mean that it should necessarily be this means, but that this means must be included in the investigation, then I can leave the judgment on the motion to the Chamber. Then it will fit in with the research that we want to do this spring. However, if there is a pre-sorting wish, I should be against it, because that is not wise. Maybe there are other, more effective means. But I saw by the body language...
ParlaMint-NL_2016-02-09-tweedekamer-24.u32	Exactly. In non-verbal communication, we saw that the motion can be interpreted in this way.
ParlaMint-NL_2016-02-09-tweedekamer-24.u33	Then I shall leave the judgment on this motion, as interpreted, to the Chamber. In the Krol motion on part No. 63 the government is invited to come forward with proposals on how to ensure that all workers participate equally in training activities. That's my endeavor. Hence the training vouchers for all ages, hence the bridge-WW and hence a series of new measures and the announced plans. In other words, I consider this motion to support policy and I also leave the verdict on this motion to the Chamber. Then I'll get to the motion in part No. 64 which has apparently already been rejected and is now being retabled. That's very special.
ParlaMint-NL_2016-02-09-tweedekamer-24.u34	It's more common than you think. I'm thinking about today's voting list.
ParlaMint-NL_2016-02-09-tweedekamer-24.u35	No doubt. I find a lot of things special that turn out not to be at all. In this case, the motion has been substantially modified in relation to the debate we held together on the collective agreement. I appreciate that. The motion speaks of conducting an investigation. There is talk of possible investigations, in order to be selective, for example. Given that last element in the motion, I am still against it and I would like to advise against it. I realize, however, that there is a chance that the Chamber will not follow this opinion; I have listened carefully to Mr Van Weyenberg. But it seems so elegant to give this advice on behalf of the cabinet.
ParlaMint-NL_2016-02-09-tweedekamer-24.u36	This brings us to the end of this VAO. The votes on the motions will be taken next Tuesday. In a few moments we will continue with the VAO Cybersecurity.
