ParlaMint-NL_2016-02-16-eerstekamer-5.u1	I would like to welcome the Minister for Social Affairs and Employment to the First Chamber.
ParlaMint-NL_2016-02-16-eerstekamer-5.u12	Mr. Chairman. I do not intend to repeat all the previous discussions of 2012 and 2014 on the Export child benefit Review Act, also known as "Whek," in extenso. However, since the present proposal for termination is in fact based on the law which was adopted in 2014 and which was already widely adopted in 2014, it makes sense to add a few contextual comments in brief. Following a first plenary debate on 18 December 2012, the export restriction proposal was retained. The Minister wanted to ask the Council of State for information on international law aspects of the proposal. My group was already very pleased at the Minister's speedy approach at that time to stop exports to non-EU countries as quickly as possible. A year and a half later, on 10 June 2014, the discussion was resumed only after the Council of State's replies, followed by the Minister's final conclusion by letter of 28 June of the same year that there were no international legal obstacles to the legislative proposal. Treatment of this could continue in the short term. The result was that it was adopted in this Chamber on 17 June. During the same period the smoke had also risen from the trenches war with the judge, who made a more detailed ruling on several parts. I will not go into the details now, because that is not what this is about. It is clear, however, that at the outset several Cabinets have lost sight of European agreements and some treaties. Among other things, the reduction in survivors' benefits to Turkey and Morocco was due to the exclusion of the country of residence principle and also to the reduction in family allowances to Morocco. I repeat that, in accordance with our previous line, the ratio behind the principle of housing and the restriction of exports of child benefit are unnecessarily snowed down in all the legal obstacles raised. Above all, tax-funded benefits should not in principle be exportable outside the EU. Child benefit and child-related budget are intended exclusively for the support of parents whose children live in the Netherlands. For 13 treaty countries, the export of child benefit and the child-related budget could already be stopped automatically. It was not necessary to amend the Treaties; the deletion of the derogation was sufficient. For nineteen other countries, which do require treaty adaptation, negotiations are still under way. In my group's view, simply canceling would be the best option from the start. Negotiations on adjustments are now likely to take years. This was certainly true for a country like Morocco, which did not react to anything at the time and managed to keep this minister on the road for years. A country that, after a very advantageous agreement with a large transitional regime concluded in September 2015, brutally managed to put some absurd demands on the table, by dragging the Western Sahara into it. A country that only in 2014 accused the Netherlands of being the only reaction of an "unfriendly act." It's gotta be done by now. We must put an end to this policy. For too long, the Minister has stuck in the mode of "a broad and careful consideration" and in a confusing terminology that the bottomline ignores: adaptation or termination. I also remind him of his statements such as: 'These benefits are not intended to be rich, but to provide livelihoods', tailored to the location here on the land. And "abuse and misuse must be combated if we are to maintain the support for the system', in the 2013 budget process. Consistency in policies and statements wouldn't be luxury right now. I can therefore assume that the period to use the motion of the House of Representatives is now finally over as a'signal towards Morocco'. My group seems to have come to the conclusion in the dialogue. This should also be done at long last, after a period in which this government here on the land has experienced rather serious deteriorations in social security, but it does not know how to crack any notes in this area. The continued existence of "benefit parties" would be a very navrant signal to all those affected by this cabinet policy. Why then continue to be explicit, even so far in the recent note, but to repeat that "the door of the Netherlands to conduct discussions is open"? And that this "desperation at different levels towards Morocco" has been indicated. Here it is openly hinted at the fact that everything is still possible until 1 July 2016. That looks like actively promoting before the window closes. What is the matter with this minister? How many more opportunities to train, manipulate or chicane, do you want to offer? Who's the asking party here? Can this minister say here and now that every form of consultation has been concluded in advance? As far as the idea of continuous "benefit parties" is concerned, I would like to say to the Minister that as early as 2010, in the Note, international labour mobility and social security, it was noted with some sense of understatement that the Dutch policy was already "wider and more generous" than the policy in many other countries. These "partys" will not end when this law is adopted, so that current benefits, which are not already affected by the country of residence principle, will be preserved. Nor does the forthcoming EU Association Treaty ensure that the country-of-home principle can apply to survivors' and invalidity benefits. This is partly due to a mandate given by the Netherlands once in wisdom. For the record, the housing land factor has been set at 40% for 2016. Perhaps the Minister could join the cabinet's slogan: "Pack it up and no longer move it back." Or did only the other coalition partner have this pretence? Secondary objections if that would reduce the number of children, the proceeds would be negligible, it would only be new benefits and control of fraud and legality would no longer be possible, do not detract from the principle endorsed. Why should we allow ourselves to be held hostage by a country which has never been in the "co-work position" and which will certainly not be held hostage anymore? The years of puppies and wet keeping are over. In the opinion of my group, principles still go beyond pragmatism. Moreover, the control of fraud was already problematic in any case. Illustrative for this is the remark made by the then government under the Export Benefits Control Act of 1999, that in the case of "exports the powers and factual possibilities of the Dutch implementing bodies are more limited to control and verification than in the Netherlands'. How euphemistic is that? The suspicion of fraud, just to be careful, was evident enough for a majority of the House of Representatives, including the current Secretary of State of SZW, to want to end child benefit to Morocco and Turkey. The savings are still substantial in structural terms, with some 40 million or, if the Association Agreement is in place, 18 million. Moreover, the delay in termination has already led to a loss of 19 million. The conclusion can be no other than to implement immediately the Schut-Welk motion and finally to terminate this agreement with Morocco immediately. As far as we are concerned, the door, which the Minister is still holding his foot in, can be pulled shut. He can spare himself a few bruised toes, but even more: the corridor to Morocco with the hat in his hand.
ParlaMint-NL_2016-02-16-eerstekamer-5.u13	Mr. Chairman. There has been a lot of time in trying to adapt the social security treaty and agreement with Morocco: time in official preparation, advice from implementing organisations, negotiations and political debates. This cabinet thus shows that it is important to put an end to the export of benefits, which is an agreement made in the government agreement of the Rutte I cabinet. Obstacles that stand in the way must be removed if necessary, even if this means that the withdrawal of a cooperation agreement with a country with which we will, in any case, have a great deal to do. One of these reasons is that some 350,000 inhabitants of the Netherlands are Moroccan nationals. Furthermore, the Minister is right to point out the importance of good cooperation because of the strategic position of the country. The answer given by the Minister to our questions is: we are going to cancel the agreement with Morocco now, but we are mainly doing so as a means of exerting pressure to move Morocco in our direction, because we want to maintain good cooperation. Our group believes that the cabinet is playing a major role if it really cares about the good relationship with Morocco and that the cabinet does not recognise that the Netherlands itself has already caused the necessary irritations in this area, first with the introduction of the principle of housing, thus ignoring all legal advice, the judge has finally had to reverse it and then with the withdrawal of the treaty now. In this context, it is also presumptuous to place the ball at Morocco now and thus give the impression that the party in particular is acting irresponsiblely by not simply agreeing to an adjustment. Of course, Morocco's demand to extend its scope to Western Sahara was unacceptable, but the present proposal, which was already tabled in May last year, is not the inevitable consequence of Morocco's demand for negotiations last autumn. The debate in the Lower House was always about the options: to negotiate until an adjustment has been achieved, or to terminate. My group would also like to keep a third option open, namely to keep what we have now. For an adjustment, both sides will have to agree. It is the Netherlands that wants an adjustment and that Morocco must be prepared to do so. Has the stage really been reached that this is not going to work? My group is not yet convinced of this. Quitting means giving up permanently, and that is a huge step, as if we have no time to lose and therefore stand our backs against the wall: we have to give up now, Morocco has had its chance. My group is missing this haste and the need to take such an irreversible step now. Looking at the pieces, we have not become convinced that there is such a need. The political choice to limit the export of benefits as much as possible has already been made, but that does not mean that you have to make an independent assessment of each country, or that choice should prevail over other interests and benefits. A political choice or a policy objective, as the Minister calls it, should not lead to blind implementation? We have many other policy objectives, which we also want to achieve. The main question is what is at stake. What do we have to gain and what do we lose when the two agreements with Morocco are terminated? Let us look at the actual yield. If we assume that the EU Association Decision with Morocco will enter into force this year, which will revive the right to export a number of benefits, then cancellation will only affect child benefit, the child-related budget, the Supplements Act and the coverage under the Health Insurance Act. This is only about new situations, not about the rights that already exist. If we look at the number of children in Morocco who are entitled to child benefit and the child-related budget, we are talking about over 3,000 children. Twenty years ago, that number was more than ten times higher. That drastic decline will only continue. The cabinet assumes 150 new cases a year and in ten years' time, given the continuing decline, it may still be a few dozen children. In good Dutch: this is not about anything. The number of people receiving benefits under the Supplementary Act is 400. Here, too, we are talking about a calculation of savings, which is new situations after 1 January next year.
ParlaMint-NL_2016-02-16-eerstekamer-5.u14	I hear Mrs Strik's speech, but does the assessment of the legislative proposal ultimately amount to a calculation of the numerical advantages or disadvantages? Or is this still based on a form of principle? I would like to know a little more about that, because Mrs Strik is only talking about pluses and minuses. Is this a balance-of-payments approach? Is that GroenLinks' approach?
ParlaMint-NL_2016-02-16-eerstekamer-5.u15	It is a policy goal to limit exports abroad, but you are not going to blindly pursue that one goal if there are many other policy goals at stake in the implementation. This is one stage in my speech. I put the pros and cons side by side. Partly it is financial, but it is also about other advantages and disadvantages. I believe that they should be involved in the consideration of whether you want to pursue this policy objective with regard to Morocco.
ParlaMint-NL_2016-02-16-eerstekamer-5.u16	How consistent is Mrs. Strik? She talks about her third proposal, but that is the old regime, whatever that may be. But enforcement does not recognise Mrs Strik's entire argument about the advantages and disadvantages and the pluses and minuses, because that results in a balance. And we'll stick to the old one, won't we? I can't rhyme with those thoughts.
ParlaMint-NL_2016-02-16-eerstekamer-5.u17	I don't see that inconsistency. I believe that this option should also be kept on the table. We have to weigh all the pluses and minuses. At the end, we must conclude that the third option may not be better than the amendment or termination of the Convention. I just got off a question. According to the Minister, how many new applications are to be expected under the Supplementary Act? Is this also an expected decrease in the number of beneficiaries? With regard to the use of care during a temporary stay in Morocco, the Zorginstituut is based on 1700 new applications per year. The Minister estimates the savings at 17,5 million. My group would like to know whether he has taken sufficient account of the declining trends. On the other hand, there is the disadvantage of the disappearance of controls on property, the legality of benefits and medical examinations. As the other benefits under the Association Decision go through, but that decision does not itself regulate controls, the Government is deeply concerned by the withdrawal of the Convention. The absence of controls will destroy some of the already relatively small savings by at least 1.2 million and perhaps by other amounts. Perhaps the Minister will be able to supplement that. If we include all the efforts involved in the negotiations and the termination, we will have even less advantage. Those are all financial points indeed. However, the disadvantages are clear and worrying. Morocco has already announced that it will explain its withdrawal as an unfriendly act, and we have already seen its consequences. Moroccan foreigners were released last year from detention for lack of perspective on expulsion. In many other policy areas, too, we risk damaging the cooperation relationship. Think of those in the area of Dutch in prisons in Morocco, criminal cooperation, including counter-terrorism, deradicalisation, migration, but also themes such as integration and culture. Even if cooperation in these other areas is carried out on the basis of other agreements, the implementation of these agreements may indeed suffer from a deteriorating diplomatic relationship. Indeed, cooperation remains largely dependent on political will. Does the Minister really think that achieving this one policy objective, namely ending exports to all countries outside the EU, is more important than all the other policy objectives? I would like an explanation on this, because the Minister has not yet made that assessment sufficiently clear to us. Has the government also considered the interests of other parties, such as Moroccan citizens living in the Netherlands, who, because of their links with that country, may also be affected by a worsening cooperation? In addition, the Social Insurance Bank expects a large number of procedures concerning the actual residence of a child. Soon, unlike the present situation, there will be a need to assess the actual place of residence of the child. Evidence will have to be used to support the granting of family allowances. These decisions will provoke appeal and appeal procedures, with a high level of administrative costs and burdens for public authorities and citizens. What about the administrative burden on benefits resurrected under the Association Decision? How sure can we be that the Association Decision entered into force when the agreements with Morocco expire? We are already in 2016. Can the Minister outline more precisely what will happen in the coming months at EU level and what is the expectation of the entry into force date? If that date is possibly later than the date of termination, what does that mean for the rights under Anw, WIA, WAO and old-age pensions? What does this mean more specifically for applications submitted between those two moments? Are these granted only after the Association Decision has entered into force, or do the applicants otherwise fall into a hole? Please explain the different scenarios that can arise from the timing of both processes. My group would have preferred to wait until the Association Decision came into force because of these uncertainties, but the cabinet is in a hurry. So much haste that also the First Chamber should now deal with this bill with bloodshed. Where the First Chamber takes into account in other legislation an eight-week period for the possible use of the Advisory referendum Act, it was now urged to vote on this bill no less than four months before its entry into force. Is it not true that other referendable laws do not include the second round of a possible initiative for an advisory referendum? My group is missing the distinctive criterion with regard to the other legislative proposals. Maybe it has something to do with the treaty. Can the Minister therefore explain exactly how much time he needs for a Royal Decree to enter into force before 1 July?
ParlaMint-NL_2016-02-16-eerstekamer-5.u18	Mrs Strik has mentioned a lot of disadvantages and not many benefits. She then asked: why do we not wait until the association agreement is completed? But then all these disadvantages are as severe as they are now? What's the difference?
ParlaMint-NL_2016-02-16-eerstekamer-5.u19	If we had waited another year, the final judgment of my group would not have been very different. If this is the wish of the cabinet and a majority of the Chamber, then it is going to happen. However, due to the timing and uncertainties, gaps may arise. That is why I would say, apart from what my group thinks, that it would have been wiser to take that into account.
ParlaMint-NL_2016-02-16-eerstekamer-5.u20	I don't really have a question anymore, but I'd rather come to a conclusion. There is therefore no difference in principle, only the moment is a little later. Eventually, the same things happen that you're afraid of.
ParlaMint-NL_2016-02-16-eerstekamer-5.u21	My comment on timing is not about the content of the proposal, but merely about the date of its entry into force. If it had to be done, it would have seemed safer to me that it had been taken into account. In short, my group considers the way the cabinet has gone, an unwise one, and fears that this bill will destroy more than we like. Hopefully the Minister will come to his senses in good time.
