ParlaMint-NL_2016-03-03-tweedekamer-8.u1	I would like to welcome the Foreign Minister.
ParlaMint-NL_2016-03-03-tweedekamer-8.u12	The Minister needs a lot of words to explain to us that Qatar is really doing something. When I listen to that, I think: it remains very general. Steps have been taken and the main criminals have been put under house arrest, but from that I conclude that no firm steps have been taken. A terrorist financier, one of the main players in that game, has been placed under house arrest. Surely you wouldn't call that a firm step in the fight against terrorist financing? If that person was thrown into the brig for a long time after being prosecuted and tried, then I can agree with the minister. Then, indeed, a firm step has been taken, but placing under house arrest is certainly not.
ParlaMint-NL_2016-03-03-tweedekamer-8.u13	I'm just reflecting on what you're actually saying. You are actually saying that the Minister needs a lot of words. However, I have indicated exactly what happened to the 12 people in the report. You yourself asked what happened to them on the basis of that report. I would like to state exactly what has changed in the past period. It would, of course, be nice for you to take note of what I am saying and then say something about what that means to you. It all depends on how you judge that house arrest. In the Netherlands too, not everyone on the penalty list is arrested. This depends entirely on the specific situation, on the legislation and on what is required internationally. In this case, house arrest and freezing have been chosen. Whether you think that's a firm step or not, it's up to you. In reply to your questions, I dare say that significant progress has been made. Whether that is sufficient is up to you to assess. I said that more must be done and that the pressure must be increased. We have adapted our activities internationally and there is therefore a change. Finally, I have indicated exactly the lines along which it has changed.
ParlaMint-NL_2016-03-03-tweedekamer-8.u14	I hope, however, that the Minister can agree with me that we can only be satisfied and that we can only say that we have taken firm steps when the main people responsible for these matters are simply locked up.
ParlaMint-NL_2016-03-03-tweedekamer-8.u15	I agree. Of course, it is still a question of who is responsible. I hope I have done you some satisfaction in this respect, because I think it is important that you have requested this debate. It also concerns the concerns of the Dutch Government, which we have raised with the United States and other allies up to the highest level in Qatar. I just see that important steps have been taken. It can always be better and you can always go on, but it's not unimportant to mention that here. This applies not only to Qatar, but we will undoubtedly also come to talk about this in general about Saudi Arabia and other countries in the Gulf.
ParlaMint-NL_2016-03-03-tweedekamer-8.u16	I share the Minister's view that important steps have been taken. This debate was requested in 2014 and it would be extremely regrettable if no interesting and important steps had been taken since then. It has therefore become clear that external funding of such organisations is actually necessary to continue the struggle in Syria and other parts of the region, for example. The question is, of course, to what extent there is an agreement with what has been identified internationally through good intelligence services. I am thinking in particular of the work of the United States, because the list of Europe is a derivative of that rather than its own work. To what extent is there an agreement between the list of Americans and the insights that exist there, and what has happened in practice in the area of house arrest and freezing of assets?
ParlaMint-NL_2016-03-03-tweedekamer-8.u17	I'm not sure I fully understand your question. I understand there's intelligence from the Americans. Of course, it makes sense to work with them, to put it as publicly as possible. This also means that within the coalition we jointly exert pressure on different countries, not just countries in the Gulf region. Terrorism funding is not limited to that region, because money is liquid. It is a question of investigating transactions that run through all kinds of very complicated routes. In response to the information that was provided to me through the report on which this debate is about, there has been action against the twelve people concerned. In that sense, I can answer your question positively.
ParlaMint-NL_2016-03-03-tweedekamer-8.u18	That's about those 12 people. All this is understood, but the fact is that in this world of lists held by different powers and organizations, the Americans often have the widest lists and the best intelligence. That is why I specifically ask the Minister about the position of the Americans in relation to the actions of the Qatari government. That's what interests me.
ParlaMint-NL_2016-03-03-tweedekamer-8.u19	I can't actually answer that because I don't know. I cannot judge exactly what the American intelligence is and whether it relates one-on-one to what happened in Qatar. Well, I can tell you what we do know. The main cases of funding are also raised by the United States. We want sanctions against this, of course. Those cases are therefore on a UN list, which is then digitally taken over by the European Union, in other words. This means that we will then act jointly on this list of sanctions.
ParlaMint-NL_2016-03-03-tweedekamer-8.u20	Interesting to see that Mr Van Bommel sees American intelligence as extremely reliable this time, and as a guide. I had to get that out of my head. It is noted and is all part of these Acts, Mr Van Bommel! The Minister just said in an interim that the Netherlands is the leader in this fight. Does the Minister also recognise that other countries do too little or lag behind? Or doesn't he have that feeling at all? Is there a coalition in which everyone supports this not only in word, but also in action? Or does the Minister feel that the Netherlands is at the forefront of this and that others are lagging behind?
ParlaMint-NL_2016-03-03-tweedekamer-8.u21	In any case, the Netherlands also raises this issue at the highest level because of pressure from the Lower House in Qatar. Did we need that pressure? No, of course not, but it helps. I am well aware that this can only be done if you do it together; Mr Knops will also realise that. Hence the important role of the United States of America, which the SP Group really attaches great importance to, as well as others. I don't want to pass the judgment that others don't. They might do it another way. We have a certain size and a way in which we can work best. We are also helping to strengthen capacity. The Government of Qatar is of course also in its stomach with ISIS, because it is also a threat to the Gulf States. This also means that we are now working with the FIOD, the Public Prosecutor's Office and the national police in the field of financial detectives. We are in the lead in this, if you like. At the meeting I organised in January, it was agreed to do so much more pragmatically. That's what I thought was the advantage of that meeting. You can take all kinds of big statements, but then you have to have the financial detectives and other people on the scene. Recently the capacity on Dutch posts in the region has been strengthened to do so.
ParlaMint-NL_2016-03-03-tweedekamer-8.u22	I think that's exactly the point. The words that come from Qatar aren't even so wrong. All kinds of promises are made that business is going to happen. The only question is what is actually being done in practice. I think that is what this debate is about. What progress has been made? In this light, how does the Minister assess Qatar's passivity towards military support for operations against IS? Qatar has a lot of money, but within the coalition is quite passive in fulfilling that role. How seriously should we take Qatar's anti-ISIS participation?
ParlaMint-NL_2016-03-03-tweedekamer-8.u23	I take that very seriously. I have just mentioned a number of examples. Qatar is at the heart of the coalition. This applies to his activities, to the headquarters where military plans are being made and to the way in which cooperation is being worked out. I'm positive about that. I would like to make a few comments on the question of funding. We are in complete agreement on this. I would like to add that the image of the income of ISIS is diffuse. It's just a market model, a black market economy. ISIS is almost entirely dependent on declining internal revenue sources. The revenue from the bank vaults in Mosul, a huge amount of more than 1 billion, is one-off and the oil trade, on which we discussed earlier how it should be dealt with, is now falling sharply. External funding is actually very low, only 1% of ISIS's revenue. This does not mean that we should consider this element less important, but it should be taken into account in that sense. The sources of income mainly concern the local population, cultural heritage, oil, bank vaults, ransom payments and money from foreign fighters. According to the United States, donations are only a short reminder of the importance that was attached to them earlier in the debate, i.e. about 1% of the income of ISIS. I am not saying that it is unimportant, but it is relatively not the most important element in the financing of terrorism. It is important, and rightly so, that attention is also paid to this. I would like to answer a number of questions that have been raised in this area. I already said something about the penalty list. I've already said something about it. The UN and the FATF are the international authorities in this area. That is why I do not need an independent investigation, because there are two institutions for that. They just have to do that. The UN and the FATF shall monitor and describe in detail the implementation of international obligations to counter terrorist financing. The FATF publishes those evaluations on its website, so you can also watch. Reports from the UN Monitoring Team are also public. Qatar, Kuwait and Saudi Arabia have been evaluated in recent years. A technical assessment has been carried out in the evaluation. Is the legislation, the institutional framework in order? The effectiveness and results have been assessed in practice. That is also for our means of looking at it carefully and, if necessary, acting more sharply. If a country fails, countries must draw up an action plan to remedy the shortcomings. The list of sanctions has been asked whether the EU is lagging behind the US. The EU automatically takes over those sanctions against ISIS, Al-Qaeda, Boko Haram and Al-Shabaab. To this end, the UN decision must be transposed into EU law. This indeed involves a procedure, but it takes five working days in the European Union. I think that's a pretty unique thing for this organization; let's call it almost revolutionary. The Commission is even looking at measures to further streamline the transposition process. I think we should not worry too much about that. I said something about the financial problems of ISIS and the halving of salaries on the ground. The UN predicts that ISIS's oil revenues will continue to decrease this year, partly as a result of international air strikes, cutting off oil smuggling and trade and falling oil prices. I come to the implementation of the UN Security Council Resolution 2253, of which the Netherlands was co-sponsor. We are also preparing a UN list on this point from the Dutch perspective. The European Commission's action plan against terrorist financing is important. Not only has Ecofin welcomed this, but it has, of course, also begun to implement it. We, as President, also play a facilitating role in achieving results quickly. These include legislation, Europol detection, information exchange and capacity building to support countries in the Middle East, for example, in order to fulfil that obligation. I told you what the Netherlands is doing about it. Mr Knops himself pointed out that there would be another separate debate on salafism. Of course, funding will also be discussed. It is absolutely true that financing from abroad is a problem when private sources or targets are unclear. Nor can it be determined whether there is funding to terrorist organisations or individuals. In that case, therefore, it is also up to the Dutch authorities to take action, but I would like to discuss the details of this, the question of how far that should go, with the approval of the Chamber if we look at the letter from the cabinet on this matter. Mr Ten Broeke has asked me if we have any indications regarding Mali. The answer to that must remain to him, because I do not have the information about it on the spot. In any case, I should like to say here that the Dutch Government has no evidence that the government supports groups in Mali financially. From other information, I find it difficult to share it with the Chamber, but I honestly say that I do not have it at my disposal here, on the spot. If the Chamber allows me, I will see again whether I can share it with her or not.
ParlaMint-NL_2016-03-03-tweedekamer-8.u24	The information I mentioned in this case is the information contained in the report. That is the most recent information; it is even from the end of December last year. I can therefore imagine that it has not been dealt with directly. If the Minister sees that possibility, I would like him to share the information he knows how to get out of the way. Finally, we are sitting with our ears and eyes in Mali, and it is not insignificant to share with us in a further letter. There are the usual channels for sharing information which cannot come directly to the Chamber, at least not in that form.
ParlaMint-NL_2016-03-03-tweedekamer-8.u25	That seems to me to be a very legitimate question. We must distinguish between Qatar's government, where it is not, and individuals. I just don't know about that, and that's what we should be looking at. There is also another problem, which Mr Knops just referred to. This concerns funding from Gulf States of religious groups, for example in Mali. I do not know whether Mr Ten Broeke is referring to this, but it may be important to make that clear.
ParlaMint-NL_2016-03-03-tweedekamer-8.u26	The Minister has agreed to come forward with a letter.
ParlaMint-NL_2016-03-03-tweedekamer-8.u27	Yeah, but my question was whether or not we should. Mr Ten Broeke will probably say yes to that.
ParlaMint-NL_2016-03-03-tweedekamer-8.u28	The minister has predictive powers today. In the letter, he can best respond to the text I have spoken about the report as such. It concerns the report of the American Gatestone Institute, which also includes public authorities, namely the Ministries of Foreign Affairs and Defence, intelligence services and even the cabinet of the emir. Perhaps the sender will make the report less reliable, but we don't have the experience that it is. It is an organization with a certain ideological purpose, but so far not very bad with its information. On all these elements I would receive further information in the letter, including those spiritual groups.
ParlaMint-NL_2016-03-03-tweedekamer-8.u29	Let me say that I will inform the House of this in the most public way possible. That is what we all want. I understand Mr Ten Broeke's concern, so we shall look into that.
ParlaMint-NL_2016-03-03-tweedekamer-8.u30	Are you going to finish?
ParlaMint-NL_2016-03-03-tweedekamer-8.u31	Yes, I also thought I had answered the most important questions, if not all of the Chamber's questions.
ParlaMint-NL_2016-03-03-tweedekamer-8.u32	Is there a need for a second term?
ParlaMint-NL_2016-03-03-tweedekamer-8.u33	I had asked the Minister another question about arms exports by analogy with Saudi Arabia.
ParlaMint-NL_2016-03-03-tweedekamer-8.u34	The analogy with Saudi Arabia is the right one. We are critical of arms exports in the Gulf region, where we are very reluctant; this is also in direct relation to the situation in Yemen. What I shared with the Chamber about Saudi Arabia also applies to Qatar.
ParlaMint-NL_2016-03-03-tweedekamer-8.u35	For the second period, speaking time shall be one minute, including tabling motions. I call Mr De Roon.
