ParlaMint-NL_2016-12-06-eerstekamer-9.u1	I would like to welcome the Minister for Housing and National Service to the Upper House.
ParlaMint-NL_2016-12-06-eerstekamer-9.u12	I don't remember saying that.
ParlaMint-NL_2016-12-06-eerstekamer-9.u13	We could hit it. I thought he just said...
ParlaMint-NL_2016-12-06-eerstekamer-9.u14	That there is more use of alternative construction as the conversion of offices. That's what I'm gonna call it. I don't mean the corporation sector.
ParlaMint-NL_2016-12-06-eerstekamer-9.u15	Okay. Does Mr Schouwenaar mean that this legislative proposal will make greater use of the temporary possibilities for enlargement?
ParlaMint-NL_2016-12-06-eerstekamer-9.u16	Yes.
ParlaMint-NL_2016-12-06-eerstekamer-9.u17	Even if municipalities do not use it, because they do not think it is good instruments for other reasons, as many have argued?
ParlaMint-NL_2016-12-06-eerstekamer-9.u18	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, In that case, municipalities will have to provide housing in a different way. That is their mission. I believe that is stated in Article 13 (4). I would have stuck to the second point, which is that priority is needed in order to achieve the objective. This criticism is somewhat unwieldy for my group. The task allows us to first look for alternatives; then, if alternative construction does not yield enough, municipalities can decide to give priority. That does not require any legal automation. By the way, just over half of the municipalities can achieve the task without priority. The third critical point is that we are not building enough. So we need to build more. Or, as some say, build, build. My group is wondering: what are we going to build? Alternative construction, converting offices into living space: that's fine. And regular house seekers can also use it. But should we also accelerate the construction of more social housing? It could be. Maybe it'll help, but there's no question about that. The sector is already too large... Excuse me, my phone's ringing; now I'm completely out of my mind.
ParlaMint-NL_2016-12-06-eerstekamer-9.u19	It's your own fault.
ParlaMint-NL_2016-12-06-eerstekamer-9.u20	That's my own fault, all right. It takes time; I know that.
ParlaMint-NL_2016-12-06-eerstekamer-9.u21	For a moment, I thought it was a corporation calling with an offer. I was wondering what Mr Schouwenaar wanted to say. He started out hopefully: maybe more social housing needs to be built. That would perhaps be a bridge in our opinion. Where does he see opportunities for that? Then maybe we have something we could all agree on.
ParlaMint-NL_2016-12-06-eerstekamer-9.u22	The sector is already too large with 2.4 million homes for a target group of 1.8 million households. And rebuilding takes time. The corporations are lagging behind while we have a problem now. As regards Mr Lintmeijer's question, in general, we are in favour of a policy which is not as large as it has been in recent decades. A large proportion of those seeking accommodation do not concern families consisting of men and women or men and a number of children, but are single or start-ups; the latter are two. In this respect, there is a wide range of larger homes and too little supply of smaller... Now my phone's ringing again!
ParlaMint-NL_2016-12-06-eerstekamer-9.u23	It's not easy, is it?
ParlaMint-NL_2016-12-06-eerstekamer-9.u24	No, it's not easy. Thanks for the moral support. Now I'm off my toes again. As far as we are concerned, the policy should be focused and perhaps be focused for a long time, because that is a matter of years on the disposal of large houses. They generate a yield and can be rebuilt smaller. Maybe there's another way to do it. We have read that the corporations have a lot of money at their disposal, so that could also be used for additional buildings, but also for smaller houses than we have been used to so far.
ParlaMint-NL_2016-12-06-eerstekamer-9.u25	I also read those figures in the Minister's written reply. I am absolutely convinced that he is right in terms of numbers, but this is a bit like the statement that everyone in the Netherlands is rich if you add up the entire capital of everyone and share it by the number of inhabitants of the Netherlands; then everyone is rich. Only, you will have different housing needs in different parts of the Netherlands. So that means that at some point, whether you like it or not, you're gonna have to build up. That's what corporations have to do. You can't always sell another property for that; you just have to do that in certain regions. And one corporation isn't the other. So you can't generalize this in the sense of: there's enough, so you can sell and then you can do something else.
ParlaMint-NL_2016-12-06-eerstekamer-9.u26	I think it's okay if we take a general look at things here. The minister doesn't build houses. He's not a corporate director either, which is how I read on Saturday, but he's system responsible. For us, this means that we too are looking at the system as a whole. Repulsion of larger homes has another advantage: primarily that it generates a yield for which social, regulated homes with a slightly smaller volume and thus also a slightly lower rent due to the appropriate allocation can be rebuilt. In addition, these larger houses can serve to be liberalised in the near future, in order to contribute to the filling of the middle segment, which Mrs De Vries-Legge has also talked about. The fourth point of criticism is that it concerns symbol legislation. My group does not share that criticism. The proposal leads to decentralisation. The municipality itself decides on priority rather than that there is a legal automatic priority from The Hague. This municipal authority is an incentive, an incentive to look for alternative construction. The advantage of this is less displacement, so more support. The fifth criticism concerns exclusion. On the other hand, my group believes that the proposal eliminates inequality. Everyone is treated equally on our territory. This means that we do offer refugees shelter, housing and education. This is all in line with Article 1 of the Constitution, but we do not give priority. The final criticism is that the financial arrangements are inadequate. My group does not want to exclude the possibility of improving the arrangements.
ParlaMint-NL_2016-12-06-eerstekamer-9.u27	I have a question about the previous point of priority. Is it not logical, in line with what Mr Schouwenaar is proposing, to skip anyone who so far has a priority position? Those are people who are actually homeless. A licence holder is also actually homeless when he has to leave the asylum-seekers' centre. In Mr Schouwenaar's reasoning, all these groups should therefore be skipped. Why does Mr Schouwenaar take out that particular group, while his reasoning applies to all these groups?
ParlaMint-NL_2016-12-06-eerstekamer-9.u28	Let us say first of all that this bill calls into question one of the three groups which, according to the law, can count on urgency. Both other groups are not currently under discussion. But I admit that Mr Arrowman has a point. As we look at priority in general, you might wonder if you should do it this way. One may ask whether not an economic, social commitment should also be a reason for urgency and priority. That could be a very interesting discussion. I say that from the point of view of the fact that the allocation of housing is something very essential. On the one hand, this calls for extra attention to people's needs and, on the other hand, not too soon to decide that one goes for the other. The fact that people are being made homeless, I fight. It can never be the case that licence holders are thrown out of the door by the COA and have to see where they are staying. The task remains in place, so the municipalities remain responsible and very busy making sure that it works.
ParlaMint-NL_2016-12-06-eerstekamer-9.u29	Mr Schouwenaar just said that I had a point to make and that it is worth considering whether all these groups should perhaps lose their priority status.
ParlaMint-NL_2016-12-06-eerstekamer-9.u30	Mr Schouwenaar, your phone is ringing again.
ParlaMint-NL_2016-12-06-eerstekamer-9.u31	I'm trying to turn it off, but I can't do that very well.
ParlaMint-NL_2016-12-06-eerstekamer-9.u32	Course, course!
ParlaMint-NL_2016-12-06-eerstekamer-9.u33	I think it's a fan. Mr Schouwenaar says that all these groups could lose their status. But why is the cabinet taking out this particular group?
ParlaMint-NL_2016-12-06-eerstekamer-9.u34	You're asking the cabinet, I presume.
ParlaMint-NL_2016-12-06-eerstekamer-9.u35	I'm asking you because you're absolutely defending it.
ParlaMint-NL_2016-12-06-eerstekamer-9.u36	Because this point is now before us. It is of course very interesting to extend this subject to adjacent areas, but that seems to me to go too far now. Moreover, in the Netherlands there seems to be a strong consensus that we also want to differentiate in the allocation of housing to the degree of urgency of one and the other. But once again, you can discuss this; that has also been shown in recent decades, because there has been a lot of discussion, particularly on the issue of economic and social cohesion. The final point of criticism is that financial arrangements are inadequate. My group does not want to rule out the possibility of improving the arrangements, but financial bottlenecks should not, in our view, be the basis for a legal automatic priority. Priority in the allocation of a dwelling is a heavy asset, especially for the candidate who is rejected. This should be based on a sound local balance. All in all, my group recognizes that criticism is possible, but we do not assign decisive weight to it. It is our priority to make better use of the possibilities of alternative construction and to maintain the support base. That is why we support this proposal. I apologize again for the fact that my phone went off.
ParlaMint-NL_2016-12-06-eerstekamer-9.u37	Maybe by now you've figured out how to shut it down.
ParlaMint-NL_2016-12-06-eerstekamer-9.u38	Mr. Chairman. The population housing in the Netherlands is highly decentralised. Municipalities and corporations have been given a dominant role alongside the Empire. The need for higher building production and attention to the social rental sector is shared by all. I assumed that, but I have just heard in Mr Schouwenaar's speech that he was still in doubt. Recent assessments of the landlord levy show that the social housing stock has decreased and that although there is a national theoretical balance in supply and demand, there are real tensions in regional housing markets. The CDA Group has also pointed out this in its contribution. This calls for particular attention to be paid to the instruments that the Empire can use in regions with increasing tensions, but also in regions with shrinking phenomena. In other words, national direction remains necessary. This is why the Dutch Labour Party in the Lower House stipulated that an additional deployment of at least 14,000 housing units would be achieved through agreements of the cabinet with the municipalities in order to enable them to better fulfil their mission. That changed the balance sheet in a positive way in favour of this bill. Then, in two written rounds, this Chamber held an exchange of views with the government on the proportionality of the legal expiry of the urgency status and on the extent to which the government now has sufficient material support for the municipalities in their task. As a result of this detailed report, we have the following questions to the cabinet. We too have taken note of the recent letter from the UNG and ask the Minister to explain the conclusion that the bill would have no material meaning. In his reply, he himself, by adopting this bill, said that he expected an increase in housing opportunities and that he did not see any additional risks to the housing mission as regards urgency. Can the Minister clarify this? Can he also indicate how he assesses the enforcement measures, or possibly the enforcement burden, resulting from the release of urgency by the Empire and whether the need for enforcement will increase as a result of this bill? The Labour Party's group attaches great importance to a good working relationship between the Empire, municipalities and corporations in order to manage the housing mission. Decentralisation does not, in our view, mean creating a distance between the levels of government which, on the contrary, have an important task to achieve, unitedly and in harmony with the use of mutually available instruments. The vote emerging from the VNG letter could perhaps have been avoided if the government had more generously provided for arrangements to strengthen the development of alternative housing opportunities and had responded appropriately and more quickly to the presence of bottlenecks, as demonstrated by the evaluation of the Verwey-Jonker Institute's research on the issue of exploitation. In a more detailed report, the Minister argues that the use of the subsidy scheme is not an end in itself and the conditions he has imposed on it saves society costs. We find this argument questionable, since it does not primarily aim to promote the purpose of the scheme: to promote greater support for municipalities in the creation of housing opportunities. These costs will always have to be weighed against the social costs and losses associated with the stagnation of the housing of status holders and other housing seekers. It is clear that additional investment is needed to make housing suitable. The conditions currently in force do not seem to correspond sufficiently to the creativity needed to create suitable places. It is appropriate for the government to provide a firm support for this rather than merely finding that the use of the scheme is not an end in itself. We would like to hear a reaction from the government on these and other points.
ParlaMint-NL_2016-12-06-eerstekamer-9.u39	Mr. Chairman. I often begin my speech on a draft law which briefly reflects the substance of the proposal. That is almost impossible to do with this draft law, because it seeks to change the way in which licence holders are housed in the municipalities, but it does not. The reaction of the Association of Dutch Municipalities, who sent us a letter on Friday, is appealing. I quote the end of their letter. "The legislative proposal still suggests that there is no need for urgency for status holders. This affects the entire climate around permit holders' housing. That is unfortunate, because the bill only regulates that if a municipality establishes an emergency regime, it is no longer required by law that licence holders belong to the urgent housing seekers. The legislative proposal therefore has no material meaning." I repeat this sentence of the VNG letter: "The legislative proposal has no material meaning. It does not offer municipalities any more opportunities to deliver customised local services, nor does it offer any more freedom of choice in the housing of licence holders, nor does it offer more tools to combat displacement in the housing market. The legislative proposal thus does not contribute to the solution of the problem." This quote could be the text of a joint explanation of vote, which this Chamber rejects the draft law. In fact, the facts that the VNG lists are irrefutable. Unfortunately, in this Chamber too, some parties seem to be cheating themselves with the idea that this law is good for something. Authorisation holders should be housed in a municipality as soon as possible in order to further shape their lives in our society. In municipalities with low available affordable housing, the Housing Regulation provides for urgent housing seekers to take precedence over people who do not currently live appropriately, but are already housed. Authorisation holders belong to the group of urgents, like all the others who are technically homeless. There is therefore no preference for licence holders. They are treated just as much as other urgent house seekers. In equal cases, equal treatment is applied.
