ParlaMint-NL_2016-02-09-tweedekamer-29.u1	I see Mrs Leijten at the interrupting microphone.
ParlaMint-NL_2016-02-09-tweedekamer-29.u12	Let me briefly explain the motion. With regard to the amendment tabled by Mr Otwin van Dijk and Mr Potters, I can say that if you do not arrange for health insurers not to be allowed to impose additional requirements, it is not worth a blow. Then we may have such beautiful conditions in the AMvB, but if health insurance companies can still make additional demands on the legal representative or the budget holder with the argument of quality, we are back to square one. That is why I believe that the Secretary of State should include this aspect, namely that health insurers should not impose additional requirements in the model agreement. Fortunately, several colleagues agree with me.
ParlaMint-NL_2016-02-09-tweedekamer-29.u13	You're gonna have to finish up.
ParlaMint-NL_2016-02-09-tweedekamer-29.u14	Finally. The CDA sincerely hopes that the Secretary of State will support the improvement proposals that go beyond the Labour Party's amendment and the VVD. Otherwise, I'm afraid we'll have to repair the damage here in a while. That while we now have the chance to get it right at once.
ParlaMint-NL_2016-02-09-tweedekamer-29.u15	Mr. Chairman. I am very disappointed in the way in which the first period of the debate went. I'm afraid it won't get much better today either. We saw two coalition parties that were to the bone divided over the pgb in the Health Insurance Act. In itself that is good, because with the support of the Labour Party we had a majority to embed the pgb well in the Health Insurance Act. During the previous debate, I saw a Secretary of State who, with more liberal words than I am used to, defended the very nature of the Health Insurance Act. Healthcare insurers are private parties, but they do serve public interests. Therefore, it is good that they are also kept to public rules. After all, we are not talking about car or household insurance. The Secretary of State has not been able to convince me of the dilemmas in including access criteria in the Health Insurance Act. He himself sent a bill to the Chamber in which he left open the possibility of an AMvB in which those criteria could still be included. We wanted to move from systems to people. How many times have those words not been spoken, including by the Secretary of State? Who are we talking about tonight? For the systems or for the people? To the health insurance companies or to those insured who want access to a pgb and ask for a piece of legal certainty? The Christian Union will support all amendments that provide for the inclusion of access criteria in the law. Until 7:45 p.m. tonight, there was also a majority in favour of this. Unfortunately, that is not the case anymore. There is an amendment from both coalition parties. It provides for an AMvB for access to the pgb, but no reference is made to the criteria in the Wlz, while I heard the Labour Party say during the previous debate: those are good criteria, that is well thought out. Why don't we get that straight? Take that into account in the amendment. Also, I don't read anything about a date. Of course, I don't know if the cabinet is going to fall, I don't have a glass ball, but let's set a date, so at least we know that that AMvB will be there. On that point, my group will table a sub-amendment. With regard to the content of the concerns, another assessment has been made, so we have to wait and see if the AMvB is going to get there. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that detailed rules may be laid down for the implementation of the Zvw-pgb in the case of general administrative measures or under general administrative measures;]] [[Considering that there is a broad desire in the Chamber to align as much as possible the provisions for the personal budget in the Social Security Fund and the Social Security Fund;]] [[Whereas the results of the pgb monitor will be ready in April;]] [[Considers that it is in the interest of budget holders that detailed provisions regarding the implementation of the pgb should be aligned with each health insurance provider, based on an accessible, flexible and adequate pgb;]] [[calls on the government to send the AMvB to the Chamber for the summer, with emphasis on the broad desire of the Chamber to align provisions for the Zvw-pgb and pgb in the Wlz as much as possible,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Dik-Faber and Mr Bruins Slot. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-48]]
ParlaMint-NL_2016-02-09-tweedekamer-29.u16	In the first period, I drew attention to the fact that health insurers refuse pgb applications because certain forms of care would be planned, whereas in fact they are not. Think of the toilet hallway, which was also mentioned tonight. I want much more clarity on this and that it is not used as a false argument to refuse pgb applications. That is why I co-signed a motion from D66 on this issue. It'll be filed shortly. I also co-signed the motion on intensive child care tabled by Mrs Bruins Slot. We see that parents of children with a very heavy care demand wander through the care landscape and have to deal with different legal regimes. This requires a solution so that parents can focus on caring for their children and no longer on paperwork and procedures. I have tabled an amendment on the Maximised Fees. We would like a fee not to be limited, but above all that it is sufficient. The Secretary of State insists that the deletion of "maximised" will result in no budget. Would the Secretary of State like to explain that again? There is no law in which a pgb is anchored stating that the pgb is maximized, and yet there is just budget available. I would like to have a more detailed explanation of this. I hope we can get out of this together. In the first part of the debate, we discussed mediation and dispute resolution. The Christian Union and the Secretary of State believe that the procedures are too lengthy at the moment. People who want to direct their own care don't have that time. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the SKGZ will be requested to shorten, where possible, procedures for mediation and dispute resolution with regard to the Zvw-pgb;]] [[noting that the current lead time for mediation is two months and for dealing with a dispute for six months;]] [[Considers that facilitating mediation and dispute resolution with regard to the Zvw-pgb contributes to the sound implementation of the Zvw-pgb;]] [[calls on the Government to ensure that the SKGZ has the appropriate capacity to effectively reduce the lead time of mediation and dispute resolution over the Zvw-pgb;]] [[further invites the Government to include in the monitoring of the implementation of the Zvw-pgb the lead times of proceedings in the SKGZ,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Dik-Faber and Mr Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-49]]
ParlaMint-NL_2016-02-09-tweedekamer-29.u17	I've got two more motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a legal basis for a Zvw-pgb is regulated;]] [[Whereas health insurers are critical of the feasibility of the pgb;]] [[Considers that the choice interview, as well as house visits, contribute to the feasibility of the Zvw-pgb;]] [[further considers that health insurers with home visits can provide support to budget holders in organising the Zvw-pgb;]] [[calls on the government to encourage health insurers to invest time in the Zvw-pgb by making more home visits,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-50]]
ParlaMint-NL_2016-02-09-tweedekamer-29.u18	With my final motion, I want to take away the cold feet of health insurers. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Zorgverzekerings Nederland (ZN) considers that anchoring the pgb in the Zvw is not an end in itself;]] [[noting that ZN is concerned about the way in which the Zvw-pgb is currently being set up;]] [[Considering that the self-direction, which clients with a personal budget can obtain about their care, is of great added value within the Health Insurance Act;]] [[considers that when DSW is well able to implement the Zvw-pgb, other health insurers can do the same;]] [[calls on the Government to promote the exchange of best practices among health insurers, including the experience of DSW,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-51]]
ParlaMint-NL_2016-02-09-tweedekamer-29.u19	Mr. Chairman. For the sake of completeness, I would like to point out that Mrs Bergkamp also has my motion on part No. 47 signed off on it.
ParlaMint-NL_2016-02-09-tweedekamer-29.u20	We've added her name to it by now. I call Mrs Voortman.
ParlaMint-NL_2016-02-09-tweedekamer-29.u21	Mr. Chairman. I thought Mrs Bergkamp would sign that motion, as we have always drawn a common line with a large number of parties. Although it is a welcome fact for GroenLinks that the personalised budget is finally enshrined in the Health Insurance Act, my group has left a hangover to the first term. Instead of guaranteeing the patient's direction and freedom of choice, the freedom of the health insurance provider seemed to be at the forefront of this Secretary of State and the VVD. In the meantime, the Labour Party has joined. That is sad for all those pgb-holders who have followed this debate with excitement. The fact that some 20 amendments have been tabled to a relatively small bill, most of which relate to improving the position of the budget holder, should be a sign to the Secretary of State that he is not moving in the right direction. However, he does not want to improve the position of people until there are signs. In the eyes of GroenLinks, the experiences of the past year should be sufficient. They should be a good reason, but unfortunately the Secretary of State does not have enough. In his view, the evidence is only there when a monitor arrives; it arrives in April. That can only be a reason, but that is still unclear. As far as GroenLinks is concerned, the last year has shown that we really need to strengthen the position of the budget holder. The combination of care in kind and the personal budget has not yet been properly arranged. Insurers impose too high requirements to limit access to the pgb as far as possible. GroenLinks fears that with the current bill and the coalition's drafting, the personal budget in the Health Insurance Act will become a death home construction. We want the rights of budget holders to be properly regulated in advance; we do not want to repair afterwards, because it is also unclear when the measure for the Secretary of State will be full. Legal certainty for budget holders will only benefit from a law that clearly sets out what they can count on from their health insurance provider and where there is as little distinction as possible between health insurers and between insured persons. That is why, together with the PvdA, we have the amendment to item No. 23 submitted. This amendment brings together, as far as possible, the provisions on the personal budget with those in the Long-Term Care Act, so that access in the various laws is as equal as possible. There are insurers who think this is an important addition. I really do not understand why these criteria should suddenly be banned from the coalition's law. I have listened to the objections of the Secretary of State and I have amended the amendment. The provisions that the personal budget is paid as an advance and that the amount of the pgb is fixed have been deleted in the new amendment. I have also responded to the State Secretary's objections to the administrative burden on insurers with this new amendment. In the opinion of GroenLinks, this also responds to the concerns about the administrative burden on insurers and the freedom to follow their own procedures, but remains the possibility to improve the position of budget holders. In addition to this amendment, I have also tabled an amendment to prevent the organisation of the market in healthcare from applying to care purchased with a pgb, but I have taken into account the comments made by the SP, among other things. That is why I am withdrawing that amendment.
ParlaMint-NL_2016-02-09-tweedekamer-29.u22	The motion for a resolution (Doc. 21) has been withdrawn.
ParlaMint-NL_2016-02-09-tweedekamer-29.u23	GroenLinks' concerns that the Organisation of Health Organisation Act or, for example, the obligation of a complaint scheme under the Quality, Complaints and Disputes Act may hinder small individual care providers do exist. I'll make a motion on that. In addition, I have a few other motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Health Care Organisation (WMG) Act and the Quality, Complaints and Disputes Act (Wkkgz) impose requirements on healthcare providers;]] [[Whereas these laws may hinder certain forms of care which can be bought in with the Zvw-pgb;]] [[calls on the Government, in consultation with Per Recht, to identify the bottlenecks of the Market Organisation Health and the Quality, Complaints and Disputes Act for care providers hired on the basis of a Zvw-pgb, and to take measures to remove these bottlenecks,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas for care based on, for example, the Wmo or the Long-Term Care Act, the combination of care purchased through the personalised budget and care in kind is possible;]] [[considers that this combination should also be possible for care based on the Health Insurance Act;]] [[calls on the Government to ensure that insured persons can also combine the personal budget and care in kind for care under the Health Insurance Act and take measures where it appears that insured persons do not have this possibility in practice,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a strong position of insured persons and budget holders is necessary for a sound implementation of the PGB in the Health Insurance Act;]] [[Whereas the Health Insurance Act differs from other health care laws relating to, for example, complaint schemes, objections or appeals and support for insured persons;]] [[calls on the Government to examine whether and how the relationship between budget holders and health insurers can be further strengthened;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the personal budget in the Health Insurance Act (Zvw-pgb) is only possible for care and care not accompanied by residence;]] [[Whereas other care claims in the Zvw-pgb Act may also be a possible purchasing method;]] [[calls on the government, on an annual basis, to assess whether the possibility of regulating care through the Zvw-pgb can be extended to other health care claims under the Health Insurance Act,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-52]] [[This motion was tabled by Mr Voortman, Mr Bergkamp and Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-53]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-54]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-55]]
ParlaMint-NL_2016-02-09-tweedekamer-29.u24	Mr. Chairman. I agree with the concerns expressed by the previous speakers. The only thing I would like to ask of the Secretary of State is a response to my amendment to item No. 43. We haven't had that yet.
ParlaMint-NL_2016-02-09-tweedekamer-29.u25	I'm assuming that's what's gonna happen.
ParlaMint-NL_2016-02-09-tweedekamer-29.u26	Mr. Chairman. Last week, with the PvdA, we had a majority in parliament to regulate access criteria in the law. Only the Secretary of State and the VVD didn't want that. Now there is an amendment from the VVD and the PvdA. In fact, we have very little possibility of regulating access criteria. I am very surprised that the PvdA suddenly needs a monitor to get access criteria. I think it's a luxury. We've been working in practice for a year. So why wait for a monitor? I also find it rather poignant, because the clients we are talking about could now have been secured by anchoring the access criteria in the law. Thanks to the VVD and the PvdA, however, that will not happen today. I have to say, I've really got a bad feeling about that. I do not know what happened in the time between the first part of the debate and now, but it is clear that the PvdA has been working for the VVD cart. I find that very disappointing. In order to limit the damage, I have just tabled a sub-amendment with Mrs Dik-Faber to link a deadline to the General Measure of Management. It needs to be there as soon as possible and we set 1 July as the date. I am also counting on the support of the PvdA for this, because I cannot imagine that people still have to be in uncertainty. I'm moving on to the real part of my text. If you are cognitively and motorly severely limited, have seizures or struggle with MS, you want to be able to make your own choices at what time you need what care. These people often cannot make those choices without pgb, because they are stuck with a fixed schedule of home help organisations. In this, flexibility is often difficult to plan, while especially in certain conditions and diseases flexibility is important to get control of your own life. The pgb in the Health Insurance Act is a must for D66. This started in 2013 with the motion of D66, GroenLinks and the Christian Union. There is now a legislative proposal before it, and I think it is a win, but the question was, of course, whether we dared to anchor the pgb fully in the law. Again, I am disappointed that at least this will not succeed in terms of access criteria, which is so important. The Secretary of State hasn't been able to convince us why we're not doing this. We'll do this in the Wlz, in the Wmo and in the Youth Act. Then why not with the health insurance companies? That is why I would once again appeal, in particular to the PvdA, to look at the other amendments tabled and, in any case, to support the amendment tabled by me and Mrs Dik-Faber in order to bring forward the General Measure as soon as possible. D66 has tabled an amendment to regulate the access criteria, the amendment in part No. 25. We still hope for the support of the other colleagues, if only because we make a statement together that as an opposition we were planning to settle this. We have tabled a number of other amendments to regulate customer support, to establish a dignified level of pgb and to allow a legal anchoring of the pgb in relation to care in kind. I also hope to support these amendments. I will make a number of motions in a moment. However, I would first like to ask the Secretary of State about palliative terminal care. I have not yet received sufficient answers to the question as to whether it is possible to obtain a pgb during this vulnerable period. I shall now read out my motions, of which I have tabled one together with Mrs Bruins Slot and Mrs Dik-Faber. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the concept of "planability of care" when applying for a personalised budget is defined differently by each health insurance provider and that there is uncertainty as to what should or should not be included;]] [[noting that "planable care" is still too often put forward as an argument for not allowing a personalised budget within the Health Insurance Act;]] [[Whereas it is necessary to define more clearly what is meant by planning of care, so that this will be the subject of consensus among both budget holders and health insurers;]] [[invites the Secretary of State to consult with Per Recht and health insurers to further develop the principles of planning of care, to apply them in practice and to bring them to the attention of interested parties, and to inform the House of Representatives before the summer recess,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are various types of charges (calculation rates, NZa rates, maximum rates) faced by the budget holder;]] [[considers that this jungle does not contribute to transparency for the budget holder;]] [[calls on the Government, in consultation with interested parties, of which at least health insurers, Per Recht and the NZa, to consider simplifying communication to budget holders,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bergkamp, Mr Bruins Slot and Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-56]] [[This motion has been proposed by the member Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-57]]
ParlaMint-NL_2016-02-09-tweedekamer-29.u27	Madam President. First of all, I would like to thank the Secretary of State for replying in the first term. We have already had a written round on the amendments. It helped, but there was still enough left. In addition, we were very curious about the issue of access criteria. Is that settled in an AMvB or not? Indeed, there was a strong and broad need to clarify the conditions as much as possible in the law or in the detailed rules themselves, i.e. the cases in which people can actually claim a pgb. At the eleventh hour we have now received an amendment from PvdA and VVD. Apparently they buried the hatchet and successfully smoked the peace pipe. It's useful to see what came out of there. For a moment, I thought it was some kind of sub-amendment to the Amendment No. 37 which Mrs Voortman and I have tabled and have changed. It is quite similar, also in terms of imposing the access criteria for a personalised budget in the Health Insurance Act (Zvw-pgb) at General Measure of Management. But when I put the amendments next to each other and look very closely, I see first of all the difference that, apart from "by" General Measure of Management, it can also be "forceful" General Measure of Management. Secondly, I note that Mrs Voortman and I spoke in our amendment about the conditions being laid down, but that Mr Potters and Mr Otwin van Dijk's amendment aim to lay down rules on the conditions. That's a subtlety that can make a difference. That is why Mrs Bruins Slot's motion may perhaps create further clarity. I think it is important that the AMvB clearly shows in what cases you can successfully claim a personalised budget and that this cannot be undone by additional requirements of the health insurance provider, otherwise legal certainty will not be sufficiently served. I think this remains an important point of discussion. Apart from this amendment, I am not going through the amendments tabled by myself and my colleagues for the time being. I repeat a question to which I did not have an answer in the first term. What about the pay-as-you-go in case of illness? Then who's responsible? Finally, I agree with Mrs Bergkamp's questions on palliative terminal care.
