ParlaMint-NL_2016-11-30-tweedekamer-9.u1	I would like to welcome the Minister and the Secretary of State for Security and Justice.
ParlaMint-NL_2016-11-30-tweedekamer-9.u12	I think we should ask each other here to be honest. Mrs Tellegen is talking about an additional 450 million. Does the budget of Security and Justice go up or down net over the years? There's been a billion cuts. Now there's some money coming up. You can't talk about extra money, can you? Then there's still just being cut back, isn't there?
ParlaMint-NL_2016-11-30-tweedekamer-9.u13	Words are being put in my mouth. I'm not talking about extra money. I have just said that we have taken on our responsibilities and that we have had a huge task. We all took it on us, including V and J. Where it could have come with money to close the hole again. I note that with this budget there is an additional 450 million for security. So, yes, we're in an upward spiral. We're coming out of a huge financial crisis. I have just listened very carefully to Mr Van Nispen's plea. It makes you spontaneously depressed. In the world he sketches, it's all trouble and misery, we live here in a banana republic and it's incredibly bad, on all fronts, which we're also looking at.
ParlaMint-NL_2016-11-30-tweedekamer-9.u14	This is very interesting. I have just made 15 constructive proposals to strengthen the rule of law and improve security. I am standing here to put a question to Mrs Tellegen of the VVD. The VVD is responsible for cutting back on Security and Justice in the last few years, but really hard. You did say... you just said it again in your answer: there will be 450 million euros. Then be honest. Tell the whole story. We're not in a rising line. No, we're in a falling line. The budget is going down every year, in total. I want us to be honest about that and to establish that with each other. I would also like to acknowledge the fact that the CDA, D66, the SP and other parties have forced the cabinet to draw out that extra money, because it really could not do so anymore.
ParlaMint-NL_2016-11-30-tweedekamer-9.u15	I don't know what Mr. Van Nispen is looking for. I said there was a mission that also applied to V and J. It applied to all ministries. That's the responsibility we've taken.
ParlaMint-NL_2016-11-30-tweedekamer-9.u16	Finally.
ParlaMint-NL_2016-11-30-tweedekamer-9.u17	That 50 billion mission is not a natural disaster that happens to you, but a political choice. It has been a political choice to cut back on Security and Justice so hard. So don't pretend that happened to us. Don't give up the suggestion that extra money will be added. That's not true. There's been a lot of cuts. That has been a political choice. The VVD continues with that, because no trend is reversed. There's no money. There's a little less money going off. That's the story.
ParlaMint-NL_2016-11-30-tweedekamer-9.u18	I'm going on. Mr. Chairman. Is that what we're dealing with? No, absolutely not, because safety is never finished. We want people to actually see it now. We are on the right track in many areas, but new challenges and new security risks are lurking. If it's up to the VVD, we'll continue the fight against terror and do everything we can to combat terrorism, jihadism and radicalisation in the Netherlands. If it is up to the VVD, authority must return to the streets, it is more but also better blue, and we must prepare ourselves firmly for the crime of the future. First of all, the fight against terror. I told you. Over the past year, Europe has been alarmed by a series of attacks. Where our neighbouring countries are only just beginning to take action, the Netherlands is at the forefront. There is a solid package of anti-terror legislation. The core is still: prevent jihad fighters from travelling out. They're gonna beat that, aren't they? Then prevent them from returning. For those who return anyway: lock them up and give them as little room for manoeuvre as possible. This reduces the chance for Dutch jihad fighters to return. The center of gravity is therefore increasingly moving to the home stayers. It is therefore even more important to tackle jihadists and potential radicalisation nests in our country. Over the past year, the VVD has been fighting for all kinds of measures to counter radicalisation and be ahead of it. For example, mosques where radical ideas are preached must be addressed. For example, funding flows from non-free countries to mosques in the Netherlands must be stopped in order to avoid radicalisation with large pockets of money. For example, the black list with names of hate imams can separate the chaff from the corn. We must do everything we can to bring about radicalisation in our country. That is why I am making a proposal here today. Last week there was an article in the newspaper about a mosque in Amsterdam. A police investigation is under way into two board members suspected of radicalisation and jihadism. When I read that, I thought, "What exactly is happening?" What kind of mosque is this? Do the visitors of that mosque know who these directors are? Do they even know what imam they're listening to? When I read a message like that, I'm worried. I think more needs to be done than we are doing now. The cessation of funding flows and the curate setting of a mosque is only the beginning. These are figures who stand with their backs to Dutch society. These are institutions that have a very different view of the Netherlands than the vast majority in our country. These are people who create fear and lay the foundations for radicalisation. You want to fish it out and tackle it. I'm getting to my point. We know the freedom of religion in the Netherlands and that is a great good. Politics is not about what is said in a church or in a mosque. Nor is it about the way in which a movement of faith is organized internally. But we're all about security. All religious movements in the Netherlands do have a form of organisation in which their predecessors are registered and often accredited. But this is not the case within the Islamic community in the Netherlands. Any Muslim can call himself imam. It is a liberal profession, for which no conditions, training requirements or criteria are required. Every imam in every mosque has free play. He's not registered anywhere. There is no authority that has ever officially said: you meet the requirements; you may perform the title imam. I think this is particularly a problem because every clergyman in our country, including an imam, can invoke the right to change. For example, if there is an investigation into funding flows, the imam can rely on the fact that certain information may not be used because it has a duty of confidentiality towards its followers. That would be entirely justified if an imam, like a vicar, rabbi, priest, lawyer or doctor, had an authority that could confirm that it was officially registered and therefore entitled to bear that title. But that is not the case for the imams in the Netherlands. The right to change is a great thing, but if you want to appeal to it, there must be something about it. We must prevent the title imam from being used as a cover. Like I said, the government isn't about faith issues. The only thing I can do from here is, for example, call on the Contact Body Muslims and Government to work on a form of registration. I would also ask the cabinet whether this issue can be taken into account in the revision of the right to change. I would like a reaction from the government on this point. In addition to terrorism, the issue of asylum and the unrest in the Middle East and Turkey have also led to a feeling of insecurity. These international issues lead to polarisation in our country and a division in our society. Unfortunately, this is also evident from the latest threat picture of the National Coordinator on Counter-Terrorism and Security. In addition to the threat posed by IS, there is a risk of extremism in our country, both from the left and right angles. Just think about that for a second. That's more than a worrying signal. It says something about how the flag hangs in our country. In this polarized context, the police work day in, day out for security in the Netherlands. That brings me to my second point: whether it is the fights around the arrival of azc's or the treiter vloggers and youth gangs that make streets and neighborhoods unsafe, it must be clear to everyone that this cannot be done. Boys of less than 14 years of age seriously affect people's enjoyment of living and sometimes they don't even dare to do a shopping at the local mall. My group has already spoken clearly on this subject: authority must return to the streets. In recent years, Rutte II has adopted numerous laws that contain instruments to act against criminals, assholes, football hooligans and vandals.
ParlaMint-NL_2016-11-30-tweedekamer-9.u19	I briefly referred to what Mrs Tellegen said about young people, sometimes less than 14 years old. Why does the VVD want to raise the criminal age limit?
ParlaMint-NL_2016-11-30-tweedekamer-9.u20	As far as I'm concerned, we don't want that.
ParlaMint-NL_2016-11-30-tweedekamer-9.u21	Then you need to look at the budget, because that is what it literally says. It is also stated in the answers to the written questions. Reference is made to the Annex to some note. Basically, it's purely a austerity measure to rake in money. So again the question: why does the VVD want to raise the criminal age limit?
ParlaMint-NL_2016-11-30-tweedekamer-9.u22	As far as I know, that is not the case. I know that there has been a WHO Youth in which this has been discussed. This is the subject of another bill from the Secretary of State. I do not know better than that my colleague Brigitte van der Burg is very critical of this.
ParlaMint-NL_2016-11-30-tweedekamer-9.u23	Finally.
ParlaMint-NL_2016-11-30-tweedekamer-9.u24	I refer Mr Tellegen to page 53 of the budget.
ParlaMint-NL_2016-11-30-tweedekamer-9.u25	Mr. Chairman. That toolbox is full. Local government has every opportunity to act and yet this does not always happen quickly and decisively. Too often they try to de-escalate, calm things down. That's what the thugs know that in the district of Burgemeesters in Maassluis scared the hell out of the people. That's what guys in Zaanstad know who threatened NS personnel and spit on bus drivers. The treacherous vloggers in Zaandam know that. The police must have every minute of the day and be given every opportunity to act, 300% supported by the executives and local government. When I say that authority must return to the streets, then the scum that terrorizes a neighborhood should not be given one millimeter of space. Then we should no longer be talking about double standards. Then no one should dance on the roof of a police car, not in Blaricum, but not in Zaandam. It must be clear that everyone is equal before the law, that you have to behave and that the same rules apply to everyone. It must also be clear who is in charge. The cops don't get messed with. We respect the cop on the street who's willing to risk his life for our safety. If he's gonna have to pull his gun, this cop deserves the proper legal protection. The VVD wants to protect the cop better. Peter van Zaalen recently said it nicely when offering a petition on this subject: there is a difference between policemen who have had to use violence during their work and criminals who do so. Where is the bill to settle this, I ask the Minister.
ParlaMint-NL_2016-11-30-tweedekamer-9.u26	Mrs Tellegen talks about the large toolbox that is filling the cabinet, apparently in the form of all kinds of new laws and measures that the VVD is very pleased with and proud of. That is the way for the VVD to increase security in this country. Think of the Law on Computer Crime III, the Law on Preservation, the Game Act and now again the redesigning of the right of change, the extension of the provisional detention without suspicion or the taking away of the Netherlands. The VVD constantly mentions all kinds of proposals, as proof that the Netherlands is becoming safer. The biggest issue, of course, is implementation in practice. We have often talked about this, but I do not hear Mrs Tellegen now. I think that is an important subject. Due to the way in which all kinds of information is handled, calls are not answered, e-mails are not answered and there are system errors... we have a lot of information that is easily available, not at the right moments. What will the VVD do about it? I think that's more important than all those big words, tough laws and new powers. We just need to make sure the base is in order.
ParlaMint-NL_2016-11-30-tweedekamer-9.u27	This reminds me of a little debate I had last week with Mr Verhoeven during AO Terrorism. That was right about this. That's what I said. First of all, measures are needed to be able to act. I note that a lot of justified measures have been taken. They are now in the toolbox of, for example, the mayor. That's how he can deal with radicalization. Implementation in practice is, of course, equally important. That's exactly the point I'm making here. We have passed a number of laws that make action easier, but now they must also be implemented in practice. And yes, then a telephone must be picked up and information must be properly shared; I fully agree with Mr Verhoeven.
ParlaMint-NL_2016-11-30-tweedekamer-9.u28	The VVD masks the fact that a lot of things go wrong in the base all the time. It is doing so by constantly saying: there has been a lot of money in this budget; we all have new proposals, new measures, new laws and new powers. However, everyone says that the threat has increased over the last few months. There would even be a possibility of an attack around the Lower House elections. That kind of thing is said, and at the same time we seem to accept it or we think we should do something about it, that at the most crucial moments there is no contact between the different services and the different organisations. That's impossible, isn't it? Then the VVD has to say something about that to her own minister, right?
ParlaMint-NL_2016-11-30-tweedekamer-9.u29	That's what I did. In fact, I remember a piece in last week's newspaper where I qualified the fact that that phone wasn't hired as "sucky." So I do not recognize myself in the image that Mr Verhoeven sketches here. It can, of course, have very far-reaching consequences if something like this goes wrong in practice at the time it matters. That is what we must continue to look at; I agree with Mr Verhoeven.
ParlaMint-NL_2016-11-30-tweedekamer-9.u30	But what is the VVD going to do in concrete terms to ensure that in the last few months that this Minister of Security is still responsible for all these organisations, there are no unnecessary system errors on that point? What is she going to do to make sure that the base is fixed, so that we know for sure that we don't have to read back in the next incident: we already had the information and it was already in sight, but the portal wasn't opened for a while, the phone wasn't answered or the mailbox was opened after the weekend?
