ParlaMint-NL_2016-11-23-tweedekamer-8.u1	I would like to welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-11-23-tweedekamer-8.u38	I was just thinking about whether your final remarks would all fall within the scope of the law, but I think it's possible. Clever.
ParlaMint-NL_2016-11-23-tweedekamer-8.u39	Mr. Chairman. This bill actually holds the middle between the VVD and the PvdA. That's pretty smart. The government does that all the time. On the one hand she puts something in the bill that is nice for the VVD, on the other hand she puts in something that is nice for the PvdA, i.e. the practical route and the obligation for municipalities to realize sheltered work. The government also announces that the two are consciously knotted together. It's fair that she mentions that again. As a result, however, we have to make haste to deal with both plans, because the practical route involves changes in the Tax Administration that have to be implemented by 1 January in order to keep it all viable. I understand the wish, also because it has been agreed with all the parties involved. At the same time, I get the feeling that we are now very soon back in the process of implementing legislation. Have we looked at everything well and is what we are doing well thought out? This requires careful treatment. That is why I would like to hear from the Secretary of State a reflection on how all this has gone, including with the parties in practice, and whether it should not be carried through too much steam and boiling water. I'm getting to the contents. We are very pleased with the practical route. In July of this year, a motion by myself and Mr Heerma to introduce such a practical route as soon as possible was still rejected. Now there's a ready-made bill and that's nice. In order to help people with disabilities to work, it is important that they be able to get into the target group for employment, because employers will have all kinds of advantages if they become employed. It makes it easier to get a job, even if you have a disability. So far it is in many cases necessary that the UWV then approves you. That resulted in clumsy situations, because the UWV assumes your theoretical ability to determine what you could earn. It is already possible to establish in practice what the exact wage value of a person is. But it can even lead to crazy situations that in practice someone has reduced wage values, but at the UWV does not end up in the target employment agreement. It is therefore a good thing that this legislative proposal provides for the possibility of establishing in practice whether a person falls within the target group for employment. I have just said that it is important that the practical route is in the Official Journal before 1 January. That is, of course, a route with risks, as it is now the last week of November. Suppose the First Chamber gets it on its hips. That doesn't happen often, but we can't rule it out. Perhaps the Secretary of State could reconsider exactly what will happen next. As a result, my question is about the premium discount, because I did not find the documents on this very clear. That is why I am once again asking whether the premium discount applies only at the start of new employment. On the practical route, I can imagine that the employment is already starting, assuming that benefits can also be expected which include once it is established that someone is entering the target group. Does it not make sense, then, to grant the premium discount even when the target group is later established for the job appointment via the practical route? So it can go in when the employment has already taken place and the wage value has been set. Otherwise, it is rather unattractive for employers to use the practical route, unless someone is supposed to test for a few months first, without employment. Or does the entitlement to a premium discount work differently in the practical route? What's the deal with that, exactly? Is there no inequality between the practical route on the one hand and the UWV route on the other? It will undoubtedly be my limited ability to understand exactly. That is why I thought I would ask just to be sure, so that it is clear to employers in particular. That seems to me to be the most important thing. I come to the obligation to achieve sheltered work. It is at the end of 2016 and that means that municipalities, on paper, should have achieved some 3,200 sheltered sites together. In reality, there are only a few hundred, if there are already a few hundred, divided into a few cities. That's just not good. But the obligation for municipalities to achieve sheltered work is a complex dilemma for the Christian Union. We've just had a decentralisation, leaving this to municipalities. A few years later, we put the reins back on. I would like a reflection from the Secretary of State on that. What went wrong here? I note that the Secretary of State has not really got a clue as to why municipalities do not carry out sheltered work. I am getting signals that many municipalities are opting for other solutions for the group that would be eligible for sheltered work.
ParlaMint-NL_2016-11-23-tweedekamer-8.u40	Mrs Schouten, fill that out yourself. Why do you think municipalities are reluctant to realize sheltered work? What are the reasons for that?
ParlaMint-NL_2016-11-23-tweedekamer-8.u41	Mrs Karabulut looks at me very angry. Well, let's take Tilburg, where the SP is in college. In Tilburg, they choose to offer daily spending, because it is cheaper. But when municipalities make agreements and receive funding, we also find it very realistic that they comply with these agreements and also with the funding they receive for them.
ParlaMint-NL_2016-11-23-tweedekamer-8.u42	I'm fine with this political game. I don't care if the SP is in college or not. The Christian Union has agreed to substantial cuts. The Christian Union has agreed to decentralisation. At the time, we proposed with GroenLinks to ensure that it became mandatory. You didn't support that. And now you're gonna blame me for having a college with the SP that doesn't? I'll tell you how it is, Mrs. Schouten. They just don't have enough money. We simply want decent jobs with a decent contract, including for people with disabilities. That means you have to take care of it right. Because it's not arranged properly, only a few hundred places have been realized. That's why, Mrs. Schouten. It would adorn you, and hence my anger, if you look more critically at your own decision-making and your own role.
ParlaMint-NL_2016-11-23-tweedekamer-8.u43	I always want to look critically at my own role. In this case, and that actually applies to a lot of movements we have made in recent years, we have given the municipalities the lead. We have done so in the full conviction that municipalities are much better able to assess what is needed at local level. I have just outlined that my dilemma with this law is also that we are going to take care of something more centrally, when you would really like local democracy to do its job. That is my starting point, and I believe that we have adopted all these laws. The municipalities themselves also signed the agreement. We didn't just do that. The municipalities have done the same. They have signed a total of 30,000 places, and they also receive funding for this. Then I do think that at some point we can make an appeal to them and say: listen, we have an agreement, you have co-signed and it is not realized. So what's going on? Some lectures probably choose to offer cheaper daily spending and thus help more people to find a place, but I wonder if those lectures themselves do not believe that these people should also have a contract, as the SP advocates. And what is the definition of "limited wage capacity" and "with few opportunities to make money"? I believe that Mrs Nijkerken-De Haan also indicated that. Apparently, there's a little light in there. I am now going to fill it out for the Secretary of State, who I think will reflect on it myself, but my ideal would have been to do so, and I still think that municipalities themselves are fulfilling their policies and agreements that we have made with each other. If they do not do so after repeated questions and calls, after I do not know how many administrative meetings, then there will come a time when we may have to draw it back to us. Is it ideal? No.
ParlaMint-NL_2016-11-23-tweedekamer-8.u44	Mrs Schouten has just answered the question of why municipalities do not choose to fill in that sheltered work: because it is cheaper. Then why do they choose to do that? Because the budgets are way too tight. Last year there was a deficit of 400 million. Those are considerable deficits. If you leave something to municipalities, you should also make sure that municipalities are able to comply with those agreements.
ParlaMint-NL_2016-11-23-tweedekamer-8.u45	I am getting a little ahead of my conclusion, but we can live with that obligation later because the Secretary of State has indicated that she is going to provide money. That is an important point for us. If we are going to send more here, we will have to enable the municipalities to do so. I note that the Secretary of State is also making money available for this.
ParlaMint-NL_2016-11-23-tweedekamer-8.u46	Then we are in complete agreement on that point. Then you can ask yourself the next question. We have discussed this Act of Participation in detail. At that time the proposal was on the table to make it compulsory to offer sheltered work. Couldn't we have decided that by then? That would have made sense sooner.
ParlaMint-NL_2016-11-23-tweedekamer-8.u47	Then I come back to the interruption I myself made to Mrs Voortman: this was an agreement from the social agreement. We have codified a lot of things from the social agreement here, because they were agreements between the parties involved: the employers' and employees' organisations. The workers' organisations who were later demonstrating outside have also made this agreement themselves. I always find that double to be faint. If they themselves make agreements that we have here in laws and regulations, they must also be so tough to acknowledge that they themselves made that agreement.
ParlaMint-NL_2016-11-23-tweedekamer-8.u48	Mrs. Schouten continues.
ParlaMint-NL_2016-11-23-tweedekamer-8.u49	I'm gonna go look for where I left off in the text.
ParlaMint-NL_2016-11-23-tweedekamer-8.u50	You've had a lot, too.
