ParlaMint-NL_2016-01-12-tweedekamer-10.u1	If he has stopped his phone, Mr Van Gerven has the floor first.
ParlaMint-NL_2016-01-12-tweedekamer-10.u12	This brought an end to the first term on the part of the Chamber. The Minister has requested a suspension so that she can prepare herself for the reply.
ParlaMint-NL_2016-01-12-tweedekamer-10.u13	I am happy to give the floor to the Minister.
ParlaMint-NL_2016-01-12-tweedekamer-10.u14	Mr. Chairman. The bill before us today is not very complicated. It's also a very limited bill. Let's not make it bigger than it is. It is a practical proposal that builds on what we have been doing since 2012. Why this bill? That is always an important question in order to be able to judge it properly. We have been looking for a solution to fund the anonymous supply of care that fits as well as possible within our healthcare system. Implementation by the Zorginstituut is a logical choice, as the Zorginstituut has an important part in the accessibility and affordability of Dutch healthcare. That's why we're letting the Healthcare Institute implement this arrangement. The amendment of the law is necessary in order to be able to invest this task at the Zorginstituut and to allow the funding of the grant scheme to run through the Zorgverzekeringsfonds (Health Insurance Fund). The financing of this kind of care belongs there. A firm anchoring of this concern is in place. Let me visualize it a little bit. You might be wondering who we're actually doing this for. For example, we do this for a teenager who is in trouble with himself and does not want to go to the general practitioner or the practical supporter of that general practitioner, because he is afraid that his mother will know in no time that he has a game addiction. The doctor can't tell you that at all, but that could scare the teenager. Then where is this teenager looking for help? He's often looking for help on the Internet. Mrs. Dijkstra already mentioned Grip on your Dip. That's one of those sites where he can end up. Think also of Alcoholdeboss.nl or Depression the boss. There are all kinds of sites where such a teenager can end up. Aren't people gonna find this help because they don't want to pay their own risk? You don't have to pay for your own risk with the GP. This is really about primary care. There is therefore no question of a suction effect. The point is that you don't want anyone to know that you have complaints or addiction and that's why you don't go to that POH-GGZ or GP. Then you start looking on the Internet. With this bill, we don't pay the Internet site. We don't pay for the information about it either. We pay purely for the intervention you can get through these sites. Is that gonna be justified? This is of course accounted for through an accountant, via IP addresses and screenshots. If you get a lower amount, it goes through the board. It happens neatly. The practice since 2012 shows that this is happening really neatly. In fact, there is also a refund. That's what happens neatly. The limit is 2 million, but we're well below that. Half of it is currently being spent. That's how it happened last year and the year before. So we're way under it. Then there's surveillance and security of the system. That's obvious. You all agree that it is not convenient for someone in this system to declare through health insurance. The state's attorney's office decides if you're covered by this system. The bill applies to those people who have received a measure of anonymity. They'll get a registration number. The providers can declare via the National Police, so no longer with the health insurance company. That's the idea of the bill. You declare it to the National Police and then it is paid out by Zorginstituut Nederland. In both cases, in the case of anonymous assistance and in the system monitoring and security, the Zorginstituut thus has the role of a grant monitor and is the independent implementing body of this scheme. Shouldn't care always be privacy proof? Yes. Patients' data should always be handled with care. This is also laid down in the Personal Data Protection Act. All laws also apply to this help. In regular care, the handler always knows his patient. This bill makes it possible to provide care to people who want to remain anonymous for their treatment. So the whole care is privacy proof, but that's not the same as anonymous. This bill regulates that anonymity. How does a healthcare provider demonstrate that anonymity is necessary? That's what questionnaires are for. We've had it since 2012. With those questionnaires, there is never really any complaint about this. The healthcare provider has to prove that he has a procedure to organise the intake properly. Providers have no problem with that, because those conditions already apply. Can the subsidy period go to three years to keep the administrative burden low? The grant to provide anonymous e-mental health is awarded annually to organisations. As a result, they are forced to provide good, effective care. We therefore call on each time to stay focused on this. Trajectories of care seekers are of limited duration, with only three to eight interventions. They'll be completed by that route in at least a year. I therefore see no need to do it for three years. This would also mean that no new providers could join, because three years is a very long period of care. There may be new insights that make you say: a new provider should also have a possibility. Why don't we invest it at the Zorginstituut Nederland? I hope I've made it clear that we are. The bill provides for both regulations to be deposited with the Zorginstituut Nederland (Zorginstituut Nederland). So that is also the answer to the question of the leak that may be there if it goes to the health insurance company. If a person is covered by the measure of anonymity, it does not go to the health insurance provider, because then the person declares himself to the National Police. It was asked whether I think it is sufficient that health insurers have complied. The point is, someone needs to get a registration number. The D.A. must therefore state that someone really must remain anonymous through the system. Then the person gets a registration number and then this law applies. If a person is not covered by the system and is not covered by it, but considers being untraceable to be very important, then arrangements can be made with health insurers. Apart from this proposal, agreement has been reached on this. These are included in the uniform measure vulnerable groups, which is part of the Code of Conduct Good Health Insurance of Health Insuranceers Netherlands. The insured person is responsible for reporting to the health insurance that there is a vulnerable person and to say: watch out for my data. In the records his address and place of residence will then be given the term "secret'. That is a signal for all employees that no information about that person should be provided. Third parties will see an empty field at "address." Customer contact staff should be well aware of the fact that information should not be provided from persons belonging to a vulnerable group. Of course, there is always a certain risk of unwelcome provision of address and residence data, for example in automated correspondence or because a human error is made. This does not apply to the people who are actually designated by the D.A. as anonymous, because they are given a registration number. This therefore concerns the group of people who are outside, but who do belong to a vulnerable group. How long does it take for someone to be admitted and how is one anonymity guaranteed from day one? We don't have a fixed term. We don't judge that either. Someone is covered by this scheme according to the one that already exists. So the D.A. is judging that, and of course we're not. That also assesses how long it is necessary and when it can be lifted. So this bill doesn't change anything. The PVV says: The Trimbo study shows that there are little shame and no thresholds in the case of mental problems, so why this bill? I am very pleased with the positive image presented by the Trimbos Institute. Moreover, I believe that there will always be patients who have feelings of shame, perhaps only in a certain part of their lives. Maybe someone isn't so embarrassed, but he doesn't want his parents to know if his family knows. With this bill, you can give substance to the possibility that, for whatever reason, you still have recourse to this scheme. Again, the POH and the GP are also accessible without barriers. So that difference isn't very big, only you're anonymous on this one. The 2 million-dollar limit is really set in this bill. So I don't see a sucking effect like that yet. The scheme has been in place for some years. We have also been spending half of the amount for some years now under the scheme. Why has a lower limit of one tonne and an upper limit of seven tonnes been chosen? In choosing to set a maximum and a minimum amount per healthcare provider, it has played a role in enabling healthcare providers using the grant to deliver a substantial volume, which would not cause too much fragmentation of the supply. So that's more of a different side. You also want to bundle it a little bit, so that there aren't a hundred small sites. You want sites in different sizes. At the same time, it was intended to prevent the entire amount available from being spent entirely by two healthcare providers. Originally, in the light of the VWS guidelines, the minimum amount was €125.000. When we cleaned up the subsidies, we established that soil everywhere in order to implement it. However, when assessing the applications for the grants for 2012 and 2013 this proved to be too high a threshold for several applicants. That is why we have adjusted that amount down to a tonne. How do we know a treatment is successful? Even if you go for these anonymous treatments, the goal is to get people back into regular care. You want to take the people who experience a threshold with this. For example, you don't want someone with a depressed teenager stuck in that depression to seek help. You want them to use regular care as soon as possible, because then you can build a treatment-patient relationship. Mrs Bouwmeester was wondering whether someone would have to make a choice for the office or for e-mental health. Very often it will probably be blended care, so a combination of that. To stay on the puberty's example: at least you want that teenager to have a treatment with whom he can build a relationship so that they can ask further questions. Where are you going? Are you in place here? Do you need much heavier help, or isn't that the point? This is precisely a way to guide people who are really looking for help to regular care.
ParlaMint-NL_2016-01-12-tweedekamer-10.u15	I had another question for the Minister about the previous point, namely the contracting of the providers of this concern. There are 8 to 21 potential healthcare providers who can make use of that grant. I am also looking at the administrative burden at an annual deadline, which the Minister is talking about. If you have ten to fifteen providers of this particular care, isn't that enough in terms of choice? Is it not possible to do this on a multiannual basis, with a view to reducing the administrative burden? That seems very practical to me.
ParlaMint-NL_2016-01-12-tweedekamer-10.u16	I did not choose to do so for reasons which can also be found in the contributions of a number of Members of Parliament. At the PVV and the VVD there are doubts about whether you should go this way. Aren't you gonna make it sucky? Due to the annual deadline, you have some control over that. If this has become a common whole, I can imagine that over time you will come to the conclusion that this way of caring has grown up so much that you can use longer deadlines for this. But precisely because several parties are wondering whether you should go this way, I think that annual deadline is very good. It is also a relatively young thing, which is not common and of which perhaps after a few years, when it is more settled, you can still decide to do it over a longer period of time.
ParlaMint-NL_2016-01-12-tweedekamer-10.u17	Can I conclude from this that the Minister says that perhaps an evaluation could consider doing it on a multiannual basis, given the practical experience we have gained?
ParlaMint-NL_2016-01-12-tweedekamer-10.u18	I am certainly prepared to look at how the flag hangs on that point and how things have developed. Further questions are asked how we know if a treatment is successful. Only treatments and interventions are eligible which are evidence-based and therefore have a proven effective approach. That's a condition for getting a grant. The applications are currently assessed by VWS. With the adoption of the bill, the assessment will be carried out by the Healthcare Institute. Then there is the question of how we know whether treatment is necessary. To register for treatment, the user fills out a questionnaire and the healthcare provider determines whether anonymous treatment is necessary during the intake. I too am in favour of e-mental health. I think it would be huge gain if it were to be more often combined with the treatments we already give. The question has been asked whether we should not discourage this 'anonymous'. Yeah, what we're trying to do with this arrangement is to get people who aren't looking for help because they don't want someone else to know if they want to remain anonymous for other reasons, as soon as possible, in that regular system, as you can only really see what care is needed in relation to the providers. The subsidy is specifically intended for those for whom there is a need for anonymity or who we otherwise miss if we do not offer this alternative.
ParlaMint-NL_2016-01-12-tweedekamer-10.u19	I am particularly concerned that this offer creates its own demand. People who need care and who are helped via e-mental health or anonymously, fine, but what about people who don't need care? Those lists are made very attractive. For example, I filled out a list this afternoon. If you drink one drink of alcohol a day, you're actually already an alcoholic and you need anonymous e-mental health. How do we prevent our own demand from being created by this offer?
ParlaMint-NL_2016-01-12-tweedekamer-10.u20	First of all, because I don't think it's very nice to do this. Otherwise, you could say it's incredibly nice. But why don't a lot of people at the POH talk? Because that's generally not seen as very much fun. So it has to be more of a necessity. Secondly, we've narrowed this down to 2 million. So it's a sucking effect? The scheme's been going on for three years. We need this law to be implemented by Zorginstituut Nederland. I could have let it pass; I wouldn't have had a law, but VWS would have had to do it all the time. Half the money just stays where it is. The providers even give money back, because you have to finish your treatment. So it's also intended that the healthcare providers check that you can't get better help in the regular circuit, whether you're in place. Is that being checked? Yeah, they have all kinds of methods to control that. That's what they've been doing for the past three years. We have the idea that this regulation is not being abused at all. We have narrowed the rules very much, in case people think they do see opportunities. Who's using it? Who's gonna benefit?
ParlaMint-NL_2016-01-12-tweedekamer-10.u21	As far as that hard limit is concerned, the explanatory memorandum states that a subsidy ceiling can be set annually by law. Is that the hard line? I cannot see that the law now provides for 2 million a year to be made available for this purpose.
