ParlaMint-NL_2016-11-02-tweedekamer-14.u1	Those who want to speak are present. I shall be the first to give the floor to Mrs Van Toorenburg.
ParlaMint-NL_2016-11-02-tweedekamer-14.u12	We have thus had all the speakers on the side of the Chamber. We wait a few more minutes until the rulers have all the motions.
ParlaMint-NL_2016-11-02-tweedekamer-14.u13	Mr. Chairman. The Minister will respond to the motion in part No. 90 on his behalf. Soon I will start with the Van Toorenburg/Van Helvert motion on piece No. 88. I regard this motion as a support for policy and would like to leave it to the Chamber, because this approach is already in the so-called HIC approach. So we're working on that. The call to report everything I want to support again. The Minister and I have recently had discussions with both trade unions and all transporters. They all underline that. This will therefore be given special attention in the near future. I can imagine that at some point, when we show how all these measures work, we will pay particular attention to them. Can I give you my word on that? Then I have a request to Mrs Van Toorenburg on the motion for a resolution on item No. 89. I'm very much in favour of double-humanization. That's one of the reasons for pulling the wallet. I have done the same with an amount of 10 million, including towards NS. We have done so because we do see that double manning on these risk lines is very important. However, they are already recruiting at the moment. It is true that that takes a bit longer, but it is also not so easy to get all the people you want to recruit right away. If Mrs Van Toorenburg could say that it should not be achieved for the first quarter but for the second quarter, then I can see that motion as a support for policy. The point is that in the first quarter it just didn't work out. That is not a question of unwillingness, because those vacancies are there, but they need to be filled in order. So if she were willing to turn the word "first" into "second," I think we'd get out of it.
ParlaMint-NL_2016-11-02-tweedekamer-14.u14	I think it is a very real request, so I will.
ParlaMint-NL_2016-11-02-tweedekamer-14.u15	In that case, I can see the motion as a support for policy and leave it to the Chamber.
ParlaMint-NL_2016-11-02-tweedekamer-14.u16	So it's up to the Chamber to decide.
ParlaMint-NL_2016-11-02-tweedekamer-14.u17	The Van Toorenburg/Van Helvert motion (No ) has been amended to read as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the double-humanisation measure on the train on risk lines and moments of risk has not yet been implemented;]] [[calls on the Government to endeavour to implement the double-humanisation measure on risk lines and moments before the end of the second quarter of 2017 and to inform the Court thereof,]] [[and goes to the order of the day.]] It seems to me that their submission is sufficiently supported. She gets no, was no. 89 ().
ParlaMint-NL_2016-11-02-tweedekamer-14.u18	Then I come to the De Boer/Hoogland motion on part No. 91. The applicants want to see black driving included in the registration. The Minister will say a few things about the system as such. We have an evaluation of the travel ban in mind. In it we look at what a joint registration and tackling of frequent black-driving might look like. I have already promised this in the debate in September. It is good to note that the penalties for black driving, which have also increased thanks to the Chamber, are the same everywhere. The system is decentralised and we are now fully committed to cooperation and abandonment. The tricky thing about this is that not all black riders commit violence, but people who commit violence often do black driving. That evaluation will be completed by the end of next year, and I would ask Mrs De Boer to wait for that. That's the way the carriers look at it as far as I know. I would ask Mrs De Boer to hold the motion because otherwise I would have to advise her against it, given the conclusion that it contains.
ParlaMint-NL_2016-11-02-tweedekamer-14.u19	At the end of next year it is fairly late for an evaluation. I can't even hold the motion for so long in this house. That is why I propose to the Secretary of State to turn it around and involve the motion, when it is adopted, in the evaluation.
ParlaMint-NL_2016-11-02-tweedekamer-14.u20	The point is that I need that evaluation to see what's wise in measuring. That's what this is about. So we don't disagree. We both think that we need to look further at what can be developed in common with regard to black drivers. Nor do we disagree that it might be wiser to let someone who often runs into a carrier get into trouble elsewhere. The question is whether it is really necessary to do so in advance. We're already working on that, so that's not quite ready. My request to Mrs De Boer is not to send me on this motion at the moment. However, I can try to finish the evaluation for the summer. That's gonna cut me off for six months.
ParlaMint-NL_2016-11-02-tweedekamer-14.u21	That's a big profit already. If we carry on like this for a while, then...
ParlaMint-NL_2016-11-02-tweedekamer-14.u22	No, this is it.
ParlaMint-NL_2016-11-02-tweedekamer-14.u23	I'll hold the motion, but let's see how it goes first. The signal's clear. We want a common approach to black riders who are equal everywhere, but the Secretary of State has already understood that.
ParlaMint-NL_2016-11-02-tweedekamer-14.u24	At the request of Mrs De Boer, I propose her motion (28642, No. 91). That is what is decided.
ParlaMint-NL_2016-11-02-tweedekamer-14.u25	Thank you for that. As far as dealing with black drivers is concerned, apart from the evaluation, I think it is appropriate to pay particular attention to this issue in the interim when it comes to reporting on this dossier. Just as I have just promised Mrs Van Toorenburg to do so with regard to the willingness to report. This is a subject which does not leave me alone either. We agree on that. The motion in part No. 92 relates to a complex issue. I have to dissuade her. We have a decentralised system of concession granting. This is what the local authorities are about. There is a reason why we agreed not to allow social security to be a means of competition. In fact, Mrs De Boer's motion does something on a few points that I say you should not want to do. Keep decentralised what should be decided on a decentralised basis, and let us not compete on social security.
ParlaMint-NL_2016-11-02-tweedekamer-14.u26	I saw the success of the motion on zero-emission buses. This motion is a bit in the same vein. It's decentralized, but see the success of that zero-emission bus motion. An agreement has been signed aimed at zero emissions in public transport. Following that motion, I thought it would be a good idea to take up this proposal for driver safety. I would therefore ask the Secretary of State to give a positive turn to this motion and try to do so. Perhaps next year there will be a beautiful chord, but with cameras instead of with zero-emission buses.
ParlaMint-NL_2016-11-02-tweedekamer-14.u27	There's a good reason why you can't. This approach to zero-emission buses was really an agreement with the local authorities. They intended to do something about this in common with us, with the carriers and with the bus builders. The issue of emissions is, in all cases, a national problem. Violence against bus drivers is of course a very big and in a sense also national problem, but here too we need to measure. The approach in one concession area does not have to be the same as in the other concession area. So I can imagine that in Almere or Zaanstad I would mention something quite different, perhaps many times more repressive than in some other places. In fact, Mrs De Boer is now saying that we are applying this "medicine" equally throughout the country. I don't think that's wise.
ParlaMint-NL_2016-11-02-tweedekamer-14.u28	Good. I suggest that we do not repeat the previous discussion entirely.
ParlaMint-NL_2016-11-02-tweedekamer-14.u29	So my judgment remains. I can, however, assure Mrs De Boer that I will continue to ask for attention in our conversation with transporters and with local authorities, as I have already done, and also the Minister for the whole phenomenon of threats, including bus drivers, because the recent attacks on them are, of course, just horrible. We have to fight that hard.
ParlaMint-NL_2016-11-02-tweedekamer-14.u30	Mr. Chairman. On that last point, I should like to echo the words of the Secretary of State for Infrastructure and the Environment. She said that any form of violence in public transport is unacceptable, whether it is directed against the people who work there or against the passengers, the passengers. The aim of last week's agreements with all the parties concerned is also to further strengthen and enhance social security in public transport. This can only be done through good cooperation. This can only be done if all the parties involved assume their own responsibility and if we help each other to do so in a good and efficient way. The package of measures contained in the action plan that we have sent to the Chamber shows that we are taking up this joint responsibility. As a personal note, I can inform the Chamber that the Secretary of State and I are working together on this issue seamlessly. Together, we are determined to reach good agreements with the parties concerned. It is very special that I remember our discussions with all the parties at the table. I'll come to the motion in part No. 90, by Mrs Belhaj. Let me say first of all that the background and the underlying idea of the motion are very appealing to me. One of the basic principles of the Action Plan is that it is very important for the parties to discuss with each other how they will inform each other about possible problem situations and incidents. Those conversations are taking place now, of course. As I said, it is also part of the action plan that action is being taken on this issue. The Secretary of State has already said this, even at previous meetings, about the usefulness and need of a joint registration system. The question is whether, as the motion requires, the police should, within six months, attach conditions to that one system or whether they should nevertheless opt for one specific system, such as TRIAS, with which that communication should take place. I'd say we shouldn't do the latter. Why not? Because TRIAS is one of the methods of talking to each other about problem locations and incidents, but there are many more. Maybe they're much more effective, too. There is no doubt that there must be an exchange of information between the police and transporters, but the police are currently using different forms of work to do this. I would like to leave the space to the individual units in order to give them a proper interpretation. I have promised Mrs Belhaj that I will inform her before the summer of how the police share information with carriers. I therefore come to the conclusion that I am referring to the motion in part No. 90 must be dissuaded.
ParlaMint-NL_2016-11-02-tweedekamer-14.u31	I understand the point that it is the question whether or not it should be TRIAS. That is an observation. Of course, it could be another system. But I don't really understand why the Minister doesn't say, "What a fantastic motion! I embrace her. This is exactly what I want, because then I can put my agents on the line. So support this motion, Room." I do not really hear a difference between what the Minister thinks and what my motion says.
ParlaMint-NL_2016-11-02-tweedekamer-14.u32	There's one big difference. I have indicated that there are many different ways in which information is currently being exchanged. The units make their own choice, in good coordination with the carriers. The motion says that it can only be done by one method. This is a new method, which should also be implemented within six months. I think that we can focus much better on the agreements we have made with each other: good information exchange and cooperation between carriers and then see how the police can connect them in the most efficient way. So Mrs Belhaj and I share the same point of view, namely that the exchange of information between carriers and the police is essential. As for the way that happens, I'd like to leave space to the units. So I'm sticking to my advice: dissuade.
ParlaMint-NL_2016-11-02-tweedekamer-14.u33	The vote on the motions will take place next Tuesday. I thank the Secretary of State. I also thank the Minister, but he can stay for a while. He's got some work to do tonight.
