ParlaMint-NL_2016-03-09-tweedekamer-10.u1	I would like to welcome the Minister for Economic Affairs.
ParlaMint-NL_2016-03-09-tweedekamer-10.u12	I am curious to see the Minister's reasoning not to change this. In the pieces he sent us, I don't read them. In the Guide proportionality it says that a fee is proportional if an entrepreneur who subscribes to a tender has to incur obvious costs. Yet this is hardly being done. That remuneration is hardly given. That is why there are noises, including among entrepreneurs, that there should be a generic tender fee. What does the Minister think about that? I am not saying that I am very much in favour of such a generic tender fee, but I am in favour of reimbursement of the costs incurred to participate in a tender. I would like to receive a response from the Minister on this point. The Commission of Procurement Experts has received a considerable number of complaints, but the number of court cases on procurement has not decreased. I also read in the committee's letter to her own evaluation that she uses little of the experts, for the reason that these experts are not in a position to write a verdict. Is writing a verdict, however, the purpose of these experts? Would it not improve the legibility of the committee's statements if the experts were more involved? In this way, not only the lodging of a complaint becomes accessible, but also the reading of the ruling. I am curious about the expected date of entry into force of this law and all the technical changes that the bill entails. Can the Minister indicate whether his tender platform has implemented the changes in time so that the three award criteria can also be used? I am still curious about the use of TenderNed. The Minister and I have often crossed swords about this in the past. Are economic operators and contracting authorities now satisfied with the use of TenderNed? In the first half of last year there was a significant number of malfunctions. In reply to my questions, the Minister replied that this improved in the second half. Is there still an upward trend? I understand from users that there are many complaints about the user-friendliness of TenderNed. For example, we are currently working hard to improve the knowledge and skills about TenderNed and about tenders with the employees of the service desk. Apparently, that knowledge isn't enough right now. There are also complaints about the possibilities that TenderNed offers, or rather, does not offer. Consider the possibility of holding a decision on an award between now and the end of the year, and the possibility of setting up cases that need to be filled in by default in each new call for tenders. As far as the latter is concerned, people other than the administrator can change things. All these complaints ensure that TenderNed users are not satisfied. The handling of complaints is certainly slow. How does the Minister view this? Is it true that some reported problems have not been resolved years later? This cannot be done, certainly not in the case of a system.
ParlaMint-NL_2016-03-09-tweedekamer-10.u13	Mr. Chairman. Every year EUR 60 billion is involved in the public procurement of products and services. That's a huge opportunity. The government can be launching customer; for the public and the president I say: a launching customer is a first customer that makes it attractive to invest in innovation and build confidence in a new product of business. The government can leverage the innovative capacity of business on societal issues. Public authorities can initiate social and sustainable change. The Dutch business community has a lot to offer the government, such as smart products and important services. It is important that every company has fair access to tenders. This also benefits the government. After all, the bigger the market, the more competition on innovative ideas and on price. It is also important that the administrative burden is low and that the process is transparent. It is also important for entrepreneurs to have a strong legal position if they feel disadvantaged. Last year the Procurement Act was reviewed. The tests give a mixed picture. We hear very positive sounds about the Guide proportionality. The burden seems to have fallen. However, we also see major shortcomings. Registration costs have increased, the share of SMEs in the award of public contracts has not increased and the application of the EMFI criteria.................................................................................................................................................................................................................................................. Why does the Minister leave aside the opportunity to improve these matters now, starting with the government itself? As every entrepreneur knows, you have to comply with the law. Then why don't governments do that? The ban on unnecessarily merging contracts, the cluster ban, is being violated massively. According to SMEs INFRA, last year's unnecessary clusters increased from 18% to 27%. I would also like to mention the example of the permanent maintenance of the area of the State of the West of the Netherlands South. My colleague Carola Schouten asked questions about this in Question Time last year. Clustering resulted in a single large contract that excluded SMEs in advance. How does the Minister intend to improve compliance with the rules, both in the Empire and in other governments? What does the Minister think of the idea of a supervisor who opposes these unfair procurement practices? I am thinking, for example, of an adoption chamber and an annual report. This could also be covered by PIANoo. I would like to get a response from the Minister on this idea.
ParlaMint-NL_2016-03-09-tweedekamer-10.u14	I have just heard Mrs Mulder talking about it, fortunately, Mr Bruins is talking about it now, and I will say something about unnecessary clustering. This is the unnecessary merging, unnecessary throwing into one pile of all kinds of, in fact, more individual tasks in the natural sense, so that small entrepreneurs no longer have a chance. We once tabled and adopted an amendment on this, and there were unnecessary clusters in it. That seems to be too soft, witnessing Mr Bruins' story. Would Mr Bruins be in favour of tabling an amendment that simply bans clustering?
ParlaMint-NL_2016-03-09-tweedekamer-10.u15	I think that by simply banning clusters, you might also give the business community difficulties. I think you need the word unnecessary. What you do need is an independent body that assesses whether something is unnecessary or not. Countering clusters should not lead to a fragmentation of super-small assignments if this is not necessary.
ParlaMint-NL_2016-03-09-tweedekamer-10.u16	Mr Bruins is quite right about that. I don't think it's right to cut up assignments. We have discussed this in detail the previous times when we dealt with this law. We can't and we don't want to. We just don't want the assembly to happen. I think there's a wide-ranging desire in the Chamber to resolve that. The word unnecessary has made it too spacious. Does the Christian Union agree with D66 that we should seek a solution to put an end to the clustering of these tasks and to the "mass is checkout" behaviour of municipalities and provinces?
ParlaMint-NL_2016-03-09-tweedekamer-10.u17	I am prepared to look for a sensible text, in which we could make this intention visible.
ParlaMint-NL_2016-03-09-tweedekamer-10.u18	If you are looking for a text, take my suggestion to use the word "merge" instead of "clustering."
ParlaMint-NL_2016-03-09-tweedekamer-10.u19	Thank you, Mr President, I am very pleased with that. I will see if I can apply that in the text online. And then online is another English word of course. How does the Minister view the emergence of purchasing and purchasing centres? In practice, this leads in particular to unnecessary aggregation of tasks, for example by municipalities. How does he reconcile that with the legal definition of the central purchasing body? Then there is the administrative burden. The Dutch uniform self-declaration will perish and a uniform European tender document will return for it. The Minister also acknowledges that this European standard is detrimental to the burden of the entrepreneur. So that's not an improvement, it's a deterioration of the law. Why can't we continue to apply the Dutch declaration of our own within the European rules? I would like to challenge the Minister to further reduce the administrative burden. Can he promise that the new law will lead to lower administrative burdens for entrepreneurs and public authorities? In this context, how does the Minister look back on the frequent and unnecessary application of EMFI criteria? Has this not led to much more unnecessary bureaucracy, whereas in the end it was simply awarded at the lowest price? Look at the increased bid costs by 63% due to the use of EMVI. The Minister himself concludes in his letter that by sly application of weights, the award criterion best price-quality ratio in practice also amounts to the lowest price. The Christian Union agrees with the Minister that this is not a good implementation of the law. We also agree with him that there is no need to amend the law on this issue, but implementation needs to be greatly improved. Now, in practice, the tenderer often wins with the lowest price, but the administrative burden for entrepreneurs has increased considerably, because a lot of paperwork is needed to underpin the quality that hardly counts in the weights. The Commission of Procurement Experts has argued that the valuation of the qualitative aspects of tenders should have a significant impact on their ranking. I would very much like the Minister to maintain this, at least in the case of public procurement. The Christian Union calls on the Minister to do more on this issue than on information. Contracting authorities should seriously address the best value for money award criterion and should not be afraid to choose and motivate another award criterion. The Christian Union is in favour of the "best price-quality ratio unless" principle, even now the award criteria are extended to include the cost-effectiveness criterion. My name is therefore under Mr Gesthuizen's amendment. The Christian Union has also strongly insisted on the establishment of the Commission of Procurement Experts and on sufficient financial resources to provide rapid clarity for entrepreneurs. Entrepreneurs do not quickly go to court, so an independent ombud function is very important. The evaluation shows positive results, but does the committee have sufficient financial resources to make a quick decision? The signals about this are worrying. I also hear signs that some governments are simply ignoring the statements made by this committee. How does the Minister feel about that? I would like to hear from the Minister how he intends to strengthen this committee. The use of all kinds of new procurement procedures, contract forms and EMFI criteria raises the costs for entrepreneurs, we hear. In the Guide on Proportionality and in the Procurement Regulations on Works, it is stated that there should be a tender fee for the Entrepreneur in case of significant costs. Does the Minister wish to raise a proportionate remuneration among tenderers? And should this not be established much more uniformly, for example by a sharper text in the Guide Proportionality? I'd like a response. In 2012, that guide was anchored in the law by an amendment by ChristianUnion and VVD, the Schouten/Ziengs amendment. Mandatory application of the Guide ensures greater transparency and fair procurement processes. Companies are positive about it. It counteracts high grounds for exclusion and eligibility requirements. If the turnover requirements are high or the requirements for reference projects are exceeded, a large part of the market cannot compete in advance. SMEs are particularly affected by this. In 2012, the legal guarantee was applied to contracting authorities. The Christian Union and the VVD now want this to apply to companies from special sectors such as ProRail, TenneT, NS, Schiphol, the NAM and Port companies. This ensures greater clarity and a level playing field. At present, almost half of the special sector companies use the guide. The Minister is positive about that, but I say that the other half do not yet use the guide. I therefore hope that the Minister and the Chamber will support this amendment. I am currently being harassed by special sector companies not to table this amendment. That confirms to me that it is therefore necessary to submit it. If the guide were to be used, there would be no problem with this amendment. The new law should also provide more opportunities for innovative and sustainable procurement. I note that, above all, the existing practice is laid down by law. There are certainly positive elements in that. For example, labels can be more explicitly included in the procurement procedure and more requirements can be imposed on the environmental impact of production methods and the degree of recycling. Is this gonna go far enough? The Christian Union believes that public procurement offers the right opportunities for innovation and sustainability. How is the government going to make more work of sustainable purchasing? Innovative procurement should be the standard. Business is already far beyond the level of government. The possibility of market consultation should be applied more frequently. Not to close the tender from above, but to give businesses the opportunity to come up with new solutions. Would the Minister like to set objectives in the field of innovative procurement? The new innovation partnership makes me very excited. A product can be developed exclusively from the development phase and then purchased by the government. This can also offer opportunities for local pilots, for start-up projects with SMEs. Partnerships not only need to be public-private, but can also develop between companies. Waterboards are already working on this. Does the Minister also see the Innovation Partnership in this way? Does he want to work with pilots in which SMEs collaborate in procurement in order to come up with innovative solutions? Let us use this debate today to reduce the administrative burden on business while at the same time using the government as a driving force for innovation in Dutch business. This is the only way to achieve more than it costs.
ParlaMint-NL_2016-03-09-tweedekamer-10.u20	Mr. Chairman. A new European directive provides for a legislative amendment to the Procurement Act, which we are discussing today. The amendment is aimed at these European adjustments and not at the principles of the law itself. An in-depth review of this was announced in the letter in 2019, including at EU level. I'll come back to that later. The Labour Party supports the aim of strengthening SMEs' opportunities in competing for public procurement. I believe that there are few subjects discussed in this House that are so enthusiastic and supportive of Chamberwide. Yet there are still many monkeys and bears on the road and there are many problems. As far as we are concerned, tenders should be something other than a race to the bottom at the lowest price, whereby standards that we agree on in other areas of legislation are trampled on. We want to stimulate innovation and it must not be hampered by a bureaucratic organisation of the market from Brussels. Procurement in the context of the reception of asylum seekers, where local support is more important than ever, should focus on active participation by local and regional businesses. Too often we hear that the opposite is the case. From this point of view, and also in the light of the extensive written preparation, we still have a number of questions and concerns. We'd like to hear the reaction from the cabinet. The Minister states that contracts can be delimited and divided into lots by the Guide Proportionality. As a result, there would be more opportunities for SMEs. However, the number of SME awards is lagging behind. We are very concerned about that. Can the Minister say again how he thinks this will improve in the coming years? What is the policy of the Empire itself? Look at the tender the tax authorities have made towards the mail. That's gonna be a race to the bottom, too. What is the position of SMEs and staff? How does the Ministry of I and M implement the principle of proportionality in the procurement of infrastructure works? I and M are one of the biggest purchasers and all we hear is that there are constantly clustering and merging large tasks where the opportunities for SMEs are extremely small. Can the Minister state what is going on with the Ministry of Defence when it fills in its task in this matter? In the case of tenders in Middelburg, we recently saw that Defense chose the so-called DBFMO. These are contracts that require, among other things, 25-year maintenance contracts. Therefore, they are often too large, too complex and therefore unattainable for local SMEs. What's the Cabinet gonna do about it? Many believe that tenders at the lowest price are still too common. We are still concerned about procurement according to the EMFI principle, which ultimately only leads to award at the lowest price. My colleagues have already pointed this out. The legal adjustments seek to put this into perspective. Can the Minister indicate whether the planned measures are really going to give sufficient opportunities to SMEs? I would also like to reflect on the role and commitment of the government itself. I have mentioned a number of departments, and according to the Labour Party, there is a world to be won. The Secretary of State of the United States of America, Mr Van Rijn, has recently decided, as we read in the media, that in the case of procurement, for example, a decent remuneration for the staff, for example, based on the frameworks in legal agreements, for example in a collective agreement. Therefore, one should not rely on what the provider subscribes to, but on at least the legally agreed framework. That must be led, according to the Secretary of State. Will the cabinet accept this proposal in respect of many other sectors? Shouldn't this have been included in this law, too? I'd like to hear a response from the Minister. There are also concerns about the procurement opportunities of municipalities in the context of the reception of asylum seekers. The COA works with tender contracts that favour nationwide companies. As a result, local businesses are on the sidelines or can only participate as subcontractors. Can the Minister say how municipalities, with this law in their hands, can possibly take up procurement for refugee shelters themselves? This could be done in conjunction with the COA. Can municipalities simply take the initiative? I'd like to hear a response. Concerns have been expressed about the fact that once won tenders are forced into a format that should hardly be allowed to deviate from during implementation. As a result, innovation during the duration of the contract is inhibited or made impossible. In fact, changing the approach should lead to a new call for tenders, as appropriate, according to the rules. Can the Minister indicate how, within the framework of this law, innovation leading to still unknown solutions or products will still be able to take place? This should be done, but now there is a bureaucratic brake which would prohibit the subsequent development of such products. Is there a need for an amendment? Or does the Minister say that with this law in hand, that is not necessary and that we give sufficient room for innovation during the process? Does the Minister therefore consider that there is sufficient room for this after the tender has already been completed and has been awarded to an implementing and developing party? I still have a few loose ends. My colleague Vermeij, together with Mr Van Weyenberg, tabled a motion during the consultation with Social Affairs on tackling labour market discrimination. The operative part of that motion calls on the Government to examine how exclusion grounds for demonstrable labour market discrimination can be extended in the Procurement Act. The government is also invited to look at a greater role for the SZW and the Human Rights College. Can the Minister state the state of play regarding the implementation of this motion? There will also be adjustments in which fortunately the workings of the approach to dummy structures will be discussed more often. It is clear that this will also often apply to public authorities and registration companies and that it will have to be monitored. To what extent does guaranteeing the False Constructions Act in the Procurement Act encounter problems with European regulation? Is it true that European regulation makes the lowest price the only award criterion that you can make compulsory? Can social award criteria and sustainability criteria be included, but can they not be made mandatory as the sole award criterion? I would like to hear a response to this and I would like to hear a clarification of this somewhat technical-legal question. Is it also possible to amend the law to ensure that the Empire makes sustainable purchases in its own procurement procedures? A number of motions have now been adopted in the Chamber for this choice, but this has not yet been translated into policy. Can we do that through this law? Or should this still be laid down in other regulations? I'd like to hear a response to this. At the moment, Mr Elias is in the chair. It will not be unknown to him that there has been a Elias committee. I hardly dare to summarize the conclusions of that committee in two or three rules, because then I am sure the President will call me to order. Still, I'm gonna try. The Elias Commission has shown that it has often gone awesomely wrong in procurement concerning the design of ICT. In what way have the findings of the report of the Elias Commission been reflected in this law, I ask the Minister through the chairman. Maybe I'll ask the Minister on behalf of the President, but I can't say. Colleagues have already pointed out the high costs of tendering and tendering. We want a lot, the books are getting thicker and more complicated and the costs are flying up. We are very reluctant to ask for tender fees, because before you know it, there are offices that are going to specialise in registrations and get fees for them. At the same time, we see that the costs go through the roof. How are we going to strike a better balance in this, so that it remains interesting for SMEs to sign up for tenders? My colleague from the Christian Union has already pointed out that our own declaration, as we have it under Dutch law, must be exchanged for a European model regulation, which only leads to higher costs. Why is that necessary? Haven't we been paying attention in Europe? Can't we still deviate from that? Why can't we just organize that in the Netherlands? I pointed out at the beginning that there is an evaluation by the Commission of the basic principles of this Procurement Act. That's what we're looking forward to. How are the Member States involved in this process? In what way are Minister and Ministry already involved in this process? At what stage is the House going to debate this? We believe that this will be an in-depth assessment. It seems that we all want to support SMEs here and that we agree on all kinds of charities, but when we talk about tendering, we're going to create the most complicated and bureaucratic market organisation, while it's very simple: we want a number of things like Chamber majority, whether it's sustainable buying or other issues. Then we make it incredibly complicated with each other to achieve that goal through our Procurement Act.
ParlaMint-NL_2016-03-09-tweedekamer-10.u21	Mr Monasch has said very valuable things about the conditions under which it is outsourced and the people who carry out a contract for a contractor. I'm very happy about that. But I am also interested in the PvdA's view of this government's intention to allow special contracts to be awarded to SW companies if there are not 50% but 30% of social jobs within such companies. How does the Labour Party feel about that?
ParlaMint-NL_2016-03-09-tweedekamer-10.u22	I would first like to await the Minister's response. Then I will return to that in second place.
ParlaMint-NL_2016-03-09-tweedekamer-10.u23	Agreed.
ParlaMint-NL_2016-03-09-tweedekamer-10.u24	I was impressed by Mr Monasch's speech. A while ago there was another spokesperson of the PvdA, who felt that when it came to tenders, companies apparently "wanted to eat out of that big ruffle of the government." Then I wondered, "What's going on here?'. What am I talking about? To so-called tendering. There is currently an initiative paper in the area of the Market and Government Act, from the hands of D66 and VVD, which has a direct relationship with the Procurement Act. In fact, we are seeing a huge movement in the field of procurement. What does Mr Monasch think of the proposal to abolish the provision of general interest, so that companies are given much more opportunities to participate in public procurement?
ParlaMint-NL_2016-03-09-tweedekamer-10.u25	I would like to start a fantastic debate on this with Mr Ziengs, but there is a great deal behind this. His colleague Verhoeven knows that the concept of "general interest" in the context of housing has all kinds of consequences. I would like to comment on that, but I think it would be wise to have that discussion at a later date. I also consider the general interest to be of great value. In the housing of the people, very valuable things have happened that were never realized by the market. Let's look at that from case to case.
ParlaMint-NL_2016-03-09-tweedekamer-10.u26	I will not go into any further details. However, if Mr Monasch had to opt for procurement or procurement, what choice would he make?
ParlaMint-NL_2016-03-09-tweedekamer-10.u27	You know, we all go away from our portfolio often to visit companies. In recent times, in the context of my new spokespersonship, I have been visiting a whole series of companies. A temporary agency was concerned, in particular, about the policy of a municipality, where all assignments in the framework of temporary agency work or work to re-activate people are placed at a very large agency, which means that that agency is no longer involved. That is the kind of signals that I think are far more important at the moment. Again, I would be happy to enter into the debate on tendering or contracting, but let us do so when the legislative proposal is in place. I think it is wonderful that my colleagues have taken that initiative, but let us have the debate at that time.
ParlaMint-NL_2016-03-09-tweedekamer-10.u28	I have nothing against debate in this Chamber. So go easy on yourself.
ParlaMint-NL_2016-03-09-tweedekamer-10.u29	That's how I know you, Mr. Chairman.
ParlaMint-NL_2016-03-09-tweedekamer-10.u30	I see the enthusiasm on this subject with you, Mr President, and also with Mr Monasch and Mr Ziengs. I would therefore like to put a short question to Mr Monasch. In fact, he had a good argument about the position of SMEs and employees. He doesn't want a race to the bottom, but a real race to the bottom threatens to arise because many municipalities, based on the open article on general interest in the Market and Government Act, do a lot of tasks themselves instead of giving them to SMEs. What does Mr Monasch think of this in general terms? In his own speech he said that SMEs should be given a good chance.
ParlaMint-NL_2016-03-09-tweedekamer-10.u31	That will really vary from one case to another. We have had wonderful debates with each other on housing. We both know that much of that would not have been realized if we had left it to the market alone. At the same time, we sometimes see market failures where we think: why doesn't the market pick it up, shouldn't the government? However, the government is not allowed to do so. It is therefore a rather complex matter. For me, it is not a matter of principle. I think we should look on a case-by-case basis where we can look for the best performer. My experience is, but I also speak here as a former entrepreneur, that it is better to leave it to business in general. I do want to make good agreements about this, because it must not be the case that the implementation then becomes a race to the bottom or that only the low-hanging fruit is done by business. Balance is therefore extremely important. You need to keep a close eye on market failures. We stand for the realization of things in the public domain. If the market doesn't work, we're gonna do it as a government.
