ParlaMint-NL_2016-12-20-eerstekamer-14.u1	I give the floor to the Minister of Health, Welfare and Sport.
ParlaMint-NL_2016-12-20-eerstekamer-14.u12	I don't know. All the costs you make, you make for the individual. We have made collective arrangements to cover these costs. So we see that where a person may be less inclined, on the basis of his income, to insure himself for these costs, municipalities capture them in collections.
ParlaMint-NL_2016-12-20-eerstekamer-14.u13	The minimum range is 110% to 120%. Some municipalities take 130% of the minimum to make arrangements. In the quickscan, I think it is written that the group of 130% and above sees a number of bottlenecks. However, it remains an individual problem. My question was also when something becomes such a social problem that we have to move in one way or another. Perhaps the dentist is the wrong example, but I also mentioned the socio-economic health differences. When will these differences become a theme that we say we should organise from within the system and when will we leave this issue with the individual? The minister says that people can be insured individually for the dentist. That's right. Apparently, there's a movement that people don't go to the dentist anymore, for whatever reason. The costs will most likely play a major role in this. But when will that become a collective problem?
ParlaMint-NL_2016-12-20-eerstekamer-14.u14	I do not know, because there are a lot of people not insured who pay for it themselves, because insurance for those people is ultimately less lucrative. Why that 20% isn't insured, I don't know. The reasons for this will be very diffuse and different. The Secretary of State will come back to the socio-economic health differences, but I can tell you that there has been an incredible amount of action in this area in the last four years to reduce these differences as a society, in which everyone plays their own role, not only the individual, but also the whole skin around the individual, in order to make it easier to live healthier and make those healthy choices.
ParlaMint-NL_2016-12-20-eerstekamer-14.u15	Finally, Mr Don.
ParlaMint-NL_2016-12-20-eerstekamer-14.u16	My final point, Mr President. The minister just said, "I don't know." I can also imagine her saying: you have a phenomenon at some point and if that grows, it becomes a social problem. Somewhere there is a turning point, but the Minister cannot give a clear answer. I understand that, because that is, of course, difficult to assess. Anyway, we're gonna see.
ParlaMint-NL_2016-12-20-eerstekamer-14.u17	In fact, I would argue that care for the lowest incomes has become more and more affordable over the last ten years. That care has become €90 cheaper compared to ten years ago. I think there are very few things in society that we can say have become cheaper in the last ten years. So together we have built a very social system, on the basis of which the people with the broadest shoulders bear more burdens than the people with the narrow shoulders. This has been worked out to the full in the healthcare sector. Mr Don wondered why the care agreements were more successful in terms of efficiency and yields than in terms of quality agreements. I think that the care agreements initially provided administrative calm and financial clarity. When I arrived, I had my first conversations with some professional groups who were very dissatisfied with the way it was going. I also had talks with the hospitals, who said: how can we run a hospital when we have delivered what has been contracted and afterwards the minister comes around with the hat to retrieve everything that has been exceeded? That's not the way to run a hospital either. That has been the reason to sit down at the table with each other. That is what led to the main agreements. These basic agreements have confirmed and supported the role of insurers as purchasers on behalf of the insured. These agreements have reduced the growth of healthcare expenditure to the level of economic growth. They are now about equal, which means that care is sustainable. That's no reason to sit back, because with the prime minister leaning back, you'll see that it's going to break up again. In any case, I think it is an enormous achievement of the field, with which I have concluded the main agreements. The field has delivered more care for less money. The people in the workplace did that in the end; all I had to do was sign it. I think they really deserve to be congratulated on that. Incidentally, I do not see the contradiction between affordability and quality. The quality of care in the Netherlands is high. Good quality also means less recovery operations, more appropriate use, less waste and combating fraud. Within the main agreements, we have made a lot of agreements that were ultimately intended to generate the proceeds that we had to generate with each other. Those were also often substantive conversations. Is that better to do? Yeah, I think we could do even better. I would therefore recommend that we do so in a more concrete and even better way next time. That the proceeds do not relate to the content of the agreements, I really do see differently. We have also indicated this in the Court of Auditors' report.
ParlaMint-NL_2016-12-20-eerstekamer-14.u18	Mr Don, briefly on this point.
ParlaMint-NL_2016-12-20-eerstekamer-14.u19	I'll be brief. I read the Court of Auditors' report. I also see the efforts made by the field, in particular the task of keeping to the financial commitments. The financial commitments are inevitable; they must be adhered to. They are also recorded, and they are corrected if they are not respected. However, if you look at the substantive agreements, you will see that three topics have been discussed which are worth pursuing. We are therefore seeing an imbalance between the financial framework, which is tightly regulated and hastily binding, and the substance of which is said to be working together on this. I see that. I think the Minister is more inclined to say that we are sticking to the financial commitments, and we are going to do our best for quality. That's the contradiction I was trying to make clear.
ParlaMint-NL_2016-12-20-eerstekamer-14.u20	If you look at the way in which the agreements have been reached and the agreements that have been made on them, then I think that there has been a great deal of commitment to the substantive agreements. I refer to the concentration of complex care that is in it and to the substitution, so more in the first line. What do I learn from these basic agreements? What would I do myself? I think I'd put more result commitment into it. You can make substitution agreements and say: you have to substitute and we are setting up monitoring, as we have done now, because money follows care. Perhaps we should say at some point: we want it to be faster, so care will follow the money. We then simply take things off the frame and they go to the first line, for example. Do you see that happening in practice? Honestly, I do. I am looking, for example, at the contracts currently being concluded with hospitals such as Bernhoven, where over the years a decrease in multi-annual contracts is really a shrink, which is opposed to a build-up of care in the neighborhood. This may have been a little difficult to get started, but it certainly has been done. Can we learn from it? Yes. That is actually what Mr Don says. Can we be tighter on that? Yes. I think we can do this. Then there's the international equation. We can make the best comparison if we take the percentage of gross domestic product, because then you correct the size and size of the economy. Within the OECD, we are in seventh place for total care. As far as curative care is concerned, we are at thirteenth place in terms of costs. I think that's a very nice score. Despite all the stories that the Netherlands is the most expensive in the world and the Netherlands is at the top of the world in terms of costs, I note that we are just in the thirteenth place. That's really not something to be ashamed of. If we look at the quality, we score good to reasonable. For example, on important indicators such as the 30-day mortality rate following a heart attack, the issue of antibiotics and the avoidable hospitalisation, we are among the best. Comparisons between the Commonwealth Fund and the European Health Consumer Index also show that Dutch care is doing really well. By the way, I do not think that is something we can sit back on. What are these lists for? It's not a sports competition. I think these lists are important, because we can look at what we are doing less and at what points we can learn from them. What are our weaknesses? That is why we must use these investigations. So do we. For example, in the field of prevention, we see in the Commonwealth Fund that in the Netherlands, compared with other countries, doctors and professionals give very little lifestyle advice. A Dutch doctor is not inclined to say: lose weight first and if you have lost weight and still have a stomach condition, you will be given an antacid. Dutch doctors do that, if you look at it internationally, not at all well. The number of infections in Dutch hospitals is relatively high. Given baby mortality, we were in the tail of Europe in the field of birth care, but due to the enormous effort of all those obstetricians, gynecologists and general practitioners who started working together, we went from low to middle. That's where you can see that those lists are having an effect. We were ashamed of the figures on infant mortality, but the efforts of the field have led us to be at least in the middle and not in the tail. The aim now is to come forward. I find these lists very useful for that, but we certainly should not be ashamed of our position. I think we are doing very well in the Netherlands. That compliment is not meant for us, by the way. It is intended in particular for the people who do the work.
ParlaMint-NL_2016-12-20-eerstekamer-14.u21	Mr. Chairman. I would like to thank Members for their input and for their kind words on the policy of the last four years. We may not have always agreed on the substance of this, but we have tried to do what is necessary. In addition to Mr Don's kind words, he raised two issues. I think it's good to discuss it. Mr Don asked about the socio-economic health differences in the Netherlands. In addition, he asked for a review of or a review of the reforms. First of all, I come to the socio-economic health differences. I think it's a good idea to try and capture the facts in a very concise way. The health of all Dutch people has increased in recent years. This also applies to citizens with a "lower" socio-economic status, as it is called so ugly. I still hate that word. However, there are still health differences. Over the past ten years, the difference in life expectancy between Dutch people with the highest and the lowest level of education is about six years. That does not mean that no progress has been made. Life expectancy has risen in its entirety. This increase also applies to people with lower levels of education. Life expectancy for women has increased from 77.7 years to 80.2 years and life expectancy for men has increased from 72.3 years to 76.6 years. You can see that social health in the Netherlands is rising for all groups, but there must be extra attention to health differences. I very much agree with Mr Don on this point. At the same time, you must note that these differences are very persistent and very complex. That's what we said in all the analyses we discuss regularly. It's gonna take a long time. You have to make long-term investments. There is often a complex problem. Sometimes these are factors such as an economic crisis, physical factors or environmental factors. But behavior can also be a very important cause of these differences. There is therefore no solution to this issue. There are several solutions. At the same time, I note that it should not only come from the government or the parents. You should try to set up the environment in such a way that the chances of these differences are reduced. Health protection measures, such as vaccinations and screening, are taken from the government. In addition, there is environmental policy. This is also done for a healthy food supply: less fat and less salt. It also maintains and establishes low-threshold facilities. Think of the social neighbourhood teams or projects like Healthy Pregnancy 4 All. Together with all kinds of other parties, prevention programmes will be put in place, ranging from sports fields in the neighborhoods and local sports coaches to the offer of the Healthy School. In this way, healthy canteens will also be provided. From 2020 it is legally prohibited to smoke on school grounds. In short, both in terms of prevention policy in the formal sense and in the projects and programmes, the necessary measures are being taken. That does not alter the fact that Mr Don is also right on the third track. He asked: what more could you do to pay attention to special groups? There are, after all, very important points of departure. Take the policy on smoking. Mr Don has already asked for this. Indeed, it appears that the proportion of smokers in people with low education is much higher than in those with high education: 29% versus 17%. That dividing line is much stronger when it comes to smoking during pregnancy. In 2015, 22% of the less educated pregnant women and 0.9% of the more educated pregnant women smoked. For us, this is a reason to say: we do not like this structuralally. We have wondered what we could do to ensure that we take meaningful steps on this issue. We have also set up a task force to ensure that we can make a joint effort with future parents, with the consultation offices and with the pediatricians. This concerns the question of what we can do to ensure that the greatest impact is made with the environment, with the help of the medical professionals and with the help of all kinds of programs. We will also do this at the MBO and VMBO schools. It also shows that this will have the most impact. There are communication pathways, but there is also very targeted information, supported by general policy. Don't think of selling under 18, frightening pictures on the packages, the discussion about the displayban, which will start soon, the programs for pregnant and vmbo schools and the avoidance of attractive packages for young people. This last measure will enter into force in spring 2017. We have had a lot of discussion about the question of smoking policy. I thought Mr. Don asked if I'd do enough. I always hear the other story: don't you do too much in that area? After all, we have taken quite a few measures in this area. Mr Don asked a specific question about the insurers. It is true that, according to the laws and regulations, insurers can exclude certain activities or stop programmes from their own risk for certain target groups. A number of insurers do that, but I agree with Mr Don that insurers could get that more on the retina. We could be even more active in that. The Minister and I are prepared to continue the discussion with the insurers on that point. We'll do the same. In addition, it should be noted that the general practitioner's assistance in stopping smoking is beyond his own risk in any case. The focus we want to place will certainly lead us, more than ever, to focus our efforts on special groups in addition to the general policy. I come on Healthy in the city. Mr Don had two specific questions about this: do you think it will help and what does that mean for the future? There have been a number of investigations on that point. I call URBAN40, LOCAL50 and Young people On Healthy Weight. The studies show that it is very effective if it is not just a programme, but if several parties work together to do prevention activities. This has a positive impact on health, particularly in neighbourhoods where large-scale measures have been taken on several themes at the same time. I'm positive about that. Mr Don asked me about my recommendations for my successor or successor. My recommendation is to continue that programme. We also intend to prepare the decision-making process for the continuation of the programme by mid-2017. In the meantime 164 municipalities in more than 380 neighbourhoods are participating in the programme. I think this is a very important boost and a very important move to ensure that this policy becomes normal and that it is placed on the municipal agenda. I come to the point of reform. You could say that this budget treatment comes at a special time. In recent years, we have talked a great deal about why, the desirability and the legislation needed to shape the reform of long-term care. I have very good memories of the debates and the many discussions we have had with this Chamber. We have talked very comprehensively and very considerately about this reform. I say this knowingly, because these laws have made it possible to reform, but with the amendment of the law, I am also listening to the input of this Chamber.......................................................................................................................................................................................... Perhaps it is also good to say here that some relativization is appropriate. We, you, me and politics as a whole can create a number of conditions to ensure that people can do their jobs, but it is mainly about people in the care that do good work. I am all those professionals that day in, day out, often with hard and soul, giving substance to the care and who in the past period also had to translate the changes in care into their own policies, very grateful for the good work, the many work but also the complicated work. I realize that those years have also been far from easy for the healthcare professionals. There was a lot coming at them. We have had to implement these reforms in times of financial crisis. Maybe it should have been a long time ago, but that doesn't take away the fact. With all the measures we have taken, it is good to see that we are now much better equipped for the future. The financial sustainability towards the future, which has nothing to do with government budgets, but above all with affordability for people without large wallets, has certainly brought us closer to these measures. We have made finances more sustainable, also in the light of a future in which systems should determine less what people get, a future in which care is provided according to individual needs and circumstances. Financial sustainability and quality change really had to be carried out in conjunction with each other. Anyone who wants to take care of a more human dimension, who wants it not to be about institutions, but about individuals, who wants it not to be about systems, but about people, must be willing to adapt those systems. We are indeed talking a lot about systems, more than I like, but that is necessary to make that movement. With the Chamber, I am also impatient about the ability to redeem the opportunities of reform. It is therefore a good thing that, in addition to formal reform, we also have an eye for practice. That is what we are now in the middle of. I do not agree with Mr Don that there is some sort of calamity every day. I'm talking to people in the field, caretakers, and aldermen working on taking advantage of the opportunities. They see them getting closer to the people. They also see that the institutional importance is becoming less and the individual interest is increasing. Improving care and supporting people can never go fast enough, but I am optimistic about it, not naively optimistic, because I am not saying that everything is going well. I see, however, that aldermen of all political colors, not least of colors other than those of my party, have picked up the glove everywhere. In all municipalities, community teams have started working to give care close to shape, so that that care is no longer paper, but practice. The neighborhood nurse gets her work back in that way. The same applies to the anchor point of people to find out for themselves what is needed. We bring the care back to its core, namely: what can I do for you? What do you need anyway? I spoke to a 80-year-old man who said, "I was 80 years old and someone from the city called to see if there was anything else he could do for me." That's how simple care can be. My wish for the coming years is to make care closer and recognizable again, to make care more personal again. As part of this reform, we have also done all we can to improve people's care. Decentralisation is not an administrative thing in this respect. It is intended that the government, which should be close to the people, can also stand alongside the citizens. It is not for nothing that we look with the local nurses' profession at how we can develop the area nurse's profession again for the future. It is not for nothing that we have legally enshrined in the Wmo that we are looking not only at those who need care because something is wrong, but also at the caregiver, so that a diagnosis of dementia is not only a diagnosis of the patient, but also of the caregiver. As far as domestic aid is concerned, it is not just the household aid sector that needs to be looked at. We need to look more broadly, including what personal services will be possible in the near future. Let us look at what a dementia-friendly society means. How can we combat the financial abuse of older people? How do we ensure that child abuse is dealt with? These are all examples of things that show that, in addition to all these laws, there has also been very hard work on providing good care. I also disagree with Mr Don's statement that the reforms have been carried out quickly, but that they have led to a lack of rights for people. The Wmo provides for the provision of appropriate facilities. The Central Board of Appeal has confirmed in its rulings what is stated in the law on that point. The Health Insurance Act, which regulates the care of the neighbourhood, refers to legal claims and to duty of care. The Youth Act establishes a legal right to appropriate facilities, based on careful investigation by municipalities and healthcare professionals. In the Long-Term Care Act there is an insured right, on the basis of which you are entitled to a place if the home no longer goes. All four laws contain the possibility of a personal budget. I therefore believe that, in addition to the projects to improve care in practice, we have indeed established very good rights in the various laws. Mr Don also asked me if I have any wishes for the future. Of course I do. I've already discussed a number of them. I think they are also in line with Mr Don's input on this point. There must be much less administrative burden. The professional must be given more space to practice his or her profession properly. The administrative burden has been a thorn in the eyes of many for ten years. That is a persistent problem in health care. We must continue to do so. Another persistent problem is how we deal with the problems of 18-min and 18-plus. How can we support young people, in the sense that we receive them when they are young, but also accompany them one step further when they grow up?
ParlaMint-NL_2016-12-20-eerstekamer-14.u22	What the Secretary of State says about the administrative burden is right in the middle of the bull's-eye. The reduction is his first wish. The Minister and her Director-General for Curative Care, Mrs Leijten, has previously asked questions about it. It is known that the workload of general practitioners, especially because of the administrative burden, is so high that, for example, in the Leiden area, some suicides have occurred among general practitioners. I report that here with some shyness, but I am still confronted with doctors in my area who say to me: "You are in the First Chamber. It's a big problem." General practitioners spend so much time on administrative burdens that care for the patient suffers. So I support the Secretary of State when it comes to his first wish. I would also like to give him this as a priority for the next cabinet, because this is a very important issue.
ParlaMint-NL_2016-12-20-eerstekamer-14.u23	I myself would be a little cautious about Mr Van Rooijen's causal links, but the issue of administrative burdens is a multi-headed monster. Moreover, I have the good example of the general practitioners in mind in this regard. They have already taken significant steps, together with health insurers, in reducing administrative burdens not caused by national regulations, but by purchasing rules, agreements and control protocols. But this is indeed something for the whole concern. I agree with Mr Van Rooijen that this should and should remain a priority. Moreover, I hope that I will soon be able to take a step forward in dealing with the administrative burden in long-term care.
ParlaMint-NL_2016-12-20-eerstekamer-14.u24	How much longer do you need, Secretary of State?
ParlaMint-NL_2016-12-20-eerstekamer-14.u25	Two minutes, Mr. Chairman. The success of decentralisation will be determined mainly by tackling the persistent problems of 18-plussers and 18-miners, social care and work in neighbourhood teams, where the preventive outreach function should be strengthened. At local level, it is also much more necessary to establish links between youth aid, youth health care, education and debt relief. So my line for the future is: give space to municipalities. Do not say too quickly that it has to be otherwise, give room to municipalities, give room to the professionals, deal with the administrative burden and jointly improve the operation in practice, both through the conversations at the kitchen table and through the neighbourhood care in the nursing homes. This is the only way to improve healthcare in practice. Let us leave the system debate behind, perhaps including the system discussion on the part of the Chamber. Let us make it better in practice. Only in this way will care remain ready for the future.
ParlaMint-NL_2016-12-20-eerstekamer-14.u26	Thank you. We have arrived at the second term of office. I call Mr Van Rooijen.
ParlaMint-NL_2016-12-20-eerstekamer-14.u27	Mr. Chairman. I thank the Minister for her reply. I had only addressed my questions to her. I thank her for the promise that the First Chamber will also receive the letter on the artificial grass that has already been sent to the House of Representatives. We're gonna get a reaction in a week. We continue to disagree on the first issue. There is no point in repeating this, but I would like to make it clear to the Minister, with an example, that something is really at stake. When the Law was introduced, the concept of standardization of wages was a very large operation, behind which there was an administrative reason. The Secretary of State recently informed us in the answers that it was 8 billion when the taxable amount of the employer's care premium was removed from the employee. The pensioners and the self-employed then had to contribute to an operation of which they themselves had no advantage but had the disadvantage. That is what the cabinet saw, and that is what it said at the time: then we must take compensatory measures. At that time, fifteen measures were devised to alleviate the pain of the Law on standardization of pay. What I now see is that the premium for caring for pensioners and self-employed persons was reduced as one of the compensatory mitigating measures. That was in 2013. What is the cabinet doing a few years later, as if it had forgotten that it was structural compensation for a structural disadvantage? The tax rate also increased by 4% in the first tranche for pensioners. Three years later, one pretends that this did not happen, and says: that rate can actually go up again. In addition, it is forgotten that three years before that there was a good reason to reduce it. Last year this was discussed here, in the discussion of the Tax Plan and in a discussion that I had with this Minister shortly afterwards. What strikes me particularly is that it is said: it is true that there is an increase in the reduced premium to €400 net structural, but there is also an increase in the elderly discount. However, this increase in the elderly discount is only €140, while the increase is €400. The increase is structural, but the softening is one time. The old-age discount last year was a one-time thing. I also had this discussion with the Secretary of State. How is it that, apart from the linguistic difference, the cabinet does not know the economic and financial difference between structural and one-off? I find that very worrying, because I fear that in the future, if we are not reminded of this, we will once again be faced with structural burdens in the elderly, sometimes offset by a button once in a while, but then disappear. I would like to draw this Secretary of State's attention in particular. Otherwise this kind of knobs and buttons will continue to be turned, without keeping in mind the difference between structural and one-off and the difference between increase and illumination.
