ParlaMint-NL_2016-03-09-tweedekamer-8.u1	The next item is the reply by the initiator. I am happy to give the floor to Mrs Lodders.
ParlaMint-NL_2016-03-09-tweedekamer-8.u32	Exactly. Moreover, many participants have accumulated claims on more than one pension fund. Which fund will then be obliged to take over the implementation? That's a practical question. Anyway, I advise against this amendment. I have also been asked whether there are possibilities for a rematch for those who have not been able to make use of the pension cut in the period between January 2014 and July 2015, in the sense that they can still be offered a variable benefit by the performers. It is, of course, up to the contracting parties concerned to consider how an adjustment of the pension already in force is financially beneficial for those concerned and whether this is desirable. The Alliance of Insurers is currently carrying out analyses to gain insight into them. On 22 March I discussed with the insurers. I would then like to send the results of these analyses and of those consultations to the Chamber. I and, as I understand it, the Association of Insurance Companies also have a positive approach to solving the problems outlined.
ParlaMint-NL_2016-03-09-tweedekamer-8.u33	I am glad that there is a discussion, but we would have liked to have seen it before the votes, because only then can we put pressure and possibly table an amendment. I know I ask a lot, but does the Secretary of State see opportunities to sit down with the insurers before Monday and send a letter to the Chamber for Monday night? Then we know whether we need to table another amendment or not.
ParlaMint-NL_2016-03-09-tweedekamer-8.u34	May I say something in the interim before the Secretary of State responds? At the end of this whole process, I intended to propose to the House that we vote tomorrow. This may lead to an order debate, but if so, it might be useful to submit Mr Omtzigt's request and the force major requested by the Secretary of State.
ParlaMint-NL_2016-03-09-tweedekamer-8.u35	That's quite impossible. That's not gonna work. How do we deal with this now? It is in the interests of all of us that we vote quickly. On March 22, I'll talk to the insurance companies. Then I'll let the Chamber know immediately how or what. If anything results from this, either from my side or from the side of the Chamber, then we can change it very quickly in writing and we are still well in time to do something before 1 July. I'm just gonna try and get a scratch and nail right now.
ParlaMint-NL_2016-03-09-tweedekamer-8.u36	The rams and nails are a problem. There are two options. The first option is that you do it in good consultation. The second option is that you make it a legal obligation.
ParlaMint-NL_2016-03-09-tweedekamer-8.u37	Exactly.
ParlaMint-NL_2016-03-09-tweedekamer-8.u38	We would, of course, like to have that stick of the legal obligation behind us, in order to make the first option a success. We'll have that stick, especially if the order proposal makes it, and I think there's a good reason for voting tomorrow. So I can see why that proposal is coming. Is there another legal trajectory where we could bring this in at any time?
ParlaMint-NL_2016-03-09-tweedekamer-8.u39	I'd like to look into my department to see if we could find another vehicle, but I'm afraid that's not the case. Then I'll have to say that in all honesty. So I would really like to introduce the route I just outlined to the Chamber.
ParlaMint-NL_2016-03-09-tweedekamer-8.u40	This takes the House into consideration when determining the position in the possible still to be held order debate.
ParlaMint-NL_2016-03-09-tweedekamer-8.u41	We also have a third term, Mr President.
ParlaMint-NL_2016-03-09-tweedekamer-8.u42	Yeah, but it's gonna happen before.
ParlaMint-NL_2016-03-09-tweedekamer-8.u43	Okay. Then I'll move on to staccato. We have already discussed the question of how we deal with the AMvB in our first term. For the sake of clarity, I would like to say that I am very keen on the Omzigt procedure. I would like to consult with the pension field and the supervisor this week, so that we can see what these administrative burdens really look like. Then I would like to send the Chamber the concept AMMB very quickly. I would very much like the Chamber to respond quickly, because then we can move on to the Council of State. Then we'll have the place neatly in the Official Journal before 1 July.
ParlaMint-NL_2016-03-09-tweedekamer-8.u44	I very much appreciate that order if there is one further commitment, namely that the government, if the Chamber were to say by majority that it wants a change in the AMvB, would also implement that change.
ParlaMint-NL_2016-03-09-tweedekamer-8.u45	If we get a very big difference of opinion on this, then we will find each other again, but I do not expect that to happen.
ParlaMint-NL_2016-03-09-tweedekamer-8.u46	I see this as a commitment that it will then be implemented. Because there is no formal veil, it does not have to be, but I do see this as a commitment. If the House says in a majority here: we want to see this added to the AMvB, then so will the Secretary of State.
ParlaMint-NL_2016-03-09-tweedekamer-8.u47	In formal terms, I must say that, of course, the government must always reserve the right to make its own assessment, but, in material terms, I cannot imagine that we would not be able to meet in such a case. I have to change this this way, but I'm taking it seriously.
ParlaMint-NL_2016-03-09-tweedekamer-8.u48	Well, that's a lucky break, isn't it?
ParlaMint-NL_2016-03-09-tweedekamer-8.u49	Then there is a question from Mr Omtzigt about the life expectancy of a group of participants in a PPI, which may differ from the average life expectancy. I do not think Mrs Lodder has yet responded to that. According to Mr Omtzigt, this puts the PPI at a biometric risk, and it should not be because of the law. The life expectancy of participants in a PPI can, of course, differ from the average, as with funds and insurers. The specific life expectancy of the performer is taken into account in the amount of the pension. If the evolution of life expectancy in a PPI differs from the average, not the average life expectancy of all Dutch people is calculated in the pension, but the mortality result of the PPI membership group. This is the core: the PPI does not ensure the longevity risk, but the participants of the PPI collectively share this risk. I think I have answered the supplementary questions for now.
ParlaMint-NL_2016-03-09-tweedekamer-8.u50	The last answer surprises me, because even that expected return on life of the PPI may differ from the final realization.
ParlaMint-NL_2016-03-09-tweedekamer-8.u51	What's the PPI?
ParlaMint-NL_2016-03-09-tweedekamer-8.u52	The contribution pension institution. That's a new vehicle that should never have come. But that's a whole different story. Mr Ulenbelt and I can talk about that again. It is a pension institution that should not take biometric risk. So she shouldn't be at risk for things like long or short life. Of course she does. It will be reduced by what the Secretary of State says. PPIs do indeed have the possibility to adjust the specific life expectancy within the circle. But that remains a life expectancy and not a realization. Between expectations and realization, both the government and pension funds still have a difference. You expect us all to be 85 on average, and then there'll be a circle where they'll all be 86. That's charged, but it happens. Does the PPI run a biometric risk or not?
ParlaMint-NL_2016-03-09-tweedekamer-8.u53	It is, of course, at the heart of the matter that the participants of the PPI collectively share that risk. So that's not what they're doing.
ParlaMint-NL_2016-03-09-tweedekamer-8.u54	The PPI is at risk, because it is difficult to stop cashing out because the participants all live just a little longer than they thought. That risk is inherently borne by the PPI. If the last insured person dies too early or too late in relation to the expected date of death, does the PPI run a biometric risk at the end of its term? Then there's a biometric risk, isn't there?
ParlaMint-NL_2016-03-09-tweedekamer-8.u55	The PPI does not ensure the longevity risk, but the participants in the PPI have a collectivity allowing them to support each other until the end of life.
ParlaMint-NL_2016-03-09-tweedekamer-8.u56	The moment that PPI drains, you have the problem that you can't share any more risk. Then it's the risk of that PPI. Then there's biometric risk in that PPI itself. Is that reasoning correct or is that reasoning incorrect?
ParlaMint-NL_2016-03-09-tweedekamer-8.u57	I shall come back to this in my third term, because I fully follow Mr Omtzigt's approach and he is not entirely semantic.
ParlaMint-NL_2016-03-09-tweedekamer-8.u58	I have every interest in concluding this for three hours, because then we will have a debate on the Work and Security Act. That's not unimportant either. I have a question on Mrs De Vries's amendment to item No. 14 on default position. The applicant has said: Judgement of Chamber. I explicitly ask the Secretary of State because it is precisely in this that there is a distinction with her legislative proposal. I'm sensitive to a default, though, that if you haven't chosen a standard, you get a flat-rate benefit, which is the same every year, every month. There is now an exception. How does the Secretary of State view this?
ParlaMint-NL_2016-03-09-tweedekamer-8.u59	I listened very carefully to the debate. I understand very well in the first term on the part of the Chamber that the whole Chamber actually said that this fixed default is a great thing. I now see in the second term that, in the context of the amendment to that part, with opt-in and opt-out, the Chamber considers this to be an improvement. That is why the initiator and the cabinet have said to each other: we leave this amendment to the discretion of the Chamber.
ParlaMint-NL_2016-03-09-tweedekamer-8.u60	There is a need for a third term, which can start immediately.
ParlaMint-NL_2016-03-09-tweedekamer-8.u61	Mr. Chairman. We have just heard about a motion on banking savings. I would like to table the next motion on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the current legal framework for premium and capital agreements may hinder an optimal pension outcome;]] [[Considering that the Law on Improved Premium Scheme provides more opportunities to achieve a better pension;]] [[Whereas bank savings, which may be supplemented by long-term risk insurance, may also contribute to a better pension outcome during the benefit phase;]] [[calls on the government to investigate the extent to which bank savings can contribute to a better pension outcome,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Aukje de Vries. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34255-19]]
ParlaMint-NL_2016-03-09-tweedekamer-8.u62	In the first term we briefly discussed a motion on projection interest, a motion that will be tabled by the PvdA on our behalf. Mr Krol had announced a motion, but unfortunately he had to leave. That's why I'm filing her.
ParlaMint-NL_2016-03-09-tweedekamer-8.u63	Can I make up for a passing? Mr Krol had asked me to report that he could not be present because of an obligation elsewhere in this house. I thank you very much for that omission.
ParlaMint-NL_2016-03-09-tweedekamer-8.u64	The motion concerns a subject that has been discussed extensively, namely contracts and people who have already concluded a fixed contract and who would still like to participate in the present proposal. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the extension of the legal framework for premium agreements may provide a solution for people who purchased a fixed pension benefit from 1 January 2014 to 8 July 2015 in the event of a very unfavourable rate of interest and that the pension cut was not possible during that period;]] [[invites the Government, together with the Association of Insurers, to examine whether entering into a new contract for a variable pension benefit is feasible for insurers and can be advantageous for those concerned and, where this proves to be the case, to promote the possibility of amending contracts,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Aukje de Vries, Mr Krol, Mr Van Weyenberg and Mr Vermeij. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34255-20]]
ParlaMint-NL_2016-03-09-tweedekamer-8.u65	Mr. Chairman. Thanks to the initiator and the Secretary of State for the reply and anyway for the initiative. I think that without this bill we would now be in this Chamber to solve the problem with the retirement cut. It remains to be seen to what extent this bill is going to solve this problem, but many people were obliged to buy a life-long benefit at 0% interest rates. We've been talking about that for years. Then it is to be praised when a Member of Parliament takes the initiative not only to deal with a motion or difficult parliamentary questions, but also to write a legislative proposal. However, we have the problem that there is an extremely complicated legislative proposal of almost twenty sides left. Fortunately, the amendment on projection interest rates has just been accepted, but whether it is easy and feasible, I have to see for a moment. I have argued in several debates on pensions for better transparency on the costs of the pension-payer. This transparency is also important in the case of a variable pension. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas pension administrators should be transparent towards members about the costs they incur for the management and payment of the pension;]] [[noting that the costs are directly deducted from the assets of the participants;]] [[calls on the Government to explicitly include in the lower regulation that the pension administrator ensures transparency of all costs charged to the members of the variable pension,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34255-21]]
ParlaMint-NL_2016-03-09-tweedekamer-8.u66	Then I have one more question about the law of shopping. It is now clear that I am not in favour of changing the current shop law, but there seems to be one loophole left in the law. Many insurers place all their insured schemes and other schemes in an apf. That's a pension fund. If it is placed in an apf, the shopping law is completely gone and that may not be entirely the intention of the initiator. It may be able to go into this further. I am very curious to hear the answer to the PPI question. I am sympathetic to the motion that has just been tabled, but I really hope that we can get a signal before the vote. If not, my group is considering tabling an amendment tomorrow. We will also table an amendment to clarify the rules when DNB is allowed to require a PPI to be re-insured as a whole. Moreover, we have doubts as to whether the PPI should be able to implement this, but I await the answer from the Secretary of State.
ParlaMint-NL_2016-03-09-tweedekamer-8.u67	I would appreciate it if we could have the reaction of the author to any amendments before the vote so that we can determine our voting behaviour.
ParlaMint-NL_2016-03-09-tweedekamer-8.u68	Let's take a quick hit. I see the performer nods yes.
ParlaMint-NL_2016-03-09-tweedekamer-8.u69	I will try to submit this in good time.
ParlaMint-NL_2016-03-09-tweedekamer-8.u70	To make things even more complicated, do you need an opinion from the Secretary of State? I'm just asking.
ParlaMint-NL_2016-03-09-tweedekamer-8.u71	Thank you for being so helpful. I saw the petitioner and the Secretary of State looking at each other. Maybe they can react together. That sounds fantastic.
ParlaMint-NL_2016-03-09-tweedekamer-8.u72	I see that yes is nodded by the Secretary of State. Let me make this clear for the Acts. Where were we? Mr De Graaf has waived his term. Then we arrived at Mrs Vermeij on behalf of the PvdA group.
ParlaMint-NL_2016-03-09-tweedekamer-8.u73	Mr. Chairman. I am just looking at the text of the motion that we have prepared. Perhaps we should amend it slightly in view of the adoption of the amendment. This is about projection efficiency. We are taking a step forward by laying down the amendment already in the law, while we do not yet have everything in our head. Nevertheless, I would argue for doing two things at once, so a level playing field in the law and at the same time looking carefully at all variants.
ParlaMint-NL_2016-03-09-tweedekamer-8.u74	You mean a level playing field.
ParlaMint-NL_2016-03-09-tweedekamer-8.u75	A level playing field. Thank you, Mr President, thank you, thank you. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the legislative proposal for an improved premium scheme for individual agreements involves a projection rate based on expected return and collective agreements with risk-free interest rates;]] [[Whereas this does not necessarily improve the comprehensibility and level playing field between different contracts and pension practitioners;]] [[Calls on the Government to investigate the advantages and disadvantages of all possible variants of projection interest rates for individual and collective contracts, including the expected (practical) return and risk-free interest rates, on the basis of a single interest rate;]] [[invites the Government to send the results of this investigation to the Chamber by 1 May 2016,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Vermeij and Mr Aukje de Vries. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34255-22]]
ParlaMint-NL_2016-03-09-tweedekamer-8.u76	So we still have to look at the text in the first paragraph. I thank the applicant for all her answers. It remains for me to wish her incredible success from this place in the First Chamber, across the Binnenhof. I would also like to thank the government for the answers given and for its commitment to achieving a single whole. I am very grateful to everyone for that.
ParlaMint-NL_2016-03-09-tweedekamer-8.u77	That brings us to the end of the third term of office. I understand that the applicant needs a few minutes to prepare her response.
ParlaMint-NL_2016-03-09-tweedekamer-8.u78	Mr. Chairman. One question has been asked to me and it is generally pension fund, the apf. Mr Omtzig asked if shopping law would then be gone. No, if no variable or fixed pension is offered, then there is the possibility to shop so that it can. It is actually a very simple answer, but I see Mr Omtzigt standing at the interrupting microphone.
ParlaMint-NL_2016-03-09-tweedekamer-8.u79	That will not prevent Mr Omtzigt from asking a question.
ParlaMint-NL_2016-03-09-tweedekamer-8.u80	I must say that this Member of Parliament is learning very quickly. She knows how to explain things that are really not beautiful in a very beautiful way. As far as that is concerned, she could be in the cabinet. This is what we are talking about. In an apf you may not freely choose whether you want to go to another performer with your variable pension. It's okay to go to an insurance company. An apf is a special pension fund. It is the vehicle that insurers are now massively choosing to use their insured schemes. They can cut short. There are all kinds of nice things for the insurance companies. But is it true that the people who are in an insurance company's position as a result of this law have far less rights than those who are in a traditional insurance scheme with an insurer? If so, does the applicant consider that appropriate?
ParlaMint-NL_2016-03-09-tweedekamer-8.u81	If I understand correctly, Mr Omtzigt asks about the difference between insurers when a contract is transferred to an apf, a general pension fund, or becomes part of it. For a general pension fund there are other conditions and rights. I understand Mr Omtzigt's question in such a way that he wants to know whether shopping law is gone. That is true in the broad variant, because it is a general pension fund, but people who are participants can still make the choice between fixed or variable, because if either is not offered, they can choose to put it down with another performer. I see some doubts with Mr Omtzigt, but for the sake of time I should like to propose the following. Mr Omtzigt announced that he would table two more amendments. In that context, I would suggest that we also deal with this explanatory question in writing, if Mr Omtzigt agrees, of course. No further questions have been asked to me. The Secretary of State will advise on the motions because they involve a request to the cabinet. I would like to thank my fellow Members for their constructive contributions and for their commitment to further optimising the law, which I naturally refer to the amendment. Thank you very much for that. I hope we can solve the problem of the participants quickly.
