ParlaMint-NL_2016-04-28-tweedekamer-13.u1	I welcome the Minister of Security and Justice.
ParlaMint-NL_2016-04-28-tweedekamer-13.u12	A beautiful little bridge about clarity. Do I hear Mrs Swinkels say now that we are going back a little bit in the debate, and that it is a pity that in the Netherlands we have not chosen the same course as in Germany, a kind of criminalisation of departures? I think D66 was against that when the CDA, together with the VVD, filed a motion to see if we could get it done to make it criminal.
ParlaMint-NL_2016-04-28-tweedekamer-13.u13	Again, D66 is in favour of effective measures. We have always advocated that the police should be on strength and that the security services should be on strength. That is what has been advocated and that is what extra money has been allocated. Mrs Van Toorenburg has also voted in favour of this in the context of the opposition's joint action.
ParlaMint-NL_2016-04-28-tweedekamer-13.u14	Mrs. Swinkels doesn't want to answer. I ask her a very specific question. We are very much in agreement. I can bring in all the debates: all fine, fun and nice. I am concerned now with what Mrs Swinkels just said, namely that she did not seem to think this was a useful toolbox. She referred to Germany. She almost literally said: why didn't the cabinet choose to criminalise the exit in the footsteps of Germany? We had come up with a brilliant plan for this, even if it was only to travel to terrorist-controlled territory. Kind of limited. A nice definition about it and we're done. Is that D66's objection? Then together we will come up with a definition of 'terrorist-controlled territory'. Maybe we'll finally have a majority.
ParlaMint-NL_2016-04-28-tweedekamer-13.u15	I think that Mrs Van Toorenburg did not understand me correctly or did not listen properly. My argument was that, according to D66, criminal law offers sufficient opportunities to intervene preventively and that if more were needed, it would have to be done through criminal law. In that case, the criminal justice system should be extended. In this context, I referred to what has happened in Germany. Similar measures have been introduced through criminal law. My point is that criminal law contains legal guarantees. My next point was, therefore, whether it might have been the intention to circumvent criminal law through administrative law. That was the only point on which I sought to join Germany.
ParlaMint-NL_2016-04-28-tweedekamer-13.u16	All I'm looking for is the words of D66. First, D66 here in the Chamber says in a vote: we do not want criminal law. And now D66 uses that as an excuse to put the heels in the sand in government law. It's insufferable.
ParlaMint-NL_2016-04-28-tweedekamer-13.u17	We are not putting our feet in the sand in administrative law, we are making critical comments because we are in favour of effective measures. According to D66, criminal law offers a lot of effective measures, in the sense that today, even the criminal lawman can read that in the newspaper, even the description of the crime is already so far advanced that it is again a question of human rights. Mr. Chairman. I will continue with my speech. I had stuck to the application criterion for these administrative measures. I think that's vague. The second paragraph of that application criterion, which can be linked to terrorist activities, also provides ample scope for restricting everyone. After all, everyone can always be associated with something in one way or another. A link is quickly established. When is that connection so close that an infringement of a person's freedom in our rule of law is justified? Suppose the husband of a colleague with whom I run weekly, wears a djellaba, has a hip beard and sometimes goes to a notorious mosque where sometimes a radical imam speaks. Is that enough for the conclusion that this man, and perhaps his wife, or perhaps me, too, is a danger to national security? Evidence is not necessary for these administrative measures, which we must always keep in mind. According to the explanatory memorandum, it is only reasonable to establish that a person has committed such conduct. When is that the case? How does this relate to common criteria such as legal and convincing evidence, serious objections, suspicions or indications? Will gossip, rumors, suspicions or other unverifiable information be sufficient to justify such measures? Apart from that, the question arises as to whether it is accepted in a rule of law that people against whom there is no suspicion and even no indication that they are involved in terrorism are subject to restrictions on freedom based on vague criteria. Aren't we going to be on a slippery slope? In addition, the proposed measures can apply for an unlimited period of time, not until six months, but they can be extended each time. The previous bill contained a maximum period of two years. Why isn't he in there anymore? Doesn't the Minister intend to launch a criminal investigation at some point in the event of an extension? Or can the measures continue to apply for years without any evidence? I would like to hear a response from the Minister. Then I come to my third point: legal protection. Fundamental human rights such as freedom of movement and the right to privacy are at stake here. The decision on measures in breach of that rule requires that the explanatory memorandum always states "suitable work'. Each person must take account of all the special circumstances of the case, and the interests and freedoms of the individual must be weighed against the interests of society and national security. When I read that, I thought of the judge. That is someone who is ideally suited to make these kinds of considerations in complete independence. For criminal justice, these measures are also daily costs. So I was surprised when I read that the Minister is going to impose the proposed measures himself and that there is no prior judicial review. My question to the Minister is why this has not been chosen, as in the United Kingdom, for example, where the Supreme Court has to authorise similar measures. In the Netherlands it goes exactly the other way around. Here the measure is first taken and then one can go to court. This procedure will soon take a few weeks, even in the case of interim measures. In the meantime, the measure will continue to apply until the court has decided otherwise, with all the far-reaching consequences. What about the possibility of defending? These measures will often be based on confidential information from the police or intelligence services. This is usually covered by a confidentiality obligation, with the result that information may not be disclosed. This means that even more people will be given a measure that they do not even know why it is happening and against which they can hardly defend themselves. It doesn't give much confidence if the judge is allowed to fix decisions afterwards. According to this legislative proposal, the judge may involve new facts arising after the decision in the question whether the measure previously imposed has also been correctly imposed. The temptation to do it first and then think only then becomes very big, with again all kinds of negative consequences for potentially innocent people. I come to my final point, and that is the effectiveness of these measures. If these measures are introduced, D66 believes that the probation should be involved. The probation has experience in deradicalisation and can contribute to increasing the effectiveness of these measures in the longer term. I'd like to hear from the Minister if he wants to go along with this. Mr. Chairman. You've heard a lot of critical concerns from me. I would therefore like to conclude with what we do want. D66 opts for effective measures and the maintenance of basic principles of our rule of law. It therefore wants to resist the temptation to use symbol legislation to show decisiveness. We always want to work towards effective international cooperation and exchange of information between the security services, because that has been the case so far.
ParlaMint-NL_2016-04-28-tweedekamer-13.u18	The question that Mr Tellegen asked earlier is: how does this position relate to your group chairman's speech a few weeks ago? That was about the lack of instruments to do what he argued tightly and glowfully.
ParlaMint-NL_2016-04-28-tweedekamer-13.u19	The thrust of my group chairman's speech and mine is always that D66 wants terrorists to be combated as much as possible and that terrorist crimes are prevented. For that, you need the police in order, and for that you need security services with sufficient capacity and powers. That means that the Marechaussee at Schiphol Airport must be on strength. These measures are effective and must be taken.
ParlaMint-NL_2016-04-28-tweedekamer-13.u20	Your group's speech a few weeks ago and the exchange of views with the executive in the Chamber made it clear that the competent authority lacked the appropriate instruments to act effectively against Mr El Bakraoui. What measures do you propose in concrete terms to prevent the repetition of this kind of scenes, other than those contained in this proposal?
ParlaMint-NL_2016-04-28-tweedekamer-13.u21	You say that Mr El Bakraoui could have been stopped if there had been criminal jurisdiction. It wasn't that. In this case, there has been insufficient exchange of information between Turkey and the Netherlands. If that cooperation had been better, then D66 would have been hammered over and over again, possibly the worst of it.
ParlaMint-NL_2016-04-28-tweedekamer-13.u22	Finally, Mr Bishop.
ParlaMint-NL_2016-04-28-tweedekamer-13.u23	All right, let's finish. The exchange of information is one aspect. No one will fight that it was flawed. She just wasn't in order and she still isn't. At the same time, the debate on this issue highlighted the lack of appropriate instruments. There was a missing box in the toolbox of the competent authorities to be able to pick up El Bakraoui, hold on or whatever. I'm still curious what D66 is proposing to eliminate or fill this gap.
ParlaMint-NL_2016-04-28-tweedekamer-13.u24	That's assuming there's a gap. However, I do not think there is a gap at the moment. Again, the most effective are all the measures that are taking place at the pre-stage. I cannot repeat it enough: the point is that there are enough district agents to identify early signs or make alerts on radicalisation. It is therefore a matter of sufficient marechaussee at Schiphol Airport and keeping the police in order, with sufficient capacity. It is not the case that there are not enough powers at the moment. If that were the case, it should be dealt with through criminal law. I do not recognize the problem that Mr Bishop is pointing out at the moment.
ParlaMint-NL_2016-04-28-tweedekamer-13.u25	Mrs. Swinkels is keeping it very exciting. I still have no idea how D66 will deal with this law. I would like to know on the basis of which criteria Mrs Swinkels and her group will or will not vote in favour of this law.
ParlaMint-NL_2016-04-28-tweedekamer-13.u26	It remains exciting, because I want to wait for the Minister's further debate and response. For D66, the maintenance of the fundamental principles of the rule of law will always lead the judgment of this law.
ParlaMint-NL_2016-04-28-tweedekamer-13.u27	Once again, what points are crucial for the D66 Group to vote in favour of this law?
ParlaMint-NL_2016-04-28-tweedekamer-13.u28	That gives me the opportunity to add one more point: the effectiveness of the proposed measures.
ParlaMint-NL_2016-04-28-tweedekamer-13.u29	Finally.
ParlaMint-NL_2016-04-28-tweedekamer-13.u30	Yeah, finally. I can't get an answer to my question. However, I do have a very different question for Mrs Swinkels. This law actually sees three problematic groups in this country: the returners, the frustrated extravagants and the radicalized. How will D66 provide an answer or solution for the returners if it does not agree with this law with administrative measures?
ParlaMint-NL_2016-04-28-tweedekamer-13.u31	That question is based on the assumption that we do not agree with these measures. I have now made critical comments and will reserve my judgment for later.
