ParlaMint-NL_2016-03-08-eerstekamer-8.u1	We will continue with the first term from the side of the Chamber.
ParlaMint-NL_2016-03-08-eerstekamer-8.u12	The debate is now being widened so much that the issue I was actually concerned with is whether there is money available for Frontex because it is necessary, is a little out of the picture. Perhaps we will return to that point at another time. I think it will be soon, because this is, of course, also part of the agreement with Turkey. Are there money and capacity available to do this? When it comes to ethical dilemmas, is it not more important that Europe does this together than the abstract understanding of sovereignty that would prevent it?
ParlaMint-NL_2016-03-08-eerstekamer-8.u13	The issue of refugees is an issue that we need to discuss at European level and, therefore, to resolve at European level.
ParlaMint-NL_2016-03-08-eerstekamer-8.u14	In order to clear up a little misunderstanding, I would like to ask the following question. Mr Elzinga spoke about the tension between expanding and deepening. In my contribution, I referred to the enlargements we have had so far: with the central European countries and, more importantly, with the southern European countries, Cyprus and so on. Mr Elzinga made the link between expanding and deepening as if I would have talked about, for example, 'he did not mention the name 'Ukraine'. That's not what I was talking about. I would just like to point out that this was not meant to happen either.
ParlaMint-NL_2016-03-08-eerstekamer-8.u15	I certainly did not hear Mr Knapen say that. I referred to Mr Knapen's words on the tension between enlargement and deepening, as we have experienced on the basis of our experience, and whether we should not want to learn lessons for the future and for the current discussions on whether or not to expand. I didn't want to put words in his mouth.
ParlaMint-NL_2016-03-08-eerstekamer-8.u16	I hear Mr Elzinga say a lot about Turkey. We share many of the problems that the SP has with Turkey. But do I now get the right impression that he wants to tackle the refugee problem without involving Turkey or concluding agreements with it?
ParlaMint-NL_2016-03-08-eerstekamer-8.u17	I don't think so. With regard to the refugee issue, first of all, you have to ask where the refugees come from and why people want to flee. If you look at the causes, you can see that the whole region is a powder keg. Many foreign parties have interfered in this. In general, this has not improved. Turkey is also a party to this. Turkey is certainly needed in the region to find political solutions to the problems. As far as the refugee issue is concerned, we must, of course, consult with all parties, but we cannot say that we are giving Turkey a whole bunch of money and that country will solve our refugee problem. I shall come back to that later.
ParlaMint-NL_2016-03-08-eerstekamer-8.u18	I'll just wait and see. Maybe I'll come back to it.
ParlaMint-NL_2016-03-08-eerstekamer-8.u19	Mr. Chairman. I wondered whether it would be wise to think about enlargement in the short or long term, especially with countries where human rights and the rule of law are poor. I was thinking of Turkey but also of Ukraine; Mr Knapen already recommended it. In parts of Ukraine armed rebels are in charge. The violence of these rebels and the army, over and over, has already killed thousands of people. Opposition parties are prohibited there by decree. Critical foreign parliamentarians are denied access to the country. Human rights violations are not independently investigated there. Partly because of self-censorship even freedom of the press exists there de facto hardly anymore. According to Transparency International, it is much more corrupt than the most corrupt EU country at the moment. So it doesn't seem wise to me.
ParlaMint-NL_2016-03-08-eerstekamer-8.u20	The following is about the imaging. In Ukraine, a civil war would rage. I would like to remind you that Crimea is occupied by a foreign power, namely Russia, and that Russian troops are fighting on a large scale in Eastern Ukraine. That has little to do with civil war but everything to do with foreign intervention. That is the major problem that Ukraine is currently facing.
ParlaMint-NL_2016-03-08-eerstekamer-8.u21	To some extent, it is true that Russia has annexed Crimea, contrary to any international treaty. It is also true that Russia is interfering in Ukraine's internal affairs, but at the same time Ukrainian rebels and the government army are fighting each other. It's cost a lot of people their lives. Unfortunately, civilian casualties have also been caused by the army's bombing of rebels in the East.
ParlaMint-NL_2016-03-08-eerstekamer-8.u22	I am trying to understand Mr Elzinga's position on Ukraine and the party he is a member of. Why is this subject being made so big? If I understand correctly, Mr Kox voted in favour of the association agreement with Moldova. Or am I wrong? I just heard he voted against it. What about the Treaty with Georgia? I hear that the SP Group has also voted against it. The reasoning behind this, if I have understood correctly, is that these are countries with which the European Union does not want to associate itself to the extent suggested by the Association Treaty. It is a mixed treaty, so 80% of the treaty is about the things that are already going on in the area of economics. These things, however, are surrounded by an edge of conditions in the field of the rule of law. If you assume that this association agreement does not radically change the shape of Ukraine, that is not what association agreements are for, and they cannot do that either, but that it may be able to make a small contribution to a little more rule of law, to a little more fight against corruption and to a little better listing on the Transparency International list, what is ultimately the big objection to something relatively small like an association agreement?
ParlaMint-NL_2016-03-08-eerstekamer-8.u23	I will come back to that later, but I would like to fight...
ParlaMint-NL_2016-03-08-eerstekamer-8.u24	I would be happy to wait, otherwise I would confuse Mr Elzinga's speech.
ParlaMint-NL_2016-03-08-eerstekamer-8.u25	In response to Mr Knapen's interruption, I can say the following. First of all, it is a Deep and Comprehensive Free Trade Area. So it is more than just a free trade agreement. It goes way beyond that. The Deep and Comprehensive Free Trade Areas with Ukraine, Moldova and Georgia go even further than the Transatlantic Trade and Investment Partnership, which we discussed last year. There are a lot of objections to the notorious TTIP. The agreements even go so far as to make these countries a de facto part of the European internal market without being allowed to join the EU. So we're not giving them the right to vote, but they're going to be a full member of the single market. So it goes far beyond just a free trade agreement. In all areas, such as trade in goods, trade in services and public procurement, the whole European single market acquis should apply. So it really becomes part of the European market. It seems to us extremely unwise that this applies to a country where, unfortunately, this has not yet been enforced by rules, a country where culture is so corrupt in every respect that all the countries that are already members of the EU can only learn a lot from it in a negative way. This is just about the trading part. That part is indeed a large part of the agreement, but it is more than just a trade agreement. Does it make the country any better? Unfortunately, such a treaty does not guarantee that at all. Those countries that were admitted to the European Union in 2004 went ahead for that time when admission was still envisaged, ahead of time in the field of the rule of law and the fight against corruption. However, over the last few years, and especially recently, we have seen a very strong movement in the opposite direction. Unfortunately, such a treaty does not guarantee anything in that area.
ParlaMint-NL_2016-03-08-eerstekamer-8.u26	Treaties are not guarantees. That's why they're called "treaties" and not "guarantees." The Association Treaty provides for a certain procedure for, for example, the procurement of a bridge. You're gonna have to run the books properly. You have to show them you're competing. That won't always work. Sometimes things go wrong. But what is the big objection to agreeing in such a treaty that, for example, you have to tender in an orderly manner? That's what people learn from. That's how they hit their heads. I imagine Mr Elzinga does not think it will work. But what is the real objection to a framework that can help with this kind of thing and that can promote it? At worst, it is not promoted now but perhaps a few years later. What is the essential objection to this?
ParlaMint-NL_2016-03-08-eerstekamer-8.u27	There is no objection to the framework, even though we do not see any guarantees in this regard. If we were to help the framework, there would be little opposition. However, there are other major objections to this treaty. I will come back to that in a moment, at the place where I have it in my speech. I do not think it would be wise to extend the EU in the long term, even if we do not yet have membership and voting rights, but are part of the EU in any other way. The problem in all different forms is that the European Union is not a homogeneous unit. I am no longer talking about Ukraine, but I have arrived at the current problems of the European Union. Nor is the Netherlands a homogeneous unit, I say to Mr Backer. He said that we were also a very different country with 15 million people at the time. That is certainly the case, but the European Union is still slightly less homogeneous than the Netherlands. There are not only great cultural differences between Eastern and Western Europe and between northern and southern Europe, which sometimes also express themselves in political preferences. The euro crisis has also clearly shown significant differences in economic and political interests between northern and southern Europe. The refugee crisis and European migration and refugee policy not only divide Europe into entry and destination countries, but also very pronounced in Visegrád countries on the one hand and Western Europe on the other. More generally, views on the rule of law increasingly separate Eastern Europe and Western Europe. There is a growing EU-critical attitude among the population, but also among many political parties. We are seeing a growth of nationalist movements and parties especially on the right side of the political spectrum. Above all, they want less European cooperation. On the left-hand side of the political spectrum, the parties who reject the austerity mantra imposed by Brussels are clearly growing. I am thinking of Syria in Greece, Podemos in Spain, Bloco in Portugal, Sinn Fein in Ireland and of course the SP in the Netherlands. They, and so do we, want a different kind of cooperation. In particular, large businesses continue to see and propagate the benefits of a large market, but an ever smaller upper class keeps the feeling of taking advantage of it. Not only the middle class, but also the political center resembles its return. Income inequality within economically developed countries, including most European countries, has not been on average as high as it is today over the past 50 years. The trend towards growing inequality has accelerated since the crisis. Public services and equal access to these services are under pressure in many countries. The EU has knowingly increased this division, on the one hand through above-imposed privatisation, liberalisation and deregulation by an ideologically motivated "big job to the market," where the right of the strongest counts, but on the other hand, unfortunately, by interfering in the wrong way. The EU is seeking and taking up an increasing mandate for European intervention policy, including in the economic and social fields. Under the pretext of necessity, an economic governance has been established, without a fundamental debate on political desirability. Now Brussels also wants to run the social domain more and more. More and more powers are being transferred, sometimes openly and sometimes secretly, from the national political domain to Brussels, but also from the parliamentary arena to the executive, the European Commission, the finance ministers in the Ecofin and the Eurogroup, to the management of the ESM, the ESB, and the troika. In each crisis, the reflex is: more European cooperation, closer coordination. That's gotta help us. As Juncker says: more Europe in the Union, more Union in Europe. Or as our Commissioner Timmermans advocates: more European brotherhood. In theory, this is not a crazy idea for the problems that are often cross-border, but the impact of this cooperation is increasingly having consequences which the population sees as extremely undesirable and which gives a growing proportion of the population an increasing feeling of being sidelined without any influence. Or as Professor Scharpf said at an expert meeting on the Five Presidents' Report in our committee: Europe suffers from a lack of both input and output legitimacy. I believe that is the most important gap in Europe. European policy makers, both in Brussels and in the national capitals, are increasingly seeking solutions in an ever closer union, while citizens increasingly feel ignored, do not see democratic legitimacy, but are given the bill of the policy. What does the Dutch government think of this ever closer union? I thought that the government, in response to the Five Presidents' Report, was not a warm advocate, but in the meantime, in the negotiations on the package with the United Kingdom, this ever closer union has just been reconfirmed. The ever closer union does not apply to the UK, as has been agreed, but also to all other Member States on the continent. What exactly is that about? Does the government support this ever deeper European integration and what does that mean for the Dutch position in relation to the transfer of powers to Brussels, now and in the future? How does the Minister feel about the Five Presidents' Report, which was co-written by our Minister of Finance? Does the Dutch Government share the view that integration should take place on four fronts and that, in addition to monetary union, economic union, fiscal union and political union are necessary? Is the Minister also in favour of the necessary changes to the Treaty and, in what time, does he suspect that negotiations on a new treaty are in the pipeline? Will the treaty amendment envisaged by the UK be able to be used for elements of this fiscal and political union? I shall now return briefly to 2005 and then to the referendum in the Netherlands. That was, like the British referendum, about the desirability of an ever closer union. Despite a very clear "no" to a European superstate in 2005, a number of years later, with another cover around it, 90% of which the Netherlands had said no to was introduced through the Treaty of Lisbon. The ever closer union has been accelerated by the crisis. In part, the current referendum in the Netherlands, the referendum on 6 April, is also about this. Especially for some of the initiators, ignoring the outcome of the previous referendum is an important incentive. For the SP, it is mainly a test case for the consultative referendum. Democracy is not for scared people. That's what Mr Knapen said this morning. This referendum is therefore not something to be afraid of. Of course, my party will draw the potential voters' attention to our vision, as we have also expressed in Parliament. We will campaign against the Treaty, as we have argued against the Treaty in this Chamber and in the House of Representatives. There are many arguments, but I will repeat my three main arguments. In our view, the treaty is not good for stability in the country. It has further sharpened the contradictions within Ukraine. The ratification of the Treaty will further strengthen these contradictions and intensify tensions between the EU and Russia. In our view, this is not in the interests of Europe and certainly not in the interests of Ukraine and its inhabitants.
ParlaMint-NL_2016-03-08-eerstekamer-8.u28	Mr Elzinga says that the Treaty has already strengthened tensions in Ukraine. Can he give examples of what that causality proves? How can these tensions be attributed to the Treaty?
ParlaMint-NL_2016-03-08-eerstekamer-8.u29	When the previous president refused to sign the treaty, popular rage arose in a part of Ukraine. On that basis he fled, some say. Another reading is that there has been a coup, or a coup. In any case, the signature was finally signed by a temporarily installed government before there were any new elections. Furthermore, we can read history on it.
ParlaMint-NL_2016-03-08-eerstekamer-8.u30	The previous president negotiated nicely until he came to our heavy pressure from Russia. When, to put it in peasant terms, the milk went up, it turned out that the population didn't steal it. That's understandable when you see the interests behind it. This has nothing to do with tensions caused by this treaty in Ukraine. It's geopolitical tensions caused by Russia.
ParlaMint-NL_2016-03-08-eerstekamer-8.u31	There are certainly geopolitical tensions in the game. As the EU drew Ukraine with this treaty, so did Russia. The previous president leaned more towards one side, the current president looks more the other way, although at first they both looked mainly at their own economic gain. The population is divided over it. In the east, the population is much more oriented, culturally, but also economically, in trade, on Russia, while a large part of the population in the west is historically much more oriented towards Europe.
ParlaMint-NL_2016-03-08-eerstekamer-8.u32	Ukraine as a whole was oriented towards Russia.
ParlaMint-NL_2016-03-08-eerstekamer-8.u33	Yeah, but...
ParlaMint-NL_2016-03-08-eerstekamer-8.u34	There was never a problem with Russia. There were hardly any sentiments against Russia until Russia got involved. Russia had quite a hand in annexing Crimea and then launching a war in the Dombas. Read the polls now: over 90% of Ukraine supports that treaty, including in that area. If there's ever been an anti-Russian mood, thank Putin.
ParlaMint-NL_2016-03-08-eerstekamer-8.u35	Putin certainly hasn't made himself more popular. He wasn't popular before, but there was a lot of trade with the Russians. A lot of people in the east have a good connection with the Russians on the other side of the border. I do wonder why, if this is such an important debate for Mr Schaap, the VVD did not participate in the debate here on the association agreement. We then had a good substantive debate on the treaty. There have been exchanges of arguments as to why we were against it. Now the people have the floor in the referendum. We shall then explain our views. Let me briefly outline our other two main arguments. It is a neoliberal treaty, a so-called deep and comprehensive free trade treaty, which is going to cost a lot of jobs, especially in Ukraine. European industry is, of course, ready to take over a market of 43 million consumers, but it is not economically very relevant for Europe, because Ukraine's economy is smaller than that of North Holland. Ukraine will need a lot of financial support, so much is certain. Of course, this can be done without EU membership, without a vote and without this association agreement. Even without the treaty, we can help Ukraine and its people. As I said before, the country is by far the most corrupt country in Europe. You can't do business there without your dirty hands. Integration into the European market entails the risk of contamination in particular. That is an important argument why the EU and the internal market should not want to start doing so. All in all, the SP thinks it is three times better to vote against the agreement. It is better for the people of Ukraine, it is better for the Dutch people and it is better for European cooperation at the moment.
ParlaMint-NL_2016-03-08-eerstekamer-8.u36	Mr Elzinga said that the agreement was in a neoliberal context and he said earlier that the European Union stands for cold globalisation. That's why you should distance yourself from it. Is it also possible for Mr Elzinga to reverse that reasoning? Suppose parties like Mr Elzinga are doing extremely well in the Netherlands and other countries and say that they together with some other parties form a large majority enough to give them a more social democratic profile to European societies. Is the argument still that it cannot be because it comes from Brussels or from the EU? Or is it simply that the majority in charge of the matter does not like Mr Elzinga? Is it a matter of: because I do not like the majority in The Hague, am I against the Netherlands? No, you're gonna fight till you get a majority.
ParlaMint-NL_2016-03-08-eerstekamer-8.u37	This is a very interesting discussion. Yes and no. I partly agree with Mr Knapen. Yes, we would like to rebuild Europe with many more governments of another political signature. Yes, you can be very good for more European cooperation in a number of areas. But the SP may have been the only party from the Maastricht Treaty to be very consistent: from that moment on, a wrong turn has been taken. Every time we say, guys, don't get muddy on that turn. If you see that it's going wrong again, you shouldn't push harder and move on with the integration. A number of things have been fundamentally misorganised. We have often talked about this in General Financial Reviews and in debates on the euro crisis. They are really looming errors, they are really structural errors in the European construction. A number of things in European cooperation, including the budgetary arrangements and the debt ceiling, are wrong. They can be changed, but within the current treaty they are not easy to adjust with a different colour from the European Commission. We would very much like a different direction for Europe. Then it would look different. But this requires more than a change in the colour of European politicians in the short term.
