ParlaMint-NL_2016-04-26-tweedekamer-5.u1	I welcome the Secretary of State for Finance.
ParlaMint-NL_2016-04-26-tweedekamer-5.u12	I understand very well that the IRS is trying to protect the anonymity of tippers. But this country is a rule of law, and even if you sue against the government, you must be able to assume that all relevant information lies with a judge. I am shocked by the State Secretary's reply: it is up to the Tax Office. I think that the Secretary of State is very lightly going over the facts: a judge says he is shocked; a professor says that the Supreme Court has been misled; the Supreme Court itself considers in the judgment that anonymity has been promised and the passages that relate it have been removed. Does the Secretary of State agree with D66 that this was unfortunate and that the painting away was not necessary, so that the judge, as it should be in this country, can just judge on the basis of all relevant information?
ParlaMint-NL_2016-04-26-tweedekamer-5.u13	With that, we come to the question: why did it actually go away? This issue was briefly addressed in the parliamentary questions that my colleague predecessor, Mr Weekers, answered in 2012 and is about scaring off new tipsters. The Tax Administration has chosen to remove the passage, which states that no guarantee can be given: not because it should not be visible to the court, but because otherwise it could possibly come out in the open and thereby deter new tipsters. There is indeed a State interest, even a financial interest. It is therefore important to make agreements with tippers about this. If this is going to lead a life of its own and every tipster thinks that his identity will come out in the open without any interference, it will scare off new tipsters. The same applies to callability. There are cases where you could choose to exclude the callability in advance. That's possible, but then you'll have to withdraw the case at some point. Here too, if this fact, that someone can be summoned, is going to live their own life, that can scare off new tipsters. Those two road paint decisions were made by the inspector at the time. Those decisions have nothing to do with providing information to the courts. Here is the balance that, without a coating, the chances of success of such a case might be greater, but that at the same time new tipsters can be deterred. That's the way the balance is made. No matter how you make the trade-off, these are valid arguments. Because we don't want to scare off tippers.
ParlaMint-NL_2016-04-26-tweedekamer-5.u14	That you have to weigh your interests, that this can work differently and that you can judge politically differently, is okay. However, we all agree that what is said in law must be true. That's raised some questions. According to reports, one of the FIOD officials under oath said that anonymity was based on the civil law agreement and anonymity was one of the conditions for the conclusion of the agreement. However, this does not seem to be consistent with what has been announced from the contracts. Can the Secretary of State reflect on that again?
ParlaMint-NL_2016-04-26-tweedekamer-5.u15	Oh, yeah. In fact, the anonymity in the civil contract was agreed, although no absolute guarantee could be given. However, anonymity is one of the important passages of that agreement. In view of the fact that this was a tipster who was actually anxious and had reasons for it, it is very important. This extreme commitment to a government agency such as the Tax Administration to a tipster who has something to fear is very serious. At the same time, the Supreme Court has finally ruled on what the FIOD employees have declared under oath. We are not going to repeat the course of justice, and I am happy to abide by the judgments of the Supreme Court. The Supreme Court has ruled that the Tax Administration staff are not obliged to disclose anything in court, in this case about the identity of the tipper, which the inspector did not wish to release. So there's something else going on here. The employees do not say in absolute terms what the Tax Administration is or is not obliged to do. They said that they should not disclose information on this because the inspector did not want to give this information in writing either. The Supreme Court ruled that this was a valid argument.
ParlaMint-NL_2016-04-26-tweedekamer-5.u16	I absolutely see the reasonableness of the argument of not trying to deter other potential tippers. I support the Secretary of State in that. It would be unreasonable for a tipster to be treated differently in class justice than other black savers in case the tipper himself is a black saver. Can the Secretary of State confirm that in the Netherlands we are not a tax haven, after all, is not the issue that a tipster who is himself a black horseman is being treated differently from other black horsemen?
ParlaMint-NL_2016-04-26-tweedekamer-5.u17	No, I can't say anything about that right now. For that, the legal practice is too multi-coloured. Maybe this is typically something I could take with me in that letter. Answers must also be a little thoughtful after all.
ParlaMint-NL_2016-04-26-tweedekamer-5.u18	I'd love to.
ParlaMint-NL_2016-04-26-tweedekamer-5.u19	This case has been going on since 2009. Then a tipster shared information about black savers with the IRS. Since then, the lawyers of the black savers who have been ratted out have been chasing the tipster. This is now also happening through the media and parliamentary debates. Will the Secretary of State do everything in his power to ensure that the tipster's identity remains secret? Is he willing to explain where tippers are supposed to report if they have any information on black savers now? How do you get rid of your tips?
ParlaMint-NL_2016-04-26-tweedekamer-5.u20	As I have just said, but many of my predecessors have done so, the Tax Administration will make every effort to keep the name of the tipster secret, so as not to deter new tipsters. The IRS is open to new tippers. There is no active recruitment, but there should be absolutely no deterrent. I trust that everyone will know where to find the IRS, and then we will proceed with it.
ParlaMint-NL_2016-04-26-tweedekamer-5.u21	This brings us to the end of Question Time. I shall suspend the sitting for a few moments.
