ParlaMint-NL_2016-01-14-tweedekamer-4.u1	I would like to welcome the Minister for Security and Justice.
ParlaMint-NL_2016-01-14-tweedekamer-4.u12	I understand that reasoning. Of course, I've also been thinking about people getting drunk in the car, because a car can be a murder weapon if you drive it with booze. I do not need to explain that to Mr Marcouch. But drinking in the family doesn't always mean you have a murder weapon under your ass, just to put it that way. Indeed, I believe that crimes of violence should always be punished. I'm not saying anything about that either. I just haven't figured out whether there should be an increase in the sentence.
ParlaMint-NL_2016-01-14-tweedekamer-4.u13	Maybe I can help Mrs. Kooiman. She visits not only the police, but also the prison system. That's very much appreciated. There she also hears from the staff that sometimes it can get very frustrated by the fact that a suspect or convicted person is only so short in his home that he or she cannot be expected to be retrained in that short time. They ask: sometimes give us more time to reach someone and make him or her sensitive to treatment. Could that element convince Mrs Kooiman that sometimes it can be useful to hold people for a little longer, because we may only be able to reach them then?
ParlaMint-NL_2016-01-14-tweedekamer-4.u14	I thank Mrs Van Toorenburg for her question. I'm struggling with this, I say in all honesty. In addition to holding on longer, you could also consider the possibility of imposing mandatory treatment in special circumstances. I am struggling with the question of whether it should always lead to a higher sentence and therefore a longer sentence, or whether it should be said that someone with a mental disorder and an addiction is so sick that he or she should be required to rehab and be treated.
ParlaMint-NL_2016-01-14-tweedekamer-4.u15	Can I ask Mrs Kooiman to open her hotline with the prison works council on this point? I think the prison system would be happy if it could keep people behind the door a little longer. Sometimes people don't want to cooperate, but if they get the opportunity to come to themselves for just a few weeks, they might come to the understanding that they're not just ruining their own lives, but that of the people around them.
ParlaMint-NL_2016-01-14-tweedekamer-4.u16	This was more of an invitation.
ParlaMint-NL_2016-01-14-tweedekamer-4.u17	[[Sentence could not be parsed: Ik heb morgen weer een gesprek met meerdere mensen van het gevangeniswezen.]] I will certainly propose this possibility again in order to prepare the votes. I expect the Minister to understand the problems I see. I would like to thank my colleagues for their questions, which enabled me to clarify them.
ParlaMint-NL_2016-01-14-tweedekamer-4.u18	Mr. Chairman. There we are again. Fortunately again a bit side by side, fresh and fruity and with pleasure. May I say it was nice to see you radiant and moved last night? That affects all of us. Happy birthday. And now, as we always say so beautifully, to the order of the day. The CDA thinks it's a good law. So we agree with the bill. It can result in violent crimes that are suspected of being committed by a test for alcohol or drug use that can be extra weighted by their impact and cause. A judge can then take that into account. He can see if he thinks it is necessary to punish someone more severely or perhaps impose a special condition. At present there is some inconvenience, because this is only possible in the Road Traffic Act. That's a flaw. It should also be possible to identify, outside of traffic law, whether someone has committed a crime under the influence of alcohol or drugs. Think of serious abuse, for example the violence in the nightlife that the police have to deal with every time, but also the domestic violence. Scientific research has shown that alcohol can stimulate aggression. Let's be, anyone who occasionally drinks a nice drink knows that this can affect your mood. When I'm cheerful, it makes me happier. But if I'm angry or disappointed, I know I shouldn't have a drink. People who do this more often need to know about themselves. Maybe they don't know this now, but then maybe they'll wear it out that it could have consequences if you drink anyway. In his reply, the Minister referred to the special condition. We understand that, but in the Minister's explanatory statement we find it a little out of balance. For example, he talks about compulsory treatment for suspects who do not want to cooperate. Well, that could be a little tricky. We are thinking, for example, of a very recent case in Breda last week. The case is irrevocable. There's been a waiver of appeal, so it's easy to talk about it. Someone was convicted of threatening his partner. That was pretty serious. It was also a threat to cops. The D.A. said it also wanted to go through the addiction, on the use of resources. But the suspect said, "I'm not in it; drop all of it, I'm just not in it." If we are going to proceed with a special condition, I wonder if we are not almost better aware of someone pushing that condition, when he just doesn't feel like it. Then, as far as we are concerned, he can really be locked up to come to his senses. That's what the discussion I just had with the SP spokesperson was a little bit about. Maybe that's how we can reach people. Then someone's gonna see that his partner, who he's beaten up, isn't coming to visit because a lot has been done. Then maybe someone's gonna think about what he's causing in his neighborhood. That element may be highlighted. To that end, we call on the Minister. Could the Minister perhaps indicate in the directives that consistently refusing to cooperate on special conditions could be a reason to stop looking at it and simply put people in prison, to ensure that someone is reached? As far as we're concerned, bespoke is nice, but it shouldn't be pamping. We don't want to see someone getting pissed off over and over again. The probation doesn't feel taken seriously in that either. Sometimes everyone knows that a person will not comply with certain conditions. I've heard the parole officer say some of them are about to drop by with the middle finger. We shouldn't be doing that to our parole officer. I ask the Minister whether he recognizes this and whether he wants to see if people who do not want to cooperate can simply find out. There's nothing wrong with that. Then I come to the results of the use of resources. In particular, there is still a challenge for the matters to be dealt with as soon as possible. Can it be taken into account in the cases that come into this treatment as soon as possible whether someone has previously had a positive test? Can you get old tests to weigh in? I hear noises that the results of a criminal trial are not yet known. Then how are we going to ensure that it can be taken into account? I told you we're positive about the bill, but everything could be a little better. There's still some work to be done. Fortunately, the Minister has already extended the bill by also allowing a resource test for the offences to be destroyed and damaged. We still wonder: does this mean that this applies to the hooligans raging through the cities? Can suspects of soccer riots be tested for the use of drugs when they are arrested? Why doesn't the Minister go through with Articles 307 and 308 of the Code of Criminal Law on serious bodily injury caused by guilt? It will then be possible to examine whether such negligence offences can also be tested for intermediate use. Of course you can doubt it. There are people who say that you shouldn't make it too broad, but precisely because of the counter-arguments that the Council of State gives, I want to know why the Minister doesn't go through with this. I need to explain that. The Council of State says: make a better assessment framework, precisely to ensure that an overall assessment can be made. Let that be of interest to these crimes! What does the negligence lie in? Is it not possible to assess the use of drugs in this type of crime? We have drafted an amendment. We are very interested in the Minister's response to this. We have not yet produced an amendment on the possible increases in penalties. Mrs. Helder did. So I do not have to spend my speaking time on that. Do justice to Mrs Helder who brings that in and to which the Minister will respond. Then we can make that assessment.
ParlaMint-NL_2016-01-14-tweedekamer-4.u19	I have a bit of a technical question for Mrs Van Toorenburg. In fact, Mrs Van Toorenburg wishes to add three separate descriptions of the crime to the possibility of carrying out a research on resources. Is it possible that an investigative officer, a police officer, who has an indication of alcohol or drugs, doesn't have it confined to the crime of death by guilt and a form of negligence, but has a heavier crime in mind, which actually puts that drug investigation in place?
ParlaMint-NL_2016-01-14-tweedekamer-4.u20	Could be, could be. Anyone who has looked at the law and has spoken out about it says: be cautious about it. It must be possible when it really matters, but be cautious about it. I am always a little afraid that an investigative officer will indeed be reluctant in the event of doubt, which means that there is no result available in the case of a crime as described in Articles 307 or 308. That will then be because we have broadcast this and have been given a place of our own throughout the legislative history. I think that sometimes we have to lift it just over that threshold, because the spirit, however understandable, is that we have to deal with it with restraint.
ParlaMint-NL_2016-01-14-tweedekamer-4.u21	I take note of what you say. I am also actually curious about the Minister's response to that point.
ParlaMint-NL_2016-01-14-tweedekamer-4.u22	It is very relevant that you ask that question. The President will pass that question on to the Minister, who has listened to all this. Finally, as we always do at the end: the bucks. What is the cost of this exercise if we make it even bigger? If you run a drug test on every suspect by default, it could amount to 2.6 million on an annual basis, as we read. Actually, that's not that much. Actually, that's not as much when you consider that it allows you to make a better assessment of the circumstances in which someone has committed a crime. Let's be honest, I admit it's an invasion of privacy, but it always makes a judge, doesn't it? He or she always looks very closely at the backgrounds on which a crime was committed. This could be a tool. Is the Minister prepared to consider whether testing for drug use can be wider, precisely to ensure that judges can form an image of the suspect and actually take everything with them?
ParlaMint-NL_2016-01-14-tweedekamer-4.u23	Mr. Chairman. I have had debates before in which you were President. Then you were Vice-President, now you are officially the President of the Chamber. As Mr Bosma, your opponent, said yesterday, judge Chamber. That's what happened. You've come out of the bus as a winner. I congratulate you on that once again from this place.
ParlaMint-NL_2016-01-14-tweedekamer-4.u24	Thank you, Mrs Helder.
ParlaMint-NL_2016-01-14-tweedekamer-4.u25	Then there is the bill: on to the order of the day, as Mr Van Toorenburg said. The bill has been there for a long time, so it is a good thing that we finally got there. The aim is to improve the approach to violence under the influence of alcohol or drugs, so-called drugs. At least that is the first sentence of the explanatory memorandum. The original title of the bill was to reduce violence under the influence of resources. Well, that's something else, isn't it? Now the title of the bill has been changed. It is quite different now, namely the use of a resource test. The Minister will not be surprised that my group has a point of criticism about this. I'll get back to you on that. First of all, let me give you a further explanation, including for the viewers at home. The legislative proposal provides for a legal basis for the use of means tests against perpetrators of violence. The new bill gives investigators the power to order a suspect of a violent crime to cooperate in an investigation into the use of alcohol or drugs. That is certainly an improvement in the approach. In this way, the Minister wants to increase security in public life and in the home. The use of drug testing in cases of violence should involve the use of drugs as a separate factor in the imposition of sanctions in cases of violence. So that should be a penalty. The Minister also indicated that the legislative proposal could impose aggravating sanctions in order to deal with repeated and addiction. This concerns, for example, the imposition of an alcohol ban or a location ban, or the use of recognised behavioural interventions for young people and adults with the aim of changing behaviour. Judges retain the freedom to impose a sentence. The bill only makes it easier to determine whether alcohol and/or drugs have been involved. I said I would come back to it: that is the criticism of my group. In my group's view, the Minister is not moving forward, despite the promise of reducing the violence that is being committed under influence. Nor does the Minister do so despite the fact that he himself confirms in the explanatory statement that the use of alcohol or drugs, i.e. substance use, constitutes a risk factor for violence and that when resources are involved, the consequences of the used violence are often worse, due to more serious injuries and more severe violence. The recidivism in this type of crime is high. Relapsive is just an expensive word for people repeating themselves. You expect a powerful approach from the Minister of Law and Order. However, that is a bit off the charts, because that leaves him somewhat behind. The only thing that's changed with this bill is that that's a good point, that's not what it's about, is that investigators can order suspects to cooperate in the investigation into the use of resources. That test must therefore determine whether or not the crime of violence was committed under the influence of those means. If that is the case, or if there is a use of resources above a certain limit, then it is possible that the criticism in the case of the outcome of that test will affect the penalty to be claimed by the Public Prosecutor or to be imposed by the judge. As I said, it is fine that the aforementioned investigators in particular should be given a legal authority to apply that substance test to an arrested suspect. In my group's view, however, something must be done about this. It will not surprise me if my group says more often that violent crimes must be severely punished, especially if they have been committed under the influence of alcohol and/or drugs. Indeed, as I said, and also in the explanatory memorandum, the use of resources is a risk factor for the use of violence. The violence is also more severe and the consequences for the victims are more serious. In addition, there is a higher recurrence. That's what's in the Violence report. In my group's view, the fact that there is actually more punishment is achieved by means of a minimum penalty. That's what we're gonna do, just not today. You will also achieve it by statutory regulation of a penalty grounds in the case of crimes falling within the scope of the bill. We'll talk about that today. I have therefore tabled an amendment to that effect. I would like to get a response to the amendment, which will certainly come. We'll wait for it. I have another question for the Minister. Why is it not arranged for a directive to be adopted before the Public Prosecutor's Office, a so-called designation, which means that the use of resources is reflected in the penalty requirement if this is the case? We also have a directive on violence against persons with a public role, the instruction of behaviour in the use of violence (police) officials. This provides for the imposition of a double penalty in cases of violence against emergency workers. So it's possible. I see Mr Van Oosten at the interrupting microphone, but I will finish my sentences. The bill's been there for a while. That may have the following cause. The explanatory memorandum refers to the BOS/Polaris Directive, where BOS stands for Decision Support System. On the website of the Public Prosecutor's Office, it is stated that that Directive only applies to facts with a foster date prior to 1 March 2015. So it doesn't apply anymore. I would therefore like to hear the Minister's response.
ParlaMint-NL_2016-01-14-tweedekamer-4.u26	Mrs Helder's amendment has just been distributed as amended, but I am now basing myself on the original version. It does not link Mrs Helder to the limit values on which I just had an interrupting debate with Mrs Kooiman. Actually, I was on the track to introduce such a link somehow. Why did Mrs. Helder choose not to?
ParlaMint-NL_2016-01-14-tweedekamer-4.u27	First of all, I would like to comment on the amendment. I had the amendment ready for some time. The first amendment was in the title and the second amendment concerned the question of whether it should be included in the general part of the Criminal Code, which has become the final amendment, or whether it should be included separately in any of the offences referred to in this bill. So there has been no change in the content of the explanatory statement and in the purpose. We want to see a legal basis for the imposition of criminal penalties. Then I come to Mr Van Oosten's question. We have not chosen to include a lower limit, because this would make it very difficult. We leave that to settle in a General Measure of Governance. As the Minister also says, many things are regulated in an AMvB or a ministerial arrangement. The lower limit laid down in this amendment is reflected in the fact that, at least if the amendment is adopted, the legal grounds for raising the penalty are applied.
ParlaMint-NL_2016-01-14-tweedekamer-4.u28	I myself find this lower limit so interesting because it is based on the expert group's expert opinion that you should be able to establish, above a certain level of blood alcohol or above a certain limit on drugs, that it is more aggressive and not really below that limit. Then I find it complicated that, in the case of automation, it could lead to increased penalties. Maybe you can still reflect on that.
ParlaMint-NL_2016-01-14-tweedekamer-4.u29	I don't see the automatism. The amendment ensures that a substance test is carried out at the end of the entire trial with an arrested suspect, if the conditions laid down in the bill are met, and it has been concluded that alcohol and/or drugs are used. Then you're going to look into how much has been used. If, on that basis, the Public Prosecutor's Office decides to prosecute and impose a penalty requirement and indicates to the court that it will look into it, then the lower limit values applicable at that time, which change, will also apply. So I don't want to make it so difficult to set a lower limit in the law that will soon be too high or too low, because then you have to change the law again.
ParlaMint-NL_2016-01-14-tweedekamer-4.u30	I actually have a more fundamental point than that of the lower limit or upper limit. Your amendment aims to do what does not actually happen in this legislative proposal that we are discussing today. You are also talking about the fact that the Minister should actually go through with it and that you are already doing so. Therefore, my question to you is what you expect from anchoring the increase in punishment in the law when it comes to reducing violence.
ParlaMint-NL_2016-01-14-tweedekamer-4.u31	Preventive action, just like the minister. I would also like to mention this in my speech. We believe that the threat of higher penalties is a preventive one, and I am very pleased that the Minister recognizes that in this legislative proposal.
ParlaMint-NL_2016-01-14-tweedekamer-4.u32	How do you see the practice currently used by judges in criminal judgements? You don't think it's going to be discussed at all at the moment?
ParlaMint-NL_2016-01-14-tweedekamer-4.u33	I didn't say that. I did say it could be better, and we are talking about it today. Mr. Chairman. On page 3 of the explanatory statement, it is stated that the lower limit for alcohol consumption in the case of violent offences is higher than the lower limit applicable to the criminalisation of driving under the influence. The reason for this is that drinking drinks will in principle affect the ability to drive faster than it has an aggressive effect. Now that the Minister has indicated in the note on the report that the expert group has not considered whether drinking is affecting the ability to drive faster than promoting aggression, my group is curious on the basis of which the Minister draws that conclusion. It has not been investigated. Another criticism is that the Minister indicates that 42% of young people arrested for committing violence under the influence of alcohol or drugs were under 24 years of age. The Minister wants to tackle young people hard, but what does he see for himself with the juvenile criminal law that has already been introduced? In other words, young people up to 22 years of age will be tried according to juvenile criminal law and not, as a general rule, punished more severely. I see the Minister shaking no, but it is. At least it is the aim of juvenile criminal law, and he knows it better than anyone else. Finally, my group notes that it is striking that the Minister suddenly believes that higher penalties for violent crimes committed under the influence of alcohol or drugs have a deterrent effect. I have been referring to it for a while in the interrupting debate with Mr Swinkels. My group has pointed this out in the past, perhaps for some people, but yes, that is what you are standing here for. My group always says that punishment must be a punishment and that higher penalties are a deterrent effect. That was always turned down. We are therefore pleased with this: better late than never. Unfortunately, therefore, it is still true that the Minister does not enforce the higher penalties by including the points just mentioned in the law. My question to the Minister is whether he is not actually afraid of the opposite effect. What effect does it have on taking a drug test? I am not talking about a test that shows that no alcohol or drugs have been used, but that do not then use them in criminal proceedings or in criminal proceedings? That leads to the suspect thinking, "Well, I'm gonna get away with it." I would like to receive a response from the Minister on this point. To sum up and conclude, the bill is a step in the right direction. I agree with that, but the road must be completed as far as my group is concerned.
ParlaMint-NL_2016-01-14-tweedekamer-4.u34	Thank you. I give the floor to Mrs Swinkels on behalf of D66.
ParlaMint-NL_2016-01-14-tweedekamer-4.u35	Mrs Arib, once again I would like to congratulate you and congratulate you on being here so soon after your appointment.
ParlaMint-NL_2016-01-14-tweedekamer-4.u36	Thank you.
ParlaMint-NL_2016-01-14-tweedekamer-4.u37	Mr. Chairman. You have just noticed my brief interruption debate with Mrs Helder: this is a law aimed exclusively at introducing a new means of coercion. All this in order to reduce violence mainly in the domestic sphere and in public violence. This is, of course, an objective which D66 wholeheartedly supports. I also recognise that alcohol and drugs play a role in many acts of violence. I've seen that a lot in my previous work. That's very worrying. However, new legislation always raises the following questions. What kind of problem is this gonna solve? Is this an effective solution? Doesn't it go beyond what's necessary for the purpose, if you weigh down the disadvantages against the benefits? I therefore have four criticisms. Three months ago, I was doing this kind of business. An example took place on Queen's Day at the Grand Place in Haarlem. There'd been a hell of a fight, and there'd also been severe injuries. Then it was pretty hard to decide who would have done what. One thing was certain for everyone: that there was drunk. The defendant himself said it, the witness confirmed it, and it was also in the police report. It was therefore included in the determination of the sentence. That is customization, and I would like to emphasise that very much. The judge is about the weighting of factors that must count in the imposition of the penalty. If I had been asked at that time whether I needed a resource test as proposed, then I would have looked very surprised and thought: why? The funny thing, or rather the amazing thing, is that the professionals have taken the same view in the opinions. The bill assumes that there is a discussion in court about whether funds have been used. The bill cannot be based on an investigation on this point. That's not there. The professionals, the Public Prosecutor's Office, the NVvR, the Council of Justice and the Council of State say that this discussion does not exist in practice or hardly exists. I have read many times in minutes: suspect had bloodshot eyes, was unfastened, spoke with double tongue, breath smelled like... then everyone knows what follows. In court, the defendant is usually very honest about that, because he thinks he will get a less severe sentence. The result of the substance test does not add anything to this. The judge takes factors such as alcohol and drug use with the determination of punishment. Like I said, this is customization. This includes who it is, what kind of person it is, how many times it has happened, how serious the fact is. All circumstances count and must count. What this should lead to, especially when it comes to the use of resources, is often a conditional penalty, aimed at preventing repeated use of resources in such a way that it degenerates into violence. In other words, the same suspect may have learned on King's Day 2016 to guide his alcohol consumption through the conditions he had to comply with in the context of the suspended sentence imposed on him by the judge.
ParlaMint-NL_2016-01-14-tweedekamer-4.u38	I just jumped up when Mrs Swinkels indicated that a suspect in a court of law usually says that he committed the crime under the influence of alcohol, because he thinks that means that the punishment goes down. In this puzzle we see the piece with the image of what is going on, but also the piece with the increase in punishment. Will the defendant still say that in court? Or do we have nothing, and so this is part of it, when you add an increase in punishment to it?
ParlaMint-NL_2016-01-14-tweedekamer-4.u39	What a suspect will do depends very much on the person. This bill provides for some kind of objective handle to establish that there is a use of resources. This does nothing more than what the explanatory statement says: "It gives the Public Prosecutor and the judge the opportunity to base the use of drugs in violent crimes on the results of the substance test and to make the security obtained heavier than hitherto..." It is not a question of increasing the penalty, no, it is only a question of whether or not a person receives a test. If the suspect were to consider anything, it would be the risk of taking a test.
