ParlaMint-NL_2016-07-07-tweedekamer-57.u1	I give the floor to the first speaker, Mrs Koşer Kaya.
ParlaMint-NL_2016-07-07-tweedekamer-57.u12	Why does the Secretary of State free up resources to make debt relief more effective, but does it not take its system responsibility by ensuring that, in cooperation with the municipalities, these data arrive here, so that we too can assess whether the funds are being used effectively?
ParlaMint-NL_2016-07-07-tweedekamer-57.u13	I do this because I want to look very closely at how the effectiveness can be improved by the municipalities themselves with my fellow governments, the municipalities. That's where the lead lies. I'll stick with that.
ParlaMint-NL_2016-07-07-tweedekamer-57.u14	This motion does not state at all that municipalities do not take the lead and that the Secretary of State should not consult. On the contrary, it could even see this as support for policy. Let the Secretary of State explain where it says that we are hindering her and the congregations in their work. On the contrary. We want it to be more effective and better. In order to assess that, we really need that data, as the General Court says.
ParlaMint-NL_2016-07-07-tweedekamer-57.u15	The operative part of the motion lists "(...) before the end of 2016 the exact amount of inflow, flow and outflow of the debt relief system, and the results and expenditure (...)." That's really up to the municipalities. I therefore advise against this motion.
ParlaMint-NL_2016-07-07-tweedekamer-57.u16	I actually wanted to sit down because I had a bit of a run-in with the Secretary of State on this point this morning, but she really does lure it out. The General Court calls it a black box. We put a lot of money in there, but we don't know at all what happens to that money, whether it's effective and how it can be used better. Can the Secretary of State tell me why the General Court sees that and she doesn't?
ParlaMint-NL_2016-07-07-tweedekamer-57.u17	I'm not in the General Court. Apart from that, I take my fellow governments seriously. I sincerely believe that they are in the process of improving the effectiveness of debt relief. We help with this, also in the context of the programme of craftsmanship. Divosa is supported. I have confidence in that and I assume that municipalities will actually improve.
ParlaMint-NL_2016-07-07-tweedekamer-57.u18	This is amazing, isn't it? The Secretary of State considers the General Court of Auditors, who speaks of a black box, important, but not important enough to find out what he is asking for and to make its effectiveness clear once and for all, so that we do not lose so much money, but can actually use it effectively.
ParlaMint-NL_2016-07-07-tweedekamer-57.u19	I think I've said enough about that. That seems to me to be a clear position. Then there is Mr Moors' motion, the motion in part No. 363. This motion calls on the government to investigate further what is needed to make financial education more effective. The motion also calls for the granting of subsidies to be subject to a number of conditions. I think this is a motion on which I can leave the judgment to the Chamber. It is indeed a good idea to do further research. I'm going to move on to the motion in part No. 364, also tabled by Mr Moors. If I may read the operative part of the motion in such a way that I make the appeal expressed in the operative part of the motion, which I shall also refer to the WRR, I can leave the judgment on the motion to the Chamber.
ParlaMint-NL_2016-07-07-tweedekamer-57.u20	The Secretary of State is probably referring to the first point of the operative part. I agree with her explanation of that point. The second point of the operative part is that it says what it says.
ParlaMint-NL_2016-07-07-tweedekamer-57.u21	The second point of the operative part corresponds to what was already referred to in Mr Moors' first motion. I would have left the judgment on that motion to the Chamber. I come to Mr Moors' motion on item No. 365. In this motion, the government is asked to stop the municipalities from using Community money in an ineffective manner by taking over and disposing of debts. This motion I must advise against. We have devoted many words to this in our debate. This really is the policy freedom of the municipalities. So I advise against this motion. In the motion in part No. 366 tabled by Mrs Karabulut and others, calls on the government to allow pilots for effective debt relief. This motion lies nicely in the extension of the motion on piece No. 365, because the pilots in question are already possible. A municipality can take over debts from residents and residents can then pay off the municipality. In itself there are no more pilots to come, but municipalities can of course, in close consultation with the CJIB, see if they can take further steps. I like that, so I would like to leave the motion for a resolution to the House. By the way, I'd like to stay involved myself. In the motion in part No. 367, tabled by Mrs Karabulut, asks the government to ensure that each municipality offers a provision in the form of a child package. We are busy, including the Children's Ombudsman, to further promote the child package in all municipalities. In the AO I have already said, also to Mrs Yücel, that I would very much like to use the thermometer in the autumn, to see how many municipalities implement the child package at that time. However, it goes too far to ensure that every municipality offers such a child package. This is up to the municipalities themselves. However, I would like to offer the requested insight in the autumn. I do not, however, recommend the motion in part No. 367. In the motion in part No. 368 calls on the government to ensure access to debt relief for all and to promote the use of debt relief and poverty schemes for working poor people as well. We have already spoken about access to debt relief. It is not for nothing that I have the inspection carried out in this area. Nor is it for nothing that I am already looking at what we could achieve through legislation. If, however, the motion says that access to debt relief must be guaranteed and promoted for all, then I must advise against it, because it is a matter of municipal policy. I think we should wait and see what the inspection reports us on this point. I shall then come to the motion on part No. 369, which talks about reducing the number of children in poverty. The motion calls on the government to carry out an investigation in view of the urgency of the problem. This motion is unnecessary, so I advise against it. Of course, we use all the available data. The SER and the SCP are busy, also on the basis of the motion submitted by the SP in the First Chamber. I formally requested that ESC opinion. That was approved by the Council of Ministers, so the ESC is working.
ParlaMint-NL_2016-07-07-tweedekamer-57.u22	It is not about the data that are available now, but it is about using the most recent data available so that it becomes a current report, based on new figures. That's the point. Is that what the Secretary of State is gonna do, or in this case the SCP? The Secretary of State wants that report by the end of 2016.
ParlaMint-NL_2016-07-07-tweedekamer-57.u23	I assume that both the ESC and the SCP are using the most recent data. That is why I consider this motion to be a little superfluous. But we're approaching the summer recess. We can do it in such a way that I write a note to both the ESC and the SCP to make sure that they do want to use the most recent data in the consultation request, although that is a bit of an open door. Then I could leave this motion judgment room.
ParlaMint-NL_2016-07-07-tweedekamer-57.u24	We can use that in the sunny summer.
ParlaMint-NL_2016-07-07-tweedekamer-57.u25	Well, I'm glad to hear that. Then I come to the Yücel motion in part No. 370 on the child package. It invites the government to encourage us to work with a number of foundations to get this integrated approach taken by municipalities. This is not an obligation for municipalities, but it is an incentive. On that basis, I can leave the judgment to the Chamber.
ParlaMint-NL_2016-07-07-tweedekamer-57.u26	Is this something new the Secretary of State is going to do? As far as I know, this is what the Secretary of State has been saying he's been doing for years. That would make the motion unnecessary, but I could be wrong. I may have overlooked something or interpreted something that isn't.
ParlaMint-NL_2016-07-07-tweedekamer-57.u27	For the sake of time, we only ask questions about our own motions.
ParlaMint-NL_2016-07-07-tweedekamer-57.u28	Shall I answer, Mr. Chairman?
ParlaMint-NL_2016-07-07-tweedekamer-57.u29	Well, very briefly.
ParlaMint-NL_2016-07-07-tweedekamer-57.u30	Very briefly. Mrs Karabulut has a point here, because I regularly consult with all these foundations. These foundations are also in the process of getting their hands together. I read this motion in such a way that we will be able to show in the autumn what it has achieved. I'm fine with that in itself. I can live with that.
ParlaMint-NL_2016-07-07-tweedekamer-57.u31	This is a motion I have tabled, but not to underline what is already happening. This motion asks the Secretary of State to sit actively with these nationwide organisations, to encourage them to come up with a plan of action to offer those child packages recommended by the Children's Ombudsman more for all children in poverty. According to the knowledge we all have, some municipalities now have a short child package and others have a wider package. Some foundations do work in certain municipalities, others do not. That's the whole point. This motion calls for an integrated approach. I really want a reaction to that right now. That may cost money, but that's another phase. We'll see about that in the budget.
ParlaMint-NL_2016-07-07-tweedekamer-57.u32	I'm not leaving the motion to judge Chamber for nothing. It may well be an added value that these foundations take joint action so that the child package can be better coloured in. It is still important that municipalities themselves consider whether they will take over that integrated child package, yes or no. That's just the city's policy freedom, but I'm gonna leave this motion to judge Chamber with love.
ParlaMint-NL_2016-07-07-tweedekamer-57.u33	Mrs. Yücel, shortly.
ParlaMint-NL_2016-07-07-tweedekamer-57.u34	Do I hear the Secretary of State say that she is willing to table with these parties and order them to come up with an integral package? After all, that is not a decentralised policy. She is funding these rural organisations, and she may ask for something of them, so that they, together with the UNG, will ensure that more children are achieved in poverty, with all the means available. That's what this motion requires. Can the Secretary of State confirm that?
ParlaMint-NL_2016-07-07-tweedekamer-57.u35	I have explained the motion as follows, and it is good to underline this: I am called upon to see if these foundations, which I have already had regular discussions with, can make an integral child package and, if so, how and what it would cost. Then we look at what that would mean for municipalities. That's how I explained the motion. I'd like to leave the judgment to the Chamber. Then I come to the motion in part No. I would like to thank Mrs Schouten for her excellent report. I have already promised her that I will ask the ESC to include this point of attention in the exploration of the combination jobs. I have already promised to inform the Chamber before 1 September whether this will work. I advise against this motion because it calls for an ESC inquiry as such into working poor and earners.
ParlaMint-NL_2016-07-07-tweedekamer-57.u36	I think I just explained exactly what I meant. I said: if you can get to the ESC, it's all right! Then we'll have to do it at the SER. But we don't know that yet. After all, the Secretary of State says that she can only inform the Chamber about this on 1 September. Then time will run out and it will be too short a day if we want to get these data before the budgetary procedure. I actually want it to happen to the left or to the right, and if you can do it to the Economic and Social Council, it's all right. That's what this motion is asking for. I think I'm giving the Secretary of State all the space she needs.
ParlaMint-NL_2016-07-07-tweedekamer-57.u37	Mrs Schouten is now sighing a little bit, but if we can go along with this in the ESC's ongoing research, it is of course the fastest. That is why I would very much like to ask the Economic and Social Committee to support this. I promised the Chamber that I would inform the House of the situation immediately after the summer recess. I'd be happy to.
ParlaMint-NL_2016-07-07-tweedekamer-57.u38	I've agreed to that, too. I also said that that's totally good. We just don't know if the SER can take it. The ESC is already in the process, there is already a trajectory and it may be difficult, but I want this investigation, to the left or to the right, to be done. Can the Secretary of State undertake that if it cannot be done by the ESC, it will then be investigated in a different way and we will get the data for the 2017 budget treatment? I'm willing to withdraw the motion, but I'd like to have that assurance.
ParlaMint-NL_2016-07-07-tweedekamer-57.u39	I have to say quite frankly that I am not sure that I can do that for the budget. I sincerely think that the shortest route is to get on the scouting of the ESC to the combination lanes. Then it can "like a spear," I'd like to say. I really want to do this with all my efforts, but I cannot guarantee that we will be able to present the results of a study other than this for the budget.
ParlaMint-NL_2016-07-07-tweedekamer-57.u40	In this way, the verdict remains that the motion is not recommended.
ParlaMint-NL_2016-07-07-tweedekamer-57.u41	Then I come to the motion in part No. President. - The next item is the joint debate on the following motions for resolutions: I reject this motion because it really belongs to the Minister of Finance. I know that people have looked at it many times. I don't think it has any added value here. The motion in part No. 373 deals with minimum access requirements to municipal debt relief. We have, of course, had an exchange of views on this. The inspection is now looking for access to municipal debt relief and will also give us the report in the autumn. We agreed that broad access to debt relief should be clear and that I would prepare the legislative amendment that would be needed if it were to prove that access was not broad enough. So we're already doing it. That is why I advise against the motion in part No. 373. The other points in the motion concern decentralised policies.
ParlaMint-NL_2016-07-07-tweedekamer-57.u42	Mr Krol made a comment on the motion for a resolution on item No. 372.
ParlaMint-NL_2016-07-07-tweedekamer-57.u43	The only thing in the motion in part No. 372 is asked whether the Secretary of State would like to talk to her colleague from Finance, because there are consumers who currently pay 14% interest if they think they need a new washing machine, while they can buy it much cheaper elsewhere. I don't think that's too much to ask. But if the Secretary of State really doesn't want it, I'm going to hold the motion and I'm going to retable it with her colleague from the Treasury. It is precisely because the Secretary of State is dealing with debt relief that I think the question of whether she would like to talk to her colleague should not be too much.
ParlaMint-NL_2016-07-07-tweedekamer-57.u44	However, I maintain my view that the motion does not belong here. So I'm deceiving the motion.
ParlaMint-NL_2016-07-07-tweedekamer-57.u45	Let me take a look at Mr Krol. Does this mean he's holding the motion?
ParlaMint-NL_2016-07-07-tweedekamer-57.u46	I'm withdrawing the motion.
ParlaMint-NL_2016-07-07-tweedekamer-57.u47	Since the Krol motion (No ) has been withdrawn, has ceased to be the subject of a debate.
ParlaMint-NL_2016-07-07-tweedekamer-57.u48	So much for my assessment of the motions.
ParlaMint-NL_2016-07-07-tweedekamer-57.u49	This puts an end to the VAO's policy of poverty and debt. The motions tabled will be put to the vote at the end of the sitting. I would like to thank the Secretary of State for Social Affairs and Employment for coming to the Chamber.
