ParlaMint-NL_2016-05-26-tweedekamer-7.u1	I'll give the Prime Minister the floor. 18 motions have been tabled.
ParlaMint-NL_2016-05-26-tweedekamer-7.u12	Mr Omtzigt, a question on the motion.
ParlaMint-NL_2016-05-26-tweedekamer-7.u13	Could the government write a letter on what kind of changes are and are not possible? I understand there's no way that's going to go down to the smallest detail. Moreover, if some things need to be changed, the question is whether this can be done immediately or whether it will take two years. It would be nice if this information were available for the elections and preferably also written for the election programmes, so that at least there is an idea of what could happen.
ParlaMint-NL_2016-05-26-tweedekamer-7.u14	I understand the problem, and I would like to suggest to Mr Omtzigt that he hold on to his motion. There is another debate with the Secretary of State, who is also going to send a letter on these twenty complex regulations. This is also very much about the problems of the Tax Administration, the tax of the Tax Administration. In that debate, Mr Omtzigt can then continue to discuss with the Secretary of State what can and cannot be done. For example, he is very interested in fees. Here again, the question is what fees and what changes. My suggestion would be to hold the motion now and to involve it in the debate and the exchange of information with the Secretary of State who is still following. If necessary, the motion may then come back.
ParlaMint-NL_2016-05-26-tweedekamer-7.u15	I'm holding my motion, Mr. Chairman.
ParlaMint-NL_2016-05-26-tweedekamer-7.u16	At the request of Mr Omtzigt, I propose his motion (34475, No. 7) to be retained. That is what is decided.
ParlaMint-NL_2016-05-26-tweedekamer-7.u17	Then the motion to part No. 8 by Mr Van Dijck and Mr Wilders. There's a line under the name Wilders. I do not know whether that has any extra significance in parliamentary traffic. This motion calls for the interest rate counter to be used for an increase in the AOW. I would just like to ignore the technique, because Mr Van Dijck knows that this is about money that would have been released last year as a windfall. It wasn't cleared, so I can't put it in. The political message is: the Minister of Finance has a windfall, the elderly are having a difficult time................................................................................................................................................................................................. This motion is unnecessary. As we know, in 2016, we took purchasing power measures, totalling around 900 million, to ensure that older people are also above zero. Our estimate is that they are on average I keep repeating that there are large differences within the group of older people.................................................................................................................................................................................................................................................... Next year it will all go wrong, Mr Van Dijck said. We don't know that yet. There are absolute risks and pension funds suffer from low interest rates. The cabinet simply looks back at the overall purchasing power picture in August and then takes measures, if necessary and as far as possible. That's why I'm dissuading the motion. The motion in part No. 11 concerns the status holders and the labour market. We have talked about this in this debate. I'm dissuading the motion. To bring together matters of labour market, education and integration, we have decentralised them. The towns are really up to it here. They've been given extra resources. We've reached an agreement on that. A lot is happening to bring language, education, etc. together. There are many examples of this, for example in Amsterdam and Amersfoort. I could draw up a list of projects that do exactly what GroenLinks advocates. However, we are not going to prescribe a single model. The aldermen of GroenLinks in our country really wouldn't want us to move on to policies that are organized on a decentralised basis. The latter was a provocation, Mr. Chairman. I apologize.
ParlaMint-NL_2016-05-26-tweedekamer-7.u18	One question on the motion, Mr Grashoff.
ParlaMint-NL_2016-05-26-tweedekamer-7.u19	This is really starting to get a little annoying. It is not something that is arranged locally. There will be local repairs in place. Locally it is handled very creatively to try to smooth that a bit, despite the difficult, reckless national rules that partly run through DUO in Groningen and are therefore organised nationally with national legislation on integration. I think that those aldermen of GroenLinks and of all the other parties who are also of good will would be extremely helpful if this were to be simplified.
ParlaMint-NL_2016-05-26-tweedekamer-7.u20	That's one of those platitudes. Who is against simplification? Funds go to municipalities for integration and integration, funds go to municipalities for social support, funds go to municipalities for the labour market, etc. Yeah, some of the educational resources run through DUO. It's part of it. This is so arranged to ensure that people have access to education by that route. So what exactly is Mr Grashoff proposing here? I advise the motion chairman, because she really has no added value. The motion in part No. 12 by Mr Grashoff and Mr Koolmees, on economic growth and emissions of CO. We have already exchanged arguments about this. We are committed to the objectives of the energy agreement. If more needs to be done to achieve these goals, we will intensify this; I have already said so. However, Mr Grashoff already thinks he knows that this is necessary. Following the ruling in the Urgenda case and the agreement in Paris, the Chamber has already received several letters on this matter from the Cabinet. They were, for example, about research into the phasing-out of coal plants. So these are all matters that are already on our agenda. We are not going to develop a new strategy for this. I therefore advise against this motion. I'm getting to the motion on part No. 17. It deals with the legality of expenditure in the municipal social domain. This is a very constructive motion by Mr Krol. She is about exactly what the Minister for Foreign Affairs has taken up. I'd like to take over the motion. This is an interesting new opportunity in interparliamentary traffic, Mr President.
ParlaMint-NL_2016-05-26-tweedekamer-7.u21	Yeah, that's true.
ParlaMint-NL_2016-05-26-tweedekamer-7.u22	I'd like to do that if you'll allow me, Mr President; that's the way it is.
ParlaMint-NL_2016-05-26-tweedekamer-7.u23	The Krol motion (No ) has been taken over.
ParlaMint-NL_2016-05-26-tweedekamer-7.u24	I see Mr Krol nodding, but of course I do not know if I did him a favour.
ParlaMint-NL_2016-05-26-tweedekamer-7.u25	I see he doesn't believe it himself yet.
ParlaMint-NL_2016-05-26-tweedekamer-7.u26	That's the risk of the job. The motion in part No. 18 comes from Mr Kuzu. It states that the greatest possible independence of the electoral cycle should be exercised in budgetary cycles. Mr Kuzu states that the 5 billion cuts introduced this year are linked to the elections. By the way, the elections are not until next year. Maybe he's wrong about that. He calls opting for this burden relief unwise policy because it would be procyclical. That is very interesting, but I also keep hearing from him that things are still going so badly with the economy in the Netherlands. I hear from exactly the same Mr Kuzu that it is still so weak. Thus, the Cabinet considered that, after years of burden increase, a reduction in the burden is in place to further stimulate economic growth. This is what we are doing to push that economy forward and get people to work. No, says Mr Kuzu now, that cannot be because elections are coming. Well, I find that an incomprehensible reasoning. I reject the motion. The last motion, in part No. 20, by Mr Bontes, deals with the asylum reserve. Mr Bontes may think that this reserve is freely available, but these are simply funds that have already been transferred to V and J from the external trade and development cooperation budget. Those asylum seekers have already arrived. When they arrive, costs will be charged. They're put in an asylum reserve. So these are really already earmarked for asylum reception. So what is requested in the motion is not possible, unless Mr Bontes says: we are simply not going to receive asylum seekers anymore and we are putting them out on the street. However, that is absolutely not the intention of the cabinet. So I must advise against this motion.
ParlaMint-NL_2016-05-26-tweedekamer-7.u27	This brings us to the end of the 2015 debate on accountability. I would like to thank the Prime Minister, the Minister of Finance, and also the members of the General Court of Auditors who are in the Chair. We will vote on the motions tabled next Tuesday.
