ParlaMint-NL_2016-02-18-tweedekamer-23.u1	I see Mr Omtzigt standing at the interrupting microphone.
ParlaMint-NL_2016-02-18-tweedekamer-23.u30	Mr. Chairman. There is a great deal to be said about the coco's. I have also expressed my reservations about this, but the reason why we are here is the way the law has been established and the way the Minister of Finance has informed us about it. Coco's are loans that are converted into shares when banks are in danger of getting into trouble. Therefore, since it is so-called risk absorbing capacity, it is right that it should be regarded as own funds. Now the behind-the-scenes have lobbied heavily, and they have arranged for themselves to be able to eat off both sides. The coco's are own funds when it comes to meeting the buffer requirements, but they are suddenly debt when it comes to using the interest deduction. And that's going to bring hundreds of millions of euros to the banks. After all the wobbled pieces, thanks to NRC, we now know that the influence of the banks on the laws is very great. Entire passages were found to have been written by the banks, led by ING. Now my problem is not that it is being consulted with banks, and it is possible that the law might even make it better technically, but this is not a technical adjustment at all. It is a huge tax advantage towards the banks, it is a gift of no less than EUR 350 million. To put that in perspective, we sometimes have debates here about security, about access to the rule of law. Then it's about a few tens of millions. There has not even been a debate on this 350 million gift and there should not be too much publicity about it. It was hidden in a letter of amendment of a technical tax law to the Chamber, without making it clear that this was expressly requested by the banks. It did not go to the Council of State and it was not submitted to the European Commission to examine whether there might have been State aid, while there was clear doubt about the Ministry. In an internal letter to the Minister, the choice is made to explicitly limit the scope to banks in the legislative text. In this choice, it says, there is a significant State aid risk. In that case, the Minister insists that consideration should be given to the possibility of making deduction possible for non-financial institutions as well. But if there is no cover for that now, then we will have to limit it to the banks. In this document, in which almost everything has been wiped out, there is also talk of a major State aid risk. That's the one sentence that didn't go away. Then there will be a discussion within the Ministry on whether or not there is a State aid risk. Senior officials are very concerned. Why wasn't Brussels informed? The Minister writes that there have been informal contacts with the European Commission, which would have made critical comments. So there were several contact moments and what exactly were those comments? Did they say that it is simply state aid? Why did the Minister not inform the Chamber of the major involvement of the banks in this process? The lobby also concerned the way in which it had to be communicated to the outside world. Why does the Minister go along with removing references to bank benefits? Finally, I would like to comment on something that is indicative of the whole story. That is a note from a senior official to a minister saying: it is a question of whether a separate legislative proposal would not draw too much attention to this provision, which could be seen as a concession to the banks. This is significant, and this makes it seem that it was intended to keep this legislation under review.
ParlaMint-NL_2016-02-18-tweedekamer-23.u31	One of the main concerns of the SP focuses on consultation and co-writing with this law. That is, of course, the right of the SP. But I do have a question for Mr Merkies of the SP. Does he sometimes take direct motions or lyrics from lobbyists and use them here in the Lower House?
ParlaMint-NL_2016-02-18-tweedekamer-23.u32	No, I always write my own lyrics. I'll consult with people. Of course, it happens sometimes that I submit a text, in the vein of: what do you think of this? I'm fine with all of that, by the way. I'm fine with the Minister doing that, too. That is what I have just said in my speech. I'm fine with consulting with the banks. In fact, these are texts that have been taken over literally. But what is even more important is that what is being taken over does not relate to the technical improvement of the bill, but rather to conceal, for example, that a clear advantage is being given to banks. I really don't think you're gonna be able to take that kind of lyrics.
ParlaMint-NL_2016-02-18-tweedekamer-23.u33	Mr Merkies is now bypassing my question. My question was, did your party ever do it? There are literal motions, but also texts that we can find, which have been introduced by lobbyists. Then I think it is a bit like double standards when you say: I am fine with us as SP doing so ourselves, but we do not agree with the cabinet doing so in other cases. That's double standards, and I don't think you should want that.
ParlaMint-NL_2016-02-18-tweedekamer-23.u34	I do not know what motions you may be referring to from other colleagues, but I have just said that this is not my problem. The problem is the type of business that is being taken over. I wouldn't have such a problem with it if it was said: okay, you have a good input and this fits in better with the practice. I do have a problem with texts in which people clearly think about how to cover things up and how to hide it from the European Commission when it comes to the risk of state aid.
ParlaMint-NL_2016-02-18-tweedekamer-23.u35	I actually have a very simple question. When I listen to his speech this way, Mr Merkies is not terribly enthusiastic about the fiscal advantage of coco's. Why did the SP Group vote in favour of the law?
ParlaMint-NL_2016-02-18-tweedekamer-23.u36	It has been a hammer piece, so it has not even been voted on. That's because it was hidden too. It was not only the case that it was hidden in a letter of amendment, it was stated that the bill contained mainly technical and editorial changes, but it was also the case that it came into a tax law, which was dealt with by other spokesmen. Of course, it varies by group, but in my case it did. The other spokesperson read only: they are only technical and editorial changes. So it's not in the law itself, but it's in a letter of amendment, which also contains a lot of other things. Well, then it's hidden, Mr. Nijboer.
ParlaMint-NL_2016-02-18-tweedekamer-23.u37	Unlike the Group of the Greens/European Free Alliance, which did not provide any input, I can also imagine that the Group of the European People's Party (Christian Democrats) and European Democrats has contributed and asked a number of questions. If you provide input, I assume you will also read the contributions of other groups and the answers to them. It's a law. Legislation is the most important thing we do here, Mr Merkies. It just said there was $350 million involved. It said it only applied to the financial sector and not to other companies. Then I wonder: what is Mr Merkies doing with 15 seats in this Chamber, when he makes so much noise and is so against the banking lobby, but does not even request a debate in the Lower House and in the Upper Chamber, but agrees to the bill as a hammer piece? Isn't that incredible for a people's representative?
ParlaMint-NL_2016-02-18-tweedekamer-23.u38	First of all, I would like to thank Mr Nijboer for giving me the credit that we have indeed contributed. The PvdA did the same. Those are the two parties that have contributed... I hear that the PVV and the VVD have also done so. We even asked for the amount. I think that amount has been mentioned in response to our question. Quite a while, I think, six months later, a letter of amendment has been made. So bear in mind that the bill states that it contains mainly technical and editorial changes. Then it comes to other spokesmen and there it is hidden somewhere. It says, however, that it has no budgetary interest. Then I can't blame those spokesmen that they didn't see anything going on. If the Minister had been honest, he would have just said: this is going to bring the banks 350 million and cost me 350 million. That's just what we're talking about.
ParlaMint-NL_2016-02-18-tweedekamer-23.u39	Mr. Chairman. First of all, I should like to support Mr Merkies, because in response to questions from me about the letter of amendment, Mr Wiebes clearly stated that this bill is budget neutral. So I, too, have been put on the wrong foot. I assumed this was budget-neutral. The Minister can explain where that 350 million comes from. Before the summer of last year, this minister thought for a moment to push through a small douchebag of the banks. The note of amendment to the low-policy Tax Collection Act 2014 launched a small deduction for the financial sector. Budget-neutral, I told you. It can't have a name. That's why it was a hammer piece. What are cocos? It is another exotic product from the vein of the creative minds of the banking sector. It is a loan and capital in one, a profit doubler: the tax advantages of a loan and at the same time strengthening the capital, without watering down shares. Who's making it up? It is a complex and risky product that nobody understands and to which we owe the banking crisis. Six years ago the coco didn't exist, and now we have 100 billion in coco's, 25 billion in the Netherlands alone. A real hit. That cocos are dangerous, we could see last week when Deutsche Bank got into trouble. The coco's lost 30% in value in one blow and interest rates increased, even in Spain from 8.25% to 18%. Are we already seeing the omens of a new subprime coco bubble? You can see him coming. The need for banks to strengthen their capital position is something that everyone agrees on, but why should this be facilitated by tax? Are the banks really that pathetic? They're making mega profits! Today we saw it at Rabobank: 2.2 billion profits, a 20% increase in profits! They pay out mega-dividends and pay mega-salaries and bonuses. What do you mean, the banks are pathetic? Why doesn't the bank just spend extra shares or hold the profits? I have tabled a motion to that effect before, but the Minister does not want to do so. No, the banks opt for shorter balance sheets, less credit, securitisation and coco's, with all the risks involved, and the Minister facilitates it. The Minister takes for granted the fact that the Treasury lacks 530 million in tax revenue. The fact that the banks have contributed to this bill is a state-of-the-art policy. It's gotta be possible. The fact that ordinary companies cannot deduct interest is a pity for them. After all, they also do not have to meet the very strict capital requirements that apply to banks. The fact that this violates the principle of equality is not relevant, because a bank is not an ordinary business. The Minister looks forward with confidence to the possibility of state aid, because everyone is doing it. I had hoped that it would finally end with the support to the banks. Haven't we learned anything? If banks need to strengthen their capital, they simply need to issue shares like any other company or hold profits and not pour out toxic complex products on the market. Products that are deductible as well. There's gonna be accidents. The tax advantages, the complex products, the risks, the salaries, the dividends: everything remains the same. They smoked a cigar, drank a glass, did and pee, and everything stayed the way it was. Chapeau, Minister!
ParlaMint-NL_2016-02-18-tweedekamer-23.u40	Mr. Chairman. As far as the VVD is concerned, this debate is not about the fiscal aspects of the so-called'spoken' and it is difficult to explain coco's. As far as we are concerned, the debate on the coco's has already taken place under the Tax Collection Act 2014, although perhaps you should not call that a discussion, because it was a hammer piece at the time. The VVD is also in favour of tax deductibility of coco's, in particular because of a level playing field for our banks in Europe. As far as the VVD is concerned, we are discussing the influence of the lobby. The VVD considers it important to hold consultations and consultations with industry, for example, but also with other organisations involved. A law must also be workable and enforceable. The VVD considers it important that these kinds of consultations are clearly reflected in the documents, whether it is a law or a letter of amendment. Is the Minister prepared to include any consultations in future in the explanatory memorandum to the letter of amendment? The VVD would like to mention the indignation about the involvement of the banks in the coco law, to say the least, remarkable. Everyone can bring their opinion or position to the attention of politics. Everyone can stand up for their interests: business, consumer organisations, interest groups and citizens. In fact, we have 17 million lobbyists in the Netherlands and they can all be heard. In the end, it is up to politics to weigh all of this, determine whether and what it does with it and ultimately decide. Lobby is not only good or acceptable if the content of it happens to suit you. Left-wing parties are fine with the influence of lobbyists if the content is their position. I never hear left-wing parties complaining about the Greenpeace or Environmental Defense lobby. In the case of the GroenLinks and PvdA climate laws, Greenpeace made the same proposal. Also in the case of motions, texts are sometimes taken over literally. Minister Dijsselbloem also shows two faces. In an opinion article in the NRC in January 2015, the Minister still strongly denounces the banking lobby. He talks about "massive resistance" and "wanted and factually incorrect arguments." By the law we are talking about, the same NRC finds that the bank is asking and the minister is running. A colleague of mine just said the same thing. How should the present case be seen in relation to that opinion? We've seen this a few times before. You sometimes wonder: who is the real Jeroen Dijsselbloem? Is it the Jeroen Dijsselbloem of opinion, or the Jeroen Dijsselbloem of this law? Lobby's fine with the VVD. Lobby could be useful, too. In the end, it is always up to politics to weigh everything and make the decisions.
ParlaMint-NL_2016-02-18-tweedekamer-23.u41	I have nothing against lobbying. I also always say that I hope that the lobby of the environmental movement would be equally effective and would always produce these kind of gifts of 350 million. Unfortunately, that is still not the case and that is a pity. However, does the VVD not feel with me that the lobby has been very close when the director of ABN Amro, a good old acquaintance of ours, calls with the Minister whether it can be a bit vaguer, because otherwise they might have a little problem with the Dutch Bank or with the European Commission? Doesn't the VVD also have the idea that a bit of a border has been crossed?
ParlaMint-NL_2016-02-18-tweedekamer-23.u42	I think the Minister has given clear answers. Proposals have been taken over from the banks. A number of proposals from the banks have not been taken up at all. That's how it should work. In the end, the Minister must make the decision and then submit it to the House of Representatives.
ParlaMint-NL_2016-02-18-tweedekamer-23.u43	This means that the VVD considers such a very intensive, almost sitting together on the lap of the top of the bank in the Netherlands and the Minister of Finance to be completely normal.
ParlaMint-NL_2016-02-18-tweedekamer-23.u44	I don't think this minister sits on the lap with the banks. However, I have just mentioned another example. That was from GroenLinks himself. GroenLinks thinks it makes sense to come up with a climate law while an environmental organisation has previously made the same proposal. But GroenLinks does not think it is logical that there should be consultation with banks and that some of the concrete proposals made by these banks should be taken on board. I believe that this will mean double standards.
ParlaMint-NL_2016-02-18-tweedekamer-23.u45	It is known that the VVD is the party of the banks, but the VVD used to be the party for business. I do not hear Mrs De Vries on the principle of equality. Doesn't she think that if you arrange something like this, a coco for the banks, that should apply to everyone?
ParlaMint-NL_2016-02-18-tweedekamer-23.u46	On the contrary, I have looked at equality, at equality in Europe. I've been watching how it's handled. I believe that the banking sector is one of the few sectors where we impose capital requirements as we do. I think the PVV here is a bit typical. I was recently addressed in a debate by Mr Van Dijck about the level of capital requirements, and then he said: we have to think about this lending, we are not doing anything about it. Now he's saying exactly the opposite.
ParlaMint-NL_2016-02-18-tweedekamer-23.u47	I'm not saying the opposite. I'm just saying we make a demand to banks. 3%, 4%, 8%, I don't care. I'm worried about the loan, though. However, business demands are much higher. When you get there with 3% equity, nobody wants to invest in your company. So the banks already have very low requirements vis-à-vis business and are now being favoured by this law, because of its tax deductibility, and business is not going to be. That principle of equality should appeal to the VVD. Equal monks, equal hoods.
ParlaMint-NL_2016-02-18-tweedekamer-23.u48	We are looking at this equality, including within Europe. We look at how things are arranged there, at what other countries do with the deductibility of those coco's. If the PVV had been such an opponent of this proposal, it should have just voted against the law. She didn't.
ParlaMint-NL_2016-02-18-tweedekamer-23.u49	Mrs De Vries does not seem to find it a problem that 350 million went to the banks. Does she find it a problem that these banks made suggestions, for example to remove the reference to banks? It was about advantages for banks and that "banks" had to be removed.
ParlaMint-NL_2016-02-18-tweedekamer-23.u50	I believe that before that time there was already a question of deductibility of hybrid capital. In that sense, Mr Merkies, I do not agree with you. Proposals have been made. That is clear, and it is clear from the documents that have been submitted to us. I'll come back to you again. You're literally taking over motions. We have an e-mail exchange in which literally a motion from a lobby club is taken over by the SP. It'll just be put to the vote. You don't think that's a point. So that's what I really think about double standards.
ParlaMint-NL_2016-02-18-tweedekamer-23.u51	Mrs De Vries is avoiding my question. It was about the banks making suggestions. It was about the advantages of banks and they should not be given too much publicity, so it was proposed to take out the benefits of banks. The fact that the banks do that is one thing. However, the Minister then takes over. What does she think of this practice?
ParlaMint-NL_2016-02-18-tweedekamer-23.u52	The Minister has made a number of considerations. He has accepted a number of proposals and some have not. You're literally taking over proposals. Completely, without even changing a comma. Then I think you're really measuring with two sizes.
ParlaMint-NL_2016-02-18-tweedekamer-23.u53	Now I'm being personally attacked. You're not talking about me personally, by the way. That's what you're suggesting.
ParlaMint-NL_2016-02-18-tweedekamer-23.u54	I'm talking about a colleague of yours from the SP. We have mail changes, that literally motions have been taken over.
ParlaMint-NL_2016-02-18-tweedekamer-23.u55	However, Mrs De Vries keeps avoiding my question.
ParlaMint-NL_2016-02-18-tweedekamer-23.u56	I think I answered that very neatly.
ParlaMint-NL_2016-02-18-tweedekamer-23.u57	Mr. Chairman. I want to discuss three things today. The first is the legislative process, the second is the state aid risk and the third is the underlying problem that we should be talking about, namely the tax rules on debt and equity. I shall begin with the first point, namely the way in which this law has been implemented. The banks have interfered with this law at the highest level. The Minister says that the involvement of external parties is normal and even important in the drafting of legislation. I agree. It is important for ministries and politicians to know what is going on outside of the cheese-stolp in The Hague, but then it must be transparent. Earlier today, this was discussed in the debate on the impact of corporate lobbies on legislation. The influence must be transparent, just like the positions. Then it's clear to everyone. D66 together with GroenLinks submitted the Open Government Initiative Act. The proposal is to actively disclose letters and e-mails from companies, organisations and other stakeholders, while respecting the privacy of individuals. How does the Minister view this proposal? Back to this law. ING received a draft of the law. ING's comments on the legal text have been processed literally on parts. Precisely for this kind of influence on legislation, there is an official procedure, namely a public internet consultation. Anyone can comment, which is reflected in the lobby section in the explanatory memorandum to the law. In this way, it is clear and transparent how the law has been influenced by external parties. Unfortunately, that did not happen under this law. Moreover, the Council of State is not involved either. D66 asked in the written round of questions whether the Minister felt that it should have been otherwise. The Minister then admitted that the legislative process should have been different. My group welcomes this confession. I come to my second point, namely the State aid risk attached to this law. I ask the Minister why he has chosen not to inform the Chamber about this. And why was the measure not notified in advance to the Commission? In the meantime, the Commission itself has asked for more information on this law. I wonder when we can expect a response. Following the Commission's request for information, has the Minister received any signals that banks are concerned that the Commission might consider this to be state aid? There is much to be said about the legislative process followed by this law, even though the Chamber has simply agreed to it. In the current system, it is also not surprising that coco products are deductible, because that is true throughout Europe. However, I think the current system itself is crazy. That brings me to the third point, which is the underlying problem that we have with the tax rules to promote debt. We have talked about this before. Interest on debt is deductible, while dividends on equity are taxed. That makes it unattractive to retain own funds and it subsidises debt. It is important that we treat debt and equity more equally in the Netherlands. A motion by Mr D66 on this subject was, unfortunately, voted away earlier. No agreement could be reached in the tax reform. However, that is no reason to give up. We know from NRC's WOB procedure that the Minister feels the same about the substance and that more parties in this Chamber do. My question is therefore whether it is not time to work on this. If not, I'll have a motion ready for the second term.
ParlaMint-NL_2016-02-18-tweedekamer-23.u58	Mr. Chairman. Politicians write the law, not the bankers. That's how it's supposed to be. If you look at the extensive mail changes and the influence that has taken place, you can see on the one hand that bankers can have a lot of influence over this law and on the other hand you can see that the minister has always decided what he wanted or did not want to take over. In the end, that's how it's supposed to be. However, the PvdA Group believes that the lobby should be much more transparent and that consultation procedures should be more accessible to everyone. That was not the case in this case. Mr Koolmees has just said something about this and the Minister has also said something about this in the answer to the parliamentary questions. The Group of the Party of European Socialists and my colleagues Mr Oosenbrug and Mr Bouwmeester have taken the initiative on this point. If a new law is made, everyone should be able to participate, regardless of whether he is simply an interested, an interested person, an employee of a bank or a member of an environmental organisation. Everyone should be able to know that the influence process is starting. That's gotta be public. Then there must also be a public record of the input of the people who have contributed. And finally, what the Minister or the Secretary of State has done with it must also be public. In the case of legislative proposals, there must be a lobby section. I would ask the Minister to do the same in future. It is quite different whether we are getting a tax law or a law on the financial sector, as we have seen in this example. Finally, I would also like to ask the Minister that this is a suggestion from my fellow Members, Mr President-in-Office, whether he is prepared to make his agenda public.
ParlaMint-NL_2016-02-18-tweedekamer-23.u59	More than a year ago, I made a number of proposals on the lobby, partly on the basis of a recommendation from the De Wit Committee, which felt that the banking lobby was large. At that time, I proposed adding a lobbying paragraph to legislative proposals. Why did the PvdA Group vote against it?
ParlaMint-NL_2016-02-18-tweedekamer-23.u60	I do not know exactly how it was voted in all the votes after the time of the De Wit Committee. The first debate was all about the conclusion of that committee, so I don't even know if I was in that debate myself. However, the PvdA Group has proposed this lobby paragraph, so it is certainly in favour of it.
ParlaMint-NL_2016-02-18-tweedekamer-23.u61	It is strange that this was proposed five years ago, but nothing is being done about it. I had that debate with Mr Nijboer. Mr Nijboer himself decided to vote against the motion, but it simply said: let us introduce a lobby paragraph. That's all it said. Why did Mr Nijboer vote against it?
ParlaMint-NL_2016-02-18-tweedekamer-23.u62	Mr Merkies must not make me lose sight of the fact that I do not have all the motions and reports from five years ago. I am in favour of a lobbying paragraph in all legislation, as well as in finance legislation. If Mr Merkies is tabling a motion this evening proposing the introduction of a lobby paragraph, the PvdA Group will simply vote in favour of it. I'll tell you now. He can put that motion all in his own name. If he wants to, he can take it tonight.
ParlaMint-NL_2016-02-18-tweedekamer-23.u63	That motion was voted not five years ago, but in 2014. There has also been a debate on the lobby this afternoon and a motion has also been tabled. So the PvdA can vote in favour.
ParlaMint-NL_2016-02-18-tweedekamer-23.u64	Sure, we will. If there is exactly what Mr Merkies has just said in that motion, we will certainly vote in favour of it. That's no problem at all.
