ParlaMint-NL_2016-03-08-eerstekamer-3.u1	I would like to welcome the Foreign Minister to the First Chamber.
ParlaMint-NL_2016-03-08-eerstekamer-3.u12	I never do "if-history," so I don't know. I do know that we have an association agreement with Jordan. Although that country is not having it easy, with a population increase of about 20% over the last three years, all Syrians have been very well so far. Here too, I will not say that it is because of the association agreement. That would be hubris and it is not. I said it could make a small contribution to the promotion of prosperity and stability. Given all the problems, it doesn't really help that all speculation about a British departure from the European Union is going through it at the moment, as if there were no more pressing issues. However, it is no different. We can only hope that the British electorate will do something that may no longer be fashionable today, namely to make sense speak more than emotion, and that it will choose to stay in the Union. Without Britain, our country will also get a little further into the periphery of the European Union in many ways. On the other hand, our group also makes it clear that the necessary strengthening and integration of the euro is not always dependent on British consent. The British should also accept the disadvantages of a country that is not participating. That brings me to one final point. Will the government with 28 Member States be able to develop an effective Union capable of providing financial stability and international security to its citizens? Or is the cabinet prepared to build on what the International Affairs Advisory Council recently argued, although somewhat anxiously, that differentiated integration should be seen as a way out of the old dilemma between deepening and enlargement? Is it conceivable that a core of Member States will develop in the areas where it is so urgent to further integrate? Would the Netherlands have to nest in there or would it rather take place on the outer ring? As far as we are concerned, it would be a great good thing to work on this right now, just as geopolitics and financial instability in the world are begging for a rock-solid European core.
ParlaMint-NL_2016-03-08-eerstekamer-3.u13	Mr Knapen asks two questions there. He talks about two speeds, the known dilemma, and asks which of the two speeds the Netherlands should go into. What's his answer to both questions? He asks the question to the government, but I am also curious to hear his answer.
ParlaMint-NL_2016-03-08-eerstekamer-3.u14	I repeat once again: it would be a great good thing for us to work on this right now, just as geopolitics and financial instability in the world are begging for a rock-solid European core.
ParlaMint-NL_2016-03-08-eerstekamer-3.u15	So he wants to work on both? That is a fundamental question.
ParlaMint-NL_2016-03-08-eerstekamer-3.u16	I do not know whether it is a question of principle, but it is a question that leads to different actions in practice. As far as I am concerned, the Netherlands, as one of the founding fathers of the European Union, should play a central role.
ParlaMint-NL_2016-03-08-eerstekamer-3.u17	I, too, have been listening to Mr Knapen's speech for some time. I thank him for that. I have the next question. I, too, have seen that advice that just came. A core of countries should turn to each other, in particular as regards asylum and refugees. What Mr Knapen says goes on. Could he say a little more about that? He says it's important that we work on that. What does that mean, for example, for the free movement of persons and goods or for European security?
ParlaMint-NL_2016-03-08-eerstekamer-3.u18	For many years, we have developed the European Union with the motto of a 'ever closer union' in all kinds of areas that have to do with interconnectivity. We are talking about economic, social, regulatory and state-of-the-art links. If you see the big challenges in the world now, then the need to give priority not so much to an ever closer union, but to an ever stronger union, because the geopolitical challenges in the world, the threats from outside, are so visible and so dominant that they pose the risk of compromising our way of life, in all kinds of ways. The European concept comes under pressure when it comes to issues such as standards, trade agreements and defining how to make contractual agreements with one another. So, as far as we are concerned, it is important that we organise the European Union in such a way that we are armed against these external threats. This can also be done in the areas of foreign policy, defence, a common approach to development cooperation and investment, simply because a small European country cannot safeguard those interests on its own in that world. This applies to a number of areas that have more to do with international, political, financial, foreign and defence policy than the ever closer union that deals with the rate of burning down candles sold in the European Union. That is one of the last suggestions that has been deleted in Brussels.
ParlaMint-NL_2016-03-08-eerstekamer-3.u19	If I listen to Mr Knapen's description, this corresponds to the countries that lie in Western Europe and have an Atlantic and international orientation. Mr Knapen also outlined the difference with countries in Europe that have turned inwards. I have one more follow-up question. The lack of internal cohesion is a factor in Europe's division, perhaps even a lack of shared values. What is the principle of cohesion that Mr Knapen envisages?
ParlaMint-NL_2016-03-08-eerstekamer-3.u20	I ask the cabinet whether it considers it possible to get the things that are needed to maintain your position in the world, which I have just formulated, done with 28 Member States or to say: the urgency is so great; if we have to do less, we will do it to start with less. That's what I'm asking the Cabinet. I would have liked to say that I am curious about the government's view on this, but I understand that the concept of vision is loaded in government circles. Knowing this minister, I would like to invite him to share some thoughtful reflection on this with us.
ParlaMint-NL_2016-03-08-eerstekamer-3.u21	Mr Knapen, may I ask you, in view of the time, to conclude your speech?
ParlaMint-NL_2016-03-08-eerstekamer-3.u22	I need another minute and a half.
ParlaMint-NL_2016-03-08-eerstekamer-3.u23	You've been over it two and a half times, but fine, go ahead.
ParlaMint-NL_2016-03-08-eerstekamer-3.u24	The question remains: do we see the Union only as an economic project or as a vehicle to safeguard our way of life in an ever-growing world around us, as a community of values that needs protection and in which Member States who really want to participate are also prepared to make sacrifices? That is how we see it, I say to Mr Backer. Loss of sovereignty is no longer a loss if we jointly regain the capacity to act. Does the Cabinet agree with this? If that is the case, doesn't it ultimately require a new treaty for those who want to move forward, who feel that need? I know, drivers get goose bumps in the idea of a treaty change alone. A new treaty means that the people are moved and perhaps the people do not want to. My answer to that would be: we live in a democracy. If we are really convinced of something, then we have an expensive duty to do our best to convince with arguments. If things go differently: tant piss. Democracy isn't about scared people. I myself am convinced that a vast majority of Dutch people will indeed be warm to a project that will allow us to put the malaise in Europe behind us. We are in urgent need of this. As far as I am concerned, there is even a new optimism about this urgency. What does the Cabinet think about this? I'm coming to a conclusion now. As I indicated at the beginning, the tried and tested Monnet method seems to be working out. We cannot simply continue. It has to be negotiable and clear what we're working towards. Are we just cycling now because you're falling apart or do we know where we're going? Let us be honest: the way things are going, the project loses inspiration and that is irresponsible. Soul can't be hired from a marketing agency and luckily so. Maybe we should honestly acknowledge that at the same time we have not succeeded in expanding and deepening, that the lot connection and mutual trust between everything and everyone in the European Union are not large enough to give our own destiny to the other, that for a strong Europe with greater integration in a few crucial areas with a smaller group, a leading group, we need to move forward. So we can develop a more credible "narrative" of a continent that is able and willing to promote and defend its interests and values in the world, something that we can all finally be proud of. I look forward to the exchange of views with the government.
ParlaMint-NL_2016-03-08-eerstekamer-3.u25	Thank you very much, Mr Knapen. I've been very generous. You've understood that by now.
ParlaMint-NL_2016-03-08-eerstekamer-3.u26	Mr. Chairman. Today we are having a debate that hardly fits into the category of 'laden', but has become taboo. Cynicism about the European Union and European cooperation has become bon ton, as if we are dealing with something threatening, as if far away, in Brussels, a conspiracy that brings us little good. The great profits of voluntary, multilateral and binding cooperation are concealed or even denied. Many, the populists first, present Brussels as a power threatening our sovereignty and subjecting us to a suffocating, money-consuming bureaucracy. That negative attitude is becoming commonplace. The VVD Group wishes to express a different attitude on this occasion. The VVD is a strong supporter of European integration. It has brought great benefits to Europe, and they are certainly not just economic in nature. The EU is a community of values, an elaboration of constitutional and democratic values to which the Member States have committed themselves and which are carried out jointly inside and outside. This is happening in a world that is directly surrounding us where these values are being violated. A great deal will be asked of the EU as a community of values to make its voice heard. This will require more European Union in many areas. Take the issue of refugees in this regard alone. Those who think they can solve this better as a separate country have lost touch with reality. I will come back to this subject, but also here with an appeal for a coordinated European approach. I started with the reference to a choir of skeptics: voices that believe that EU skepticism is helping us further. Many sing with their own voice in this choir, but there is no harmony in that. The tone is so diverse, contradictory and directionless that it really only gets stuck in negativity. Less Brussels is easy to say, but from which it must be "less" remains vague. Getting out is a simple sentence, but what the alternative should be is dark. Such a leap into the dark testifies to the British referendum. Even the no is already completely out of control. Their implementation already varies from a total halt to a re-negotiation. And how an outgoing United Kingdom wants to stand in the world is a big black hole. That's what happens when emotion wins with common sense. Soon the Netherlands will also show how it has become a guide country in this negativity and how this guide seems to have lost any sense of direction. I am referring here to the Ukraine referendum, a subject of which virtually no one controls the actual content, but whose intention of the initiators is all too clear: to force a ruling against the European Union. And this at the expense of a country that should be liberated from the old Soviet swamp and open to European values, such as fighting corruption and developing a rule of law and a properly functioning democracy. Delivering this country to Russia's sphere of influence, as the SP formulates its European Utopia, means extradition to a system of predatory capitalism. Greater corruption of European values is hardly conceivable.
ParlaMint-NL_2016-03-08-eerstekamer-3.u27	This is entrapment!
ParlaMint-NL_2016-03-08-eerstekamer-3.u28	That was the plan.
ParlaMint-NL_2016-03-08-eerstekamer-3.u29	I understand that, and I'm gonna get into it too! With all due respect, this is total bullshit. We are absolutely not in favour of extradition to Russia, and certainly not to Putin's current Russia. Of course, it is completely nonsense what is being said here. I really want to know where he gets that notion from.
ParlaMint-NL_2016-03-08-eerstekamer-3.u30	Your party's spokesman in the referendum debate, Mr Van Bommel, has openly stated that it was a mistake, let me put it in his words, to draw Ukraine into the European sphere of influence because it provokes Russia. He said that the border must be drawn differently and that Ukraine belongs to the Russian sphere of influence.
ParlaMint-NL_2016-03-08-eerstekamer-3.u31	That is where I think the Commissioner is making a great mistake of thinking. Indeed, some of the association agreement has put the fuse in the powder keg. This is, at least with retroactive effect, desirable for Ukraine. I think it would have been much better for Ukraine if it could have acted with two blocks of good. The big problem is that two great powers, one in the east and one in the west, have drawn to the land, which now has torn it in two.
ParlaMint-NL_2016-03-08-eerstekamer-3.u32	Could it be that the Ukrainians also have a voice in this and that they themselves can decide how they fulfil their sovereignty, that they themselves decide with whom they want to conclude agreements and that this is not enforced by third parties?
ParlaMint-NL_2016-03-08-eerstekamer-3.u33	Finally, Mr Elzinga. The name is "Schaper" and not "Schaper." We also have it in this Chamber, but it's from D66 and Mr. Schaap is from the VVD.
ParlaMint-NL_2016-03-08-eerstekamer-3.u34	And we don't have the superior stairs here.
ParlaMint-NL_2016-03-08-eerstekamer-3.u35	Yes, Sheep! Apologies, Mr. Chairman, of course I mean Mr. Schaap. I like to fix it. Of course, the Ukrainians themselves have a voice in this, just like we do when it comes to an association agreement. Two parties have a voice in that. The problem with the association agreement and with Putin's proposals to Ukraine is exclusion. Both we and the Russians have said to Ukraine: you have to choose between one or the other. I think the problem with Ukraine is that the country is divided to the bone on this point.
ParlaMint-NL_2016-03-08-eerstekamer-3.u36	The country has not been distributed to the bid at all, as Mr Putin himself has done with his warfare in Ukraine. There was not too much of a sense of national identity in Ukraine, but the interventions that Putin has made clearly make this point. According to polls, about 90% of the population are in favour of an association agreement with Europe. This association agreement does not exclude any other treaty. You should consider what the country was like before you opted for closer cooperation with Europe. Look at the palace of Yanukovych. That is in itself an excessive waste of Ukrainian money, but on that estate there is a second, smaller palace that is also very nicely built, namely a personal palace for Mr Putin, with a helicopter landing site next to it. That is how the situation was, and it seems to me that the country does not want this to happen. I think that this should call for a sense of responsibility in our country to free the country from that constraint. And for the rest, they'll figure it out. I said that this approach to the referendum is a corrupting of European values. It is deeply tragic that the anti-Europa sentiment also goes so far in the Netherlands that we are becoming a despot, so I am talking about Putin, who not only leads his own country to the abyss, but also, with the help of a bizarre interpretation of democracy, this referendum, seems to succeed in disrupting democratic Europe.
ParlaMint-NL_2016-03-08-eerstekamer-3.u37	I understand that Mr Schaap has some difficulty corrupting all kinds of leaders and so on, but how does he look at Mr Schulz? Mr Schulz has an office with 35 employees, 2 drivers, 1 personal butler and 2 limousines. That costs more than a million a year. How does he look at that? In fact, that's just as bad, isn't it?
ParlaMint-NL_2016-03-08-eerstekamer-3.u38	I do not know why he needs this, but at least that is a result of the open, democratic decision-making that we have here in Europe. That is something other than the coming to power of despots who are completely draining the country, because that is not what Mr Schulz is doing.
ParlaMint-NL_2016-03-08-eerstekamer-3.u39	Mr Schaap cannot have escaped the fact that Mr Schulz has appointed himself. No one has elected Mr Schulz, none of the Commissioners have been elected. Those people just appointed themselves.
ParlaMint-NL_2016-03-08-eerstekamer-3.u40	Himself? When did he appoint himself? What deed did he sign for it himself, without a decision being made underneath it?
ParlaMint-NL_2016-03-08-eerstekamer-3.u41	The Brussels club, the elite club, put him in the saddle.
ParlaMint-NL_2016-03-08-eerstekamer-3.u42	This kind of terminology is Euroscepticism, which is not a positive idea at all. I'll get back to you on this. This is just a drop-off. Mr President, the cabinet has distanced itself from this referendum, but the VVD Group would like to hear the Minister's views on this matter. So I am talking about the Ukraine Treaty. I would like to hear a reflection on this. Let me come back to the Eurosceptics. It is unclear to the VVD Group where they really want to go. I am talking about a positive interpretation of what they want to stand for. There is no point in trying to resist the idea of a clear picture of what one wants to do. The vague basic tone of the polyphonic choir seems to be that power must return to its own capital, as its own national centre of power. This basic tone fits in with the worship of an ancient idol, namely the nation and thus also fits with the idolatry of nationalism. History teaches us little in that respect. We are not learning from the damage that nationalist pathos has already done to the world. And if this pathos has already proven its disastrous impact somewhere, then it is in Europe. The negativity, which is opposed to the European Union and its institutions, fits in with a more general trend which is also gaining momentum in the Netherlands, but not only here. Take note of what is happening in Poland, Hungary and also in the United Kingdom, and also of the primaries in the USA: an increasing irrational, but also pathetic resistance to the established order, the opposition to what is called power, to the elites, that word was just said again, but also to the public institutions and their representatives. We are against, we want to be against something, anything and anyone, we are discontented, angry, rebellious and something or someone should be able to blame this. So we go to the elites, to politics, to Islam, you choose.
ParlaMint-NL_2016-03-08-eerstekamer-3.u43	Does Mr Schaap ever wonder why that is? Is that perhaps because the people in the country no longer feel represented in the parliaments?
ParlaMint-NL_2016-03-08-eerstekamer-3.u44	That would be an extremely tragic matter, but I recognise that this is a threat, that is true. The appreciation of representative democracy is decreasing and everyone wants to get involved in everything as directly as possible. If you want anarchy, you need to keep doing it.
ParlaMint-NL_2016-03-08-eerstekamer-3.u45	To be honest, I think it's a bit silly to say: if you want to have anarchy, you should keep doing so. It is precisely the EU's current policy with its open borders in which people are no longer being listened to that is a threat.
