ParlaMint-NL_2016-06-15-tweedekamer-4.u1	Speaking time shall be three minutes. I call Mrs Keijzer.
ParlaMint-NL_2016-06-15-tweedekamer-4.u12	Mrs. Leijten still? You're being addressed.
ParlaMint-NL_2016-06-15-tweedekamer-4.u13	It sounds wonderful, but we introduced a law a year and a half ago, which we had dealt with extensively here. I have heard a lot of concerns in all kinds of debates and the waiting lists are increasing! It just happens that children with borderline and suicidal thoughts have to wait for months. It happens that parents don't see their child being helped, but that they see their child getting worse. So yes, there is a lot of passion with Mrs Ypma and the Labour Party, but there are few measures and that is the sad thing.
ParlaMint-NL_2016-06-15-tweedekamer-4.u14	That is special, I am often accused of having many measures taken. Let us be clear, Mr President, that we have discussed this issue on several occasions. It's about getting these kids the right help in time. In some children this is necessary within a day, if they are suicidal, while for other children it is possible after two or three weeks. I have insisted very often on this Treek norm and I would also like a response from the Secretary of State. I think it is right for Mr Keijzer to have brought this up, and you too have set a deadline for this, Mrs Leijten. But we must stick to the debate. Let me just leave it at that.
ParlaMint-NL_2016-06-15-tweedekamer-4.u15	Cheap, cheap. Mrs. Ypma wants to be in first grade for a dime. The children must all be given care, but they do not allow them to tap almost half a billion euros out of the Youth Act. That's the honest story, the Mantra of the Labour Party! Then be as open as the VVD, which simply says: people in care, go, all gone, gone, gone. At least we'll know what we stand for! No, the Labour Party says that all children must be helped, but it is just as short of 450 million from the sector. I can't and it won't work. I had the honor of becoming a Member of Parliament ten years ago. Then there was another secretary of state. Her name was Ross and she was from the CDA. She also realized that it really couldn't be what those waiting lists were about. And what did she do? She pulled her wallet. Those were the Ross resources. This is what the Labour Party should do. Is the Labour Party prepared to draw the wallet to actually solve the problem of waiting lists for these children?
ParlaMint-NL_2016-06-15-tweedekamer-4.u16	The question is, do you solve this with extra money? Mrs. Agema knows that very well. It is necessary that the right assessment is made in good time: what does this child need at the moment? And we need to scale up in time and give the right care. I have therefore argued for this in several debates. Extremely important is customer support that moves very quickly next to the parents, ensuring that parents are heard, that makes them feel supported and can help them. Yeah, if I had a magic wand, maybe I'd pull extra money too. But I have never seen you pay extra money for this in any budget.
ParlaMint-NL_2016-06-15-tweedekamer-4.u17	Yes, I do. That remark is factually incorrect, and I take it very seriously. We have covered this in our electoral programme. So that's false, incorrect. If you were merely a youth spokesperson, you could have known what other parties thought about it.
ParlaMint-NL_2016-06-15-tweedekamer-4.u18	Mrs. Agema, I am not a youth spokesperson.
ParlaMint-NL_2016-06-15-tweedekamer-4.u19	No, I'm referring to the spokesperson standing there.
ParlaMint-NL_2016-06-15-tweedekamer-4.u20	Would you like to speak through the chairman?
ParlaMint-NL_2016-06-15-tweedekamer-4.u21	Yes, I will, Mr. Chairman. Anyway, Mrs. Ypma wants to be in first grade for a dime. She keeps repeating the mantra that everything gets better. It's an idiom. It's not true. If you tell people that everything's gonna get better, that's a lie. It's their kids on the waiting list. It's their kids who aren't being helped. You need to pull the wallet. You too must do so, chairman, because you are of the VVD. But surely the spokesman of the Labour Party must draw the wallet.
ParlaMint-NL_2016-06-15-tweedekamer-4.u22	You shouldn't appeal to me in that quality. I'm neutral and I'm guarding the rules of the game. Please continue.
ParlaMint-NL_2016-06-15-tweedekamer-4.u23	Yeah, well, you've just ruined my interruption. Do you want me to repeat it?
ParlaMint-NL_2016-06-15-tweedekamer-4.u24	Please continue.
ParlaMint-NL_2016-06-15-tweedekamer-4.u25	I asked if the Labour Party is prepared to pull the wallet, to put aside the idiom that makes everything better, to keep the lie off the table that everything will get better with a cut of EUR 450 million and to put former Secretary of State Ross in mind. She did come up with extra money, because she knew you'd only solve the waiting list problem with extra money. That's especially true if you have to do that right now, acutely.
ParlaMint-NL_2016-06-15-tweedekamer-4.u26	I think it would be good if Mrs Agema were also honest in saying that during the various budgets the PVV did not allocate extra money to youth care. That's not true. No proposal has been made. You can leave that with me, Mrs Agema, but you must also look at yourself.
ParlaMint-NL_2016-06-15-tweedekamer-4.u27	I say again that this is factually incorrect. In our election programme we covered this and I can make the noise I want to make.
ParlaMint-NL_2016-06-15-tweedekamer-4.u28	Of course. It is the right of every Member of Parliament to make a noise.
ParlaMint-NL_2016-06-15-tweedekamer-4.u29	Actually!
ParlaMint-NL_2016-06-15-tweedekamer-4.u30	Mrs. Ypma first.
ParlaMint-NL_2016-06-15-tweedekamer-4.u31	I covered it in my budget. Since Mrs Ypma is only a spokesperson on the Youth Act, she could have known that.
ParlaMint-NL_2016-06-15-tweedekamer-4.u32	Mrs Agema, would you be so kind as to allow Mrs Ypma to speak when I give the floor. You'll just get the chance after that.
ParlaMint-NL_2016-06-15-tweedekamer-4.u33	We have discussed the new Youth Act here for three days. I remember when the PVV had requested ten hours of speaking time. In fact, Mrs Agema spoke here for a few minutes. She's not interested in the improvements. I had a hundred proposals to make sure youth care gets better. However, Mrs Agema did not come up with anything. I'm sorry, but I'm really disappointed about that. Mrs Agema, if you come up with a budget proposal for youth care, I will, of course, take a favourable look at it.
ParlaMint-NL_2016-06-15-tweedekamer-4.u34	Once again, in our election programme, we are not cutting back to EUR 450 million. That's what the Labour Party does. And the Labour Party lies to the people by saying that everything will be better. That is factual, and not everything else Mrs Ypma is referring to. No, I didn't think the Youth Act should be introduced by now. I thought we should experiment with rules first to see if we could. And now we see that it can't be done. We see that it makes things worse for children who need help. And now it is up to the Labour Party to "pick" that bag of money that we have already "drawn" in our election programme.
ParlaMint-NL_2016-06-15-tweedekamer-4.u35	It is really very disappointing that Mrs Agema refers to the past in which an average of 14 aid workers were living in a family. The parents no longer saw the forest through the trees and the children were not helped in time. No matter how you turn it or turn it around, the kids are getting helped before. I'm not saying the waiting lists have been lifted. In that respect, you have a point. I have just said a number of things about this. But it's not true that in the past it was better with youth care. That is a very conservative position, which is not in the best interests of the children either. We've been talking about the new Youth Act here for three days. In that debate, as the Labour Party, we tried to put children's interests at the centre, just like the SP and the CDA and the VVD, but the PVV did not make any proposals. That is what this is all about in the end.
ParlaMint-NL_2016-06-15-tweedekamer-4.u36	I'm going back to June 2016, to today. The members of the SP and the PVV accuse the PvdA group of saying very warm words about parents and children with problems, but that they do not take any concrete measures. What has changed today in this discussion about the waiting list for youth psychiatry, which has been discussed by the PvdA and what has been achieved by the PvdA?
ParlaMint-NL_2016-06-15-tweedekamer-4.u37	Let us be clear: this debate was requested a year ago. We have already discussed this issue three times. This is what we are doing again in plenary. I am happy to give Mrs Keijzer the opportunity to do so, and that is why I am standing here. I have already proposed six different measures in all previous debates. I will not repeat all six of them, but the three I have repeated here today are: to make the waiting lists public, to ensure that there is a perseverance among the municipalities to ensure that children receive the right help in time and apply the Treek standards, or to make the General Law governing the administration of the law, and to ensure that the children within a certain period called Mrs Keijzer four weeks and Mrs Leijten six weeks receive the help they need.
ParlaMint-NL_2016-06-15-tweedekamer-4.u38	The waiting lists are not published everywhere, the perseverance is not yet there and until today the Secretary of State refuses to apply these Treek standards in such a way that children will then also receive the care they need. I have a motion ready and I have also sent it to Mrs Ypma. She'll put her name under it, because then we'll have a majority?
ParlaMint-NL_2016-06-15-tweedekamer-4.u39	I do not believe that this motion has yet been tabled, nor have I heard any response from the Secretary of State. I have indicated very clearly what I think should be done, namely that vulnerable children should receive the help they deserve as soon as possible. In fact, I assume that the Secretary of State will accept that suggestion and that he will work on it. If that does not happen, I will look at the motion and perhaps co-sign her as well.
ParlaMint-NL_2016-06-15-tweedekamer-4.u40	Mr. Chairman. As a father or a mother, you only want one thing when your son or your daughter isn't well: you just want if you knock on the door somewhere, support is offered, at least there's a good conversation going on and if it's much more serious, there'll be good youth support. You also want the cause of the problem to be removed. Sometimes you can't, you know that too, because it's very serious, but then you at least want to handle it and get help to deal with it, so that your child gets the help you want, because that's the most important thing in your life. If a young person has the courage to address past abuses, I am thinking of child abuse, which often leads to mental problems, but is then put on a waiting list, then that is very frustrating. Which brings me to my question. How come there are waiting lists in the youth ggz? I actually want an answer to that, because we have arranged it so that the general practitioner can refer it to the medical specialist, especially with the youth-ggz. And it's always the youth ggz that comes with the waiting lists. How is it possible that there are waiting lists, because there is a duty to provide youth assistance and with such a referral there is simply a right to care in the case of heavier care. So how is that possible? The money cannot be the reason, because if heavy care is needed, the municipality must simply provide that care. We took care of that. I want an answer to the question as to how the youth-ggz cannot help these children and put them on the waiting list. That's my first question. I find this very remarkable. It is precisely for the youth ggz that we have arranged.
ParlaMint-NL_2016-06-15-tweedekamer-4.u41	During the debate on the Youth Act, we indeed arranged for the general practitioners to be able to refer directly and for the municipality to accept this. We see that it is not happening and that the waiting lists are rising; Mrs van der Burg sees that as well. After a referral from a general practitioner, there are still many requirements imposed by a municipality. With regard to all possible requirements with regard to the principle of residence, would it be okay to have the double signature of parents, which is sometimes a problem because parents are divorced or, in foster care, because the parents live far away or perhaps do not have contact with the child, to ask the Secretary of State: Dear Secretary of State, make sure that that goes through? Shouldn't we accept that anymore? In my view, that is one of the problems, apart from the Treek standards. What does Mrs Van der Burg say about that?
ParlaMint-NL_2016-06-15-tweedekamer-4.u42	I ask the Secretary of State how it is possible that a sector served in a very decent manner in the Youth Act should make sure that these children with serious problems can be referred to and that care can always be provided without any care. You are now making a number of points. You have also listed a whole list of waiting times with all kinds of settings. I just want an answer to this. Yes, it may happen that in very complex cases it is the residence principle, but I wonder if there is no more going on. I'm not going into small measures, I just want to know from the Secretary of State what's going on. In various debates I have put my finger on the spot and I just want to know if the Secretary of State has spoken with the sector about how we are going to solve this. It can't be that we're abandoning the parents and children.
ParlaMint-NL_2016-06-15-tweedekamer-4.u43	I couldn't agree more. I've heard the same thing from all the spokesmen. In that respect, it's profit. I do not want the Secretary of State to be stuck with an investigation, because then I do know what happens: a year of research will be done, but we have not helped a child or taken off the waiting list for too long. That's not what Mrs. Van der Burg is trying to do, is it?
ParlaMint-NL_2016-06-15-tweedekamer-4.u44	I thought Mrs Leijten knew me better. If research is needed, it is necessary, but I am not of the investigations in the sense of slowing down. I want to know what's going on, precisely because of the position of this sector. Every time there are waiting lists. I honestly don't understand that those waiting lists are there, given the position of this sector. I just want an answer to that. Maybe there's a very good answer to that, too. Then I'm in default, but I'd like to raise this. You could have waiting lists anywhere. We also talked about Safe Home. It should be better, but in that case, I still understand. In this case, however, I really do not understand. I just want an answer.
ParlaMint-NL_2016-06-15-tweedekamer-4.u45	You will continue your speech.
ParlaMint-NL_2016-06-15-tweedekamer-4.u46	The Kinderombudsman wrote in his last report before he said goodbye, that the youth ggz institutions do not see it as their responsibility, if they have no place, to refer or say to a parent: go to another institution that has purchased. Has the Secretary of State agreed with the sector on this, so that it does? I thought this sector, like us in the House of Representatives, felt that children deserve help as soon as possible. So you don't put a child on a waiting list, you refer to a colleague. Specialists attached to the Centres for Sexual Violence in the Chamber have we fought for the arrival of these centers and Psytrec indicate that children in the youth ggz with trauma or post-traumatic stress syndrome are not treated according to the guidelines. I've asked questions about that before. Has that conversation taken place by now? I believe that a sector has to abide by the directives. I would like to know as soon as possible, preferably today but otherwise at least before 30 June, how things stand. I also want to know how it is that there is constant stabilisation in the youth ggz. That means you come in with a trauma and they say you're too bad; we need to stabilize you instead of treating the cause so you can get on with your life. At least it is said that this is the case. I want to know if that is true and if so, what is being done in the sector to change that. Or is this not true at all? If that's the case, I want this off the table, too. I just want us to give children and parents the help and support they need, as provided for in the Youth Act. I await the answers of the Secretary of State with great interest.
ParlaMint-NL_2016-06-15-tweedekamer-4.u47	The Secretary of State must, of course, prepare those answers. For that, I'm suspending the meeting.
ParlaMint-NL_2016-06-15-tweedekamer-4.u48	Mr. Chairman. This 30-member debate was requested exactly a year ago. Mrs Ypma has rightly said that we have spoken on this subject a number of times over the last period. Following the signals we received in June last year, immediate consultations were held with the Association of Dutch Municipalities. I informed the Chamber in the progress letter of 6 July on the reaction of the municipalities. I have indicated what we would do with these signals. We discussed this in the general discussions on 6 October and 30 March. I believe that we should talk regularly about waiting lists and the discussion on waiting lists to see if things are going well. Moreover, this is a debate of all times, Mrs Ross has been cited, because we have been talking for a number of years about the question of what are waiting lists, what are responsible waiting lists and what are the causes of these waiting lists? That is a point made by Mrs van der Burg. I'm separating two perspectives. On the one hand, you see that there are local waiting lists and then it's the question that causes them. I'll deal with that later. On the other hand, the question is: what are the facts and what is the situation, is there a different problem, is it something we always struggle with or is it all new? It might be good to get those facts straight. The CBS figures on the use of youth aid do not show a significant reduction in the use of youth aid. According to the CBS, over 360,000 children received youth assistance in 2015 and in 2014 this figure was about the same. So you can't say in general that fewer children get youth aid. In the progress report that the Chamber will receive shortly, I will go into those figures from the CBS for 2015. Following these signals, we asked the Healthcare Authority to look again at the potential growth of the waiting lists and to see if there is a difference between 2014 and 2015. The Court received that specific market scan from the ggz about the waiting times in 2015. This shows that there have been no major changes in the waiting lists for both young people and adults compared to 2014. The login time between registration and intake call was above the Treek norm for both young people and adults; this was also the case in 2014. The treatment delay set at ten weeks in the Treek standards was slightly shorter. I would like to point out that these are averages. This does not mean that there are no waiting lists that we say: how can this be done? This is the general picture. The Chamber received the NZa's market scan by letter dated 26 May. She has now discussed the results with the Minister during the general consultation on mental health care. In addition, we are holding separate consultations with the branches, the municipalities and the Transition Authority on how things are going and whether there are relevant signals with which we should do something. Both the VNG and the Transition Authority did not send any signals on request that there was a general increase in waiting times; again, regardless of local and regional differences. GGZ Nederland announced at the beginning of this year an increase in the number of crisis areas and added that it would be good to look at the cause of this. This is currently being examined at my request by a number of municipalities. This is an answer to Mrs Keijzer's question as to whether I would at least like to examine exactly what is going on here. I expect the results of the study to be available by 30 October. Then we can also look at how this can be explained in qualitative terms. That is the question that Mrs Keijzer quite rightly asked. What actions have been taken or are underway to ensure that we keep a close eye on the waiting list issue and see if we can take action? I assume that we agree that children should not fall between shore and ship due to too long waiting times. Municipalities and branches have confirmed to me that children who cannot wait for help are treated with priority. If at that time there is no place for a particular provider, for example because the contract is not yet good or because the provider is too full, the municipality or the buyer must provide for a "waitlist mediation" and ensure that there is a place. Children who have to wait for psychiatric care because there is no place for them, are in any case given outpatient help. At least help will be provided. That's actually what Mrs van der Burg said. If you have to wait for help for your child, if the child doesn't have a place right away and you wonder what's going on and whether you can be helped already, then at least there is a helping hand. The issue of Treek standards has also been discussed extensively. As a result of the signals, I have, of course, already discussed this with the VNG, including the members of the VNG Committee on Decentralisation of Youth Services. The Treek standards are also the starting point for the municipalities. I would like to draw your attention to the reports from the VNG on this subject. In an opinion of 29 March, the VNG called once again for the attention of all municipalities: use the Treek standards in the procurement policy.
ParlaMint-NL_2016-06-15-tweedekamer-4.u49	Mr Secretary of State, for those who follow us at home, it might be good to explain Treek standards once. The Treek standards are agreements made at the Den Treek estate. I don't know exactly what those appointments are about.
ParlaMint-NL_2016-06-15-tweedekamer-4.u50	Let me put it simply. These are agreements made with the sector on reasonable waiting times. This concerns, on the one hand, the time between the intake and the time at which the application is processed and, on the other hand, the time that can reasonably be waited before the treatment starts. As we know, these deadlines are different. The login time is four weeks and the treatment time is ten weeks. I see that more and more municipalities apply these standards. We have already made agreements with the municipalities. At the beginning of July, I again discussed this with the VNG. Then it will be considered what the state of play is and whether we should agree with the municipalities to tighten up their procurement policy for 2017. I am actually in favour of this, in the sense that I see that there are rather sharp contracts in a number of regions. Those contracts state that the Treek standards are being applied. If a provider signals that he's not gonna make it, he's gonna have to contact the municipality. The municipality can then see what it can do about it: should it be "contracted" or should it be contacted with another provider who does have a place? At least the child will be helped. I am in favour of the Treek standards playing a greater role in procurement policy. That's also what the VNG advises. The transparency of the waiting lists is indeed quite important. Mrs Van der Burg and Mrs Ypma also pointed this out. The disclosure of waiting times is not just a transparency thing; it creates clarity for pointers, for clients and for municipalities. Pointers who know what the waiting times are know what this means for their referral policy and to whom they can refer. It also means something to clients, who know in advance where they can go if they are in a hurry. It also means something for the purchasing policies of the municipalities. I think that the transparency of the waiting lists should simply be regulated. You see that more and more. Municipalities can make agreements with the providers. You can already see it in a number of settings. I have a number of examples to show that institutions are prepared to do so. However, it is very good to make further agreements with municipalities on this matter and to see if they can integrate this into their procurement policy. I shall now turn to a further point of inquiry, partly in the light of Mrs Keijzer's comment. At my request, the Dutch Youth Institute will launch a further study looking for an explanation of regional differences. I can see that some good agreements have been made: what do we do with waiting times, what happens if they are likely to be exceeded and what waiting list mediation can be provided by the municipality? However, there are also regions which seem to be struggling with this. It's kind of what's bothering Mrs. Van der Burg. She asked how that could be done, given the juvenile duty there is. That can therefore be settled in principle. Together with the Dutch Youth Institute, I want to see if there are major differences between municipalities and regions, what are the causes and how they are handled in practice. We will get the results of that research in the course of 2017. Sometimes this is determined locally or regionally, sometimes it is linked to the variety of interventions and sometimes, let us also note, it is simply linked to the popularity of the provider. However, it may also be related to non-smart purchasing arrangements made by municipalities and healthcare providers. I'd like to know. It is very important that it is also agreed that referrals can be made, and that is where the point is. If a healthcare provider is full or gets a waiting list and gets a registration, he should actually indicate it. You can imagine he'd have hesitation in that. He might think, "I'm getting a client signed in," but I have to say that it has to go to someone else because I'm full. But it shouldn't be like this. It is about the importance of the child and help is needed. I think that in such a situation the trade-off can and should be professional. We need to make arrangements for this. If people have to wait, something can be arranged, but another healthcare provider may have a place. It's really incredibly important that that happens.
ParlaMint-NL_2016-06-15-tweedekamer-4.u51	Do I just hear the Secretary of State say that there's no reason for waiting lists at an institution? That was actually my commitment to this debate. 'Cause I really don't get it. We've arranged for every institution to be able to treat a child. If it's serious, the municipality has to pay. What's the deal? Every time in the media, we're told there are waiting lists. We hear cases of parents and children falling between shore and ship and desperate. How can that and what are we going to do about this? And don't let the Secretary of State come up with all kinds of administratively burdensome methods, just say that this is being solved.
ParlaMint-NL_2016-06-15-tweedekamer-4.u52	Mrs van der Burg, of course, has a point to make, in the sense that we have put in place a definitive system in the legislation and regulations. After all, there is a youth aid obligation for the municipality. Municipalities have to buy for this. There are a number of references, for example for the social district team, the youth doctor or the general practitioner. A separate channel has been created for the general practitioner. Reference is therefore made, aid must be bought in and if there is too little of it, it must be contracted or otherwise. So that is settled, but I really do not want to be satisfied with that. Mrs van der Burg is right about her question: if we have all arranged this, how can we have waiting lists? There may be several reasons for this. It could be a problem with the purchase of the municipality. It would also be wrong not to refer the matter to the Court of Justice, when that is the case. It is also possible that the demand for youth ggz develops differently, although according to the market scan of the TAJ and that of the Dutch Healthcare Authority this is not the case. But I'm not going to accept this. I am going to find out why this is not a problem in some regions, because there are good agreements and contracts, and apparently in other regions. I just want to know.
ParlaMint-NL_2016-06-15-tweedekamer-4.u53	In any case, I am pleased that the Secretary of State wants to know this, but I would like to go a step further. Because I've been asking these questions for a while now and actually I'm getting more and more angry that this is happening, that we're just gonna abandon those parents and kids. Can't the inspection even pay particular attention to what's going on here? This generally works very well in other sectors. I know the inspection is already doing a lot. Maybe she is already doing so, but otherwise I would like to be given the assurance that the inspection will take a step forward at this point.
