ParlaMint-NL_2016-02-04-tweedekamer-4.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2016-02-04-tweedekamer-4.u16	I'd almost like to table a motion on the PvdA, but okay. I do have another motion. That motion is about the toll tunnel. Zeeland-Vlaanderen is also a shrinking area. There's a nice, handy tunnel there, but it's pretty expensive to drive through. We think it would be possible to make that tunnel toll free and that the shrinkage area of Zeeuws-Vlaanderen would help. The motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that residents of Zeeuws-Vlaanderen currently have to pay a toll for the use of the Westerschelde tunnel;]] [[noting that the shrinkage area of Zeeuws-Vlaanderen would benefit from a toll-free tunnel connection;]] [[Calls on the Government, together with the Province of Zeeland, to explore ways of making the Westerschelde tunnel toll free and to submit these findings to the Chamber and the Provincial States of Zeeland for the 2017 budgetary treatment,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Madlener. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31757-85]]
ParlaMint-NL_2016-02-04-tweedekamer-4.u17	One more question, Mr Houwers. There has already been a general discussion on this type of question.
ParlaMint-NL_2016-02-04-tweedekamer-4.u18	That is true, but I would like to ask a very brief question. Can Mr Madlener tell us how he intends to cover that from the state funds? That's what was asked at the time. That makes it easier for me to make the weighting whether I can vote for this or not.
ParlaMint-NL_2016-02-04-tweedekamer-4.u19	The motion calls for a proposal to be made to the Chamber and to seek cover for it. It also depends on how much the Empire has to contribute and what the province does. So I can't say that at the moment. The motion calls on the government to at least investigate this and strive for the toll-free operation of the tunnel. Then, when dealing with the 2017 budget with the Chamber, we can indicate a cover. Maybe the Minister already knows a good cover.
ParlaMint-NL_2016-02-04-tweedekamer-4.u20	Mr. Chairman. The relationship between the Ministry of BZK and the shrinking regions is maintained by the shrinking team. There's a reorganisation going on, which means the shrinking team has to shrink. What's in a name? The shrinkage regions, including the Achterhoek and Limburg, experience this as a decline in practice. It contradicts the Minister's commitment that the commitment to 2020, the moment of evaluation, will remain at its level. The shrinking regions are concerned about this, especially when the Ministry's knowledge is so urgently needed. The CDA shares this concern. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the shrinking team is also subject to the reorganisation and slimming of the state service and is thereby reduced;]] [[Whereas, however, the problems of shrinkage are urgent and significant;]] [[calls on the Government to organise the reorganisation of the State Service in such a way as to maintain fully the intended results and objectives of the shrinking team,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Ronnes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31757-86]]
ParlaMint-NL_2016-02-04-tweedekamer-4.u21	Mr. Chairman. In view of the short speaking time, I shall begin to read out my motion immediately. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, in shrinking areas, housing companies or social landlords in particular are demolishing houses in anticipation of a possible future housing surplus, for which scrapping subsidies are provided;]] [[considers that in shrinking areas a diverse range of housing for all interested parties in the (buy) housing market is desirable;]] [[Considers that the combination of housing can provide more quality and diversity;]] [[Considers that also offering homes for sale in a shell state for start-ups in the housing market and self-builders can be a very good and affordable alternative to a subsidised rental house;]] [[Considers that this also offers opportunities for non-regional influxes, which can reduce the shrinkage problem;]] [[considers that these alternatives are possible without a subsidy;]] [[considers that this consideration should be made visible before the scrapping choice is made;]] [[points out that that scrapping grant application indicates why, in this case, the market cannot be chosen for the aggregation or sale of these properties at a price above the lot or book value,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Houwers. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31757-87]]
ParlaMint-NL_2016-02-04-tweedekamer-4.u22	Mr. Chairman. I'll start with the motion in part No. 81 by Mr Van Vliet. This motion is an incentive to carry out an earlier motion. On that earlier motion I gave the judgment "dissuade' because I do not think it is necessary for corporations to buy homes from private individuals in shrinking areas, because those individuals can rent out those homes themselves. It also costs extra, scarce co-operative money, because the purchase requires costs, such as transfer tax and notary costs. That money could be better spent. The problem can also be solved by letting individuals rent out directly. I have also indicated that I find it illogical to ask for measures on one part at the same time, while an evaluation of the landlord's tax will be made before the summer. I said in the AO that I have some sympathy for, for example, the section on which Mr Ronnes, in particular, pointed: mixed complexes. However, the Chamber asked for it to be presented in one combination, so that I can discuss it as a whole with the sector. So I didn't say "no" on this motion. All I said was give me time and give me the opportunity to put it right. I read the motion as a request for full implementation of the original motion, on which I had already given an opinion. I therefore maintain my judgment: like the first motion, I also advise against this motion.
ParlaMint-NL_2016-02-04-tweedekamer-4.u23	Buying up these houses is cheaper than acquiring land and building new ones. So that can be very profitable. With this motion, I agree that we need to deal with scarce corporation money properly. The fact that it is picked from something else does not have to be a problem, if the Minister says that he will carry out this motion with the whole package. That's the opening I offered. So I am certainly going to retable this motion and see how we can deal with it in a dualist way as a Chamber.
ParlaMint-NL_2016-02-04-tweedekamer-4.u24	Rebuilding in shrinking regions seems to me to be a brave move. It's okay. However, my point is as follows. If there are already houses left empty, it is cheaper if the current owner rents them out then there is also no landlord's tax in the picture than that a corporation will buy them first and then rent them out. Mr De Vries' motion for a resolution (Doc. 82 deals with the size of the department involved in the shrinkage policy. It invites the government to adjust the existing formation in the area of population decline by no more than the average reduction rate envisaged for the total state service. I'm afraid this isn't feasible. We have regular discussions about the development of the state service. We're getting reports on that, too. In that you can see that there is shrinkage on parts. That is also necessary, given the financial situation. In other areas, for example in relation to the security situation, there is an intensification, such as the security services. I cannot pry out an average that is logical in line with the need to support shrinkage regions that I recognise need and that support is also continued and the way you move within a capacity-operated ministry. So I must advise against this motion. Mr De Vries' motion for a resolution (Doc. 83 the government is invited to involve the provinces concerned in drawing up the action plans and the agreements to be based on them, as well as the use of the additional resources to be allocated to those provinces for population decline policies. That is indeed the intention. So I would like to leave this motion to the House's judgement. I'm getting to the motion on part No. 84) by Mr Madlener. It calls on the government to stop researching possibilities to accommodate status holders in shrinking regions. As Mr De Vries rightly pointed out in the debate on the interruption, there is no specific allocation to shrinkage regions as far as status holders are concerned. Status holders are distributed according to the number of inhabitants of the municipalities. On balance, I'm not suggesting the motion. Mr Madlener's motion for a resolution (Doc. 85 is about making the Westerschelde tunnel toll-free. Mr Houwers was right to ask where we are going to pay for that. This is an uncovered motion, and that's why I have to dissuade her.
ParlaMint-NL_2016-02-04-tweedekamer-4.u25	There is no cover in my motion to make the Westerschelde tunnel toll free, because the motion also does not directly say that there should be money available for it at the moment. The motion asks whether the Minister is prepared to table with the province of Zeeland, which now manages the tunnel, to see if a proposal can be made to make the tunnel toll free. Perhaps a division can be achieved. It should cost around EUR 25 million to make the tunnel toll free. A proposal could be made to the Chamber for budgetary treatment, with or without cover. The Chamber can then look for cover itself.
ParlaMint-NL_2016-02-04-tweedekamer-4.u26	Apparently, Mr Madlener knows that it costs EUR 25 million. Mr Madlener does not have that amount, and I do not have it. So I can only conclude that this is an uncovered motion. That's why I'm telling her off.
ParlaMint-NL_2016-02-04-tweedekamer-4.u27	In the debate on shrinkage, we have seen millions spent on solving shrinkage problems. Most of these millions go to administrative costs, research costs and all kinds of consulting firms. Moreover, these consultancy firms are often not in the shrinking areas at all. So that money is now disappearing into expensive consulting firms. I am asking for a specific proposal to be discussed with the province of Zeeland in order to see if we can make a distribution key to which the Empire and the Province contribute. Try that. The Minister isn't even willing to try. What's against a conversation with the province of Zeeland about this?
ParlaMint-NL_2016-02-04-tweedekamer-4.u28	Mr Madlener's speech is still not at the heart of the matter, namely that there is no cover for this motion. If Mr Madlener were to say that he wants to transfer the money that is now available to the shrinking regions through the Municipal and Provincial Funds, to the toll-freeing of the Westerschelde tunnel, I cannot judge as quickly as possible whether that would be enough, at least the motion would be covered. However, I would disagree with the substance of the matter, because you only spend one bit, while in other shrinking regions there are other issues. Mr Madlener's speech does not, however, make an uncovered motion a covered motion and I therefore continue to advise against the motion. Mr Ronnes' motion for a resolution (Doc. 86 also deals with the use of official support for the shrinking regions. In his motion, Mr Ronnes asked the government to organise the reorganisation of the State Service in such a way as to maintain the desired results and objectives of the shrinking team in full. That is indeed my ambition. So I leave the judgment on this motion to the Chamber.
ParlaMint-NL_2016-02-04-tweedekamer-4.u29	Could you comment on Mr Houwers' last motion? Do you have any?
ParlaMint-NL_2016-02-04-tweedekamer-4.u30	Yeah, he just got in. That motion Houwers in part No. 87 deals with the reduction of the landlord's tax available for the demolition of dwellings in shrinking areas. In his motion for a resolution, Mr Houwers stated that the scrapping grant application would indicate why, in this case, the market was not chosen to merge or sell these houses at a price above the lot or book value. This means an additional check on a scheme made available to the shrinking regions. I do not think that we should check a housing corporation in a shrinkage region from The Hague. If that corporation can sell a property well and therefore make a profit, it will. If we have to go from The Hague to test whether a housing corporation in the Achterhoek or Zeeuws-Vlaanderen really does that, I think that is a passed control drive in The Hague. So, on balance, I'm dissuading the motion.
ParlaMint-NL_2016-02-04-tweedekamer-4.u31	The motion is not so much intended as control, but more to encourage people to look at these possibilities. That is also stated in a number of considerations. Does the Minister share the considerations that making two houses one stimulates diversity and quality? In short, does the Minister share the considerations and only the administrative burden or regulation discourage him?
ParlaMint-NL_2016-02-04-tweedekamer-4.u32	Mr Houwers is right that it could also be an option to merge houses and thus offer them for sale. I know that housing corporations in the Netherlands sell around 15,000 homes every year in this way. So they really have that on the retina. That also gives the corporations more money than tearing down. That is why my contention is that the The Hague regulatory drive is to check from here whether the market exploration has been carried out with an already existing instrument, the derogation related to demolition. That is what the motion says, and that really means that there will be administrative burdens. I'm against that.
ParlaMint-NL_2016-02-04-tweedekamer-4.u33	If the Minister takes the motion that way, I will consider it again, because that is not the way the motion is meant to be. So I'm just gonna see if I might change the motion.
ParlaMint-NL_2016-02-04-tweedekamer-4.u34	This brings us to the end of this VAO.
ParlaMint-NL_2016-02-04-tweedekamer-4.u35	The motions tabled will be put to the vote on Tuesday.
