ParlaMint-NL_2016-12-22-tweedekamer-4.u1	I would, of course, like to welcome the Secretary of State.
ParlaMint-NL_2016-12-22-tweedekamer-4.u12	Mr. Chairman. I believe that we have indeed had a detailed exchange of views on the situation surrounding ProRail. It is an organisation with EUR 2 billion in taxpayers' money and we have had various debates on this. I think it is necessary to organise this differently; unfortunately, this need has been sufficiently demonstrated in recent years. We will look at how we do that, but there is a broad shared feeling in the Chamber, including the Secretary of State, first of all to find out what financial and fiscal consequences this has before the Chamber takes any decision. We have to let that land neatly with the scenarios that still have to be worked out, because they will run together in time. We still have to have these discussions. I have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the NS will drive 12 trains a day from Amsterdam to Belgium on the HSL, and four trains a day from The Hague;]] [[Whereas the Government intends to correct the NS performance figures in response to this adjustment;]] [[Whereas it is not the NS interest but the passenger interest that should be at the heart of it;]] [[calls on the Government not to correct the performance figures for this adjustment, but to maintain by agreement, as a result of the operation of four trains from The Hague on the HSL to Belgium,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Boer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-707]]
ParlaMint-NL_2016-12-22-tweedekamer-4.u13	I have one last cry of hearts. The staff of the NS are planning to strike tomorrow. I very much hope that the interests of the traveller will be allowed to prevail just before Christmas, the passengers will not be left in the cold tomorrow and the trains will be kept on time.
ParlaMint-NL_2016-12-22-tweedekamer-4.u14	I'll suspend briefly until the Secretary of State has all the motions and can answer.
ParlaMint-NL_2016-12-22-tweedekamer-4.u15	Mr. Chairman. I will give an opinion to the motions tabled and answer some of the questions. I shall begin with Mr Graus, who is replacing Mr Madlener, who is ill. For my part, I would also like to express my heartfelt appreciation for Mr Madlener. I obviously missed his sound in this debate, especially since he has been one of the biggest critics of government policy in the field of ProRail in recent years. It's good to see that he's already calmed down in that regard. I would like to say to him: keep it up. Mr Graus has asked me to give an idea of the current options for steering the cabinet has on ProRail, and to show how we have used them in recent years. I think that's a fair question. I am also certainly prepared to send an overview of this to the Chamber. I can imagine that we will do so in spring, for example when the scenarios come to the Chamber. Then the Chamber gets the overview and I can show what we have used at different times and why that is sometimes difficult. Because if things were all going smoothly, we wouldn't be sitting here having this debate like this.
ParlaMint-NL_2016-12-22-tweedekamer-4.u16	I would like to thank the Secretary of State for the commitment and for the good wishes for Barry.
ParlaMint-NL_2016-12-22-tweedekamer-4.u17	Sure, got it. Then I come to the motion on part No. 701 by Mr Graus and Mr Madlener. In this they are actually asking me to stop further preparing the decision already taken by the cabinet. That is so contrary to what I have always said to do so far, and Mr Graus also understands that I have no choice but to discourage this motion.
ParlaMint-NL_2016-12-22-tweedekamer-4.u18	Barry and I have always argued that the NS and ProRail should be in government hands. Of course, we didn't manage to do that. We may not be able to do it either, but we can try to put in a few more resources and motions for a second. We will see how the Chamber will vote on this.
ParlaMint-NL_2016-12-22-tweedekamer-4.u19	It is Mr Madlener, by the way.
ParlaMint-NL_2016-12-22-tweedekamer-4.u20	Yeah, um...?
ParlaMint-NL_2016-12-22-tweedekamer-4.u21	You referred to a certain Barry, but I think that is Mr Madlener.
ParlaMint-NL_2016-12-22-tweedekamer-4.u22	I call everyone "member" and "dear delegate," but Barry is Barry.
ParlaMint-NL_2016-12-22-tweedekamer-4.u23	Yes, colleague Madlener.
ParlaMint-NL_2016-12-22-tweedekamer-4.u24	Perhaps in order to reassure Mr Graus, I can say that the option he is putting forward is not hampered by the step the cabinet is taking. In the end, it's really up to the Chamber. She gets different scenarios in the picture. I always make a little joke about it. Mr Smaling is not here, but Mr Hoogland is. You have on the one hand what I call the communist state model, in which NS and ProRail are completely one again, probably in a holding structure. Mr Hoogland looks very angry at me now, but it is the last day, so he must forgive me! On the other hand, of course, you have the model in which transport demand goes all the way to the market; I am now looking at a certain friendly coalition party. Those scenarios will all be given to the Chamber in the spring. That's a long way from when the bill comes to the Chamber. So I expect, and I also hope, that after twenty years of strutting, the Chamber will finally be able, perhaps in a formation but still, to cut a knot and thereby bring back the peace in the railroad order that is so eagerly desired by everyone. And really, that consent law doesn't come until the fall, and if it's okay, then the Chamber can make that decision. But that depends on the members. They'll be there by themselves. The Chamber could indeed say that it wants to make ProRail public, and can do so with the NS, or not. In the Van Helvert motion to item No. 702 says, in my words: if there is a potential shortage of 475 million, do not turn that into the train traveller. That's how I get to read the motion. I agree. That's not the point. With the system used, we get less income at ProRail. At the same time, I have to save extra money, because I have to get the money from somewhere. I can also, of course, adjust the system in such a way that, for example, the proceeds from the use fee remain the same in absolute terms. In my view, this motion is ultimately just policy support. I would therefore like to leave the motion to the discretion of the Chamber. I shall now come to the motion by Mr Van Helvert and Mr Geurts on item No. 703. They ask the government to examine the present cabinet decision in more detail in conjunction with the scenarios and to formulate the law only afterwards. I just said that the results of the study are already there in March and that the bill really will not come until the end of next year. The results of the study can of course be taken into account in the examination of the legislative proposal. To say to me now that I should not continue to prepare at all, I think that goes too far. That's why I'm dissuading the motion. But, of course, it is true that all these scenarios play an important role in the treatment of the law. Maybe the members have already chosen each other. I now turn to Mr Van Helvert's question about the very annoying incident he referred to. NS has been addressed by the ILT. A solution is now being sought diligently. That's what it's supposed to be. I very much agree with him. That is the message we are sending out here, together and publicly, loud and clear. Then I come to the Van Veldhoven motion on part No. 704. I have always said that I want to improve the direction and accountability of the Chamber. In my view, this is a public task. That is a fundamental choice. It's an organization with no less than 2 billion taxpayers' money in it from all of us. This also includes a form of public organisation. According to the Civil Code, the board of directors must keep an eye on the importance of the e.g. Even if we make further tightenings in the current positioning, that system will remain in place. In the event of a legislative amendment, you might even be able to abolish the supervisory board, but this does not help, because in the end the board of directors will have to keep an eye on the importance of the supervisory board. That's why I didn't investigate any private organizational forms. I therefore advise against this motion because I do not wish to investigate it as a form of independent form. After all, that would suggest that there is still a way back for the cabinet that has already chosen. However, I would like to propose the following to Mrs Van Veldhoven. I have just promised Mr Graus a letter in which I will show what the current forms of control are and how we have used them. I'm willing to explain in that letter what you could and couldn't do in such a form. I would like to explain this because I am so stubborn as to explain why I did not choose to do so. But this can play a role in the debate with the Chamber.
ParlaMint-NL_2016-12-22-tweedekamer-4.u25	I would like to thank the Secretary of State very much. I understand that she does not want to give the impression that there is an alternative to the cabinet. I think it is important for careful decision-making that we have all this information. So I'm holding on to my motion, because then I can see if all the information I'm looking for is in that letter. Otherwise, I can always come back to it again.
ParlaMint-NL_2016-12-22-tweedekamer-4.u26	I think that's fair.
ParlaMint-NL_2016-12-22-tweedekamer-4.u27	At the request of Mrs Van Veldhoven, I propose her motion (29984, No. 704). That is what is decided.
ParlaMint-NL_2016-12-22-tweedekamer-4.u28	Then I come to the motion on part No. 705 by Mr Bruins. He's asking for an exit strategy or backup strategy. We need to be very clear about that. The exit strategy is simply the continuation of the current system. Mr Bruins can put very nice views in the picture, but then he also fools himself a bit. If Mr Bruins wants to change something, he will have a course for it in the coming year. He can weigh everything and eventually vote for or against a bill. If that bill is not passed, we have a working system in our own right. I just have to say that I can do better than that. In that sense, I would advise against this motion, but there is, of course, always an exit, because that is simply the continuation of the current system.
ParlaMint-NL_2016-12-22-tweedekamer-4.u29	That so-called zero option could be an exit strategy that could be named in the process. So that can be read like that. I say this for the Acts.
ParlaMint-NL_2016-12-22-tweedekamer-4.u30	I continue to dissuade the motion, because at least this is not my option. Then I come to the motion on part No. 706 in which Mr Bruins asked the government to develop the pre-condition "no cost to users." He thinks it's important that this be "good," just to put it in my words. I refer to a previous motion by Mr Hoogland on this subject. I have already declared this motion to support policy, and I do so with Mr Bruins' motion. This is what I intend to do. I can support this in no time. That is why I leave this motion to the Chamber. I come now, last but not least, to Mrs De Boer's motion on item No. 707. It states that if four trains run from rush hour to The Hague, the NS must continue to pay for the performance. We'll do the latter anyway. We have just established that we have agreed firmer performance standards on the hsl with both NS and ProRail. I know that the wish of the Chamber to also have a route to The Hague in rush hour can lead to a potential disruption of the timetable. This is a political wish with which we, as it were, intervene in the timetable. If it leads to the NS being less efficient, you can accept this, but Mrs De Boer doesn't want that. So if I were to carry out this motion and indeed go wrong, we do not know that yet, then the consequence is that we are going back to everything via Amsterdam. I would therefore advise against this motion. I am prepared to give the rush from The Hague to Brussels a chance. In addition, I believe that if the company gets into trouble because of our decision, we have to accept something for that. If Mrs De Boer says that she does not want to do so, the consequence of this motion is that the direct link between The Hague and Brussels will be cancelled. There's no other way. You have to be honest about that, because that's what's actually written here.
ParlaMint-NL_2016-12-22-tweedekamer-4.u31	I'd like to put another tooth in it. There are now also trains from The Hague to Brussels; that has been a good habit for years. I have been told that this is indeed a change in the timetable, but that it does not have to lead to lower performance. Let us not give this away in advance, please. We must continue to think in the interests of the traveller and say that the NS must simply perform. If, after a year, it turns out that it is not working, then we shall have a debate in the Chamber. However, to say in advance that the NS is allowed to perform less, I really go too far. We can have a debate afterwards on what caused it and so on, but I am maintaining the motion as it has been put forward.
ParlaMint-NL_2016-12-22-tweedekamer-4.u32	The motion contradicts what Mrs De Boer says. She says she doesn't want to give in already. I'm not. I have said that we are tightening up the performance indicators throughout the hsl. The escape route, the question of whether it is ProRail or the NS, we have actually stopped; we have made it impossible. Because the timetable is not the same every hour, we do a very precise procedure, there is more uncertainty. For example, there must be spare trains in The Hague. Those are practical points. I have already said that if problems arise for that reason... NS is not for that 12/4 variant and states that it has to drive through Amsterdam for a really good performance. In view of the flow of passengers, that makes sense. If we intervene in this, we must also dare to take responsibility for its consequences. I'm not doing this in advance. I'm doing this afterwards. If the motion is adopted and it goes wrong, that is to say that it is not carried out properly I will explain it in such a way that I go back to the 16/0 variant. That, I think, is the best and most fair explanation. Then you know one thing for sure, namely that you can maintain tight because you take over the company's proposal.
ParlaMint-NL_2016-12-22-tweedekamer-4.u33	There have even been two essay tracks due to the decline of a trajectory. So there's room on the track. The will of the NS is all it takes. Technically, everything's fine. The Secretary of State's explanation is not in the motion. I don't want to do that either. We just have to try to do this and not adjust the performance figures of the NS in advance.
ParlaMint-NL_2016-12-22-tweedekamer-4.u34	I don't do it in advance either. That is the essence of what I wrote in the letter to the Chamber. In advance, we are improving performance across the board. Now the Chamber only asks me and the company to intervene in the timetable. I'm not a railroad expert with the knowledge of marshalling grounds, but I understand that there can't be a spare train in The Hague. Failure brings with it a huge problem because the timetable is just as different at times in the day. People are going to do it right. In that sense, I certainly follow the spirit of the motion and NS must do the same. But if we want something politically that line is not designed for because it does not go through Amsterdam, and if we want to do an intervention that makes it go wrong, you can do two things. You can say: it needs a tooth better. But if you know that this is why things are going wrong, you can also say that we should opt for the safe option. I therefore advise against the motion, but if the Chamber accepts it, it is likely that the choice will have to be made to do it only from Amsterdam.
ParlaMint-NL_2016-12-22-tweedekamer-4.u35	This brings to an end the general consultation Spoor. The motions tabled will be put to the vote today. We blink twice and continue with the report on general consultations on aviation.
