ParlaMint-ES-PV_2015-05-29.u0	Good morning, everyone. We'll start the whole meeting. First point in theme list: "The question is, "The question is, that the members of the staff of the U.S.A.R.R.A.R.R.R.R.A.R.R.R.R.A.R.R.A.R.R.R.A.R.R.A.R.R.A.R.R.R.A.R.R.A.A.R.R.R.A.A.R.R.A.S.A.S.A.S.S.S.A.A.S.S.A.A.S.A. Too much of a lady, it's your word.
ParlaMint-ES-PV_2015-05-29.u11	Mrs. Arroy, as you know, we're going through the year 2009 of the evagnostic evaluation, and all the educationmakers are satisfied with this evaluation, because they know very well that it's absolutely necessary to continue the improvement of our education system. In addition, this evaluation of our next year at the third grade corresponds to the project of the New Hezi new 2020 plan and the decree of the curriculum. It is contained in it, and you participated in the passage of the decree, like all other operators. Then you were able to contribute a great deal, and, in fact, you made various contributions. Do you remember what you said about the diagnostic evaluation we plan in the third grade? Nothing, nothing. I have your contributions here, and there's no mention of evaluation. In accordance with this, I remember that the contribution of public operators was for the diagnosis of evaluation, if used for improvement. And now you're doing your political campaign against the evacuation, the families mixing up, giving the wrong information according to your interests. Mrs Arrondo, now that we are at a time of reflection, looking at what has been done right and what has been done wrong, perhaps the political use that is being made of this point should also be a source of reflection on your part. In any case, this department will continue with the previously established process: once the testing phase is completed, the resulting information will be analyzed and the diagnostic evaluation of the next course will be designed, in collaboration with the centers themselves. The time of contribution is over. Now it's time to develop and work for the students in a responsible way. And I repeat: Don't confuse the families, don't use the students.
ParlaMint-ES-PV_2015-05-29.u12	Thank you, Mrs. Uriart. Third point in theme list: "To ask the question, the members of the Medical Department, Blanca Roncal Azanza Basque Sozialists, the treatment of sick people with hepatatitis." Mrs. Roncal, your word is yours.
ParlaMint-ES-PV_2015-05-29.u13	Mr. President, members of the legislature, President, Councilman, good morning to all. Counselor, sometimes I agree with you, we agree. I mean, we're both doctors, we both know direct health care to patients, and we've both had the opportunity to manage health. That is why I agree with you when you say that you will ensure that all hepatitis C patients will be treated according to clinical criteria, allowing digestive and infectious diseases specialists to determine that treatment. That's what you said last March in an interview that's on the official government website, but what you're doing two months later is not that: it doesn't guarantee everyone treatment with the modern and effective drugs available, nor does it follow the clinical criteria. Health management criteria are followed. This is what you said on May 14th, to reply to patients who were demanding that they be treated as in the rest of the autonomous communities. According to your own explanations, those who are at the most advanced stage of the disease are now being treated, what you call F4, but, as the affected themselves tell us, not even the entire group of the most serious patients is receiving treatment. Therefore, they criticize you who have made a decision neither clinical nor – as you say – economic, but purely clinical management, in order not to apply these treatments to patients, as I say, with these available treatments, who cure the sick and prevent the sick from getting worse and having to continue in pharmacological treatment. What's going on? Don't you have money? That is why – as I say – from the agreement between what you say and the disagreement with what you do, I ask you when you will implement the recommendations approved by this same government in the Interterritorial Council to attend to all patients with hepatitis C.
ParlaMint-ES-PV_2015-05-29.u14	Thank you, Mrs. Roncal. In reply, Mr. Darpón is a representative.
ParlaMint-ES-PV_2015-05-29.u15	Thank you, Mr. President. Congressmen, Mr. President, good morning to all of you. Roncal andrea, first of all I want to send a message of solidarity and tranquillity to all people with hepatitis C in Euskadi, and, in order to move this debate away from political use, say loud and clear that from the Department of Health and from Osakidetza we will continue to address this disease as a health problem. We will continue to look after the people concerned, and also the public health system as a whole. Osakidetza has treated and treated adequately all people who suffer from any disease, and patients with chronic hepatitis C virus liver disease as well. In addition, Osakidetza has incorporated all available medicines into the health system. Membership hasn't left out the people who have the hepatitis C illness. As we've always done, we're dealing with the most recent drugs and the best patients. I mean, Mrs. Roncal, the society of euscals must know clearly and clearly. Please don't use people's suffering to make the government bitter. With regard to the strategy of recommendations agreed at the Inter-Territorial Council to care for patients with hepatitis C that you have recalled, I will tell you that, as you know, from the beginning we agree with the clinical criteria. With everyone, as a whole. These same criteria are being applied: clinical indications, prioritization based on fibrosis (this humble counselor has not invented anything of F4, F3, F2, F1, F0; as you know, it is an international classification), drugs, and also the deadlines defined to treat all patients. In accordance with these instructions, we work in order to treat all the sick, to prefer the high degree of fibrosis to those who are in the greatest danger of being in trouble. You will probably also be aware that today the Ministry of Health has not released any economic memory of the strategy, despite Minister Alonso's commitment already more than two months ago to launch a special funding plan. Nor is any detail known of the agreements reached between the ministry and the pharmaceutical industry. Both aspects of great importance for the management and sustainability of our public health system. Despite this, all patients are being treated on a step-by-step basis in Euskadi, and we are also paying for the treatments provided through the budget of the Basque Government: EUR 20 million, Mrs Roncal. As you can see, I don't lack a budget. Thank you.
ParlaMint-ES-PV_2015-05-29.u16	Thank you, Mr. Darpón. Mrs. Roncal, your word is yours.
ParlaMint-ES-PV_2015-05-29.u17	Counselor, I will begin by telling you that hepatitis C patients do not want your solidarity; they want to be cured. They want you to give them the treatment they demand, and to attend not only to the most serious, but to attend to the least serious, to prevent them from getting worse and dying, as is being done in the rest of the autonomous communities. I admit, of course, that you have a different strategy. I disagreed, but it's your competition, and you do what you think is appropriate. What I do not admit is that he will say that he is going to do something that he does not do, because then it is when Parliament enters, and the responsibility of parliamentarians to control his task. Because his department joined all the health recommendations that were made at the Inter-Territorial Council, but his way of implementing it is absolutely divergent from the rest of the autonomous communities. We're in line, as the affected themselves tell us. Look at you, all the autonomous communities treat the least serious, those who are a little more serious and those who are very serious. And here to the most serious, not everyone. Because, of course, you say that stepwise. What the hell is that? What's that? And on top of that you were allowed to criticize the sick for their political ideology. The last thing we could have expected from a counselor is that, instead of receiving a sick person and seeing only a sick person, he sees an ideologically different competitor. Counselor, you weren't lucky at that. Anyway, what we're telling you again is that you have a responsibility to the sick, and we all expect you to fulfill it. Not only with the very serious ones; with all the others too.
ParlaMint-ES-PV_2015-05-29.u18	Thank you, Mrs. Roncal. To answer, Mr. Darpón, your word is yours.
ParlaMint-ES-PV_2015-05-29.u19	Mrs Roncal, we are not going to allow you to question the management this government is carrying out to address the treatment of hepatitis C or any other disease. Any way is whale. In fact, you know that the entire eupscal society is making a great effort to face this matter, whether in the field of matter or in the means of money. We are faced with good news: a serious disease, hepatitis C, has a new and more effective treatment that will benefit sick people. Osakidetza and its professionals are giving the right response, which is treatment step by step. In Osakidetza it is treated as a priority; it is not like in the fishery, that the first one who arrives takes the number. Of course, we are not facing a political problem. Again, all patients affected by chronic hepatitis C virus are to be treated in Euskadi, and future funding and sustainability of the public health system are not to be put at risk. Thank you.
ParlaMint-ES-PV_2015-05-29.u20	Thank you, Mr. Darpón. Forth point on the theme list: "To ask questions, the parliamentary members of Laura Garrido Knörr of the Popula team made to the head physician of the Medical Department, about giving new treatments to patients in Hepatitis." Mrs Garrido, your word is yours.
ParlaMint-ES-PV_2015-05-29.u21	Thank you, Mr. President. Good morning, President, chief physician, head physician of health. The truth is that we do not understand, Mr. Counsellor, what is happening with this issue, and where the problem is. Because you in this rostrum say the problem is not economic... I would, of course, like you to clarify to the People's Group where the problem is. Look, the reality is that patients affected by hepatitis C in Euskadi are being discriminated against in relation to patients in other autonomous communities. In Euskadi they are not being administered... [[Shouts are heard among the guests]]
ParlaMint-ES-PV_2015-05-29.u22	Get out! Please. Please. Please. Out. Please. [[Pause]] Lady Garrido, when you want to start...
ParlaMint-ES-PV_2015-05-29.u23	Eskerrik asko, president anderea. He said that this Government is clearly discriminating against those affected by hepatitis C in Euskadi against patients from other autonomous communities. In Euskadi the reality is that in many cases new treatments are not being given to patients who are in the most advanced phase, in F4 – in that phase where they are supposed to be giving these treatments throughout this year – and those qualified as F2 and F3 have to wait at least until 2016, at best, which is not happening in other autonomous communities. Hepatitis C patients in Euskadi are clearly in worse conditions in health care than patients in the rest of Spain, and the reality that we are getting to know every day, of cases that are coming to us, is that there are even those who are qualified as serious, in the most advanced phase, F4, to which doctors prescribe new treatments, and do not do so because they do not have authorization. Thank God, counselor, that clinical criteria were being followed! Here are the clinical criteria of the doctors, who would prescribe these new treatments to the patients in the most advanced phase, and even to some of them, as we are knowing cases every day, who are calling us to this group, are not being prescribed. You will have to explain here today in this rostrum why, and why these patients are not even being given the most advanced medicines. And, of course, the attitude of this Government to deny these treatments is clearly harming hepatitis C patients in Euskadi. Sick, patients who have to endure, or see how their situation worsens or can worsen, while they know that patients from other autonomous communities (patients from Logroño, Burgos and Madrid) have without any delay the treatments that they are denying here, counselor. Therefore, do not tell us that this problem is being addressed from a perspective..., from health, because then would be prescribing treatments that, as I say, are being prescribed in other autonomous communities. That is why we ask you, Mr. Counsellor: What assessment do you make of other autonomous communities going ahead of Euskadi (because they go ahead of Euskadi) in dispensing new treatments against hepatitis C?
ParlaMint-ES-PV_2015-05-29.u24	Thank you, Mrs Garrido. To answer, Mr. Darpón, your word is yours.
ParlaMint-ES-PV_2015-05-29.u25	Thank you, Mr. President. Congressmen, Mr. President, good morning again. Look, Mrs. Garrido, what you just said here, because you've made a piece of paper. In Euskadi we have never stopped treating anyone who has come to Osakidetza. We have a universal, public and quality health system, which has always treated all patients according to medical criteria, without leaving anyone behind. And this despite the policies promoted by his party from the Madrid government this legislature, implemented by urgency and as basic legislation. Immigrants also have hepatitis. Osakidetza remains a reference for Basques and Basques. The Basque Government and the parliamentary group that supports it are very proud of this. We have said this, and we have provided data (data, Mrs Garrido) that support the facts. In Euskadi we are treating people affected by hepatitis C, and we are going to treat all people affected. Data, what's not in other communities. Euskadi was one of the first communities that, from the first half of last year, began to dispense, for compassionate use, new medicines, while the Ministry of Health headed by Mrs Ana Mato of the People's Party, did not finish approving the authorization of the use of these drugs in the health system. From January to November, to authorise the use of sofosbuvir. Osakidetza is treating all people affected by hepatitis C following the medical criteria of the so-called "strategy" for the treatment of this disease, established by a committee of experts in which we have participated actively through Dr. Daniel Zulaika. Do you really believe that in Euskadi patients are not treated?, that new medicines are not used?, that there are inequities between territories and centers? You, who stand idly by, supporting a press conference that spoke of "genocide," Mrs. Garrido. Do you have any data, any specific data? We've laid out the role of membership on the table, and we can say that we've treated more than 700 people. And we say that we will continue to make a great effort, because that's really our goal.
ParlaMint-ES-PV_2015-05-29.u26	Thank you, Mr. Darpón. Mrs Garrido, your word is yours.
ParlaMint-ES-PV_2015-05-29.u27	Look, counselor, you're missing the truth, because you know as well as I do that there are patients... Before yesterday I called a patient qualified as F4, who had an appointment with the doctor and that the doctor had told him that he has no authorization to give him the treatment, and that "you come back tomorrow". And they're gonna give him a new date. So don't miss the truth in this rostrum, when you know that qualified patients... Yeah, if you want, I'll tell you what patient you are. Because, of course, you're here saying one thing in this rostrum but the reality in Euskadi is another: that there are patients qualified as F4... I am no longer talking about patients qualified as F2 and F3, who in other communities are being treated and not in Euskadi, but about patients qualified as F4, who are being told "come back tomorrow". And that's what's going on here, and you, counselor, will have a responsibility in that. You will have a responsibility, and a very great responsibility. And, look, don't talk to me about Mrs Mato, tell me about what the new Minister of Health has done: a national strategy for the treatment of hepatitis C was approved unanimously, by all the autonomous communities, including the Basque Country, where there was also some expert, in that working group, from Euskadi; which also had the deference with this Autonomous Community so that there would be specialists in that working group. And you are failing to meet those criteria that other autonomous communities are carrying out. You are the only autonomous community that is not implementing these criteria. You'll know it's not. You will have to clarify, and you will have to clarify the sick, those sick who are seeing how...
ParlaMint-ES-PV_2015-05-29.u28	Thank you, Mrs Garrido. Mr. Darpón, your word is yours.
ParlaMint-ES-PV_2015-05-29.u29	Mrs. Garrido, we're treating patients with all the available drugs. Neither we nor any community nor country can treat all patients who currently have hepatitis C on the first day. We do so despite the fact that, from the Ministry of Health headed by its Minister Alonso, the approach strategy for hepatitis C approved continues to be provisional, two months after passing through the Interterritorial Council; the Ministry has not responded to the claims of the communities, it has no economic memory, the funding model is unknown, the meeting with the Treasury Boards has been suspended without delay, we have no information on the agreements with the pharmaceutical industry, our powers to negotiate prices are being invaded in public competitions for the acquisition of hospital drugs. But, look, the Basque Government is going to continue to assume its obligations: to govern for people. Last week we made public data, Mrs Garrido, which shows that we manage public resources with rigour, fairness and transparency. More than seven hundred people with hepatitis C have already been treated with new antiviral drugs in Euskadi, and we are 5% of the state's population. Ask for data and draw conclusions. And we're going to keep treating all people, step-by-step. And we are also paying the costs of medicines with the budget of the Basque Government, ensuring the sustainability of the public health system, something that seems to have ceased to be normal in communities governed by you. We said it from the beginning, and as the data shows, Osalides will treat and look after all the people who have the disease of the C hepatitis. Of course, just as we've always done. Thank you.
ParlaMint-ES-PV_2015-05-29.u30	Thank you, Mr. Darpón. Five point in theme list: "To ask you, Gorka Maniero Labay's Mistto-the member of the U.UPyD team made to the head of the Security department, to reduce rubber balls immediately, and permanently remove them." Mr. Maneiro, your word is yours.
ParlaMint-ES-PV_2015-05-29.u31	Thank you very much, Madam President. Good morning, all of you, ladies and gentlemen, Mr Lehendakari. On 16 April this House adopted a compromise signed between the Socialist Group and UPyD, which was also supported by the People's Party and the Basque Nationalist Party itself. All supported this transaction, except EH Bildu. This transaction called on the Basque Government's Department of Security to immediately restrict and replace the spearhead shotguns and rubber balls by other less harmful anti-disturbing means for people, which would also enable the Ertzaintza agents to perform their work properly and effectively. The Department was also urged to provide Ertzaintza with new anti-disturbing materials and to train agents in their use, as well as to provide all necessary means and tools to ensure their safety and that of all citizens both in the usual development of their indispensable work and in the face of the development of violent acts. However, on 6 May (i.e. just 20 days after the adoption of this parliamentary mandate) the director of Ertzaintza, in an interview with Radio Euskadi, refused to remove the rubber balls, because, he said, "We must be prepared". And he added: "I am not in favour of eradicating rubber balls, no kind of weapon." The question, therefore, is whether the department will fulfil the parliamentary mandate approved by the Basque Nationalist Party, the Basque Socialist Party, the People's Party and UPyD. I have basically two doubts on the issue: whether you understood what was requested in that transactional, whether you understood that parliamentary mandate, and, second, whether you are actually going to fulfil that parliamentary mandate. Thank you.
ParlaMint-ES-PV_2015-05-29.u32	Thank you, Mr. Maniro. To answer, Mrs. Beltrán de Heredia, your word is yours.
ParlaMint-ES-PV_2015-05-29.u33	Thank you, Mr. President. President, chief officers, members of the legislature. Mr. Maneiro, the director of the Ertzaintza was direct and clear in his presentation of arguments. The weapons used by the police have one purpose: to neutralize situations that require police action and control. That is true of all the democratic police in Europe and all the police in the world. Practically every day we are seeing images of police situations and actions in public disorders. Fortunately, this type of circumstance here in Euskadi is being less frequent than in the near past, but also Ertzaintza has the task and the obligation to deal with complex situations of security and public order, as you well know, when these occur. It is the obligation of the Ertzaintza to comply with the law, to ensure that no one attacks anyone, that no one destroys public or private property, that no one imposes their demands above the rights and freedoms of others. But in his speech, Mr Maneiro, he deliberately obviouss the substance of the words of the director of the Ertzaintza, who showed the necessary reflection not only on the materials in themselves used by the Ertzaintza, but also on the use to be made of them, which is what is important. And, in this sense, the Ertzaintza seeks, analyzes and selects new materials, but not only that: it also works in new techniques, new tactics and new systems of intervention. But above all it foresees and prevents complex situations of public disorder, in order to try to better guarantee the security of citizens and of the agents themselves. To comply with the compromise signed by Parliament, yes, we are on that path.
ParlaMint-ES-PV_2015-05-29.u34	Eskerrik asko, Beltran of Heredia anderea. Mr. Maneiro, your word is yours.
ParlaMint-ES-PV_2015-05-29.u35	Yes, thank you, counselor. I didn't mean to obviate anything at all. I listened to the director of the Ertzaintza in that live interview, and I heard him say that he is not in favour of suppressing rubber balls. That is why, since a transactional was approved and requested, I have asked you whether it will actually fulfil that parliamentary mandate. And, in fact, he answers me yes. We hope so, because in many other cases other parliamentary mandates have not been fulfilled by this Government. I therefore believe that the mandate of Parliament is clear: it calls for the definitive replacement of rubber balls. And, therefore, we hope that as soon as possible it will be fulfilled and effective, and so it will be done. We do not include the term ban in that mandate, and we do not include it for a simple reason which I believe should be explained. In our view, it was pointless to ask for a ban on this material, because this could mean something like that the inertzainas themselves would have those spearhead shotguns and rubber balls, but from the government, from the department, it would be forbidden to use them. That's why we don't use that prohibition expression. What this is about is the department handing out to the ertzainas appropriate material other than rubber balls. An effective material, which guarantees the safety of all citizens, and of course also the safety of the inertzainas themselves. Indeed, there are violent groups or actions to which Ertzaintza must respond. What we're asking is for you to do it with the most effective material possible. We do not say, therefore, that rubber balls should cease to be used because there are no episodes of violence or there will be no episodes of violence, but that even if there are episodes of violence, rubber balls should not be used. The parliamentary mandate is therefore clear, there is no confusion about it, and what we are asking is for the department to do so as soon as possible. Thank you.
ParlaMint-ES-PV_2015-05-29.u36	Thank you, Mr. Maniro. To answer, Mrs. Beltrán de Heredia, your word is yours.
ParlaMint-ES-PV_2015-05-29.u37	I agree, Mr Maneiro, with what you say: the Ertzaintza needs material that is effective but that guarantees the safety of the citizens as a whole and also that of the agents themselves. The selection of current lanzabolas was a long process of contrast and verification. Moreover, even improvements have been made during their use, we have also needed many material and organizational resources to give the training, and always with the same will: the will to equip the Ertzaintza with the most appropriate means possible. The spearheads... finally, as I said, the most effective means to deal with difficult situations of public order, material means that are used with well-founded professional knowledge, deep professional knowledge, means that cause no more damage than those they seek to avoid. The Ertzaintza has to be prepared to deal with the explosions of violence that may occur, and it is. And it is. That is why we focus both on continuous training, on training and on the preparation of ertzainas. Today it is not possible to respond to critical situations without any kind of police material, that is clear, and I think we all agree. However, lanzapelotas have been removed from the police stations, their use has been restricted absolutely and exclusively for the specialized units of the Mobile Brigade, and only in exceptional situations, and also only under specific orders from their superiors. Therefore, all this is contained in a police investigation, and, as I told you, this is the agreement that was signed in the transactional last April 16th, and on that road and on that job we are. Thank you.
ParlaMint-ES-PV_2015-05-29.u38	Eskerrik asko, Beltran of Heredia anderea. Number of points in theme list: "Interliberation, by Daniel Mazzu Perez EH Collectors to the President, in the fracing field of the Lawmen to fill in with joy." Mr. Mazezu, your word is yours.
