ParlaMint-NO_2001-01-31.ana.ud1670e27	It summons the alternate of the Nord-Trøndelag County, Astri Wessel, has a teke seat.
ParlaMint-NO_2001-01-31.ana.ud1670e131	There will be follow-up questions – Odd Einar Dørum.
ParlaMint-NO_2001-01-31.ana.ud1670e134	I see it as very positive that the Council of State assumes a coordination responsibility. We are all aware that there is a work going on to make a law against ethnic discrimination. I hope the Council of State hastens the work, but on the way you can do something. You can, for example: take such practical measures as to ensure that the police systematically reduce all situations where young people experience the fragmentation of a youth group as a result of skin colour when entering an outdoor area. This is not a matter that is very big, but it is a matter that is extremely much about creating trust, so that everyone feels trust in the Norwegian community, especially those who have a different skin color than the Council of State and me. It is a concrete question that I would ask her to raise with the Minister of Justice. Similarly, as Mr Bondevik brought up here, it can be ensured that when immigrants apply with competence, they are called for an interview on the basis of the papers, so that the name and colour of the skin are not determined. The state can go ahead to make sure that this happens, and set it as a norm. There are two concrete contributions that allow us to talk about us, and not about them and us.
ParlaMint-NO_2001-01-31.ana.ud1670e153	Of course, as far as the last question is concerned, I fully agree. It's also important to do something in relation to the competence that is. In a situation where we have a major shortage of labour, for example: in large parts of our country, it is quite hairy that unemployment among our new countrymen is much, much higher than in the rest of the population. I have met many people who are trained as doctors, lawyers, assistant nurses, etc., who do not get a job in Norwegian society. No matter what education and competence they have, we need those resources in Norwegian society. We're going to do everything in our power to help that happen, but we also have to do it in close cooperation with the social partners if we're going to do it in practice. When it comes to the question of, for example: This with outdoors, which is a concrete example of how discrimination actually happens, it is quite fundamentally wrong that if there are four whites coming to a place, then it is okay, while we see that if there are four with dark skin coming to the same place, it is suddenly a bunch, and that is a problem. It shouldn't be like that. Of course, I would like to take the views of Mr Dørum further to the Minister of Justice, and we should look at that.
ParlaMint-NO_2001-01-31.ana.ud1670e161	Carl I. Hagen – for follow-up questions.
ParlaMint-NO_2001-01-31.ana.ud1670e164	I am pleased that the Council of State has now so clearly and openly admitted that the integration policy that former Labour Party governments and other governments have conducted has not produced the desired result. I wish you had perhaps gone a little bit more in yourself and looked at the basic elements of this, but it is now for treatment in Stortinget. In this respect, of course, the fight against all discrimination against people because of their ethnic origin, race or religion is totally unacceptable and must be combated. Will the Government introduce the principle that it will counteract all trends and proposals that discriminate against people based on race, religion and ethnic origin, i.e. in all directions?
ParlaMint-NO_2001-01-31.ana.ud1670e169	For the Workers' Party and for the Government, it is absolutely essential that all people are equally valuable wherever they come from, no matter what background they have, no matter what skin color they have and no matter what religion, gender or age people have. It has to be clear. I believe that is one of the most important things in the debate we are now in the middle of, when we have seen as cruel events as we have. But then it's important that all political parties take a strong distance from such things that have happened here, and take a strong distance when there are statements that criticize a particular group because they come from a particular country or have a certain skin color. That kind of thing doesn't help to reduce racism or xenophobia in this country. I would appeal back to Carl I. Hagen, who represents a large party in Norway, to also take the responsibility inwards in relation to the responsibility that I believe all the political parties in this country have to fight back against xenophobia and racism. And I don't feel exactly that it is the Progress Party that has been at the forefront to help reduce xenophobia and racism in Norway.
ParlaMint-NO_2001-01-31.ana.ud1670e176	Hilde Frafjord Johnson – for follow-up questions.
ParlaMint-NO_2001-01-31.ana.ud1670e179	As a former Minister of Human Rights, I have had a coordinating responsibility with the Minister of Municipal Affairs in this very area, and the experience is that there are some plugs in the system. We can share the appeal that the Council of State comes with, and we can agree quite fundamentally, but the question is how we can ensure a proper follow-up. I'm going to mention two plugs, and one goes to the labour market seat. As far as I am aware, the Labour Market Act opposed the amendment to Section 55(A) of the Working Environment Act, which the Council of State agreed against discrimination in employment. If Aetat is to follow this up properly, they must also be an establishment that is convinced of the significance of this change. The second is the recognition scheme for foreign education, for which the Minister for Church and Education is responsible. In fact, I would say that there is a scandalous handling here, not by the Council of State, but in terms of how the authorisation system works. It is that education is accepted at Harvard, but not at the University of Oslo. We have to do something about this, and this has an important driving responsibility for following up.
ParlaMint-NO_2001-01-31.ana.ud1670e186	Yes, compared to the last one, I fully agree with the representative that it is hopeless that we have a system that takes so long to have the competence that you have with you from other countries. That is why we have also made some proposals in the Communication on Integration, which is now being discussed here in the Grand Duchy. I think we have to get that plug out of the system so that this goes much faster, and there we also want to contribute, it has to be absolutely clear. With regard to the first question of the amendment to Paragraph 55(A) in relation to discrimination, we now have, as the representative is well-known, the case here in Stortinget, and there is no doubt that the Labour Market Act is very central to this if we are to also manage to get more of our new countrymen into work. In fact, we need more labour, and there are many resources that are now lost because we do not succeed in doing so, and of course we will have a close dialogue with the Labour Market Act in the follow-up to the decision that Stortinget had to take in the specific case, Section 55 A.
ParlaMint-NO_2001-01-31.ana.ud1670e193	Erna Solberg – for follow-up questions.
ParlaMint-NO_2001-01-31.ana.ud1670e196	I hope the Council of State agrees with me that one of the important things to combat racism is to focus a little more on the positive aspects of both immigration and having a multicultural society, rather than being concerned with the challenges and problems we have at all times, and that labour immigration may help combat racism by getting more immigrants into a resource group that will be self-held and have different types of work than many of the refugees and asylum seekers we have had to do now. Then there is one specific area of racism in the labour market, which I think the Council of State could address, also in relation to the Minister of Labour and Administration. Some immigration organisations have wanted to establish measures to actively market their ethnic group to the employers concerned. There is currently no room for allocation within any item of that type of measure. On the right, we have proposed a measure, namely a testing scheme for a wide range of such measures, but we have received no from the ministry so far. Will the Council of State try to find funds for that kind of action in the field of anti-racism appropriations?
ParlaMint-NO_2001-01-31.ana.ud1670e203	I can't answer right above the table here today, but I'm taking those signals back and I'm going to promise to talk to the Minister of Labour and Administration about it. There must at least be no doubt that the Government wants to do what we can in terms of using the many resources that are currently unused among our new countrymen, among others. in working life. So I'm taking that proposal back. When it comes to the issue of labour immigration, the government comes back to some concrete proposals in a very short time about what we think should be done to make it easier to get more people to work in our country, which we also need.
ParlaMint-NO_2001-01-31.ana.ud1670e210	Karin Andersen – for follow-up questions.
ParlaMint-NO_2001-01-31.ana.ud1670e213	The Council of State took maritime criticism on behalf of its own government and others because we have not succeeded properly with integration policy and prevented racism. Then I need to ask why the Government has provided a big message that, apart from one action, as far as I can understand, contains nothing new. All other measures that have been largely endorsed by the Storting have been taken. The only new measure in the Communication is for municipalities to be forced to settle refugees and asylum seekers. Does the Council of State feel that such a coercion is involved in reducing possible discrimination and racism in the population?
ParlaMint-NO_2001-01-31.ana.ud1670e219	First of all, I distanced myself from the claim that there should only be one new measure in that message. In that case we must at least talk about two different messages, because there are a wide range of proposals for action on what should be done in relation to integration policy, this is the theme that the representative Karin Andersen raised here in relation to housing – I will comment on it afterwards – in relation to education, employment, asylum reception, single minors, etc. But I expect this to give us enough opportunity to discuss when the matter is to be dealt with here in Stortinget. When it comes to the settlement of refugees, at least I'm sure that the arrangements we have per year. today, not working. There are so many who remain in reception for months and years because the municipalities will not accept them for different reasons. We have taken this seriously by increasing the integration grant from NOK 300000 to NOK 365 000. I am pleased that the Storting has adopted it; that is to say, what the municipalities have asked for. But then I expect more municipalities in this country to take more responsibility for resettlement, and then I believe that we also need to consider new arrangements to get it done more quickly.
ParlaMint-NO_2001-01-31.ana.ud1670e226	Magnhild Melting Group Kleppa – for follow-up questions.
ParlaMint-NO_2001-01-31.ana.ud1670e229	The fight against fear of the future and racism must take place at many levels, both through the law and through mind-creating work. A safe, inclusive growth environment is very important if we are to move on. It was important to note that there was so little agreement between the Labour Party on all voluntary work, and what happened specifically in the last state budget when cheeses were passed on to most teams and organisations, and where, in many cases, a cut in relation to activities that are crucial to ensuring a better environment for each community. Could it be expected that the Labour Party may try to reconcile more closely all the fine words that are uttered in the case of voluntary work with the means that are put at its disposal?
ParlaMint-NO_2001-01-31.ana.ud1670e234	Yes, in fact, I believe that there is agreement between word and action, and I do not agree with the representative Meltveit Kleppa's description that there was a need for cheese over all non-governmental organisations. It is true that non-governmental organisations in this country – like us, for example. have looked after the terrible thing that happened during the weekend, that they have gathered together, in this context under the direction of, among other things. by Red Cross and other non-governmental organisations, churches, sports, etc. – do a very important job. And there is no doubt that they are we totally dependent on to succeed in the fight against xenophobia and racism. We spend money on it, and we're going to spend money on it in the future. But let me also say: if we're going to succeed in this, I think it's very important that we do manage to maintain measures like this. Kindergartens, that we do manage to maintain measures that allow parents to afford to have their children in kindergarten, and that we don't experience what I've seen in this city, that the school leisure arrangements are so expensive that half of the parents have to take their children out because the parental payment is too high, and most of these are immigrant children. If we're going to succeed, we have to start already while the children are young, and it's very important that one then learns that everyone is equally valuable no matter how you look and how you talk.
ParlaMint-NO_2001-01-31.ana.ud1670e241	Let's get on with the main questions.
ParlaMint-NO_2001-01-31.ana.ud1670e244	I will be allowed to ask a question to the Minister of State. It is true that we have had more recent look-ups on the UDI and problems related to different ways of managing financial regulations and dealing with construction matters. I am pleased that the Council of State has now shown the power of action in this matter, and now will have a full review of the UDI. But I have a problem, and it is linked to the fact that the Council of State was also to act in the autumn in relation to the bottlenecks in the proceedings and gave UDI a very short period of time to put concrete action on the table before the Council of State, so that all kinds of cases would be dealt with. Two months have passed since the UDI presented to the Council of State the document containing a number of proposals for simpler procedures in the administration of foreign affairs, and the Council of State has not yet given a steering signal for their treatment and regulatory changes. When will the Council of State begin to show its power of action — more than to ask for investigations?
ParlaMint-NO_2001-01-31.ana.ud1670e253	I believe that the government is constantly showing its power of action. We work almost day and night trying to do something about this, which I fully agree with, namely that the processing time in very many cases has become too long. So it is true that on the basis that I asked for a report or a proposal from the UDI, I got it in December. We've been through it very carefully. I will make concrete proposals in a few weeks to what I think should be done in order to simplify the procedure procedures and the procedure period in order to make it faster than is the case per. today. Let me also say that I think there are a lot of good suggestions in the UDI. But I think it's very important that we go through it carefully and look at the consequences of doing it one versus the other, and so on. But as I said, I come back with concrete proposals over a few weeks on what I think should be done in that context. When it comes to the external company I want to put on the UDI now and until the summer, it has to go through and look at how the UDI works in relation to, for example, the UDI. procedures and the functioning of the UDI in relation to the economy. In view of, inter alia: some suggestions we have seen in one newspaper, where the manager of the UDI has also taken self-criticism, I feel a responsibility to be sure that the money paid by taxpayers is properly managed, and I have asked for that review before the summer. But let me also say that the UDI is in a very stressful situation. There are now many more asylum seekers coming to our country. We've said from many teams that UDI has almost everything to do, and it's not that simple. And it's also that there are difficult things, that have a lot of attention, and we're not least dealing with people. Leave it in the picture as well. But we're going to contribute from our side to trying to make the situation better, and I'm not satisfied as it is per. in the case of procedural time, today.
ParlaMint-NO_2001-01-31.ana.ud1670e264	I want to record the expression "prioritize everything." In fact, from Stortinget, we have given quite clear signals at several budgetary discussions on what to prioritise, that the processing of work permits should be given priority and that the processing time for asylum applications should be given priority. So now it is reported that the treatment of work permits has gone up to one year, and there are still between 12 and 13 agencies to comment on each application for a work permit. Will the Council of State guarantee that there will now be a simpler processing of work permits and that the overall capacity of the UDI may be facilitated by at least taking curative work permits out of the UDI's proceedings and either having the labour market seat or the police dealing with these matters? Today, therefore, we find that acute labour shortages in some sectors cannot be solved because of bureaucratic problems.
ParlaMint-NO_2001-01-31.ana.ud1670e271	Only in the case of priority. It is true, as the representative Erna Solberg says, that it has been said from the political team here in Stortinget that, among other things. priority should be given to asylum matters, and there we see some positive developments. However, it is also true that at least I am being contacted by both wholesalers and many others that the processing time for work permits, family reunification, visas, etc. should be much shorter, and I agree with that. When it comes to questions about the processing time, I will come back to it in 14 days. But just let me say it that way that I seriously consider many suggestions to see if there's anything we can lift out of the UDI, if others can do it, and my clear goal is that it should happen in a simpler and faster way compared to what is happening today – and I'll get back to that in a very short time.
ParlaMint-NO_2001-01-31.ana.ud1670e278	There will be follow-up questions - Sverre J. Hoddevik.
ParlaMint-NO_2001-01-31.ana.ud1670e281	The evening post last Saturday considered Norway’s attractiveness to asylum seekers. The title was ‘Ferre applicants for asylum in Norway’. After discussing a certain downward trend in the numbering material, it is commented by a NOAS representative that Norway has a strict asylum policy. This is met by State Secretary Gelius, who claims the opposite, and in addition, an embellishment of Norwegian asylum policy is announced. The question to the Council of State is: Where did the Secretary of State get this mandate? Is there a new policy with which the Government will come to the Stortinget, or was it taken from the big paper earlier, which other of us may have difficulty remembering to have seen?
ParlaMint-NO_2001-01-31.ana.ud1670e289	Let me first comment on the question of stay in relation to asylum versus humanitarian grounds. It is right that we accept very many on a humanitarian basis, and that there are a little fewer applicants for asylum compared to some other countries. But that's because it has something to do with who's applying for our country, and that's what's crucial for what basis you get to stay in Norway, if you need protection, and what that picture looks like. We do not intend to put forward a new policy in this area, but it is clear that some of the proposals that are now being considered, among other things. in relation to the representative of Erna Solberg, if one is in favour of all the proposals that have been put forward, it could lead to a slightly different approach in some areas than it is today. I believe that we should take a concrete position on this, but we have no intention of adding ourselves to a new policy in general.
ParlaMint-NO_2001-01-31.ana.ud1670e294	Let's move on to the next main question.
ParlaMint-NO_2001-01-31.ana.ud1670e297	My question goes to the Minister of Oil and Energy. In St. prp. No 36 says the government at 15 pst. of the shares in the deck shall be transferred to Statoil and an additional 5 pst. of the shares shall be sold to Norsk Hydro and the other companies. Now, through various press releases in the last few days, I see that negotiations are already under way between the Ministry of Oil and Energy and Statoil on these shares. In today's business on Monday, the Council of State defended this process of'more urgent need for Statoil than for the others'. I would therefore like to ask the Council of State: would it not be natural and not least fairer to start negotiations with Hydro and the other companies at the same time with Statoil if he believes that negotiations are the right procedure? And what other procedures does the Council of State consider to apply to Hydro and the other companies on the base?
ParlaMint-NO_2001-01-31.ana.ud1670e306	The thing we're talking about here is one of the biggest and most important things – at least in this period. It is important, therefore, that we discuss unseemly where unsemja is, and not on other points. The reception of this matter was given when it was presented to the Stortinget, I feel that I was particularly good from the political parties' side. This may have led to a discrepancy in media relations, and I actually feel that the contradiction that has been tried at this point in recent times is primarily created by the media, because nothing from the Government is being done in this matter that has not been described in what has been presented to the Stortinget. And of course, it's not that the government does anything concrete in this matter until the final decisions are taken by the Storting. But as it is described in the case presented, a work is done in relation to Statoil, so that one has a basis to proceed with this matter when the Storting has taken its final decision. So it's like Statoil is in a different situation than the other oil companies. Whenever Statoil is involved, one should do two things at the same time. One is going to sell parts of the day to them, and one wants to introduce private capital into the company, and for us it's important that one takes it in that order. That's why we think it's natural to have conversations with Statoil to secure progress in the matter. But it's not like it's been produced in the media, that Statoil has the option to choose from the top shelf. It's like parts of the parts of the land that the state has are for sale, and it's the state itself that decides what parts it wants to sell, not the different oil companies.
ParlaMint-NO_2001-01-31.ana.ud1670e315	I thank the Council of State for the answer. As I see it, the Ministry's pre-allocation procedure for Statoil will not exactly strengthen the competitiveness of the Norwegian base, nor will it contribute very positively when Norwegian companies go out and claim themselves internationally. I would therefore like to ask the Council of State how much of the remaining 5 pst. should one in his opinion sell to Hydro and the other companies? And will the Council of State consider applying the auctioning principle when selling SAD shares, because it is only this that can make the real values of these shares visible?
ParlaMint-NO_2001-01-31.ana.ud1670e324	It is now the case that the representative, Mr Vaksdal, is dealing with the matter under consideration in the Committee, and the Committee and the Stortinget will later decide on many of the questions he is now asking me. It's hard for me to be specific about what's going to be the end result, and it's hard to be specific about what part Hydro is going to get versus the other international companies, for example. depend on the disposal process you choose. And to answer the last question, I want to evaluate different types of disposal, but it's also of course a question The Storting will have a view of.
ParlaMint-NO_2001-01-31.ana.ud1670e331	There will be follow-up questions – Øyvind Korsberg.
ParlaMint-NO_2001-01-31.ana.ud1670e334	So, as previously claimed, the government intends to sell 15 pst. of the shares in Statoil. We see that negotiations are already taking place on this, and there is a lot of evidence that Statoil will in this way secure the 'indophile', i.e. the best areas. Does the Council of State really think this is the right approach? Are these shares to be transferred to Statoil, or in what way, if any, will Statoil pay for them?
ParlaMint-NO_2001-01-31.ana.ud1670e341	I just need to make it clear that this is a case that is being dealt with in the Storting, and it is the Storing that will answer many of these questions and in that way provide a framework for what decisions the Government can subsequently take. But I kind of want to deny that Statoil makes it possible to choose between all the parts of the day that the state has. So in my proposal, the state will keep 80 pst. Of course, we will keep the parts that we think are most important to the state. But to guide the further procedure, there are initiated conversations with Statoil to set values and some other things. And then some of the reasons for these changes that the government is proposing are, among other things. getting more value out of the fields. There is not necessarily a connection between the fields that Statoil wants and the fields that other companies want. But no decisions are taken in this area until the Storting has taken its decisions.
ParlaMint-NO_2001-01-31.ana.ud1670e348	Hilde Frafjord Johnson – for follow-up questions.
ParlaMint-NO_2001-01-31.ana.ud1670e351	In this case, I am concerned with the role of the Storting, because the central point of the discussion is how far the Government should be able to go in its discussions while the proceedings are ongoing in the Committee. The landfill proposal states: ‘Consultations with Statoil on the sale of shares in the EEA will continue in the future’. The wording is ‘debate’. In the media, negotiations have taken place. One thing is tentative discussions about processes and different options for dealing with BEES. Of course, although I had wanted it to not happen, it is possible to do so without prejudice to Storting's handling. But there is something quite different about entering into concrete negotiations on the allocation or sale of concrete shares. Then there is no semantics, then there is a substantive difference, and the mandate is discussion and not negotiation. I therefore want the State Council's assurances – since he says this is primarily media-created – on two things: one is that no negotiations are being made on the sale of concrete shares of DØE while the treatment is in progress, and the other is that a process is initiated as soon as possible in relation to the other companies.
ParlaMint-NO_2001-01-31.ana.ud1670e361	What the government is currently doing is described in the documents that have been handed over to the Storting, and we are of course going forward in relation to them. It is such that all discussions with other parties involved are carried out on the decisions that the Greatness of the seventh and last must take. When it comes to the other companies, there's no desire for us to keep them on the go and wait. However, there is a limit to capacity in the department, and we have therefore chosen to start with Statoil a little before the others. It doesn't necessarily mean that one ends the negotiations until one starts discussing with the other companies. I feel, at least on the basis of the wording that has been with me, that it has been a goal for the media to create a case of this, for which, in my view, there is no basis.
ParlaMint-NO_2001-01-31.ana.ud1670e373	Øystein Djupedal – for follow-up questions.
ParlaMint-NO_2001-01-31.ana.ud1670e376	It is, of course, wise for the Council of State to ensure that it is the Stortinget to decide, and that no final decisions are to be made until the Stortinget has stated its intention. But at the same time, when you make discussions of this kind, it's very close to believing that you've been shooting decisions here and given one company the opportunity to position themselves in a completely different way from other companies. Of course, the special treatment provided here has a historical reason that Statoil has a very special place in our oil history, but at the same time, based on all the premises that are otherwise given in what is now the government's new oil policy, it should not continue like that. What is then my question to the Council of State, as an extension of the various questions that have been asked here, is: wouldn't it be wise for the Council of State now to put these discussions on ice, pending that the Storting actually takes the decisions that have been taken? It is described that discussions should be held, but the Stortinget has not signed up and endorsed these discussions mentioned in the Proposition.
ParlaMint-NO_2001-01-31.ana.ud1670e385	So today's discussions with Statoil mean that everyone is aware of the changes that the Storting would have to make. This is a huge reform. The most important information is available, and the work now being done will provide a basis for implementing the final decision of the Stortinge. And then I want to make it clear that part of the purpose of implementing the changes that the Government is now proposing is to get more efficient operation, business benefits and so on, in some fields. It is then that Statoil stands stronger in some fields than the other oil companies do, while Statoil in other areas does not have any interest. So it's not automatically such that these oil companies that want to buy parts of DEATH are busy buying the same parts of DEATH. And as I said, it's the state and not Statoil that to the seventh and last should determine which parts are for sale.
ParlaMint-NO_2001-01-31.ana.ud1670e392	Let's move on to the next main question.
ParlaMint-NO_2001-01-31.ana.ud1670e395	I'll ask the Minister for Oil and Energy a question. The question of the privatisation of Statoil has triggered speculation in relation to the future location of Statoil’s head office. The headquarters in Stavanger has been of invaluable value to Rogaland and the West, otherwise – directly in the form of jobs and competences, indirectly in the form of all the ringing effects it has brought about. In what way will the Council of State ensure that Statoil's head office is not moved?
ParlaMint-NO_2001-01-31.ana.ud1670e402	To be completely honest, I think this is an entirely out-of-date problem. Stavanger is the most important oil centre in Norway, and it will continue to be – simply because there are the most important institutions in this area, and because it is the natural geographical location due to the resources in the North Sea and the immediate proximity of Stavanger. We want to further develop and protect about Stavanger as the oil town it is. And it's of course that with the owner part of the state will have in Statoil after the proposal that the government has now presented, the issue of location in my view will not be a current problem.
ParlaMint-NO_2001-01-31.ana.ud1670e409	It's good to hear that the Council of State and the Government here have a wish. It has been raised as a theme, I also understand in the committee – on the phone – by BI professor Arne Jon Isachsen, who warns against believing that the head office will be in Stavanger. He says it's a matter of time when other owners come in. It is also followed up by former editor in Arbeiderbladet, Wiktor Martinsen. If one has opened up for other interests and also has an increasing focus on the rest of the world, will it not be such that increasing the demands for pay will be natural and itself a theme that could mean that the location of the head office will also come into focus?
ParlaMint-NO_2001-01-31.ana.ud1670e416	I don't think so. The changes now proposed by the Government will result in Statoil becoming a more powerful company, and this will improve, and it will strengthen their position as a large company with a base and a starting point in Norway. And so the rules are so that there are minority possibilities to limit such important things. If I am not completely mistaken, it is such that as long as the state owns more than one third of the company, an e.g. do not move parent office out of Norway. And I can't see any other places in Norway that can compete with Stavanger when it comes to the head office of Statoil; Stavanger has been an excellent host town. And I have never heard any wish expressed by any of the people who work or have functions in the oil industry in Stavanger, that the city is not an appropriate place for this type of activity. Nor can I see that the matter we have now submitted will change that.
ParlaMint-NO_2001-01-31.ana.ud1670e423	Then we go to the next main question.
ParlaMint-NO_2001-01-31.ana.ud1670e426	I have a question for the Minister of Local and Regional Affairs. The most important thing we can do now to prevent more bullying and racism, and to make things better with children and young people, is for example. parents shall be able to afford kindergartens and school leisure schemes. It was about word-to-word that the Council of State just said. That is absolutely in agreement with the SV. But that's not the case now, because the municipalities have a huge deficit, and it's largely affected children and young people. Child protection has too little money, child and youth psychiatry has too little money and cultural services are being cut down. I'm sitting here with a newspaper from Oslo that shows that the Children's Court is being swept out of the sports halls for the benefit of corporate sport, which can pay for it. Kids lose the positive and good offers that could help them find a better place in society. Does the Council of State see that the Government, by giving the municipalities too little money, has a co-responsibility for children and young people getting into trouble?
ParlaMint-NO_2001-01-31.ana.ud1670e436	As I said before, both the government and I believe that kindergartens and e.g. school leisure arrangements are entirely central services that should be and that are, in most municipalities. It should also be that the parental payment is such that one does not exclude young people from being in kindergarten because of it. And of course, these are things that we're working on. With regard to the specific issue of the local economy, which is of course also related to this, the municipal sector for this year, by means of the agreement reached here in Stortinget, has received one of the biggest promises made to the local government in very, very many years. And in addition to the real transfers to the local government sector, it was also the case – as Andersen’s representative is well-known – that for the first time in ten years, the government and the Stortinget went in and compensated something in the wage settlement for, among other things. teachers. Then I am aware that it is still such that there are municipalities where the situation is difficult. We now operate and work on the municipal planning for the next year. Of course, I have with me the situation and the descriptions of the situation, but I believe that the promise that the local government sector has received for the current year is a huge promise. I also believe that there are some municipalities that might also need to look at how to prioritise internally. We have municipal autonomy, I think it's very important to call about this, but it's not just to blame for the fact that the municipal structure is altogether like this, because it's also possible to look at the priorities that happen internally in the municipality. And when I see some municipalities like that. do not charge property taxes from the richest in the country, while at the same time cutting heavily, for example. To kindergartens or school leisure schemes, I must say that it is a priority which, at least, I strongly disagree with.
ParlaMint-NO_2001-01-31.ana.ud1670e445	I note that the Council of State is not now following up the positive signals she gave in the previous round of questions, namely that the Government is now going to do more to ensure that the offers to children and young people are getting better – because these are the measures that we know will work. Among other things, comparisons can be made between the numbers of police budgets that have increased in recent years in relation to measures for children and young people. This has gone a lot in children and young people's disfavor. But will the Council of State now at least take the initiative of a study, so that we can look at the state of action for children and young people in terms of child protection and recreational services, for example, and get a status report on how this is in the municipal sector, so that we can obtain real figures on what is needed and what is needed to improve the situation for children and young people? There is no doubt that the budgetary arrangements have so far been such that when it comes to cutting, measures for children and young people have gone beyond them.
ParlaMint-NO_2001-01-31.ana.ud1670e452	This government is doing a lot, also to children and young people, and we intend to do more in the future as well. So there are positive signals that this Government has given and will still give, and of course we will do that now as well. I also said in my main response that we are now working on the municipal scheme for the next year. In this context, of course, we also have with us the offers to children and young people, which are very important not least in a preventive context, there must be no doubt about that. So, of course, we're getting information about how the situation is in the municipalities. This also applies in relation to the offer of children and young people. Here we know that there are great variations between municipalities, and we have to try to make sure that the offer gets better. But it's like we have municipal maritime councils, there are different political parties that govern different municipalities with different priorities. Then we have a common responsibility to ensure that the total transfers to the local government sector are such that Kommune-Norway is able to carry out the tasks we have told them to do. And now I'm working on the municipal planning for next year.
