Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e33	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e223	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.OGRE	Gregussen, Otto	M	1956	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e234	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OHE	Hedstrøm, Øystein	M	1946	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e247	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.JSA	Sahl, Jan	M	1950	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e254	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ML	Lund, Morten	M	1945	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e267	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	MP	notMinister	TF	Tverrpolitisk Folkevalgte (Kystpartiet)	-	Centre-right	person.SEBA	Bastesen, Steinar	M	1945	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e278	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.OGRE	Gregussen, Otto	M	1956	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e287	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e293	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e310	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e319	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
