ParlaMint-NO_2001-03-21.ana.ud39e27	The called alternate of the Vest-Agder counties, Anne Berit Andersen, has taken the seat.
ParlaMint-NO_2001-03-21.ana.ud39e166	The Norwegian people are very surprised that we have so much money in this country that we have to put them up in unsafe funds abroad, in a world economy that is staggering on clay feet. So how does it feel to be in the storeroom and say that we need more money, and that we have to sell the national wealth and the future generations because we lack money for schools and kindergartens? The Norwegian people do not understand this. I will regard this as a theft of the property of future generations. Does the Prime Minister understand the concerns of the Norwegian people?
ParlaMint-NO_2001-03-21.ana.ud39e171	Now I have just argued in a number of answers against selling too many of the country's direct holdings. It has just been estimated that the country's direct holdings in the oil and gas business are a very important source of revenue for the country and have been so for many years, and we must ensure that. It's income to the community, and that's why the Workers' Party has said no to the proposal of the Right Party, the Christian People's Party and the Left to sell significantly more, because some percentage points here are thus tens of billions of dollars. But then we've agreed to give Statoil more owners, because then Statoil gets more competence, more capital and greater opportunities, it becomes a strong, profitable international company. And then we've said yes to take a small part of the state's direct holdings and use them to make the companies stronger, get better coordination of the business in the fields so as to create greater values and also increase the community's income. I am very concerned about the Community's revenue from the oil and gas business. Oil and gas resources are the common property of the people, and they shall be managed for the benefit of all the people. That is what the Workers' Party has meant all along.
ParlaMint-NO_2001-03-21.ana.ud39e181	Let's move on to the next main question.
ParlaMint-NO_2001-03-21.ana.ud39e184	It would have been tempting to say in terms of the so-called 20 percent – but I don't know if the President will allow it – that this is not the problem of the Christian People's Party in connection with what the Government has presented, but the huge imbalance in the distribution between Statoil and Hydro. The Prime Minister knows that, and he should take that inward. But we're not going to negotiate this in the hall. I'm going to ask another main question, and it goes on the Foreign Minister's statements yesterday, not in the Chamber when he gave his foreign policy statement, but what he said out in the hiking hall afterwards. It was so interesting that it is a little surprising that he did not say that in his thoughtful presentation, but instead it told journalists in the hiking hall afterwards, that in his opinion it might be relevant to start a debate on Norwegian EU membership already in 2002 or 2003. This is, to put it mildly, poorly consistent with what both the Prime Minister and others have said in the past about when the actual membership debate will come, perhaps towards the end of the next enlargement period in view of the 2005 elections. What is the Government's position?
ParlaMint-NO_2001-03-21.ana.ud39e191	The Government's position is what the Minister for Foreign Affairs has expressed in a wide range of talks and speeches, and which I myself have expressed in talks and speeches, and which the Minister for Foreign Affairs presented in the foreign policy statement last night. But what I think is pretty important is to distinguish between two different questions. One is the issue of the debate on Norway’s relationship with the EU. It's important anyway, it's also important in the election campaign. It is about Schengen, it is about the establishment of a defence policy cooperation where Norway is going to participate with 3,000 soldiers, it is about the veterinary agreement, about food security and many other issues that are important in Norway’s relationship with the EU. The second is whether we should address the question of applying for membership now. It means neither the Minister of Foreign Affairs nor I, but at the same time we say that it is necessary to have freedom of action because the world can change. That has happened before, and we also have to be prepared for that can happen again.
ParlaMint-NO_2001-03-21.ana.ud39e198	I know what both the Minister of Foreign Affairs and the Prime Minister have said in talks and speeches, to which the Prime Minister has now referred. But I made it clear that there was not the foreign minister's speech here in the Chamber yesterday that I was looking forward to, but his comments afterwards – it was those who were watching – namely that the question of membership can already be raised in a year, that is, in 2002, or in 2003. My question was, Is that the government's policy? There will be something different than what both the Prime Minister and the Minister for Foreign Affairs have said before, because I have understood so much in the past that something new has to happen before the membership issue for Norway may become relevant again, either because we have some experience with other countries’ membership of the EU – and we do not want that in 2002 and 2003, we will have it all the way to the end of the next enlargement period at the earliest – or there has to be a significant envelope in Norwegian opinion. Of course, there can never be a prediction when it can happen, but as it looks today, there is little evidence of a quick envelope in Norwegian opinion regarding the position of EU membership. My question is therefore: Is this already the case in 2002–2003?
ParlaMint-NO_2001-03-21.ana.ud39e203	Here you try to construct disagreement by interpreting statements. The Minister for Foreign Affairs made it clear yesterday and has done so on many other occasions that if membership is to be considered at all – not the EU issue and Norway's relationship with the EU, but Norwegian membership – at least two preconditions must be met. One is that the enlargement process is under way in the EU – he explained that yesterday. The second is that there has to be significant changes in Norwegian opinion. The foreign minister has said that, it is stated in the Workers' Party's National Assembly Decision, and I have said that. And I think, like what the Foreign Minister has said, that it's not likely that it's going to happen in the next big period. It is very unlikely that it will happen until the next year or the following year. But to say that we are sure of what will be the situation in Europe for the next two–three–four years, I think it is unwise, and that is what the Foreign Minister and I have said.
ParlaMint-NO_2001-03-21.ana.ud39e209	It will be follow-up questions – Kristin Halvorsen.
ParlaMint-NO_2001-03-21.ana.ud39e212	The government has a problem when everyone other than the Labour Party's leadership hears that the government is talking to two tongues, while the Prime Minister and the Minister of Foreign Affairs insist that they talk to one. I understand the Prime Minister's first answer so that we should deal with what the Foreign Minister says when he has a script, but when he speaks without a script, it is not good to know what we should believe. We should clarify what the Labour Party's leadership really means when the Minister of Foreign Affairs talks about 2002 and 2003, without a script, while the National Assembly of the Workers' Party talks about 2005 and 2006. How are you going to deal with what the Government says on the EU issue? And is it that it is only possible to relate to the Minister of Foreign Affairs when he has a script?
ParlaMint-NO_2001-03-21.ana.ud39e219	No, of course not! But the Foreign Minister and I have stressed on several occasions that in order for us to re-examine the question of assessing a membership application at all, at least two prerequisites must be met. One is that there are significant changes in the Norwegian people’s attitude to the issue of membership – and that is where we can all wonder if and when that will happen in the case. However, there is nothing in today’s polls that suggests that there has now been a significant increase in the number of EU members than one, two or three years ago. That is one thing, and that is the crucial question, namely that the Norwegian people should decide this in a referendum. And that means that in any case there is no Norwegian government that will decide to raise the question of membership before you see that there is a permanent change in Norwegian opinion. The Foreign Minister has said that, and I repeat that. The second foreign minister has said, which is the second premise, that EU countries must have started the enlargement process. You could have a little bit of different assessments of when that's going to happen. It may be in 2002–2003, or it may be later. But there is one of two conditions for the question to be re-examined at all.
ParlaMint-NO_2001-03-21.ana.ud39e226	Carl I. Hagen – for follow-up questions.
ParlaMint-NO_2001-03-21.ana.ud39e229	I could imagine asking if the Prime Minister will rule out that the government of Stoltenberg, if it continues after the elections, will make some proposal to the Stortinget for a referendum on sending a membership request for the next major period. So, can you rule out that that will happen? Or is it actually a real opportunity? My second follow-up question is on the election campaign. The Minister of Foreign Affairs – or perhaps the party leader – raised the issue of Norway’s relationship with the EU, including membership, among the most important issues, of course, which belong as a major part of the issues that should be the subject of discussion in the election campaign for the autumn. Is it also the Prime Minister's view that the big election campaign should take great account of the desire, the necessity, of a new EU membership request?
ParlaMint-NO_2001-03-21.ana.ud39e236	In the case of Norwegian membership and an application for Norwegian membership of the EU, there are two simple, but in my opinion also two ‘gale’ positions. One is to say that we should in any case apply for membership in the next period. I strongly advise against that, and that is not the government's policy. The second position is that we should in any case not search in the next period. I think that is also an unwise position, because we do not know how fast and dramatic the situation in Europe can change. In 1989 no one dreamed that the Berlin Wall would fall, nor did anyone dream that Sweden and Finland would seek membership. However, a few months later, and during the same growing-up period, an application was sent. Both of these positions – saying that we exclude searching and saying that we should definitely search – are crazy. What we're saying is we're going to have the freedom to act. If we are to exercise it, it depends, first of all, on the fact that the Norwegian people have changed their mind about the EU – and the polls do not indicate that it has happened – and the Norwegian people have to decide through a referendum, and then enlargement has to start.
ParlaMint-NO_2001-03-21.ana.ud39e243	Anne Enger Lahnstein – for follow-up questions.
ParlaMint-NO_2001-03-21.ana.ud39e246	I think the Prime Minister is now running out of water, because we all heard what the Foreign Minister said yesterday. We have also heard the reactions of the minority at the National Labour Party meeting, which is opposed to Norwegian membership of the EU. But now the Prime Minister has explained two ‘male’ positions. He has expressed a manifestly wrong position, namely that the people should decide this in a referendum. We do not have a binding referendum in Norway, but we have an advisory referendum, and after today's rules, the decision must therefore be taken in the Grand Duchy under the provisions of the Basic Law on qualified majority voting. My question to the Prime Minister will then be: Will the Workers' Party go in the next period to change the Constitution to get a binding referendum, according to certain rules? Or will the Prime Minister – as previously done by the Labour Party – maintain today's situation and thus have an advisory rather than binding referendum on the issue of Norwegian membership of the EU?
ParlaMint-NO_2001-03-21.ana.ud39e255	I believe that it is the Norwegian people who are going to decide the question of membership through a referendum. I have meant that all along and, of course, I meant it in 1994 as well. That some no-parties have been in doubt about that, is a completely different matter. However, all the parties that recommended membership in 1994 were quite clear that it was only possible to notify Norway if it was a majority of the Norwegian people who recommended it, and all the yes parties were clear that if a majority voted no, it was not about notifying Norway into the EU. That's still my point of view. Whether this should be formalised or not through a binding referendum, we have not assessed. I know that various constitutional changes have been proposed. We have not taken a decision on all of the individual proposals. We'll do that later. But it does not change the political reality, namely that the Labour Party will never be in favour of membership without the Norwegian people voting in a referendum.
ParlaMint-NO_2001-03-21.ana.ud39e262	Einar Steensnæs – for follow-up questions.
ParlaMint-NO_2001-03-21.ana.ud39e265	It must be clear that in the Labour Party here you are betting on two horses. They communicate a double message. They say that it is unlikely that a new membership request will be submitted in the next period, but the possibility remains open. Thus, the Prime Minister's reply to the Storting today reflects the dilemma facing the Workers' Party, namely a divided party to which a minority is skeptical, not to say strongly against the submission of a membership request. My question to the Prime Minister is: Is this a responsible attitude of the Labour Party, the country's largest party, that a person communicates twice to the Norwegian people in a matter of such importance to the people and to Norwegian interests? Would it not have been more correct and more consistent with the importance of membership of the European Union, that the Workers' Party had given a clear indication of the party's position before a major election? And in line with what Anne Enger Lahnstein asked instead, will it not be that the composition of the Storting will also have an impact on how a membership application will be dealt with in Stortinget, and does not the Norwegian people therefore have a right to know the position of the Workers' Party?
ParlaMint-NO_2001-03-21.ana.ud39e273	The Workers' Party does not communicate twice. What the Labour Party is doing is making it very clear what our position is in relation to how we are going to deal with the issue of Norway's relationship with Europe and, if necessary, the issue of Norwegian membership of the EU. In our opinion, it is no matter what the Norwegian people decide, through a referendum, whether Norway will ever become a member of the EU. It follows that it is pointless to address the issue of Norwegian membership in the EU without a permanent change in Norwegian opinion regarding the view of membership, and there is therefore nothing to suggest that there is a imminent change in the position of Norwegian voters on the issue of membership. Then we have said that it is not necessary to evaluate a membership request until we have seen that the enlargement process has started. But we have also said that being sloppy today about what Europe looks like in three to four years' time is just as wrong as it was to be sloppy in 1989, when we were all wrong and not expecting the fall of the Berlin Wall, and when the EU case actually came on the agenda because our Nordic neighbours were looking for membership. The people have to decide this through referendum, and it should calm Einar Steensnæs.
ParlaMint-NO_2001-03-21.ana.ud39e282	Let's move on to the next main question.
ParlaMint-NO_2001-03-21.ana.ud39e285	I have a question for the Prime Minister about the defence policy debate that is now under way after the Government has put forward proposals for a substantial reduction in Norwegian defence. In a longer article in the Evening Post on Tuesday, March 20, political editor Harald Stanghelle writes about this.\t\t You can change the settings of the grid. \t\t \t ‘While there is a plethora of retired officers in the debate, the active officer’s corps is placed on the mouthpiece of the Defence Manager. The conclusion has been reached, and now loyalty is required that does not allow for external appearance in the public space.» Does the Prime Minister agree with the Advancement Party that in such a debate, the people and also politicians need to know the views of the professional experts, i.e. the officers, and does he agree that there should be no oral curve on the participation of the officers' corps, so that the people and we can gain insight into the opinions of those who have education and knowledge in this area?
ParlaMint-NO_2001-03-21.ana.ud39e297	The government has put forward a proposal to strengthen the Norwegian defence system, which means that we are getting better, more effective and stronger defences that better safeguard the country's security than the defence we have today. We have committed to spending at least the same amount of money on the defense of the next few years that we have done throughout the 1990s, but we have committed to spending the money better than today. Today, too much of the defence money is spent on staff functions, administration, the operation of too large an organisation, and too little of the defence money is spent on material, exercise, mobility and impact. That is why it involves the conversion of the defence we have now proposed, a strengthening of the defence. This is entirely in line with the professional military advice from the Chief of Defense and the Defence Study. There has been a long professional-military process in which various officers, different bodies and different parts of the military have spoken out. So what we are now proposing is in line with the professional-military councils, because it means strengthening the Norwegian defence system.
ParlaMint-NO_2001-03-21.ana.ud39e304	The Prime Minister did not answer my question. I asked him if he agreed that we should not have any oral baskets on them he is now taking income for the Government's position. How can we verify whether the Prime Minister is telling the truth when he claims that this is a strengthening of the defence, that it will be a better defense and that it is in line with the trade-military advice, if at the same time he confirms the defence chief's alleged mouthpiece against the same trade-military. So the size has a control function, and it's controlling the truth of what the government claims. There are quite a few who have repeatedly said that there is rhetoric without truth coming from the Government when one speaks the way the Prime Minister now does. Will the Prime Minister now tell the Stortinget and the population that he wishes to welcome the participation of the professional militants in the public debate, or will he hide it so that he is sure not to be revealed in leading the population and the Storing behind the light?
ParlaMint-NO_2001-03-21.ana.ud39e311	Very familiar is there no oral basket on officers' participation in the defence policy debate. A large pile of newspaper clips that I get every day shows that professional soldiers are participating in this debate. The Chief of Defense has made it clear that he believes that in relation to the work of prominent officials, who are senior officers, in the follow-up to the Defence Study, which has been a comprehensive professional military process, we need to keep track of the fact that there is no doubt about that process and the recommendations made by the Chief of Defence through the Defence Study. I can understand that, but it's something other than putting on a mouth basket, as Minister of Defence Godal has also explained in the Question Time here in the Stortinget earlier.
ParlaMint-NO_2001-03-21.ana.ud39e318	There will be follow-up questions – Jan Petersen.
ParlaMint-NO_2001-03-21.ana.ud39e321	It's to the extent that a paradox when it's Carl I. Hagen raises the question of whether it's someone other than the boss who's going to be allowed to define the message. But at least it's okay that it's done when it comes to the defense. Can I understand the Prime Minister so that he now simply wants the professional militaries to be actively welcome to participate in the debate? I have had exactly the same impression as Carl I. Hagen, that it is not desirable that they appear in the open debate. It's not all to prevent, it's completely out of the question, but I think a lot of people in the defense have felt that there's been a restriction on them. Does this mean, then, that the Prime Minister now tells the professional officers that it is clear in this debate?
ParlaMint-NO_2001-03-21.ana.ud39e328	I am not saying anything other than that the head of defense has already said, and I believe that he has handled this in a good way. But that's what the government is now proposing, for example. is the result of a comprehensive professional-military recommendation by the head of defence drawing on his resources. The same professional military should then be careful to debate the recommendations made to the political bodies by the head of defence through the Defence Study. In addition, Norwegian officers participate in public debate on general defence issues. That's good, and they're all doing it. That's the way it has been, and it's still going to be.
ParlaMint-NO_2001-03-21.ana.ud39e335	Odd Einar Dørum – for follow-up questions.
ParlaMint-NO_2001-03-21.ana.ud39e338	It is reassuring for the Prime Minister to state that we have all the professional views on the table. Of course, I also take that for granted when the fractions here in the house have to work with the setting. In my opinion, the extensive conversion the Prime Minister is talking about, which is characterized by an unusual lack of underlying data. It's absolutely necessary to get a serious defense to have a number material that tells you what the defense looks like from the bottom up, not from the top down. All of us who have worked with organisations know that the money is getting older on the road, like in staff and support functions, as the Prime Minister says, if you don't get the figures. I noticed that the Prime Minister said that we get a better defense, that we get more material and more practice. My question to the Prime Minister is then: does his defence concept include having a high production of competent guardians, so that in a certain number of years we have many who know what a defense is? My reasoning is that we can always buy equipment, but we cannot buy competence. It can only be built up over time, but it can be destroyed incredibly quickly.
ParlaMint-NO_2001-03-21.ana.ud39e346	Yes, we're going to have a strong protective defense. I believe that we actually get better protection by getting more equipment, better training and better training than they do today. So it has unfortunately been for a long time that only over half of Norwegian male coal has earned protection. That will also be the case with the new defence structure that we are now adding up to. The main point is that Norway has now been waiting for far too many years to reform its Norwegian defence system. In Norway, we have more generals and admirals than in Sweden, although Sweden has a larger defence. We're superintendent, and that's what the government's about to do. We have too many military spells that are too expensive to run, so we get too little money for what the defense really should do. That's what we're dealing with right now. It is important for the defence, but it is not least important for those in need of protection who are given a better and more meaningful service.
ParlaMint-NO_2001-03-21.ana.ud39e355	Per Ove Width - the last follow-up question.
ParlaMint-NO_2001-03-21.ana.ud39e358	I want to follow up the previous speaker on this matter. I find it strange that the defense management will not listen to the professional competence that lies in the officer's corps, and there is today great dissatisfaction in the officer's corps because they are not allowed to speak. I have previously asked questions in this Chamber to the Minister of Defence at the time, Mr Färvoll, about this, and I was then given a clear signal that officers are allowed to participate in the debate, and I believe that the current Minister of Defence, Mr Godal, has also received the same question and given the same answer. What the officers do is to point out obvious defects and defects in the defense, and it's those who have the best skills to get the best defense possible. What happens is that they're called in on the carpet of the defense chief in retrospect and have to answer for what they've done, and they're pretty much going to have a rough mouth. There's also a lot of disagreement in the officer's corps about St.prp. No 45, on which the Prime Minister was in; it is not as good as many would like it to be. I would also like to ask whether it is right that an admiral be deprived of promotion because of statements in the paper.
ParlaMint-NO_2001-03-21.ana.ud39e365	So Norway has spent far too many years trying to make a modern, powerful defense. Different governments are responsible for not doing that job. Now we have a government doing that job, offering a comprehensive proposal for a significantly stronger and better defense, because we're going to spend money not on administration, not on large staffs, not on drifting old structures, but on having a better defense. Then, of course, there will be a debate on this in Stortinget, and I expect the committee to invite professionals, experts and also professional soldiers to the hearings and to evaluate the various proposals that the Government has put forward. It is not the case that officers are refused to participate in the general or general defence debate, and many attend each day. But in the case of the Defence Study itself, which is the result of a comprehensive professional-military work, in which officers have recorded to the Chief of Defense and the Chief of Defence has given a comprehensive advice, it is somewhat different if one starts to doubt the recommendations that come in the Defence Study.
ParlaMint-NO_2001-03-21.ana.ud39e372	Let's move on to the next main question.
ParlaMint-NO_2001-03-21.ana.ud39e375	If the Prime Minister is now waiting for a question about the EU, he is mistaken, because after yesterday the Foreign Minister announced that it could be relevant to a membership request as early as one year after the autumn elections, and that this topic therefore becomes an important theme in the election campaign, I consider this issue to be clarified, and – with all possible respect for the Vice-President of the Party – in this case I will place the decisive emphasis on what the party leader says, with and without script. I have a completely different question, because the government was following the precautionary principle when it introduced the import ban in winter for the whole EU area. Yesterday a suspicious disease case was discovered in the Netherlands. Antibodies have been recorded in livestock showing that the herd has been infected with foot-and-mouth disease. On the same day, Norway announces that it may be appropriate to remove the import ban as early as the next week. Is it the pressure from the EU that the Government is now evading the precautionary principle?
ParlaMint-NO_2001-03-21.ana.ud39e382	First of all, I realize that the centre party is desperately looking for a cause on which they can mobilize in the election campaign. The Minister of Foreign Affairs and I say exactly the same thing as the National Assembly of the Labour Party agreed, namely that we need freedom of action. It is unlikely that an application will be relevant, but it will be assessed in the light of the enlargements and enlargements of the EU, and what happens in relation to Norwegian opinion; there must be a permanent change in Norwegian opinion. And if that, as Johan J. Jakobsen apparently believes, in a year's time is a massive, lasting yes-majority in the Norwegian people, then it's clear that then the EU case will also be slightly different, but my impression is that Johan J. Jakobsen believes something else. The Labour Party believes, unlike the Centre Party, that we must respect referendums. I guess that's what the Central Party's problem is, that they have a little insecure relationship with whether the people are going to decide by referendum the question of membership, not by a big shot. So as far as the veterinary agreement is concerned, we have said that we are imposing an import ban on certain food products. The European Union should tolerate this, and we have said that to the European Union. Then the EU has been critical of our decision. We should take that. We stand firm on our decision. No one in the EU has disputed its legality, nor has countermeasures been relevant. We stand on our decision, we have made it clear to the European Union, and we believe that the European Union should also tolerate the introduction of that ban. Whether or not to continue to apply after the end of the first fourteen-day period, we shall decide as we approach the end of that period, based on professional assessments of animal health in Norway.
ParlaMint-NO_2001-03-21.ana.ud39e389	I understand that the Prime Minister needs a certain round of clarification on when it is appropriate to send an EU application. Well, it's got to be. With regard to the issue of the import ban, my supplementary question will be briefly as follows: Since it is clear that yesterday there was a suspicious case of infection as close to Norway as in the Netherlands, does the Prime Minister think it is right that the Government on the same day announces that it might be appropriate to lift the import ban? When a new suspicious case has emerged, shouldn't it be that one of the closest parties decided that it would not be appropriate to lift the import ban in the coming weeks?
ParlaMint-NO_2001-03-21.ana.ud39e396	For us, this is a very serious question, a question that requires a heavy and proper professional assessment, and it is not a question, as the Central Party has stated, which you want as an electoral campaign theme again to find a case of party tactics. That is why we always put great emphasis on professional advice, and therefore it was that before we took the decision on the ban, we carried out the necessary consultations and investigations in relation to international agreements signed by Norway, which the central government also complied with and practised and actually proposed in relation to the veterinary agreement. It is clear that if the suspicion of the spread of bovine animals proves to be correct, and cases are detected in the Netherlands, there will be a significant part of the basis on which we take into account when assessing in a few days' time whether we will go in order for the import ban to continue. But that's exactly all of this information we're going to have, and then we're going to decide if we're going to extend the ban for a longer period of time.
ParlaMint-NO_2001-03-21.ana.ud39e401	There will be follow-up questions – Lars Sponheim.
ParlaMint-NO_2001-03-21.ana.ud39e404	When animal and public health are so seriously threatened that, on the basis of professional advice, the Government has chosen to close the boundaries of the type of biological material that can bring about the infection, I also without further delay – and I would like to have a confirmation from the Prime Minister on it – that any lifting of the same import ban is based on strictly professional advice and views on public health and animal health being no longer threatened, and that there are no other, political, reasons for having to do so. The second is – and I would like to hear the Prime Minister’s view on it – about the recent development of the spread of diseases, and when a virus appears in France, it is so threatening towards a country as far north as ours, with many borders between us, that we must close our borders. Has the Prime Minister come up with any new ideas – I know that he, like me, is generally a member of free trade – that trade in such biological material that can be contagious has other limitations than free trade after this that has now occurred?
ParlaMint-NO_2001-03-21.ana.ud39e414	The Working Party and the Government have always been based on professional advice and assessments in the management of foot-and-mouth disease. This has not been done by the centre parties, because you wanted a ban before there was any professional advice. At that time, we had a significantly worse case compared to the EU, with the EEA Agreement and with possible countermeasures against Norway. Just because we have progressed well, had a professional assessment, handled the contract law in relation to the EEA and the veterinary agreement, we stood so strongly in the veterinary committee yesterday – because we could refer to professional advice from the Norwegian veterinary authorities, and because we could show that we had followed up the contract, the EEA Agreement and the veterinary agreement, on talks with the parties before we introduced such a restriction. It didn't add up to the center. They only offered to introduce the import ban before we had professional advice. Therefore, of course, we should also pay attention to professional advice when we consider the question of any extension, and that is the professional advice we are now working on for the next Wednesday.
ParlaMint-NO_2001-03-21.ana.ud39e419	Well, let's get on with the main questions.
