ParlaMint-NO_2001-04-26-2.ana.ud1107e15	The representative of Ivar Østberg has asked for the floor to withdraw a private proposal.
ParlaMint-NO_2001-04-26-2.ana.ud1107e128	Several have not asked for the word for a line.
ParlaMint-NO_2001-04-26-2.ana.ud1107e131	In the proposition, the Stortinget is invited as owners to make the necessary capital contributions, etc. in Statkraft. It's like owners we're going to decide on this matter, and I'm saying it this way because I have felt that there might be substituting motives in a matter like this. But I guess that's not just a feeling either. The Stavanger newspapers have been quite dismayed because the rogaland representatives in the handling of this matter have not been able to be of greater help to their own energy plants. The State which owns must regularly assess the capital situation of companies in which the State is a whole or a joint venture, and it is important that such assessments can be made on a purely commercial basis. State ownership should not be managed in such a way as to impair the development potential of companies. Therefore, as the owner, the State shall assess the investments by considering the amount of the contribution capital, the definition of the dividend policy and the requirements for equity. I am pleased that a majority of the owners, consisting of the Workers' Party, SV and the Center Party, want to add NOK 6 billion to the deposit capital and support the extension of the loan and guarantee framework by NOK 10 billion. This will provide the company with good opportunities for further development and operation. By adding Statkraft capital, it facilitates continued significant public ownership of Norwegian hydropower in a situation where municipalities and county municipalities sell themselves out. The Christian People's Party wants capital expansion and increase in the loan framework, but reduces the amounts to DKK 4 billion and DKK 8 billion respectively. It must be allowed to ask why — if not the answer is that you want to reduce the company’s development potential. The State has several roles when it is a business owner. The State is the legislator, which lays down important framework conditions for companies, among others. through general market law, company law and tax law. In many cases, the State is also the concession authority, for the power industry, this is the law on repatriation and concession. Here, companies must implement their strategies according to adopted guidelines which are to be taken into account by others for the sake of the State. It is therefore an important challenge for governments to keep track of the different roles — otherwise state ownership becomes a threat to companies. It is suggested that those who oppose such a capital injection as has been proposed by the Government – and this is the case, to a large extent, with the Christian People's Party, the Right, the Advance Party and the Left – largely justify this with competitive conditions. This is undoubtedly a mixture of the roles of the state. If Statkraft had also had private owners, as proposed by the Right and Advance Party, such a combination would hardly have been particularly feasible. The left is on its own and is committed to directly intervening in competition law in this specific case. General cleanliness, as I see it, implies that the competition authorities are entrusted with the management of competition law. On the basis of the Government’s proposal, the Competition Authority shall normally assess the specific purchases made by State Kraft in the market. It is very important that both government and magnification keep their tongues straight in their mouths when the state has to take more care and play different roles. For a large number of companies in several industries, it would be very serious if state ownership on such a basis were to be discredited. The members of the Committee of the Right and the Progressive Party in particular stress the negative consequences of the dominant position of Statkraft in the Norwegian market, which, in their view, would undermine competition. It must be allowed to ask the question of a sub-privatized State power that wanted to make further purchases in Norway would have a less dominant position in the energy market than a full-time State power, and also whether it would be possible in a possibly sub-privatized State power, as right-wing wishes, to use the element of competition and competitive conditions as an argument to oppose capital expansion. So I'm not in doubt, it's State power as a whole state company that you want to attack, and limit the company's possibilities for further development. The argument is simply not valid if we are to keep track of the state's roles at the same time and stick to the issue today. Here is the owner to act. It would be unfortunate if such a procedure for a weakened State power would be effective. That's why it's good that the majority in this case keep the different roles of the state from each other in a neat way. The fact that there have been substitutive arguments for the position of individual parties in this matter is well described in Stavanger Aftenblad: that six large-scale representatives of the Energy and Environment Committee could not help. No, let me express satisfaction at the fact that at least some parties have been able to separate snow and bart in this matter!
ParlaMint-NO_2001-04-26-2.ana.ud1107e158	It's going to be line change.
ParlaMint-NO_2001-04-26-2.ana.ud1107e161	Initially, I would like to say that I react to some of the references made by the representative Blattmann. That's exactly what the representative Blattmann brings up in conclusion, namely the different roles of the state that owns, which should perhaps have worried the Workers' Party a little more. What has at least been my starting point in this case is the need to see alternative, larger companies evolve into state power. There are opportunities for in three areas, as it is today. It is in the Stavanger area with Light Energy, in the South-Trøndelag area, and it is in the Oslo area with Viken Energia. These three areas have companies that have the potential to become an alternative to Statkraft. When one then takes up the concern that the Storting gives State power so much capital that one can hinder the development of alternatives, I think it's a fair position that you don't have to attack with the references that Blattmann makes here. Otherwise, I would like to point out a matter that we have had to deal with earlier today, namely the partial privatisation of Statoil, where the majority – including Blattmann – states the following: ‘The majority believe that the current ownership structure of Statoil is problematic. First, the country has a number of tasks in addition to ownership. When the State is both the owner, legislator, controller and tax collector, role conflicts may arise. Secondly, the current ownership structure prevents the company from being exposed to the same market surveillance as its competitors.» These objections should also have been raised by Blattmann in this matter, and I would like to ask the representative Blattmann if she does not see some parallels here.
ParlaMint-NO_2001-04-26-2.ana.ud1107e175	First of all, someone wanted other municipal and county works to be able to buy up, and the fear that State power would become too dominant in the market. I assume that the competition authorities will assess the dominance of State power at the next purchase. It's their role. And I can then ask the representative Höie the question: if the majority of the Storing had done what the Right would have done, and as the Left did, that is to say, we don't want to add this capital if this can't get into less than 50 pst. by ownership – or in total – how much competition would there be for the sale of Agder Energie, whose State power would in this case have to withdraw its offer? At least then there was no competition. So to this with the roles. Yes, therefore, I stressed quite strongly that here it is about holding my tongue right in my mouth, and I believe that the Council of State Akselsen answered quite well on that question as it was asked in the Stortinget Hall now during the treatment of the Statoil case.
ParlaMint-NO_2001-04-26-2.ana.ud1107e184	In the past, we have dealt with partial privatisation and listing of Statoil, which the representative Höie was also involved in. In that case, the Workers' Party showed that they had seen the light and could think both new and constructively. In this case, we unfortunately see a completely different side of the Workers' Party than what we saw in the previous case. Here comes the old-socialist ideas again up to the surface where state control and control is the most important thing. Clearly, if competition disappears and electricity prices increase, then the Workers' Party has no role to play. I would therefore like to ask the representative Blattmann: When will the Workers' Party take over the fact that more and more people today are struggling to pay an increasingly higher electricity bill? And what will the Workers' Party possibly do to limit the notified increases in electricity prices?
ParlaMint-NO_2001-04-26-2.ana.ud1107e191	I am not surprised at the position taken by the Progress Party and at the position taken in this matter. I basically have great respect for a party that manages to keep some lines of politics, and we've never been in any doubt about what the Progress Party wants: they don't want state companies at all. So to this with who saw the light or not saw the light. It could be discussed, but in that case, there are many people who haven't seen the light, because there is a large majority in this room who want to retain State power as a whole-time state company. In terms of power prices, there are many things that affect prices to a large extent, but I don't believe that State power in a Nordic market with the power they have today can affect prices to some extent. To this end, competition from both the other Scandinavian countries and from Northern Europe is far too great. So I have to say that the argument that Statkraft's purchase and a monopoly situation will affect price formation in Norway, I have no faith in that.
ParlaMint-NO_2001-04-26-2.ana.ud1107e200	It is probably true that the majority have not seen Light in this matter. It is suggested that some representatives, and I understand also those who have signed, have a hidden agenda in this matter. I will certainly reject that. I'm not hiding that I think it's exciting plans that Agder and Lyse have, and I'm actually a member of that one could get a solution by a merger. But it is probably also quite unthinkable to involve a specific matter in the treatment here today. That's why we haven't, and that's why Statkraft is free to choose which companies they want, even if they get a framework for their own business. Then they can sell out somewhere else, for example. in Sweden. My question to the Labour Party representative is whether she does not see that when an actor becomes totally dominant in a market, as State power will be if they implement their purchase plans, one comes into a market position that allows one to influence prices and keep them up in a different way than if there is competition? And with regard to the warning issued by the Central Statistical Agency and the Competition Authority on a general basis, does not the Workers' Party consider it reasonable that we as owners and policymakers in this area also have the opportunity to take this inward, even if it was the question of capital injection to Statkraft, which was the theme when we started the treatment?
ParlaMint-NO_2001-04-26-2.ana.ud1107e211	I wasn't talking about seeing the Light, I meant the Light. And I think there are a lot of people who have seen the light in this case. I have a pile of newspaper clippings – from Stavanger Aftenblad, more from Aftenposten and one from Dagens Nueringsliv today. In Stavanger Aftenblad of April 4, the day we gave the case, they say: «Presentation of new State Power Purchases» That's the headline. And on the other hand, «Rogaland has six staging representatives in the Energy Committee. It does not help Light Energy.’ No, in this case, it's not Light Energy and its development we're going to discuss, it's actually State Power, and we as owners are going to do something. It's important for me to stress. And in fact, I believe that it is important that Statkraft can be a provider in this case, and that not one county municipal company should be the only provider.
ParlaMint-NO_2001-04-26-2.ana.ud1107e231	The cord shift is over.
ParlaMint-NO_2001-04-26-2.ana.ud1107e234	I must honestly say that this is a difficult matter. In all the comments I have made in advance of this case, I have said that State power needs capital to be able to participate with weight and force in the international and increasingly liberalised power market. The Christian People's Party wants State power as a leading Nordic energy company. Norway is an energy nation, not just a petroleum nation. Then we must also facilitate that we have players in the energy market who can withstand tough international competition. Then you can't just be a little boy. This important consideration must be taken into account. At the same time, it needs to be balanced against regional Norwegian players and trends towards a monopoly in the Norwegian power market. From the Christian People's Party, I have said in the comments that it will be important to strike a balance between these two reasons. And we still mean that. That's also the background for the line that we put on in this setting. Initially, I expected an increase in the capital injection for use primarily in the international power market to be a good solution for State power, and I assumed that there were such plans clear. Then I also had a little hope that there were alternative instruments in this respect that did not provide instructions from the Council of State in this type of matter. But then came the proposition, and both from the Government and from the Government, we are told that competitiveness cannot be restored primarily abroad, but must have its basis in greater strength at home. State power is too small in an international context. At the same time, no control means exist in relation to the entity's dispositions other than instruction. State power is now operating, as we all know, on commercial terms. This – which we may like or dislike – is laid down in the entity's purpose paragraph and lays the basis for its dispositions. The majority, even with the support of the Christian People's Party, has for the most part abandoned itself and the Council of State has ruled in relation to business arrangements. Guides from the Storting towards limiting purchases in Norway and larger purchases abroad, to which the Christian People's Party would have to be positive, would either result in instructions from the Council of State in contravention of the Government guidelines. The Christian People's Party is not prepared to break with the principles that the Storting has drawn up for State power and to reverse the line that has been applied in relation to state companies in general. We want to do a consistent line. And leaders who have little value, we didn't want to come. For the Christian People's Party, therefore, the only remaining possibility was to reduce the amount of capital injection in relation to the Government's proposals, both in terms of equity and in terms of the loan and guarantee framework. After our assessment, this is the most tidy way of dealing with this matter. It gives State power a solid increase in capital, but at the same time less leeway, and the consideration of regional actors in the Norwegian market can be better taken into account. We have sought advice from experts who know the market, and we have come to the conclusion that a reduction in the capital injection compared to the Government's proposal of DKK 4 billion would make sense. This means that State power can make purchases in the Norwegian market, but on a smaller scale than one originally foreseen. This also means that other actors will have the opportunity to build up more strongly. An underlying and important consideration in this case is, of course, also that we do not want to contribute to speeding up a privatisation debate in relation to State power or to contribute to foreign purchases on a larger scale in the Norwegian market. On the part of the Christian People's Party, it is important that the company and its power reserves and production capacity remain on state and, to a large extent, national hands. This has also resulted in some prudence in the approach of the Christian People's Party. Here we also clearly separate layers with the Right Party and the Advance Party that want privatisation. According to the Christian People's Party's assessment, it would also be a defeat for the energy nation Norway about our largest power company will not be able to claim itself in international competition. Why, then, can we not initially support the Government's arrangements? I think the setting speaks for itself. We want to strengthen Statkraft as a company, and we add up to it. However, in our opinion, it is also a point to focus on developments in the Norwegian market. Despite the integration of the Nordic power market and the liberalisation of the international energy market, we still consider that there is still a basis for looking at developments in the Norwegian power market separately. This is clearly also done by the Competition Authority when they say in their decision of 14 December 2000: ‘Competition supervision fears that Statkraft is in the process of gaining control of such a significant proportion of the manageable production that market power can be exercised in South Norway.’ When the Competition Authority can operate with assessments in relation to the market in South Norway, Stortinget must also be able to make its own assessments in relation to the Norwegian power market and not just refer to the Nordic and international energy markets. According to the Christian People's Party's assessment, diversity and competition are important in the Norwegian market. Only a few companies are able to build up to such heavier regional and independent public-owned companies. These should be given the opportunity. It may be several times smaller if State power is allocated to the entire proposed capital and is able to implement all its purchase plans. This is the background to our alternative proposal. Although we support a relatively large capital injection to Statkraft with our approach, we also find reason to warn against the company becoming too dominant in the Norwegian market. If all Government plans are implemented, the undertaking may sit, directly and indirectly, up to 60 pst. of Norwegian power generation. Therefore, Christian People’s Party and other parties ask that the Competition Authority follow the situation very closely. The assessment by the Authority of the acquisition by Statkraft of shares in Vestfold Kraft AS and the municipal power company of Skiensfjorden and the statements made in the media in recent days indicate this. That's good. And that's necessary. From the Christian People's Party we see a correlation between what the Government is now proposing and what is signaled for 2004. This seems to be a two-stage rocket. And I can already signal that we are going to follow developments in the power market very closely. We will also be critical of new proposals on capital injections. Here, developments in the Norwegian energy market and the state power's own national and international dispositions will be decisive. Now that it appears that there will be a majority of the Government's proposals, we must in the meantime put our trust in the Competition Authority doing its job. Only supervision has the power to intervene against acquisitions under Sections 3 to 11 of the Competition Act. But it has to be done by law in individual cases and on the basis of concrete assessments, not on the basis of general company strategies or general market assessments. In this case, the Christian People's Party has not been able to find a proper solution. We have not had instruments at our disposal that, in our opinion, could be used to achieve exactly what we want. This has also been reflected in the proceedings of the large-scale group on this matter. However, our intention has always been to strike a balance between the importance of strong and effective State power in the international market on the one hand and the consideration of regional companies that can grow strong in the Norwegian market, on the other. Proposals Nos. 2 and 3, which we are promoting, takes this into account as far as possible – and within the framework of State power under which we operate today. In my opinion, adding up to this line would be a better option than the Government's proposal, and a better option than going against the whole proposal on capital injection. I bring up the proposals No. 2 and 3 from the Christian People's Party in the setting.
ParlaMint-NO_2001-04-26-2.ana.ud1107e269	The representative Hilde Frafjord Johnson has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2001-04-26-2.ana.ud1107e274	In this case, it is interesting to follow the center option as a project, I would say. So one has the left, which is in the pocket of the Right and the Advance Party, one has the Center Party, which is with the Workers' Party and SV, and then has a Christian People's Party, which is confused and which doesn't quite know what to choose. Then they choose to go their own way, and that's the one I have a little hurt to understand. One might like to talk a lot about that one does not want Statkraft to have such strength in relation to regional companies, and one might like to talk about that they do not need to have such strength as the Workers' Party and the SV and the Centre enter into European context – but it's kind of in the middle of everything. So I want a better explanation as to why the Christian People's Party has taken on this rather remarkable role – in the loose air, to say it like that. So until what I think Hilde Frafjord Johnson is forbidden, that is, with environmental conditions. Frafjord Johnson himself has a government seat and has chosen not to provide guidelines for the use of the oil fund. This has led to Norway making some investments that, in my opinion, should at least turbulent Christian People's Party, but I must admit that it has our reasonable silence in relation to the criticism that SV has raised here. But why won't the Christian People's Party join in giving some leadership for Statkraft's purchases when it comes to Kyoto and the climate issue, or when it relates to the relationship with nuclear power stations? I don't quite understand that it shouldn't be possible to use the governance that one actually has.
ParlaMint-NO_2001-04-26-2.ana.ud1107e282	To the first question to the representative Langeland: Who is in the pocket of whom, you can ask, but it seems like the SV and the Central Party have landed in the pocket of the Workers' Party in this case. And at least that's what the Workers' Party is happy about. So when you don't want to land entirely in your pocket, but you want to add some leads that mean that there is actually more room for regional actors, you have with the principles drawn up by the Stortinge in this room, really only one alternative left, and that's to reduce the amount of capital supply, because you no longer have the opportunity to use the right of instruction. And Langeland would like to say that center positions are to land in loose air – that is, as a wing party on the left hand side – but in my opinion, it is a sensible center position that is consistent with what we have said in the Storting before and that does not violate the principles that we have set out for the role of State Power. Then I can immediately answer question No. 2, which has exactly the same thing to do, namely, that commercial conditions have State power freedom to do for itself – based on the purpose paragraph and on the principles drawn up by the Stortinge. This means that putting environmental trends in relation to State power is going to be difficult. Then you have to change those principles and break them. In the setting we have said that we will not do so in this case, and that also means that we will not do so in the matters that Langeland refers to. That being said, I would say that we have a different situation with regard to the oil fund. The oil fund is not an enterprise, and it is fully possible for us to set guidelines for investment when the practical tools are in place. At least I can promise Langeland that in relation to that document. Eight proposals that SV has promoted will work actively to find good solutions – they have now come further than before in terms of tools. I think we can see with excitement until we deal with that very proposal.
ParlaMint-NO_2001-04-26-2.ana.ud1107e293	Several have not asked for the word for a line.
