ParlaMint-NO_2001-02-21.ana.ud63e36	The representative of Kenneth Svendsen will make a private proposal.
ParlaMint-NO_2001-02-21.ana.ud63e134	The last one is not a correct quote. I have said that the proposition is based on the attitude of the Defence Policy Selection, where all the parties are represented, and the grips proposed in the proposition are largely based on the recordings of the sample that the Bondevik government put down – profitably enough, although I have to admit that I belonged to the critics. In addition, we are based on the military-disciplinary input from the Defence Study. So the surprise shown by some speakers in relation to the proposition must in that case be matched by an equal surprise at the attitude of the Defence Policy Committee this summer, with broad cross-political participation, and the Defence Study. But that's a matter for itself. I believe, however, that through the discussions I have had in the committee – not with defence-policy spokespersons, but in the committee – we have had the impression of an understanding of a new great conspiracy in terms of the conversion to a better and more forward-looking defence, and I do not think any of the comments that have been made, either by the representative Bondevik or others, stand in the way of such a consensus. On the contrary, I see it as an invitation to a settlement.
ParlaMint-NO_2001-02-21.ana.ud63e139	Ågot Valle – for follow-up questions.
ParlaMint-NO_2001-02-21.ana.ud63e142	I have a follow-up question for the Minister for the Environment. Here we are today, and we will experience, a drive from other parties to increase the defence budget. The draft resolution on defence outlines an increase in the budget of 875 million. kr in the year in relation to the year's budget, and it is before the negotiations with the other parties. So here you can imagine the demands of new billions, and also the impact. Most people agree that one of the major security challenges is the environmental challenges – and I assume that the Minister of Defence also agrees, at least he has said so – and some of them are in Kola. According to Bellona, 18 is pst. by the active nuclear reactors of the world at Kola. My question then is: will it not be an advantage for Norwegian environmental security and therefore our total security that the Minister for the Environment is getting extra defence money, which is needed to contribute to the cleaning up of Kola, instead of using them to get some extra defence billions?
ParlaMint-NO_2001-02-21.ana.ud63e151	Who will answer this question, Ministers will have to decide between them.
ParlaMint-NO_2001-02-21.ana.ud63e154	Maybe we can put a duet here and answer both of them! Of course, we have a total balance of what we spend on funding under the programme areas of defence and environmental protection, and although I can confirm that there are sometimes drawn struggles between state councils, the Minister for the Environment and the Minister for Defence will not stand here and distribute money in the spontaneous question hour.
ParlaMint-NO_2001-02-21.ana.ud63e161	Let's move on to the next main question.
ParlaMint-NO_2001-02-21.ana.ud63e164	The question goes to the Minister of Defence. In the long-term proposition recently presented, as is well known, the Government recommends significant changes to the defence concept and recommends a dramatic reduction in the war structure. The objective of anti-invasion capacity in one part of the country and balanced defence in another is stated. Instead, Norway, one of the richest countries in the world, is to appear before our allies as the country with more military musical orps than armies. The government's attempt to justify such disarmament is being made by lifting the threat of invasion in Norwegian territory in the coming years. In my opinion, this is a very doubtful exercise. In a long-standing ‘Never more than 9 April’ country, it seems irresponsible once again to insist that predictive external governance is the foundation of our defence and security policy. What guarantees will the Government provide that their PEACE in our time strategy has a sufficiently long shelf-life?
ParlaMint-NO_2001-02-21.ana.ud63e173	The tempting counter-question could be: does Norway have a different analysis of these issues from our allies at the Government? The answer is no. We have an exact parallel analysis. Either I talk to the US Secretary of Defense, the British, the German or the French, they say, "It's less likely now with the big invasion." We have many other challenges that are much bigger. And they're actually saying the same thing in Moscow. They're not planning for the invasion of Moscow. They work together in NATO on a wide range of other security and military challenges that are much more burning, and I mentioned someone in the answer to the previous question. So that doesn't mean we're going to ignore being able to face a new Hitler again, but it's less likely than before, at least in the first few years. There's no reason to be offended by that. But all the analyses in NATO are based on that. On the other hand, we see the opportunities for conflict to spread in our part of the world as well, cf. Balkans. Two world wars began in our own continent. We must have a capacity to resist that kind of conflict by conducting conflict prevention, peacekeeping and peace-building operations. 90 pst. of the wars of our time are intermarriage wars, not attacks where one nation takes another, at least not in our part of the world. I'm not saying we can ignore it, but we can't put all the eggs in a basket and just have a big invasion defense. We must have a capacity to meet the other challenges, too, in our near sea areas, to deal with ‘Course’, whether it should arise again, the ability to interact with our allies in Kosovo, the ability to stand up to the UN, the ability to counter-terrorist actions, the ability to secure our oil installations – all this requires capacities other than just to prepare the invasion. I'm not saying we're going to ignore it, but it's an assessment of what we're facing that makes us have to have a nuanced defense. Our analysis, as some have said, is militaryly objectionable, is exactly the same analysis that is being carried out in NATO today. It is in the Defence Study, and it is in the Defence Policy Selection.
ParlaMint-NO_2001-02-21.ana.ud63e180	It doesn't seem very convincing to me. We have countries like this. Belgium, Holland and Luxembourg, which are rusting down, just like what we're doing. I have some understanding of that. But we have other countries we can point to. We have e.g. Turkey and Greece – they don't. So this is a truth with modifications in my opinion. The proposition says for the rest less aircraft, fewer boats, fewer brigades, and gives a detailed indication of when to build up. If we find ourselves in a situation where we have to rest up again, what plan and timing we're talking about, for example. acquisition of new material? And to what extent can the Government now guarantee the help of NATO when we ourselves do nothing about this?
ParlaMint-NO_2001-02-21.ana.ud63e188	In fact, we're not proposing to cut the defense budget, we're proposing to increase it slightly. So it falls on its own unreasonableness to say that we put down the defense. But we are proposing to transform Defence in order to get a better defence against the challenges we face, both in the longer term, in the short term and in the medium term. Should the invasion ghost be there, the NATO alliance is today the strongest military alliance in the world. Everyone is aware of that. Everyone says that. Russia is far down in terms of a large number of capacities compared to what they had a few years ago, but they can of course build them up again. But NATO is a much stronger alliance today, relatively speaking, than ever in the post-war period in relation to all kinds of potential challenges. And if therefore the invasion comes, which in the short term is the madness of someone to set in motion, then NATO is there as a guarantor. And there's no reason to believe that, in the light of the defence plans, NATO is going to build up its commitment to Norway, on the contrary, NATO has given its support to the transition, and the representative should notice that.
ParlaMint-NO_2001-02-21.ana.ud63e195	There will be follow-up questions – Erna Solberg.
ParlaMint-NO_2001-02-21.ana.ud63e198	I've been on this before. Eight years ago, we had a treatment of another defence plan based on the suspension of the Defence Commission, which made changes to the concept at that time. That's the concept we've had for the defense in the last eight years. At that time a large national compromise was also made to ensure that at least that defence could be realised. It was exactly six months after the majority had adopted it, until the Workers' Party presented its first draft budget and that compromise was broken by the systematic undercutting of the Labour Party's defence needs in order to realise the current concept. My question to the Council of State is: with what credibility is the Labour Party now inviting a new settlement about a new political concept when the first thing they did was to undermine the current concept by not following the necessary allocation needs and systematically doing so over the eight years?
ParlaMint-NO_2001-02-21.ana.ud63e205	With respect to reporting: this has not been the case before, because now we are doing something completely different. We are presenting an overall package of a wide range of concrete proposals for changes to the structure that the Stortinget is then invited to adopt, which will govern the four-year period. This is one important difference in relation to what we did last time. At that time, the general order had a description of a structure in a notice. So it's attached to the protocol. Then you have annual allocation discussions. It's with respect to report a way to undermine the defense. Now we get an overall package with a structure and an economic level and, in addition, probably a defence policy settlement that is binding on the parties, if the parties will, according to Danish pattern, and how the settlement can only be waived if all parties agree on it. It works in Denmark. Why shouldn't it work here? It's just the experiences Erna Solberg refers to, and not just because of the Workers' Party and the non-will of the middle parties, as it's called, but a lot of other structural conditions, which now make us choose a different technique and have a whole new setup.
ParlaMint-NO_2001-02-21.ana.ud63e210	Let's move on to the next main question.
ParlaMint-NO_2001-02-21.ana.ud63e213	I have a question to Kosmo State Council. NHO wants a simple, transparent and nutritious Norway, and the Christian People's Party understands that they are impatient. We have 60 laws and 1,000 regulations only within health, the environment and security, and one has ten departments and 21 levels at the central level, as well as those out in the state that upholds these laws. This can affect both health and the economy in small businesses. Can't do this legally, I'm sure you'll take the rest of the planning and building laws. It is not obvious that there will be a lack of health or safety of an unbridled bureaucratic law — on the contrary. Therefore, the Bondevik government is launching the ‘Simplifying Norway’ project, with a focus on simplification and the fight against the form field. Now this has stopped or been very late, because the government of Stoltenberg obviously does not give priority to this important work, all according to the NHO. Does the Council of State Jørgen Kosmo act to scrape important parts of the clearing work in the form field?
ParlaMint-NO_2001-02-21.ana.ud63e222	No, I don't intend to scrape anything. The good proposals contained in ‘Simplify Norway’ are to be followed up. So we're going to do it systematically. We go through all the rules and cut out the rules that are relevant to cutting out. But we're also concerned with another reality. We are concerned with the system that produces all of these rules, which neither the business community, the municipalities nor the population ultimately manages to bear. If you want to do something about excessive regulation in this country, you also have to be willing to do something about the system that produces these rules. That's why, in addition to having the single rule in focus, we also have a focus on getting system changes. In turn, Stortinget will be presented with organisational issues, but also issues that go on structural changes in order to better facilitate this for the modern future. So the representative can be quite certain that we have a significant focus on this challenge.
ParlaMint-NO_2001-02-21.ana.ud63e227	I would like to thank you for your answer. I very much agree with the Council that the fight against the system is an important fight, but I want to be a little bit more concrete. AAD, its Department of State, is responsible for improving information and facilitating users. After creating a poster on language proficiency, this project has been completed without the adoption of any further decisions. Is it true that the Council of State does not believe that languages and information from the public to ordinary people are good enough now? The other thing I want to mention is that AAD is also responsible for providing users with a service statement. According to the Bondevik government, that service statement should be completed by the end of 2000. Now we write February, and the project is still on, but no one knows how far it's coming. This project is very important for the holders of the public and for the common man to know what he can demand.
ParlaMint-NO_2001-02-21.ana.ud63e236	I'm a little unsure where the questioner wants to go. I believe that all the major service-producing state budgets such as social security, equality, labour market – those that actually produce services in relation to the population – are up-to-date with their work on service declarations. If there's someone who's still hanging, and of course I'm going to check it out, we're going to try to get it on the right track. We have followed up on the intention from the previous government that all these floors should be based on service statements. But then I have to say that it's actually more important what the agencies do than what they say they're going to do through these service statements. Then there is a crucial need for us, for example. on health, environment and safety, is able to achieve a much closer integration of the various and diverse inspections we have, so that we get a common umbrella and a common action. We don't have that today. Today, too many people operate within the pure sector interests. It's a hard job, but we have to do that.
ParlaMint-NO_2001-02-21.ana.ud63e243	There will be follow-up questions – Lars Sponheim.
ParlaMint-NO_2001-02-21.ana.ud63e246	Once the Minister of Labour and Administration has been given responsibility for the further simplification work, I think there will certainly be a good job in improving the efficiency of public administration systems. I trust Kosmo will take care of it. But simplification work, as the government of Bondevik looked at this, is about much more than that. It is about how everyday life is going to be easier for each individual enterprise, for each individual citizen, social-security beneficiary, etc. There is now evidence that the government does not follow up here. The NHO has recently presented a report that says that out of 45 large simplification projects that would simplify everyday life for individuals, nine have been implemented. Seven were completed at the government change, two quite quickly afterwards. 26 is scraped by the 36 that remain, by the new government. Of these, 24 were on the way when the government of Bondevik left almost a year ago. There are documented projects for projects, such as: is about the reorganisation of regulations, of which the companies relate to 12,000, and of which Kosmo State Council can now address if he wants to.
ParlaMint-NO_2001-02-21.ana.ud63e252	We've taken care of it. But I have to say that I feel more confident about the surveys and reports I get from the individual department than about the report that the NHO has produced. I've read that report, and I'm obviously busy taking all that NHO says, seriously. But I think that the Stortinget will see, once the Stortinget has dealt with the new hospital reform, a relatively large revolution in both the number of supervision and the number of regulations affecting the health page of Norwegian administration and what has a practical significance primarily for the individual patient.
ParlaMint-NO_2001-02-21.ana.ud63e257	Let's move on to the next main question.
ParlaMint-NO_2001-02-21.ana.ud63e260	My question goes to the Minister of Labour and Administration. The government has seen high targets for improving efficiency, modernising and renewing the public sector. The center party thought it was exciting and perceived it as a follow-up of measures that the center government had all seen going on. Now it turns out that the Workers' Party's arrangement is a huge centralization. Etat, Equation Council, Police and Judiciary Structure, State overtaking of hospitals, signaling a new municipal structure – all pointing in the same direction. After the evening post of 19 February, the attention of the election campaign is to be shifted from Kosmo's renewal project to other matters. Does this mean that the Government is now taking over the monthly turmoil that is not only among those adding it to it, but also in relation to the security that exists in many communities when it comes to what kind of supply they can actually stay to?
ParlaMint-NO_2001-02-21.ana.ud63e271	In connection with this year's budget, I explained in the Ministry of Labour and Administration's budget proposal that one of the main steps we are taking in terms of renewal is to move resources from administrative and bureaucracy to service production. And service production is known in all the municipalities of the country. That is, the growth we're going to have in public enterprises is going to be in the municipalities. But when we say that we're going to move resources from administration and bureaucracy, that means that there are some jobs that have to disappear, otherwise, frankly, this becomes just a toy. These posts will disappear centrally, they will disappear in regions, and they will disappear at county level. But the point is that this resource use is going to increase service production, not in the central administration of Oslo, but in the individual municipality. There is a need for service production, whether in the field of health, care or in what areas it is. Then we're going to have a period when a number of communities that have large government administrations, obviously get trouble dealing with the transition phase. Then we have to be willing, hopefully with the consent of Storting, to move out some state agencies to the districts that are then affected. And we're going to suggest that, and I hope that the Storting is willing to follow up and join in.
ParlaMint-NO_2001-02-21.ana.ud63e280	With the signals given so far, there are a lot of people in many communities who don't feel safe that services are getting better. Services disappear, and there is a greater distance between the services provided and those to be provided. Another important issue is the freeing up of labour that Kosmo now had, and the type of labour that is being released. Because here's actually a signal that means that when there's going to be more mail in the store and the store in the mail, and when there's going to be conversions in other areas, it's focused on the 60-year-olds. At 60 years, plus/minus, an evil one is out. Then it's not about new tasks, it's just about how you can activate up to 62 years. Will Kosmo use modernisation to give the 60-year-olds new opportunities, or will he use it to make more people disappear with his experience and competence?
ParlaMint-NO_2001-02-21.ana.ud63e287	I will actually go a little further than the representative Meltveit Kleppa does, «up to 62 years». There's no reason to push people out of work because if they're 62 years old, as long as they have the opportunity and the desire to continue working for 67 years, or for that matter for 70. Clearly, we need to focus significantly more on how to make use of the capacity, employment and work capacity of the older population. And the state is going to try to help us, through the conversion projects that we are going to carry out and that we have to implement, also facilitate the demand for older workers in the future market. But of course, I do not have any ambitions about or believe that a 62-year-old lawyer can automatically go into nursing work. We therefore need to pay great attention to the reform of continuing education and training, which gives people the opportunity to both change and increase their competences in order to meet the challenges of the future in both the public and private sectors in the future.
ParlaMint-NO_2001-02-21.ana.ud63e292	There will be follow-up questions – Per Sandberg.
ParlaMint-NO_2001-02-21.ana.ud63e295	In contrast to the representative of Meltveit Kleppa and the Central Party, the Progress Party looks forward to the more efficient and reforming of the public sector that has been set up by the Council of State. We've recorded that the Council of State has gone so far as to say that if he doesn't get this done, it means his departure, and that's kind of putting himself on the track pretty high. We see that this should have a better impact on users in terms of better public services and services. Everyone has that as their purpose. My question to the Council of State is in line with what the representative Meltveit Kleppa also asked about: Does the Stortinget get proposals for action before the election campaign, or will they preferably come after the election campaign?
ParlaMint-NO_2001-02-21.ana.ud63e300	The size will receive a lot of suggestions before the election campaign, proposals that have to be taken into consideration during the spring. The Minister of Defence has put forward a serious reorganization proposal for the Defence, some of which is actually a major effort to reduce administration and bureaucracy – in a very big way. It's going to be interesting to see if the Storting is willing to follow it up, because it's a renewal act that's quite significant. And it's not just the central administration in Oslo, it's also the different administrative units associated with this around the country. There are opportunities to do things in a much easier way in the future and to obtain labour resources instead of administration and bureaucracy. The size is given suggestions in the case of hospitals – you get it before the election campaign – in the case of division of duties, etc. There will be a number of major, heavy issues in the spirit of the renewal project that will be dealt with in the Stortinge in ours. I hope we get them through.
ParlaMint-NO_2001-02-21.ana.ud63e305	Anne Enger Lahnstein – for follow-up questions.
ParlaMint-NO_2001-02-21.ana.ud63e308	I have stated in the past that I have great faith that the Kosmo Council of State is precisely going to be able to carry out part of this renewal work that we see is necessary. Now he said sail the hospital reform and actually called it a revolution. What we now see is happening in the hospital sector and in the health sector related to the implementation of this reform, I would think Jørgen Kosmo alerted some. And that's really my question. As late as today, we are told that the majority in Akershus is opposed to this reform at political level, and it is also true that the trade union movement in the various areas is concerned that this is moving too fast. I guess there's no area that's more complex than the hospital sector. Transferring the hospital sector to the state – I disagree with it – also involves a complexity that I would challenge the Council of State to say a little about how he thinks he will handle, and whether he is comfortable with the situation.
ParlaMint-NO_2001-02-21.ana.ud63e314	I am comfortable with the situation, because the Stortinget will be presented with a proposal for a law on how this large, gigantic and necessary system change in the Norwegian health system should be. This legislative proposal will form the basis for the future organisation of the hospital sector in Norway. So the Storting gets ample opportunity to go into both the details and, hopefully, the big, transparent approaches that we have to take into account patients in this country. And to me, the fact is, the need to get a proper patient treatment on account of the different trade unions in the individual hospital sectors. That they are now fighting their fight, we must respect that. But when the law is put in place in Stortinget, there will be a series of follow-up negotiations that will have to be done in relation to employees’ organisations, and those negotiations will be the first to be based on what serves the interests of Norwegian patients.
ParlaMint-NO_2001-02-21.ana.ud63e319	Last follow-up question – Jon Lilletun.
ParlaMint-NO_2001-02-21.ana.ud63e322	I have, like many others, had great confidence in the grips that the Kosmo Council has seen in order to defuse the consumer, to defuse the public, instead of having a bureaucratic approach. But what he said in these last two rounds, that he has more confidence in feedback from the ministry than in a report that might have been produced by the NHO, was quite unlikely. In principle, the users outside must say that when a thorough investigation takes place, it is actually more important than any feedback that the programme receives that is purely bureaucratic. So I hope it was a communication from the government, and that the approach to the government is that there are the users out there to the right, not primarily the feedback from an internal system. I want a follow-up on it.
ParlaMint-NO_2001-02-21.ana.ud63e327	Of course, it's the users we're interested in. This applies not only to users related to the NHO, but also to users related to consumer organisations and a number of other organisations that at all levels are trying to represent the proportion of the population who from time to time feel that they are being strangled by public bureaucracy. Of course we should listen to them. But the NHO in this investigation has been very concerned about the individual rule and too little of the system that produces the rules that we can't handle. So we're going to engage in a real dialogue with the NHO on how we're going to deal with this, and we're going to systematically get rid of unnecessary regulations and rules. The representative can be quite sure of that.
ParlaMint-NO_2001-02-21.ana.ud63e332	Then we go to the next main question.
ParlaMint-NO_2001-02-21.ana.ud63e335	I would like to ask the Minister for the Environment. A few days ago, the Intergovernmental Panel on Climate Change presented an interim report showing that climate change is much faster than previously assumed and that global warming is much faster than previously assumed. It also shows that the consequences for both countries and developing countries are far more dramatic than previously assumed, both in terms of sea level and storms, in terms of hunger, and in terms of how to produce food. In short, it is a very dramatic report presented by the Intergovernmental Panel on Climate Change. This government has so far taken climate issues particularly seriously. You can sum up by saying that this government, among other things. In order to reduce petrol taxes, green taxes have not been phased in, as previously assumed, the recent transport plan — and adopted — has not sufficiently taken into account public transport, leading to increased car use, and at the top of all, this Government will also have gas power plants. My question to the Minister for the Environment is very brief: Does the Minister for the Environment feel that she has had an impact on environmental issues and climate issues in this government?
ParlaMint-NO_2001-02-21.ana.ud63e344	The climate challenge is our biggest environmental challenge. Therefore, the signals from the research now emerging internationally through the Intergovernmental Panel on Climate Change are alarming but important. Research itself will help to make countries more aware of the scale and extent of the climate challenge. For this reason, this government has placed so much emphasis on work both nationally and internationally, primarily in order to establish an international agreement in the field of climate change. It will be absolutely necessary because the use of instruments in this area will be so extensive that the combined use of instruments by many countries is essential for industry, industry and the economic sectors to live up to them. At the same time, as part of the preparatory work in this area, each country must make national preparations. That's what the government is now doing, and we're going to present to the Storting this spring – a follow-up to our commitments to the Kyoto agreement and how we see an instrument use nationally towards the entry into force of the agreement, and we're going to assume that we have an agreement in place by 2008.
ParlaMint-NO_2001-02-21.ana.ud63e349	There is no problem in agreeing that it was a major step backwards that no agreement was reached on the international climate obligations, but at the same time Norway has not taken any action during the last year pointing in such a direction. One thing is that you have to give a big message to the spring, where you are likely to have a lot of commendable talk about what you intend to do, but you have on a number of different roadblocks the opportunity to take action – which you have chosen not to do. As a result, Norway, together with the United States and perhaps a few other countries, is now further away from achieving the targets set in the Kyoto agreement than we were at the time of the Kyoto negotiations. And that means that it's going to be dramatic instruments for the ordinary Norwegian consumer, for the ordinary Norwegian industry and for business, if we're going to be close to achieving the Kyoto agreement's objectives, which, after all, are relatively modest. For the last climate report, the Kyoto agreement's objectives are, of course, insufficient. In the next hundred years, there will be much greater changes in the climate than you've ever thought. So that means you actually have to go in with dramatic instruments. This is not enough, for example. to reduce petrol taxes, it is simply necessary to take a large, comprehensive approach to society. Does that mean that this minister has actually intended to propose to the Storting as extensive a grip as this climate report requires?
ParlaMint-NO_2001-02-21.ana.ud63e354	I share the assessment that there are dramatic grips that need to be taken to solve the climate problems. This is precisely why it is so important that several countries join forces on these challenges, because if not, they will not be able to take action alone in each country. Norway shares the climate challenge with most countries. The difference between today's emissions and the country-by-country emissions is going down under the Kyoto agreement, which will be the first step in climate action, is about the same for Norway as for other countries. However, Norway has some special advantages that we should pay particular attention to by putting up a commitment to technology, especially on the gas side, so that we can use gas in several areas in Norway and can eventually develop a technology and be at the forefront of further processing of gas in Norway that is CO2 free.
ParlaMint-NO_2001-02-21.ana.ud63e359	Then we go to the next main question.
ParlaMint-NO_2001-02-21.ana.ud63e362	I have a question for the Minister for the Environment. The Council of State and the Left have previously had a common commitment to the emissions of Sellafield. As most people know, among other things, The release of the radioactive substance technetium — according to the information I have from the environmental movement — could lead to five to ten years' time, among others. crab and lobster could not be edible on the south coast if you cannot stop this. So my question to the Council of State is -- since she last had this question in Stortinget, among other things. by Mr Kvassheim: What has she done to the British and, in particular, to her British colleague in order to present the Norwegian reactions and the Norwegian protests on the emissions that are taking place?
ParlaMint-NO_2001-02-21.ana.ud63e370	I share the concern of the representative Dørum about the radioactive emissions from the Sellafield plant to the North Sea. There has been a strong commitment to this issue in Norway for a long time. What I have done in the last few days and weeks is to re-examine this issue with my British colleague, the UK Environment Minister, Michael Meacher. I have mentioned that from the Norwegian side, we believe it is unacceptable if the UK Government now takes on the proposal that is one of the alternatives now proposed by the UK environmental authorities for the Sellafield plant until 2006. The Minister for the Environment has assured me that he is working for an alternative which means that we arrive at emissions much faster than the technical environmental authorities in the United Kingdom recommend. This will also be followed up. I have also raised this issue at Nordic level with the Environment Ministers lately, because international cooperation in this field, among other things. through the so-called OSPAR Convention, an important framework for working to put pressure on the United Kingdom, and also on France, in terms of the reprocessing of nuclear waste, which we in Norway believe is a poor way of dealing with such waste.
ParlaMint-NO_2001-02-21.ana.ud63e375	I think the Council of State has been active, and that is positive. I also think it is commendable what has happened in relation to Nordic colleagues. I also note that Nordic Environment Ministers have responded with protests against the Russian nuclear waste transport plans along our coasts. But I want to follow up with the following comments: The working party often places great emphasis on their close contact with sister parties in other countries. Tony Blair’s UK has often been referred to as an exciting country for which the Norwegian Labour Party can take note. I think it is quite crucial for this matter – and I have all the respect for the efforts and commitment of the Minister for the Environment – that it is also raised from Prime Minister to Prime Minister, in other words, that Prime Minister Jens Stoltenberg addresses this with Tony Blair in addition to the excellent initiative the Minister for the Environment has now promoted. So my question is, can we assume that this will be addressed in such a way that there will also be a direct contact with Prime Minister to get serious about this matter?
