ParlaMint-NO_2001-06-07-upper.ana.ud2026e162	Unit is deleted.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e584	Erik Dalheim, on behalf of the Workers' Party, and the Socialist Left Party, has taken up the proposal he has now referred to.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e587	I refer to the debate in Odelstinget, and, on behalf of the Christian People's Party, the Right and the representative of Stolt-Nielsen, I would like to make the following proposals: ‘The decision of the nodule is not accepted.Note of the layer:Room number In Section 4, it is assumed that it should be replaced by the following: ‘The independent decision-making responsibility of the ownersThe staff of the family protection offices shall be interdisciplinaryly composed. It should be employed psychiatrists or other doctor, psychologist and sociologist. Legal, clerical and other professional groups with relevant education and training may also be employed by the family protection office. In cases where the professional director is not a psychiatrist or other doctor, and there is a doctor/psychiatrist at the office, the independent decision-making responsibility of this doctor is not affected by the third paragraph of Section 4 of the Health Care Professional Act.»
ParlaMint-NO_2001-06-07-upper.ana.ud2026e606	On behalf of the Christian People's Party, Right and the representative of Stolt-Nielsen, Elsa Skarbøvik has put forward the proposal she has referred to. Several have not asked for the word.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e621	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e633	As I refer to the debate in Odelstinget, on behalf of the Right and the Progress Party, I would like to make the following proposals: ‘The decision of the Nodelsting is not accepted.Note: It is recommended to the Odelstinget to refer to the legislative proposal.’
ParlaMint-NO_2001-06-07-upper.ana.ud2026e645	Siri Frost Sterri, on behalf of the Right Party and the Progress Party, has put forward the proposal she has now referred to. Several have not asked for the word.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e655	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e667	I refer to the debate on the Energy Act, and on behalf of the Christian People's Party, the Right, the Progress Party and the Left, I would like to make the following proposals: ‘The decision of the nodule is not accepted. 1st@item: inlistbox Paragraph 3-1 of the first paragraph is assumed to be replaced by the following:‘Systems for the production, transformation, transmission and distribution of high voltage electrical energy may not be built or owned without a concession. The same applies to the conversion or extension of existing installations.»2. Paragraph 3-2 of the first paragraph is assumed to be replaced by the following:‘In an area, a concession may be granted to build and own installations for the distribution of electrical energy with voltage up to a level determined by the ministry.’3 Section 5-1, first paragraph, is assumed to be replaced by the following:‘Removal heating systems cannot be built or owned without a concession. The same applies to the conversion and extension of district heating systems.’;»
ParlaMint-NO_2001-06-07-upper.ana.ud2026e693	On behalf of the Christian People's Party, the Right, the Party of Advancement and the Left, Elsa Scarbøvik has put forward the proposal she has now referred to.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e696	I would like to make the following proposals on behalf of the Right and the Advance Party: ‘The decision of the nodule is not accepted.Note:The last sentence of the third paragraph of Section 4-3 is assumed to be deleted’
ParlaMint-NO_2001-06-07-upper.ana.ud2026e708	Siri Frost Sterri, on behalf of the Right Party and the Progress Party, made the proposal she referred to.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e711	I would like to inform you that the Coastal Party supports the proposal put forward by the Right and the Progressive Party and also the proposal made by Elsa Scarbøvik.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e716	The representative, Stolt-Nielsen, then gave his opinion on the matter. Several have not asked for the word. The President will first vote on the proposal from the Right and the Progress Party, which has now received the agreement of the representative, Mr Stolt-Nielsen, and then on the proposal from the Christian People's Party, the Right, the Progress Party and the Left, with the agreement of the representative, Mr Stolt-Nielsen, and that will be the case.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e733	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e745	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e759	I refer to the debate in Odelstinget and will make the following proposals on behalf of the Christian People's Party, the Right, the Advance Party and the Left: ‘The decision of the nodule is not accepted. Note of the layer:Romantal III should be assumed to be deleted.’
ParlaMint-NO_2001-06-07-upper.ana.ud2026e771	The representative Elsa Scarbøvik, on behalf of the Christian People's Party, the Right, the Advance Party and the Left, made the proposal she referred to.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e774	The Coastal Party will also announce its support for the proposal now made by Elsa Scarbøvik.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e779	The representative, Inger Stolt-Nielsen, has then given his position on the matter. Several have not asked for the word.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e789	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e801	I refer again to the debate in Odelstinget, and will, on behalf of the Christian People's Party, the Centre Party and the Left, promote the following proposal: ‘The decision of the nodule is not accepted. It is assumed that 3 should be replaced by the following: ‘A denominator shall be established to deal with situations where no agreement is reached in negotiations on conditions and compensation for participation in a watch and in the case of a public service call.’;»
ParlaMint-NO_2001-06-07-upper.ana.ud2026e816	Elsa Scarbøvik, on behalf of the Christian People's Party, the Central Party and the Left, has put forward the proposal she has referred to. Several have not asked for the word.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e826	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e839	On behalf of the Right and Advance Party, I would like to make the following proposals: ‘The decision of the Nodelsting is not accepted.Note: It is recommended to the Odelstinget to refer to the legislative proposal.’
ParlaMint-NO_2001-06-07-upper.ana.ud2026e851	Siri Frost Sterri, on behalf of the Right and the Progressive Party, has put forward the proposal she has referred to.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e854	Such situations tend to arise when one is not present in Odelstinget when the debate is ongoing. This is when I have the opportunity to state that the Coastal Party joins the proposal from the Right and the Advance Party.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e859	Several have not asked for the word.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e867	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e879	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
