ParlaMint-NO_2001-12-05.ana.ud1368e69	Representative Rolf Terje Klungland will make a private proposal.
ParlaMint-NO_2001-12-05.ana.ud1368e456	The representative, Mr Højlund, has taken up the proposal he has referred to. It's going to be line change.
ParlaMint-NO_2001-12-05.ana.ud1368e461	The party of progress believes that a way to peace in the Middle East is for the Palestinian self-government to collapse by the international community pulling out all financial support. That is to say, the Progress Party has also submitted a proposal stating that the Storting can support new financial contributions to the Self-Government if the Government returns with an attitude to this effect. But the government has actually decided that one should continue with this support, as it is in the budget. What makes the Progress Party think that the Government will come to a completely different understanding later, that first a supported one will withdraw and then reintroduce it? Is it not most logical to trust the Government's assessment in this round as well, that support should continue instead of taking a stop, and that the Government will come back with its old proposal to continue supporting? This doesn't make any sense. The party of progress must either decide to pull support, let self-governance collapse and make anarchy in the area worse than it is, or one should also rely here on the government's assessment, which one intends to do in the next round.
ParlaMint-NO_2001-12-05.ana.ud1368e466	The Group of the Party of European Socialists recognises that there is a difference of opinion in this Chamber on aid policy, including the Palestinians. We do not believe that the bulk of the population would immediately jump on the attitude of the Progress Party towards aid. However, in the light of the current situation, we had hoped that we would be able to get support to hold back, or – as we have formulated it – immediately stop the assistance now being provided. We see that other countries also assess it. Germany is holding back parts of its support for the Palestinians, so this is not an unknown theme among the donor countries. We record the general attitude towards assistance from the Government, from the bulk of the population, but we believe that the situation today requires us to consider this with slightly different eyes from what we have done so far.
ParlaMint-NO_2001-12-05.ana.ud1368e473	I would like to follow up on the theme that the last replicator also addressed. The Progress Party has therefore put forward a proposal in which they ‘are calling on the Government to immediately stop all financial support to the Palestinian self-government authorities’. I strongly doubt whether this is a positive contribution to the current crisis in the Middle East. Norwegian support goes to development work, to health, to education, to the construction of a public administration. And if you were to immediately withdraw all Norwegian contributions, I'm afraid that it can help completely undermine and weaken what is left of the legitimacy of the Palestinian administration in Palestinian society. So my question to the representative, Mr Höglund, is: The Greier Progress Party, to overlook the consequences of such a policy, and does the representative consider it appropriate in a way to deprive the Government of important instruments, which could also be useful in a situation where the dialogue might start again?
ParlaMint-NO_2001-12-05.ana.ud1368e480	As for the consequences of the actions you see in the Middle East, and what's happening down there, I don't think it's bad to know what's going to happen. Until then, the situation is too unpredictable. However, in the view of the Progress Party, Norwegian support for any regime, authority, country or self-government area cannot be implemented at all costs. We have to be able to have some principles and a view in relation to when we're in and when we're not in. We believe that the situation is now such that we are no longer involved in financial support under the Palestinian areas of autonomy. I could of course also discuss how these means are used and how they disappear on the road etc. This is also documented, inter alia. in international audit reports. So the benefits of the assistance can also be discussed, but I see the point that the representative Julie Christiansen raises, namely the signal effect. That's exactly the signal effect we're looking for. We don't think there's any other way to make the Palestinian authorities realize that the policies they've turned on are flawed. They must go into a completely different line to control terrorism in their own area, if we are to move on with peace in this part of the world.
ParlaMint-NO_2001-12-05.ana.ud1368e485	The cowboy theory has not only reached Israel and Ariel Sharon, it has reached the representative Morten Höglund as well. The Progress Party is now proposing to stop all financial support from Norway to the Palestinian self-government agencies for an indefinite period. In recent years, Norway has provided significant resources to strengthen peace efforts in the Middle East and to contribute to stable economic and political development in the Palestinian region. Such developments will contribute to a more equivalent situation between the Israelis and the Palestinians. This will change now, after buying Sharon's rhetoric that the Palestinians are terrorists who have to be punished and removed. What we've seen in the last few days is unfortunately not new, but a new round of violence in the Middle East. Yasir Arafat has consistently distanced himself from the maritime murder actions and contributed greatly to long-term peace solutions, sailing if he could probably in many ways do more. The spiral of violence must now be turned down, not up, and it is the Israelis who must now take the initiative and act wisely. That wisdom is not humiliating Arafat towards the Palestinians by bombing the police stations in the Arafat neighborhood. That wisdom does not consist in humiliating the Palestinians by plowing up the airport in Gaza. Time would be if Israel stopped the constant humiliations and liquidations and withdrew from the occupied territories. I want to ask Høglund how he thinks this conflict will be resolved. What kind of alternative does Höglund have to a Palestinian maritime administration in a Palestinian state, and what goal does Höglund think that if we remove the appropriations that the Palestinians so badly need to create their democracy?
ParlaMint-NO_2001-12-05.ana.ud1368e497	The President would point out that ‘cowboyretorics’ hardly belong in parliamentary language. It may be a little bit difficult for some of us to understand what's really in it, so maybe you're trying to stick to good, courteous Norwegian for the time being.
ParlaMint-NO_2001-12-05.ana.ud1368e500	The representative said that these means of assistance included: has led to stable economic and political development in the Palestinian territories. I'm in doubt if that's the case. I believe that this development has not given rise to a stable situation. The events we're experiencing are just an example of that. The lack of control of the Palestinian authorities over their own territory poses a threat to the daily experience of the Israeli population in Israel. That is the main threat to peaceful development. Israel went far in the Camp David negotiations. They wanted to share Jerusalem, they wanted to withdraw from almost the entire West Bank, but they wanted security for the Israeli population. To do that, it takes completely different actions than what we've seen for many years. To get out of the locked situation, we have come up with our proposal. Of course, there is also a responsibility on the part of Israel. We won't deny that. That we buy all rhetoric from Israel is also not correct. But that recent events have now begun with the background of Palestinian terrorists, we do not think there can be any doubt about it.
ParlaMint-NO_2001-12-05.ana.ud1368e507	The cord shift is over.
ParlaMint-NO_2001-12-05.ana.ud1368e510	There are two areas which have our centre in the foreign debate today. It is Afghanistan and it is the Middle East – Israel and Palestine. I want to start with a little story from an area about in the middle – Kurdistan. An older man asked me, what kind of prophets do they have in Europe and what do they do with these prophets? I had to say, as it was true, that I was in doubt – but doubt and faith is going on – so I couldn't give a good answer. He said all of a sudden, Edison is my prophet. And then he pointed up the chandelier. It wasn't as nice as the chandelier we have in Stortinget, because it was a regular fluorescent lamp. They had put electricity into the village the previous year. This is seven to eight years ago. Today, almost the entire village of London lives after war, after a failure to get good enough solutions, after there were no resources to get school, health and education in this area. The budget now presented has many good posts for crisis prevention and conflict prevention. A whole new post is the provision of transitional assistance to ensure coherence between the long-term development challenges and humanitarian aid, so that resources can quickly be mobilised and positive phases used in peace processes. When it comes to reconstruction and stabilisation in countries where there has been a recent serious conflict, measures to achieve peace, reconciliation and long-term development are particularly important. We have to ask ourselves the question of the war in, for example. Afghanistan could have been avoided if we had invested as much in development, civil society and democracy as we currently use in the war, if we had been predictive enough to go in with help after the Soviets moved out for good and well ten years ago. We might have avoided the Taliban regime that, until those degrees, has hindered development. I shall not duplicate this, but I will only note that in the budget proposal that is before us, there are many good proposals to put in place more international legal order. And the practical exam will come up in Norway over the New Year, when we're going to hire the work of the donor country group for Afghanistan. In a later article, SV will also address the current issue of sending Norwegian forces to Afghanistan. A credible solution to the Middle East crisis can only be achieved by getting a Palestinian state. All the time we've been working on budgets beyond the fall, we've seen it increase the need to strengthen everything that can prevent war. SV suggests that you increase the permissions of the mails for trading and manage them further. We also propose increasing the opportunities for work in Palestinian refugee camps. These rights may be played in milk if one does not follow up with political results that end the occupation of Palestinian soil. Norway must be able to state clearly that there is an occupying and an occupied part. If it is the case that Israel has seen itself lead to overthrow the Palestinian self-government powers, Norway must do what we can to stop it. Having a good friend may at times be something of the toughest one can experience. A good friend simply says from when he thinks that one has gone too far or that one has rotted away. I'm sure we all have good experience with the friends that it's worth having, they're the ones who dare to say from one to the other. This experience from life's school may be good to have in international politics. It won't hurt anyone if Norway tells one of our closest allies, the United States, about conditions that we think have taken the wrong course. Example of this is when the U.S. will not allow money to ICC, the International Criminal Court, and does not fully support openness about the amounts deposited in tax havens. I'm not going to make the list anymore, but I'm just going to say that Norwegian foreign policy needs to be based on using the possibilities we have to say on behalf of the weakest party, both in international forums and in countries to land calls. SV believes that the international fight against poverty, conflict prevention, international environmental protection and protection of human rights must be a key issue in Norwegian foreign policy. Norway must further develop and strengthen the trust value within these areas. As a heavy player within international aid and involved in a series of peace processes, Norway has the ability to play a greater role internationally than our size should have. But this led, in our opinion, to Norway, among other things. Acting as a consistent defender of the interests of poor countries, is consistent in the criticism of human rights violations and pursues a consistent environmental policy. SV believes that Norway, as one of the world's richest nations, can contribute more to the development and fight against poverty, and therefore proposes an increase in the aid budget of 300 million in its alternative budget. In addition, the oil fund will be set aside for a Solidarity Fund for investment in the poorest countries. We need to ask ourselves whether it is possible to pursue an industrial policy that takes account of resilience and international solidarity. There is a link between what is happening in the Norwegian labour market and international policies. We've become so rich that like other rich countries, we can be tempted to bring in people who are going to work here for a short time without getting any food. We've closed this system in South Africa a few years ago, better known as apartheid. I want to make this visible with a quote from a yard director in the shipping industry from the last election campaign: 'We'd like to get workers here only, for God's sake, not get the same pay level as the Norwegians. And we can send them back when they are no longer needed." At another shipyard, in Aukra on the Romsdal coast, there is Smoke-Owned Aker Yards. The Director concerned about access to risk capital. When and when our major banks get their seats in Stockholm or Helsinki, it could put access to capital for these shipyards at risk. That's why the hull might be built somewhere else. To me, this says that capital goes where there are low wages, and the best profit is where there is also a lack of democracy. We in Norway can risk dumping wages and capital shortages becoming a problem. The only solution is that trade unionism is international, and that one facilitates as much as possible that trade unionism in other countries can cooperate with the Norwegian, and with the long-term objective of raising wages in other countries rather than pushing them down in Norway — not saying that we should actively engage in other countries’ wage negotiations, but that pay should be the best way to benefit a society. We ended in the fall a election campaign that was partly influenced by the relationship to taxes and charges in Norway. In all countries for which we provide assistance, the lack of taxes and taxes is a major problem. It is these taxes and charges that are to be paid for school, health and the whole construction of a welfare country. Norwegian aid policy needs to be corrected to provide leadership that will enable us to build up an internal distribution in the countries with which we cooperate. Something as simple as a bag of coffee, for example. I and everyone else in Norway care much more than the farmer in the country that produces the coffee, only at VAT, for example. When, after the war in Norway, we continued to build up our own welfare state, we gradually got started with assistance that was characterized by a tremendous optimism and a belief that one would achieve results in a short time. This has proved not to be the case, and we've learned a lot on the way. True aid without political reform is gone. We also know that assistance can put the recipient in a client role. Internal distribution in a country is best achieved by providing people with work and pay. That this also has a good part to say for self-respect, we know a lot about Norway. This is why SV is proposing a new post with additional funds for trade-union to strengthen the existing exchange work that is going on between trade-union in Norway and in other countries. I'd like to admit that we got the idea from the new Democrat Support/Parties post to the Stoltenberg government, to which we join. SV has already tried this through NORAD media. We have had good contact with many of our local teams in Norway who are in contact with local politicians in Central America. This is democracy building in practice. The capital current between the north and the south is probably negative in relation to the fact that there is more money going north than southwards, because the amortisation of debt represents so much of the expenditure of the countries in the south. Much good work is being done in this area, both multilaterally and bilaterally. I thought we should be better at distinguishing between indebtedness and indebtedness. I have registered that the correcting program on my computer only accepts debts with one s. But I still want to say that the word with two s's, debt cancels, is equally important, because there will often be a need to erase debts unilaterally, and not just to ease the debt. If only debt is refinanced, this could lead to countries never getting out of a debt trap in which at least the poorest in these countries are not guilty. SV has also found space of 1 million. kr to organisations and others engaged in information and impact work related to non-resident debt. Awareness-raising of these questions in the Norwegian opinion is a commitment to be closed in the long term with this work. Finally, I would like to mention the proposal from SV, which has been included in the setting.
ParlaMint-NO_2001-12-05.ana.ud1368e554	Bjørn Jacobsen has taken up the suggestion he referred to. It's going to be line change.
ParlaMint-NO_2001-12-05.ana.ud1368e559	SV is committed to long-term measures to prevent terrorism — by combating poverty, supporting democracy, etc. These are measures that we all agree with. But in the short term, SV has no solutions. It is too late to prevent terrorist attacks against the United States on 11 September. They've already happened. Those responsible must be held accountable. How will SV do that? In the short term, our joint efforts to combat poverty do little to help. It doesn't help with an international court, for which we work. It is not established, nor would it have had any authority in this case. The International Court of Justice shall not replace national courts where such courts exist and function. The question is therefore: what will SV do in the short term to combat terrorism and to put those responsible for the terrorist attacks on 11 September?
ParlaMint-NO_2001-12-05.ana.ud1368e568	I would first like to reply to the representative, Vallersnes, that when we base the UN, and when we base the ICC, it is clear that then we think very long-term. All over the world there is a need to build an international legal order. We see that part of our allies is not the same – what to say – eager to achieve such a legal order. In the short term, I also did not think SV would be short when we suggested that these operations should be under UN mandate. We've gone against bombing because we didn't believe it would work. We've been thinking that maybe it could put even more guy under that fire called terrorist networks around the world. We actually don't know what's going on in the head of people who can think of something as terrible as what happened on September 11th. In the United States, for example. bombing in Oklahoma. Quickly – quickly, Mrs Blom, I mean quite quickly – got a trial for those who had done it. And there was death sentence instead of maybe finding out what was moving up in the head of these kids who could figure out how to do something so terrible. Then a harsh and brutal answer with death sentence. We regard this as not particularly preventive in relation to international terrorism.
ParlaMint-NO_2001-12-05.ana.ud1368e575	I have to say that I had expected a long and continuous argument against continued bombing in Afghanistan in this main post from SV in this debate. What is this thing? SV has gone very high on the track with criticism of the bombing, and now we hardly hear a beep. There is no proposal for an early stop in the bombing, no proposal for Norway to press internationally to stop all military operations; we do not even see a proposal for a temporary stoppage. I have to ask the representative Jacobsen what this means. Has SV now changed its view of the bombing and military operations? Was it wrong to act to overturn the extremist Taliban regime, which has shot at power, and which has kept the population in an iron grip? Now the representative Jacobsen said that it was thought that the bombing could put another guy on the fire. But I remember Kristin Halvorsen saying that every day it's bombed, the Taliban is strengthened. Does the representative Jacobsen think this was a good analysis? And can SV admit that there are possibilities that they have been wrong?
ParlaMint-NO_2001-12-05.ana.ud1368e582	First, I want to say that we're going to come back to Afghanistan in a later article from SV. We in SV are also very pleased that the acts of war in Afghanistan now appear to be going to the end. We also enjoy the fact that the bombing might have worked. It has not been said that we have changed the basic view that we were against the bombing. We believed in solving it in other ways. Not least, in relation to the long-term impact of the bombing, of the enormous use of resources. We believe, for example. That the biggest problem in our culture is that we do what we can, just like when one comes to the hospital and there are many surgeons present, then the chance of one being operated is reasonable. How does the world react to the terrible thing she did on September 11th? Well, we'll figure out what equipment we have. It's bombs, it's bombers. That's the way we answer it. We think the world has to turn around once in that way internationally. We believe that in order to prevent these things in the long term, and especially in a situation where we hardly know who the enemy is, we still stand by the fact that we were against it bombing.
ParlaMint-NO_2001-12-05.ana.ud1368e591	Several have not asked for the word for a line.
ParlaMint-NO_2001-12-05.ana.ud1368e595	I have to note that SV cannot explain what the consequences would have been if we had not gone to military operations and carried out what the broad alliance has been doing for a few weeks now. We now see that the broad alliance is winning the war in Afghanistan. The Taliban and the al-Qaeda terrorist network are being paralysed, and we are seeing a happy development in that today we were told that there is agreement on how to put together a new government in Afghanistan, which hopefully can build peace and democracy and human rights. SV has been the leading critic of the government's policy, and has long asked for a halt in the bombing. I have been confirmed today that they are still asking for a stop in the bombing. I wonder why there is no suggestion about this today. SV believed that the bombing would lead to a reinforcement of the Taliban, and that it would happen as the bombing progressed. The opposite has now proved to be the case — that the Taliban’s defeat has been achieved, at least to a greater extent than the many dared to hope for, and that the Taliban’s protective room around Osama bin Laden is still being restricted. It paves the way for an orderly regime that does not open the country to terrorists and heroin producers. When developments in and around Afghanistan have made it necessary to assess Norwegian forces for the ongoing fight against international terrorism, SV remains counter-productive. And I have to ask: does SV have another effective solution that can in the short term bring the terror to life? The purpose of Norwegian strength contributions is to follow up the United Nations decision to repress those who use terror to achieve policy objectives. Therefore, sending a limited number of Norwegian military to Afghanistan or neighbouring areas is a political solidarity act in the fight against international terrorism. More than 30 countries have agreed to contribute militarily. Norway has every reason to support such an action, because the fight against terrorism also concerns our security. As the Minister for Foreign Affairs pointed out, the Constitution § 25 does not prevent the participation of Norwegian troops in an international defence under non-Norwegian command. This is probably anchored in recent Norwegian state practices. Therefore, the Act does not impose any restrictions on Norwegian military participation in relation to the situation in Afghanistan. The Christian People's Party believes that Norway must now show a willingness to follow up our political support measures, and that we are prepared to take our share of the military burden. It is important to note that although the United States is the dominant country in the war against terrorism in Afghanistan, this is politically not an American operation. It's a broad international coalition of states that are now participating in this battle, perhaps the widest we've ever seen. The right of the United States to individual and collective self-defence is in accordance with Article 51 of the United Nations Charter and is expressly confirmed by the UN Security Council in Resolution 1368. This indicates that the estimates are a threat to international peace and security. Furthermore, the Council of NATO has triggered its obligations under Article 5 of the Atlantic Treaty to provide assistance to other Member States who so request. Norway’s contribution must be seen in the light of these international decisions. The military operations aimed at the terrorist network al-Qaeda and the Taliban movement have a clear international legal base and are to safeguard important international common interests and values such as international peace and security. The Christian People's Party would like to stress that Norway's contribution does not only concern participation in military combat actions. We are therefore pleased that the Government is also prepared to send units to contribute to humanitarian support operations such as transport, mine clearance and airdrops. The military contribution is further intended as a short-term aid. The fight against international terrorism must also be waged by political, legal, diplomatic and financial means. Only by using a holistic and long-term approach in a broadest possible alliance will terrorist networks be dismantled. Only Afghanistan itself can take primary responsibility for the development of the country, but the UN and the rest of the world need to assist and make demands in the construction of the country. Norway will contribute actively through the ASG Presidency from 1 January onwards. Here Norway is given the opportunity to take diplomatic action. I hope it can be used to focus on democracy and human rights in further development cooperation. The political process must be parallel to and supported by humanitarian aid and reconstruction aid. The combination of acts of war, general distress and a beginning of winter have created dramatic conditions for many Afghans. In Afghanistan, 5 million people were already dependent on emergency aid before the air attacks. The 2002 budget proposal provides for a further stepping up of assistance to Afghanistan and its surrounding areas. The main objective must be to create peace, reconciliation and development in the region, where immediate needs are met in accordance with a long-term perspective involving political stabilisation and economic reconstruction in Afghanistan. The conflict between Israel and Palestine has also come to light following the attacks on the United States on 11 September, and today’s developments are damaging the fight against terrorism. Terrorism has a deeper cause than this conflict alone, but there is no doubt that the cause of the Palestinians is strongly contributing to the sacred war of militant Muslims against the West. This matter is not least important in the propaganda of terrorists in their efforts to gain understanding and upliftment in the Muslim world. A peaceful solution between the Israelis and the Palestinians can therefore be an important means of war against terrorism. Norway must continue its extensive Middle East exposure and encourage Israel and the Palestinians to implement without delay the recommendations contained in the Mitchell report and the Tenet plan. The aim must be to bring back the political process so that the final status negotiations can be resumed. It is important to stress that terrorism has its origins in deep intolerance and extremism, but poverty can give rise to desperation and violence. Combating poverty is therefore one of our main instruments in the fight against the underlying causes of conflict, terrorism and other threats to human security. The 2002 budget proposal emphasises that the Government will work for a more holistic and powerful South policy and that it will strengthen its response to global poverty. It is therefore very gratifying that the appropriations for ODA-approved assistance next year will increase from 0.89 p.m. to 0.92 pst. by GNI, and that a broad majority in the UK want assistance to increase to 1 pst. This is fully in line with the escalation plan proposed in the 2000 budget. It is therefore important to be clear that there is a concrete escalation plan and that the increase in percentage now has to be considered as part of this escalation plan. We are committed to combining development cooperation more effectively than in the past in order to improve the international framework conditions of developing countries, and in particular in the areas of trade, debt and the environment. We are pleased that the Government is now putting up a strong commitment to education, health and social services, giving priority to the fight against HIV/AIDS. The overall objective of Norwegian development cooperation is to contribute to the improvement of the economic, social and political situation of developing countries. There's a lot of excitement in the Norwegian people about this. The best way to meet today's challenges is to increase international cooperation with efforts across a broad front. Here it is essential that all countries participate and take their duties and rights in the world community, in order to create a safer and fairer world. I would also like to comment on some of what the representative, Mr Höglund, said about the conflict in the Middle East. I have to say that I fully share his concern about the violence currently taking place, and we agree that the most important thing we can do now is get the parties back to the negotiating table. But I must also say that we will give strong expression of compassion for what the Israelis have experienced now, especially in the last days, where civil and innocent lives have been lost. But it can't be a solution if you contribute to strengthening the spiral of violence. I cannot understand the fact that the representative, Mr Höglund, agrees, rather than strongly expressing the need to come back to the negotiating table. Former Prime Minister Yitzhak Rabin chose to take Yasir Arafat in his hand, despite the fact that he had seen hundreds of his soldiers go to the grave. He blamed Arafat for this, but he still chose to take Arafat in his hand. Is it not a better solution to bet on negotiations than on continued violence?
ParlaMint-NO_2001-12-05.ana.ud1368e631	It's going to be line change.
ParlaMint-NO_2001-12-05.ana.ud1368e634	The first part of Rise's posts was almost created as a replica of SV. So I think it's right to say that SV is not a pacifist party, but we have a lot of pacifists in our party, and we're going to have a policy that can make them even in our party. I assume that the Christian People's Party also has a part of them. I would have liked myself to have wanted me to be a pacifist, because it's perhaps the only thing that makes sense when you're going to take care of how people should behave towards each other. We in SV are also to use power when necessary – if it works. We ask the question, does it work? In this case with Afghanistan, our opinion was that it would not work. But then my question will be forwarded to the representative Rise: Should we continue to bomb in other countries with our strength contributions, with F-16 – Iraq, Sudan, Yemen? What are we going to use these forces for? Is there more of a symbolic force you're after here, materialized through F-16, or is it over to a military force? What's this, what's this, what's this military force, or what's the symbolic force you're going to give to the United States? Otherwise I would say that no one has well demanded bombing in Boston when it goes off a bomb in London. There is no doubt either that the bombs that are detonated in London are funded from the United States. But no one has demanded bombing there for that reason.
ParlaMint-NO_2001-12-05.ana.ud1368e643	I have to note that SV has not really provided an explanation as to why there is no proposal on the table today about stopping military operations, about stopping bombing. There is no suggestion of a temporary stoppage of bombing, and I wonder why. I also don't think we've been given an explanation of what SV thinks would be the consequences of stopping the military operations, or what the consequences would have been if you hadn't carried out these military operations, which is actually perhaps the broadest alliance in world history. What would be the consequences if Norway – as about the only country in the world – were to withdraw from this broad alliance? It's been SV's vision. I think we lack an argument and an explanation of what the consequences would have been. So the representative Jacobsen says we have to use power when necessary. And if ever necessary, it must be now that the whole world is in danger of being affected by acts of terror from a network that is vicious, has enormous resources, and has shown a violent will to carry out cruel acts of terror, where the aim is to hit as many civilians as possible and innocent. Then ask the representative Jacobsen if we should go further and bomb in Sudan and Yemen. I don't know that decisions in NATO or in the Security Council would say anything but bombing the terrorist networks in Afghanistan, so that's an entirely out-of-date issue. And when the representative refers to the symbolic nature of bombing, I must refer to the concrete results.
ParlaMint-NO_2001-12-05.ana.ud1368e654	I hope the representative Rise allows me to say that there is some sort of fresh relief from the representative Rise's posts here today, because I actually believe that many in the Christian People's Party have been in as much doubt and concern as the SV was when the acts of war in Afghanistan started. There have also been many in other parties – many in the Center Party and also many in the Workers' Party. And then one has now come into a situation where the representative Rise and others are most concerned about summarizing that we have now succeeded. Well, well, it's probably a little early to make this debate the big victory debate that actually worked out. It is true that the Taliban regime is about to be repressed, but what will be the alternative in Afghanistan depends on the world community being set up. It is correct that bin Laden's network in Afghanistan is now under pressure. But it is not that bin Laden has been taken yet. Many of the main objections that SV had to these bombings are equally relevant now. Has it strengthened the recruitment of terrorist networks in other parts of the world, or has it not? Has it helped to increase the legitimacy of the argument actually put forward in relation to the terrorist action against the United States, or has it not? Then the representative Rise actually has to make an independent opinion, because it's not that it's unknown to the Christian People's Party or anyone else that what's now under discussion is, are we going to move on? Is Iraq the next one? Is Sudan the next one? Is it Somalia that's up for luck? Is it Yemen who's next? Then the Christian People’s Party must take a completely independent view of the following: Is the recipe in the fight against terrorism for further bombing in new countries? Does it bring the world closer to peace and security?
ParlaMint-NO_2001-12-05.ana.ud1368e668	I have to note that the representative Halvorsen avoids responding to the challenges that have arisen here today against SV. I also began to doubt whether the representative heard Halvorsen after I made my main post, because there was no victory post at all where I found that we now have a full victory. I said that the Taliban’s defeat was achieved ‘to a greater extent than many dared to hope’, and that ‘Taliban’s protective room around Osama bin Laden is constantly being restricted’. It is a thorough analysis of what has been achieved in recent Afghanistan. So I think it's too early to celebrate the victory. We haven't got there yet. But I asked if SV could explain what the consequence would have been if we had not gone to military operations. How would the situation of the population of Afghanistan be in front of a winter, if it had not been possible to crack the Taliban power apparatus? In addition, one of my main questions about Halvorsen's representative agreed that she was wrong when she claimed that the Taliban was being strengthened for every day it's bombed. Now she's asking the question: Has the bombing helped recruit terrorist networks in other countries? It's not a claim anymore, but it's a question, which is, of course, currently difficult to answer with certainty. However, I note that we do not receive an answer as to why there is no proposal from SV here today that the bombing should be stopped or that a temporary stoppage should be introduced.
ParlaMint-NO_2001-12-05.ana.ud1368e677	The representative Lars Rise was within what the proposal of the Progress Party would involve in terms of cutbacks in support of the PLO. Yes, what has history actually shown us? How many times do you have to grab each other's hands, then go home – and everything is like before? Not only that, it gets worse too. For us in the Progress Party, it looks like the more money PLO gets, the worse it gets. Does the representative Rise think that everything is going to work out with money from Norway? Maybe it's time to say clearly that what's happening now is not tolerated, and that it has economic consequences.
ParlaMint-NO_2001-12-05.ana.ud1368e686	The background for Norwegian involvement in the Middle East is, among other things, The Oslo Agreement and the major progress made in 1993 – the time when the intentions were agreed. At that time, there was also a strong Israeli desire for Norwegian efforts to increase living standards among others. Palestinians. We must remember that the background to this whole process leading up to the Oslo Agreement was a study of living conditions in these areas – and the Norwegian commitment has also been strongly desired by Israel. Today, there are very strict demands on how the funds are used, and we have no indications of misuse of funds. I therefore see no reason to go along with the proposal that the Progress Party is promoting here today. I believe that assistance to this area, which is so badly affected by conflicts and violence, is more necessary than ever.
ParlaMint-NO_2001-12-05.ana.ud1368e693	The cord shift is over.
