ParlaMint-NO_2001-05-14-2.ana.ud860e24	The called alternate of the Nordland County, Kari Brodevoll, has now taken the seat.
ParlaMint-NO_2001-05-14-2.ana.ud860e172	I want to repeat that for our equality society, it is serious if we are going to get into a situation like that revealed by studies from the United States, a special investigation called "Falling Through the Net", which shows that those who do not get part of this are being cut off from many possibilities later in life. This one has been specially designed for children. When it comes to Morten Lund's questions about broadband development, it is clear that everyone should have an offer. But when Morten Lund is simultaneously talking about ‘real broadband’ — broadband is also defined as that of the actors themselves, those who, if necessary, have to send light and image, as their need – there must be a need and a content. I would like to say that it is natural to return to the state budget for 2002, so that the Storting is informed about progress. At the same time, it is important to keep up the pressure on market players, which has been facilitated by both the previous government and this government. And as I said both in my post now and in previous posts: This is a skill that we have to take together. At least I'm not going to be the one who stands here and comes with some guarantees, because we know that it may be those who have problems getting it implemented, and then we also have to make a plan to solve it. But I assume that the Storting is interested in us taking a common promise here.
ParlaMint-NO_2001-05-14-2.ana.ud860e181	This has been a debate with a lot of tongues. It might have to be like this with such a difficult theme and with such widths in the themes, and broadband is in many ways what goes on. I think we're going to have a somewhat sober relationship with this with broadband. It's clear that it's important, primarily in relation to schools, in relation to municipalities and in relation to businesses and businesses, but I don't think most households in this very near future will depend on a good broadband offer. It's to be expanded, it's to be facilitated, for all intents and purposes, but we must not present it in such a way that it becomes our new religion in many ways. Then we'll get out the wrong way. I have a question for the Council of State. But before I ask that question, I'll comment on this with the OECD and the economy. As I see the report on economic growth in Norway, it was linked to the land-based part of Norway, and we must be clear that overall growth, when we also include the oil economy, is probably not so bad with other countries. So I don't think we should worry so much, and at least don't say it's this industry that's going to save us. So to the question to the Council of State. This is what goes on educational material and the layout of the department sketches, where you have to go into the production side instead of going into the demand side. If the Council of State agrees that the State should enter into and participate in the development of educational material to the extent that it is clearly stated by a government, or should enter the demand side and then leave it up to manufacturers to develop offers that can be added to those to buy it, i.e. schools and students, so they can go in and get it out there?
ParlaMint-NO_2001-05-14-2.ana.ud860e190	I agree with the representative of Reikvam that broadband is of course not alpha and omega, but we have actually seen that those who have now managed to get started have also got businesses linked to the communities. So ask Reikvam if you should not consider going into the demand side for teaching materials, rather than on the production side. I think it's an exciting proposal and question from SV, and I have to say that as Minister of Industry, I have a great sense for that way of doing it in terms of teaching material, and will take it further to the Council of State Trond Giske in the hope that, when SV takes such an initiative, he will try it out.
ParlaMint-NO_2001-05-14-2.ana.ud860e197	So the chord change is over.
ParlaMint-NO_2001-05-14-2.ana.ud860e200	Like the representative Lilletun, we in the Coastal Party are also very concerned that broadband should reach out to the whole people – and to absolutely the whole people, not just to 90 pst. And I think that the Council of States has been very capable of bypassing the question in the substitutions we have now had, so those of us who actually believe and are concerned that everyone should have broadband, are still waiting for the answer whether the state will take the last part of broadband development, that is. non-commercially profitable. Because there are areas in the country where people still live, and where one also wants to maintain the settlement, but where it is not commercially profitable to expand broadband. Now state council gave Horn very positive signals when she was here in connection with media policy presentation. She guaranteed that all of Norway would have access to the new technology. And I have to say that I was wondering if Councillor Horn had back coverage in the Ministry of Finance for the grand promise she made. I am now wondering whether the Council of State Knudsen can possibly give a guarantee in a final post that there is coverage in the Ministry of Finance to promise the Norwegian people that everyone will have access to new technology. In this case, it would mean a lot to a lot of people who are out in the districts wondering if they are going to be a deterrent to development. So it's now so that that's not all that can be sent on broadband, even though a lot can go there. To develop viable IT companies across the country, one must also think about the other infrastructure that is missing in large parts of the country. And there are limits to how much market players can contribute financially in all forms of infrastructure, both the broadband infrastructure and the infrastructure that depends on wheels. There are a number of companies in our country that have a high potential for development in their skills, but are hampered in their development that the physical infrastructure that leads to businesses is too poor. These are too rigid central signals about how, for example, land areas in different parts of the country can be used, so that IT enterprises with competence, development opportunities and the desire to connect to more competent employees and expand their business are often stopped by central signals of where they are allowed to build and where they are not allowed to build. Thus, if IT development is to become an innovative value-creating Norway — everywhere in Norway — the country needs to free itself of its central guidelines in terms of land use in Norway. The State must also contribute to infrastructure both in the form of broadband in the non-commercially profitable areas and in the form of infrastructure linking e.g. the internal western countries, together with the external western countries. We can't have it so that only those along the Coastal Route will have a development, while Fjord-Norway is withering, or, as it says in the Regional Notice, becomes a retreat area for fjord farmers and people who speak nynorrhea and dialect. It's a little bit too tight. If we are to have a total development of Norway, an effort is required on which I challenge the Council of State. Is the financial will of the Workers' Party to invest in the necessary infrastructure, both on broadband, on the road, on the port, and is it willing to spread the technology, spread the investment beyond the Oslo area? It is also a little daunting, when you look at the regional announcement, that the government is suggesting that all IT developments are going to be around Oslo, and they have done their best to contribute to it by joining forces with the Advance Party on IT Fornebu.
ParlaMint-NO_2001-05-14-2.ana.ud860e211	It is no wonder that the debate on information technology and broadband will be covered with great interest, precisely because it will have so much to say to business in the coming years. When we talk about broadband to everyone, I'd like to say that what's in it is that there must be broadband for everyone who needs it. It's not like everyone needs it. It's the one. When one on the other hand is talking about broadband, it's kind of like rolling out fiber for every household in this country. Nor is it the case, because there are more technologies to get broadband on than through fiber. It's quite obvious that we're now using all of the technological possibilities that we have. Also in this area, as in many other areas, there is a tendency to cry out that the state has to make sure that there is broadband for everyone who needs it. Now it turns out that where there is a local commitment and a local initiative, they do this in small communities in a way from the outset and perhaps in advance. So I would like to point out that in this area, the local initiative is perhaps more important than anything else, for the communities, districts or municipalities, or communities, for the sake of the cause, which takes the initiative to do so, builds up and gets what will really be the challenge in the future – it's not the'motorways' as it's often said, but it's the distribution network or the access network – will be in a fantastic negotiating position against those who are involved in the construction of'motorways', and there will be several of them around the whole country. So I'm a little bit hard to understand that a lot of time is going to point out that it's the state that has to go in the head here. The state should be involved, and the Government has pointed to it more than once. So it's this OECD report that tells us that we're going to have little economic growth because we haven't taken advantage of the new technology. The precision of non-oil is absolutely necessary when discussing these questions. But there's no doubt that there's an expression that we have a tendency to have trouble using new technology, and that we're a little bit sideways in that context. When you've been in some discussions in this room about how to develop this in this country, I don't have a problem understanding that we have problems getting started. When we get to the top right now that maybe the richest municipality in the country won't give immigration permits to Telenor and IT Fornebu before the state has secured that there will be collective solutions out there, one has to start wondering when we're going to get started. If there is anything in what is being said here, I will encourage the Government to adopt state regulation plan immediately, so that we can give these companies the right to move in and get started. It's a disaster if you're going to invest hundreds of millions in buildings and then you can't put them into action.
ParlaMint-NO_2001-05-14-2.ana.ud860e222	The other speakers who have asked for the floor on this matter have a speaking time of up to three minutes.
ParlaMint-NO_2001-05-14-2.ana.ud860e225	First I have to apologize for having such a bad voice because of a cold. The IT revolution has already changed and will continue to change society and thus our lives dramatically. It is important to provide an equivalent framework for all citizens, institutions and businesses across the country. People have to have the opportunity to work where they live, says the Council of State Knudsen in her presentation. The Central Party fully agrees with this. But it commits more than words. I come from the district of Hadeland, which consists of three municipalities. Just 48 pst. by employees living and working in the same municipality. It's deciduously the lowest proportion in the whole state. The commuting to Oslo is very big, with the burdens it is for the commuters themselves and their families. In this brief article, I would like to ask the Government for practical measures and proposals for the decentralisation of jobs in general and the relocation of state jobs from Oslo in particular. I'm calling for the relationship between what the government says and what it's doing. The district notification almost does not mention the relocation of State jobs. It's really alarming. In the IT statement, there are only general terms of decentralisation. Nor in the police report that is now under consideration, will the government be particularly district offensive regarding the police data service in Oslo and the material service in Gran. In fact, a pooling of the institutions with joint management, i.e. a co-organisation, is proposed. What many in Hadeland fear is that in the long run this can lead to centralisation by suggesting that the scheme is impractical, with the result that everything has to be moved to Oslo – contrary to what district politicians want. Such developments could not accept either the political environment in Hadeland or Uppland. There is a great deal of commitment to the matter, not least from workers' party politicians, and we fully support that in the Central Party. I also remind you that Uppland lost valuable state jobs when the centres of expertise for special education were closed, among other things. in Hov i Land, and was centralized to Bredtvedt. It was at the Workers' Party's help. Now, the sorenskrembet on Hadeland is on the decline. We hope it won't be as the Government wants, but we're afraid of it. We want the police's data service to be moved to Gran and co-located with the police's material service. There is no shortage of premises or professionals in Hadeland. The last is the case for the Oslo Data Service, where 15 courses are available. Now Stortinget has the opportunity to say what they think by supporting the proposal submitted by me. As far as I am concerned, no one has reported anything about how they will view the proposal, and I am aware that it can be pointed out that the matter is with the Justice Committee. This should not prevent Stortinget from saying its own today in connection with the IT debate, if one wishes to see the matter in full. I bring this up with proposal No. 4 on behalf of the Centre Party and also makes note of a grammatical error, the word ‘and’ being replaced by the infinitive mark ‘z’. The proposal shall then read as follows: ‘The decision asks the Government as part of the relocation of state jobs and co-locates the police’s data service and the police’s material service to the municipality of Gran.’
ParlaMint-NO_2001-05-14-2.ana.ud860e245	Marit Tingelstad has taken up the proposal she referred to.
ParlaMint-NO_2001-05-14-2.ana.ud860e248	I have actually taken the floor to comment on some of the proposals that have been made during the debate, but first a few words that the IT company, as I understood the representative Morten Lund, has had to move to Oslo due to poor infrastructure. Now I am employed by an IT company – perhaps one of the most district-based companies in Norway – that has five offices around the country. The reason why we have to be often in Oslo, is not the infrastructure, but that most things happen here, and you have to have a market contact, you actually have to be a bit of a lot in Oslo. That's where it happens, whether we like it or not, but we're going to fight to be in the district still, as we are per. today. That's what we think we're going to do, and when we're going to get broadband, of course, it's going to be even easier, but it's not a "must" for us to have it so far. If I understood correctly the representative Leif Helge Kongshaug, he was dissatisfied with the budget. I guess the 2001 budget is a collaboration between the Labour Party and the Centre, and the Left is probably still behind the center, if I understand what happened this weekend, right. Then turn to the suggestions. After all, the two proposals by Mr Requam, on behalf of the Socialist Left, have already been received by the Minister, and I would recommend that he turn them into proposals for transmission. The proposal for the representative of Mr Morten Lund on behalf of the Centre Party, proposal No. 3, we also have great sympathy for, and will also recommend that he turn it into a transmission proposal. With regard to the proposal of the representative of Marit Tingelstad on behalf of the Central Party, there is a proposal that comes directly here, and none of us has been prepared for, and we in the Workers' Party are going to oppose it.
ParlaMint-NO_2001-05-14-2.ana.ud860e262	A few reflections around the representative Opseth's post: I'm quite in agreement with him in that one might be very quick to shout at the state at its time, and it probably also meant the central government about the leader of the Workers' Party, Thorbjørn Jagland, who was disunity in the strategy that the center had put up for development. Now, one agreed on it afterwards, and it's okay, but so today there's no call to the state in general. But it's clear that if we just wait and see how far the market goes, there'll be someone who's going to get very into the back yard. There is some pressure here today, and I am partly satisfied with the Council of State when it comes to the pace of feedback – and not only in part, but I am delighted that it will come to the State budget. On the other hand, it's quite obvious that it's very necessary that we also get a common understanding of what's in this trick. I'd like to ask the Council of State about that, for example. it is that the renewal programme should have a dimension which means that it is the municipalities that are willing to invest something in themselves, that gets business to account for the state, and not just those that are now very fast and that we refer to as an example, which is to be given the opportunity, that everyone can have a unified understanding of what it is to represent. It'll be important here. It is also a bit of the same thing as the representative, Stolt-Nielsen, said. There has been a certain occasion for discussion about IT Fornebu here today. Let me say that when we first got the decisions that were made, we all have to hope that one gets good results out of IT Fornebu. But I record that what has so far been reported to be going on is what was actually done by the former government, the very center of research. It's going to be all right. That's good, and it's forward-looking thinking. But everything that was going to happen to the huge area, we see that it's hard to get investment. It does show that this was perhaps more a property project than an IT project. But it's important to know that you're going to have it now, and that you're going to have to pair your legs here, so that it really becomes a competence out of it. But I would be very pleased if we could get a unified solution here today that could be a common understanding of what the renewal programme is, and what municipalities and businesses out there can count on the state to commit themselves to in relation to hard work.
ParlaMint-NO_2001-05-14-2.ana.ud860e275	I still agree with my former integration Kjell Opseth that we tend to call on the state in some contexts where it is not necessary to call on the state. In the case of broadband development, we note that the majority of people here in Stortinget have chosen a form of development. But traditionally, in this country, we have chosen in important, central areas that the state builds up infrastructure. It could be anything from roads to telenor and our entire telecommunications network. It was built out of the state to reach everyone, and it later turned out that it was a good economy for the state as well. We would probably want the state to take greater responsibility on the development side and not just on the demand side when developing broadband networks. What we are now doing in our proposal is asking the Council of State to come back to Stortinget and say whether the market is working. If it works well enough, so that we get an extension across the country and it doesn't become a bias by central strokes getting a faster extension than the rest of the country, that's good. But it's important that the Storting get a briefing on that. So Kjell Opseth says that we are both ‘sidrum’ and ‘sidrum’ – there are no limits to how much is wrong with the Norwegian people. We know that Norway is in the forefront of mobile phone use, and we are in the forefront of using the Internet. So it's clearly wrong to say that we're so very slow and we're so "trapped", as he presents us. Then I'm a little unsure whether he encourages anarchy, or whether it's some kind of Stalinism that comes to light when he tells us that if it doesn't progress in the municipality of Bærum, either Telenor will take over and control the development, or the state will take over and rule the municipality of Bærum. I'm a little shocked by the kind of attitude you have towards the democratic decision-making processes in this country, and we're going to have some respect for it. I accept that we can put ourselves on a more centralist/stalinist line and say that OK, then the state gets to take over, and then we get to control it. But I do not think that is a good solution in the name of democracy. So to the proposals that are available. I notice that we have been given a lot of “attaches” for our proposals, and that should be lacking – that is good suggestions and important proposals. I see that getting a vote here will make them downcast, so I can already say that we're turning them into transmission proposals, and then we're assuming that the Council of State will follow up. With regard to the other proposals, we have great sympathy for the Morten Lund proposal. With regard to the proposal for Marit Tingelstad, it is very local, and it is difficult to decide on it, so I should at least strongly wish it was sent. Decentralizing, moving out workplaces is important, so that's how we agree. But to say here today that they're just going there, we have problems with.
