ParlaMint-NO_2001-05-03.ana.ud1912e95	The representative Ulf Erik Knudsen, who has been licensed, has once again taken the seat.
ParlaMint-NO_2001-05-03.ana.ud1912e340	At the request of the Committee on Family, Cultural and Administrative Affairs, the President will propose that the debate be limited to 1 hour and 15 minutes and that speaking time be allocated to the groups as follows: Working Party 25 minutes, Christian People's Party 10 minutes, Right 10 minutes, Advance Party 10 minutes, Center Party 5 minutes, Socialist Left Party 5 minutes, Left 5 minutes and Twist Party 5 minutes. In addition, the President will propose that there be a replication of up to three lines with replies from the main speakers for each party group and five lines with replies from members of the Government. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2001-05-03.ana.ud1912e351	Today we are debating the media policy presentation that the Minister for Culture presented to us a week ago. The distribution is this year as good as it is about the NRK. The main reasons for this are that the public media policy debate in winter and spring has been largely about the NRC – the board, about the new broadcasting director, about content, about economics and about governance – but also because a big message about media policy will be presented to the whole field, including the whole area. follow-up to the Daily Press Committee. I hope that the idea of such a message will be well received here in the Chamber, and I hope that during the debate the Council of State will get some input into which area should be included in this message. I'll come back a little bit later. The Minister of Culture has been called for in more contexts when it comes to the NRC, perhaps especially when it comes to the issue of governance — freedom. During the year a lot has come into place. We have an outstanding government with which the owner is particularly content, and who likes to have the necessary trust in both the NRK, the owner and the community otherwise. We've also been assigned a new broadcasting director. I have good faith that the board has made a wise choice, and wish Bernander close with the work. It is a very important societal task for which he takes the lead – a responsibility for which the owner sets the framework and conditions at a superior level, a responsibility which requires an effective exploitation of the human and economic resources being consulted, and a responsibility for having the viewer, the listener and subsequently the reader in focus. If the broadcaster closes and all of his added to this, it will be of almost invaluable value to the Norwegian people, cork more or less. In its distribution, the Minister for Culture has provided a warm defence for the NRK as a licensed public broadcaster, both now and in the future. The starting point for the Government and Labour Party is that the media must be secured as much freedom as possible, but at the same time be governed to ensure freedom of expression and information, lack, quality and easy access. So freedom has to be balanced against other social considerations, which I've learned. Other such considerations may be to protect children and young people from adverse effects. So it's not like this that sometimes you can get the idea that NRK is completely free. Nor is it the case that the Minister of Culture, or we who are media politicians here on the Stortinget, should not be able to say anything about the form and content of the NRK, since the NRK is a limited liability company. On the contrary, on behalf of the licensors, we would have to have some clear objectives and guidelines for why and how we should spend $3 billion on radio and TV production. Nor can it be that we are the only ones in this country who can't know anything about the content of the NRK – what's good, what's bad, what should change – but there's a lot we shouldn't interfere with as owners of the NRK. The owner shall govern at the superior level and the editorial freedom must be at the bottom. A public debate on NRKs in particular and media policy in general is very important in a democracy. No one should reject such a discussion, for democracy requires not least an active and free exchange of views on media policy as well. Even I am a little freaked out about different programs the times I sat in the sofa hook and looked at them. We have more and more channels to choose from, Norwegian and foreign. I have to say this year, as I said last year, that I sometimes wonder what we have won this. I still think that the different channels are easy to copy, to run after the same interview items relate to the same issues, and to send programs and serials that are similar to each other more than they differ from each other. I hope that in the future there will be greater shortages in supply and hope that both the NRK and the other actors see this as a challenge. I have noticed that the Council of State sees that the investigations show a positive link between the quality and viewer uptake of the public broadcasters and the quality of the commercial broadcasters. I hope it's right, although it's not open to me. Do we need NRK, when we have so many sources of information and so many forums for exchange of views? Yes, absolutely, in my opinion. I agree with the Minister of Culture that we need as a non-commercial Norwegian alternative in this lack, which sometimes may appear to be an unwieldy youth, which is a major reflection of national culture and national characteristics. It may still be the case that in most cases NRK programs are discussed around Norwegian homes. Everyone has access to NRK, and many have great confidence in NRK. This legitimacy in the fact that many benefit from the offer is decisive for the NRK in the future. If the majority of listeners and viewers do not look at the NRK as a good alternative, there are only questions of time before there will be a requirement to cancel the licence. Of course, people don't want to pay for something they don't benefit from. But people don't expect the NRK to send something that everyone likes all the time, they expect a lack of wide and narrow programs, with new arrivals, reporters and entertainment, with the provision of all age groups and with regard to linguistic minorities – and within responsible frameworks. Parents, for example, wait. that it is safe for small children to watch children's TV on the NRK and that laws and regulations relating to pornography are respected. The Minister for Culture says that the NRK will continue to be licensed in the future. I wrote that down. She says'mainly', I want to say in all, essentially. Awareness of other funding and the ability to sell advertising should be careful to expand. In any case, as the Council of State says, it must be in a clearly defined area and for clear purposes. The NRK shall produce radio and television programmes, not finance them. Among other things, the Ministry will now, in close cooperation with the NRK, start work on defining and defining the public service mission more closely, thus clarifying the programme categories and services they will offer to the population and on the broadcasting surfaces. The distribution does not provide a definitive response to how the NRK will meet the digital world or its funding, but points to different options. It is certain that the NRK will need to be involved in this development and that the transition will entail additional costs. This is what I expect from the Council of State to come back to both in the headlines and in the forthcoming budgets. Speaking of control: It is a pity that the NRK has chosen to send most feature films and several children's programs only in the NRK2. I mentioned this in my article in last year's debate, without the problem being solved. This is contrary to the premise that NRK2 should be a download channel, and it is not over-control by the NRK to point this out. I am therefore pleased that the Council of State is so clever at this point, and I have suggested that the board of directors of the NRK now go through this again and find a solution that is in line with the Storting's instructions. So to some of the questions that the statement doesn't answer, e.g. Press support, including follow-up of the daily press selection, and editorial responsibility, including editorial responsibility for the web newspapers and clarification of responsibilities for the websites, which I have been in the Question Time, and which it is quite important to clarify, as well as new concessions for radio channels and local TV, to mention something. I look forward to a broad review of media policy. I have been an election observer in several countries for the past few years, and have seen even more clearly the importance of democratic development for lack and freedom in the media sector.
ParlaMint-NO_2001-05-03.ana.ud1912e377	It's going to be line change.
ParlaMint-NO_2001-05-03.ana.ud1912e380	The representative, Ausdal Starrfelt, was in many places, not least when it came to the policy of the NRK. She also touched on this with the freedom of advertising, and I noted a slight nuance difference in view between the representative Ausdal Starrfelt and the Council of State. The Christian People's Party wants an advertisement-free NRK, and I think there's a broad consensus in Norway that we want to have a channel where we don't turn off or switch over on other channels when the advertisement comes and we want to be protected from the commercial impact this gives, and that we go far, very far, in defending the freedom of advertising. Then I have registered that the Council of State says in ‘all’ essentially, while the representative Ausdal Starrfelt says in ‘all, all’. I want to challenge the representative Ausdal Starrfeld on what it is in this. What is the difference between ‘mainly’ and ‘mainly’? It's not that long since we had a debate here in the Chamber on the ABM message, where the Workers' Party's fraction spent the whole debate fighting for a principle called the 'free principle', and then they stood on it completely. Here I think that you are not so concerned with principles that you are also crushed at the National Labour Party meeting as late as November, where you said that the NRK should be free of advertising. Then my question is: does the representative Ausdal Starrfelt think that the Council of State is moving beyond the programme of the Workers' Party, and where is this difference of hue that we have recorded between the representative Ausdal Starrfelt and the Council of State?
ParlaMint-NO_2001-05-03.ana.ud1912e393	Three letters can make it possible to make up a line. I said "all, all". And it may turn out to be a little bit of a nuance in the vision between Minister of Culture Ellen Horn and me, but I don't think we'll find out until we make this concrete – when we're going to decide if we're going to open up to some limited possibilities, we'll find out if there's any difference between 'all' and 'all, all' essentially. I'm skeptical, and I'm, like the Minister of Culture, very busy that the NRK should not primarily be busy spending money, but using the money they get, in the best possible way for the community. It's clear it's the Workers' Party's program that's indebted. But then the Labour Party in some earlier times has said something about seeing if you can find other sources of income, and that's probably what the Council of State is thinking about. If NRK e.g. the production of films which the broadcaster of other countries wishes to purchase would not prevent them from selling them. So there may be other ways of getting income that won't weaken the quality of television or radio in Norway, but on the contrary, give income to increase quality. So I'm a little bit open to evaluate it, but I'm probably very skeptical and afraid that we'll get into a slide. If we have first opened up for something, it is sometimes easy to expand it further. But, as I said, whether you're disagreeable or not, I don't think we can figure out until this gets concrete.
ParlaMint-NO_2001-05-03.ana.ud1912e400	This one's not working! [[button controlling the height of the intercom]] The representative of Ausdal Starrfeldt was concerned that the NRK2 would be a relief channel. The right voted against the creation of this relief channel in its time, but I still have to ask the question, when the Minister of Culture and the representative of Ausdal Starrfelt are concerned with two categories of programmes that must benefit everyone through the NRK1. Kids software, I think there's little discussion about it. What is a children’s programme is part of the public broadcaster’s clear mission. But when it comes to movies, I'm a little surprised. Sending American motion pictures has never been part of the core business of a public broadcaster. So my question to Ausdal Starrfelt is: Does the Workers' Party define American and other feature films as one of the main roles of a public broadcaster, as it's already become so important to move it over? I can also add in parentheses that NRK2 gets an ever better coverage, as soon as most people have access to the channel. The second question relates to who is most opposed to advertising in the NRK. I just want to remind you that there were two parties in this room that a few years ago voted against the introduction of advertising on Text-TV on the NRK, and that was Right and SV. It was because we wanted to keep the NRK free of advertising. We wanted the NRK to cover its business through its licence revenues. So it surprises me a little bit that the Workers' Party has suddenly taken a position that now you have to be very restrictive when you can download ring sounds and advertisements for your and your daughter from the Text TV pages on the NRK. Does Ausdal Starrfelt think it is a good thing that the principle of advertising was implemented on NRK Text TV, which is closely linked to the public broadcaster? Most people don't see the difference between Text-TV and ordinary TV when they're in the channel.
ParlaMint-NO_2001-05-03.ana.ud1912e411	For the sake of order, the President will draw attention to the fact that the pulpit can be raised and lowered, but with significantly less noise than before. It's encouraged to test this out at the next article!
ParlaMint-NO_2001-05-03.ana.ud1912e414	I also wondered about this work, but it did! [[speaks]] Yes, feature movies can be nuclear. And even if it wasn't, it has a lot to do with legitimacy. And that's what I think the Council of State is putting a lot of emphasis on in its calculation. We have to make sure that people are content with what the NRK is sending. Currently, there's not a full coverage for NRK2, and there's something a lot of people like to see, it's a movie. Then, in addition to thinking that movies may be part of the core business, we need to add weight. When there is restrictiveness in relation to advertising or other revenues of the NRK, I was not in the previous round where Text-TV was treated. But I have a view that we have to decide on the matter, and my starting point is that I want to be restrictive. I don't think I want to say more than that. When new issues arise, new questions relate to this, we will be able to discuss it. Then I'll be there to discuss it. But I have a restrictive view. I mean, one of the main qualities of the NRK is that it's unadvertised. We found a practical solution when there was a gallant sponsorship income in the previous round, and in parallel with having a restrictive view, I have a pragmatic view of this. We'll have to take a case when they get here. And then I don't want to go over this with Text-TV now.
ParlaMint-NO_2001-05-03.ana.ud1912e423	Many people feel that it is unfair to pay a licence that increases for each year without feeling that the NRK is more used than before – rather the opposite. TV 2, TVNorway, TV3 and other channels get an ever-increasing share of the audience's favor. A rather poor coverage of the NRK2 also applies as an unfair moment. Does the Workers' Party see a thank you for how large the compulsory licence should be for each of us? As the Labour Party representative is sure to know, the Progress Party wishes to gradually reduce the licence and replace it with other sources of income and improve its efficiency.
ParlaMint-NO_2001-05-03.ana.ud1912e428	For the Progress Party, most of the taxes and taxes imposed are unfair. We don't think so. We think license is a good way to fund a public broadcaster. It's not Norwegian in particular either. I haven't seen any number that the license money has actually increased more than the price rise otherwise – so I don't know that. I have no experience that what you pay yourself has been relatively expensive than other things. Whether there should be a roof — it should be relative. The working party has not assessed whether we should set a percentage or a percentage limit on how high it can get. That's what we're going to do after quarter. So talk about the Progress Party and others as if everything else were free. There's a lot of things that we see on television that cost money. Either it costs – for some of us – irritation in the form of many interruptions with lots of advertising, and/or it costs money to get it installed, in the form of cables, in the form of antennas osb. So it's not like everything else is free. It's not like that, as far as I've discovered, even though I'm not a big TV viewer who spends most of my time on it, that the NRK is the most expensive – at least not if we see it in terms of width, amount and quality.
ParlaMint-NO_2001-05-03.ana.ud1912e436	The cord shift is over.
