ParlaMint-NO_2001-12-19.ana.ud51e69	The representative of Ågot Valle will make a private proposal.
ParlaMint-NO_2001-12-19.ana.ud51e202	The President has three more follow-up questions. It's Siv Jensen, it's Eli Sollied Uppereas, and it's Karita Beckem between Orheim. Then the president can't let anyone else go to follow-up questions. And then the president has to ask all the participants to respect the speaking time. Siv Jensen – for follow-up questions.
ParlaMint-NO_2001-12-19.ana.ud51e207	As we know, it's the private kindergartens that have been responsible for the largest supply of new kindergartens in the last few years. For a time, the three government parties, together with the Progress Party in Stortinget, were in favour of proposing tax incentives for employers who paid for operations for their employees. Could it be that the Government would consider thinking a little new even when it came to the nursery provision, so that a tax incentive scheme could be considered for enterprises that built kindergartens for the children of their employees?
ParlaMint-NO_2001-12-19.ana.ud51e212	We have no plans for that, but it is clear that it will be a well-founded proposal or a well-founded idea, we shall take this for granted. But what this government will propose, and as I have announced, is that we should facilitate the situation of many private kindergartens that do not receive municipal grants, by getting the entire government grant together in one pot. I think that will improve the situation for very many private kindergartens, but that will primarily improve the situation for parents who have children in private kindergartens. So it was this government that took the initiative. It's a tool to bring down prices, not just in public kindergartens, but in all kindergartens.
ParlaMint-NO_2001-12-19.ana.ud51e217	Eli Sollied Practices – for follow-up questions.
ParlaMint-NO_2001-12-19.ana.ud51e220	The Prime Minister said that the Government will introduce a new incentive scheme for the private and municipal kindergartens. This means that municipalities substantially lose transfers from the public, transfers to the nursery sector. I know that there are high-needed kindergarten children who do not fall within the scope of ‘disability’ and are therefore not priorities for consumption. These children, with psychosomatic diseases, speech flaws, problems that can result from abuse, have mainly kindergartens in public kindergartens. These children require extra resources, and the municipalities are responsible for the total childcare provision. What will the Government do when I introduce what I want to characterize as price financing? Should a private nursery instruct to bring in these children? And who is going to cover the costs that go beyond the price financing?
ParlaMint-NO_2001-12-19.ana.ud51e229	First, this applies to approved private kindergartens. They must, of course, be approved in accordance with certain criteria. Secondly, this does not mean that municipalities receive less money at the disposal of the public kindergartens. The subsidy to municipalities in the kindergarten sector shall be paid to kindergartens and only to kindergartens. The municipalities will get the same amount as before to all the municipal kindergartens. The point of this subsidy scheme is that private kindergartens that are approved should also receive the same government subsidy as municipal councils in order to reduce prices. I find it hard to understand that the Senterpartiet should not be against those who send children to private kindergartens, which make up such a large part of the kindergarten offer today, being guaranteed price reductions similar to those in the public sector. It would surprise me immensely. It's just by taking such a grip that one has the opportunity to do it.
ParlaMint-NO_2001-12-19.ana.ud51e236	Karita Bekkemelm Orheim – the last follow-up question.
ParlaMint-NO_2001-12-19.ana.ud51e239	I would also like Prime Minister and Mr Bondevik to have a really good Christmas. I must say that I think Bondevik today is going quite far in giving the characteristics of the former Stoltenberg government and what happened in this field, at least when we know the history, because the story is that when Bondevik was last in charge, the kindergarten expansion in this country fell like a rock. It has never happened more in this field than after Stoltenberg took over power. More money was put in. We can talk about 70 or 80 pst. But what's crucial is how much money we spend in this sector. We know that there are many people today who do not have the opportunity to apply for a nursery because the price is too high. That's why the important political question here, as Stoltenberg also asked, is whether Bondevik is willing to add NOK 5 billion, so that we get at a halve of the price. Then I also want to challenge Bondevik with a specific question: does this mean that he wants to take out NOK 3 billion in the municipal bill that he is going to submit to the spring?
ParlaMint-NO_2001-12-19.ana.ud51e250	I'd like to return the Christmas greeting to my good Møre and Molde colleagues, Karita Bekkem between Orheim. Unfortunately, it's not as simple as she said, that it's crucial for kindergarten development is how much money you put into the budget. We have seen under changing governments that a certain number of billions have been allocated to kindergarten development, and then the kindergarten development in the municipalities or in the private sector has not been large enough in that budget year for that money to have been used up. It's not like just the budget is important. There is a willingness to expand in municipalities and in the private sector to determine the number of physical kindergartens that are simply being built. I think that is not least the experience of Bekkelem Orheim as a government council in the department concerned. But we stand firm for what I have said. We want a real, full coverage of needs, no matter what percentage it should mean, and we have an ambition for halving child care prices gradually. That's where I think the Labour Party and the cooperation parties stand together, and we've taken a step to get it done in all kindergartens, not just in public.
ParlaMint-NO_2001-12-19.ana.ud51e260	Let's move on to the next main question.
ParlaMint-NO_2001-12-19.ana.ud51e263	I would like to ask questions to the Prime Minister. Today, the news on the radio announced that gas stations will be closed due to the removal of the freight balancing system on petrol and automotive diesel. We already know that we can get a cost increase of up to 50 ounces in some areas. State Council Victor D. Norman said in this regard that someone has to pay the costs, that there are limits to what to subsidize. For me, this is not to consider subsidisation, but as the balancing of distance costs. I would like to ask the Prime Minister on a general basis: does this government hold fast to the principle that it is a goal of balancing distance costs? Or does the Prime Minister agree with his State Council that there should be limits?
ParlaMint-NO_2001-12-19.ana.ud51e272	The difference in distance costs should generally be offset. However, with regard to the message today that gas stations are threatened with closure because of this, I am rather surprised to say. The truth is that petrol is cheaper in the districts too today, and it's going to be cheaper next year than it was a year ago. That's the truth, because the petrol charges are reduced. So the price is going to be lower, even with the loss of a very small, non-comprehensive fractal balancing system. People in the districts will therefore drive cheaper to next year than they did a year ago. That's the truth. I heard a radio today from an SV representative who spoke very strongly against this. But, as far as I know, the SV was opposed to cutting down the fuel tax and would thus in reality have gone into the districts for a higher price than is now the case.
ParlaMint-NO_2001-12-19.ana.ud51e279	It's true that the Prime Minister claims that gas prices are falling, but that differences are increasing. I would like to ask a follow-up question to the Council of State Norman. Since the new Energy Act came in 1990, we have had a system of balancing energy prices, where the same electricity price is paid regardless of whether you live in the municipality where the power is produced, or whether you live in the capital – a self-financing freight balancing system in which all consumers are involved in paying the shipping costs. Does the Council of State also consider this scheme to fall within the concept of ‘limits on what to subsidise’? Or does the Council of State want to maintain this system?
ParlaMint-NO_2001-12-19.ana.ud51e288	I would first like to point out that the representative Enoch quoted me incorrectly. What I said was that all the real costs have to be covered in some way -- I didn't refer specifically to the exact shipping costs. We cannot put in place a system where all the cost differences in society are covered by public subsidies. With regard to the general issue of distance costs, I fully agree with the Prime Minister that it is an objective that we should reduce distance costs in Norway as far as possible. Fracturing schemes may be an appropriate instrument in this respect, but we must at the same time be sure that they work properly and that costs are proportionate to the results we achieve. The case of the cargo fee on petrol is that it does not meet those requirements.
ParlaMint-NO_2001-12-19.ana.ud51e295	Three representatives have drawn up follow-up questions – Øystein Djupedal, Karl Eirik Schjøtt-Pedersen and Magnhild Meltveit Kleppa – and the President will let it go.
ParlaMint-NO_2001-12-19.ana.ud51e298	I would like to ask a question to Prime Minister Bondevik – as a follow-up. Of course, it is true that SV has not been in favour of a general reduction in petrol prices, but we have been very clear that we want a relatively equal price across the country. So the Fracturing has worked according to purpose. The millions of dollars the state has contributed, making the gas price relatively more than it would otherwise have been in District Norway. The last time this matter was up in Stortinget – that is, as a matter of its own, because it came three times under the central government of Stortinget – the central government with Bondevik proposed, with the support of SV, a self-financing freight balancing system, i.e. not an allocation of the state budget as the scheme we have today. The reason why the central government and SV went into this at the time was that we saw that there could be a danger that the scheme might disappear if we got a civil majority. Then it became a bourgeois majority with Kjell Magne Bondevik as Prime Minister, and then suddenly the whole system is removed. My question to the Prime Minister is this: Does he stand firm in what he previously thought should be a self-financing freight balancing system to compensate for the disadvantages of transporting fuel to the district gas stations?
ParlaMint-NO_2001-12-19.ana.ud51e309	First to the introductory part of Djupedal's question. The interesting thing for people in the districts must be the real gas price. As far as I know, SV has opposed the reduction in the petrol tax. If they compensate some of it again through a freight balancing system, the truth is that after the cut in the fuel tax, the petrol gets cheaper in the districts than it was a year ago. That's the naked fact, and it can't Djupedal either smile or talk away from. When it comes to the question of a self-financing freight balancing system, we like to look at it. When we proposed it in the previous government, it was because we did not find that the current system was particularly good and accurate. That was one of the reasons why a different model was proposed, which the majority unfortunately rejected. Whether this would be possible with another majority now, we don't know!
ParlaMint-NO_2001-12-19.ana.ud51e316	The Prime Minister answers the whole side of the question. The core question here is that the gas price in the districts is going to be 50 cents higher than it is today, and it's going to be 50 cents higher than it is in the central strut, because the freight equation you've had up to now is going to be gone. Mr. Bondevik I argued strongly to develop the freight balancing system, and Mr. Bondevik II proposes to delete it completely. This is not just a question of petrol, it is also a question of fuel oil in those areas that have the worst climate. There is also talk of the price of fruit and vegetables increasing by 1.25 kroner per day. kilos in some districts, and that the price of milk increases by 20 øre per. liters in some districts as a result of the position the Christian People's Party has now taken, but they didn't have in the past. Is this a fair distribution policy?
ParlaMint-NO_2001-12-19.ana.ud51e323	This government is responsible for an active policy of distribution. The central part was able to push the Workers' Party to last year, i.e. halving the food tax, making the food prices on average almost 10 pst. cheaper, even in the districts. It was Karl Eirik Schjøtt-Pedersen as Minister of Finance at first against, but he had to bow to parties in Stortinget. It was good distribution policy that we were able to get the Workers' Party involved. In the case of the gasoline freight effusion, the effect of this is from 0 up to 30 to 40 øre in most places; in some places it can be 50 to 70 øre. But it's not common with an effect of 50 cents, which Schjøtt-Pedersen now expressed. What is now the result of economic policy [[President clubs]]
ParlaMint-NO_2001-12-19.ana.ud51e332	Respect for speaking time applies to everyone.
ParlaMint-NO_2001-12-19.ana.ud51e336	The most interesting question for people living and living in the districts is not the gas prices, but whether we have a government that still wants to have a freight compensation fund and other arrangements to limit the distance costs. We have a government that has so far profiled itself in tax squares, which we know is very biased and not for the benefit of the districts. A few years ago, the NRK had a programme that had the title: Sogn and Fjordane, Norwegian breastfed, which clearly showed the value stream that goes from the districts of the big community and that showed the interaction between the city and the country – whether we should have an equivalent living environment. Do we have a government in this country that is busy reducing distance costs, and that is busy keeping the pattern of build-up by layers?
ParlaMint-NO_2001-12-19.ana.ud51e345	We have. What I think people out in the districts are concerned about is their real costs. The truth is that at the beginning of 2002, people in the districts will get cheaper petrol than for a year back, cheaper food than for a year back, cheaper air travel than it was for a year back, will come in 2002, and they will get cheaper loans by reducing interest rates. Only half the percentage in interest rate reduction means 400 million. kr in increased action rooms for Norwegian municipalities. That's what I think people in everyday life will be concerned about. The government will pursue an active district policy. We have also highlighted this in the budget by increasing road appropriations and by improving the financial framework conditions, not least for small and medium-sized enterprises, which we have so many of them in the districts.
ParlaMint-NO_2001-12-19.ana.ud51e352	Let's move on to the next main question.
ParlaMint-NO_2001-12-19.ana.ud51e355	I also have a question for the Prime Minister. When several of the leading Labour Party politicians are so interested in peace, perseverance and reconciliation today, I too, like them, will be allowed to wish the Prime Minister a really good Christmas and a peaceful new year. So I would like to ask about the economy and the use of oil money, which the Prime Minister is very concerned about, especially about the so-called rule of action. He says you don't have to spend more than that and so much oil money. For the current year, it turns out that you have not followed up all the things that were meant to be done during the year, because you have actually charged a significantly higher amount of taxes and charges than what you provided for, approx. Fifteen billion more. You've actually demanded more than what you planned in taxes and taxes from the Norwegian people. Is there a fundamental view of the Government that at the end of the year you can't make any changes to this money in terms of reducing anything on the tax burden you have, that is, refunding some of the tax money you've taken, which you really didn't intend to take in?
ParlaMint-NO_2001-12-19.ana.ud51e362	I must also thank Carl I. Hagen for the wish for a Merry Christmas and a peaceful new year. The last can not least Hagen himself contribute to it. I also want the parliamentary leader of the Advance Party to be both Merry Christmas and Happy New Year, and as peacefully as possible both domestic and foreign. With regard to the use of oil money, there are two important elements. One is that we don't use more than real returns, so we don't eat of what's supposed to be the welfare base for future generations. There is an important argument behind the rule of action. The second important element in the use of oil money is what the Norwegian economy has the capacity to withstand, without getting a price, pay and then interest rate increase. There is our assessment that the 2001 budget became such, even now, at the end of the year following the effusion, that it has been adapted to economic developments. We know that now we've got the first of hopefully multiple interest rate reductions. We have an interest rate level in Norway that is significantly above the average in Europe. We should go down further. We have now started that, and it is important that we do not, therefore, release more money into the Norwegian economy than the capacity required. That means that I'm also not in favour of a reduction in tax rates at the end of the year. The reason for the increased tax intake is an economic activity which has increased the tax base without increasing the tax rates at the end of the year. That's why I don't think it's right to reduce the rates even if the entrance gets bigger. But for the next year, as Carl I. Hagen well knows, there is a significant tax relief that most people will benefit from.
ParlaMint-NO_2001-12-19.ana.ud51e371	With regard to the Prime Minister's statement that I may be able to help if he gets a full year of peace, I would like to reiterate that my possible contribution in this way will also have some bearing on the conduct of the Prime Minister and the political positions of the Prime Minister. It's probably a mutual addiction that I hope the Prime Minister remembers. So the prime minister says you don't have to spend more than that and so much oil money because of your return. The truth is that roughly no oil money was used at all in 2001. It was charged to spend NOK 12 billion in the original budget, and it has been spent NOK 11.4 billion less than planned. Then there has been room in the economy that has been drawn into the state treasury. So that's what you can do when you get more money between your hands. Among other things, we have In Norway too, it is a problem of poverty. Would it not then be natural to use any of these means to make life something better for those who are struggling the most now before Christmas?
ParlaMint-NO_2001-12-19.ana.ud51e378	We are fully aware that how peaceful it becomes next year, at least internally, depends on the behaviour of the Government and the Prime Minister. We think about that every day. We think about Stortinget every day, I can assure the representative Hagen about that. And then we think, among other things. even in the Party of Advancement, which is an important party in the Grand Duchy. In terms of space in the economy, I am thinking not only that one stays within the framework of the rule of action and uses no more than the real return of the petroleum fund, but also that space in the economy does not least depend on what we have the capacity to do. We still have a very tight labour market. We are committed to creating greater space in the economy, also by having controlled increased labour migration. It will make it easier to spend more money to invest for reasonable purposes, without wages, prices and hence interest shooting speed. Starting to change taxes and taxes in December, I don't think it's wise. The poverty problem is that we are actively engaged in combating, and we have put 250 million more into next year's budget than the Stoltenberg government proposed.
ParlaMint-NO_2001-12-19.ana.ud51e387	There will be follow-up questions – Siv Jensen. Before I release Siv Jensen to, I would say that I understand that the representatives are concerned about each other. The President for his part is most concerned about the speaking time at the moment.
ParlaMint-NO_2001-12-19.ana.ud51e392	I'll try to keep it. It is interesting to hear the Prime Minister justify changes in the new age with the real return on the petroleum fund, and what the Norwegian economy tolerates. When the Progress Party asked the government questions about seeing the changes in the recent ageing in relation to the action rule, we were told that the rule of action was immaterial to this new aging, simply because it was not fully operational for the current year. What the government has thus dealt with is not the rule of action, but the previously structural oil-corrected deficit considerations that we used. The reality is that we first decided to use approx. $12 billion of the oil wealth. A year ago it was said that it was very responsible, that the budget was very balanced and that this was very correct. And it was also an aged budget, for which the Prime Minister himself contributed to the creation of a majority. Then we would have revised. Then the amount had dropped to NOK 3.7 billion, and now it's dropped to zero. How can the Prime Minister explain that?
ParlaMint-NO_2001-12-19.ana.ud51e403	The explanation is that there has been a significantly higher tax input, without increasing rates due to the high economic activity. But what is important now in economic policy is to have stability and long-term sustainability and to create confidence in the market, so that we can have a continued decline in interest rates. If we were to start changing the economic environment just before Christmas for the year that's about to end, it wouldn't be trusting, and it wouldn't create the stability that's needed to get further interest-rate reduction. And since the president has looked at me strictly a few times in terms of speaking time, I'm going to meet him now by ending long before the time is up.
ParlaMint-NO_2001-12-19.ana.ud51e412	There again the president took the lost. Let's move on to the next main question.
ParlaMint-NO_2001-12-19.ana.ud51e418	I think I'd rather send the Prime Minister a nice Christmas card and use speaking time here to talk about the very serious situation in the Middle East. I wonder what is really the position of the Christian People's Party and the Government in relation to the conflict that is going on. The reason why I'm very surprised is that the People's Future, the Christian People's Party's own body, in its article of 7 December, has a very small flat drawing of President Arafat, as a rat, and a trendy article in relation to the balance between Palestinian and Israeli interests. But from a very large number of other teams, there are now many who protest against Israel, which is an occupying power, undermining President Arafat, who is the legitimately elected leader of the Palestinians. I would like to know what the Prime Minister thinks about Sharon's undermining Palestinian authorities, their actions in Palestinian territories, and whether the Prime Minister believes that Israel is an occupying power.
ParlaMint-NO_2001-12-19.ana.ud51e425	It would be unnecessary for the representative Kristin Halvorsen to demand the Government's position. It has made clear several times both the Minister of Foreign Affairs and the Prime Minister himself, including with regard to Israel's relationship with Yasir Arafat. Our perception is the same as Christin Halvorsen expressed. He is the legitimately elected leader of the Palestinians. And I think it's unwise – and has expressed it – that Israel is currently trying to declare him irrelevant. That, in my view, is not the reason. But we have also stated, and I will insist, that President Arafat should and could have done more to arrest known terrorists, whom he, as far as I know, has also been given a list of. In this way, he could hopefully have prevented or at least reduced the escalation of violence that we have now had through the many terrorist acts on the Palestinian side. But I have also stated directly to Prime Minister Sharon that I think Israel should have ended its attacks on Palestinian targets for the longest time, for this has only helped to further escalate violence in the area. So we have addressed a balanced appeal to both parties: refrain from violence, come back to the negotiating table! And it's also my appeal when someone is about to go into the Christmas weekend also in the country where the cradle was standing, which is why we're celebrating Christmas now.
ParlaMint-NO_2001-12-19.ana.ud51e432	A short follow-up question, because the actions that Israel is now carrying out in relation to Palestine undermine both the authority of Arafat and the actual ability to do something with the extreme environments such as: performs suicide actions. Israel’s behavior will only lead to an increasing number of those willing to make their own lives to cause further suffering to the Israelites. I would like to know why the Norwegian Government did not support the resolution in the Security Council asking for international observers in Palestine, and what Mr Bondevik believes is necessary in order to find a solution in the Middle East. The key here is to put pressure on the United States. It's the United States that can beat Sharon on the table, and possibly withdraw support. Will the Government take such an initiative?
ParlaMint-NO_2001-12-19.ana.ud51e439	I agree that part of the Israeli attitude undermines Arafat's ability to exercise the authority he should, but the image is probably not quite as simple. Arafat had opportunities to do more in the past, and we should not underestimate the fear of the Israelis living daily when they know that among them there can be suicide candidates who put many lives at risk, as we have also seen that they have been willing to do. So the appeal must also go to the Palestinians and their leadership to do more to prevent this. With regard to the Security Council resolution, we found, after careful consideration for a few important reasons, that we would like to follow. The United Kingdom’s attitude. First of all, we believe that the resolution did not clearly and strongly distance the use of violence in general and terrorism in particular, seriously enough. [[The President clubs.]] I'm sorry, is it time? Then I'll come back to the second argument.
ParlaMint-NO_2001-12-19.ana.ud51e446	There will be follow-up questions – Bjørn Jacobsen.
ParlaMint-NO_2001-12-19.ana.ud51e449	Norway has contributed financial support to build up the Palestinian police force, and many good Norwegian service staff have also been there. But what has recently happened is that one has directly broken the police headquarters in Gaza, and then one afterwards comes and demands action against suicide bombers. So, Israel demands Palestinian action, so to speak, to deprive the Palestinians of the opportunity to actually act. I would like to ask the Prime Minister whether Norway will protest against the fact that the Norwegian civil effort, through the establishment of civil police, has been destroyed.
ParlaMint-NO_2001-12-19.ana.ud51e454	Just to complete the answer to Kristin Halvorsen first. The second important argument to refrain from voting in the Security Council was that the whole purpose of such Security Council resolutions must be to bring the international community together in unisonary pressure against both parties in the Middle East. It was not appropriate for this resolution. It was found, among other things. knows that the United States of America has vetoed. And one is right, as Kristin Halvorsen had in mind, that the United States plays a key role. That is why this resolution was not appropriate in its form. In the case of arrests of terrorists on the Palestinian side, it is not the case that Israel has only made those calls after bombing, among other things. police stations. There was an appeal they came over and over again before, but it was not followed up enough from the Palestinian side. That was the problem, and that was why the patience then evidently ran out on the Israeli side. But that does not mean that we from Norway support all these Israeli attacks against the Palestinian side. We've prepared that.
ParlaMint-NO_2001-12-19.ana.ud51e463	Odd Roger Enoksen – for follow-up questions.
ParlaMint-NO_2001-12-19.ana.ud51e466	I would like to give the Prime Minister the opportunity to elaborate a little further on why Norway abstained from voting on the UN resolution. Norway has been a driving force in its efforts to achieve lasting peace in this area, and the deployment of observers in the West Bank and Gaza would have been an important contribution to achieving this. I think the Prime Minister went a little over that part of the question from the representative Halvorsen. Therefore, I would like the Prime Minister to clarify the reason why Norway abstained from voting in the UN Security Council on this matter.
ParlaMint-NO_2001-12-19.ana.ud51e473	This was a resolution that not only dealt with the question of outsourcing observers. It also had other elements in it as the Government did not address well enough the situation in the Middle East today, because it did not take enough seriously the use of violence and terror in particular. The second reason was that this resolution was clearly not suitable for bringing together the Security Council. And resolutions in the Middle East, which are not suitable for that, are not, in our opinion, constructive in the situation. This resolution would in any case not have been adopted because of veto, and it goes without saying that this was not a constructive element in today's situation in the Middle East. It is quite right, as the representative of Enoxsen says, that Norway has played and wants to continue to play – if the parties so wish – a role in bringing the parties back to the negotiating table if possible. There is also, of course, behind any assessment by the government. We have to trust both parties, not just one of them.
ParlaMint-NO_2001-12-19.ana.ud51e482	Let's get on with the main questions.
ParlaMint-NO_2001-12-19.ana.ud51e486	We return home again, and I allow myself to ask the following questions to the Prime Minister: After all, the government has received strong criticism of the strong cuts in food and district policy. At the latest today, the Prime Minister has actively defended the reversal of the Christian People's Party. But there has been a flood of protest letters, not least from the Prime Minister's own home country. And it makes the impression when the rapporteur in the only municipality where the Christian People's Party has a pure majority, rages and says that 'this policy I will not give a hint of back coverage'. And even more eye-catching when a State Secretary in Bondevik's own government, Arnfinn Ellingen, says: ‘The budget for the next year is too poor for a rural profile, and this has to be done. Prime Minister Bondevik cannot be responsible for this...’ Does Bondevik agree with his State Secretary, and does it make sense when a state secretary in his government feels the need to take such a distance from government policy?
