ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e67	The representative, Erna Solberg, will present a private bill.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e217	The main objective of today’s Odelsting Proposition is to legalise key aspects of the monitoring service’s tasks. The legislative proposal forms part of the follow-up to the Danielsen Committee’s 1998 NOU:4 investigation into police surveillance services, and the Ministry’s proposals are based mainly on the evaluations and recommendations of the sample. The question of the need for regulatory regulation of the EOS services has been discussed in the past and a law has already been implemented for the other two services, the Defence Intelligence Service and the Defence Security Service. A natural follow-up to this work is a legalisation of the tasks of the monitoring service, which has until now been regulated only by instructions. The proposal also mentions different aspects relevant to the monitoring service in addition to the purely regulatory regulation of the tasks of the service. In this way, we want to explain the overall follow-up to the Danielsen Committee's investigation. Proposition production, evaluations and conclusions are based on the continued need for a surveillance service in Norway, albeit renamed security service, and the organisation of the service as a special police body. In addition, it is considered that the two-track liability system, the relationship between the Minister of Justice and the overall responsibility of the prosecution authority for the activities of the monitoring service should be continued and that the monitoring service should continue to have investigative and prosecution competence. I am not going to go into the individual proposals on what will be the future tasks of the security service. The rapporteur has had a good review of it and the proposed legislation is consistent with that which has been the framework for the tasks of the monitoring service according to the applicable instructions. However, I would like to highlight a few points. The monitoring service’s assistance and advisory function relating to security measures in various public and private establishments and enterprises is included, at the discretion of the Ministry, as a central part of the prevention activity in the core areas of the service. We have not considered that necessary to propose the law. Nor is it considered necessary to highlight in a separate legal provision that the surveillance service should, where appropriate, carry out necessary checks on residents and permanent residents, and that the service should also be allowed without such a provision to take preventive action against non-residents in Norway, if this is necessary for the performance of the duties of the service. Cooperation with the police authorities of other countries, security and intelligence services is so important for the Monitoring Centre that the task is proposed by law. The same applies to the preparation by the Monitoring Centre of threat assessments for policy authorities. I would like to clarify that the threat assessments referred to here are, first of all, the national threat assessment to be carried out, as also described by the representative of Dørum, in accordance with special procedures related to the national priority of what the security service is to work on within the regulatory framework in force. And I want to stress that the process is now also being carried out in such a way as to try to involve others than the monitoring service itself as an adviser, such as. NUPI and the Defence Research Institute, just to get control and to get a different view of what the current threat picture really is. I think it's a very good and a very correct improvement in the way the surveillance service works. And that's for example. in the annual threat assessments that political authorities can demonstrate that it is a central task to pay particular attention to right-wing remote environments, neo-Nazist groupings as they emerge. When regulating the activities of the monitoring service, the organisation of the service should also be referred to in general. It is therefore proposed to establish in the form of a law that the service is a special body of the police and that the special body is managed by a central unit. I am pleased that the majority of the Judicial Committee endorses the Government's proposal for new provisions of the Police Act on the duties and organisation of the surveillance service. I am of the opinion that the bill takes account in a balanced manner of the concerns expressed in relation to other police agencies, the Defence Intelligence Service and the Defence Security Service. Finally, I will take with me the invitation from the representative Dørum and can join me in much of the assessments he makes of the need for both transparency and secrecy.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e240	No more people have asked for the floor on case No. 1st@item: inlistbox [[Footing, see page 486]]
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e254	As rapporteur, I would like to point out that access control through various forms of coding and encryption must have an economic motive for being covered by the EEA Directive. In Article 4, the Directive provides for a ban on business activities relating to equipment providing unauthorised access to information society services. It is for each Member State to decide whether to prohibit, in addition, the private holding and use of piracy equipment, but internal legislation shall provide for access to the relevant remedies to stop and remedy the unlawful diversion of piracy equipment and piracy software for those providing protected services. The vast majority of piracy today takes place in analogue distribution in the case of pay-TV. Companies are now choosing more digital solutions that lead to major problems for those who have illegally obtained the possibility of using services for which they have not paid. The illegal cards were previously marketed through block advertisements in the newspapers. Now the Internet is increasingly the point of contact between the seller and the buyer. It is problematic that many decoding devices can have both a legal and an illegal use, which may pose difficult evidence problems for different types of use of equipment. The Committee concludes that criminalising the possession of decoders extends the ban for a long time and at the same time supports the proposed penalties for breaches of the rules, including fines or prisons up to six months for the illicit use of piracy devices. It is also shown to St.prp. No 61 for 2000-2001, which concerns consent to the approval of the EEA Directive, No 17/2001, concerning the legal protection of access controlled and access control services, which have been dealt with by the Storting earlier today.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e267	No more people have asked for the floor on case No. 2nd@item: inlistbox [[Footing, see page 487]]
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e281	No one has asked for the floor. [[Footing, see page 488]]
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e295	I'm going to be relatively short. When the Stortinge dealt with the Transparency Act, a majority decided to ask the Government to submit proposals which would enable the person granted access to the law to require the maculation and deletion of incorrect or unlawful information. The Ministry has now, to the best of its ability, tried to follow up this decision, and it is of course affordable for the Ministry to follow up a decision in Stortinget. Attempts have been made to bring the legal text as close as possible to the intentions of the decision of the majority of the population. It may not have been that simple, because the decision in Stortinget is based on different comments from different fractions, but at least it has now been done as well as it has been possible. I have been informed that the Department has later received a call from the Transparency Committee, and I suppose the Minister of Justice will explain it.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e306	The proposal contains proposals for a new provision of the Transparency Act, which allows the person granted access to the law to require the mutilation of incorrect or unlawful information. When the Transparency Act was sent to the hearing, the Ministry proposed that persons being granted access to their own ‘Folder’ should be entitled to require the documents in question to be mashed after transparency. The proposal met strong opposition from the National Archives/Ministry of Culture, which considered that the material should be sent to the National Archives for storage after the closure of the access regime. The consultation comment was taken into account, and when the proposition was promoted in the Council of State, it contained no proposal for a right to mutilation. During the examination of the legislative proposal by the Committee, the issue of mutilation was raised and proposals were made for persons granted access to the requirement to require the mutilation of ‘unfair’ or ‘unlawful’ information. On the same day as the Transparency Act was adopted on 4 March 1999, the majority of the majority of the majority in plenary adopted the proposal put forward by the Committee. The Ministry has followed up the wishes of the majority by drawing up a legislative proposal as close as possible to the decision making process, which also reflects the comments on the provision. The Transparency Committee, the body examining requests for transparency and compensation, has, in a letter to the Ministry after the proposition was transmitted to the Stortinget, pointed out some uncertainties that may arise in connection with the amendment of the law. This is primarily related to aspects of the understanding of the criteria for the right to maculation. Against this background, I think it is right to point out that the present legislative proposal does not essentially open up access to demand makulated information about political attitudes or activities. The collection of information on policy positions and activities was temporarily collected in violation of the applicable instructions, but this was not ‘illegal’ information. In addition, the Transparency Committee has addressed various issues relating to economic and administrative consequences. In my view, as in the case of the transparency mechanism, it is difficult to say in advance how many would require a maculation. This makes it difficult to calculate an approximate accurate estimate of the economic and administrative consequences of a mutilation scheme. From the Ministry's point of view, we are committed to helping the Transparency Committee to find practical arrangements to maximise the use of some resources. I would also like to follow up on whether the amendment of the law – against assumption – should lead to other problems in relation to the practical follow-up by the Transparency Committee, and, if necessary, to return to Stortinget.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e321	No more people have asked for the floor on case No. 4th@item: inlistbox [[Footing, see page 488]]
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e335	SV is not on the Justice Committee and has not been able to discuss this issue. We believe that what is proposed here will act as a governing force in general transparency, as cooperative services can in a way say what one is allowed to see, and thus steer Norwegian transparency policy. This is actually a explanation of vote: SV will vote against this amendment.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e344	No more people have asked for the floor on case No. 5th@item: inlistbox [[Footing, see page 489]]
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e358	No one has asked for the floor. [[Footing, see page 489]]
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e372	Both the proposal and the committee position speak for themselves, but I would like to elaborate on why the proposal has been promoted. The left has promoted the proposal because we feel that we are faced with a new state in many ways, which I would describe as the «accounting State». In a number of areas, the normal legal and administrative environment between freedom and responsibility is being replaced by the ever-increasing level of detail regulation and controls. I am absolutely convinced that many of these rules, which have had a purpose, eventually survive in spite of their own purpose. During visits to many places in this country, for example: in research institutions, in schools and in health institutions — that is, far from where the form debate often takes place, i.e. in small and medium-sized enterprises — I experience a call that some people have to clean up this landscape, which consists of regulations and rules that go so far that people with a simple little story would actually be able to say something more important about what they are doing than what you do through the legal and regulatory system that you have. In areas, this is the case, for example: in parts of the Law on Planning and Building, that to build a small-volume building in Oslo you need 50-60 pages, while for a building with ten times the volume in Gothenburg you need three or four pages, with a quick process. So we in Norway have been able to develop a system that is so deadly that the purpose, like the Left, is that no society can exist without regulation, is in the process of creating so many rules that one approaches the situation that one can sit and cheat on even thoroughly law-abiding citizens, who signed, are able to follow – that is, whether I am able to follow along to be absolutely sure that I am at all times related to the legislation that exists. For this reason, the Left has promoted the proposal that we have called'sunset legislation', which does not go to law, but which says that a guillotine should fall into regulation every ten years unless an active clean-up work is carried out in order for them to live on. We're going to stand on that principle. We're convinced that's right. We note that we now do not get as wide a connection as we had hoped, but we are pleased with the connection we have received, and we are going to continue the discussion on this. Here it is spreading a mentality in the Norwegian society that is undermining the creativity of people, whether they are in the work of the spirit or of the hand, whether they are in the business or they are in the public sphere. I want to finish it this way: in large parts of the public there are lots of good people, but sometimes they are entangled by systems that are so demanding and so destructive that their creativity is not liberated and gives full currency both for taxpayers' money and for the trust that lies in what they are supposed to manage.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e385	I really didn't intend to take the floor in this case because it is a different committee than mine. But it's an incredibly important thing that the Left here brings on the track, which deserves far more attention than from an almost empty hall that we experience here tonight. Former Prime Minister Kjell Magne Bondevik and former Minister of Economic Affairs and Trade Lars Sponheim presented a project for «Simplify Norway». As far as I remember, it was in the summer of 1999. Sponheim gave the solemn promise to all small and medium-sized businesses in Norway that, within two years, the form field would be reduced by 25 p.m. and included some laws, regulations and other obligations to traders. Now there was a new government after eight to nine months. And I looked into it a little bit. In the eight-to-nine months set by the central government, it was only possible to reduce this form field by approx. Six per million. And I figured it would take 360 years to be able to reduce it by 25 pst, as the government had promised. I think it's a good proposal The Left comes with, a'sunset law', and the public bureaucracy is going to start working. It says here that there is concern that during a transitional period it will lead to greater work and greater bureaucracy. But I don't think it can be burdensome. There must be the results of this work that counts. I'll be careful to bring up the proposal on behalf of the minority. It looks like I'm the only one present in the Chamber who will take the floor, and then I have to take up the proposal, even though it should be the largest party behind a minority proposal that takes up the proposal, right? I will also draw attention to the work done by the NHO by reviewing the ‘Simplifying Norway’ project. They have addressed part of the simplification work to be carried out – 46 projects. It turns out that very much of this work has stopped, and it has not been possible to gather all the excise duty regulations into one regulation, which has been at the hearing since the autumn of 1999. I will end by saying that the field of forms, laws and regulations for individuals and business is like a ten-headed troll. If you cut out one or two heads, it immediately grows new, and then it's important to keep working from several parties in this area if we're going to move on and on with the regulatory level you have in many other countries. There is a great need for simplification.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e400	The representative Hedstrøm has drawn up the proposal he referred to.
