ParlaMint-NO_2001-05-29-lower.ana.ud2670e87	The representative Per Sandberg will present two private legislative proposals.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e234	The most important thing about this matter we are dealing with now is that we have a clean and transparent law to regulate how municipalities can be merged or shared, or how to move borders. It's a pleasure. Then the majority and the Socialist Left Party, the Centre Parties and the Advance Party separate layers where it is about whether or not this can be done by force. SV is not against community mergers, but we believe it is inappropriate and undemocratic to do so against a clear public opinion. That's why we've found it right again to give a political assurance that this won't happen. But SV disagrees with the Center Party when the Center Party is opposed to agreeing with what the Government proposes, namely that municipalities that merge will be allowed to keep the breakdown grant for 10 years. SV believes that some changes in the municipal structure may make sense, and we think it is very positive that mechanisms are now being put in place to prevent an economic back-up when you choose to merge. We believe that this is a very positive move with the proposal put forward by the Government. Therefore SV, together with the centre parties and the Progress Party, chooses again to point out the unfairness committed against Arendal, Fredrikstad, Larvik and Hamar when they were coerced. It wasn't a bit of a wedding around those municipal mergers. There were very divided opinions, and later these municipalities have worn out very financially. Now it's the way the government and the majority are involved in changing the policy. You want to use a different technique when municipalities merge. This new policy must mean that the view of what is reasonable and useful in this context has changed. That's what we think is important to establish. In this context, we would like to point out that these old injustices should be corrected. SV will make proposals on this in connection with the municipal proposition, and I expect that there will be a proposal several parties want to agree on. I also think the government should seriously consider that, because it is not appropriate that the economy of some of the municipalities that have done this should be bad, and that it results in a worse offer to the population of the municipalities that have made it forcing them to. There is no such thing as a very good policy. We want to support the new principles put here. We believe that they are correct, and that, as I said, this must lead to a review and re-establishment of some of the distortions that occurred when there was a slightly larger community merger last time.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e245	There are shared views about the need for a review of the municipal structure here in the country. That is what the debate has shown so far. Nevertheless, I am pleased that it seems that we can reach agreement on the law of procedure in this area; that is what the Government has proposed. The law says something about the procedure to be followed if it becomes relevant to make changes to the municipal classification. Otherwise, as has been said by several here, it is value neutral and does not say anything about when changes should or should be made. The current municipal and county division law dates from the middle of the last century, from 1956. The law has provided good and complementary guidance in some areas. The economic settlement, for example: are described in detail. At the same time, the law leaves other and equally important questions unsolved. It says e.g. nothing about who can take the initiative, who is responsible for investigating matters, and how changes should be implemented in practice. The proposal for a new law is based on the previous law, as far as it has worked in practice. Where so far there has been a lack of response and clarification of the procedure, the new legislation has been supplemented and clarified. No one is served by a law that argues about the process and decision-making procedures in an area that is fragile enough initially. The desire is that the law should lead to greater predictability and simpler procedures than has been the case up to now. I have noticed that there is some disagreement in the Committee on how we should, for the future, deal with the decision on enlargement from June 1995. All parties agree that volunteering on the part of municipalities is the best. And when agreement among the municipalities forms the basis of a proposal for aggregation, the Government can take decisions in the matter. That's the way it is today. However, if there is disagreement between the municipalities concerned about joining forces, the bill implies that the matter still needs to be brought before Stortinget, which is of course quite free to consider what is the best solution. I am pleased that the majority of the committee agrees with the Government that good financial arrangements are important for municipalities that merge. The breakdown grant means that no municipalities will receive reduced State transfers if they choose to merge. This also applies to municipalities that, after the merger, will pass over 3000 inhabitants and therefore no longer qualify for regional grants. The additional costs of the merger process itself will also be part of the financing by the State. Both the disaggregation grant and partial compensation for one-off costs will be legalised with this bill, which will give the municipalities assessing aggregation a predictability of the future economic situation of the new municipality. I hope that this financial security will help more municipalities to consider aggregation as an alternative when discussing how to ensure their citizens a wide range of good welfare services in the future.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e264	It's going to be line change.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e268	First to the laws themselves. It is assumed that the Central Party is the largest of an up-to-date law when it comes to setting and changing municipal and county boundaries. What is bad is who is going to take the initiative, and the main point – which I have already touched on in my post – who is going to take the final decision when there is an inconsistency between municipalities. Following the decision today, the Council of State has wide support in Stortinget to allow the Ministry, on its own initiative, to assess border changes and municipal convergence. There's something that the Center Party is strongly opposed to. We believe that the initiative should be taken from below. I want to give the council the opportunity to say something more about what plans it has in relation to the municipal structure in the future. It may look as if it has specific plans to take initiatives towards larger municipalities. It asks for both the provision of the local economy and its initiatives in relation to specific geographical areas, for example: what she's seen going on in the North Year. What immediate planes does it have in the direction of another structure?
ParlaMint-NO_2001-05-29-lower.ana.ud2670e277	As I said, this law is completely neutral in relation to the merger of counties and municipalities. I have no list that is clear in the Ministry of Local and Regional Affairs with which municipalities I might wish to merge. Of course, I still think that volunteering is the best, of course. This law and the changes that are being adopted here today do not indicate that it is now being added to any large-scale coercion, just so it is clear. In the case of Jären and the cooperation which is now under way there with the support of the Ministry of Local and Regional Affairs, which has also been at the post of the municipal committee, there is, of course, an attempt to achieve binding cooperation across the municipal borders. I really hope that will result in something concrete. I think the processes that are going on there are positive, not least in the debate on land use, etc. I have great hopes for that. When it is claimed from the representative of Meltveit Kleppa that the municipal economy should in some way be a contribution to getting larger municipalities, it is completely wrong. I have also heard the representative Meltveit Kleppa say, both here and in other contexts, that we are adding up to a scheme that will lead to more centralisation and larger municipalities. Now the municipal bill of treatment is in this house, and we'll see what comes out of it. But I think it's a little strange that this criticism comes repeatedly from the Central Party, which itself not so long ago was responsible for the local and regional ministry. It is at least a fact that the appropriations for the local economy, both for the year we are now in, and what is proposed for next year, are higher than what the Central Party itself proposed while they were in government. So linking it to the fact that we should almost have a desire to get larger municipalities at the municipal economy we have presented, I think it seems very strange to me.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e288	The state council Brustad said in her article, and now in the reply she underlined, that the law is value-neutral. I agree. I have described it as a process law, and so has the ministry. I have to make it clear that it does not say anything about when you might want to merge, and in what way, but I am pleased with the good financial arrangements with the breakdown grant, which will last for ten years. In 1991 it was a coercion. The size could then have two thoughts in your head in 1995 at the same time. They both said that the policy should be that we should not coerce, and that, of course, the Storting – that is, the majority in June – should have the final decision, that is natural. Is it then so unreasonable to hope that, when the Council of State makes such a clear reference to the disaggregation grant that we received in the course of a municipal merger in Westfold, that the wrongs committed against Arendal, Fredrikstad, Hamar and Larvik – it has been suggested in the past that they should at least receive some compensation, and that is still within the 10-year limit, which a disaggregation grant should last – could at least be compensated for three years in addition, and not only for the two years that they received at that time? I could imagine asking Brustad State Council if it is possible to look forward to a positive attitude from the Government on this issue.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e297	It's the way that when you decide new things, there will always be borderline cases or things that have happened before, that a person would like to have done differently, and often there are things that have happened, that are also the background for changing something. And that is probably also the case with changes in the financial settlement when municipalities merge differently. When we've been doing something about it, it's because we've also heard pretty strong arguments from municipalities where they've discussed whether they should join forces, and one of the arguments against it has been that they're losing money to do it. There is something we have taken seriously, and I am pleased that the Stortinge has joined it, so that it is now worthwhile to join together, if the municipalities find it appropriate. But my attitude to what happened a few years ago, whether it's in Arendal, Fredrikstad or Hamar, is that I'm probably not recommending that we give the new arrangement that is now going to apply to the future, retrospectively to those municipalities. It was probably also a debate we had, as far as I remember, during the treatment of the municipal economy for this year, and at least we haven't changed our view of it at this time. But I'm glad we're now getting a setup for the future that's better than what's been up to now.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e306	It is right that the Council of State says that the laws themselves are neutral. What is then the question is: Is what the Council of State and the Labour Party otherwise do neutral in relation to a future municipal structure? Well, that's not it! Now I am pleased to have made it clear that the work that has been done on the North-Jear has the aim of strengthening inter-communal cooperation. Now there are already in this area actually registered over 50 collaborative projects. It can certainly have something to review what is established, and look at what else is needed. It seemed to me that the municipalities of the North-Jären so far have also been very good at it. But it's good that there isn't another municipal structure that's the target. When it comes to the local economy and the facilities there, I have to say that I am particularly surprised if we have a municipal minister who is not aware of how the element that is called the removal of loss compensation is perceived in itself in relation to being an intervention even when it relates to another municipal structure. So there's a loss of income of two billion dollars in total, and where the municipalities that become the largest are some of the smallest municipalities in this country. Visit some of these municipalities and ask if they see this as a support for a common structure in the future, or if they see it as a direct message to seek cooperation with others, especially when you also want to encourage them in that direction.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e315	I perceived it so that so to say all the parties believe that in terms of community reunification, volunteering is the best thing. What the majority is going to do through this amendment of the law is to leave it up to the Storting to decide if the Storing should think it was right in individual cases to do something else. But to present it as if the Workers' Party were for a large-scale coercion of municipalities, of course, is completely wrong. When it comes to the debate on the local economy, we come back to it, so I'll just say a few sentences about it – it might be a little bit more – and that's the following: I don't think that the debate is about how big or small municipalities we're going to have. What the debate is about, and then when this is especially about loss compensation, is whether to enable all the municipalities in the country to offer the most equivalent service. And when we know that the main explanation for different services between municipalities today is the income system, we have two possibilities. One is to go in and make changes in the income system, as the Government has now proposed, and the other is not to make any changes in the income system and let it continue to be like now. And then at least I'm sure the right thing is to make sure that all municipalities, large and small, are able to offer their inhabitants a service offering that is as equivalent as possible. But the rest of that debate I expect us to come back to on a very near forthcoming occasion.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e322	What this law adds up to is a combination of municipalities. If it hadn't, there would hardly have been any sense in adopting this new law here today. So there's no secret that this is a step on the way to changing the municipal structure in Norway. I noticed that the council said something like – if I don't remember correctly: I don't have a list of municipal mergers in the department. But before I go further, I just want to remind you that in 1837, when the Presidency Act was introduced, Norway was divided into well over 400 municipalities. Then there was a strong division of Norwegian municipalities until the 1930s, when we were up in almost 750. Then there was a large-scale municipal merger in the 1960s and 1970s, and the number came down to 435 in the early 1990s. It's clear that once we've got such a law, there must be some ambition to merge municipalities. Although this may not be part of the debate, I would challenge the Council of State on the following: Does she think there are too many municipalities in Norway today? Can she say what is the correct municipality number in Norway? Is that 200 or 250? I have already signaled from my party that we believe there are too many municipalities in Norway, but that aggregation should be based on volunteering. Unfortunately, the Workers' Party is now proposing that municipal mergers be based on involuntaryness.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e331	I just have to repeat that the law adopted here today is completely value-neutral in relation to municipal and county mergers. I think it's very important that we have a law that's up-to-date with the reality we're living today, and that there's not going to be big discussions about processes, economics, etc. if municipal mergers are to be carried out – and primarily if voluntary, which I believe most parties agree on is the very best. That's what it's about today. And like I said, we don't have a list of municipalities that we absolutely want to merge, but I'm interested in recording that there are quite a number of interesting discussions and processes going on in many municipalities. I hope and believe that the changes we are making now, among others. by changing the economic conditions for aggregation, will also contribute positively where a view is that aggregation is correct and in the best interests of the population, in order to have the best possible service provision. I don't think today's municipal structure is going to look like ten years from now. But that's not the same thing as saying, as it was made here by the representative Torbjørn Andersen, that we now have a long list of municipalities that we want to merge. Freedom is the best thing. This law is as such completely neutral, but it opens up the possibility that in very special situations, if a majority of the Storting wants it, the Storing can decide otherwise. But there is something other than saying that we should now have a long list of municipalities that are ready for aggregation.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e338	The Council of State mentions that some work is being done both with the preprocessor for municipal mergers and with a number of initiatives to move some municipal borders. One thing Stortinget has had on his table before, the Council of State has now decided. It might as well have been a good idea to take this line to the representative of Meltveit Kleppa, for her government also went in to move a line towards the clear recommendation of a local government. It is now continuing to do so, and that is why I need to ask the Council of State, as the legal basis for how municipalities should be heard when it comes to such matters is a little unclear as stated in the bill. Is it the case that all parties to such a conflict should be heard? Is it that they should be weighed equally? And has the government seen how such measurements of public opinion can take place? Because it can be done in a lot of ways, and you can get almost the results you want if you ask in a subtle enough way. I remember well when the matter between Sande and Vanylven was up when the Bondevik administration was sitting, and we were going to discuss border regulation. At the time, the Workers' Party was very concerned that the methods used to rule out the people's opinion were of such a quality that it was certain that the results were obtained, were factually correct, and that the people's opinion had emerged. Can the Council of State explain a little how she believes such processes should be carried out when it comes to finding the people's opinion in municipal mergers?
ParlaMint-NO_2001-05-29-lower.ana.ud2670e345	It may be a little different how but choose to hear people in the municipality, possibly in several municipalities, depending on whether there are border regulations or adjustments between municipalities, or whether there are mergers, etc. I believe that there must be a certain room for municipal maritime administration as to how you think you can best get the inhabitants to speak. As for the specific case with Sande and Vanylven, there was no simple decision. We all know the history of it. But I feel absolutely sure that all the aspects that should be considered in that case have now been examined, that all those who have considered the matter have been allowed to express it. But it's not possible to assume that everyone should somehow weigh equally. If we were to hear the same amount, for example. on Vanylven City Council as on Sande City Council, nothing would happen. That's how you have to make a decision, and then someone will be satisfied, and others won't be so satisfied. But I feel safe, after the rounds of further investigations that took place after the case was dealt with in Stortinget last, that the decision that is now taken is the right one, despite the fact that there is disagreement between Sande and Vanylven about it. But what I do, among other things, has stressed, is what the majority of the sails of Åram krin thought about that matter, and also the many who have meant something in the process, so I feel very confident about that. I don't think that's a very clear template for how to hear the people, it'll probably vary a bit. And I think, as I said, you also have to have some room for local maritime governance in that area. However, it is very important that all aspects of the case appear before decisions are taken, whether they are regulation and adjustment, or possibly aggregation.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e352	The queue changes have been completed. The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e358	I need to put forward some of the comments that are linked through the debate to the views of the Right in this matter, and in particular to what has been said by the Central Party on this subject with the 'clear future'. The right can well live with the six-year ‘evident future’, at least in the case of a verbal proposal relating to the application of a legal text for which the entire hall agrees. So much time to think about reforming, we think we should keep going. I dare say that Jan Petersen in this case is not overrun. With all probability, the Right Leader will be in place in the new bigotry and will note that his basic attitude on structural volunteering will be followed as a general rule also in the coming period. But when that's said, we have different wishes in the Center Party and the Right about the need for a change in the municipal structure based on volunteering, of course we do. I can refer to a not-so-old process in my own state during the Central Party Council, where there was a significant savings potential that could benefit the inhabitants of a voluntary community merger. But what was the answer to the Council of State at that time? Well, all the savings would immediately be deducted from the government. What kind of motivation factor for natural development is there in such feedback from a department? I'm just letting the question hang in the air. Obviously, if we are to have a necessary development, we also have to cultivate – let's call it – the carrots that we've been talking about. Then there is a need for expertise in small Norwegian municipalities. It is not so easy to put your finger on where your incompetence is, but there is a need for competence. And that's a saving potential that can benefit the inhabitants. It's up to this hall to look after, and try to make a smooth contribution to taking this out. So in the end we talk about intermunicipal cooperation, which we also talk about very much in our national meeting program. But there's a constraint. When we see all the species of intermunicipal cooperation and corporate formation we have today, it is a clear symptom that as a general rule Norwegian municipalities are too small today. This is the symptom, and we have to take that inward. What kind of direct democracy is it if this is to be the main message, that you have to make synchronous and equal decisions in all municipalities to get some way, or alternatively run through a corporate formation. When this gets a certain volume, it's not much better than a majority democracy in a slightly larger municipality.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e367	No more people have asked for the floor on case No. 2nd@item: inlistbox [[Footing, see page 580]]
ParlaMint-NO_2001-05-29-lower.ana.ud2670e381	At the request of the Municipal Committee, the President will propose that the debate be limited to 45 minutes and that speaking time be allocated to the groups as follows: The working party 10 minutes and the other groups 5 minutes each. In addition, the President will propose that there be no possibility of changing the lines after the individual posts, and that those who have to sign on the list of speakers in addition to the allocated speaking time will have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e390	Since there is complete agreement on the amendments promoted by the Government, I do not think there will be any major debate. The reason why I take the floor is that in the vote we have put forward a verbal proposal, which reads: ‘The Government asks the Government to examine the organisation of a more formal welcome ceremony relating to the award of Norwegian citizenship and to propose this rather than the Grand Duchy in relation to new changes in citizenship law.’ We believe that getting their citizenship awarded through a letter in the post, as it is today, does not give the right formal or solemn framework around becoming a Norwegian citizen. We believe that there should have been some more status related to it. We also think it would be natural for the community to use this opportunity to welcome new citizens to its municipality or to its place. Since it is only the Advance Party and the Right who are behind this proposal, I do not feel the need for us to take it up to voting, but will ask for it to be turned into a recommendation in Stortinget. I want to justify that if we get time to think a little bit more through this, more people will see that there might be good reasons to make this a little bit more of a holiday than it is today. Today, it's like any other type of authorisation you might have obtained after applying for a public bureaucracy, and it's actually not to have the right to vote and to have full citizenship in Norwegian society. I think a lot of communities would also have profited from showing this to many of them, among other things. have come as refugees to Norway, who actually want to become Norwegian citizens, and who have said yes to a committed life in our society. We see that almost 50 pst. of those who have come as refugees on a humanitarian basis, who have achieved the criteria for applying for citizenship, in fact do. I really don't think we're doing enough of getting new citizens. We have many brand days in life, for example. baptism, confirmation and other things that we think are important. It is so important that it no longer belongs only to the religious ceremonies, but civil ceremonies are made for those who do not believe in God, despite the fact that these are originally clearly religious ceremonies. Maybe we should also have a slightly larger ceremony linked to becoming a Norwegian citizen and gaining voting rights in Norwegian society.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e402	The President perceives that the representative Erna Solberg has taken up the proposal, but wants to turn it into a transmission proposal. Under the fourth paragraph of Section 30 of the Rules of Procedure, the proposal is to send the Stortinget, so the President will remind the representative Erna Solberg that it is in Stortinget that the proposal has to be converted into a transmission proposal.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e405	We do not disagree with the proposal and the legal text. It's a co-conspirator's committee that makes it possible for these changes to be correct and necessary. In addition to the representative Erna Solberg said about an external sign that one has achieved Norwegian citizenship, in the Progress Party we are of the opinion that the new citizens should also declare loyalty to their new homeland, declare loyalty to our Grundlova, and also declare loyalty to the building of society, tradition and culture on which Norwegian society is built. This we thought is important, but we see that the multiples are not willing to go into it now. That is why I agree with Mr Solberg that when this proposal comes to the Stortinget and is to be dealt with there, we will turn it into a transmission proposal, so that it may grow in the government quarter. It has happened before proposals that have not had multiples have matured in the government quarter and perhaps have come back and become something of them. Because I think, as the representative Erna Solberg had in mind, that an external indication that a person has acquired Norwegian citizenship will be something solemn and will mean that one has achieved something that is a little special in life. I can show that in the United States is the outer marker, and there is also a statement of loyalty to the country of origin, the constitution and the construction of society. These words also support the Progress Party configuration.
