ParlaMint-NO_2001-02-08.ana.ud1394e38	No one has asked for the floor. [[Fotation, see page 1814]]
ParlaMint-NO_2001-02-08.ana.ud1394e161	Marine farming is a multiplicity of possibilities. We're on the threshold at a time when we're going to use the sea in whole new ways, and we're going to develop the ways we use the sea. To do this, we should be able to realize the values that are present and wait for the right actors. There are several research environments that have claimed that over the next 20 to 30 years, we can increase the value creation from the sea to 200 billion dollars a year plus/minus. Today we export fish for about 30 billion dollars, so the increase is formidable. If we want to close with this value creation, we have to make choices. We have to ask questions like, How are we going to use the sea? What do we use the sea for? Who should use the sea? To date, we have had market prospects that have guided our development of aquaculture, as it is largely salmon and aure that we have talked about on a large scale. With the use of feed quotas and a restrictive concession policy, it has been difficult, not to say advice, for new actors to enter. We have difficult market conditions when it comes to our largest market, the EU, and it is important to address the barriers to trade in the future, not least by giving priority to the fisheries-related aspects of WTO developments in the future. We can make different choices when it comes to objectives for the development of the aquaculture industry in the future. First of all, I would like to stress that we have to follow the tolerance of the sea. Success factor number one is our ability to produce pure food based on the ocean and our ability to use the entire raw material. Then the environmental question becomes decisive. May we see an own hate department taking shape in a few years. Our own actions have consequences, but our behaviour patterns in the international community have consequences for us. It is easy to get the impression that aquaculture is about salmon and aure. There is an out-of-office limit. We're at the beginning of a breeding adventure that can be at least as large as these species. These are cod, halibut, echinoderms, shells, hums, oysters and crayfish, and probably also several species. But we have to eyeball that we can't really really break through most of these areas. The really big success factor when it comes to salmon and aure is research. Success is knowledge-based. This means that one of the most important answers is research, research, research. The size has determined that marine research should be a forward bet. It's going to be our common task to show that we really believe it when the annual budgets are going to be dealt with. The industry itself needs to increase its efforts monthly. There is reason to follow closely the results of the recently introduced R & D fee to see what results it can give. There is no reason to point to the results we have received before sea grazing such as this. The bet on the release of lobsters. Here it has to increase the bet to really get to the goal, and we have to build on the environments that have shown that they have the ability and the will to get somewhere. We have to close the barrage this time, but then we have to deal with the algal poison situation in our fjords. There is also a need for increased effort here. Bioprospecting is another aspect of the farm. Here we are at the beginning of the beginning. Probably there are unexpected possibilities here, because the sea is the largest repo bank we have. This requires qualified actors who understand what questions need to be asked and who have the ability to search for answers. Furthermore, coastal zone planning becomes a central theme. We have good space, and at present marine use is taking hold in very limited areas, but as coastal zone values become more and more visible, there will be a greater pressure. We can take care of the different interests if we plan well now. It is not an insignificant person to care for the farm. Therefore, it is important to establish that we have a differentiated structure and a differentiated ownership. It is not possible for those living along the coast to be excluded from the values that lie there, and for those who spend money, but do not want to live in our coastal communities, to take all the cake. Therefore, we need to put in place the rules of ownership so that we can keep up the deficiency in the industry. A theme that needs to be highlighted is that the female part of the food industry is reduced from 15 pst. in 1994 to 7.6 p.m. in 1999. That's not gonna work. If the marine potential is to be activated, active action must be taken on recruitment. More women than men take higher education. Many of these women have no current job to return to in District Norway. When farming, which is a district industry, sees such a negative trend in the female sector, it has to be used as a separate instrument. Many of the women taking higher education have relevant education in relation to investment in aquaculture. I would therefore like to work to ensure that the women's perspective is taken into account in the award of new breeding concessions in due course. We've come a long way, and we can show success in terms of salmon and aure, but we have enormous possibilities ahead of us. These possibilities must be put into practice, and I'll say we have to be impatient. As we find the new answers, it is also important that we find the new questions to find new answers.
ParlaMint-NO_2001-02-08.ana.ud1394e184	It's going to be line change.
ParlaMint-NO_2001-02-08.ana.ud1394e187	It is true that the proportion of women has fallen from 1994 to 1999, and that is negative for the industry. I appreciate the signaling of the fact that the women's perspective should also be taken into account in the award of concessions. But another idea is that the mode of operation in this industry may not be so attractive to women, and maybe we should think about the way we organize this industry, that it should also be attractive to women. Traditionally, women do not have many management positions in large groups and enterprises. I also want to bring up another thing. Before Christmas, the centre parties and the Workers' Party were together to say no to the auctioning of concessions. We also put up a priority order where the new actors, that is, the uncreated businesses, were to be given priority first, and then those who have one and two concessions. I want to ask if the Labour Party is still on that priority. Some of the discussion has gone on that we thought the entrance ticket for this industry should not be for animals. And then we have also picked this up from the Christian People's Party with a second fee. Is the Workers' Party considered a measure that should be considered to reduce the entrance ticket to this important industry? And then it might also be able to focus on women.
ParlaMint-NO_2001-02-08.ana.ud1394e196	The Minister for Fisheries has made it clear, on several occasions, that the priorities underpinned by the award of new concessions for the round to be held are to follow the agreements that have been made, and he has made it quite clear that there are new players and those with one to two concessions that are given priority. What's important to us in the future is to hold on to a system that will grant concessions in the years to come. Many of those who join now, who think they have legitimate demands and good projects, are going to be disappointed. So I think that our task here in the Storting must also be that we show that there are more possibilities in aquaculture. I want to hit an stroke for an expression that says you should come to the moth first, you have to sympathize with the stream. I would say that if everyone is to sympathize with the current against the breeding concessions for salmon and aure, there may be a lot of opportunities to be founders, to be part of a similar adventure that salmon and aure nutrients have been so far. When it comes to the women's part, I would argue that it's not primarily for the women's part that it's important to take such a grip, but it's for the breeding industry's part that it's important to facilitate more women's coming along. There will be a need for labour. And when there are more women than men taking higher education, it's clear that a very large potential for this industry will be lost if these women don't get the chance to come to the mill. They can do so by virtue of their own knowledge and competence, but since it is very human-dominated – especially at the top – in this industry today, it is difficult, everyone knows. If we want that to change, we also have to make some changes.
ParlaMint-NO_2001-02-08.ana.ud1394e207	I listened with interest to the Workers' Party's fisheries policy spokespersons and in many ways fully agreed with what she said when it came to the potential of Norwegian aquaculture industry. She was in charge of amounts that both the Research Council, NTNU and others have presented as possible to this industry when we look a few years ahead. She mentioned an amount of NOK 200 billion. But if we're going to achieve these objectives, we can't jump over what's the most central question, which this industry is concerned with, and which we, as a nation, have to be concerned about if we're going to help lift this industry along with the possibilities of the coast up and up in the direction of the ambitions we're putting. There is market access for Norwegian fishing industries abroad. We know that Norwegian aquaculture exports about 95 pst. of its total production. Today we are almost a pure commodity exporter, at least it is that part of the product that dominates our exports. We have a very low level of processing, and it is quite clear that if we are to achieve the goal that everyone is talking about so beautifully, we need to improve the conditions in the market for Norwegian seafood, namely access – with the possibilities that this has. My question to the Workers' Party's spokeswoman is: What kind of approach does the Workers' Party actually have to the salmon agreement with the EU, which expires next June? Is it to be settled that it should continue as it is today? Or do you have bigger and tighter ambitions towards reaching the amounts you talk about so beautifully in your speech of the Minister for Fisheries?
ParlaMint-NO_2001-02-08.ana.ud1394e218	I want to say first of all that I'm very happy that there are so many people here in the Stortinget who are busy with Norway's market access when it comes to fish. When we have so much fish and we're going to be so big in breeding, there's at least one thing that's clear: we can't consume all of these fish themselves. That is why labour with the market is crucial, and the EU is failing in all of our largest market. It must be a point for us to make us less dependent on the EU market. Personally, I am of the opinion that we should have turned even more towards other markets and developed them. I think that the fish export selection is doing a great job in this area, and I think it needs to be done even more in the future. In particular, I want to highlight Austen, which has a huge consumption of fish per day. built-in -- there's already a good starting point. And they have the situation that in several areas they have the blackfish seas, so they have a lot of use for what we can produce. When it comes to the salmon agreement with the EU, it is crucial to us that we get a good result, rather than what we have today. It's going to be a very hard fight to achieve that, and I think it's important that we be able to send a message here that we support our negotiators when they do their work, that the noise does not crack in every possible direction. I have good hope that we will reach such an agreement, and I know that the Minister for Fisheries is working actively to get it done.
ParlaMint-NO_2001-02-08.ana.ud1394e227	When there was the greatest attention to the sale of Hydro Seafood, it seemed as if there was approximately unanimity in Norway that it was not right to allow the foreigners to get hold of this flagship. It was for those who wrote editorials in the newspapers, and it was for us politicians. And it was almost political contempt because we didn't do anything about it. Then it turned out that the English were doing something about it. But for this with national ownership: I think the best way to secure it is by using local ownership. I heard that the representative Rita Tveiten said that it is those who want to live on the coast who must be given priority, not those who have the most money. But then it's getting this into practice. When we have a breeding law that aims to ensure that the interests are localised as far as possible, and that provision was not used in the case of Hydro Seafood, I wonder what kind of grip the Workers' Party wants to be made and which can be effective. I do not understand that it should be a form of discrimination against foreigners to say that we want those who live in the county to be prioritised in the award of new concessions. We want it to maintain our habitat, we want it because that's what gives the best supervision of the animals, that ensures the best animal welfare and that ensures the best product quality. There's going to be more and more attention around. Will the Workers' Party ensure local ownership of the new concessions in the context of the review of the Breeding Act, by creating a Law on Aquaculture?
ParlaMint-NO_2001-02-08.ana.ud1394e236	I don't have a very large hanging to stay by the past, but I'm sorry that Hydro sold Hydro Seafood. What I can say is that I have a problem ignoring the fact that Norwegian buyers are the most active in the world market when it comes to buying farm concessions, whether it's in Chile, in Scotland or in Canada. It's a kind of double moral that I'm responding to. Therefore I don't want to say one word about those who bought, but I have my thoughts about those who sold. When it comes to national ownership, one must also see this from the perspective that we are so active out there, but I think – and I want to emphasize that – that it is a political objective that we should build people along the coast. It is not necessary to make those who live along the coast a form of rental. Such a development does not want the Workers' Party. It is also the case that those living along the coast are entitled to safe jobs. It is not just those who own the locality and own the concession – or who have the possibility – that have the right to secure conditions. Therefore, a balance needs to be made when it comes to the type of safe, sustainable workplaces that can be accommodated along the coast. It is necessary to determine what kind of ownership should look like. I am that if there are local stakeholders who can secure safe jobs, they must be very careful when awarding concessions. People should not only be able to work on the coast, they should also be able to live and live there.
ParlaMint-NO_2001-02-08.ana.ud1394e249	So the chord change is over.
ParlaMint-NO_2001-02-08.ana.ud1394e252	There is a lot of positive and good in the farm policy statement. – I have a short time, and I will therefore concentrate on a little more critical remarks, on things that I miss in the presentation, but as I think are very important. Firstly, the local development and management of this development must be more on the agenda, and the still-unborn local businesses in the marine sector must be better organised by the authorities than the Minister for Fisheries provides. If we all believe this to be the great growth industry for the coast and for Norway, we need to be more concerned with recruitment and to loose more creative people into the industry. Not least, we need to ensure that women find the industry attractive when it comes to choice of education and career. The entrance ticket must not be for animals, the industry must be more open to society around it and involve its neighbourhood in a kind of local partnership. Young people have to find the industry interesting when they grow up, so they feel they have golden roots in their own identity that they can bet on. It is too late for the industry to contact young people when they have started training and career choices. Open merds, which the breeder association has had, are among such important small measures that open up the industry to the community and give ownership to young people. Such measures are a prerequisite for good recruitment. The entrance ticket must not be for animals. It must be possible for several families and individuals to build farms from the bottom of, both in salmon farming and trout farming, and not least in the new species which are now growing slowly but safely. Local actors must be given sufficient time to build up their own competences and develop the industry locally in interaction with other businesses and with the community. This must be taken into account when granting rights. Marine farming takes place in coastal zones – a meeting point for many types of activities. This is where old and new industries meet, and here the public is covered by their leisure interests. The defence shall have its place and the coast shall act as a voyage path. The aim is that the coast should be inhabited, that coastal culture should be alive and cared for, and that the surrounding environment should be safeguarded. In many places, the space is already in demand, and it is reasonable to expect that the meeting between ever more users’ interests in the coastal zone will not be free of friction – rather conflict. It should not be automatic for the user with the greatest economic growth to have priority over other users. We can let users fight their conflicts without society interfering. But one can also help to make competition more constructive, that conflicts do not take over, and that in the long term the coast is used for the benefit of both the community and the nation. We in the Christian People's Party will choose a more conscious control of these resources in the future. We want a broader debate in Norway on what we are going to use the coastal zone and what development processes we are embarking on based on the goals that we as a nation have for this exciting industry. We can't start a development bit by bit in the coastal zone without having a clear goal for what we want out of this community building and out of the nature management. We must carefully balance the balance between growth, protection and environmental profiling, between local culture and industrial development and between external control and local anchoring. Once we've decided what we want, we need to put in the tools to the best possible extent, so that we get where we want to go. If we are to ensure good development for coastal communities, we need to do what we want. It doesn't come of itself. In order to benefit the coastal community, a certain proportion of the holdings should be anchored in local ownership. We should ensure this. There is not enough physical presence of the enterprises. Of course, many external owners will invest and develop the community, create jobs and build up local competence. Over time, however, local decision-makers and owners will guarantee a better security of presence so that they take decisions more in line with local interests. They are a prerequisite for a local partnership and give people more pride and a more positive identity in relation to their own coastal community. The surplus is more plentiful to the community in terms of investment, and it gives a sense of greater security and predictability to the community. It is therefore important to ensure such local ownership — and it is urgent. In coastal zones, traditional catch-based fisheries are still central to farming as a much larger source of income for Norway. Much of Norwegian identity and culture — especially in the north and in the west — is linked to this traditional industry that has fed people along the coast for thousands of years. But a cultural transfer to aquaculture will not come off the hook. The modern farming industry is a new way of thinking about the coastal community and will eventually change our coastal and fjord identity. Marine farming should have the ambition to carry out the task of being a carrier and building on cultural and social capital in conjunction with the traditional industries of Coastal Norway. In the field of tension here, there can be a lot of creative power if we can mitigate the conflicts and the negative tensions that are now present. Despite the sky-high expectations of fisheries and aquaculture, the natural growth limits are evident. Because of a lack of knowledge, control and control, we can do irrevocable faults. We are responsible for the biodiversity of the coastal zone and the ecological production capacity and carrying capacity. We must recognise our lack of knowledge and that we are only at the start of a demanding knowledge and competence building in this large blue-green industry. Test and fail learning poses significant risks. It should be reduced by increasing the use of research and research resources in Norway. Then we must give priority to the marine sector. The traditional household-oriented and small-scale forms of production that have shaped the farming industry in the first decades have had to give way largely to externally controlled, vertically integrated large enterprises. It is important to put in place instruments to maintain local family businesses on the coast and to maintain a diversity of ownership and types of enterprise. Research resources must also be organised in such a way as to enable smaller family businesses to make use of these resources in local and regional development work. Here too, the small research foundations need to be able to be involved. If local communities and local marine businesses do not have their own driving seat for their own development, the aquaculture industry will gradually lose some of its legitimacy on the coast. The horror scenario of the coastal community is that in 10-15 years' time they will remain as housekeepers on their own shores, controlled by national or international large-scale corporations that bottle up the community both for capital and opportunities for their own development of competence. The consequences of the introduction of a private rights regime, involving the rights of all persons and the rights of the general public, deserve an investigation and a greater interest in the Stortinget. If we look back in Norwegian history at the importance of the anchoring of all human rights and public rights, we also get a glimpse of the violent cultural changes that are now taking place on the coast. It is a national task to notify the coastal population of the way in which these rights are to be managed in the future. This does not concern just a few people in the fisheries management and aquaculture industries. The local rights of traditional fisheries must also give rise to rights in the new industry. This should be discussed. It is important to decide how to continue these local rights in new forms. Coastal zone planning needs to be modernised to take into account the new reality and the old local rights. A cutting privatisation of the coastal zone should not be accepted by the coastal community. The government should launch an investigation into this matter and submit a notification to the Stortinget shortly. We also need such an investigation to evaluate the Law of the Sea in a few years' time. Local rights should be enshrined in the Law on Planning and Building, so that local public rights find their modern form. So when we dealt with the Law of Seabiting, the Christian People's Party and the other central parties placed great emphasis on giving municipalities a strong position when these rights were to be distributed. Coastal Sons shall not be governed by randomness and market forces. Capital now has such good conditions in this sector that local community governance and planning should be seen as a constructive challenge in order to improve local development. Coastal communities in municipalities and through coastal zone planning must be active partners in this coastal development. Coastal zone planning shall relate to a complex reality, with local variations, and shall be dynamic. This can cause problems if we are to exercise national governance. Knowledge is a major requirement and there is a high level of cooperation, both vertically and horizontally, in the management system. A series of comprehensive scientific literature on coastal zone planning discusses the need for decentralisation of management responsibilities, the involvement of user groups in decision-making processes and the shifting of local knowledge to scientific knowledge. It means something more than hearing local user interests. We have to get further into this work. This implies a more pro-active role for the community and responsibility. In many ways, this contrasts with the idea that this situation, characterised by complexity, variation and dynamics, requires strong central governance. However, tasks can become too extensive and resource-intensive for central authorities. It is therefore important to decentralise governance.
ParlaMint-NO_2001-02-08.ana.ud1394e306	It's going to be line change.
ParlaMint-NO_2001-02-08.ana.ud1394e309	The representative Karlstrøm began his speech by saying that the Christian People's Party wants a conscious governance. But it was not quite clear how the Christian People's Party wants to direct development, and who should direct development. The Christian People's Party points to a lack of control and control. Does the Christian People's Party believe that the control apparatus in the form of laws and regulations must be strengthened in relation to today's level and to the announced restrictions on the legislation that have come from the Minister for Fisheries? Whether local rights are to be decided locally or centrally, it is a little difficult to obtain the actual perception of the Christian People's Party from the contributions of the representative Karlstrøm. When one calls for a big message about this, it indicates that the Christian People's Party wants to centralize this. It will be to deprive the people of the coast of the ability to control their development and their own land. Isn't it that those who live on the coast know best the coast and the sensible use of the coastal zone? Is it not the case that communities themselves must have an influence, a decisive influence, on how their own resources in the form of sea areas should be disposed of? Does the Christian People’s Party want this to be centrally controlled to a greater extent than today, with a corresponding lack of authority for those who live and live on the coast?
ParlaMint-NO_2001-02-08.ana.ud1394e316	I felt that I expressed myself fairly clearly. In fact, I believe that there is a need for stronger governance from the community. But the situation is today, there is considerable frustration in local communities because they only have an advisory role. We have not followed up the coastal zone planning instrument by inserting it into a context of the Planning and Building Act, as we manage the other area in the municipality. In addition, we have this with the major conflicts of interest among users locally, and who should be responsible for balancing these interests is little clear. In a way, I think it is important that the community is given a great deal of co-responsibility for that balance, because there will be different balances here in different municipalities. However, they should be able to make a significant contribution to this balance within a national framework – maritime in relation to the environment and in relation to how we manage this industry. I believe in both. But it's a haven for the coastal communities that they don't have any influence on their largest asset.
ParlaMint-NO_2001-02-08.ana.ud1394e323	Several have not asked for the word for a line.
