ParlaMint-NO_2001-03-22-lower.ana.ud1197e31	The representative of Øyvind Waksdal will present a private legislative proposal.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e140	I am absolutely for disabled people to have the best opportunity to get work in Norwegian society. However, I have some doubts about the consequences of the sanctions that we are now going to impose, whether in some cases they can lead to a more closed process of recruitment. And it's actually not beneficial for disabled people, perhaps primarily, nor for all the other groups included in Section 55A. I believe that this law is a form of totally misunderstood actions towards a group of people who need to win respect and respect in society in completely different ways than through something that I see as a form of stigmatizing legislation. I think this law could be a source of conflict between groups of people and between employers and employees. So it's the best papers to get the legal first right to work, and then it's the way to introduce new discrimination. The industry is already drenched by the form, by the prohibitions, by the prohibitions and in so far as taxes and taxes are concerned, and now there are even more serious problems to be dealt with. I believe that an important measure will, of course, be schooling and education in the groups of people who are involved, who have problems getting into the labour market. Another thing I'd like to say when, for example, Immigrants need to be able to expect an increase in self-employment in order to obtain self-employment.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e145	I think that this case clearly shows that disabled people need other speakers than the Advance Party. It's now very clear that it's just words when you talk about rights to people with disabilities. First, Andersen says that he will warn that those who have the best papers get a job, and then recommend that people with disabilities get more education and skills so that they can get a job. Then he says that it is gross to suspect employers to discriminate against disabled people and to be anxious about them, so to speak, that they are going to close their recruitment processes now. I have to ask who has a discriminatory view of the disabled. Then there are again false claims that this is about a statutory first right to get a job. Not at all! It's totally wrong. This is about non-discrimination. It is a matter of non-discrimination, and it is only a matter of proof that the person who gets the job is the one who is most suitable, and that you have not taken into account that a person, for example. is disabled. This law doesn't hit anyone. So this law doesn't hit anyone, as Andersen from the Progress Party says it does. On the contrary, this is a law that is there to improve the situation of people with disabilities. Now it turns out, as SV has always thought, that the Progress Party only has it in the kangaroo.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e152	The President would point out that the last part of the line is hardly a parliamentary expression.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e155	I have little sense of the last article from SV, which tries as best they can to sword the Advance Party in this context. I'm going to say from this pulpit that if there's any party on the Stortinget that wants the disabled well and rights, it's primarily the Progress Party. I'm not going to have such frights directed at my person and against my party. I said that this law can be discriminatory in itself, as it can also be seen as a ban on employing people with low education and a lack of documented professional qualifications. So here one has created a law to avoid discrimination, but then it once again discriminates against other groups. In fact, what does SV mean by adopting a law that, in itself, discriminates against those who have low formal education, such as those who do not. do not have professional letters and good character books to wave with? I believe it is an unfortunate side effect of the law that we are now adopting, that in order to avoid conflicts and to end up in the courtroom, an employer must first and foremost take into account the purely formal, documented professional qualifications to be on the safe side in order to avoid conflict with Section 55(A) of the Working Environment Act. So we're in a situation where those with the best characters make it strong, and I have little sense of that. We want everyone to be able to do the same when it comes to the right to work, but we don't think we need this type of legislation to achieve that goal.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e163	As a result, the string shift has ended.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e166	Let me link a few brief comments to the setting. It is mainly aimed at the two theses that have been obtained. One of these relates to the introduction of the obligation to provide information, the sharing of the burden of proof and liability. From the Workers' Party we are a follower of a strong working environment law. It is important to have a work environment law that protects individual workers and jobseekers. It is therefore particularly important to have this Section 55A that we now deal with, and which provides protection against discrimination in the labour market for groups we know of experience being discriminated against. Therefore, it is also important that the Government promote the changes that are reflected in the proposition and the setting and that benefit people with disabilities. We have a good work environment law today, but no matter how good the work environment law is and will be, it unfortunately does not guarantee that discrimination takes place on the labour market. It is precisely in the light of the desire for greater protection for individuals that the majority of the Committee supports the Government's proposal to introduce a shared burden of proof in discrimination cases, while at the same time strengthening the provisions on sanctions. At my discretion, we are now introducing a shared burden of proof, an important innovation in labour law. It is important for the individual that, in the light of the changes that are now taking place, he or she should not have the full burden of proof in which he or she considers himself to be being overlooked or indecently discriminated against. This means that we are now introducing a provision that obliges the employer to ensure that discrimination has not taken place. That then also put a rice behind the mirror in the form of compensation in the form of indiscriminate discrimination, I think will have a preventative effect in that way. The other difference relates to the employer's own share in order to facilitate the employment of people with disabilities. An employer currently has an obligation to pay for the organisation of the work of employees who have been permanently employed in the enterprise for more than six months. This is also a question of removing this obligation from the employer. There may be a discussion and an assessment that needs to be considered at a later stage, perhaps in connection with the management of the Sandman Committee's settings.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e179	It's going to be line change.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e182	In order for this legislative proposal to become a little clearer, the representative of the Government Party has to answer the following very central questions: What is the weight of an employer’s right to put on the less documented qualifications of a jobseeker, such as: self-assessment of personal suitability by the employer? It is not possible that the formal qualifications of a jobseeker should be absolutely essential for employment under Section 55(A) of the Working Environment Act. This is a very important element in this context. I hope that the representative Odd Eriksen from the Workers' Party knows what he will answer this question, which I repeat: what emphasis is it allowed to put on an assessment of personal suitability rather than the formally documented qualifications? I hope that question is understood, and that we get a good answer to it.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e189	There is in no way any provision in this respect that restricts the right of the employer to assess the suitability of an employee applying for employment. What will limit the right of the employer is that there are obvious issues related to the obvious discrimination of workers seeking a job, which is something they want to prevent by means of this legislative proposal. It surprises me that it is the small-body party that has the kind of concerns of the bill that Andersen's representative expresses. It is precisely in order to take account of those who initially find it most difficult to fit into the labour market that the law has been promoted. Disability is one of the groups we know from experience that have problems getting into the labour market. The more we are able to facilitate this group's ability to fit into the labour market, the better it needs to be. That's my starting point and the starting point of the Workers' Party.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e196	This was a very interesting answer. I understand this on the representative Eriksen that there is a very great opportunity for the employer to assess and emphasise the personal suitability, i.e. what comes on the side of what can be documented in any legal case about this, the purely formal, purely professionally documented qualifications. Would it then be possible to say that a person who complains and goes to court because he believes he has been discriminated against and discriminated against under Paragraph 55(A) cannot be expected to comply with a judicial decision even if he has better documented qualifications to refer to, than the one who was employed by the employer contradicting it by saying that the person who was added had other, more informal advantages – he was personally more suitable for this position, so I did not place such a great deal of emphasis on the documentary, formal qualifications of jobseekers? Is that the answer that Odd Eriksen now gave, so to understand?
ParlaMint-NO_2001-03-22-lower.ana.ud1197e201	I have by no means intended to enter into a debate on the recruitment procedures of the Chair here. What still surprises me is that the representative Torbjørn Andersen does not see that there is still room for us employers to assess the personal suitability of the people we are going to employ. Today, it is true that private employers are as good at employing people with some type of disability as they are in public. In many ways, it's the public that should try to be more good at employing people with some disability. The formal qualifications of a jobseeker will always be easy to document, so it is not at the level of concerns related to the law that the Progress Party is now expressing. What the law takes as a starting point is that there should be no discrimination against jobseekers linked to some type of disability, for example: And that kind of consideration I think there should be a broad consensus here in the hall to be able to attend to.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e208	No more words have been asked for.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e211	It should simply not be allowed to discriminate in our society, and it should certainly not be allowed to discriminate against disabled people when they are added. In the summary made by the non-discriminatory groups, there was an absolute lack that disabled people were left out. There are many people who have some type of disability, actually between 17 and 20 pst. And although the participation of people with disabilities has increased in the 1990s, the disabled have a significantly lower participation rate than the average of the population. I believe that the labour market’s need for labour will make corporate sports open up to those who are working in a disability. But it's a future. Per. the date when disabled people experience a high degree of discrimination in relation to their working life. These are the feedback I have received. And that's sin, for work gives access and a community and has great impact on the life of the individual. Therefore, enterprises and, in particular, society must provide facilities for disabled people to actually carry out their work, as expected. It is not the case that persons who have limited performance in relation to a position are covered by this protection of discrimination. It has to be clarified – and already has been done – that this amendment does not provide the right of access for people with disabilities but that it should prevent indiscriminate discrimination. And there's a difference between the two things. The Christian People's Party is concerned that employers' assets in the organisation of permanent workers with disabilities must be minimised, and it must also be easy to get such facilities through social security and other public services. That is why we think it reasonable to follow this up at the next budgetary procedure or perhaps at the follow-up to the Sandman Committee. The Christian People's Party also believes that the change of law can contribute positively to changing attitudes, that a person with disabilities is also important for the labour market, and the Christian People's Party has agreed that § 55 A becomes more effective by introducing information obligations and sharing the burden of proof. These are decisions that Swedish business already adhere to, and there are also two EU Directives on equal treatment in working life, so this is not unknown and uncultivated. The Christian People's Party believes that the change in the law will lead to more disabled people being included in the working life without any additional burden on businesses.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e224	It's going to be line change.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e227	The suggestion in the option contains two elements. One is to include disabled persons in Section 55(A), and then it is to change the burden of proof and to introduce information obligations and liability for all those covered by Section 55(A). This case has been dealt with twice before in the current downgrading session. At the first reading, the Christian People's Party and the Central Party in this Chamber chose not to support the proposals they are in favour of today, namely change in the burden of proof, change by introducing the reverse burden of proof or sharing the burden of proof – dear children have many names, that is about the same – and introducing information and liability. This was clearly rejected on the basis of an argument similar to the one given by the applicant, namely that it would cause a large part of the employment not to be made through open calls, but through the use of recruitment agencies, or that people were found in other ways, because they were afraid that a company could be involved in a complex legal process, and therefore they were protected. You sometimes take the simplest solutions, you know you do. In particular, smaller enterprises have problems with fear of being involved in major legal rounds. My question to the Christian People's Party is, what is it that makes you so drastically think otherwise? I have read the comment, and in the comment they say that it is because the experience shows that this is not working. But the experience doesn't show that this isn't working. Experience has shown that a single case relating to § 55 A has not yet been brought before any court in Norway. This is a law that has been in operation for a year and a half, and you have no experience with this. Nevertheless, Christian People’s Party can already conclude that experience shows that today’s rules do not work. They haven't been tried!
ParlaMint-NO_2001-03-22-lower.ana.ud1197e237	It is true that these rules have not been tested in relation to § 55A, but the equality law has such rules, and they have not had the negative effects on business that one was afraid of. In the case of equality laws, a total of half of Norway’s population is included, including all women – a very large proportion of jobseekers. The Christian People's Party has been very concerned that the disabled are, in fact, largely excluded from the labour market. And it's resource depletion. We believe that there is a need for sanctions to change this, and now the change has taken place in Section 55 A. The disabled are included, and it made it easier for the Christian People's Party to include sanctions. Otherwise, it's not that shared burden of proof is new and unspoiled land. Sweden has such instructions. The EU has this kind of thing. We could soon be forced by EEA requirements to have the same. And the equality law has had such an aspect for a long time, but it has had no negative effects on businesses.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e246	To some of what Erna Solberg asked about, and as Apelthun's seal did not answer any particular question: It is true that everyone here is concerned that people with disabilities are getting the best possible job offer. The Christian People's Party is concerned that they are being excluded from the labour market, and it was said that the possibilities of work are now considerably increased by the sanction provisions of Section 55(A). But I heard little about what Erna Solberg asked about whether we could have situations where jobs were not published or advertised at all. And it is asked whether it helps these groups of people mentioned in Section 55(A) to get more opportunity to get work, when we have to assume that job calls will now take more anonymous form. I would like to get an answer to that exactly from the Christian People's Party, whether they think it is relevant, or whether they reject it as immaterial.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e253	The fact that companies go directly into the labour market and pick up the people they need, and as they know, without having been advertised or announced that a job is available, I think there is a growing tendency to assume that there may be few seekers to the positions they post. But this is a hypothetical question, and one shouldn't answer hypothetical questions. I don't think this case alone will be a factor that increases that trend, but I think the trend is there in itself, and so he can be a problem for those who are not asked to take a job. I understand that the Progress Party is very concerned that it is the formal qualifications that are now becoming unanimous. I have no faith in it. I've assigned thousands of people in the public sector, and there are also certificates of having done a good job, documentation, references, seniority, all of these that are not formal qualifications with exam papers, qualifications, as a counter, and that have to count further forward.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e260	Now it's the case that the Equality Act is not just about employment. It is also concerned with everything else that takes place in relation to discrimination, for example. when you are at a workplace. That's why I have a question, because I'm a little interested in knowing what it is that has made the Christian People's Party actually changed its position. Many of the cases that have been dealt with in relation to the reverse burden of proof in relation to the Equality Act relate to employment where, when you are first employed, you have a further right of governance for the employer than in other cases. Many of those matters are about it and about the private sector, because there are some questions about the degree of governance that an employer should have, and what can be put into the concept of a ‘substantial condition’. I just want to know if the Christian People's Party has gone through and looked at the number of things that have been, since they justify the change in position with this. In addition, I would like to, because there are so many different perceptions of what is a ‘serious reason’, to ask the representative to say a little about it. That's where the problem lies. What is the cause of employment? What do you put in that? Is it e.g. the stomach feeling that counts when you have interviewed five-six different people who are reasonably equal? Is it the feeling of the person who's going to work with the person that's crucial to who you actually want to have in the company? Is that a cause for concern? There are a lot of people, not least at first-time jobs, for example: by graduates, based on that type of assessment. If that's an actual reason, it's proven how to deal with this? There are such things that make me think that this law is difficult to deal with.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e265	I have not said that it is easy to decide on this law. There are many laws that it is not. What is a very serious reason? There I have my own experience of building on it. It is clear that a very large number of options are decided at an interview and then there will be a subjective assessment, but there is no reason to say that there is no valid reason. And then it's possible to specify what the ratings went on. If that's not going to happen, we're going to get back to it. Here we are talking about active discrimination against a disabled person, and that is what this law prohibits. The second issue was blatant discrimination and equality law. I have not personally gone through this, but in the matter we are dealing with now, it is clear that the paragraph that is in the Equality Act, which is identical to the one that we are now introducing, has not resulted in significant burdens for the individual companies. I believe that, without having personally dealt with all the matters that have been dealt with under the equality law.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e274	The cord shift is over.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e277	We have, as I mentioned in a previous line, dealt with § 55 A several times, in fact we have introduced § 55 A in relation to the protection of discrimination, during this period. When we did that, the Right had a serious discussion if we were to go this way, if we were to make this kind of law. Because we didn't originally mean to use the law for a number of attitude paragraphs or this kind of code that we know very well from other countries, for example. The United States, which the EU has adopted in recent years, and which other countries are also aware of. One of the reasons we have traditionally not been so willing to go that way is that we believe that the kind of discrimination issues you face here is not solved in the courts. This can be solved through other attitudes in society and by positive means of increasing the number of people with disabilities or from other ethnic cultures into the labour market by making their skills more visible. This is not primarily done by having lawyers discuss whether the feeling of stomach was correct or not in connection with an interview. So we've had a "two-position" for the whole paragraph. But we have said that because it is important to show that we are against discrimination, we have wanted to have a §55A. We also wanted disabled people to go under it, but we had initially wanted to get a better basis for investigation before taking the primary position. So that did not happen to the Bondevik government, and that is why we went in last year to oblige the Government to make a bill similar to one part of the bill that has been promoted today, namely that disabled people should receive a protection against discrimination in Section 55(A). There is no doubt that there are degrees of discrimination. Sometimes it is obvious that employment takes place through discrimination. Most of the time, I think there are many unknowing choices made by those who employ them, that they attribute to those who come from another country, another culture, another language group, or someone who has slightly greater problems of organisation because he is disabled, qualities that they actually don't have, or problems that it will create. This can be solved first and foremost by actively marketing and proving that these can work. That's why we have, among other things, promoting a proposal to improve labour market policies and the integration of people with disabilities, which we have discussed earlier in the Stortinget. When we oppose the proposals on the reverse burden of proof, compensation and disclosure, it is because we seriously believe that it is not the way we get more people with disabilities or foreign languages – or homosexuals for that matter – to work or prevent discrimination. On the other hand, we believe that this is a typical political flagship that is not about getting more people to work, but about making the activity visible for its own part. I have been amazed that the parties that otherwise do not like the United States and other countries of the European Union are the ones that are now most concerned about the legal activity and solution policy that is about meeting up in the courtroom for all things, and that it is those who will actually be involved in this. The main problem in these cases is what is relevant. And the main problem when you're going to face up to a courtroom is to tell you about the cause, about the feeling of stomach you had. There is a very big difference between talking about factual considerations and obvious discrimination, as some of the representatives have said earlier in the debate. Open discrimination is therefore so obvious that the person who is discriminated against can lead the case without the burden of proof being reversed. So with the reverse burden of proof, it's up to the right to start discussing the gut feeling you've had after interviewing people. I think what we're at risk, clearly, is that in the case of many types of work, you start moving the process of recruitment to the recruitment firm or to knowledge and friendship. I agree with the representative Apelthun Seele that it may happen anyway, not because you deliberately want to discriminate, but because I believe that such a new law helps to create a certain fear of getting involved in legal cases and problems. I see one positive thing about this: it is clear that this type of regulation will, of course, work better in the public sector, which has a completely different recruitment process, because there is the factual consideration to be taken, which can be read out of age and longevity. But there are bigger problems in other parts of the world of work, and that's why we can't go into it now.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e292	It's going to be line change.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e295	It is a matter of self-criticism that public employers are not good enough to employ people with disabilities. We really shouldn't be familiar with that, and we should do something about it. I believe that § 55 A will increase the focus on this, and that it will be exacerbating. And I do not agree with the representative, Mrs Solberg, who really believes that there are enough opinions. You have to have both opinions and Section 55(A), as it is now adopted. In this case, however, the Right Party and the Advance Party have found each other and are, almost as usual, on the employer’s side. I hear what the representative Solberg says, but it gets very half-hearted. The right will not have the reverse burden of proof, which means that the employer must prove that he has not discriminated against a disabled person in the event of employment. Nor will the right party have any obligation to provide information about this, nor will it have any compensation. On the right, the employer’s right of governance is protected in relation to employment, even though we know that many are discriminated against by employment today. At the same time, Right-wing proposals for increased labour migration promote to address labour shortages. This doesn't make sense. Why do the Right only welcome certain groups on the labour market even in a situation where we are sorely lacking in labour?
ParlaMint-NO_2001-03-22-lower.ana.ud1197e304	It ran me through some unparliamentary expression when I heard the post. I'm not going to use them, but I honestly think that what the representative and the committee leader now said, really isn't what's in the law section even. The reason for sharing the burden of proof has been that the employer should not prove that he has not been discriminated against. Actually, that's not what Brørby is now saying, which is in the legal text, and which we are going to vote on. It's all the big difference between the reverse burden of proof and the dividing burden of proof. At the same time, all the representatives who have spoken have spoken about the right of management of the employer not to be restricted. However, the representative Brørby says that the right protects the right of the employer's right of governance, and therefore we do not want any more work – or anything else in that way. What I think is astonishing, is that the committee leader does not know what we should really vote for now, and gives us views that other workers' party representatives have actually also made comments about, which should be equivalent to the fact that they also believe that corporate governance is right. They do not believe that the enterprises are required to prove, but are required to verify. Proveing is something completely, completely different from probating. We want more people in work, and we want to do it in the most effective ways possible. In fact, I don't think these law paragraphs are any particularly effective way to get more people to work on. I think, on the other hand, that there may be some possibilities for some of those we want to help, to get into these types of jobs, because you create a fear of what consequences it can have for businesses to start an open recruitment process. Now I'm not going to blow this up any higher than that, because we think attitudes are being combated by having a general section 55 A, without these running-to-court and court paragraphs, which might be able to counteract what we really want. This has nothing to do with our proposal for increased labour immigration. Our proposal for increased labour migration is about bringing in people who the employer has already agreed to get a job. I think that the distress in Norway in terms of labour will ensure that we get far more in the job of all the groups we are discussing here today.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e313	This is a historic day. There is a right-wing representative on the floor of the Stortinget and warns against two EU directives. From the Center Party's side, we want a law that contributes to consciousness and behavioral change towards a more inclusive working life. Today's proposal, which is in line with two EU directives, stresses that good proposals can be made by the EU. We want to have free trade to evaluate each individual of them. But my question will be: is it actually such that, in a growing period where the Right – often passive and without posts, but otherwise active – has given its support to the Labour Party on a case-by-case basis in order to introduce one EU directive after another in Norway, then is it when it applies to discrimination at the time of addition, right now will put the foot down?
ParlaMint-NO_2001-03-22-lower.ana.ud1197e321	The representative Magnhild Meltveit Kleppa has been the State Council and has therefore not met in the Stortinget during the usual debates of the Municipal Committee for two and a half years. If she had, she would have discovered that this was not the first EU thoughts I have distanced from, I think it has been foolish that we should implement them in Norwegian legislation. In fact, there are a number of things the EU does that are not particularly wise. There are a number of public compromises between different nation states where the sum is not what we wanted to do. But it is in a way out of proportion to the EU's benefits in terms of cooperation and peacekeeping and the ability to make effective decisions at a level that can implement them, and not in relation to all the other things we should really be discussing with regard to the European Union. It is not the question of the reversal of the burden of proof or the sharing of the burden of proof in the courts that is crucial to taking a position on an EU position; it is more the long-term trends in Norway’s ability to influence its own future – also in areas where we have already given authority to the EU. It may be that if Norway had been a member of the EU – at least with another government – they might not have been given exactly these directives, or this toy regulation, a regulation that I think most people in the Grand Duchy think is unnecessary, as it does not get as hot in slabs in Norway as in slabs in southern Europe, and it is therefore not so dangerous if the slabs in the kindergartens are facing east or west. There are many of those things that we might have gotten better rules for if our experience with other slides had been in the decision-making phase. So it's not today, and then we just have to include it in the rest of the legislation. But not everything is God-reserved in the European Union. They would have made an even better decision if we had been there. Sometimes we have to weigh what's important, up to what's not so important. Should there be an EU directive in this area that we had to implement, we would probably have voted for it. It has not yet come, and then we choose to stand on our own right in this area and say that this proposal does not believe we are deceived, whether it comes from a workers' party government or from a Council of Ministers in the European Union.
