ParlaMint-NO_2001-05-09.ana.ud2047e27	The called alternate of the Uppland County, Gry Larsen, has taken the seat.
ParlaMint-NO_2001-05-09.ana.ud2047e181	Fortunately, the increase in sick pay now seems to be on the way down. I am very pleased about that, and I think it is an effect of the fact that the scheme is now being debated. We know from the past that attention to the questions is also involved in reducing the payout. In addition, I was asked here whether I would like to focus particularly on women with mental disorders – as far as I could see. We know it's a big problem. We're following up the psych reform. In addition, we will get to work and look at how prevention can be done at work. There's still a lot of health to pick up for everyone.
ParlaMint-NO_2001-05-09.ana.ud2047e189	Erna Solberg – for follow-up questions.
ParlaMint-NO_2001-05-09.ana.ud2047e192	So if I understood the Social Minister correctly, it is that the Right puts a critical search light on the health pay system and gets it under debate, which makes sick leave go down at the moment. We must then – on that basis – have a worthy role in Norwegian policy. We did the exact same thing at the beginning of the 1990s. It was then a decision on the composition of the parties between the NHO and the LO to look at sick leave in a three-year programme, just out of work, in order to take action on the environment at work. The first year of sick leave fell. After that, it rose - and reached new record heights. Is it not time to make a fundamental reassessment of whether we are going to have one social system in Norway that is 100 pst. compensation, when the Workers' Party is behind all other social arrangements that give no more to people than between 50 pst. and 60 pst. in compensation? The sickness pay scheme is the only scheme that gives 100 pst. compensation. Why is it that a person who is ill for one and a half years can have a proportion of between 40 pst. and 50 pst. on recovery, while it is terrible if you have 10 pst. The first year?
ParlaMint-NO_2001-05-09.ana.ud2047e201	That the medical pay system is being debated, I think all the parties and not just the Right should be credited for. It's important. The same thing happened at the beginning of the 1990s. The Labour Party doesn't want to introduce Karen's days in the same way that Right will, because we know that it doesn't work. It didn't work in Sweden either, as was pointed out here, except for a very short period of time. What is likely to work, on the other hand, is that the employer is much more involved in paying what is needed, because then it is an economic incentive to get people back to work, and sick pay and disability are not a way to park labour, labour that we do not want, and which may not be 100 pst. Good enough.
ParlaMint-NO_2001-05-09.ana.ud2047e208	Magnhild Melting Group Kleppa – for follow-up questions.
ParlaMint-NO_2001-05-09.ana.ud2047e211	The Sandman selection itself indicates that the changes they propose in today's sick pay scheme will affect the low pay in particular. We know who's low-paid, we know who's most exposed to sick leave: they're the women. In the Central Party, we are pleased that the Labour Party, after thinking highly about the Sandman Committee's proposal when it comes to changes in sick pay, let it go. We support that. Then, in its first response, the Council of State says that it is important to focus on action at individual workplaces. My question is, What initiative does the Government take in this way? The center administration provides an idea bank, an instance instance of the workplace, an opportunity to report and collect examples. What makes the government council more aware of the idea bank, and what other initiatives will it take?
ParlaMint-NO_2001-05-09.ana.ud2047e218	We will follow up the many proposals of the Sandman Committee and present them to the Stortinget. And it will come in good time before the elections.
ParlaMint-NO_2001-05-09.ana.ud2047e223	Siv Jensen – for follow-up questions.
ParlaMint-NO_2001-05-09.ana.ud2047e226	Another very important welfare scheme is the popular return, and not least the regulation of the basic amount, which has been subjugated over many years, so that the average purchasing power development of pensioners has been weakened every year. Is it now that the Government is going to commit itself to a massive increase in the basic amount, so that purchasing power developments will be better for pensioners as well, or will the Government continue to pursue the policy they have sadly pursued over many years, and underregulate the basic amount through annual social security schemes, so that purchasing power developments are even worse for many of the pensioners who are already having difficulties? This is a very important welfare system that should have been clarified by the Government before the elections.
ParlaMint-NO_2001-05-09.ana.ud2047e231	The regulation of the basic amount or the popular settlement has just arrived in port, recommended by the parties, i.e. the Norwegian Pensioners' Association, the LO and the Joint Organisation of disabled people, this year as last year. It's the two times this government has had the opportunity to do something about the basic amount. So we follow up on what we've said, that Norway should be a good country to live in for retired and disabled people.
ParlaMint-NO_2001-05-09.ana.ud2047e236	Olav Gunnar Ballo – for follow-up questions.
ParlaMint-NO_2001-05-09.ana.ud2047e239	The question is two-part, and the first one should be easy to answer. Now the Council of State says that the government's conclusions to the Sandman Committee's investigation will come in good time before the elections. Does it mean, in concrete terms, that we are being presented with it in the context of the revised national budget? Furthermore, in the case of sick leave, we see that long-term absence is the main problem. As Are Næss was also concerned with his previous question, we see that especially women in care professionals are struggling with problems because of the strain these professions represent. In the context of looking at sick leave overall, the Government will also look at the causes of sick leave, for example. occupational diseases? Until now, care professionals have been excluded and not recognised occupational diseases related to that type of absence and long-term absence.
ParlaMint-NO_2001-05-09.ana.ud2047e249	I agree with the representative of Ballo that long-term absences are worrying, and that it is particularly important that we look at what is happening in the nursing and care professions, both in the interests of those who work in these professions, and because we want to recruit more people for these professions in the future. We are constantly looking at occupational injuries and that kind of problem. As the representative of Ballo is well known, it is not always as easy to determine what is professional and what is not, in case of long-term wear.
ParlaMint-NO_2001-05-09.ana.ud2047e256	Odd Roger Enoksen – for follow-up questions.
ParlaMint-NO_2001-05-09.ana.ud2047e259	The Minister of Social Affairs has now, in the same way as other members of the Government, confirmed that the Workers' Party does not intend to weaken employees' rights. I'm glad. That's the same position the Centre Party has in the discussion on the sickness pay scheme. However, in response to the representative Solberg, the social minister said that what will work is that employers pay much more. Does this mean that the Government intends to make proposals about how increased costs should now be passed on to employers?
ParlaMint-NO_2001-05-09.ana.ud2047e264	What is proposed in the Sandman Committee’s investigation is that the employer should enter the entire medical period. I think this is a very good proposal. How we're going to solve it in relation to where all the expenses are going to be, I'm going to come back when I bring the matter before Stortinget.
ParlaMint-NO_2001-05-09.ana.ud2047e269	No pay - for follow-up questions.
ParlaMint-NO_2001-05-09.ana.ud2047e272	I understand that the Minister of Social Affairs is reluctant to deal with political issues. The representative Foss asked a question about the relationship between Swedish and Norwegian social policies, not with the aim of interfering in Swedish social policies, but to ask questions about the policies of a social democratic regime in Sweden, is of such a nature that the Norwegian Labour Party and the Norwegian Government find reason to distance themselves from it and distance themselves from it. Otherwise, the Minister of Social Affairs said that there would be no weakening of workers' rights. It makes me ask a real fundamental social policy question: Does the Government think that the workers are the most underprivileged group in Norway, who have the most need to be protected from the slightest excess, or can there be other groups in the Norwegian society there is a greater reason for a social minister to take care of?
ParlaMint-NO_2001-05-09.ana.ud2047e281	There are many groups in the Norwegian society that demand the attention of the Government, including the workers and the way in which we are going to have sick pay schemes. For the Workers' Party, the work-line of social policy is the most important tool. This means that keeping people in work and working life as far as possible is a key objective.
ParlaMint-NO_2001-05-09.ana.ud2047e288	Let's move on to the next main question.
ParlaMint-NO_2001-05-09.ana.ud2047e291	I also have a question for the Minister of Social Affairs. In previous spontaneous questioning, there was a dialogue between the Prime Minister and the Prime Minister’s candidate for poverty in Norway. I see the Workers' Party as a party that is concerned about getting them better. We in the Christian People's Party take all measures to achieve that. When it comes to the reason that we've got more so-called poor children in Norway, it's said, among other things. from Marit Solli, the leader of the Salvation Army's slum station, that the progress we have now is probably due to the changes in the transitional benefit. As the Minister for Social Affairs knows, it was the Labour Party that proposed changes in the transitional aid that are exacerbating the single caregivers. The Labour Party received support from the Right and the Progress Party to do so. We now had the full effect of these changes from the turn of the year. What does the Minister for Social Affairs want to do to fix this? These measures will directly help many of the so-called poor people. And what thoughts does the Minister for Social Affairs have in relation to any changes in the laws when it comes to transitional aid?
ParlaMint-NO_2001-05-09.ana.ud2047e300	In the case of poor children in Norway and women receiving transitional benefits, it is largely not the case that women receiving transitional benefits are poor because the transitional benefit has improved considerably, but it has a shorter working time. What is expected now is that when the child becomes three years old, mother – or father if he is the lone parent – will have to work to support himself in the usual way. It's true, as the representative says, from 1 January this year we got the first group to lose the transitional benefit. We have followed closely to see if it is such that many of them now go to the social office. I'm glad to say that's not the case. There's actually not many of them. But what we're looking at is whether the right thing would have been for those who go from transitional benefits and have not got a job or are in relevant education to be connected to the employment office and unemployment benefits and have rights to do so.
ParlaMint-NO_2001-05-09.ana.ud2047e307	Thank you so much for your answer. I would like to add that I am aware that it is not those who are in transition, who have the big problems, because they have good support, and they also have some of the cash support, which means that they actually have good financial conditions. But it's because you have the cards down on the possibility of getting transitional benefits, that some of them have problems. What I want to challenge the Minister for Social Affairs is: Can't the Labour Party reconsider whether you could combine transition aid and work for longer than you can do today? Before, an actual person could do that for ten years. Anyone who has children knows that it can be quite tiring. If you're alone about responsibility, it's not easier than if you're two to share it. Combination solutions, e.g. half in work and half in transition, would be good help for many of these families. In addition, the fact that there are few debts does not help much. In fact, if few people have to go on social welfare – and most people get into work – it should be little expensive to change the legislation so that they can keep the transitional benefit for more years than they can now.
ParlaMint-NO_2001-05-09.ana.ud2047e319	I have to remind the representative that this is actually how we create new social security schemes, so we might recruit more than we would otherwise have. As for the duration of the transitional benefit, I am actually very happy that it has now become shorter. When the transition aid came in its time, there was a help for women living under conditions where they were totally economically dependent on a man, who might not be kind to them – they were going to get the chance to get out. What has happened in society in the meantime is that most women actually choose to work, and so do most women with children. I think the very best social policy tool is that you can be at work when the child is three years old and can be in kindergarten. It's better to live on your own income than to depend on whether it's a man or a state.
ParlaMint-NO_2001-05-09.ana.ud2047e328	Let's move on to the next main question.
ParlaMint-NO_2001-05-09.ana.ud2047e331	I'm going to ask the Social Minister a question that goes on some of the same topic that we've been dealing with before, this with Difference Norway. We've got the concept of new-rich, but we've also got the concept of new-poor. The Labour Party is obviously more concerned about the first category than the last, at least if you look at tax policy. Prime Minister Stoltenberg has now indicated that the ceiling for the top tax should be adjusted, which is around 300000 kroner today. I'm more concerned about those who now really have problems getting their ends to meet. The poor children were the theme of the previous question. We have lonely caregivers, we have sick and elderly people, not least the minimum pensioners, who get big problems. Our tax system should then really serve for distribution and solidarity and be based on taxation according to the ability principle. I would like to ask the Minister for Social Affairs whether it should not be a better socially-oriented tax policy to talk about a bottom-up tax, which gives everyone tax relief, not least those who have major problems.
ParlaMint-NO_2001-05-09.ana.ud2047e342	The government of Stoltenberg is busy raising those who have the least, we've been doing that as long as we've been sitting. We have put forward a social and economic security plan that focuses on employment, housing, income protection. We do this because we know that those who are poor in our society have little connection to the world of work for different reasons. It could be disability, it could be drug problems, it could be low education. We're looking at this. We also know that housing prices are part of making people poor, we're doing something about it, and not least we're doing something about the income hedge for some groups that have fallen off. We're looking at the children's allowance for the disabled, and we're looking at the opportunities students who get seriously ill should have to not get into an economic trouble because of the disease. We look at how we can help people who have had long-term care tasks at home, and who no longer have them, to get back to work. Tax is also a possible tool, but as a social minister, it is these schemes that I have concentrated on.
ParlaMint-NO_2001-05-09.ana.ud2047e351	I thank you for the answer, but I think there was little answer to the tax and the social profile. I agree that there may be other ministers in charge of fiscal policy, but in my view, social policy in relation to tax and tax matters has a responsibility for everyone in the Government. It is also the case that those currently taxed on the basis of social security and pensions have lower deductions for income less than DKK 140000 than those with employee income and deductibility. I think the government should look at these things. And if, as I said, we are going to have a fiscal adjustment and a reduction in tax burden, it should be primarily for those who have problems getting the ends to meet. So the social minister mentioned among other things. housing prices. It is not her prayer to that extent either, but she was now involved in action. I would like to ask the Minister for Social Affairs: has the government now discussed measures in relation to the huge increase we are getting in the electricity price next year, for those who have problems with living, not least housing and electricity costs? With a triple here, even more with low incomes will have problems.
ParlaMint-NO_2001-05-09.ana.ud2047e360	The government presented the redeployment budget of the times when we presented the budget that we are now running, and as far as I know, the Central Party was also involved in a settlement. I am pleased because there was a significant redistribution. We keep tracking the power prices, and if we think it's necessary, we'll also take action there.
ParlaMint-NO_2001-05-09.ana.ud2047e367	The President is aware that many people appreciate regular customers. So does the President. There will be follow-up questions – Karin Andersen.
ParlaMint-NO_2001-05-09.ana.ud2047e372	There are many forms of taxation, and some of them hit the poorest and the sickest most. And excesses, which are taxes on sickness, or taxes on care needs, are a form of taxation that SV deeply disagrees with, because we believe that taxes should be taxed on ability and not on whether you have poor health or whether you have a care need. Reducing excesses would, of course, be a measure that helps both sick and old and also many children and young people, who now have to pay for excesses because they are either unlucky and sick, or because they are taking part in activities. Can the Government propose to provide an action plan to reduce the use of excesses in particular in health and care services?
ParlaMint-NO_2001-05-09.ana.ud2047e379	We're concerned that excesses should not be eliminated unfairly. I feel quite certain that most of us are able to pay a delicacy when we have to go to the doctor with our flu a rare time, or what reason we are now going for it. But those who have significant costs in relation to their disease shall be screened. We also have a roof in relation to some healthcare services, and we have looked at the possibility of providing a roof 2, as the Storting has asked. We found this very difficult to achieve, because there are three parties that require, and they require so different things. But what we've done, on the other hand, is we're dealing with what's really precious. The dental service is one of them, and this with rehabilitation is another. That's where we've done something. These are questions that we're dealing with all along. It is also necessary to follow up the Jensen Committee's investigation, which took this up a long time ago, and we are now working on this in my department.
ParlaMint-NO_2001-05-09.ana.ud2047e388	Magnhild Melting Group Kleppa – for follow-up questions.
ParlaMint-NO_2001-05-09.ana.ud2047e391	Governments include several groups to which action is important in relation. I would ask her to supplement the list with those of the single caregivers who have the difficulty, cf. The question from the Valgerd Response Centre Haugland. Many measures are important, and this is why the Equalisation Communication adds to the improvement of public services, a more offensive housing policy, a softer workline and a fairer distribution of taxes. This is exactly what we're talking about, and it's not supposed to make one of these bets on some of these pieces, and not on the rest, because then there's a large group that's low in income, which still has to pay a huge amount of income in relation to people with higher incomes. [[The President clubs.]] What's the Plan for the follow-up of the Smooth Message? [[President clubs again]]
ParlaMint-NO_2001-05-09.ana.ud2047e401	As so many times before, the President reminds us that speaking time is up to 1 minute.
ParlaMint-NO_2001-05-09.ana.ud2047e407	As I have already said, we have actually submitted and delivered a budget that redistributes on the tax side in a completely different way from what the central government did in the years they sat here. But I'm very happy that we agreed to a settlement in this respect. We have no plans to add to the taxes of those who need it the most, we are for redistribution and have also shown it.
ParlaMint-NO_2001-05-09.ana.ud2047e417	Erna Solberg – for follow-up questions.
ParlaMint-NO_2001-05-09.ana.ud2047e420	It is true that the tax may be the least problem for the low-income groups in Norway, while the level of charges and costs in Norway is the main problem. And what it actually looks like is that there has been a trend in recent years that the Workers' Party, in cooperation with the middle parties, has chosen to finance its increases in budgets by increasing the charging sector instead of cutting off schemes. One example of this is that the year's budget has just been aged 2 1⁄2 cents in an increased electricity charge. It is intended by the Ministry of Local Government to cost a minimum pensioner in a three-room apartment $600 more a year, a normal family with one child $1,200–1,300 a year – in a very carefully funded house. And there was no compensation for these groups in the state budget or the conciliation. Does the Council of State regret this? It is not in line with what the Council of State has said about a more social profile.
ParlaMint-NO_2001-05-09.ana.ud2047e425	As far as the electricity charge is concerned, it is clear that it affects everyone who has very bad advice. But it's also the case that those who have very poor advice get housing support, as well as that we have regulated G in such a way that we have actually received support from the organisations that represent the social security recipients. So we've also made it possible for them to live with the costs that are.
ParlaMint-NO_2001-05-09.ana.ud2047e430	Let's move on to the next main question.
ParlaMint-NO_2001-05-09.ana.ud2047e433	I have a question for the Social Minister. On 2 May, the Prime Minister was here in the spontaneous Question Time, and questions were then asked about the situation of poor children in Norway. The Prime Minister replied, inter alia:\t\t You can change the settings of the grid. "What we've done is several things. Among other things, we have presented an action plan in the long-term plan to combat poverty, and we have presented new guidelines for social assistance rates.’ As far as the long-term plan is concerned, it is understood that there is something far ahead of time –once in a blue moon, as it is called in English. In the case of guidelines on social assistance rates, his answer does not make it clear whether this means a improvement. Can the Minister of Social Affairs state precisely how social aid rates can help to improve the situation of poor children when it is indicative and it is the municipalities themselves that actually decide the rates?
ParlaMint-NO_2001-05-09.ana.ud2047e445	I'm going to stick to my mother's goal and explain how far it is on the social and economic protection plan contained in the long-term programme that will be implemented over the next four years. In terms of how the social assistance guidelines can improve for poor children, recommendations are made to municipalities. We have municipal autonomy today, and I want that to continue. But we still make recommendations on social assistance, where we introduce our own age-rated rates for children who will make children in the municipalities that follow these guidelines better. This has been done in other countries, and it has been shown to have an effect even if it is not made as norms.
ParlaMint-NO_2001-05-09.ana.ud2047e452	So we see that a number of rates are not determined by the municipalities themselves, but based on a basis of calculation established by the State. Examples include sickness pay, rehabilitation, rehabilitation and disability. We see the same thing with the child's back. We are talking here about the group in the country that gets worse and that there is the greatest need to ensure through targeted measures under state control. It would seem most surprising, then, to argue that it is precisely in this area that the municipalities themselves should determine it. This must therefore be taken out of the context of the municipalities, without ensuring access to funds through the guidelines. Can the Minister of Social Affairs justify why one looks so different at social assistance to the poorest in relation to the other rates that are determined by the state, and that thus comes out equally, no matter which municipality in the country you have to live in.
ParlaMint-NO_2001-05-09.ana.ud2047e459	I have to remind you that social assistance is not a social security. Social assistance is meant to be an economic aid in a snipe roof where, for some reason, you do not have your own income. There are countless reasons why people suddenly do not have their own income. It is my view and the government's view that the usual thing in this country is that you live on your own work. If you fall out of your own work because of illness, we have schemes that follow it up, which we've already discussed for several rounds here today. If you lose your job, we also have arrangements for it. The other reasons are so many and so diverse that we need an individual review of everyone. When we choose to say that this is what the municipality must do, when we give norms anyway, it is simply for the municipalities to get some help in calculating the daily consumption.
ParlaMint-NO_2001-05-09.ana.ud2047e466	Let's move on to the next main question.
ParlaMint-NO_2001-05-09.ana.ud2047e470	My question goes to the Minister of Social Affairs. Very many municipalities now have serious financial difficulties in implementing the construction of hospital and nursing homes according to the approved plans – this is due to strong wage and price increases. The cost per person unit today in most municipalities is 40-50 pst. higher than at the introduction of the elderly plan. The investment grant was initially set at NOK 830 000 per year. health place, while the actual costs according to the Häsbanken's own annual report for 1998 showed an average construction cost of 1.1 million. kr. And the cost has increased since that time. Will the Minister of Social Affairs take the initiative within the Government to increase the investment grant both for hospitals and nursing homes, so that the municipalities that started a little late in their construction can have the same reimbursement schemes as the municipalities that started first?
ParlaMint-NO_2001-05-09.ana.ud2047e479	With regard to the further development of the elderly plan, we have discussed it in detail in St.meld. No 34 for 1999-2000, which was dealt with here not very long ago. So instead of going for increased cost coverage for each unit, we chose to increase the number of units by 5,000. We see that the municipalities are still planning, and we see that there is still a great interest in the scheme, which makes me feel quite confident that it will be implemented anyway. What we have to do now is distribute the remaining structures to the municipalities that have started late and that we have regular contact with, through the county, the county doctor and the department.
ParlaMint-NO_2001-05-09.ana.ud2047e484	I thank you for your answer. I think it was a remarkable answer to my question. Nome Municipality of Telemark has now completed the construction of a nursing home with 70 seats at a cost of 1.4 million. kr per. Possible values are: space, space, space. So the cost is 75 pst. above the basis for reimbursement per cent. the date of issue. If the municipality is to do this, you have to deprioritize other priority tasks, not least in terms of children, youth and care. As I see it, both the Government and the Stortinget fail in the promise given to the municipalities to finance nursing homes and nursing homes when the reform was established. Does the Minister for Social Affairs agree with this assessment, that both the government and the magnificence have failed the promises made at the start of the elderly package?
ParlaMint-NO_2001-05-09.ana.ud2047e495	The government has laid the foundations for a significantly better economy in the municipalities during the time we have been sitting. I think this is the explanation that there are still many municipalities planning and building nursing homes and nursing homes at a ripping speed. Therefore, I can in no way agree that we have failed. On the contrary, I am very happy to see that it goes forward. The main problem is probably how we're going to distribute the remaining units, rather than how the municipalities can't build them out.
ParlaMint-NO_2001-05-09.ana.ud2047e500	There will be follow-up questions – Sonja Irene Sjøli.
ParlaMint-NO_2001-05-09.ana.ud2047e503	It has also been shown that many municipalities choose to build nursing homes because this will fall less cost-effectively for municipalities. So they have too few places for good-bye care. In order to ensure that adequate provision is made for day care, the Right proposed a higher start-up grant for nursing homes with day care equal to the health home grant, while maintaining the start-up grant for nursing homes that only offer home care. This voted against the Workers' Party, despite the fact that it would be able to provide significant additional spaces with day care and flexibility, not least in relation to users, including: by preventing them from moving to a nursing home when the need for care increases. My simple question is: why does the Workers' Party go against such a solution that could give a much better offer and more places?
ParlaMint-NO_2001-05-09.ana.ud2047e512	What is very important in terms of care for the elderly is that we have many different offers — for those who don’t need much help, for those who need a good deal of help, and for those who really need a lot of help. What we've seen is that offers in the first category were first developed. It was easiest for the municipalities to intervene, and it is easy to understand. We now see that there is a significant expansion of nursing homes. And as the representative, Mr. Sjøli, knows for sure, Stortinget has helped to adopt the criteria that are now being taken into account when awarding, where the nursing homes that are being supported are those that have a care base close by, so that you can get substantial help and support in nursing homes as well.
