ParlaMint-NO_2001-11-15.ana.ud687e26	The representative of Ola D. Glötvold will make a private proposal.
ParlaMint-NO_2001-11-15.ana.ud687e124	I just said that I was a little surprised that the Middle East was not affected in the presentation, because there has been a lot of discussion about what is the cause of exactly this terror we see here. I, for my part, believe – and I think there are many others who do – that it has its background in the Middle East situation, and an overall strategy to overcome this terror must mean peace between the Palestinians and the Israelis. I fully agree that what Lilletun said about the human rights situation and at all events about the situation in the Palestinian territories. But it highlights something important, namely that a war situation in which this area has really been around almost all of the post-war period, leads to a lack of political, social and economic development, and it then puts a lid on major underlying problems. That is why it must now be in everyone's interest to bring about a peace that can lead to political and social development. With regard to this with a solution to the Palestinian-Israeli conflict, it was the basis of the Oslo agreement to negotiate a solution. That's why we have, among other things, distanced from violence, violence on the Palestinian side as well as violence on the Israeli side. A solution can only take place through negotiations between the two parties. But I think the international community now needs to put a stronger pressure on the parties in the area, plus the establishment of an international presence in the area, at least to monitor a new round of negotiations and a truce. I also think it is absolutely necessary that the international community assume a responsibility to guarantee a Palestinian state, while guaranteeing the Israeli state. There can be no freedom for the Palestinians without Israel being guaranteed security – and vice versa.
ParlaMint-NO_2001-11-15.ana.ud687e133	I believe that the representative Jagland is very quick and very sloppy in view of the fact that what has now been done is wise for the future. So this is an area of the world that has been under siege by war and civil war for many decades. Since the Soviet Union withdrew from Afghanistan, this has been a forgotten corner of the world with violent assaults on the civilian population and a major humanitarian disaster. Those who have now done acts of terrorism, bin Laden and these other Mujaheddin soldiers, were recruited by the United States in their time because the main enemy to be struck back at that time was the Soviet Union. And that time it was debatable just this: what did it do to recruit a few Muslim soldiers when the big fight was about to end that cold war? Similarly, we are now in danger of doing something that could lead to a new kind of terror in the long term. We actually don't know anything about this. But what we have had the greatest fear of in connection with the acts of war that have now taken place in Afghanistan, in addition to the humanitarian situation inside Afghanistan, has been: what is happening in many other countries in the region, in many other environments where many of bin Laden's arguments have echoed, where one can now see that the United States is the great enemy and is engaged in the fight against Islam? That is what the bishops have argued when they have protested against the war and demanded a bomb stop. That is what many Aghanistan connoisseurs have put forward. Many of those who have been concerned about this region are those who are now engaged, those who did not forget, but who tried to get the rest of the world to be interested in what actually happened in Afghanistan. That's what they've been pushing forward now. They fear a new situation where the world forgets Afghanistan again, where they are left to themselves.
ParlaMint-NO_2001-11-15.ana.ud687e142	I can't see that I've been careless about what's done. On the contrary, there's every reason to ask what's going to happen, but it's just that one line has to be selected. I must remind you of what the UN Security Council has said both before and after 11 September about bin Laden. I must remind you of what the NATO Council did on 12 September. I must remind you that this has broad support in the international community. So if SV now asks the Norwegian government to change its line, it is a rather dramatic matter. I wonder if SV in a situation where they, for example, had been in a government – since that is what is the goal of SV – could stand for such a line. I don't think that would have been possible. The UN, the international community, has decided on a line. We're a member of NATO that supports this line, and we have to try to back it up below. We see that it may be opening up a new opportunity in Afghanistan, but I added in my post that it will not lead to anything good if the international community does not now take full responsibility for what is going to happen further. Now, if you just let Afghanistan sail its own seas again, we're not a step closer to any solution. Then these warlords, drug lords and criminals will continue to rule the country. That's what the international community can no longer sit and watch. Everyone has to see that the current warfare has opened up an opportunity for the international community to actually do something, and that is what I think Norway should continue to support.
ParlaMint-NO_2001-11-15.ana.ud687e156	Several have not asked for the word for a line.
ParlaMint-NO_2001-11-15.ana.ud687e160	First let me commend the Prime Minister for an excellent presentation related to Afghanistan, and also the head of the Foreign Affairs Committee for his contributions here, which I thought was good and ‘to the points’. I fully support what was said. The situation in Afghanistan is changing from hour to hour. In fact, as we meet here, there are significant things happening in Afghanistan. Developments in recent days have shown that the military effort in Afghanistan has produced results, regardless of what someone is trying to claim. We can continue to expect that we may only be at the beginning of the matter. And still it will be that we have to work to catch and quiet the terrorists in Afghanistan – bin Laden and his network. However, we have come a long way. It has become harder, much harder for bin Laden and his network to operate undisturbed and protected from Afghan territory. This opportunity has been an important factor for bin Laden and the al-Qaida network to carry out their actions around the world. International terrorism is a factor in undermining the society that we want both nationally and internationally. If we are to continue to be able to rely on an international legal society, on peace, on stability, on predictability and on international cooperation, we must fight terrorism, fight against its rawness and its total contempt for people with a different view than they themselves have. We have lived with terror of various forms for a long time, but on 11 September this year we experienced a dramatic escalation in brutality. Osama bin Laden and his network took with cold blood the lives of several thousand completely innocent and defenseless people. Opinions from bin Laden afterwards show that the attack was not just an attack on the United States, but that he looks at everyone else who has a different opinion than himself, as opponents whom he has the right to kill. It is a global world that has made a common cause in the fight against terrorism. This work is firmly anchored both in the UN Security Council and in the Main Assembly. The United Nations Charter also has clear wordings relating to the right of defence against attacks. Effective counter-terrorism requires a broad range of instruments. Of course, not only will the military attacks stop terrorism, but it is equally obvious that we do not stop the network to bin Laden and push this up and put the responsible ones to the test, well – then we still have a world of terrorism. At the same time as military operations, there is a wide-ranging struggle with other means. The construction of a worldwide alliance against terrorism is crucial. Intelligence, investigation and measures to halt the flow of money will be important to limit the possibilities for terrorists to carry out new actions. In Afghanistan, we must be prepared to help rebuild a functioning society based on the different ethnic groups in the country. Of course, the main responsibility for this work lies in Afghanistan itself, but of course it should also be that we should help others to build this society further. On the preventive side, it is important to continue work to combat poverty and develop democracy and respect for human rights worldwide. However, it is naive to believe that we will succeed in this if we do not take the terror seriously, and if we do not have the power to clear up the terrorist group in Afghanistan. Terror undermines the ability to live a normal life and to work for a better world. The work for democracy, for human rights and for economic development must be based on a functioning international legal order. Of course, when international leaders are assembled to solve global problems, they must be able to be safe. It must not be the fear of cooperation because terrorists can use the site as their first goal. If we are to succeed in what everyone wants, namely to create a better world of rights and democracy, the international community must function. Then we must not be threatened by a terrorism that we can risk destroying everything we want to build. If we are to succeed in this, we must show firmness. I am pleased that the majority in the European Parliament has done so, with a view, for once, to go to direct attacks on terrorism, although the instruments, as I have stressed several times, must be more than just what we see now in Afghanistan.
ParlaMint-NO_2001-11-15.ana.ud687e181	It's going to be line change.
ParlaMint-NO_2001-11-15.ana.ud687e184	There is no reason to believe that there is no full consensus in the Storting about combating international terrorism. But the question is what means international terrorism should be combated. In an interview with Der Spiegel on 15 October, former U.S. security advisor Brent Scowcroft stated that it was through peaceful means, civilised measures were able to do something about international terrorism, while war acts were most likely to increase recruitment and lead to new acts of terrorism. But as a measure of opinion in the United States, it would work well. I note that Nilsen emphasises the need for international cooperation, which can, of course, be a way of combating international terrorism, by nations cooperating on civil measures both in terms of purely intelligence, and in terms of law and judgment relating to international terrorism. There are also examples of success. You can mention Lockerbie, where they were handed over to the terrorists and were sentenced to a Scottish court in the Netherlands. The same is true of the attacks on American embassies in Dar-es-Salaam and Nairobi. So civil action is absolute alternatives. But when Nilsen so strongly stresses the need for international cooperation, how does Nilsen feel that the US has not followed up its financial commitments to the UN, has not ratified the ABM agreement, has not supported those who would put power behind the non-proliferation agreement on biological weapons, has not followed up the non-proliferation agreement on nuclear weapons, after they have ratified it, has not supported the agreement on the establishment of a permanent war criminal court, and has not supported the Kyoto Protocol? These are examples of the fact that the United States itself is moving towards international agreements that could just help secure the world community and make it a better place to be. Will the Right be involved and contribute to the exercise of pressure on the United States to follow up on these kind of international agreements?
ParlaMint-NO_2001-11-15.ana.ud687e191	It is true that SV has been the party that has been against bombing in Afghanistan. It's impossible to know what that would have done, but I think that if the world community had followed the SV's intentions and thoughts, bin Laden would be safe in Afghanistan. His network would be as strong as before. I ask myself if we had had a safer world. I think the answer to that is obviously no. What happens down there has its negative sides. None of us like to drop bombs. It's not like I belong to a group of ice-cold, older men who don't have the heart for this. Of course, we all see the facets that lie there. But the question is, what is the world society going to do? How are we going to build a safe world together? 42 pst. by the inhabitants of Afghanistan are children. Isn't it also a task to make sure that through this thing we establish a system of governance, a democracy, at least some form of democracy, and develop Afghanistan so that these people can meet a better world than the world bin Laden gives this society? It's an international task to take care of. And then another thing: it's not like this is an action from the United States. It's the world community that has decided to do this. It has been adopted by the United Nations. It has been adopted in NATO. It's the world society that's been taking action against the terrorists. The United States is part of it, but it's not a U.S. action alone.
ParlaMint-NO_2001-11-15.ana.ud687e200	I noticed that Nilsen was not close to trying to answer the question I asked. Instead, Nilsen mixes two completely different discussions. One is the question of how to combat international terrorism, what kind of instruments can we put in, what kind of civil action the world society has to use to do something about international terrorism. That debate mixes Nilsen with a debate on how to create democracy and peace in Afghanistan. If what Nilsen and Right were concerned about was creating peace in Afghanistan, why haven't you been involved in that issue in the five years since the Taliban regime took over? Why don't you get involved in the situation in Saudi Arabia, which is very similar in many ways, where women don't have rights, where we see the population being oppressed, where democracy is being trampled on in every way? Why is it that the Right defends that such a country should be an ally in the fight for democratic rights? This means that you lack credibility in relation to what you're really saying to fight. If it is the case that the Right is going to regroup the line and now join and fight regimes around the world that are fundamentally undemocratic, SV will be the first party to support them warmly in it. But what you see here is that you just have an engagement when Western interests are threatened. Otherwise, you do not actually get involved in the countries where it is undemocratic rule. As far as the Middle East is concerned, one should expect that Nilsen could also be quite clear here with regard to the establishment of the Palestinian State, and that he could be quite clear with regard to the situation in Saudi Arabia. But these are things that Nilsen doesn't say at all. Now, probably the term 'hypocrisy' is an unparliamentary expression, so I'm not going to put it into practice, but it must be possible for the Right, when you say that you're occupied with democracy in different countries, actually to be concerned about what we see the United States do now, that you don't care about international agreements just to create democratic solutions in the different countries in which Nilsen says that you are also in the Right to create democracy.
ParlaMint-NO_2001-11-15.ana.ud687e211	It may well be that Ballo believes that in many ways I did not answer the question. I replied to it in my opinion, because I actually believe that this is the essence of the whole thing. It is simply a question of an international legal order, of whether it should be maintained, of whether we should have a forum where we can all meet to discuss different instruments that we want to put into practice, whether we should be able to do it together in a safe place, so that we can jointly solve the problems. I agree that there are many problems in the world. I think it's a crazy characteristic that Ballo gives of the Right. I believe that in many areas, in the right, we have shown a real commitment to what has been said. Finally, this boils down to whether you have a world society that has forums where we can get together, which is safe and secure, and which allows us to solve the problems together and do what we can to build democracies. It's a slow process, it's a bit ahead. But my point is that what we see in Afghanistan, and which SV in many ways has been opposed to doing something, is precisely the consequence that the international legal order is threatened. And that was the point. So here you can discuss details and points that could in and of themselves be important, but in many ways it's a little derailment of the debate. Because what we are discussing today, in connection with the Prime Minister's statement on Afghanistan, is what we can do. I think it's important to get there, precisely because I think it threatens my and yours, and not least threatens the future of our children. It's about how we're going to feel in the world, whether we're going to have a safe place to live. So these terrorists we have to take, no matter what SV means!
ParlaMint-NO_2001-11-15.ana.ud687e220	Several have not asked for the word for a line.
ParlaMint-NO_2001-11-15.ana.ud687e223	First, I want to begin by commending both the sitting and the resigning government for the way in which the situation after 11 September has been handled. The presentation by Prime Minister Bondevik last week is unusually clear, and the Progress Party has no problem at all in supporting the work done by the official Norwegian team in cooperation with our allies. Terrorism against the United States on 11 September shook us all in its brutality and wickedness. Words became poor, the impressions were overwhelming and shocking. Our children suddenly got a new word in their conceptual world: terror. With the backdrop of the tragedy, work started to free us from terror. The United Nations adopted clear resolutions on counter-terrorism, adopted Article 5 by NATO, and put the whole alliance behind the United States. We experienced solidarity and fellowship in the face of the world of terror – this time represented by Osama bin Laden and his networks under the protection of the Taliban regime in Afghanistan. With wide international support, the United States and the United Kingdom went to actions against the Taliban regime to try, by military means, to crush this regime and the terrorist network hiding in Afghanistan. Of course, it was not a simple decision; no one wants war. As a result, the Taliban regime was given more opportunities to resolve the situation. They chose to ignore the demands of one so to speak, the world as a whole. As soon as the military operations started, the demand for a halt in the actions came, permanently or temporarily. I wonder about this attitude, this deficient willingness to want to clean up evil and terror. Too often evil has been ruled out, too often we have seen that the world community has failed to react by assault and terror against its own and other countries' populations. Much has been overlooked, many have been forgotten, the world has not always stood up to fight for the oppressed and those who are struck by war. But now it happens, now the world has taken its stand and gone to action, to concrete actions to end terror and a anti-human policy. And then you get criticism, criticism to crush a regime and terror network that the entire democratic world condemns. Alternatives to bombing and military action are called for. Yes, I would like to – but what was the alternative in this case? There is talk of a desire for a political solution. Overall, there is a pious and good desire to talk, discuss and negotiate, a desire for an agreement that ensures that the Taliban ceases to be so much Taliban, and that Osama bin Laden will be kind, or for example. sitting under house arrest in a place suitable for him. Such policy solutions have been tried before in history. Even the worst dictators have been brought with them on both the promise of peace in our time and non-aggressive agreements. Unfortunately, such assurances did not give peace, it did not provide security for minorities, it only led to even greater room for action for men of evil intent. When we've chosen to support the actions against the Taliban, it's not because we think it's convenient or easy, but because unfortunately we don't see any alternative, and because history has taught us that not to turn down evil where it turns out so raw and brutal as in this case, is to expose both its own and others' populations to insecurity and uncertainty. The Taliban would be unhappy if we had stopped the bombing and said that now we're going to negotiate. Perhaps we had even received concessions – on paper. But would we be safer from the being of terror? Would the people of Afghanistan have been helped? Would the millions who fled from the Taliban regime be encouraged to go home? No, we would have achieved nothing but postponement of the problem and maybe created an even bigger problem. Bombing could help with humanitarian aid, it's claimed. Yes, to some extent, it is clear that bombing is not beneficial in performing relief work. But anyone who has an in-depth knowledge of the situation in Afghanistan says that it is the Taliban and not the bombing that has been the biggest problem in order to bring out the humanitarian aid to a population that is really suffering. And they've suffered a long time. You can get the impression that their suffering started only when the bombing started. Unfortunately, there are many years of war and not at least a few years with the Taliban regime that must blame the difficult humanitarian situation that exists in Afghanistan. The humanitarian problems were almost forgotten by the world community. Now they've been lifted as one of the most important priorities for both the UN and many relief organisations. 5.5 million people are affected by food shortages in Afghanistan. The needs are great. Fortunately, we experience that the world is setting up. Norway also contributes actively, and we have granted extra 200 million. NOK for emergency aid. The progress party wanted to go even further. Now, however, we are giving the Bondevik Government the opportunity to extend yet another helping hand by making a claim of 500 million in the budget negotiations. kr in emergency aid to Afghanistan. While in the last round we linked the help up to the UN, this time we are open to discuss about relief organisations such as the United Nations. Red Cross, Save the Children and the Church's Emergency Aid should be included. A lot has happened in the last two months. We now seem to experience that the Taliban has lost control of much of Afghanistan and has been driven away. If they can and will continue the war, it's too early to say anything about it. But in any case, this gives new hope to Afghanistan, while showing that the strategy that the United States and other allies have stood for is working. Many questioned whether bombing was the right thing to do, if it would be useful. We now see that the bombing has worn out the Taliban forces in fillets, and that they have seen need to evacuate from most cities. However, even with the Taliban out of the Kabul government offices, there are major challenges to Afghanistan in the future. Not least, it is now important to support a government that can as far as possible bring together and stabilise, because there is a need for peace for the population of Afghanistan now. 22 years of almost continuous war, have set their mark, not least in the minds of men. No one shall underestimate the task of creating permanent peace and stability in Afghanistan. This could require long-standing international presence at several levels, including military. We cannot allow ourselves to forget Afghanistan again and then leave extreme groups like the Taliban with the opportunity to take power. We know that it's now working on bombs in the United Nations to find the basis for a government that can include many groupings, and give the peace that's so important. We must support all good efforts in this regard. The rapid progress of the North Alliance has been a mixed blessing. Of course, they have a self-interest in dominating the situation and making sure that they themselves are a prominent actor in a new government. We strongly regret the fact that not the North Alliance, as well as other actors in Afghanistan, are complying with the Geneva Convention on Prisoners of War. This must be denounced and, if possible, punished. At the same time, it's nice to see the joy of life that's now unfolding in Kabul. This shows that there is now hope for better times on the part of the population. We hope with the people of Afghanistan that this is right. Because it is first with a good government in Afghanistan and in the absence of people like bin Laden that we can restore security, both in the United States and in the rest of the democratic world.
ParlaMint-NO_2001-11-15.ana.ud687e259	It's going to be line change.
ParlaMint-NO_2001-11-15.ana.ud687e262	We in the SV agree that the Taliban regime is very oppressive, not least to women. But we cannot accept the fact that in the fight against a highly oppressive regime that supports terrorists, we choose to ally blindly with regimes that as much as suppress their own people and at least we in the SV will contribute to the emergence of terrorism. We are many who ask ourselves the following questions: Is it unreasonable to demand that other regimes, and especially the regimes that we ally with by day, change their methods and attitudes towards our own people? Is it okay that some of our closest allies in the fight against terrorism are regimes that contribute to the emergence of terrorism? Is it wise not to make demands on e.g. Saudi Arabia, Egypt and Pakistan that they too should show respect for fundamental human rights? Should we not try to push forward democratization processes that turn the sense of demise of large populations into power-sharing, into representativeness? China and Russia are countries that have greedily seized the opportunity to combat what they claim is terrorism. The same is true of Israel. In our view, the so-called fight against terrorism by these countries contributes to the opposite. Several regimes in the Middle East and in Asia with which we are now allies allow in practice no opposition. Saudi Arabia is a dictatorship that systematically executes and tortures, and we all know how they treat their women. I think that there is a bad bismach attached to this struggle, and I have very little understanding that at one moment, when it seems opportunistic, you lift the flag of human rights and democracy, while at the next smooth leave you will not point out the same breaches. Does not the Progress Party also agree that the fight for human rights and democracy must be central in any case and that it is reasonable to imagine that oppression and abuse of power, regardless of the country in which it may occur, could trigger exactly the terrorism we all want to combat?
ParlaMint-NO_2001-11-15.ana.ud687e273	Of course, there is a violation of the population and the suppression of human rights in many countries. We have in no way stated that it is isolated from Afghanistan and the Taliban regime. The work for better human rights is something that has to be ongoing, and of course we have to prosecute oppression where it happens. At the same time, I seem to hear that the United States is running a policy that encourages regimes that violate human rights. I'll take a strong distance from that. And I would also like to ask whether through his, as I experience it, support for Yasir Arafat has charged the abuses against its own population in that case. So it's clear what's now happening in Afghanistan, what's a result of the Taliban regime's policy, that they've been feeding people like Osama bin Laden, and at the same time are pursuing an active human rights policy elsewhere. We should not, because all countries are not as democratic as we are, fail to stand up when we experience atrocities like those we experienced in the terrorist acts of 11 September.
ParlaMint-NO_2001-11-15.ana.ud687e281	The causes of terrorism are many. For example, we have to. Looking for the reasons in the Middle East, which several speakers have been involved in earlier today, and in other areas of conflict. However, we cannot escape the fact that deep global injustice is an important reason why it is possible – not least – to recruit terrorist organisations. The party involved in the progress is in emergency assistance. It is affordable, but emergency aid is not enough to address the poverty that is thus contributing to terrorism. So my question is: does the Progress Party, following the terrorist attacks of 11 September, recognise that comprehensive, long-term assistance is necessary to combat the causes of terrorism and that this should therefore change the traditional position of the party on long-term aid?
ParlaMint-NO_2001-11-15.ana.ud687e288	It is true that the Progress Party strongly prioritises emergency aid, and in particular we have done so in this situation. We feel it is right that the rich part of the world, including Norway, is actively contributing in this way. In the case of long-term assistance, our position is not primarily related to the fact that we do not believe we can refer to the money, but to what we think is best for development. Research, and not least the results of the openness and liberalisation that have existed in the world community in recent years, shows that trade has led to considerable progress in lifting poverty out of poverty. The forecasts for the future are thus also optimistic. The most significant contribution to a more – call it like – fair world is therefore a more open world, a world in which we trade with each other and have natural relations. We have the impression that aid often becomes a sleeper cushion, and does not feed what we think is a positive development and a democratic development. So there's a lot of our resistance to this. We can innovate that the Progress Party must also have a more active role in terms of how we can gain more democracy and to a greater extent secure human rights around the world. But our attitude to long-term assistance is correct – and then right on behalf of those who need it: the poor.
ParlaMint-NO_2001-11-15.ana.ud687e297	Several have not asked for the word for a line.
