ParlaMint-NO_2001-06-07.ana.ud2377e87	The representative, Inger Stolt-Nielsen, will make a private proposal.
ParlaMint-NO_2001-06-07.ana.ud2377e220	I, who come from Sulitjelma, a small mine site with 104 years of mining, am very well aware of what old environmental sins really are. The Workers' Party and I are of the opinion that we are to be cleared up in these old environmental sins, it is important to find out who has contaminated, and use the pollution law, which says that the polluter has to pay. And we have the pollution law criteria that say that if you can't find a polluter, the state has to do the job. That's when we think that somehow you undermine the content of the pollution law by saying that you should get a fund, because then it can be easy to get money out. It may be that there are so many criteria for the polluter not to contribute that you do not get enough money to make this fund valuable. So I believe that when the landowner, the polluter and the state are so defined in the pollution law, this has to go over the budgets so that we can do this work as quickly as possible.
ParlaMint-NO_2001-06-07.ana.ud2377e225	As the rapporteur pointed out, today we have to remove a levy, namely the State fishing fee. Especially happy is the fact that lots of people wanting the most tax dollars are in favour of this. The levy amounts to approximately 11 million. kr, money used to a large extent for research in fresh water fish and for restocking fish water, which is positive. Loss of the levy means reduced revenue to the country, and the batches have different ways of resolving the loss of income. We in the Progress Party believe that these 11 million. kr may be redispatched within the framework of the environmental budget, amounting to approximately DKK 2 billion, while the Workers' Party asks the Government to take account of the loss of income during the ordinary budgetary procedure. Does this mean that the Workers' Party does not at all see any possibility of re-prioritising within the Ministry of the Environment's budget? Is the Workers' Party totally dependent on increased funds to cover the loss of income? We're moving a lot of money into the ministry's budget, for example. means of liming, which the different governments cut so it stands after, and which a committee majority manages to lift in place again every single year. I also wonder whether the Workers' Party will in the future go in for the use of Rotenon in rivers and watercourses. Finally, the rapporteur said that the Workers' Party would ‘clean up the tax jungle’. Then I would like to ask the question: what kind of other fees is the Workers' Party want to remove?
ParlaMint-NO_2001-06-07.ana.ud2377e232	The fisherman's fee is a fee we have had for quite a long time, and now it is time to start looking at some such fees that may not work as intended, although cultivation and renovation in these lakes has been of great importance. We're still going to have this cultivation, it's very important. To the last time the representative of Korsberg was in the case of rotenon: today we have no solutions to the problems but to use the rotenon. So before we get an answer to what possibilities give even better results, we use the Rotenon. The representative of Korsberg is asking about re-priorities in the state budget. We think it's right that the department itself is, as they go out and reduce a fee by as much as 11-12 million. kr, must assess the manner in which this is to be done in order to continue to have a work on restocking, etc. The working party believes that it is right not to link how the department will solve the 11 million under-coverage problems. kr. What we think is the department's responsibility to find answers.
ParlaMint-NO_2001-06-07.ana.ud2377e241	The chord shift has been completed.
ParlaMint-NO_2001-06-07.ana.ud2377e245	Today, for the third time, the state of the state of the state of the state of the state and the government's environmental protection policy are being addressed. The Communication addresses a broad range of environmental policy challenges, while reflecting trends and the status of environmental protection since the previous notification was being addressed. The communication on the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state has now come every year to underpin the importance of constantly giving the necessary attention to our environmental challenges and ensuring continuity of work. However, the majority believe that the most appropriate thing to do here is to present this to the Stortinget every two years, with an explanation from the Minister for the Environment of the intervening years. The background is, among other things, that environmental measures need some time to work and that annual notifications do not provide sufficient opportunity to do so. The Christian People's Party endorses such an assessment and the proposal in its recommendation that the first communication be submitted to the Stortinget in 2003 and that the Council of State in 2002 come to the Stortinget with a status statement. Prior to the presentation of today’s Communication, the Committee asked that issues relating to waste in general and special waste in particular be given extra attention. This has happened, and the Committee has therefore spent a lot of its time on this issue. For the Christian People's Party, it has been important to establish the so-called waste hierarchy as the basis for all waste policies. This means that, as far as possible, the management of waste is to be carried out by recovery operations, i.e. incineration and finally, but to a minimum, landfill operations. The Christian People's Party also adheres to the objective of treating as much as possible of the waste that we have the capacity and competence to handle in Norway in Norway. We also know that existing capacities for special waste in Norway are not being used to a sufficient extent, among others. as a result of a lot of waste being exported out of the country. For these reasons, the majority of the Government is therefore asking for very restrictive export authorisations in the future. According to the Christian People's Party and the majority view, it is an important principle that waste produced in Norway should also be treated in Norway. The size has decided to place the NOAH A/S special waste treatment facility in Brevik. The plant is now in operation, and through cooperation and co-location with Norcem’s factories, much of the energy is now being used in Norcem’s production. Both the location of the facility and now the activity are subject to much debate, not least in the fear of negative environmental consequences in an area that has long had to deal with environmental problems but has come a long way in cleaning up old sins and facilitating future more environmentally friendly production. I have no reason to believe that the presence of the NOAH in Brevik will have such consequences, but on the basis of the uncertainty and precautionary principle of the local population, the Christian People's Party, together with the Right, the Centre Party, SV and Left, wants to facilitate an intensified monitoring of the Brevik facilities, the quality of Eidangerfjord and the air in the area to ensure that the operations of the NOAH and Norcem facilities will not cause increased environmental problems in the area. It is with some amazement that I note that the Labour Party and the Advance Party have not wanted to support such a request in the vote, thereby blocking a majority comment. There is reason to point out that the Progress Party in Telemark has fought in a price-effective way for Eidangerfjorden's well-being, but does not receive the necessary support from its colleagues in Stortinget. We're going to have to take note of that. PCBs represent a major environmental policy challenge. It also appears that according to the Stockholm Convention, PCBs are one of the substances that will be internationally banned. The Committee therefore sees the need for a take-off in order to address this problem on a broad front. Nevertheless, the Committee takes special action in relation to PCB-containing insulating glass, which in large quantities is on its way to Norwegian landfills. A total of 200 tonnes has been mentioned in this respect. The Christian People's Party therefore supports the proposal that the Government be asked to facilitate a system for collecting and renovating PCB-containing insulating glass that is being replaced. The Committee also asks the Government to contribute immediately to measures to prevent further PCB contamination in the landfills. The Christian People's Party is concerned with the environmental challenges in the northern regions, as well as the situation in Russia and our own responsibilities at home, not least in relation to oil conservation along the coast of North Norway and in the Barents Sea area. For this reason, it highlights the importance of strengthening preparedness, also with the background of increasing transport of both oil and gas and of future nuclear waste from the Russian side. An overall committee therefore asks the Government to take action to improve oil protection in the northern regions. By extension, the Christian People's Party is of the opinion that separate petroleum-free zones should be established in areas of a particularly vulnerable nature. The minority therefore proposes that the Government prepare for the organisation of such zones but notes that the majority of the Committee welcomes this proposal. One of the main environmental challenges facing us both nationally and globally remains related to greenhouse gas emission reduction. The Kyoto Agreement is established as the only international framework we have to ensure that these efforts are implemented in all parts of the world. After the Kyoto Protocol in 1997, many have claimed that the agreement does not go far enough. These are probably right. The challenges will be greater and the demand for further emission reductions will be increased in the coming years. Nevertheless, the Kyoto Protocol is an important first step towards a new global climate policy, well note provided that the agreement is ratified by all contracting parties, including Norway. The minority, including the Christian People's Party, therefore asks the Government as soon as possible after the 6th Conference of the Parties in Bonn to ratify the Agreement. I would like to repeat this request now in my article. The climate agreement presupposes that a substantial part of the measures against greenhouse gas emissions should be taken at home. I am therefore pleased that the majority of the Committee sets this principle in its position. Nevertheless, there is reason to point out the fact that the Government has not been able to get the climate announcement up to the Stortinget at an earlier date than the one now announced, namely 22 June – after the Stortinget has split up. My appeal to the Government is therefore that we do not now experience any further delays that can help both to slow down a necessary debate and to delay the implementation of national measures. Until now, the time is too short, and the need to get started quickly is great, for example. in the interests of the sectors necessarily affected by the measures. I also remind you that the central government in its time was very quick to take action after the end of the negotiations in Kyoto. However, I am pleased that an overall committee expresses concern about the failure of the United States to follow up international agreements, on this occasion the Kyoto Agreement, and that it is stated that Norway will continue to work independently of the United States along the path drawn up by the Kyoto Protocol. Forest conservation is important for the Christian People's Party. It is therefore gratifying that the majority of the Committee in its position is willing to extend the protection of the coniferous forests in order to better address biodiversity, which also means safeguarding our maritime environment. It would therefore have been desirable for the central parties' proposals on their own protection plans for our maritime resources to have a majority in the position. In terms of coniferous protection, we are well-known that our neighbouring countries are spending much more heavily than Norway. The centre parties are therefore concerned that we should be able to approach these in the long term both in scale and in implementation. Finally, let me make a never so small heart attack over something that has already been affected in the line change. The size has decided by a large majority that a proposal on cultural memory funds should be submitted by 2000. We record that this has not happened. We also note that the Committee has previously requested that the Riksantikvarn should follow up the requests made by the Storting in relation to appropriations entered in its budget for specific cultural memories and protected buildings. We take note that this has not happened either. I therefore challenge the Council of State, when she has occasion during this debate, to clarify whether the Council of State considers the decision of the Storting as an important working instrument in the future on which the Government is actually committed. There is a lot of evidence to suggest that there is a somewhat relaxed relationship with the decisions taken by the Stortinget, and we will therefore place it strongly on the Government that we are now clarifying our view of their own relationship with the majority decisions taken in this Chamber.
ParlaMint-NO_2001-06-07.ana.ud2377e273	What primarily characterises the position of the Energy and Environment Committee on the state of the state of the state of the state of the state of the state of the state of the state of the state is broad consensus, and it is joyous. With the exception of SV on the one hand and the Progress Party on the other, the Centre Parties, the Labour Party and the Right agree on the main lines of environmental policy. That doesn't mean that we agree on absolute everything, but that what divides is nuances. It may be nuances in the view of instruments and on who has the driving role in environmental policy. In dealing with this message, the right has been primarily concerned with focusing on the need to clean up old environmental sins. The environmental debate has been a competition in recent years to put new issues on the agenda and to define new environmental objectives. I guess that's good. Norway will be at the forefront of meeting new environmental challenges, but we also have a responsibility to clean up our own backyard. It is well documented that dangerous and late degradable pollutants are on the way. The environmental poison PCB is one of the worst, and we know it damages the genetic properties. The environmental toxin has been detected in port basins and in fjords. The fact that PCBs have also been found in deep-water fish in the Arctic shows that the poison can be transported over long distances and spread. Over several years, the Right, together with the SV, has focused on the need to limit the damage and remove the environmental pollution from nature. We have proposed to allocate money both for research and clean-up measures, but have been voted down in Stortinget. I am pleased that the right in this setting has been fully impressed by three important proposals, all of which are linked to the major cleanup work that needs to be started. In January of this year, a document No. Eight proposals requiring a separate action plan to combat environmental pollution. The right will focus more on research and monitoring, while the clean-up work will have to start. I am pleased that the Right's proposal has broad support. But we're worried about the low level of ambition it seems that the labor party government is going to put itself on. It is nice to start a pilot project in Sandefjord, but the Right believes that there is a need to start more projects. I hope the Environment Minister will note that there is a majority in the Committee that criticises the Government for the low level of ambition. The bourgeois city council in Oslo has focused on the problems in Oslo port. In this setting, the rightmost and central portions of this project are drawn on. In the revised national budget, the right will propose to allocate new millions to PCB clean-up. If the Right proposal is supported, the work on cleaning up the environmental pollutants in the Oslo port may begin. When there is now a majority for the proposal to start the clean-up work, it is essential that we stop the supply of PCBs to nature. The Committee is aware that there are more than 200 tonnes of PCBs in insulating glass panes produced between 1965 and 1975. These paths are now being replaced. Today, most of it is dung, and the poison is drifting into nature. It is essential that we establish a system that ensures the proper management of these routes. It should not cost to act environmentally friendly. Therefore, the right has proposed the creation of a system for the collection and refurbishment of PCB-containing glass where the State mainly covers costs. I am pleased that the proposal is widely accepted. It is a well established principle that the polluter must pay. The problem with the old environmental sins, as it also appeared in a line change earlier, is that it is not always as easy to identify the environmental sin. However, it does not relieve the sinner of responsibility. The right has therefore proposed the establishment of a separate clearing-up fund in cooperation between the State and industry. This shall be used to clean up old environmental sins and to remove environmental pollutants already scattered in nature. I am pleased that the proposal has a majority, but I am surprised that the Labour Party is opposed. It is not unreasonable for business to participate in a fissure layer with the State to clean up the old environmental sins. The right considers that it was right to focus on the need to clean up old environmental sins in this setting. I am pleased with the impact that has been achieved on the Right, and look forward to the Council of State following up. It is useful that the Storting should be given the opportunity to discuss at regular intervals the breadth of environmental policy. On the right, the principle of driving was and that the polluter should pay for it, and we agree that environmental considerations should permeate all policy areas. The right focus on international solutions, on international environmental problems. For this reason, the Right supports, inter alia: Kyoto Protocol for climate change control. The right focusses on national and international cost-effectiveness in order to get the most environment out of each krona. Therefore, the Right is a member of both a national and an international trading system. Right has faith in progress. That is why we focus on research and new technologies to reduce and preferably eliminate environmentally harmful emissions. Therefore, the Right consistently proposes to increase the appropriations for both energy research and environmental research. Right will have less use of whips and more use of carrots to promote more environmentally friendly behaviour, both among people and in business. Instead of looking for new environmental taxes, the Right will look for green tax exemptions. The right will strike a good balance between use and protection, which both ensures the possibility of resource use in our long-term country and ensures that we take care of natural values for future generations. This is why the Right Plan for the Protection of the Coniferous Forests supports, but we demand that landowners be compensated and that areas not protected at this time be managed under the Forest Act. For the same reason, the Right Plan to establish national salmon fjords and salmon streams supports, but we are committed to ensuring good conditions and growth opportunities for the farming industry at the same time. In the 2001 budget, there was a majority in favour of increasing the appropriations to preserve and secure central cultural memories such as Heddal Stafkirke, Ulstein Monastery and Stavanger Cathedral and to increase the appropriations for industrial cultural memories. In the public debate, it has become known that these cultural memories have not been increased but reduced. This has produced strong reactions. The reason, according to the media, is that the Riksantikvaren has moved funds from those cultural memories to the establishment of a new computer system. This is critical, but I would like to stress that this is ultimately the responsibility of the Council of State. The size is related to the Council of State, and the Council of State has a responsibility to follow-up on the position of the Council of State. I am therefore looking forward to the State Council's statement today to explain how this matter has been handled and how it will be dealt with in the future. I would also like to draw attention to a proposal that does not seem to have a majority today, namely to oblige the Government to set up a cultural memory fund in 2002. It is alarming that this case has not been followed up in the past, as the representative, Brother Yngve Rahm, also pointed out in his post. Finally, it is gratifying that the right has also been given an advantage for the proposal to grant money to clean up the Vansjø-Hobøl watercourse. This is a watercourse and an area that has high natural values but also represents a drinking water source for nearly 60,000 inhabitants in the Moss district. It is not surprising, but it is disappointing that the Workers' Party is opposed to this proposal – not surprisingly because the Workers' Party has also consistently proposed to remove support for the veins, but disappointing because this is an area that represents drinking water for almost 60,000 people. That's why this is a national case, and the Right believes that we need to get a split layer between local and state to secure the natural values and to secure drinking water for nearly 60,000 people in the Moss area.
ParlaMint-NO_2001-06-07.ana.ud2377e305	It's going to be line change.
ParlaMint-NO_2001-06-07.ana.ud2377e308	There is a lot of emphasis on the right that we have not joined the creation of a so-called clean-up fund. I want to say, firstly, that such a fund is not established overnight; secondly, I think it is quite important that one insists that the polluter should be involved and pay, and that the business community that has contributed to this pollution is also pressured by the authorities to join in. In a previous line change today, Bent Höie said that it is so difficult to identify the old environmental sins. I interpret this so that because it may be difficult, the Right actually wants to impose today's business life together with the authorities to assume the financial obligations and responsibility for, among other things. PCBs and associated costs. So today's business is to take responsibility for what a former business has done. It's estimated at just 30 billion kroner for PCBs. The right will not use taxes, I understand. Then I ask the representative, Jan Tore Sanner, how did he intend this to be financed? Who is to be included in this fund, because, after all, it must be two parties? I have to say that at least I have no faith that the party that so strongly criticises fees will use it as a means of getting money into the fund.
ParlaMint-NO_2001-06-07.ana.ud2377e315	As the setting indicates, this clearing fund is not fully explored, rather on the contrary, we are asking the Ministry and the Government to investigate different models. That is why it is surprising that the Workers' Party has chosen to stand outside. I agree that the polluter should pay, but we know that this is a pollution that might have happened 10, 20 or 30 years ago, maybe 40 years ago, and from companies that may have gone bankrupt, or where it is simply not possible to identify the sinner. The right has been a driver to increase the government's appropriations for the clean-up work, we have supported the City Council of Oslo in their desire to place the polluters in charge, and we have pointed to this clean-up fund. But the Labour Party remains unanswered. The Workers' Party has consistently opposed the Right's proposal to grant state resources to start the clean-up work. The work is opposed to the establishment of this clearing fund. And we know that the City Council in Oslo did not receive the necessary support from the authorities and from the Workers' Party when they wanted to address the problems in Oslo port. If we agree that PCBs and other pollutants that are scattered in nature are a problem, we need to look for solutions. The right has pointed to more. We are calling for the Workers' Party.
ParlaMint-NO_2001-06-07.ana.ud2377e326	Yes, I then register after the answer I have received from Jan Tore Sanner, that he actually wants to oblige today's business to cover the costs of damage caused by past businesses and past business.
ParlaMint-NO_2001-06-07.ana.ud2377e331	The representative, Blattmann, has no basis for finding anything. We want to have this investigated, we want there to be a cooperation between the state and business, and we believe it is perfectly natural that business is also involved in the investigation of different models contained in our proposal. What remains is that, with regard to this major problem of old environmental sins, where poisons are spread in nature and grow up in the food chain, the Workers' Party has no answer as to how to attack them. Among other things, from the Workers' Party said that the polluter has to pay. Yes, does that mean that the Workers' Party is not willing to use more government funds for the cleaning up work? And now we're also told that you're not willing to include today's business in the clean-up work. I think that if we're going to stand and throw arguments at each other's heads, this problem will just grow without us actually taking hold of it. The right is willing to do that. That is why we are proposing increased appropriations for the budget, which is why we want to focus on clean-up work where we can establish cooperation with business, and we also want to support those who want to place the polluter in charge, if necessary through the legal system.
ParlaMint-NO_2001-06-07.ana.ud2377e338	Several have not asked for the word for a line.
