ParlaMint-NO_2003-03-05.ana.ud730e28	The representative of Inge Ryan, who has been licensed, has once again taken his seat.
ParlaMint-NO_2003-03-05.ana.ud730e225	I want to show that we have already taken such an initiative. I would warn the representative Brustad against making history so that the Workers' Party has in every way done what was possible for us to get through a difficult situation for the competitive industry. This means, among other things: that the Storting must take co-responsibility for keeping a tight economic policy, and that we do not behave in such a way as to create uncertainty as to whether we get a further fall in interest rates, whether we get a lower crown price, and whether we get the stability of Norwegian economic policy that is a prerequisite for providing competitively exposed industry with the opportunities it needs. I would also like to point out that the Ministry of Industry and Trade has now set up a reference group in cooperation with the Ministry of Oil and Energy and the relevant organisations. It is a very positive cooperation, but it is clear that, together with these investigations, we are making ongoing decisions to help the competitive industry to achieve its offers in international competition.
ParlaMint-NO_2003-03-05.ana.ud730e232	There will be follow-up questions – Karin Andersen.
ParlaMint-NO_2003-03-05.ana.ud730e235	SV is positive that the Government has now seen the need for increased efforts, and is excited about its follow-up. Then there are questions about whether the government has some fresh money to put on the table to increase activity. In the energy minister's field, there are several things that can be done. One is that there is a great potential for environmentally friendly energy, which can be started, allocated money, triggered environmentally friendly energy, few jobs. The second is that the extraction rate in the North Sea can be increased in the areas that exist. It has been decided by Stortinget on a proposal from SV. There, if the government is willing to put money on the table, it can start operations that produce more oil from the fields that are already being developed. It will trigger an increase in value creation, and there will be many jobs out of it. When will the Government make concrete proposals?
ParlaMint-NO_2003-03-05.ana.ud730e244	I would like to point out that the Government has already implemented a good part of the measures now referred to by the representative Karin Andersen. I also think it is very positive that Karin Andersen, on behalf of SV, accepts the invitation that the Prime Minister has given to Stortinget, on cooperation to combat increasing unemployment. In the case of increased oil yields from already existing wells, it is important to stress that the prerequisite to succeed in this is increased investment in research and development. It is a major effort for the Government, and it has also reflected within the current budget, where the Ministry of Oil and Energy's research budget has increased by over 13pst. With regard to environmentally friendly energy sources, I would like to point out that the Government has opened up the possibility for all households applying by 15 March to install a heat pump, a pellet stove or energy management system. And it turns out that this has become a formidable success – far beyond what we could expect. Nearly 40000 households in this country may be interested in such an installation. All of this, along with other measures, will work positively for the tasks that Karin Andersen mentions.
ParlaMint-NO_2003-03-05.ana.ud730e253	Øyvind Waksdal – for follow-up questions.
ParlaMint-NO_2003-03-05.ana.ud730e256	The decline in activity on Norwegian pedestal is largely due to a lack of prospective areas and a lack of political power to take the necessary steps to achieve this. The size was treated just before Christmas oil communication, and there was no lack of warnings, either from the oil companies or from the trade unions, about what would happen if nothing was done. Unfortunately, the party of progress was the only party that took this seriously and promoted the proposals necessary to give the desired activity, without the support of the others. Has the state thread now understood the seriousness of the situation, and will he now ensure that attractive search areas open up so that we can avoid the serious crisis that we now seem to have in the whole petroleum industry, with redundancies and fragmentation of competence as a result?
ParlaMint-NO_2003-03-05.ana.ud730e265	I would like to refer to the Storting's treatment of the oil notification on 17 December last year, where there was broad agreement – not with the contribution of the Advance Party – on important parts of Norwegian petroleum activities. It is now very important that we make provision for prospective areas for the oil industry. We want Norwegian base to be competitive, and it should be possible to offer oil companies interesting exploration sites. We now open in the 18th round – and invite the companies to nominate – for new areas in the Norwegian Sea. In addition, in the North Sea Round, we have issued a record number of blocks, and we are now going on the so-called open door policy by calling out more coherent areas. All these measures are a contribution to providing the oil industry with opportunities that are still rich in Norwegian soil so that we can increase activity and contribute to the value creation of this important part of the Norwegian economy and working life.
ParlaMint-NO_2003-03-05.ana.ud730e273	Asmund Kristoffersen – for follow-up questions.
ParlaMint-NO_2003-03-05.ana.ud730e276	The Workers' Party's initiative to establish a level playing field for shipping companies and seafarers had a happy outcome in the Storting last week. The effect was not allowed to wait. The day after the shipowners reported that they stopped all thought of flagging out. The next day it was informed that there was a contract between a large offshore company and a workshop in More and Romesdal to build an offshore boat of 200 million. kr. If I don't remember correctly, the battle for better conditions for the shipping companies was a flagship for Steensnæs in front of the previous elections, but now the government has shown an incomprehensible passivity. The question is: why does the government fight so strongly against introducing a net pay system that immediately produces such effects – as the two examples I have given – both for employment and to safeguard the marine environment at sea and on land?
ParlaMint-NO_2003-03-05.ana.ud730e283	As far as constitutional responsibility is concerned, I would like to point out that it is below the Minister of Economic Affairs and Trade. But the representative of Asmund Kristoffersen is quite right that I have been very committed to what has to do with the seafarers and Norwegian shipping conditions. I have also registered the positive reception that Storting's decision has received in the industry. When the representative Asmund Kristoffersen points out that the government should have fought hard against it, it is probably much more nuanced than that – among other things. the Government has been concerned that we housekeepers with the Norwegian economy in such a way that we do not put other competitive industries at risk in the event of a consumption of money that is not within the limits set by the Storting itself. In the case of the «incomprehensible» resistance, I would point out that the Workers' Party also has a history of this. They have fought hard against proposals that have been promoted by previous governments in order to improve the situation of Norwegian shipping.
ParlaMint-NO_2003-03-05.ana.ud730e292	Odd Roger Enoksen – for follow-up questions.
ParlaMint-NO_2003-03-05.ana.ud730e295	I want to go back to what was the chief question of the representative, Brustad. I agree that it is bad that large expansion tasks on the Norwegian base go to among other things. Spanish shipyards in a situation where we have increasing unemployment here at home. But it may be appropriate to recall that it was the government of Brundtland that in 1995, with Jens Stoltenberg as Minister for Economic Affairs and Energy, proposed the conversion of this until then the existing development regime with politically specific contracts. In the light of the so-called NORSOK report, it was proposed that the market should be the market as determined. One objective was to improve the competitiveness of the Norwegian base. The cost was going down. It was supposed to be the market as a particular expansion. It was one moment. The second was the EEA Agreement, which was the basis for not being able to distribute Norwegian yards or Norwegian farms. My question to the Minister for Oil and Energy is: What opportunities does the Council of State see in the EEA Agreement in terms of distributing Norwegian shipyards with extension contracts on a Norwegian base?
ParlaMint-NO_2003-03-05.ana.ud730e304	I have nothing to say about Enoch's history of the facts, but I have, for my part, been more concerned with looking forward and looking at what we can do with the decisions that Stortinget has made, with the framework conditions that apply. The government has taken this seriously, so both within my ministry and within the Ministry of Industry and Trade, there is now work in progress in cooperation with relevant organisations – TBL, the Joint Confederation and NITO, among others. – to look at this. The report shall be presented in the revised national budget for 2003. Then the representative asks Enoksen what opportunities the Norwegian supplier industry has within the current framework conditions. I would like to show that the Norwegian supplier industry has considerable success outside. There has been less recorded in this debate, but that success is entirely dependent on neutral framework conditions, i.e. no pre-allocation of national companies. On the basis of such a fair competitive environment, the Norwegian supplier industry has had considerable success. Then we must not mess it up with special conditions for our own industry.
ParlaMint-NO_2003-03-05.ana.ud730e311	Let's move on to the next main question.
ParlaMint-NO_2003-03-05.ana.ud730e314	I have a question for the Minister of Health. In the newspaper on Monday this week, there is a notice about Axess Hospital and Specialist Clinic that pays cosmetics and skin therapists between NOK 275 and NOK 430 for each patient whom they recommend treatment at this hospital. So this is how the hospital tries to buy patients and pay others to market their services. The president of the Norwegian Medical Association, Hans Kristian Bakke, says to Dagbladet that he finds this business ethically objectionable. He says the following: ‘An artificial need for medical intervention is created. And when customers are recruited by paying those who recommend it, it is extremely worrying." Does the Minister of Health agree with this? And will the Minister of Health take care to put an end to this business?
ParlaMint-NO_2003-03-05.ana.ud730e328	I share the concerns of the SV and the representative Molvik regarding cosmetic operations, especially in relation to minors. I point out that it will soon be discussed in Stortinget, a proposal that will follow up on this. It's a matter that the Minister of Health shares. With regard to the specific matter that the representative Molvik now mentions, I know it only from the press. But the concerns expressed by the president of the Medical Association, I share. I want to make sure that the supervisory authorities look into whether the activities covered here are contrary to law and regulation. In that case, it will be followed up by appropriate authorities.
ParlaMint-NO_2003-03-05.ana.ud730e335	I thank the Council of State for the answer, which I see as positive. This has multiple pages. In the evening post yesterday, it turned out that Norwegian public hospitals lack plastic surgeons to perform surgical procedures that are medically necessary, and that, for example, the waiting time for breast reconstruction after cancer is increasing. This is largely due to the fact that plastic surgeons go from public hospitals to private hospitals, who pay high wages, and who buy themselves patients in the way shown by the example of Axess. It is true, as the Council of State said, that there is a proposal under consideration in Stortinget that will have much stricter public regulation of both cosmetic surgery and the marketing of the industry, in particular to young people. Does not this example, in the opinion of the Minister of Health, clearly show that such regulation is now most necessary?
ParlaMint-NO_2003-03-05.ana.ud730e346	Like the representative Molvik, I am concerned that this market should be under public control, control and supervision. At the same time, we in Norway have a mix of private and public health services. We want to have it. We want to have the interaction and work sharing between public and private services. It must then be found that there is competition for the labour force in this context. However, in the context of the approval of the re-establishment of private hospitals, the authorities will continue to pay attention to the importance of access to healthcare professionals as one important element. I would also like to point out that the questions raised by the representative Molvik will be the subject of a separate discussion in Stortinget.
ParlaMint-NO_2003-03-05.ana.ud730e354	Let's move on to the next main question.
ParlaMint-NO_2003-03-05.ana.ud730e357	My question goes to the Minister for the Environment, Brende. The trill field has become a concept by day. In the past few days, the situation in the potential conflict area of Trillemarka–Rollag Østfjell in Buskerud has intensified. 40 targets were protected before Christmas. That's okay. The environmental protection organisations are now committed. On Monday, Nature and Youth legally blocked a maximum outside the protected area. The hog was approved by the municipality and the county. Thus, the Ministry of the Environment launched a formal protection process. So it was a legal stallion that was carried out. My question is: does it not worry the Council that people who have actually done legal work on their own grounds are suspended as scapegoats? And will the Council of State ensure that advances in compensation are made quickly or that compensation is provided for by other means for the economic consequences of the bonding?
ParlaMint-NO_2003-03-05.ana.ud730e366	The government did not protect 40 measures of Trillemarka before Christmas, but 40 km2 of coniferous forest. I just want to say two words first about why you protect coniferous forests. So in the coniferous forest, there are a lot of the red-listed species. endangered species, approx. Half of them. In Norway, we are a little behind in the protection of forests. About 1 pst. our forest is protected, while Sweden and Finland have protected against 5 pst. That is why it has been the aim of the Stortinge – it is also stated in the Sem Declaration – that we should increase the protection of the coniferous forests. We also depend on entering and protecting some of the areas that are most interesting in relation to biodiversity. Based on the evidence currently available, the area under the designation ‘Trillemarka’ is probably the largest remaining protected forest area in the southern part of the country. With regard to the current work on the protection plan, a proper procedure should be carried out, all of which will be discussed. We're going to evaluate the 160 to 170 km2 that's left of this area, and figure out which parts, if any, are to be covered by a coniferous protection. Of course, if you are covered by deforestation protection, you should be compensated. It is also the case that, where appropriate, those who stop at their peak shall be provided with payment arrangements until it has been decided whether or not to protect or release the forest. Norway also has strong international obligations. It is also the case that the low-buyer markets in Europe are increasingly concerned that Norway needs to intensify itself in terms of taking more care of the coniferous forest. That is why I have received a message from Norwegian Forest saying that until this protection process has been completed, they do not accept forests that are being cut in the areas in question in Trillemarka.
ParlaMint-NO_2003-03-05.ana.ud730e377	In the case of Norwegian Forest, it just shows that it is very important that you think well before going to such drastic steps as it was done yesterday. That's now the one. Secondly, it was decided last year, three months ago, that there should be reporting obligations for these areas, so that the forest owners are in full proportion when they chop in the usual way. That scheme was to last until the announcement of the State’s environmental status by Regeringen’s announced forest protection strategy. So this happens, as I think is pretty serious about the ones that actually apply, and that have done legitimate things. That's what becomes a wrong image in this context. Furthermore, the Committee on Energy and the Environment has been concerned that there should be a low degree of conflict with regard to coniferous and other protected areas. I think this is going to be very unfortunate in relation to it. My final question is: Does the Council not agree that this is a questionable form of conflict mitigation?
ParlaMint-NO_2003-03-05.ana.ud730e386	There is no doubt that I am withdrawing from illegal actions by environmental organisations, if any, in relation to forest owners who make the most legally. There is no doubt about this. What I have said is that we are now opening up a protection process in relation to perhaps the largest and most important remaining area in the East in terms of coniferous protection. Several of those who sell forest internationally say that this is becoming a growing problem, for the market asks: Why has Norway only protected 1 pst. of the forest? Sweden and Finland have protected 5 pst. How do you relate to these red lists? In the case of ‘drastic steps’ and concerns, the other way can also be seen. There's actually a lot of people who are worried that we've been hanging out here. But I'm very concerned that there should be a low degree of conflict. That is why I have also started working with the different forest owners' organisations to achieve goals, which will also include makeshifting and finding good solutions.
ParlaMint-NO_2003-03-05.ana.ud730e395	It will be follow-up questions – Synnove Konglevoll.
ParlaMint-NO_2003-03-05.ana.ud730e398	The Workers' Party supports the Minister for the Environment in the fact that he has now started a protection process. It is quite right, as the Minister for the Environment says, that Trillemarka–Rollag Østfjell is the only large candidate area for coniferous forest protection. The NINA and Forest Research report points to the challenge of protecting larger coniferous forests. The Directorate of Nature Management pointed out in a letter of 16 December, as far as I remember, that a formal protection process was to be launched here. The Labour Party considers it positive that the Minister for the Environment is now on the job. In the Communication on the state of the state of the state of the state of the state of the state of the state of the kingdom, which we will get to spring, a strategy for increasing the protection of the coniferous forests has been announced. My question is whether it means that the Minister for the Environment will make several concrete proposals to increase the protection of the coniferous forests.
ParlaMint-NO_2003-03-05.ana.ud730e405	First, I would like to thank the Workers' Party for supporting the fact that we must now take some steps in relation to the largest and perhaps most important remaining relatively untouched coniferous forest area in the Central East. I would also like to add that Norwegian Forest to both the Stortinget and the Ministry have underlined the importance of Norway now increasing this protection somewhat, so that we have legitimacy in the market, because people will not buy forest from nations that do not also take responsibility for endangered species and biodiversity. In the Communication on the State of the State of the State, the Government will invite the Stortinget to go through the forest policy. The Sem statement says that we want to increase coniferous protection, and it is based on this that the Government will also present a plan. In the case of specific areas: the reason I had to take the steps I was taking now is that we ended up in a situation where the Stortinge could not take a position on this area, because there were quite huge hogs going on.
ParlaMint-NO_2003-03-05.ana.ud730e416	Øyvind Korsberg – for follow-up questions.
ParlaMint-NO_2003-03-05.ana.ud730e419	There is nothing new about conflict in terms of protection. The triplets only merge into the sequence. The areas that the Minister for the Environment is unable to protect protect Nature and Youth with the blessing and financial support of the Minister for the Environment. The big problem with protective matters is that you run over local democracy. You overrun the landowners. Nutrient development is stopped in the areas and districts that are being protected. Why does the Council of State not take into account landowners, local owners and industrial development in protection processes, but only completely outrun local democracy?
ParlaMint-NO_2003-03-05.ana.ud730e426	For several rounds I have now tried to explain that even those who run the forest industry are actually concerned that Norwegian coniferous protection is going to be slightly higher, because it is beyond our market access that we are after our neighbouring countries. Even the OECD recommends in a report that was handed over to the Ministry of the Environment that Norwegian coniferous forest protection be increased somewhat in order to take care of, among other things. endangered species. When it comes to stopping the development of the industry, it is produced as if it were 99 p.m. the Norwegian forest is protected. As I also said in the introduction, it's 1 pst. of the Norwegian forest where restrictions have been imposed. In the case of 99 pst. by the forest, the ‘Live Forest’ programme and the general forest law apply. At 1 pst. the forest shall be involved in stopping the development of nutrition, it shall be — with respect to reporting — turbulent. If we do not take responsibility for biodiversity, including long-term, it will destroy our future basis of life.
ParlaMint-NO_2003-03-05.ana.ud730e434	The term ‘noise’ is hardly considered to be a parliamentary term. Hallgeir Langeland – for follow-up questions.
ParlaMint-NO_2003-03-05.ana.ud730e439	SV is pleased that the Council of State in the Evening Post yesterday initiated the protection process in relation to Trillemarka - and responded to a 1 month-old letter from SV. It is positive, although it took some time to get the Minister of Environmental Protection on the track. Otherwise it is claimed today in the newspaper that mowing is still going on. One of my questions, therefore, is what the Minister for the Environment will do to stop the maximum that a victory is going on today. So to a real challenge. Governments are on the defensive in various protective cases. He knows he can come to Stortinget and get a plural for a more offensive policy. He points out that Norway has protected only 1 pst., while Sweden has protected 5 pst., and that one gets criticism internationally. Then he's placed the problem where it belongs at home, that's with him himself, as long as he doesn't use the plurality he has here.
ParlaMint-NO_2003-03-05.ana.ud730e448	Some people think I'm too defensive, and some people obviously think the government is too active here. I have to say that protecting this last large remaining relatively untouched forest area in Eastern Europe means that I was quite right from both international responsibility and from the red lists. When we operate on these numbers, one must at the same time be aware that Sweden and Finland have protected 5 pst., but much of it is mountain forest. If you look at the most important areas, such as Trillemarka in relation to the greatest biodiversity, we're not that far behind – whether we're looking for it. It also belongs to a nuance in this. I tried as best I could to satisfy what is the Storting's assumption here, that we should increase the protection of the coniferous forest, but try to move forward in such a way that through remuneration schemes and voluntary cooperation we also have the forest owners' organisations and landowners with us. But here it was necessary to intervene.
ParlaMint-NO_2003-03-05.ana.ud730e457	Let's move on to the next main question.
ParlaMint-NO_2003-03-05.ana.ud730e460	I will allow myself to ask a question to the Minister of Oil and Energy. In winter, we have seen dramatic developments in the energy market, with – according to the Labour Party’s view – unacceptable prices. Governments have previously encouraged people to go to social services if they have problems paying the bills. Now it turns out that there is no agreement in the Government on whether this is possible. The problem in the power market is that we have too little power. Norges Vassdrachs- und Energieverk was out yesterday saying that the situation would get even worse next year, because there is little water in the magazines. What will the Council of State do to ensure that the situation up to next year does not become dramatic, both in terms of prices and access to power?
ParlaMint-NO_2003-03-05.ana.ud730e469	Let me just briefly comment on what the representative of Klungland describes as that the government refers people to the social office. That is not right, and the representative Klungland knows that. I would also like to point out that the Minister for Social Affairs has already responded to the presentation in the press today. She believes it is incorrect and gives a wrong impression of the measures that the government has put in place, and has sent out a separate press release on this. In terms of security of supply, it is a very important issue. We have a very special situation, which has revealed that security of supply is very vulnerable to rainfall. I have already taken several measures, and I have, among other things, notified a total review of security of supply and a forecasting notification thereof by the end of the year. The important thing is, first, to provide the country with more energy and, second, to make sure that we become less dependent on hydropower. So the key to improving security of supply is not more dependence on hydropower, but less. Nevertheless, it is possible to upgrade some hydropower plants and increase efficiency. There are still possibilities for upgrading existing hydropower plants and it is possible to obtain both small and micro-power plants. But next to this, we need to provide more environmentally friendly energy production. Both heat production and wind power will be important. Waterborne heat is an important field of investment from the Government, and with the support of the Stortinget, Enova has received a programme to implement this. In addition to this, we need to ensure increased security of supply from abroad, including: through cable projects, and we need to resolve the bottlenecks in the supply network in the Nordic market, both internally in Norway and between Nordic countries. Gas power plants with CO2 management are also part of the Government’s strategy to improve security of supply and increase energy production. The government's aim is to develop such a technology.
ParlaMint-NO_2003-03-05.ana.ud730e478	I am pleased that the Council of State places emphasis on security of supply. The problem in Norway today is that we produce too little power compared to consumption. Then we're in a situation where Statoil now wants to build gas pipes to England to export power and build gas plants in England, and Statnet estimates to add cables to England at a cost of $8 billion, a cost that will eventually end up with the end-user. So instead of creating values in Norway of this gas, the government wants to do it in other countries, and thus become a commodity producer. On top of that is bad environmental policy. Does the Council of State think that it is a desirable development that we send the gas out of the country to import electricity back?
ParlaMint-NO_2003-03-05.ana.ud730e485	When there is too little power in the country today, it is based on a lack of expansion through previous governments. The Workers' Party is also co-responsible for the assessment made and for the lack of promotion of measures to improve the energy balance. So it's not that this government could snap its fingers and make available increased energy production at the moment. Building more power is the result of long-term planning and expansion. In the case of the cables, the Government has not taken a decision on such projects. And in the case of gas power plants, I would like to remind the representative of Klungland once again that the three concessions given to gas power plants – and the terms of the concessionaires – are concessions granted by the Labour Party Government. Every sentence, every comma and every sentence is in line with what the Workers' Party set as a condition. When it is not built, it obviously has to do with a gap between the price of gas and the price of electricity in the market.
ParlaMint-NO_2003-03-05.ana.ud730e495	There will be follow-up questions – Odd Roger Enoksen.
ParlaMint-NO_2003-03-05.ana.ud730e498	I have no problem joining the long-term measures to improve the availability of energy that the Council of State is now calling for, both to make us less dependent on hydropower and to equip existing hydropower plants and, not least, to invest in environmentally friendly energy measures, which are absolutely necessary to deploy. However, we are also aware that these are measures that will not work for relatively many years and that will not remedy next year's supply situation. So I'm more concerned with what the Council of State intends to take action to avoid getting into a crisis situation next year. We're talking about 50 pst magazine filling. at the entrance to next year's winter, which will be dramatic. Last year it was exported approx. 12 TWh, mainly to Sweden, in a situation where it was well known that we had a shortage of energy and would have a scarcity situation here at home. What does the Council of State intend to do to avoid getting into a similar situation next winter?
