Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e48	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e258	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.MODA	Aukan, Modulf	M	1948	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e303	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e326	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ADA	Dahl, André Oktay	M	1975	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e366	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e392	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e431	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e465	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e486	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e506	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e523	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e528	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ADA	Dahl, André Oktay	M	1975	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e545	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e552	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e580	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e583	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e592	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e613	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e624	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e704	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e712	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BHH	Hanssen, Bjarne Håkon	M	1962	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e761	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.BENH	Høie, Bent	M	1971	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e789	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e794	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HTN	Nesvik, Harald T.	M	1966	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e839	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ØYVH	Halleraker, Øyvind	M	1951	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e843	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.ADV	Duesund, Åse Gunhild Woie	F	1944	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e883	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ODG	Gløtvold, Ola D.	M	1949	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e920	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e939	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.VN	Norman, Victor	M	1946	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e965	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ØYVH	Halleraker, Øyvind	M	1951	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e968	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HTN	Nesvik, Harald T.	M	1966	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e977	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.VN	Norman, Victor	M	1946	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e982	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e989	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.VN	Norman, Victor	M	1946	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e994	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1001	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.VN	Norman, Victor	M	1946	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1007	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ODG	Gløtvold, Ola D.	M	1949	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1014	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.VN	Norman, Victor	M	1946	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1021	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1030	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.VN	Norman, Victor	M	1946	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1035	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ØYVH	Halleraker, Øyvind	M	1951	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1040	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1065	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ODG	Gløtvold, Ola D.	M	1949	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1088	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.VN	Norman, Victor	M	1946	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1095	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JIA	Alvheim, John I.	M	1930	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1106	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1113	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HTN	Nesvik, Harald T.	M	1966	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1123	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.VN	Norman, Victor	M	1946	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1130	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1135	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OKD	Djupedal, Øystein	M	1960	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1142	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ØYVH	Halleraker, Øyvind	M	1951	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1145	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ODG	Gløtvold, Ola D.	M	1949	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1150	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.VN	Norman, Victor	M	1946	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1155	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ØYVH	Halleraker, Øyvind	M	1951	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1171	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.SAF	Flåtten, Svein	M	1944	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1194	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TON	Nordtun, Tore	M	1949	
