ParlaMint-NO_2003-04-02.ana.ud2020e28	The representative of May Hansen will make a private proposal.
ParlaMint-NO_2003-04-02.ana.ud2020e183	I believe that the schools are very much aware that the ideal is adapted to training for all students – absolutely everyone, strong and weak, girls and boys, minority-speaking and those who belong to the majority. I don't think the problem is that we're not aware of the ideal, but it's hard to get it done. There may be several reasons why it's hard to do. I think one of the reasons might be a lack of formal competence among teachers and managers in school. We know that not everyone has received the training and the training that they should be entitled to and that is needed. We're trying to do something about that. But I also believe that international studies certainly indicate that the school can be more self-governed, have a greater room for action in order to accommodate working days and forms of education in a way that better hits the individual student. The trials carried out in Norwegian schools, with exceptions from the current law, regulations and contract work, show that both teachers, students, managers, parents – all – believe that they are doing well to pursue the ideal of adapted training in a better way, independently, in fact, of the resource framework conditions they have.
ParlaMint-NO_2003-04-02.ana.ud2020e192	Let's move on to the next main question.
ParlaMint-NO_2003-04-02.ana.ud2020e195	I also have a question for the Minister of Education. First to quality. The working party is very concerned with quality in school. That's why we started many of the international quality surveys and surveys that now provide the basis for measuring quality in school, and that's very good. But we also recognise that quality requires increased resources for the school. And now when we're told that there are more students in the classes, that there are many places that go beyond the maximum limits, that special education is cut, that the offer for disadvantaged students is cut, and that teachers are said, then we recognize that quality is impaired by it, because you simply don't bet enough at school in many municipalities. This is an alert cut in the sense that we have historically low stakes on the local economy. Therefore, there will be less money for the school and thus less money to bet on quality, among other things. to invest in teaching resources, special education, where necessary. My question to the Council of State is whether she acknowledges that the municipal structure that the Government had was too tight to carry out a bet at school.
ParlaMint-NO_2003-04-02.ana.ud2020e206	There is no doubt that the local economy is difficult in many municipalities, that many municipalities need to streamline and tighten up, and that it will affect all sectors. Now I don't think you're going to take all of the'studies' that you're being presented to in the media, too good fish. They're not always to trust. This is why the Government has said that, in the context of presenting the revised national budget and the municipal budget, we will also present a separate report on the school economy in order to try to elucidate the resource situation at school and how different funding mechanisms work for the school. As far as we know the numbers today, it's actually so that Norwegian municipalities average use 70 pst. more than they have to comply with the quantifiable requirements of the law. We don't find any municipalities that are below the minimum of the law, but we find a twentieth of the municipalities that are down to the minimum. Among other things, I have aired the question of whether we should not carry out targeted supervision of those schools/municipalities that use down to the minimum. We don't know if that means that they're bad schools, but at least it can give a certain amount of security that the schools are good enough. We know from many studies that there is no automatic link between resources and quality. When you have to cut, however, I think that the feeling of experienced quality will be negative. We don't want to reduce resource use in school. If we're going to do something about it, it's partly about what you're adding to the municipality, and not least about the municipality's operating space. I noticed with great interest that, after their national meeting, the head of the Senter Party was just as excited about the local self-government as the SV national meeting was. She said that municipalities could save billions of dollars on reduced detail management from Stortinget. I think that's right. I think that's a challenge for this big thing. I will make my contribution and make suggestions before Easter to reduce the detailed management of schools, so that schools can make more efficient use of resources, not primarily for resource use, but for tailored training objectives.
ParlaMint-NO_2003-04-02.ana.ud2020e217	There is no one who is opposed to spending money in a better way, driving the public sector more efficiently, renewing the public sector. The working party is at least a strong and warm follower of it. But we are not so naive that we believe that it alone can ensure good enough quality of public services, even on the school offer. That is why we are in favour of both the renewal and efficiency of the public sector and, at the same time, of providing the necessary money. That's the last point that's missing, because you've chosen to give more money to private schools and chose to spend $12 billion on treasury bills. As a result, there has been a historically little investment in the municipalities. It means cut in a lot of municipalities. It's going to go down on the quality. That's what we now see the results of, and what we think is a main problem. Telling students in a class that loses a teacher, or telling students in a class where the number of students increases, that it doesn't go beyond quality, I think it's almost impossible. The question is, is there going to be more money for school?
ParlaMint-NO_2003-04-02.ana.ud2020e222	I agree that when it repeats and repeats that it necessarily has to go beyond quality, it's hard to explain that it doesn't necessarily do it. It doesn't necessarily go beyond quality. I recognize that it can go beyond the sense of quality. It's not positive to have to cut. But I think if you're going to do something about the local economy, it's not just to give more money. It also has some other effects, with which the representative Stoltenberg is well known. It's true that in this room, we can do nothing to defuse the municipalities in such a way that we undermine local democracy and the local space of action. The school is particularly affected by the fact that we run a lot of detail, because the school has been the most loyal sector to our ideals and our celebrations in local democracy, because the school lives on free income. I am a warm supporter of local self-government, local democracy, its ability to prioritize itself, choose for myself. I want to make it right. If we follow up the national meeting of the Central Party and the SV National Meeting, this will be a good thing.
ParlaMint-NO_2003-04-02.ana.ud2020e229	There will be three follow-up questions – first Marit Arnstad.
ParlaMint-NO_2003-04-02.ana.ud2020e232	I fully agree with the Minister of Education that there should be increased local space for action, but there will be no local space for action without resources. You should not try to create the impression that you can create local space for action without at the same time providing sufficient resources. There must be a Right problem in relation to the promises made to the Right before the elections, that you should not just have the sense of quality, but that you should actually get a better school, that you should get more resources for the school. Most people today feel that there is no more resources for the school, on the contrary. Local authorities are still struggling — more than ever — with resource problems. I also believe that the parents feel that there is no much more resources to lean on in relation to the Norwegian school. The council said in a previous answer that we have differences in Norwegian school today. Then I have to ask the Council of State: is it so that she believes that the differences we have in Norwegian school are less marked by the tight local economy that this government has now raised?
ParlaMint-NO_2003-04-02.ana.ud2020e239	I did not personally participate in the election campaign last time, but I have studied the material that was available. I don't think my party was most concerned about promising more resources. I think we had a much more sophisticated message about quality in school. I hear that the representative Arnstad is talking about feeling and experiencing things. I agree. You can feel and experience things, but when you are responsible for education policy, you also have to stick to facts. That is why, in the context of the revised and the municipal proposal, we will also present a major report on the school economy, which I hope will provide the basis for an informed and open debate. It's not that there's going to be an increase in the quality of less resources. However, it is not actually possible to demonstrate that the quality has a direct link between resource use around municipalities or schools. That doesn't mean we want it to be used less resources, but that means we have to use resources efficiently, no matter how large they are. I guess it's not allowed to return questions, but for me, it might be very interesting to know what Åslaug Haga meant that municipalities could save billions of dollars if you reduced the detailed management of the municipalities. It must be an attractive option for everyone.
ParlaMint-NO_2003-04-02.ana.ud2020e251	If you don't return questions, you can stay within time! Rolf Rekvam – for follow-up questions.
ParlaMint-NO_2003-04-02.ana.ud2020e256	I agree with the Council of State that if we follow up the SV national meeting in the future, this will go well! The media are now drawing a picture of a situation in the school where we have dramatic cuts, at the latest in Dagsrevyen yesterday. In the evening of last night, we were told that the Oslo School must be cut dramatically. Clearly, this will have consequences for quality in school in the long run. We must all agree on that. We see that it's now starting to go beyond the divisional hours, it's going to go beyond the mother tongue education, etc. That the Council of State does not take this completely inward, is actually quite serious. I wish she took it stronger inwards. Is this a crazy policy on the part of the Government – I think it’s important to know – to get a cut in school, in the education sector, in the future, or is this what happens despite what the Government wants? Will the government have these cuts we see now? Does the government want to cut down on the mother tongue education? Do they want fewer hours? Do they want fewer sharing hours, etc? Is this something that happens despite what the Government stands for? I think it's important to know that.
ParlaMint-NO_2003-04-02.ana.ud2020e263	First of all, I think you have to take some of the media deposits with a little pinch of salt. What was presented at the Dagsrevyen yesterday, which was also presented in the evening evening newspaper last night, is the result of a survey conducted by the Education Association by asking their trustees where it will be cut. What more they've asked, I don't know. These studies — if they can be called surveys — carry out the Education Association every year, and they make mistakes every year. They're always too pessimistic. This does not mean that I do not recognise that the situation in many municipalities is tight, and that it also affects the education sector in some places. It's not a crazy or wanted policy to cut when it comes to school. But what's going on is that we're going to have a national economy that's connected and that doesn't lead to pressure on interest rates, prices and competitiveness, etc. We want a policy towards the municipalities that is such that the municipalities themselves are given greater access to the resources they have at their disposal. There is then a link not only with the decisions taken by the Government but also with the decisions taken in this Chamber on reforms that are not fully financed and on detailed governance by the State.
ParlaMint-NO_2003-04-02.ana.ud2020e270	Vidar Bjørnstad – for follow-up questions.
ParlaMint-NO_2003-04-02.ana.ud2020e273	It's obvious that the Right is in the head office of the Bondevik government in terms of school policy, and I recognize the old arguments about the Right School, exam, grades and competition. I think it's a shame that we have a school council that doesn't fight for money for the Norwegian school, for the public community school. I think it is a pity that we have a Council of States that is primarily concerned with undermining the confidence of the public community by constantly stressing what is negative. I think all of this has a connection with the desire of this government to privatize the primary school. If the Clemet Council gets what she wants, it will now be free to set up private schools with full public funding. In my opinion, we have a good Norwegian school, which can be improved. I would like to hear about the State Council here and now briefly can say something good and positive about the public Norwegian school.
ParlaMint-NO_2003-04-02.ana.ud2020e284	This, I think, was actually a pretty serious question, which contained quite serious accusations against me about my intentions and motives, which I believe the representative who asked the question, knows it is not true. I'm very concerned about improving public school. That's over 98 pst. by the students leaving. But what we must note is that that school is not as good as what we thought it was. The quality is not as high as we thought, and the differences are much larger than we thought. So it turns out that there's no contradiction between the sides of similarity that we have and the quality that we want. The higher-quality countries in terms of learning outcomes also have greater equality between girls and boys, between strong and weak pupils, and perhaps between minority and majority representatives. We know that we don't have a perfect learning environment. About 100,000 students in school are in possession of bullying all the time. We also know that there are many school buildings that are not good enough. I have launched a series of measures to try to improve this, but the first condition for triggering measures is to know which measures work. Then you have to have knowledge of quality and know what leads to improvement.
ParlaMint-NO_2003-04-02.ana.ud2020e293	Let's move on to the next main question.
ParlaMint-NO_2003-04-02.ana.ud2020e296	I have a question for the Minister of Defence. The war in Afghanistan started about one and a half years ago, and most of this time Norway has participated with various military contributions, including in the field of drugs. Special forces, miners, F-16 aircraft and now again with special forces. In many media it is now constantly coming up with information that the U.S.-paid warlords are back in their old pre-war positions, that President Karzai only controls Kabul City, and now finally that the Taliban is reorganized and increasingly involved in fighting. Could the Minister of Defence say something about recent developments in Afghanistan, whether the Government has plans for further military contributions, and what time horizons she sees before the goal of the war is reached?
ParlaMint-NO_2003-04-02.ana.ud2020e305	Yes, it is true that Norway has always been active in Afghanistan since NATO declared Article 5. We have made a considerable effort in relation to the size of our country, but my clear impression is that this has been a very valuable effort. It was not least underlined when President Karzai was visiting Norway in December and praised the combination Norway had with both humanitarian aid and military presence. This has led him to have opportunities to drive the development of democracy. The girls are back at school, and there is clearly much greater security in the country than it was. However, it is not that all problems have been solved, and here the representative Bjørklund points to important problems in the future as well. It is a tradition in Afghanistan with various warlords fighting around the regions of the country. The ISAF force, the UN mandated international force, is primarily present in Kabul. This means that the international community is also facing long-term challenges throughout the country. However, the threat situation to Norwegian forces and allied contributions has not increased due, for example, to: the war in Iraq. It is regular, and it has always been, attempts to attack the coalition forces, but we still consider the threat situation to Norwegian personnel to be moderate and constant. As for the plans ahead, I will not try to set an end date for allied presence in Afghanistan. But what I want to say is that the Norwegian contributions are evolving towards more and more civil-military cooperation, as indicated by our CIMIC contribution to ISAF, and that the military heavy presence can hopefully be escalated.
ParlaMint-NO_2003-04-02.ana.ud2020e316	I thank you for your answer and note that it is difficult for the Council of States to be particularly specific on what kind of time perspectives this is about before this war, which we are in, can end. I have a follow-up question. Three times Norwegian F-16 aircraft have dropped bombs in Afghanistan. The public in Norway knows little about what this has caused by damage and death, and whether it has given some results in the military. Will we get any exact information about this, and will there be any report on the extent of the damage that will be published?
ParlaMint-NO_2003-04-02.ana.ud2020e323	The most important thing to say here is that the three cases we've had where we've been using weapons from F-16 planes have been completely in line with the guidelines approved by the Government, to which the Storting has been consulted. It is also right to say that in these cases it is a matter of self-defence situations where we have been called up and asked to assist personnel on the ground, and then it is a matter of course that we set up. Now it is that yesterday was the last day of our participation in the F-16 presence in Afghanistan. The planes are on their way home, and then it's natural that we do the same thing there as we did when we picked up our special forces around July 1st, i.e. take a "lessons learned" summary. I would also like to take the initiative to have a press conference related to the F-16 contribution, as we had at our return around 1 July last year. That doesn't mean that all the information will be provided in detail, because here we also depend on what information the rest of the alliance thinks it is good to publish.
ParlaMint-NO_2003-04-02.ana.ud2020e335	There will be three follow-up questions – first Marit Nybakk.
ParlaMint-NO_2003-04-02.ana.ud2020e338	The representative Bjørklund and I were among the four who were in Kyrgyzstan a few weeks ago and visited the Norwegian forces and the Norwegian ground crew. I would first like to stress that what we were told to see and hear, at least made me sure that we are facing Norwegian personnel with a very high level of competence and a high level of personal integrity. We also received very detailed and detailed descriptions of the cases where weapons have been used. Then to the follow-up in Afghanistan. I would like to stress what the Council of State said, that civil-military cooperation is important in order to ensure stability in Afghanistan. At the same time, it is easy to forget one country when conflicts arise in another. I would like to ask the Council of State Krohn Devold, as a representative of the Government, to help us achieve a further humanitarian follow-up to the situation in Afghanistan.
ParlaMint-NO_2003-04-02.ana.ud2020e345	I just want to start by saying that Marit Nybakk here reminded me of something important, namely to praise the crew that has been down there. Before they went down, it was said in several TV debates by prominent Norwegian people that Norwegian pilots were going to Afghanistan to bomb women and children. The accusations, which were gross and groundless, have been refuting the efforts we've been making down there for six months – and that's all there is to emphasize. Maybe some actually should draw their statements and make an apology to them we sent down. Having said that, I would say that I am as busy as Marit Nybakk in maintaining the pressure on our efforts in Afghanistan. I also think that was one of the important outcomes of President Karzai's visit, namely the emphasis on the fact that the F-16 aircraft in the air, by their very presence, were also a soothing element in relation to the warlords, but that we should not forget the humanitarian follow-up. And of course I will also coordinate that with my colleague, the Minister for Development.
ParlaMint-NO_2003-04-02.ana.ud2020e352	Bjørn Jacobsen – for follow-up questions.
ParlaMint-NO_2003-04-02.ana.ud2020e355	The war we're currently at in Afghanistan, at least, is going to end up in something other than the situation that he is today. We should, of course, be particularly concerned about the overlap and transition to civil action. For example, the Soviet army just experienced standing up with only military action and finally had to run away again. We have to remember that even though the local war armies are now on top again, and the money for civil action is not exactly fluttering from the international community, we should look at the time when the overlap and the transition to civil status will come. Does the Minister for Defence see the time when civil action should be greater and more important than military action in Afghanistan?
ParlaMint-NO_2003-04-02.ana.ud2020e360	I think it's very difficult to speculate on a special date when someone gets it replaced as the representative Jacobsen wants. But I know that SV, along with the Government, has been concerned about the emphasis of the ISAF forces. SV has supported it, as opposed to the ‘Enduring Freedom’ operation, because ISAF has had this clear UN mandate and has been put together in a different way. Here we have a common concern about the future of the ISAF forces. This is also one of the most important issues on the international agenda, that we need to ensure that we do not get to fill the ISAF forces with all the international activity currently going on. Here, I think it is important that both the UN, NATO and other actors discuss how to ensure that ISAF has a sufficiently strong presence in the future. Then, of course, we also have to make sure that the donor country group that is established for Afghanistan does what it has committed itself to, because the numbers are large. But I can agree with Jacobsen that we have a bit to go about realising the project.
ParlaMint-NO_2003-04-02.ana.ud2020e365	Per Ove Wide – for follow-up questions.
ParlaMint-NO_2003-04-02.ana.ud2020e368	The Norwegian F-16 participation in Afghanistan is no one in doubt, it has only been excellent. Now these planes are on their way home, or they're already home. They have operated with Danish and Dutch F-16 aircraft on missions down there. The Danish and Dutch planes must remain there and operate. The Norwegians are going home. Who is going to fill the hole after the Norwegian planes, which is obviously still needed?
ParlaMint-NO_2003-04-02.ana.ud2020e375	The planning of the strength contribution of the ‘Enduring Freedom’ operation to Afghanistan takes place in Tampa. It is happening that all countries have rotations on their strengths. Norway has embarked on a six-month rotational line for all our contributions, including the F-16 strengths. Tampa has assured us that there will be a sufficient and good presence of F-16 forces in Manas even after the Norwegian planes leave home. And you underline: we don't pull out, we go home, just like we intended. Not all other countries have special forces to send down. What has been clearly formulated on the part of Tampa is that the Norwegian special forces are also very much in demand. The fact that Norway replaces the F-16 contribution with special forces is entirely in line with the rotation we've had all along. After six months, we'll switch over and go home. It's, not least, predictability for them at home, the family and the children of those down there. This predictability is important to take care of.
ParlaMint-NO_2003-04-02.ana.ud2020e380	Let's move on to the next main question.
ParlaMint-NO_2003-04-02.ana.ud2020e383	I'll have to ask the Minister of Education a question. In previous answers today, we heard that the school council said that the Workers' Party made serious claims when they asked questions about school policy. State Council Clement said very clearly in his reply that the problems in the Norwegian school were about the ‘feeling’ of quality, and that the problems were not real. Then I would like to recommend the school councils to take a tour of School-Norway and talk to those who are now getting a lower school leisure offer, who get a more expensive offer, those who get reduced special services, those who sit in miserable classrooms around in several of our cities, and with all the teachers who say they had managed to give our children a much better schooling day if the resources had been better than they are today. I notice that the school councils are not willing to respond to some of the challenges she is faced with.
ParlaMint-NO_2003-04-02.ana.ud2020e391	I think I'm going to argue that I'm probably more around schools in Norway than anyone in this room right now, and it should just be missing, since I'm a school minister. I'm everywhere, and I see good construction, I see bad construction, I see lots of good schools, I see many enthusiastic and good school leaders, I see test schools and other schools. But the representative Bekkelem Orheim doesn't think the buildings have been bad for the last year and a half? I'm very concerned that we're going to do something with them, but they haven't expired in the last six months. To the extent that we have poor school buildings in Norway — which we have, I try to map the extent of it — it is due to decades of neglect. What I'm saying about the resource situation is that it's not positive to cut, and it's doubtful that some municipalities have to cut. I've tried to explain some of the reasons for that, that I think it's essential that we do something about the space of action and respect for local democracy to give municipalities greater freedom of action. But I'm also trying to say, and I haven't seen a thing to refute it, that we can't find any surveys, national or international, that can detect any automatic link between quality and resources, whether we're talking about measurable quality or well-being studies, user studies, and that kind of thing. But if you are subjected to cuts, it can of course feel like a quality cut. I fully recognize that. I don't think that's strange. I also believe that two phenomena can occur at the same time: that we spend a lot of resources at school in total, and that it still experiences and feels like little in each school. Therefore, we must be interested in the use of resources. Many people now criticise and are busy with resource usage. I read it too, and I hear this. But it must be interesting for those who come with and are interested to try to listen to: is there anyone who has any alternative policy on how to improve school quality, whether it be learning outcomes, learning environment, learning motivation or what it is? To a large extent, school policy has now gone through unanimously in this Chamber.
ParlaMint-NO_2003-04-02.ana.ud2020e402	It becomes too simple when the Council of State tries to give a description of what has happened in school buildings for a year and a half now, as if it were about falling down our students' heads. That is, of course, nonsense. The point here is that everyone is concerned that we're going to have a high-quality school, but then it's about that we have to be willing in the future to focus more on building, more on learning, more on quality. We have heard the Council of State today say that one of the problems in the Norwegian school is precisely the detailed management from Stortinget's side. I believe that is a tactical thing on the part of the Council of State, so that she will not be held responsible for the state budget with which her government has come. It is true that there is a decline in public school at point by point, while private schools are favored. I understand that Kristin Clemet doesn't want to go out and defend himself in a municipal election fight, when almost 600,000 of our students go to public school.
ParlaMint-NO_2003-04-02.ana.ud2020e409	There's more to bet on barley. We have an agreement in this room to pursue a loan arrangement in the case of school buildings, and it pursues the Government. We also keep paying more attention to the local economy. How the municipalities manage the economy they have depends on a lot of things, and I don't think it's Karita Bekkemelm Orheim who will get a glimpse of her view in the municipal sector – and that's all the parties – if she claims that talking about local action space is just a tactical manoeuvre. It is definitely not, it also has a bearing on the liberality of the local economy. But let me just say this: if the situation in school is as dramatic as the opposition is now making it, if the opposition thinks that the cuts are going to be like, among other things, The Education Association claims and some media lookups indicate, I have to say that the alternative municipal budgets presented in this room are completely inadequate. Then they're also a drop in the ocean, if only this is what's needed to improve the quality of school.
ParlaMint-NO_2003-04-02.ana.ud2020e416	There will be two follow-up questions – first Arne Sortevik.
ParlaMint-NO_2003-04-02.ana.ud2020e419	First, I must be allowed to correct the Council of State. It is not right that there has been unanimous support for today's school policy in the United Kingdom. The Knowledge School of the Advance Party is an overall alternative to the Single School, which has shown considerable inequality in resource allocation. There's no inequality between the few students who go to private school and the many who go to public school, but there's inequality in the public school. This option is obvious in order to ensure a more equal distribution of students regardless of the municipality in which they live, and it is direct government funding that the state pays the school money for the students directly to the school where the student chooses to be a student. Is there a solution that this government and this Council of State are now willing to look at, taking into account the great injustice and the great imbalance it is in the resource use of students in Norway, who are actually dependent on the municipality in which they live, and what county do they live in?
ParlaMint-NO_2003-04-02.ana.ud2020e424	I must agree with Mr Sortevik that the Progress Party basically has a different type of school policy, in the sense of a different type of framework for the school, in the sense that in many ways one wants to state the school and have a state funding system. But secondly, the Progress Party is committed to making the best of the system that exists, and has, among other things, have been engaged in transferring negotiating responsibility to the municipalities to use one example. It is not this government's policy to state 4,000 primary schools. I think that would be a bad solution. There are a lot of units, a lot of local differences. There are still some differences in the way resources are used. However, most of the differences in resource use between municipalities are due to different challenges — there are different types of student mass and different challenges and problems in the community. So we're going to try to improve the school's framework in terms of space for action, looking at funding systems, the resource situation and that kind of regulation within a framework funding system. We simply believe in local democracy.
ParlaMint-NO_2003-04-02.ana.ud2020e431	Trond Giske – for follow-up questions.
ParlaMint-NO_2003-04-02.ana.ud2020e434	The council says she's the only one who's concerned about quality. Was that why she cut in that package of $1 billion she inherited from Lilletun and me for quality development in primary school, to spend on these bonus schools? She says she's busy with poor school buildings. Is that why she proposed to halve the package that would help municipalities clean up school buildings? She says she is concerned about increased freedom of action in the municipalities. Was it, therefore, that the current government halved the growth of the local economy? So we saw in the evening post last night that 40 schools in Right-Course Oslo have to cut off their teaching offerings because you have such a tight economy. A principal says that this also affects educational development, because you can no longer afford to drive in new ways – you have to drive in a more old-fashioned way. The Council of State refers to the trials carried out by the Stoltenberg Government. It is assumed that resources will be maintained. Now it's cut. One place is added – it's in the private schools. The 1 1/2 pst. Who goes to private schools, gets 400 million. kr more, while for the 98.5 other percentages have to be cut.
