ParlaMint-NO_2003-03-27.ana.ud1262e69	The representative, Inge Ryan, will make a private proposal.
ParlaMint-NO_2003-03-27.ana.ud1262e238	It is interesting to be accused by the party SV of being populistic in a case where the Workers' Party proposes money to this infrastructure company to build pipes and LNG receivers that do not burden the expenditure side of the state budget and that do not compete with kindergartens and hospitals – and it should be known to the representative Djupedal, who is in the Finance Committee. And it's clear from the setting, if the representative Djupedal had read it carefully. I think now we've gotten the cat out of the bag – or whatever it's called. Now, the representative named Djupedal said that there won't be any economy in building a pipe, if there isn't a gas power plant at the other end. And gas power plants don't want SV. In other words, this cannot be interpreted in any other way than that SV is also against building pipes, for example. to Grenland. That is a perfectly fair position. But what SV has tried in this matter is to ride two horses. On the one hand, they do not dare to say clearly that they do not want it, because they do not want to use gas in Norway, and on the other hand they do not dare to say the opposite. But SV has clearly stated what they mean in several contexts, and I think SV should be honest to say that. At the latest in this year's budget setting, SV says: ‘These are the reasons why these members are in favour of a strong increase in the appropriations for energy research and, in contrast, continue to invest in the introduction of natural gas.’ The allocation was set to zero, from 30 million. kr to zero. Is it really so that the government parties and the Central Party believe that SV will be involved in building gas infrastructure in Norway? I don't think so. And the proposal that the government originally had on the table for that was to use Enova in competition with wind, water and other things, and a few million. All of us who are in this room and have adopted government budgets year after year know that there will be no gas of it. There will be no gas infrastructure, where the primary thing is to create jobs. Then I think SV should be so honest to say that it is more important now to raise a tab with the environment, which I think we are doing very well with our arrangement, and it is more important than creating badly needed industrial workplaces. I mean it's possible to do both.
ParlaMint-NO_2003-03-27.ana.ud1262e252	So the chord change is over.
ParlaMint-NO_2003-03-27.ana.ud1262e256	Today's debate on the nomination of the Energy and Environment Committee to St.meld. No 9 is important for Norway. It is not least important for the many coastal communities that see an opportunity for new industry, new value creation, based on the supply of natural gas. It is gratifying that there is a solid majority to take a greater part of the Norwegian base natural gas in domestic use. Nevertheless, it is a pity that the Committee has been divided on the question of how to ensure that the use of gas is fair domestically valued. We must not risk that good intentions end up as loss projects both for local investors and the state as a co-investor in infrastructure because planning is not good enough. Norway has traditionally been a commodity exporter. Only to a small extent do we have the power to process all the rich natural resources with which we are blessed – not least fish, oil and gas. In addition, we export quite a lot of semi-finished products, among other things. based on electricity. But only in a few areas in Norway have we made the transition to further processing and branding internationally. There is no doubt that this makes us more vulnerable to international economics than if we had built strong market positions on finished products. In the case of natural gas, it may be used in industrial processes such as raw materials, as an energy carrier, as a basis for biochemical processes and for electricity generation. It is also the case that when natural gas is used in such processes, heat/hot water is often created that may be important in secondary processes. This may, for example: be associated with fish farming, the production of smolt and juveniles. It is from this point of view that I am pleased to say that there is such a wide disintegration of the industrial opportunities offered by the domestic use of natural gas. At the same time, while natural gas is the least polluting fossil energy source, it is important to set environmental requirements for the lowest possible greenhouse gas emissions in the processes. We must not forget that we have major challenges in implementing the emission reductions to which the Kyoto Protocol commits us. If we are to succeed in creating new industrial activity and new optimism around the country, we need to find acceptable ways to get the gas landed. Where a high gas demand can be established and identified, the construction of transmission pipes will be the most natural, while elsewhere LNG/CNG facilities will make sense in order to be able to accept boatloads of refrigerated or compressed gas. Both methods require large investments. The majority of the Committee therefore wishes the Government to speed up its efforts to identify the interests of using the gas, to estimate likely needs, and to assess the extent and manner in which the State can co-finance such infrastructure. So far, the most elaborate project is gas pipeline to Grenland. The most profitable and realistic option, according to local stakeholders in the Telemark Gas Forum, is a dry gas and wet gas combination. Such a pipe will meet a need for existing industrial processes in Grenland, both to Norsk Hydro and to Borealis, and at prices that should be more reasonable than current boat transport. Nevertheless, many questions need to be considered more closely in this most mature project. What other industrial users can be put on the road? How much quantity can we count on in the long term? Where should the gas come from? In the case of dry gas, there is hardly any problem where it is to come from, but it is necessary to ensure that wet gas is also available for such combination pipes. And further: where to put the pipe to ensure the best possible trajectory, and what possibilities can be put in to be able to build branch pipes into other reception facilities, e.g. to Eastfold and West Sweden? And what will such a pipe cost? The estimates from our most experienced companies, Statoil and Hydro, crack from NOK 3.75 billion to between NOK 5 billion and NOK 6 billion. I feel that it is absolutely necessary to get more knowledge of these issues before we make investment decisions. Similar assessments must be made at other alternative landing sites. Against this background, it is strange, in order to use a very cautious expression, that some co-representatives in the Committee on the Media and in lectures say that this has been done enough, now we just have to get started! I expect that it is not that kind of irresponsibility in Stortinget when it comes to reality. But when it comes to impatience in getting started, I'm dividing it. The majority therefore argues that the investigations must be carried out as quickly and efficiently as possible in cooperation with interested industry and industry associations. In the form of proposals, the majority have asked the Government to come back with such assessments by spring 2004. The majority further requests that infrastructure financial instruments, including: the establishment of a State company to participate in the financing is assessed at the same time. So it's not like the majority is asking for the case to be postponed. There should be full pressure on the matter, and I am sure that the interested industry also sees the need to know a little about what is profitability, and what is the possibility on these issues. A central point of the Workers' Party and the Progress Party is clearly that they will already have established the State company with a significant capital. Although I understand that NOK 3 billion on the book is now better than NOK 3 billion on the roof, it is a recognised principle that such companies should not be set up until they know what to do and what tasks to do. I'm glad that the committee is committed to the creation of a state-owned innovation company located in Grenland. The Committee has wanted to extend the mandate of the company somewhat, precisely because the industrial competence of Grenland goes beyond pure research into CO2 management in gas power plants. Among other things, it would be natural for the company to be responsible for the development of hydrogen and possibly petrochemistry. Once again, there is disagreement as to when the financing of the company should be in place and what resources it really is. In this area, too, the majority believe that the Government must come back quickly with a financial plan for the company. It is also desirable that the company be set up faster than proposed in the notification. It is important that this innovation company cooperates closely with other research communities in the country in order to obtain good solutions as quickly as possible. I refer here in particular to the research communities in Trondheim, which are well advanced in these areas. Furthermore, the Committee agrees with the establishment of a National Centre of Competence in Haugaland. It is necessary to clarify the responsibilities between the Directorate for Fire and Explosive Protection and the proposed Centre in terms of fire and safety. In this respect, I refer to the new proposal by the Committee. There is also broad agreement to establish an obligatory green certification system. The majority point to the importance of creating a Norwegian/Swedish market for green certificates and the possibility of subsequent adaptation to a wider international system. Such a scheme will enable faster progress to be made towards the emergence of new renewable energy sources. It would be a great advantage to market-based such a development. It will provide as much new renewable energy as possible per year. krone invested. It will seem predictable and provide greater opportunities for involvement and new initiatives to bring forward the projects leading to the goal as quickly as possible. There are several opportunities for more environmentally friendly ferry and bus transport using natural gas. However, although there is little environmental benefit, this can be a good alternative to today’s fuel for a transitional period towards hydrogen/fuel cell technology. Now we all have to be involved in creating some optimism in the industry around the country. The most recent newspaper articles have not contributed to this. One of the instruments is the use of more domestic value added gas. The working party tries to create division in the government parties by proposing a more aggressive expansion of gas power plants. Of course, the government parties stand firm on the Sem Declaration, where it is clear that the three concessions to gas power plants, with the addition of Snow White, are those given with today's technology. At the same time, we refer to the Government's assurance that gas power stations built on the basis of these concessions should not have any worse framework conditions than similar works in the EEA territory. But additional concessions require CO2 management. This is why we want to invest so much in CO2 research. As soon as there are solutions to the CO2 problem that are also acceptable based on cost conditions, we will be ready to stimulate the use of gas also for electricity. Today's debate will show some of the most confusing things in the world of politics. The entire committee, perhaps with some reservations from SV, is very concerned and agrees to take a greater share of natural gas into domestic use. Everyone agrees that the State must contribute to the infrastructure to take the gas ashore. Everyone agrees with the creation of an innovation company in Grenland. Everyone agrees to speed up in time and extended mandates. Everyone agrees with the establishment of a centre of expertise in Haugaland. All agree to the establishment of a mandatory green certification market. Nevertheless, the debate will appear as if we were in complete disagreement. The distinction depends on how much money the state is going to bring in, and how fast. These are, of course, absolutely central questions, and I can understand the impatience of the Labour Party and the Advance Party. But did not allow the question of thorough processing and good planning to overshadow the message of a hard-pressed competitive industry. We want to use the gas in Norway, seize the opportunities to invest in new processes, new products and new start-ups. With rapid and thorough treatment in the Government, we should be able to start developing infrastructure without delay and with greater certainty that the decisions really provide optimism and increase long-term value creation.
ParlaMint-NO_2003-03-27.ana.ud1262e297	It's going to be line change.
ParlaMint-NO_2003-03-27.ana.ud1262e300	I understand that the representative onarheim has a strong need to try to create the impression that everyone in the committee agrees on most of the points in this case. I must say that I do not at all agree with that, because on the essential point, namely infrastructure, there is a clear disagreement. And now the representative Onarheim himself said that the party that might have had some reservations, to put it mildly, is in that way SV, and that is actually the party that Right now has chosen to cooperate with. There have been strong reactions to that compromise, including from the Right. I referred to one of them instead, and I want to mention two more. Irene Haugaa told his father's friend on 25 March that ‘She has much to do with the criticism expressed by Aps Sylvia Brustad after the government parties made compromises with SV in the question of how Norwegian gas should be used domestically’. The same criticism was also followed up by the rapporteur in Farsund, Ove Rullestad. The representative Onarheim was concerned that we have to create optimism in the industry, and it could actually have been on the right hand by taking a binding decision on what is about infrastructure. It will be a mistake when this is presented as if it is a bad treatment we are currently doing. So the issue of gas use in Norway has been investigated for many years in many places around the country, and I don't think there should be any doubt that by first going into an infrastructure company that is going to be used throughout the country, you would have got a very good provision in terms of creating badly needed jobs. The representative of Onarheim also heard the representative of Djupedal and has himself seen the position and comments of SV, and my question to the representative is: Does the representative of Onarheim feel comfortable by making a compromise with a party that so clearly indicates that using gas in Norway is not a particularly dangerous road?
ParlaMint-NO_2003-03-27.ana.ud1262e316	It's interesting to see where we agree in the setting, and how we disagree. I am fully aware that there are questions about money now or something later, and that it may be a big question for someone. But when it comes to who we want to work with, I agree that you have to choose your friends. On the other hand, in the political world there is a question of having a majority. I was out quickly and tried to invite the Workers' Party to work together on these questions. We didn't quite get there, and then we had to get a different majority, and we did that, and I'm glad. But what I don't understand, it's when the representative, Brustad, says this is done enough. Where's the pipe going? Where will the wet gas come from? How much will the pipe cost, just in Grenland? What about the other places? This has not been properly determined at all. That's why it's important that we don't get into such a situation as we had with the Flytrain and the Gardermo. We must not get into Mongstad situations either. It shouldn't be that we first get a company with money under the line, and then it goes a few years and we have to write it all off, and then it goes over the line. We need to be sure that we now get to do this in a way where both those who are going to contribute from the industry, and the state, feel secure that these projects are profitable. Without that, we're not going to move on.
ParlaMint-NO_2003-03-27.ana.ud1262e323	I think it was a pleasure to listen to Mr. Onarheim's posts, especially where he tried to explain the consequences of the alliance with SV. The lot Right has for many years tried to present itself as a batch that is on the business side. If this has been the case in the past, I do not know, but at least notice that this is not the case now. Representatives from the Right still hold, after what I have heard, celebrations about value creation and industrial travel, but vote against in this room every single time it's about concrete action. I would therefore like to ask the representative of Onarheim, who has extensive experience in industry and business, whether he feels comfortable with a situation where his party Right, along with SV, now appears as the main brake blocks for just economic development, value creation and new jobs.
ParlaMint-NO_2003-03-27.ana.ud1262e332	I feel very comfortable with profitable jobs. I feel very uncomfortable if we ask someone to invest in something that doesn't turn out to be profitable. So planning is important. But let's just go back a little bit and look at some of the projects we've had. Let me, for example. take the FATIMA project, which is one of them, where a unanimous control committee underlines the importance of the Stortinget being presented with good and timely projects with realistic cost frameworks. Does the Progress Party and the Workers' Party really feel that there is a present in this matter? – At least it has not been brought to the Committee in a good way. Let me go on to say that in budget-inner. S. No 9 for 2000–2001 was a question of what to do to stimulate natural gas. That's it. ‘The majority of the Committee, all with the exception of the members of the Advance Party, is in favour of the wish to increase domestic gas use.’; - That's it! The FrP then cancelled the entire allocation, while all the others went in for an increased allocation. I feel quite comfortable that if the department manages to meet the demands we are now making, they will come back to the Stortinget with good suggestions, good opportunities to contribute to infrastructure so that we get a good infrastructure to use domestic gas.
ParlaMint-NO_2003-03-27.ana.ud1262e348	After hearing the article from the representative Onarheim, in the extension of the NHO's proposal to create jobs, I felt that there was a abdominal landing at the end. He doesn't really want to do anything because he joined a multiple of SV, and the whole setting is saturated by the fact that a person doesn't really want to use the gas. It could be a happy day today if one got to a multiple for the use of gas. I would think that those who built up our water resources a hundred years ago would turn to the grave if they had heard what former NHO Chief Onarheim said in his post about above and below the line for which one could invest. Here one should come to a deal that would now do something for the industry. Of course, one should come back to Stortinget with a very specific project and with what costs it will have. So today one could say yes, we want the Storting saying to the Government that we want to be involved and invest in infrastructure. Think of an order it might have been for the government to come back to the Storting and say that it costs so much to add it to Grenland, it costs so much if we're going to have it here. – Then the Storting could start later and be entirely concrete, so that one would not get into the situation of Onarheim and all of us are busy when it comes to overshooting. So today one could say yes, if one hadn't joined a multiple of the government parties and SV, which says that one really doesn't want to use the gas. I miss the offensive Right in industrial policy, as I have heard Onarheim so many times before, but the offensive Right was now absent, and he had to budge against the compromise.
ParlaMint-NO_2003-03-27.ana.ud1262e359	Although it has been a long time since I was a ski jumper and took a telemarket strike, I do not feel that we have a abdominal landing here. On the contrary – I have never been part of any project for quite a number of years in business where you first grant the money, and then you see how to use them and what kind of projects you have. We have to have the projects up. We have to see how much it costs. We have to look at the division of responsibilities between the private and the public. Then we'll see what we can use the gas for -- in a more sensible way. We have to be willing to take that round, and it's clear that it will also work party, it's just that they want you to give the money first. I think it's absolutely right to take this in the right order. What are we going to do? How much do we need for infrastructure? How much is to be contributed by the State? How many industrial enterprises can we get up to make this work well? We have to do this in the right time and in the right way. For all large investments of between 7 and 20 billion dollars, it is important that you have a plan before you start.
ParlaMint-NO_2003-03-27.ana.ud1262e366	So the chord change is over.
