ParlaMint-NO_2003-12-08-2.ana.ud1416e52	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-12-08-2.ana.ud1416e195	The Communication on tariffs for current transmission that we are processing today emphasises the continuation of the main principles that the system has. However, there are some changes that may seem small, but may affect the perception of the system among users. We've been through a year when power prices have been too high for many customers. This means that people have saved electricity, that companies have reduced their electricity consumption, and that the network has again had less ‘traffic’. We politicians encourage people to save on the world's purest energy, because we have too little of it. We encourage people to invest in forms of energy other than electricity, install heat pumps and otherwise do some incremental work, and that's all right. The working party believes this work is important, but when the balancing of tariffs today works in such a way that customers get a higher network rental year after they have saved electricity, this seems provocative and as a penalty for saved electricity for many. I am therefore pleased that a unanimous committee takes this seriously. Of course, we are aware that the network companies can even out costs, or their lack of revenue, over several years. But we think that this has to be done in a way that works better than today. After what has happened in the electricity market in recent years, confidence in both market players and political authorities is sluggish. The working party believes it is high time to take the seriousness inwards. We will anchor a robust and secure system, also into the future. So a little bit about fixed, variable terms, input and output rates and, of course, k-factor and the residual terms of the net tariff. It's complicated things. It's easier to understand than that is to explain. That's why I think I'm just going to say a little bit about the proposal that there's a lower rent in relation to the variable term. Lowering the variable term can initially be timely. This will lead to lower costs for those who use low currents or those who save a lot of electricity. This can in turn make it more interesting to change the energy source, for example. transition to bioenergy, gas, oil or coal. At least it will contribute to the rotation of our electricity consumption. I believe it would be unsocial in relation to those who do not have much to save: small children's families, industry and customers who do not have an alternative to electricity. At the same time, it will lead to greater fluctuations when the power consumption drops. This year, the consequence of a lower fixed rate last year would have led customers to an even higher network rental this year. The majority of the Committee believes that today's system will bring about a more secure and robust system into the future. Finally, I am pleased with the broad political consensus that it is in relation to the tariffing of our network. The Labour Party believes that such an agreement will also be in line with our proposal for two-way communication in the future. We're looking forward to that day.
ParlaMint-NO_2003-12-08-2.ana.ud1416e208	Networking, in the form of the transport of electricity from the producer to the consumer, is a natural monopoly, where, unlike the production and sale of power, it is difficult to imagine a market with effective competition between different actors. Any electricity subscriber is dependent on a particular network company to have the electricity delivered through the mains and has no alternatives, except for any other energy sources. Any monopoly activity represents a special challenge, both in terms of optimal operation and in terms of market orientation towards customers. Just because this is a monopoly activity, it imposes on the authorities an additional responsibility to verify that the network operators do not use their position as monopolies to the detriment of consumers. The same responsibility, of course, rests with the network companies. In today's system, companies are provided with their income framework by the NVE, and the same body also imposes requirements and exercises control over the companies. Our national energy supply is almost exclusively based on hydropower. In a dry year of last year, low power generation, due to low water in the warehouses, resulted in high electricity prices, which in turn reduced consumption. In this way, we can say that the market turned out to be working. One of the consequences of our reduced power consumption is that some network companies have increased network rentals to cover their fixed costs, sometimes with a very high number of charges. For customers, this is very unreasonable. More people feel that they are being punished to respond to the government's call to save electricity. There is no evidence to suggest that the network companies have not complied with the current legislation, but there can nevertheless be some question about the wisdom of increasing network rental as dramatically as some have done, at a time when this comes at the top of generally high electricity prices. The income framework of the network companies defines the maximum income of the companies per. years over a five-year period, and this should contribute to the fact that companies already have the possibility of making adjustments over several years under the current system. The right considers that it must be a goal for the network companies to have the most stable price evolution possible. This, of course, makes great demands on the network companies in relation to both planning, maintenance, initial investment and operation. A modern society like Norwegian is completely dependent on the safe and continuous supply of electricity. Among other things, we have in the last 24 hours, what weather may result from power failure over a relatively long period of time for many subscribers. Therefore, it is important that companies have an income framework that takes into account the necessary maintenance tasks both on the network and in relation to clearing along the lines, so that three cases are avoided during stormy periods. The right is behind the majority of those who want to have the NVE legislation reviewed with regard to the approval of the annual income framework of the network companies, in order to make the system even more accurate and to be able to balance costs better. The tariffs for the distribution of electricity should be designed in such a way as to signal to the greatest extent possible the efficient use and development of the network. The right considers that tariffs should continue to consist of two elements: a fixed link and an energy link that varies with consumption. The ratio between these has been discussed. On the one hand, the costs associated with the main power supply network are determined costs that do not vary with the consumption of the customer. The loss of power through the network as a result of the individual customer’s energy consumption is marginal. The distribution between the fixed link and the varying energy level that customers get on their bills does not reflect this. The consideration of a socio-economical correct distribution between the fixed link and the variable link should therefore be given to a higher fixed link. A higher fixture would reflect the real cost picture. Moreover, such an option would not result in such a variation in network rental as is experienced by many today. Others, in turn, call for a lower fixation than today, in order to encourage customers to use less power. The Communication discusses these issues and, like the majority of the other parties, the view that a higher fixation will have adverse distribution effects, as pointed out in the Communication. In addition, a variable energy link makes it possible to make comparisons between companies, so that we get some kind of gap-stick effect. This is not an immaterial moment in a monopolistic industry. Today, we have a balancing system that compensates for huge inequalities in transfer tariffs in this country. This grant is provided to reduce differences in transfer costs due to natural circumstances. The grant is granted above the State budget and will amount to 40 million for the next year. kr. This balancing mechanism is supported by the right. It is accurate in that it gives direct results at lower power prices to customers in the areas covered by the scheme and it is easy to manage. However, the right underlines that the grant has to be granted in order to balance the difference in determined costs based on natural circumstances and does not contribute to reducing the incentives of network operators to operate cost-effectively.
ParlaMint-NO_2003-12-08-2.ana.ud1416e246	For a longer time, the Progress Party has called for a review of the network tariffs in Stortinget. Already during the discussion of the energy communication in spring 2000, we proposed this, but unfortunately we did not get a majority. Only two years later, during the treatment of Statnett's organization, an overall opposition went together and asked the Government to promote a separate case on this topic. The government first made a failed attempt in the budget last year, but the opposition demanded a better decision base and sent the matter back. But now at least the matter is for treatment. It is important to keep focused on the situation of the country's electricity customers, and it is particularly important to keep an eye on the activities of the network companies, all the time they are in a monopolistic situation. The network companies’ income frameworks shall be approved by the NVE in accordance with certain criteria. Some broadcasters believe that these criteria are very strict, while others are of a different opinion. It is therefore important to review the regulatory framework of the NVE in this area, in order to make it more accurate, to balance costs better and, at the same time, to impose stricter requirements on efficiency and cost control. I am pleased that Stortinget is asking for such a review. However, I find it strange that the wording of the Progress Party on cost control and efficiency is not included in the majority proposal. But it should of course be nice to remember this next time the debate on the network tariffs appears in the media. However, it is good that a unanimous committee points out that the cost allocation needs to be improved, so that the annual tariffs for customers are reduced. It clearly gives negative incentives that customers experience being punished with higher network rentals when they have followed the call to save electricity. I therefore hope the Department and the NVE will find solutions that provide much better results. So two-way communication. The Progress Party sees obvious advantages in using two-way communication. Firstly, customers can trade electricity at the times of the day when the current is the cheapest, and in addition, this can provide clear benefits with power balancing in the network. In our opinion, it must be a voluntary offer to the power customers whether they want to use two-way communications or not. And the cost of two-way communication in the network has to be distributed between the network companies and the power customers, i.e. those who have the real benefits of this. However, it is also important to focus on safety and to impose strict requirements on fire safety in so-called remote control of electrical appliances. In this connection, I refer you to the press release of the Directorate for Social Security and Preparedness last week, which is also published in a number of national newspapers. With this, I take up the proposal of the Advance Party in the vote.
ParlaMint-NO_2003-12-08-2.ana.ud1416e263	The representative of Øyvind Vaksdal has taken up the proposal he referred to.
ParlaMint-NO_2003-12-08-2.ana.ud1416e266	The storm in the last few days has led to a power failure that has affected thousands of households. Even more days after the storm has passed, many in the East still have no electricity. Our society is totally dependent on permanent power supply, and decoupling over several days as a result of rigid to strong cooling is totally unacceptable. This has illustrated the need for increased investment in the network, necessary maintenance and preparedness. A report by the Directorate for Social Security and Preparedness dated 1 October 2003 states: ‘We have seen with concern that network operators are increasingly using less resources in these areas. The result could be more frequent outcomes of parts of the electricity supply.’» This situation, together with what we are discussing today in the first place: the importance of price balancing between the partly large geographical variations in network rentals, illustrates major weaknesses in the current regulatory regime, where population density, topography and climate, and the policy of the network companies towards different customer groups are crucial for the price the customer is paying in network rentals. There is reason to point out that the majority of the strategy on continued subsidies to the State budget has so far not resulted in network tariffs being approximated, as indicated in the notification. Moreover, such a scheme is not robust and will at all times depend on the desire of the majority of population to use sufficient funds for this purpose, which has so far not been the case. The SV therefore considers that a thorough investigation and debate on these issues is necessary in the context of the preparation of a new regulatory regime in 2007. SV has through Doc. No 8:66 for 2002-2003 proposed setting a low maximum level for the fixed level in the network tariff. A letter to the Committee on Energy and the Environment dated 17 November 2003 from the Landsförbund of A/L Norske Boligbyggelag points out that: «the network companies place the payment for lease on a fixed-term basis. The consequence of this is that a system is actually established in which the total price of grid rental and electricity is reduced by increased consumption.» The letter from NBBL illustrates the need for SV's proposals: ‘The government asks the Government to set a low upper limit for the fixed link in the electricity grid to stimulate power saving and improve social distribution.’ SV believes that it is right to have a two-tier network tariff, where the fixed to a large extent reflects fixed costs and the energy link reflects a great deal of variable costs. It is important that consumers transferring parts of the energy use to non-current energy carriers should achieve a notable savings in electricity billing. Furthermore, it is important to find schemes that do not result in very high electricity billing for those living in small apartments due to high fixed charges. It is therefore appropriate to provide for the most cost-effective distribution of fixed costs in the network lease. Consumers avoiding high power consumption during periods of very high network loads should be able to have a lower fixed point. On this basis, we agree with the Central Party to propose the following: ‘The Government is asking the Government to consider introducing a template for determining the fixed link in the network line related to the actual power demand of the individual subscriber.’ Finally, I would like to remind you that two-way communications in the mains network will facilitate progressive electricity pricing. In a letter to the Committee dated 3 February 2003, the Minister of Oil and Energy confirms that the large-scale efforts of the Landsforenings are not a test of progressive pricing, nor would it be an assessment of the potential socio-economic benefits of such pricing. Nor has such an assessment been carried out in St.meld. No 41, which we are now discussing. I therefore hope that the Council of State will note that there is a majority in the Committee that just refers to this link by referring to the examination of the revised national budget before the summer of 2003, where it states in the opinion of the Financial Committee: ‘The majority of the Committee, all except the members of the Right, Christian People’s Party and the Left, records that the Government has not followed up the Storting decision to propose models of differentiated electricity charging. The majority propose the creation of a new and wide-ranging selection of representatives of electricity suppliers, distributors, network operators, as well as representatives of consumer and environmental organisations. The majority also refers to the Workers' Party's proposal Document No. 8:139 on two-way communications that will allow consumers to influence their own electricity billing.’;» [[2001-2002]] The signal given is that two-way communication also necessarily has to be included in the work of the two-price committee, and we expect that this is something that is being followed up. Finally, I would like to address the suggestions that SV is behind in the setting.
ParlaMint-NO_2003-12-08-2.ana.ud1416e309	The representative, Mr. Ingvild Vaggen Malvik, has taken up the suggestions to which she referred.
ParlaMint-NO_2003-12-08-2.ana.ud1416e312	The setting of electricity prices and tariff rates for electricity transmission have had an extra strong focus in the last year. The low rainfall in winter 2002–2003 coincides with long-lasting severe cold in the whole of the Nordic region. Power prices rose to new levels, and more and more users became interested in how they collected the costs of the current bill and the various links in the transmission tariff tab. There are many entries in the processing of this message from both operators and users. Most people think that there should still be an energy link and a fixed link. The energy link should be established on the basis of the marginal loss by transporting power in the network and varying according to consumption. The terminal should initially reflect its costs with the expansion and operation of power supply to consumers. But for a number of reasons, there is room for flexibility in the distribution of costs between the energy and fixed link. The advantage of having a high fixation is, among other things. that the costs of renting on the network would be attributable even if the power consumption varied. The disadvantages of having a high fixed link are that it doesn't stimulate saving power, and besides, for customers with low consumption, renting will be significantly higher per. kWh than for customers with high power consumption. The advantage of putting the majority of grid lines at the energy level is that it provides support for saving power, or in another way: to use energy in an optimally environmentally sound and resilient way. A disadvantage will be that the prices of on-line rentals will vary with the power consumption and will be difficult to calculate. It is also important that tariffs for the distribution of electricity are designed in such a way that, to the extent possible, they provide for efficient use and development of the network. It's about making the cost image for renting webs so simple that most users understand it. It creates trust between the customer and the supplier. The Christian People's Party and the Government Party are concerned that the online companies' annual revenues and income frameworks are becoming more accurate than they are today, so that the costs of subscribers are as stable and predictable as possible. At the same time, network leases must be designed to enable consumers to have an environmentally sound and efficient energy consumption. The size of the grid today lays the main principle for the calculation of the combined grid lease with the energy link and the fixed link. At the same time, it's worth 40 million. kr as compensation for those who have the highest costs of renting on the Web. We look forward to the government's review of the regulation of rents, which will be presented in the revised 2004 budget. Then Stortinget will have a new opportunity to discuss online rents, after the government has shed light on the many facets that come out when online rents are on the agenda. We also get a first review of two-way communication in this case. EBL and NVE have a two-way communication cooperation project to be completed in the summer of 2004. The government does not want to set additional requirements for the development of two-way communications beyond the installation of hourly metering by consumers with consumption above 100000 kWh. A comprehensive committee sees the benefits of using two-way communication. However, the majority will wait to decide on the use of two-way communication for the evaluation of the test project.
ParlaMint-NO_2003-12-08-2.ana.ud1416e331	St.meld. No 41 is a response to a mission from the majority of the population in the context of the treatment of the budget for last year. The majority asked the Government to promote a case on different network pricing models that meant price dithering on network rentals, while being simple and robust towards change. It is easy to convey that message, but in practice it may be somewhat more difficult to find simple and good solutions. The message recommends the continuation of today's system of net tariff ad valorem subsidies, where the State budget deficit grants an amount to reduce the absolute highest net tariffs in the country. The Central Party fully agrees with this. The aim is to reduce transfer costs in locations in Norway where costs are very high due to topography, climate and industrial and residential conditions. The model is both control neutral and adjustment neutral. So it doesn't affect the company's arrangements, and it's not a matter of making tactical adjustments. The amount goes directly and, in particular, unabated to the network customers. This is really a rigorous and good arrangement. Calculations show that a budget of between 40 million. SEK 60 million and SEK 60 million per year will have a good socio-economic impact and will significantly offset the transmission costs of those parts of the country with the highest network lease. It is also interesting and important to note that calculations show that the network companies in which the network customers have received compensation are no less efficient than comparable network companies. The message emphasises that tariffs should be designed in such a way as to give as much indication as possible of effective use and development of the network. The energy axis of the grid line shall reflect the load on the network, i.e. the value of marginal grid losses resulting from a change in the amount of energy transferred. The fixed link shall cover the fixed costs. The centre party believes that it is appropriate to have a two-tier network tariff where the fixed link largely reflects fixed costs, and the energy link largely reflects variable costs. It is important to stress that consumers who convert parts of the energy use into non-current energy carriers should achieve a noticeable savings in electricity billing. It must be important to find schemes that do not result in high levels of billing for those living in small apartments and using low currents because of the high level of the network tariff. It has to be, for example: the difference between a ski centre, which for periods has high power consumption peaks, and a family, which may only use power to light and load the grid slightly. The centre party, together with the SV, therefore makes a proposal that a maximum cost-effective distribution of the fixed link in the network lease should be envisaged. It is precisely that consumers who avoid high power consumption during periods of very high network loads should be able to have a lower fixed point. Then I would like to refer to Document No. 8:66 for 2002-2003, by SV. I may have a sense of the SV's proposal that the network link should have a low upper limit. But I think it's getting too unstable. It will also mean that the energy link has to cover more of the grid. For example, this year we have. See, when people save electricity, this has led many companies to increase the energy link in the grid. It's very unfortunate for the consumer. Power consumption is falling, but the bill is increasing because network leases are increasing. The fixed link should reflect how much one actually loads the network. In the case of two-way communication, the Centre Party considers that everyone should be given the opportunity to use it. In the first place, it is most urgent to get started with the largest customers. Two-way communication is a good tool for several purposes, both to see the load on the network and to have the ability to save electricity. The centre party is behind the majority, which wants to review the NVE legislation to make the revenue framework of the network companies more accurate and streamlined.
ParlaMint-NO_2003-12-08-2.ana.ud1416e352	Today's papers cover two themes: network rental balancing and two-way communication funding models. The notification shall also address Document No: 8:66 for 2002-2003, where it is proposed to set a low maximum level for the fixed link in the network lease. This approach shows that the focus of the Committee has also been on network rental issues other than those addressed in the Communication. I am pleased that the majority of the Committee supports the Government's view of the main principles of tariff design. Tariffs shall be designed in such a way as to signal to the greatest extent possible the efficient use and development of the network. Several of the posts have been embossed, and I am pleased that there seems to be a broad uproar. This is also in line with the main principles of the Energy Act and related regulations. Furthermore, emphasis should be placed on the simplicity, comprehensible and transparent of the system. In general, no attempt should be made to achieve more than one objective by a single instrument. Furthermore, the view of the majority implies that the proposal to set a low maximum limit on the fixed link has not been accepted. Next year, 40 million will be used. kr over the budget of the network lease balancing mechanism. This amount was doubled as a result of the negotiations with the Labour Party in the budget agreement. I think that gives a good distribution. The increase will contribute to the inclusion of more consumers in the scheme and to an increase in the number of those currently receiving it. The decision today I also take as a signal that the Storting is positive to the way this scheme works. I think it is very understandable that many people react to the increase in network rentals of certain network companies in the last year, especially in relation to the high power prices we experienced in the last winter. I also do not think the time for the increase of the network rental is particularly well chosen by many network companies. At the same time, I understand that the network companies want to take over the revenues to which the regulation provides access, which are also necessary to maintain good quality in the network. This results, among other things, in: a better basis for implementing the necessary network investments over the years to come, thereby ensuring proper operation. However, I expect the network companies and owners to have an overall perspective, for example: to create confidence in customers when they define their network lease strategy. I assume that this situation has been the basis for the Committee now asking the Government to carry out a review of the NVE legislation in this area in the context of the revised budget for 2004. Of course, the government will do that, and I also understand that the Storting wants to discuss this a little bit more closely. I fully agree that it must be a priority task to seek the most stable price evolution over time, while giving the best possible signals of energy efficiency, as several speakers have said today. The last theme of the message was two-way communication. The notification should not include a full assessment of two-way communication, but an assessment of different models of funding for a voluntary two-way communication mechanism. There is no disagreement that two-way communication has a future in Norway. I have not chosen to take a final position until projects on this end next year. We have to recognise that there is still uncertainty about this, and we need to avoid any claims and leads from the authorities being exposed to misinvestment. But I would like to stress that my attitude towards this technology is very positive, and it is also undoubtedly a technology that comes. Otherwise, I point out that two-way communication is also the subject of the big message about security of supply for electricity that the government intends to provide just before Christmas.
ParlaMint-NO_2003-12-08-2.ana.ud1416e370	It's going to be line change.
ParlaMint-NO_2003-12-08-2.ana.ud1416e373	The NVE has today been out criticising some network companies because of what happened during the storm a few days ago, that the flow has not returned to the house and customers within an acceptable time. I assume that the Council of State is going to follow up the NVE's criticism and thus ensure that in the future we can avoid such long periods where people are out of power. I want to link a comment to what the Council of State said about changing the web lease quickly. The Council of State said knowingly that he had confidence that the network companies would take care of this. Well, that's why the committee said it in the vote, that they haven't done it this year. I hope the Council of State can answer that a little bit.
ParlaMint-NO_2003-12-08-2.ana.ud1416e380	On the first question, about the network that is down to a lot of customers, and that it has taken a long time to fix it again, I have a great understanding of the difficult situation it creates. At the same time, it is important to characterise this as a very special situation. The quality of the Norwegian network is quite good, at least if we compare ourselves with many countries. But it's clear that we have to look at the reason why it takes so long. I want to show that it was more than rigid to strong spherical, as was said in an article here. This was an extraordinary situation, with extensive damage. I have noticed that both the NVE and the Consumer Council have engaged in the matter. I'm glad. I will promise to follow up on the NVE as well. Let me say that I said in my post that I understood customers who get frustrated when the network lease increases when the power price is high. But I did not say that I trusted that the network companies would sort things out. I said, ‘I expect, however, that the network companies and the owners have an overall perspective’, and that they have a more sensible phase-in of price increases than they have shown in winter.
ParlaMint-NO_2003-12-08-2.ana.ud1416e387	As is known, the NVE is required to approve the income framework of the network companies on the basis of certain criteria. Some broadcasters already feel that these rules are very strict, while others experience the rules as absolute to live with – to say the least. I would therefore like to ask the Council of State whether he is satisfied with today's legislation regarding the NVE's approval, or whether he would like to make this more accurate to the network companies, as they experience it so differently. Then I registered that the Council of State now saw it as clearly unfortunate that the electricity customers felt it was a punishment for the network to increase when they have just responded to the demand to save electricity. What will the Council of State actually do to counteract this negative development?
ParlaMint-NO_2003-12-08-2.ana.ud1416e396	I'm dealing with what is now a wish from an overall committee, namely to review the tariff system in order to make it more accurate. I'm sure that's what we can do. I think it is good that Stortinget asks for this. I'll be happy to come back to that. It is a monopoly situation to manage the network in this country. It's probably for the best for the customer, but getting it accurate enough and also fair in relation to population density, district, scattered settlement, geography and topography is not easy. I will present Stortinget with the criteria on which the network costs are based. So I hope that it will be clarifying. Perhaps it is also possible to make adjustments that can improve the reliability of the results. When it comes to being punished because of power savings, I point out that some of the distribution effects that have been introduced at the energy level will give rise to an impact that may be difficult to explain, but the Storting has today largely joined the system that is established.
