ParlaMint-NO_2003-03-26.ana.ud1942e28	The representative of Olav Gunnar Ballo will make a private proposal.
ParlaMint-NO_2003-03-26.ana.ud1942e111	Let me first express my satisfaction at the fact that the Workers' Party supports the Government's line of conflict in Iraq. It is, as is also known, the Government's position that we cannot and will not support this war, it does not have the authority of a new Security Council decision. The debate in the Stortinge last week showed that it has broad support for the Government. I agree with the representative of Stoltenberg that now that the war has broken out anyway, it is important that we do what we can to help alleviate pain and distress, reach with humanitarian aid. I have just been informed before the spontaneous Question Time that the United States is bringing in some assistance to the city of Iraq that currently seems to have the biggest problems. Norway, for its part, is also committed to increasing its humanitarian aid. We've already done 160 million. kr. We are now in dialogue with the UN, UN Special Organisations and non-governmental organisations to find out how we can best and most effectively contribute. We are also aiming to respond positively to requests to participate in a build-up in Iraq after the end of the war, and we hope to do so as soon as possible. We place the crucial emphasis on the UN being given the coordination responsibility for the overall international aid effort. Let me also end by saying that I agree with the representative of Stoltenberg that a solution to the Israeli-Palestinian conflict is important for the whole region. It is gratifying that a Palestinian Prime Minister has now been appointed. It is important that we have a reform-friendly and powerful Palestinian government. This is a prerequisite for progress in the peace process.
ParlaMint-NO_2003-03-26.ana.ud1942e120	It is true that the Workers' Party has supported the Government on the issue that the Iraq conflict should be dealt with in the UN, that it was wrong to go to war, and that the weapons inspectors should have had a longer period of time. We have done so because we believe so, but also because we believe that it is an advantage that Norway has broad support for our position in the United Kingdom in such an important and demanding international situation as the Iraq conflict is. But it is also important that the government helps to speak with one voice and avoid creating misunderstandings and the impression that there are different attitudes. We contribute from the United Kingdom to Norway acting with one voice, but unfortunately, there has sometimes been uncertainty about what is actually the Government’s position, because there have been formulations and arguments that have contributed to creating misunderstandings. My question to the Prime Minister is whether he is satisfied with the Government's overall presentation of the Government's Iraq policy, or whether he realizes that some of the formulations and statements that have come have contributed to creating misunderstanding and uncertainty.
ParlaMint-NO_2003-03-26.ana.ud1942e127	The answer is yes. I'm pleased with the government's overall presentation of a clear position, which the entire government is behind. There's no doubt about it. What has been a discussion about, both public and public, are the aspects of international law. We are based on the international law expertise we have in the Ministry of Foreign Affairs, which ends up with the absence of a clear basis of international law for this warfare. Others claim something else. There may also be arguments for this, but for us this is much more political than a legal conclusion, namely that we do not want to be part of and support a war that is not the basis of a new Security Council decision. The government's position is clear. It has also been presented to our allies, and they are by no means in doubt about Norway's position on this war.
ParlaMint-NO_2003-03-26.ana.ud1942e134	There will be follow-up questions – Carl I. Hagen.
ParlaMint-NO_2003-03-26.ana.ud1942e137	It is known that the Progress Party had wanted Norway to be together with the Nordic NATO countries Iceland and Denmark, as well as the United States, the United Kingdom, Italy, Spain and a number of other countries, but notes that the Norwegian Government has chosen something different, as has also been stated by the former parliamentary leader of Right Anders Talleraas, and today in the evening post former defence spokesman of Right Ingvald Godal. But I'm going to leave it now and ask a follow-up question about humanitarian aid. The Progress Party fully shares its views and wishes to strengthen humanitarian aid. We are aware that in the case of increased appropriations at home, the Prime Minister answers that it should be covered with reductions in other areas. Can the Prime Minister promise that the requested and necessary increased appropriations for humanitarian aid to rebuild and help the civilian population will be added and will not go beyond the necessary tasks at home, that they will not fall under the rules of action and the current framework?
ParlaMint-NO_2003-03-26.ana.ud1942e144	First, I register again with interest that Carl I. Hagen is most concerned about which countries we are with in the view of the Iraq conflict. The government is much more concerned with taking its own position, taking the position that's right. There are several NATO countries that have the same attitude as Norway. Then to the humanitarian aid. We consider an increase in assistance and have not said that it must necessarily go beyond other purposes, either internationally or nationally. We have examples from earlier also where there has been an acute humanitarian situation due to wars and conflicts, where one has been willing to disregard the usual containment rules. This has not been the final decision of the Government. What we have already done, we have done through redisposals, but there may be a need for increased assistance beyond this. I would be pleased if the Progress Party now believes that this should not go beyond aid in Africa, for example, where the Progress Party has previously cut the aid budget.
ParlaMint-NO_2003-03-26.ana.ud1942e152	Kristin Halvorsen – for follow-up questions.
ParlaMint-NO_2003-03-26.ana.ud1942e155	I have noticed that Minister of Foreign Affairs Jan Petersen has been out and expressed that the UN is clearly weakened after the situation that arose when the Security Council could not approve the war that the United States wanted them to approve. Other views have been opposed, namely that the United Nations and the Security Council would really be weakened if it were such that the Security Council felt pressured to approve a war in which the Security Council's view was that all other possibilities were not tested to prevent war, and that war was chosen before it was considered the last resort. I would like to know whether the Prime Minister agrees with the Secretary of State that the UN is weakened.
ParlaMint-NO_2003-03-26.ana.ud1942e160	There is no doubt that there is a temporary setback for the UN that some countries go to war without a warrant in a new Security Council decision. That should not have happened, and that is also a reason why Norway has opposed this war. It is the UN which, according to the UN Charter, is required to assess threats to peace and security. So the Security Council did not adopt a military action, and we agreed, because the Security Council should have given the weapons inspectors more time and gone further on the road to peace. But despite the fact that no such decision was taken, some countries go to war. It is clear that it is a setback for the United Nations that these countries have done so. But we hope it's a temporary setback. The UN has had it in the past, but they've gotten up and become stronger, and we're going to contribute everything we can to it. I also agree with what was behind Mr. Halvorsen's question, that if the Security Council had been pressured and obviously made a decision that was not a real will in the Security Council, there would also be a weakening of the UN.
ParlaMint-NO_2003-03-26.ana.ud1942e167	Haakon Blankenburg – for follow-up questions.
ParlaMint-NO_2003-03-26.ana.ud1942e170	Jens Stoltenberg said that the Workers' Party supports the line presented by the Government, and we have previously said that we are satisfied with the clear line presented by the Government in Stortinget. But we've also said that we're recommending the government to speak only in the Storting, because that gives the greatest clarity. I'm not sure if there's much clarity when it's suggested from representatives of the government that the Swedish Prime Minister has moved into the agrarian and is on some level somewhere. That doesn't give the strongest impression that we have a line where we're busy with Iraq. Jens Stoltenberg called another point, simply the Middle East. Jack Straw now says, before Blair moves to the United States, that the West has a responsibility for a double morality, yes, for hypocrisy and a double standard, because we are pushing forward the implementation of UN resolutions in Iraq, but not doing the same in the Palestine-Israel question. Is the Prime Minister in agreement with this, and what will the Government do in concrete terms to launch an initiative now to resolve the Palestine-Israel question?
ParlaMint-NO_2003-03-26.ana.ud1942e177	The President would point out that there is not necessarily anything negative in relation to the primary industries.
ParlaMint-NO_2003-03-26.ana.ud1942e180	No, especially for a Foreign Minister from Kolbotn. There's a lot of agriculture in Oppegard, and a little hobby fishing. Otherwise it is well to go a little far, if I understood the representative Blankenborg right, that the government should only speak out in Stortinget. There is a public debate every day, not to say every hour, and the government and government representatives must of course participate in it. But then to the main question – the Middle East. The government is committed to actively contributing to the relaunch of the peace process. As mentioned above, an important prerequisite is put in place by the appointment of a Palestinian Prime Minister, known as Abu Mazen. We stress that his position should involve a real authority. We believe that it may mean that peacemaking is intensified. President Bush expressed it, also to me in his telephone conversation. We support the work of the so-called Quartet – i.e. the EU, Russia, the United States and the United Nations – and their so-called Roadmaps, which must now be presented to the parties as the way towards a peaceful solution, with vision of two states.
ParlaMint-NO_2003-03-26.ana.ud1942e189	Åslauga Haga – for follow-up questions.
ParlaMint-NO_2003-03-26.ana.ud1942e192	The verbal exercises of the Foreign Minister in recent days actually give the impression that we have a foreign minister who is not quite comfortable with the Government's no to war in Iraq. It seems that the Minister of Foreign Affairs needs to brag a little bit both to the Americans and to the British. This gives some cause for concern regarding Norwegian assistance in the future. Therefore, I would like to ask the Prime Minister whether he can assure the United Kingdom that Norwegian aid to Iraq related to humanitarian needs will only be channelled through the UN or voluntary organisations, and whether he can also assure the United Kingdom that the aid will not have any military or civil-military elements that could be understood as support for American-led activities in Iraq, during or after the war.
ParlaMint-NO_2003-03-26.ana.ud1942e197	I repeat that the Government's policy on Iraq is unanimous and in agreement, and there is no doubt about it. As far as aid is concerned, we have said and believe that the UN must have the primary responsibility for coordinating humanitarian aid. We're going to make funds available through the United Nations apparatus, partly through voluntary Norwegian organisations. The UN Secretary-General, Kofi Annan, has recently stated that the United States has a great responsibility for aid to Iraq, since the United States is leading the war operations against the country. We agree with that. It must be essential that assistance reaches those who are suffering now, and then we must assess all channels that can be effective. With regard to the construction phase after the end of the war, the government has not yet taken a position on which components might be relevant to us here. We have received enquiries about this. We will decide on them in the near future. This is a different phase from the aid to alleviate the suffering that is now caused by the war.
ParlaMint-NO_2003-03-26.ana.ud1942e208	We're going to go to the next main question.
ParlaMint-NO_2003-03-26.ana.ud1942e212	I would like to ask the Prime Minister a question. Firstly, I would like to express my satisfaction with the position taken by Norway, which the Prime Minister did well in Stortinget on Thursday last week. It's important to know, because it's not obvious that Christian-democratic or conservative parties end up at that conclusion, that this is a war you can't support. The Danish Government has reached the opposite conclusion, and similar sister parties in Sweden also disagree with the conclusion reached by the Norwegian Christian People's Party and the Norwegian Conservative Party. I am pleased that the Government has, to a large extent in dialogue with the people most and the Church, taken the position it has taken. What's very strange is the excitation of the Minister of Foreign Affairs at the time after the Prime Minister's statement, because his reaction was much stronger than that of the Prime Minister of Sweden, Persson, who shares the Norwegian conclusion that this is a war that has no support in international law. [[President clubs]] This gives a completely different impression of Norway’s attitude. [[The President clubs again.]] In addition, it was thought that this was such a strong outburst that it could not be on TV. [[The President clubs again.]] Does Bondevik agree more with Petersen than with Persson?
ParlaMint-NO_2003-03-26.ana.ud1942e221	The President must recall that the question is to be asked within the regulated speaking time.
ParlaMint-NO_2003-03-26.ana.ud1942e224	Now, I guess Kristin Halvorsen is back to statements about the international discussion. There, as Prime Minister and politician, I have the clear view that I will not put political leadership on the legal points. It would be totally wrong if, as a politician, I went through the Minister for Foreign Affairs and said that the Department of Justice of the Ministry of Foreign Affairs must come up with that or that conclusion. The assessments of the Legal Service at this point are publicly known. They are located on the Ministry of Foreign Affairs' website and can be studied in detail. I presented the main summary of it. This conclusion is more nuanced than the Swedish Prime Minister’s opinion on the issue of international law. We simply note that there may be different international judgments. We are based on the expertise of our own Ministry of Foreign Affairs. What is said, in short, in the conclusion, is that Iraq, with its lack of cooperation, has suffered serious consequences. But it is also said that there is no clear basis for international law, primarily due to procedural considerations, that there must be a process in which the Security Council gives a clear view of the possible use of military power. The Security Council has not. That's why there's no clear ground for international law. That's the conclusion of our Ministry of Foreign Affairs. I'll take note of that. But to me, this is much more a political question. Politically, I will not support a war, because I believe one should go further on the road to peace, and the Security Council has not authorized the use of power. That's why this legal discussion is interesting enough in itself, but it's not important to me. And at least it's not what matters to the people who are suffering in Iraq now – those who are now suffering from bombing and sitting in shelter, who are wounded, and who are killed – yes, to them this legal discussion, I think, is quite uninteresting. Now the question is, what do we do? What do we do to help people in distress and relieve pain? That's what the government is now busy about.
ParlaMint-NO_2003-03-26.ana.ud1942e233	I thank the Prime Minister for the answer. In this context, it was not primarily the legal understanding or political understanding of international law that was my point, but the need we have for Norway to speak with one clear voice. The point is that what really raises the Minister of Foreign Affairs is Sweden’s Prime Minister, who agrees with Norway in the conclusion, although there must be some points of reference, and not those that are contrary to Norway’s position and conclusion. On the contrary, he has seen it as his task now to be very understanding to them. And then Norway comes out with a vague attitude in the international debate. For example, the Minister for Foreign Affairs could: had not provided the answer given to me by the Prime Minister now, at least he has not formulated himself in a similar way in the Stortinget earlier. That is why I have only one appeal to the Prime Minister: we fully agree with the conclusion that the Government has taken, this is a war we cannot support. But can the Prime Minister please make sure that Norway's voice is clear and clear in the international debate: that this is a war without legitimacy and that the atrocities of war could have been avoided?
ParlaMint-NO_2003-03-26.ana.ud1942e242	It is not necessary to ensure that Norway's voice is clear and unambiguous in the international debate on support or not support for this war. It has also been said repeatedly by the Minister for Foreign Affairs, nationally and internationally. The statement by the Minister of Foreign Affairs to which Kristin Halvorsen is now referring was addressed in the debate on international law and Göran Persson's opinion on international law. So there's different opinions. It is possible that the Swedish Ministry of Foreign Affairs then has a conclusion that this is contrary to international law, and that Persson is based on it. We have a statement from the Ministry of Foreign Affairs, which Kristin Halvorsen knows, and which I have just referred to. But for us, this is primarily a political question. That is why we are against this war. We can't support it. It is not the subject of a new decision by the Security Council. It has also been said repeatedly by the Minister for Foreign Affairs, nationally and internationally. We speak with one voice. It's ready.
ParlaMint-NO_2003-03-26.ana.ud1942e249	There will be follow-up questions – Jens Stoltenberg.
ParlaMint-NO_2003-03-26.ana.ud1942e252	Firstly, it is gratifying that there is very broad support for what is Norway’s position as formulated in the Stortinget and in a number of other contexts. But what we are now discussing is strictly not the matter itself. What we are discussing is whether the Government is in a good way able to formulate and present the position Norway has. There is a situation where for a small country like Norway it is important that there is a broad consensus on security policy, and it is important that we speak with one clear voice. And then it's a problem that there's uncertainty about the Prime Minister and the Foreign Minister actually have the same opinions, that they're expressing themselves differently, not only in relation to how you react to having attitudes to international law, but also, for example, to what you're saying. in relation to whether one primarily regrets that the Security Council did not agree, or whether one actually regrets and opposes the war. This is not something that is designed in this Chamber, but uncertainty has arisen in the public debate. And then there is full support for the position the Government has presented in the Storting, but it is important that the Prime Minister helps to avoid future uncertainties about what is actually the attitude of the entire Government.
ParlaMint-NO_2003-03-26.ana.ud1942e261	In fact, I believe that someone is now in the process of constructing an inconsistency or uncertainty that is not present. When I use the statements in relation to Sweden's prime minister as a starting point, it was actually a discussion of international law, and nothing else. And there's different perceptions. We are based on the U.D.'s opinion, and I explained that in Stortinget. Nor is it a problem that the Foreign Minister regrets that the Security Council did not agree on a resolution. As I have said before, and as I would like to repeat now: I believe that the only possibility we had for a peaceful outcome on this was whether the Security Council had managed to get together to give the weapons inspectors more time, and to give them a work programme with clear, achievable deadlines. This would have been the opportunity for a peaceful outcome to this conflict. But it didn't work out for the Security Council. It was split, so we got a war – which we don't support.
ParlaMint-NO_2003-03-26.ana.ud1942e268	Carl I. Hagen – for follow-up questions.
ParlaMint-NO_2003-03-26.ana.ud1942e271	I am pleased that the Prime Minister stresses that this is a political issue, and that he no longer leads international law in front of him, but only refers to the conclusion in the U.D. Justice Department. The Prime Minister will not be placed in any booths; the policy content is crucial. But we have a saying that might sound like this: Tell your friends, and I'll tell you who you are. We have therefore turned our backs on the United States, the United Kingdom, Iceland, Denmark, Italy, Portugal, the Netherlands, Poland and a wide range of other countries, and are united with Germany, Sweden and France – especially after France blocked a solution in the UN Security Council. In a way, it might seem that we are now going to trust that it is Germany, Sweden and France that are going to secure us if we get a vulnerable situation in the future. And the experience with those countries isn't very good, so to speak, historically. Does the Prime Minister feel comfortable with what grouping he has turned his back on, and the grouping with which the Government now stands – i.e. Germany, Russia, France and Sweden?
ParlaMint-NO_2003-03-26.ana.ud1942e282	The representative could well add a good number of European countries that agree with the Government’s position. It's not just these he now mentioned. The list is as long as he mentioned above those who support a war without a Security Council decision. But I have to go back to the fact that there is a remarkable angle of approach by the representative Hagen. Here it is not the case and its realities that are crucial, but the countries that group here and there. Hagen is also concerned that we should break a tradition of emphasising the UN and its Security Council, which, according to the UN Charter, is responsible for assessing threats to peace and security. That means Hagen we're going to ignore. The Security Council has not taken a decision on military use of power. Still, Hagen supports it. Then I also have to say that it's a strange notion of what friendship is for something. Friendship does not require agreement on all questions. My best friends are the ones who dare to tell me if they disagree with me, and give me corrections. And that kind of friendship actually also expressed President Bush in his phone conversation with me. He was quite clear that friends and allies can have different opinions. He said directly, "Among friends there can be disagreements." So in this case is Mr. The garden more Catholic than the pope himself. I don't know if Hagen or Bush likes the comparison, but that's the reality.
ParlaMint-NO_2003-03-26.ana.ud1942e292	To cut off any misunderstanding: I assume that the pope did not also participate in the telephone conversation.
ParlaMint-NO_2003-03-26.ana.ud1942e295	It would not have been quite unnatural if he were in, for he has pronounced himself clear against the war.
ParlaMint-NO_2003-03-26.ana.ud1942e300	Probably not on the same line. Bjørn Jacobsen – for follow-up questions.
ParlaMint-NO_2003-03-26.ana.ud1942e305	We all know that the most difficult thing to win is peace. And we see that several articles are threatened. We know that Article 4 of the NATO Pact is under threat. We know that Article 7 of the UN Charter, that of self-defense, etc., is under threat. All the time we see that it's all gone and gone. In the area by area, it's important to get our ally, the United States, back into the fold. What is the Government and the Prime Minister's strategy for closing this process?
ParlaMint-NO_2003-03-26.ana.ud1942e310	I don't know if I want to call the situation with the United States "into the fold again." What is important for Norway when the war is over, and we hope it can happen as soon as possible, is point 1: reconstruction of Iraq. Of course, the United States and the United Kingdom, which have led the war, have an important responsibility, but the United Nations should coordinate it. Norway should be willing to contribute. And then we can talk about – to refer back to Mr Haga’s question – more than direct humanitarian aid in a build-up phase of Iraq. Point 2: We have to get the Middle East process back on track. The United States is absolutely crucial. Whether we like it or not, it is those who have many of the powers needed to bring the parties to the negotiating table. Point 3, and not least: It is important once again to strengthen the United Nations and its role after the temporary setback we have now received. There's also the United States of America. Not all political forces in the United States have always been equally strong in their support of the United Nations. We want to do what we can to get it into place.
ParlaMint-NO_2003-03-26.ana.ud1942e315	Åslaug Haga – last follow-up question.
ParlaMint-NO_2003-03-26.ana.ud1942e318	It is with some concern that I note that the Prime Minister is not very clear on which channels to use in terms of aid and that he is also not very clear on the fact that the aid in the current phase should not contain military or civil-military components. My question is about refugees. Of course, we will have – and have already seen that it will – large refugee flows. The pressure on neighbouring countries will be great. We have experience with similar situations, and we know that we can well get up in a situation where the UN High Commissioner for Refugees asks that refugees be taken out, sail if all seafaringly believe that as many as possible should be helped in the neighbourhood. We saw similar examples from Kosovo, where we were asked to take refugees. That situation may well arise. I am amazed that the Government has not prepared for the reception of refugees. My question to the Prime Minister is whether he still intends not to make preparations in relation to the reception of refugees.
ParlaMint-NO_2003-03-26.ana.ud1942e325	It's done. Let me first say, when it comes to being very clear: we are very clear that the United Nations should be responsible for coordination. As far as possible, the UN and Norwegian non-governmental organisations will be involved, but assistance will have to be provided. We are also very clear that we do not want to be part of any contribution, either in the humanitarian or construction phase, which should give the misunderstood view that we have supported the war. Let's be clear. When we come to a construction phase, Haga's representative knows very well that there is more than direct humanitarian aid involved when a country is to be rebuilt after bombing and war. As far as refugee issues are concerned, no major refugee flows out of Iraq have yet been recorded, but it may occur. Norway is in constant contact with the UN. The UN emergency response plan is based on the assistance of refugees in the region. So it is the United Nations that says – and I assume that Haga’s representative places emphasis on it – that is why Norway will also pay attention to it. We are so far away from Iraq that a strong and immediate increase in the influx to Norway is not expected. The construction of refugee camps in the region is now under way. The UN High Commissioner is planning a number of 600 000 refugees from Iraq. There could be more. It could be smaller. However, in an emergency situation, the foreign administration in Norway has contingency plans ready for us to accept as well.
ParlaMint-NO_2003-03-26.ana.ud1942e334	Let's go to the next main question.
ParlaMint-NO_2003-03-26.ana.ud1942e337	I would like to ask the Prime Minister further about part of the same matter. I have noticed that he himself has not taken the opportunity to mention other European countries that share his views, except France, Germany and Sweden. That's all right. I can also mention that Vaclav Havel, former president of the Czech Republic, and peace prize winner Elie Wiesel, according to my information, supports the United States and the United Kingdom in implementing Resolution 1441. In fact, the UN Security Council has given authorisation to use armed force against Iraq to force Iraq to follow up the resolutions adopted. I fully respect the Prime Minister's view that friends should be able to disagree and give different advice to each other. But when you've given advice to a friend, and the friend doesn't follow that advice, but nevertheless starts a fight, it's an important question: Do you want your friend to win, or do you want him to win? My question is: does Prime Minister Bondevik want the United States, the United Kingdom and the other countries in the coalition to win the ongoing war that I know he is against, and that Saddam Hussein will lose, or does he want the opposite?
ParlaMint-NO_2003-03-26.ana.ud1942e346	Since Hagen is still so busy with these countries that have positioned themselves here or there, I can mention that for example. close allies such as Belgium and Canada are on Norway's line. And it's very interesting that Canada is the one that's politically and geographically close to the United States. So we're not in any bad company at all, as Hagen tries to give the impression. Let me also say that we didn't just give advice to the United States to give the weapons inspectors more time. President Bush was quite clear in the phone call that he understood, it came from what he said, that if the United States were going to go to war – and we were fully aware that it was most likely – Norway would not support it afterwards either. We will express our opposition, and we will of course not participate in the military either. When it comes to the outcome of the war that unfortunately started, I get the answer – and many people can notice it, doubting it – just like the Foreign Minister, that it would be madness to hope that Saddam Hussein would win this war. That must be the answer, and that is a clear answer. What I'm now more concerned about is how we're going to win the peace. One thing is to win the war. There, I think, the outcome is relatively clear, with the forces that the United Kingdom and the United States have in the area. But I'm more concerned with how we win the peace afterwards. It can be hard. What will happen in Iraq? Who shall govern after any transitional board? What will happen in the region, when the Arab League now pronounces itself on this war as it does? What will this have to do with the whole region? Would that mean a setback in the efforts to resolve the Israeli-Palestinian conflict? And how much do we have left to build up inside Iraq? This could be the negative outcome of this war, which has also affected my position.
ParlaMint-NO_2003-03-26.ana.ud1942e358	I am pleased that the Prime Minister clearly states, as I interpret it at least, that he hopes and wants and believes that the best thing will be for the coalition forces to win the war and remove Saddam Hussein and his regime. I understand that he does not support the fact that war will happen, but that he hopes and wants the United States and the United Kingdom to win the war. At least that's comforting. Now the Prime Minister has invoked a phone call many times. Perhaps for the future, he could consider that such telephone calls take the form of stenographic records, so that we are able to do our own interpretation and assessment of the conversation, based on real knowledge of the content, rather than a one-sided production. It's also true that it's not just the president of the United States who rules. There's a lot of business relations and a lot of connections between the North and the Americans, and there's a lot of people who noticed what happened. Can the Prime Minister confirm that he also wants to work towards a democratic, long-term solution in Iraq?
ParlaMint-NO_2003-03-26.ana.ud1942e367	It is clear that Norway is working to have democratic regimes both in Iraq and in all other countries that do not. But – and here I think the representative Hagen has been unclear in the public debate – removing a regime is not enough war cause. It is not in line with the UN Pact to go to war to remove an unwanted regime. Then the world community can get it busy in warfare. There are many undemocratic regimes around the world, but that's not enough reason for you to start warring against these countries. It must be very clear. With regard to minutes from talks with presidents and prime ministers, I have no intention of breaking a long, incorporated practice, which I believe is also international practice. There is no one, at least as I know, who conducts stenographic records of telephone calls with Heads of State or Government. But I am absolutely sure that I have not given any misleading report of our phone call, as the representative Hagen pointed out. But that trust is to have in such phone calls, that you don't have to start taking stenographic records.
ParlaMint-NO_2003-03-26.ana.ud1942e374	There will be follow-up questions – Morten Højlund.
ParlaMint-NO_2003-03-26.ana.ud1942e377	The situation surrounding the war in Iraq has led to the division of NATO. Some NATO countries have chosen not to support the coalition partners. This gives cause for concern for the future. NATO is the basis of our security. What steps can Norway take here to bring the parties back together and build bridges between allies? Will the Prime Minister confirm that our opposition to the war does not entail any change in our policy on training and the like with American forces in Norway or elsewhere, so that our relations with the United States and the United Kingdom in all areas remain unchanged?
ParlaMint-NO_2003-03-26.ana.ud1942e382	Yes, in my opinion, there is nothing in the different views of the Iraq conflict that would indicate any change in either exercises in Norway with allied forces or in other relations within NATO. I fully agree with what was under the responsibility of the representative, Mr Höglund, namely the importance of NATO being as united as possible. Norway is particularly dependent on the transatlantic interconnections, and they place great emphasis on this government to be as strong as possible. Now NATO managed to overcome the disagreement that was in the alliance on the specific issue it was dealt with, namely the planning of defensive preparedness measures for Turkey. In fact, Norway played an active role in creating a solution, and a consensus was reached. I think it would be wise for NATO, both at the level of the Brussels Council and at the level of the Heads of State or Government, to discuss the experience of the Iraq conflict with a view to strengthening cohesion in the alliance – on which Norway is so dependent.
ParlaMint-NO_2003-03-26.ana.ud1942e389	Let's move on to the next main question.
ParlaMint-NO_2003-03-26.ana.ud1942e392	The war in Iraq affects us all, and it is natural that it gets a big place in today's Question Time. However, I intend to touch on some other topic, and have a question to ask the Prime Minister about it. Denmark has not long been informed by the European Court of Justice of exemptions from the so-called food make-up directives, which deal with a number of harmful additives in our food. The Courts have held that Denmark has the necessary technical evidence that higher quantities of these additives are harmful to health. In Norway, the majority of the United Kingdom has chosen to accept EU directives on these issues. It has been chosen in spite of all the professional objections. Many will now feel that the development of the European Union's own legal system gives us the opportunity to ask for exemptions, and that there is an opportunity that we cannot let go of. In what way will the Government now bring the matter before the EFTA bodies in order to request the necessary exceptions?
ParlaMint-NO_2003-03-26.ana.ud1942e401	It is true that on 20 March the European Court of Justice delivered a judgment in this case. Denmark had filed a case on exceptions for the addition of nitrite and nitrate, and the Court gave Denmark support. From the Norwegian side – since this judgment is then completely fresh – we have started a review of the judgment and look at the possibilities that Norway as an EEA country had to be given. Therefore, in so far as the arguments put forward by Denmark are similar to those put forward by the Norwegian side, we will be able to consider asking for a corresponding derogation from the Directive, as incorporated into the EEA Agreement. The judgment is in principle, because the Court of Justice of the European Union states that the much-mentioned environmental guarantee in the EU Treaty can be used by a single EU country to maintain stricter environmental and group values than those otherwise recognised in the EU. And that's interesting. The judgment should certainly be studied. It would be interesting to follow in particular the importance of the judgment for EU legislation. So now, to answer the question, we have started work on this, initially nationally, and if we find that the judgment is relevant to Norway, we will of course go further and will be able to address it in the EFTA bodies and later with the EU. But it will, as always in such cases, be an advantage if EFTA is coordinated on these issues.
ParlaMint-NO_2003-03-26.ana.ud1942e410	I thank you for your answer. The background to Denmark's exemption, as far as I can see from Danish newspapers, is the technical evidence that nitrate and nitrite are actually carcinogenic. Norway and Norwegian experts have provided exactly the same technical documentation to the Norwegian political environment for both nitrate and nitrite, but also for allergenic dyes, especially in children. This has been one of the reasons why, among other things, The centre party has strongly warned against adopting these Directives. So now we're facing an opportunity to do something about it. I understand that the government intends to assess it. Then I would like to ask about the so-called Babysitting Directive, which was adopted last autumn, if one could also ask for a derogation here. For technical reasons, it has been demonstrated that a number of additives are either harmful to health or allergenic, especially in the Norwegian infant diet.
ParlaMint-NO_2003-03-26.ana.ud1942e419	With regard to these directives, it was – and it is right that the representative Arnstad said – that there were different views in Stortinget when they were approved. And as far as I remember, my own party was also against a couple of them. In the case of the Baby Food Directive, which was approved last year, the Government, at the same time as proposing the inclusion of it in Norwegian legislation, promoted proposals for several remedial measures, which mean that the danger in this case is not so great. But it is clear that we can now also see whether there are parallels with the Child Food Directive to what has happened in the Court of Justice of the European Union with regard to the other directives we are talking about here, where nitrate and nitrite and also dyes are relevant. So the answer is: we start off, study the fresh judgment, see if there are parallels with Norway, and take it further in the case of EFTA and the EU.
ParlaMint-NO_2003-03-26.ana.ud1942e426	There will be follow-up questions – Heidi Sørensen.
