ParlaMint-NO_2003-04-08-lower.ana.ud760e31	The representative, Øystein Hedstrom, will make a private bill.
ParlaMint-NO_2003-04-08-lower.ana.ud760e228	The representative, Ola D. Glütvold, has taken up the proposal he referred to.
ParlaMint-NO_2003-04-08-lower.ana.ud760e231	The left will join the proposals of the majority in the Committee on this matter. When it comes to the first bit, we are very pleased with the changes that have come to the alcohol laws, which will allow the serving of own alcohol products and the introduction of halls or donations into their own business. This proposal follows the objective of securing business development in tourism and agriculture, where one can focus on local traditions, products and culture. In the left we've had a lot of recordings and a lot of commitment to this for a long time, and we think it's good and right policy. It is important for Norwegian travel and for many small businesses, and there is a new step in the ‘Simplify Norway’ project, in which the Left has a special commitment. Left also supports changes to smoking laws and the comments made by multiple users in this case. It's clear that the cause is a classic liberal dilemma. We want freedom from the individual, but the border goes where this freedom violates the freedom of others. We're probably content to restrict the freedom to smoke to secure others' right to breathe in fresh and smoke-free air. There are today a lot of people who can't travel in places because smoke is a big nuisance and damage. At any rate, the new laws will provide far more opportunities to use different services, and it is also a very important contribution to securing those who have their jobs in the restaurant and hotel industries. Many people who have had posts in the hall today have been about this very thing. We understand that some smokers can respond to the proposal, but we strongly reject the fact that it is a rash of fanaticism, as the Progress Party says in its comments. This case is about taking care of those who can get health damage, and besides giving all people the same opportunity to enjoy the good life in a restaurant or a pub. I actually think that a lot of today's smokers also support these laws and want to take care of those who don't smoke, and those who can get health damage from this. I heard earlier that it was said that many years ago – I was hoping – it was actually possible to smoke in this room. There's a development going on, and it's positive for all of the people who are being subjected to health damage.
ParlaMint-NO_2003-04-08-lower.ana.ud760e244	Several of the legislative proposals that Odelstinget has been invited to deal with today are largely about human freedom. I have to say that it is strange to hear the arguments against smoking legislation and also against the provisions contained in alcohol legislation, in particular from the Progress Party in this Chamber, under the cover of the issue of freedom and coercion. It can't be that way, even for the Progress Party, that any law coming out of this room would mean that in many ways, something unjustly is being forced down the heads of the Nordics. The concept of freedom becomes completely empty if we can't fill it with just taking care of those who have problems, perhaps far beyond the majority of us, both when they visit a smoke-filled restaurant and when they work in a smoke-filled restaurant. As you can see, liberals like Adam Smith and others have drawn clear boundaries to the freedom of the individual, just in the cases that the Stortinget has been invited to deal with today. What I would like to comment on with regard to the decisions now to be taken by Odelstingen is the changes in relation to effective sanctions in relation to the ban on advertising tobacco and alcohol. It is a proposal that the Labour Party welcomes. Such rules, and insofar as the provisions on smoking bans also apply, are almost worthless if we cannot enforce them effectively. The issue of bans on alcohol advertising and bans on tobacco advertising is very important. Firstly, we know that there is a particular pressure against the ban on alcohol advertising. I believe that in itself it will be important for Norway as a nation to show that we can enforce the ban effectively. An empty ban on alcohol advertising has no value either in relation to its own population or in any international body that would have anything to say to us. In addition, the ban on alcohol advertising and the ban on tobacco advertising may be some of the most important awareness-raising measures we have in relation to the fight against the use of both alcohol and tobacco. In this way, the absence of alcohol and tobacco advertising is far more valuable than many of the awareness campaigns run in both fields. That is why it is very good to ensure that effective sanctions are applied in relation to those who break the ban on alcohol and tobacco advertising. I am somewhat surprised that the Progress Party is also not with the majority in this Chamber in this area, precisely because the Progress Party on every occasion is very strongly focused on the fact that when both people and institutions break rules and laws, it must react quickly, efficiently and preferably rigorously. This shall be exempted. In the case of the interest in money, business interests and in this case those who earn money on the sale of tobacco and alcohol, the Advance Party supports it. It's sad. Fortunately, the majority does the opposite. The possibility of responding to infringements of both the ban on alcohol and tobacco advertising is therefore particularly important. It is my hope that the authorities, the ministry and the directorate will be able to use the new home, especially in relation to the periodic penalty payment, to those who break the ban on alcohol advertising. For a long time, we have seen that both reports and other reactions to the ban on alcohol advertising have almost no response. I'm sorry. Such a hollowing is inherently unfortunate. Therefore, there is reason to welcome the opportunity that is now given to a flexible and, at my discretion, also a processally cheap and unbureaucratic system. I am sure that it will also be the only thing that has an effect on those who break the ban on alcohol advertising and tobacco advertising, or who have an intention to do so, by giving them an opportunity to impose such a periodic penalty payment. There is reason to ask why the Progress Party chooses to have a soft line, both criminal and legal.
ParlaMint-NO_2003-04-08-lower.ana.ud760e257	In this proposition, I propose amendments to the Alcohol Act and the Tobacco Damage Act. The proposals for amendments to the Tobacco Injury Act fall within the responsibility of the Minister of Health and are promoted with the agreement of the Minister of Health. The proposition contains three proposals: Firstly, with the agreement of the Minister of Health, I propose to establish a framework for the introduction of an administrative response in the form of corrections and periodic penalty payments in order to increase the effectiveness of enforcement of the bans on advertising for alcohol and tobacco and the labelling of tobacco. The ban on advertising is an important part of alcohol policy. Similarly, there is the ban on advertising tobacco products. As it emerges from the Committee's position, there is also a broad cross-political consensus on this. For advertising bans to work, they must be effectively enforced. Even after today's legislation, an infringement of the advertising ban is punishable. In the event of an infringement of the prohibition of advertising by the alcohol law, the withdrawal of authorization is also a possible sanction. However, these forms of penalties may not always be effective. There is therefore a need for an alternative form of reaction. I therefore propose that, in the case of infringements, the Directorate for Social and Health should be able to impose correction of the situation within a specified period. At the same time, they will be able to fix periodic penalty payments which will run if the corrective period is exceeded. I also propose that, in exceptional circumstances, periodic penalty payments may be established for possible future infringements of the advertising provisions. This is a narrow rule of exception, which should only be used where necessary to ensure effective enforcement of the advertising bans. Decisions on correction and periodic penalty payments will be individual decisions which may be appealed against. The Market Council is proposed to be the Board of Appeal. Secondly, I propose a new and simplified system of authorisation for the production of beer and wine for donation in my own establishment. The background to the proposal is Decision No. 127 for 1999-2000, where the Stortinget asked the Government to submit proposals for a specific authorisation scheme which should be linked to both the provision of food and the donation, and limited to outsourcing in places where production, serving and donation are to take place. The specific authorisation scheme covering local traditional drinks of beer, wine and sides should be low in red tape and at an acceptable cost. The background to the proposal is primarily the desire to promote the potential of the combination of local traditions and economic development in general, and the relationship between local food and drink and tourism in particular. The main elements of the proposal are: The municipality should be able to extend, at discretion, a grant of a gift to include the production of beer and wine for the donation of its own activities.The permit may include the production of the same types of alcoholic beverages as the grant of the gift, but not of wine with added alcohol or spirits.It is a condition that the production appears to be part of the overall offer and nature of the place of serving.It is not proposed to propose a specific grant fee linked to the scheme. Thirdly, I propose a new and simplified system of authorisation for the introduction of alcoholic beverages for donation or sale in my own company, and a very limited right of entry for the AS Wine Monopoly. This means: The granting authority – the municipality or the State – may, at the discretion of the Court, extend a grant of concession to include the introduction of alcoholic beverages for donation in its own establishment, or a sales permit to include the introduction of beer for sale in its own establishment.The grant may include the introduction of the types of alcoholic beverages covered by the sale or gift authorisation.No additional requirements are required to hold such an extension than those applicable to the sale or gift authorisation.No special fees are proposed for the scheme.The granting of a Community sales authorisation to the AS Vinmonopolet under the first paragraph of Section 3-1 of the Alcohol Act cannot be extended as mentioned above.It is, however, proposed to provide a regulatory body opening up the AS Vinmonoolet with a limited right to introduce alcoholic beverages on behalf of customers who have ordered for their own use a product which does not exist in the Vinmonopolet selection. The scheme provides for a limited derogation from the general rule that alcoholic beverages may only be introduced by the holder of a wholesale or manufacturing authorisation. The aim of the alcohol law is to minimise the social and individual harms that alcohol consumption can cause. The law’s licensing system is a very important prevention tool aimed at the supply side, which allows the availability of alcoholic beverages to be regulated and the marketing of alcoholic beverages to be controlled. The proposals to authorise the making of beer and wine for donation in their own activities or the introduction of alcoholic beverages for donation or sale in their own activities do not represent any exemption from the authorisation system and do not mean increased availability for consumers.
ParlaMint-NO_2003-04-08-lower.ana.ud760e321	It's going to be line change.
ParlaMint-NO_2003-04-08-lower.ana.ud760e324	I want to ask the Council of State a question that concerns the smoking law. The fact that a government council from the Christian People's Party shows a foresight and prohibition attitude in a matter such as the Smoking Act, no one surprises, but that this is supported by the Right, is mildly surprising, especially since some of the guttering representatives from this party went high on the track and opposed the proposal for a total ban on smoking in restaurants. So it was claimed in the proposition that the purpose is to protect the employees from cigarette smoke. But if that's the reason, I'm going to ask Schou what's the reason why the Right also votes against having unofficial smoking rooms. Here you can blow out in advance, you can put in a ventilation system, get curtains, so that smoke doesn't drift out of the unattended smoking rooms. It is also not intended that employees should enter the period of smoking there. And then my question is to the councillor Schou: if the purpose is to protect the employees, will the Right also be able to go in for unattended smoking rooms?
ParlaMint-NO_2003-04-08-lower.ana.ud760e333	When the Government promotes a case of ban on smoking in restaurants, bars, etc., it is in the interests of the employees. Employees also serve unofficial smoking rooms. It's not that the area where people travel in the outdoor areas should not be served in any way. It has been important for the Government to give a signal that this is for the sake of employees. That's the one. But there's good reason for, in any case, to give signals that smoking actually isn't the trick you can do.
ParlaMint-NO_2003-04-08-lower.ana.ud760e340	I thank the Council of State for the answer. It is strange when you hear the answer given by the Council of State, that you should not go into a room where there is ventilation and there is no smoking when you have to go in to clean up, but at the same time you have to open up a smoking room for the employees. How does this relate? You want to give a signal that customers are not allowed to take a smoke, but that employees are required to have a smoking room. Can the Council explain how these two things relate?
ParlaMint-NO_2003-04-08-lower.ana.ud760e347	I understand that the Progress Party neither likes the matter nor the content of it and now does everything to try to get attention to the fact that it is healthy to smoke, that is freedom for the individual, and one should not regulate these areas. The case is lost. The consideration of employees is an important issue. At the same time, it is also important to give a signal that smoke is actually harmful and affects the individual’s health. Working within these restaurants, bars, etc. is in any case a load and there is a passive load applied to the individual worker. There's nothing here in the law that says there's no smoking. It's a choice of its own, and it's a voluntary choice. But the fact that at work you are exposed to a poison that is dangerous to your health is the most important point in this case. I think it's amazing that the Progress Party in a way doesn't see that this is a matter that the majority of people have actually supported, and that the Progress Party is now desperately trying to make cheap points out of.
ParlaMint-NO_2003-04-08-lower.ana.ud760e356	A brief, simple question to the Minister for Social Affairs: Who is to serve the smoking rooms of employees? I would like a clear answer to that question.
ParlaMint-NO_2003-04-08-lower.ana.ud760e361	I expect that the Storting has not intended to deal with how this is organized out there. To that it is easy to answer: if I were the restaurant owner, I would say that those who smoke and who choose to do it in the employees' smoking rooms, also serve it.
ParlaMint-NO_2003-04-08-lower.ana.ud760e367	I want to hear the Social Minister's assessment of the situation in which the Vinmonopolet will come when they are now given the opportunity to import alcoholic goods themselves. The wine monopoly was created as a retail monopoly because of the fear that ESA would prohibit the exclusive right of the wine monopoly if it had a combination of retail sales and imports. So now you're opening up for this type of import. Is the Minister of Social Affairs concerned about the weakening of the position of the monopoly and the role of monopoly in retail sales, and is it also so that it is completely impossible to get others with import authorisation to import what the Vinmonopolet wanted in its range of products in order to satisfy all customers? I believe that those who are allowed to import today must be so interested in satisfying their customers, including the Wine Monopoly, that they have the opportunity to get the range they want through the scheme that is already in place.
ParlaMint-NO_2003-04-08-lower.ana.ud760e374	The ESA believes that the Norwegian licensing system is too strict and has also criticised this in a so-called opening letter in the autumn of 1998. Criticism is addressed, among others: whereas establishments authorized by virtue of this appropriation may also introduce alcoholic beverages for donation. ESA is aware of the proposal which lies within the United Kingdom and has made enquiries about the progress of the case. The proposal responds in many ways to ESA’s criticism of the fact that it replaces such a registration scheme. It is important to have good and effective control over one sector that is a bit lurking. However, this proposal does not make such monitoring more difficult – if I can also comment on the questions of the representative. There is reason to believe that the scheme will have a limited spread, with the strict requirements of customs. On the other hand, it clearly simplifies those who may receive such extended appropriations. Actors can also – alternatively – obtain state wholesale approval, but this is expensive. And it's heavy, cf. The Storting order to the Government regarding production schemes, which was just proposed by the Stortinget because state wholesale allocation is too heavy for those who will make for donations in their own company. And it's going to be equivalent to the introduction. The monopoly of wine is an important institution in Norwegian society. And I see it so that this to a limited extent is a scheme that they can handle.
ParlaMint-NO_2003-04-08-lower.ana.ud760e383	SV is in agreement with the Central Party on the minority proposal relating to continued imports via the Vinmonopolet. We don't want to facilitate parallel imports under the control of different outlets, and there may be several reasons for this. We see it as important to keep the system of wine monopolies and have good state controls. We are afraid that any step that is now being taken towards getting different actors is a step towards other mechanisms to replace the Vinmonopoly, which we believe will be a weakness in the eyes of a sobering policy. One then loses the means that one could otherwise have continued to use. What I want to ask the Council of State is: with a background to various issues that have been dealt with in ESA and that have to do with Norwegian alcohol policy, is she also concerned about the direction that alcohol policy is starting to take? I want to highlight in particular the consequences of selling cannabis in the shops. There are now many reports, including: the placing of the products in such a way that normal showers and showering are taken into account in the purchase. Other, including: Tromsø Municipality, has ordered that what is about to develop is unfortunate. Does the Council also see a number of concerns about the fact that Rausbrus has now become part of the range of goods in normal Norwegian business?
ParlaMint-NO_2003-04-08-lower.ana.ud760e390	Yes, I too see the dangers and am concerned about what is happening in the area of drug shower and the constant availability, especially in relation to children and young people. But I also want to comment on the Ballos view in relation to control in this area. In particular, there are very strict requirements for imports into Norway, and customs authorities also exercise good control. With regard to the issue of intoxication and intoxication and the danger of confusing birthday shower with raisin, I have the same focus on this as the representative of Ballo. That is why I have also had good contact with importers and with the large chains to enforce the labelling requirements. The labelling is one thing, another is a requirement for location in the store, but also a requirement for age control. There are good examples now that municipalities actually take this seriously, and that there are revenues in this sale, which means that municipalities actually have the means to exercise control, and that they are actually using the alcohol law and the alcohol law to those who are not enforcing the law and who are selling to minors. But it's also about placement, and here too there's attention. I'm going to follow this area carefully. Alcohol is a legal product. But at the same time, an appropriation should be easy to obtain, but it should also be easy to lose. It is important that municipalities, as well as we as central authorities, monitor developments in this area.
ParlaMint-NO_2003-04-08-lower.ana.ud760e401	The cord shift is over.
ParlaMint-NO_2003-04-08-lower.ana.ud760e404	I'm probably one of the few in this house who took the test in the alcohol law and has a gift permit. We are discussing two legislative proposals today. One applies to the alcohol law, and the other to the smoking law. And I actually feel qualified to participate in the debate on both. First of all, as everyone knows, I have a boat down in the harbour – and it has a gift permit. So I took the test and passed it with shine. This does not mean that the alcohol law is too bad. I think the alcohol law is good as it is. The second thing I want to say is that in 1971 I stopped smoking. But I didn't become a fanatic for that reason! I stopped smoking for both economic and health reasons. But if people want to shorten their lives by smoking, they just have to do it. The same is true of me if they use drugs or alcohol. It's up to everyone. If we've come so far in this country and the guardian state has become so special that we're going to regulate whether people are going to be allowed to shorten their lives, then it's going to go over all the boots. There are today technologies that allow smoking zones and non-smoking zones to be held in restaurants. In all cases, the Committee has agreed that there should be a smoking room for employees, while the employees of the same restaurant should not be able to inhale smoke from those who come there. I don't understand! I have to tell a little anecdote from the last six months about my gluten – he's 16 years old – that was inside an outhouse with some friends. When he was on his way out of the house and was locking the door, the police stood next to him and wanted to enter the house. If we've gotten so far in this community that the police can come and harass our children, that they want to go into an outhouse to see what's going on, then the police have too little to do. But after what we have heard in this matter, they have too much to do. The big problems they don't take care of, but the small problems they take care of. If we decide in this room, as the country's top organ, that people should not be allowed to move freely in this country, that people should not be allowed to smoke and shorten their lives if they want to, then it goes over all the dusty night – I say it again. Think of the old ones lying on their bed and smoking, and who have smoked all their lives. The home help may refuse to enter that house because it smells like smoke. That's what we've decided. We have decided that home help can refuse to enter that house because it smokes there. We are in the process of legislating the private sphere. We are in the process of deciding not to smoke in private homes. Then the home help with the law can refuse to go in there. It's been adopted in the Storting. I don't get it. In any case, I am going to vote against the entire legislative proposal that has been submitted today.
ParlaMint-NO_2003-04-08-lower.ana.ud760e421	I see it as an important social responsibility to facilitate good preventive health work. Annually, approx. 7 500 people in Norway for smoking injuries and illnesses. In addition to those who smoke themselves, it is estimated that between 350 and 550 non-smokers in Norway die annually from passive smoking. Tobacco use is the main single cause of disease and early death that can be prevented. As health politicians, we have to do something about it. Tobacco injury prevention is therefore a priority for me as Minister of Health. Propositions currently being dealt with in Odelstinget are one of several important prevention measures to limit the health damage caused by tobacco use to the population. I am pleased that the majority of the Social Committee endorses these proposals. The introduction of smoke-free serving sites will be a historic milestone in the fight against the health damage caused by tobacco. The starting point of Section 6 of the Tobacco Injury Act is freedom of smoking in premises where the public has access, in workplaces and in institutions. For almost 15 years, the service industry in Norway has had an exception to the general rule on smoking freedom in the Tobacco Injury Act. Those who advocate intermediate solutions in this case have had 15 years to try these intermediate solutions. This derogation is now being proposed. The main reason for introducing smoke-free serving points is the consideration of employees. As a result of passive smoking at the workplace, waiters have an unacceptable risk of developing cancer or heart attack. Male waiters are the profession of society with the highest overall incidence of cancer and the highest incidence of lung cancer and cancer in the urinary bladder. The high incidence of cancer among waiters has many causes, but passive smoking is probably a significant contributory cause. Smoke-free serving sites will make an important contribution to improving health for industry employees. That is why there has been an important issue for the trade union movement. I will commend the Hotel and Restaurant Association and LO for the efforts made in this connection. Some people have thought that it is a paradox that smoking is allowed for employees at service stations, while smoking is not allowed elsewhere in the workplace, i.e. the place of supply. To this I would say that it is optional for employees to use a smoking room, but it is not optional to stay in the rest of the work space. This is also in line with that of other jobs, where it is up to the employer to decide whether to have a smoking room or not for the employees. In addition to the consideration of staff at service points, the consideration of guests plays an important role. Many guests are plagued by smoke in serving places. In addition to those afflicted, 120,000 asthmatics and at least as many allergy sufferers have health problems at all by going to restaurants and other outdoors where smoking is permitted. The smoking ban will apply in places where food and/or drink are served and where there is room for an on-site service. Sites likely to be subject to the ban include: restaurants, cafes, pastries, discos, bars, pubs and the like In the debate before and after the Government promoted Ot.prp. No 23 noted that the working environment of workers at service points could also be ensured with less restrictive solutions than the total ban. That's not the government's opinion. Both ventilation solutions and physical separations between smoking zones and smoking prohibition zones have been mentioned. However, such instruments will not prevent employees in these areas from being exposed to passive smoking. It will also create a distortion of competition in the industry, as not all service providers will have the same opportunity to construct the premises in accordance with such requirements. With regard to the economic impact of smoke-free food serving facilities on the industry, it is natural to look at experiences from other places where similar bans have been introduced. There is no evidence that smoking restrictions result in a significant long-term market failure or economic decline for the industry. These experiences cannot say for sure about the effects of such a ban in Norway, but they may give an indication that the effects may be similar here. However, the purpose of such regulation is more burdensome than any negative economic impact on industry. In this context, it should also be borne in mind that the introduction of intermediate solutions such as ventilation solutions and physical divisions could also entail significant economic costs to industry. The introduction of smoke-free serving sites may also have positive economic effects, as it allows for other customer groups, leading to lower sick leave and lower costs of ventilation, maintenance and cleaning. Finally, let me inform you that I intend the law to come into force in the spring of 2004, but it is fully possible for the relevant establishments to introduce it already now. It also opens up today's legislation. Finally, I would like to comment briefly on the conspiracy theory put forward by the Progress Party here today regarding what has really happened in this case. If it were to be the case that the Minister of Health and the Christian People's Party, through a coup, had now caused the entire Norwegian people to dance after our pipe, it is strange that the majority of Storting – all except the Advance Party – have let themselves be captivated by the whole trade movement and large sections of the population. It's a conspiracy theory that falls on its own unreasonableness, and it's easy to establish.
ParlaMint-NO_2003-04-08-lower.ana.ud760e449	It's going to be line change.
ParlaMint-NO_2003-04-08-lower.ana.ud760e452	Now, I haven't talked about coups, conspiracy theories, or the fact that the Storting is tricked, but we've shown the argument that's in the pen, where you talk about what's going on in the working environment for the employees on the one hand, while talking about smoking rooms being allowed. I'm not going to go further than that, because I don't think it has any purpose to discuss what's going on smoking with the Health Minister at all, because he's been stuck in one track, and we're probably pretty far apart. But what I want to ask the Minister of Health is what goes on the claim that it is not possible to make ventilation systems work. In this connection, I would like to mention, inter alia: refer to an article in the Official Journal of Drammen by Jostein Skree, who is the director of the Land Association of Technical Entrepreneurs – and I have previously also referred to SINTEF. It says, among other things.\t\t You can change the ‘It is sad to note that in their proposal on smoke-free serving points, the authorities almost underestimate the essential facts about the proper use of ventilation. Of course, all key professional environments will be able to establish that proper ventilation protects against passive smoking and improves the working environment of employees.» My question to the Minister of Health is about the professional environments used in the Department, as both these professional bodies, both SINTEF and TELFO, which are the ventilating suppliers' organisations, point out the opposite of what the Minister of Health and the Government claim in their proposition. Can the Minister of Health tell the undersigned and this room what expertise in ventilation it is that underpins the Government's claim that it is not possible to achieve this?
ParlaMint-NO_2003-04-08-lower.ana.ud760e464	It has been interesting to follow the line of argument of the Advance Party in this case. The Progress Party now strongly argues in order to keep the smoking law of the day. It will also be the consequences of the vote that the Progress Party has taken today. Then it's quite interesting to see how the Progress Party argued when the law they're now fighting to maintain was passed. In 1988 the proponents of the Progressive Party characterized the bill as hesitant, manipulative, and unsocial. They used to confuse the same arguments against the law that they are now fighting for, which they use against the bill that the Government has promoted. It shows in my view that in this matter the world is moving forward, but the party that calls itself the Progress Party is quite silent in its argument. It also shows in my view that when these legislative proposals work for a while, they are accepted, even by the Progress Party. I think that will also apply to the proposal we are debating today.
ParlaMint-NO_2003-04-08-lower.ana.ud760e477	The question I asked is clearly that the Minister of Health has not brought with him. I asked a specific question to the Minister of Health, to whom I expect to be answered, by pointing out in writing in an odelstingsproposition and saying from the Spokesman's Chair that it is not possible to find solutions in the case of ventilation systems that can take what is going on in tobacco smoke. I asked the Minister for Health the following: what expertise can be shown to substantiate the claims contained in the proposition, which have been made from this pulpit, by claiming this? This must be known, as the professional bodies, at least in Norway, have demonstrated the opposite. In this case, the Progress Party stands still: yes, it's actually law, and it's actually possible at least to try to get to something. We don't want this law, because we think it's going too far. But in addition, we say that if the majority still get it in place, it must at least be possible to get unofficial smoking rooms, where it is optional to go in and clean afterwards – after it is vented – as it would be in a staff room. But you haven't gone into that. But my question to the Minister of Health is this: What kind of professional environment is it based on, which underpins the argument of the Minister of Health and the Government that it is not possible to capture what is involved in the pollution of tobacco smoke by ventilation? What kind of professional environment?
ParlaMint-NO_2003-04-08-lower.ana.ud760e489	Prime Minister Dagfinn Værvik – Prime Minister Dagfinn Høybräten – Councillor Dagfinn Høybräten! This became violent.
ParlaMint-NO_2003-04-08-lower.ana.ud760e492	I thank you for your trust.
ParlaMint-NO_2003-04-08-lower.ana.ud760e497	It was quite big!
ParlaMint-NO_2003-04-08-lower.ana.ud760e500	I think it is a significant point throughout this debate that the changes that have been introduced to restrictions on smoking in public places and that have been implemented elsewhere in society, for example. on aircraft, have been controversial when they have arrived, but they have been quickly accepted, in such a way that no one today will return to the time when one had smoking in meetings, on planes, etc. It is my humble prediction that it will also happen with this law. So I'll answer the question. It is a total derailment of the debate to make it a question of how good ventilation systems we can create. Ventilation systems will certainly be able to increase both comfort and well-being in a room, but so far ventilation systems are not capable of removing arsenic, benzene, cyanide, carbon, carbon monoxide or some of the other carcinogens in a satisfactory manner. We've made an open statement about the professional environments we've been based on in the proposition. The Institute for Public Health and the Directorate for Social and Health has done a knowledge summary based on the leading international research findings on the question of passive smoking. We've taken that into account in the proposition. But the whole point is that there is only one proposal for smoke-free serving places that provide smoke-free working environments. You can't get around that, either with air curtains or with other curtains.
ParlaMint-NO_2003-04-08-lower.ana.ud760e509	I think the Minister of Health defends himself in a good and tidy way. He should perhaps have been given the opportunity to defend himself on an ongoing basis after five contributions from the Progress Party in this rowing, but instead I would like to note that SV supports the considerations that have emerged here and that the majority have in terms of the smoking law. What I want to talk about are elements in relation to alcohol legislation. The centre lot and SV are united in a consideration of ringing the wine monopoly. We are concerned in the same way as the National Council of the Abstinence people is, and as many of the organisations in the LO are, with regard to the hearing opinions they have made on the liberalisation and introduction of alcoholic beverages for sale or donation in their own activities. And once again, as with the Minister of Social Affairs, I want to draw up what has happened to the shower, which is now in the shops and is sometimes traded as if it were a regular shower, because the products are being misplaced. I'm not going to hare down on the Christian People's Party and their alcohol policy, because I actually respect it. I have respect for the fact that the party has for a number of years held positions that have meant something about Norwegian alcohol policy. But I want to ask the Council of State, because in normal circumstances I would have believed that the Christian People's Party would have participated in the reasoning of the comments made by SV and the Central Party here: Is the only reason why the Christian People's Party does not choose to do so, that the leaders that Norway is now facing through the EEA Agreement and the decisions taken by ESA are required to pursue a policy in which the Government – at least the Christian People's Party in the Government – really disagree? Or is it that the Christian People's Party does not see the same concerns as the Center Party and SV express in its remark?
ParlaMint-NO_2003-04-08-lower.ana.ud760e518	Now I'm not the one that's constitutionally responsible for the alcohol law, and I should therefore also limit my answer to these questions to a more general point of view. It will be as follows: It is the Government’s clear objective to contribute to the reduction of alcohol consumption in Norway through the various mechanisms we have for marketing, control of turnover, control of illegal marketing, such as: this second proposition applies and various preventive measures. But we depend, with the international commitments that Norway has undertaken, on doing so within the framework of these commitments. We can equal or not equal the consequences of these obligations, but we can't escape from them. In my view, it would be a good idea to pretend that these obligations are not there if Norway failed to deal with clear obligations arising from the EEA Agreement and the arrangements resulting from the EEA Agreement. At least a responsible government party must be involved.
ParlaMint-NO_2003-04-08-lower.ana.ud760e525	It is true, as the health minister said, that he is not responsible for the alcohol law, but nevertheless I want to get into the matter of alcohol. First, to the opinion of the party politician and the KrF Dagfinn Højbräten on the general objective of reducing alcohol turnover and alcohol consumption. The Minister of Health believes that, among other things: by increasing the authorisation and the possibility of import, in relation to the fact that places with their own making and sales are also allowed to import? It must at least be the opposite of reducing the alcohol turnover. The concern for the Vinmonopolet and what ESA or competing companies in the alcohol sales are going to do here, we can only have some thoughts about today, but I certainly believe that the majority today are helping to weaken the basis of a monopoly in retail sales. So to the medical and health profession of direct entry for gift points. The Minister of Health is certainly familiar with the report of fellow student Niels Kristian Axelsen, who showed that there is a great deal of difference in this spirit of giving and trading and lawlessness/unlawfulness. But what is certain is that when more players are able to introduce alcohol, there will be even greater reason to control this product in relation to whether it is hazardous to health or contains illegal substances. With the methanol scandal in my fresh memory, I would like to ask the Minister for Health: What is done by the Food Control Agency and health authorities to deploy additional instruments now when there are more actors, more channels and more products?
ParlaMint-NO_2003-04-08-lower.ana.ud760e536	I understand that it is a point in this debate to ask the Minister of Social Affairs about the responsibility of the Minister of Health and the Minister of Health about the responsibility of the Minister of Social Affairs. What I said about the overall objectives of the alcohol policy, I didn't say that as a party politician, Højbräten, I actually said that as a responsible member of the Government – that's the government's policy. I refer to the Government's action plan on drugs, which actually contains a very broad set of measures to achieve these objectives. But there are instruments within the framework of what we actually have opportunity to do, given our international obligations, which at least we have to deal with. Let me say that with regard to the connection to methanol-containing smuggler liquor that was now drawn up, I think it is very special in this debate – very special. There is one answer to how to avoid obtaining methanol-containing smuggler liquor, and that is to stay away from illegally imported goods. It really shouldn't have anything to do in this debate. But when that's said, it's my opinion that the control bodies we have, not least the police and customs, have actually tackled that challenge in a very offensive way and are doing their part of that job, so that there is a standard set of responses that should prevent us from getting that kind of wave in the future.
ParlaMint-NO_2003-04-08-lower.ana.ud760e545	Several have not asked for the word for a line.
ParlaMint-NO_2003-04-08-lower.ana.ud760e548	I have found it difficult to find Parliamentary acceptable words in order to express my feelings and opinions about this fundamentalist bill, which, to the degree, affects the freedom of the individual to live in a democratic country. One should preferably not question political motives, but I do in this matter. It is not a consideration of the working environment of the restaurant staff who are the real motivation for this law, but an premature guardianship by the Government, and in particular by the Minister of Health. I understand that every health minister, with respect for himself, would like to get involved in the history of health policy in Norway, but it does not matter how this happens. I personally would like to take part in a positive description of the history of our health minister who is working on cleanliness and action. That's the Minister of Health. For me, it's a big paradox that over 50 pst. by the employees now allegedly to be protected from passive smoking, themselves smoking, and that the same percentage is also contrary to the law. Furthermore, it is also a paradox that employees get smoking rooms at work, while the guests who pay their wages do not get it. Smoking and passive smoking can cause health damage. Passive smoking can be very annoying for people with allergic disorders and uncomfortable for non-smokers. What we eat and drink can also be very dangerous to our health, lack of physical activity as well. It's really dangerous to live. None of us get eternal life, whether we smoke or not. But is life just health? What about the individual's freedom to make independent choices, choices that do not harm others? Isn't that an essential part of our quality of life and well-being? When we see the unworthy conditions in our care for the elderly, for which this government is also responsible, we don't want to get very old. We have had a smoking law for many years that should have been good enough, if the industry itself had taken it seriously and followed up with new technology on the ventilation side, and if the public had followed up their obligation to control. Parts of the industry can thank themselves for the law that is coming. In the short term, the law may, in my view, have the following adverse consequences: bankrupt in the industry and increasing unemployment, a desired unemployment rate that smokers also have to pay for the business of anonymous private clubs will grow up filling and domestic violence will become a consequence of smokers will hardly decrease over time What surprises me most in the present position is that the Right Party, which often calls itself the freedom party of the individual, is in favour of the law. So in position, it seems to be right to throw ideological principles on the boat. This must have consequences for the choice mass. A lot of phones to my office over the last few weeks indicate that. So something positive comes out of the present bill.
ParlaMint-NO_2003-04-08-lower.ana.ud760e576	Those who are now given the floor have a speaking time of up to 3 minutes.
